,Concept_ID,lez,ga
57,Atem::N,ял,anáil
58,Atem::N,нефес,anáil
59,Hunger::N,каш,ocras
60,Träne::N,вилин нагъв,deoir
61,Geschmack::N,дад,blas
62,Geschmack::N,тӏям,blas
63,Geruch::N,ни,boladh
64,Schlaf::N,ахвар,suan
65,Schlaf::N,ахвар,codladh
66,Traum::N,ахвар,taibhreamh
67,Himmel::N,цав,spéir
68,Sonne::N,рагъ,grian
69,Mond::N,варз,ré
70,Mond::N,варз,gealach
71,Stern::N,гъед,rinn
72,Stern::N,гъед,réalta
73,Luft::N,гьава,aer
74,Wind::N,гар,gaoth
75,Welle::N,лепе,tonn
76,Wasser::N,яд,uisce
77,Stein::N,къван,cloch
78,Boden::N,накьв,talamh
79,Erde::N,ччил,cré
80,Erde::N,ччил,ithir
81,Staub::N,руг,dusta
82,Staub::N,руг,deannach
83,Rauch::N,гум,toit
84,Rauch::N,гум,deatach
85,Funke::N,цӏелхем,drithle
86,Feuer::N,цӏай,tine
87,Licht::N,экв,solas
88,Schatten::N,серин,scáth
89,Wetter::N,гьава,aimsir
90,Nebel::N,ччилин циф,ceo
91,Wolke::N,циф,néal
92,Wolke::N,циф,scamall
93,Regen::N,марф,báisteach
94,Regen::N,марф,fearthainn
95,Schnee::N,жив,sneachta
96,Eis::N,мурк,oighear
97,Frost::N,аяз,sioc
98,Kälte::N,мекь,fuacht
99,Kälte::N,мекьивал,fuacht
100,Hitze::N,зегьем,teas
101,Hitze::N,зегьем,teocht
102,Raureif::N,къирав,sioc bán
103,Regenbogen::N,яргъируш,stua ceatha
104,Regenbogen::N,яргъируш,bogha báistí
105,Donner::N,цавун ван,toirneach
106,Tropfen::N,стӏал,deoir
107,Schaum::N,каф,cúr
108,Schmutz::N,чирк,salachar
109,Schmutz::N,кьуруш,salachar
110,See::N,вир,loch
111,Sumpf::N,уьлен,portach
112,Wiese::N,векь,cluain
113,Wiese::N,векь,móinéar
114,Wald::N,там,coill
115,Wald::N,там,foraois
116,Hügel::N,кӏунтӏ,ard
117,Anhöhe::N,тепе,ard
118,Anhöhe::N,тепе,ardán
119,Anhöhe::N,гьуьндуьрвал,ard
120,Anhöhe::N,гьуьндуьрвал,ardán
121,Berg::N,дагъ,sliabh
122,Gipfel::N,кӏукӏ,barr
123,Gipfel::N,кӏукӏ,mullach
124,Höhle::N,кьветӏ,uaimh
125,Höhle::N,кьветӏ,pluais
126,Abhang::N,гуьне,fána
127,Quelle::N,чешме,foinse
128,Bach::N,булах,sruthán
129,Fluss::N,вацӏ,abhainn
130,Ufer::N,къерех,bruach
131,Küste::N,къерех,cósta
132,Küste::N,къерех,cladach
133,Festland::N,кьурамат,míntír
134,Meer::N,гьуьл,muir
135,Meer::N,гьуьл,farraige
136,Bucht::N,бухта,bá
137,Bucht::N,бухта,cuan
138,Insel::N,остров,inis
139,Insel::N,остров,oileán
140,Blume::N,цуьк,bláth
141,Gras::N,хъач,féar
142,Wurzel::N,дувул,rúta
143,Wurzel::N,дувул,fréamh
144,Baum::N,ттар,crann
145,Stamm::N,тан,stoc
146,Stamm::N,тан,tamhan
147,Rinde::N,чкал,coirt
148,Rinde::N,чкал,craiceann
149,Ast::N,тӏур,géag
150,Zweig::N,хел,géag
151,Zweig::N,хел,craobh
152,Blatt::N,пеш,duille
153,Blatt::N,пеш,duilleog
154,Birke::N,верх,beith
155,Birke::N,верх,crann beithe
156,Kiefer[Baum]::N,шамагъаж,péine
157,Weide[Baum]::N,цӏвелин ттар,saileach
158,Tanne::N,ель,giúis
159,Horn::N,карч,adharc
160,Feder::N,цӏакул,cleite
161,Fell::N,хам,clúmh
162,Flügel::N,лув,eite
163,Flügel::N,лув,sciathán
164,Klaue::N,къармах,crúb
165,Klaue::N,къармах,crobh
166,Kralle::N,пац,crobh
167,Kralle::N,тапас,crobh
168,Schwanz::N,ттум,eireaball
169,Ei::N,кака,ubh
170,Nest::N,муг,nead
171,Bau::N,тӏеквен,brocais
172,Tier::N,гьайван,ainmhí
173,Tier::N,гьайван,beithíoch
174,Herde::N,суьруь,tréad
175,Kuh::N,ккал,bó
176,Bulle::N,яц,tarbh
177,Bulle::N,бугъа,tarbh
178,Pferd::N,балкӏан,each
179,Pferd::N,балкӏан,capall
180,Schaf::N,хеб,caora
181,Schwein::N,вак,muc
182,Hund::N,кицӏ,madra
183,Katze::N,кац,cat
184,Bär::N,сев,béar
185,Eichhörnchen::N,белка,iora
186,Elch::N,лось,eilc
187,Fuchs::N,сикӏ,sionnach
188,Fuchs::N,сикӏ,madra rua
189,Hase::N,къуьр,giorria
190,Maus::N,кьиф,luch
191,Wolf::N,жанавур,mac tíre
192,Vogel::N,луван ничхир,éan
193,Schwarm::N,луж,saithe
194,Huhn::N,верч,cearc
195,Hahn::N,кӏек,coileach
196,Gans::N,къаз,gé
197,Adler::N,лекь,iolar
198,Ente::N,пӏатӏ,lacha
199,Eule::N,тӏиб,ulchabhán
200,Kranich::N,дурна,grús
201,Krähe::N,къаргъа,caróg
202,Krähe::N,къаргъа,préachán
203,Kuckuck::N,кукупӏ,cuach
204,Schwan::N,къугь,eala
205,Fisch::N,гъед,iasc
206,Barsch::N,окунь,péirse
207,Hecht::N,щука,liús
208,Schlange[Tier]::N,илан,nathair
209,Schlange[Tier]::N,гъуьлягъ,nathair
210,Wurm::N,квак,péist
211,Spinne::N,хуьшрекан,damhán alla
212,Ameise::N,цегв,seangán
213,Laus::N,нет,míol
214,Mücke::N,ветӏ,muiscít
215,Mücke::N,ветӏ,corrmhíol
216,Fliege::N,тӏветӏ,cuil
217,Fliege::N,тӏветӏ,cuileog
218,Schmetterling::N,чепелукь,féileacán
219,Beere::N,куьлуь емиш,caor
220,Apfel::N,ич,úll
221,Pilz::N,къарникъуз,beacán
222,Pilz::N,къарникъуз,muisiriún
223,Zwiebel::N,чичӏек,oinniún
224,Saat::N,тумар,síol
225,Korn::N,твар,gráinne
226,Heu::N,векь,féar
227,Heu::N,векьер,féar
228,Schale::N,пириш,scaimh
229,Schale::N,хъуьруьш,scaimh
230,Grube::N,фур,poll
231,Falle::N,ракьар,gaiste
232,Schlinge::N,гьалкъа,sealán
233,Spur::N,гел,rian
234,Asche::N,руьхъ,luaith
235,Dreck::N,чирк,salachar
236,Dreck::N,кьуруш,salachar
237,Eisen::N,ракь,iarann
238,Gold::N,алтун,ór
239,Silber::N,гимиш,airgead
240,Kohle::N,цӏивин,gual
241,Glas::N,шуьше,gloine
242,Lehm::N,ччеб,cré
243,Sand::N,къум,gaineamh
244,Mensch::N,инсан,duine
245,Mann::N,итим,fear
246,Frau::N,паб,bean
247,Frau::N,дишегьли,bean
248,Kind::N,аял,gasúr
249,Kind::N,аял,páiste
250,Junge::N,гада,buachaill
251,Mädchen::N,руш,cailín
252,Familie::N,хзан,teaghlach
253,Familie::N,хзан,comhluadar
254,Familie::N,килфет,teaghlach
255,Familie::N,килфет,comhluadar
256,Großvater::N,чӏехи буба,seanathair
257,Großmutter::N,чӏехи диде,seanmháthair
258,Eltern::N,диде-буба,tuismitheoirí
259,Vater::N,буба,athair
260,Mutter::N,диде,máthair
261,Sohn::N,хва,mac
262,Tochter::N,руш,iníon
263,Bruder::N,стха,deartháir
264,Schwester::N,вах,deirfiúr
265,Onkel::N,ими,uncail
266,Onkel::N,халу,uncail
267,Tante::N,эме,aintín
268,Tante::N,хала,aintín
269,Ehemann::N,гъуьл,fear céile
270,Ehefrau::N,паб,bean chéile
271,Freude::N,шадвал,áthas
272,Gelächter::N,хъвер,gáire
273,Glück::N,бахт,séan
274,Glück::N,бахт,sonas
275,Kummer::N,дерт,brón
276,Kummer::N,дерт,buairt
277,Kummer::N,хажалат,brón
278,Kummer::N,хажалат,buairt
279,Wunsch::N,мурад,guí
280,Wunsch::N,мурад,achainí
281,Lust::N,гьевес,fonn
282,Geist::N,руьгь,meon
283,Geist::N,руьгь,spiorad
284,Gedanke::N,фикир,smaoineamh
285,Verstand::N,акьул,ciall
286,Verstand::N,акьул,intinn
287,Sinn::N,мана,brí
288,Sinn::N,мана,ciall
289,Grund::N,себеб,fáth
290,Wahrheit::N,керчек,fírinne
291,Wahrheit::N,гьакъикъат,fírinne
292,Gespräch::N,ихтилат,comhrá
293,Märchen::N,мах,scéal
294,Erzählung::N,кьиса,scéal
295,Nachricht::N,хабар,teachtaireacht
296,Neuigkeit::N,цӏийи хабар,scéala
297,Name::N,тӏвар,ainm
298,Rätsel::N,мискӏал,tomhas
299,Rede::N,рахун,óráid
300,Rede::N,рахун,aitheasc
301,Sprache::N,чӏал,teanga
302,Stimme::N,ван,guth
303,Wort::N,гаф,focal
304,Zeichen::N,ишара,comhartha
305,Ruf::N,эвер,glaoch
306,Lärm::N,ван-сес,torann
307,Laut::N,ван,fuaim
308,Laut::N,сес,fuaim
309,Ton::N,ван-сес,ton
310,Lied::N,мани,amhrán
311,Ruhe::N,ласвал,suaimhneas
312,Ruhe::N,фаракъат,suaimhneas
313,Ruhe::N,асайиш,suaimhneas
314,Leute::N,инсанар,muintir
315,Volk::N,халкь,pobal
316,Arbeit::N,кӏвалах,obair
317,Gast::N,мугьман,aoi
318,Geschenk::N,савкьат,féirín
319,Geschenk::N,савкьат,bronntanas
320,Spiel::N,къугъун,cluiche
321,Gesellschaft::N,жемят,comhluadar
322,Gesellschaft::N,общество,comhluadar
323,Hilfe::N,куьмек,cúnamh
324,Hilfe::N,куьмек,cabhair
325,Freund::N,дуст,cara
326,Kamerad::N,яр-дуст,comrádaí
327,Angelegenheit::N,кар,ábhar
328,Anzahl::N,сан,líon
329,Anzahl::N,кьадар,líon
330,Art::N,жуьре,sórt
331,Art::N,жуьре,saghas
332,Stück::N,кӏус,píosa
333,Teil::N,пай,cuid
334,Teil::N,пай,páirt
335,Hälfte::N,зур,leath
336,Hälfte::N,зур пай,leath
337,Kreis::N,круг,ciorcal
338,Kreis::N,чкаяр,ciorcal
339,Kreis::N,элкъвей цӏар,ciorcal
340,Kreuz::N,хаш,cros
341,Linie::N,цӏар,líne
342,Strich::N,цӏар,stríoc
343,Abstand::N,ара,achar
344,Entfernung::N,мензил,fad
345,Gegend::N,чка,ceantar
346,Platz::N,ара,áit
347,Platz::N,ара,spás
348,Ort::N,чка,áit
349,Seite::N,пад,taobh
350,Mitte::N,юкь,lár
351,Gegenstand::N,затӏ,ball
352,Gegenstand::N,затӏ,ábhar
353,Sache::N,шей,ní
354,Sache::N,шей,rud
355,Sache::N,затӏ,ní
356,Sache::N,затӏ,rud
357,Rand::N,къерех,imeall
358,Rand::N,къерех,ciumhais
359,Kante::N,син,corr
360,Kante::N,син,colbha
361,Ecke::N,пӏипӏ,coirnéal
362,Spitze::N,кӏвенкӏв,gob
363,Spitze::N,кӏвенкӏв,barr
364,Ende::N,кьил,ceann
365,Ende::N,кьил,foirceann
366,Loch::N,тӏеквен,poll
367,Winkel::N,пӏипӏ,cúinne
368,Winkel::N,пӏипӏ,uillinn
369,Muster::N,гишир,patrún
370,Größe::N,кьадар,méid
371,Größe::N,кьадар,toise
372,Länge::N,яргъивал,fad
373,Höhe::N,кьакьанвал,airde
374,Gewicht::N,заланвал,meáchan
375,Menge::N,кьадар,méid
376,Haufen::N,хара,cnap
377,Reihe::N,жерге,líne
378,Reihe::N,жерге,sraith
379,Boot::N,луьткве,bád
380,Ruder::N,кьусу,rámh
381,Ruder::N,кьусу,maide rámha
382,Schlitten::N,гъелерар,carr sleamhnáin
383,Lagerfeuer::N,цӏай,tine champa
384,Last::N,заланвал,ualach
385,Gang::N,ериш,siúlóid
386,Schritt::N,къадам,céim
387,Schritt::N,къадам,coiscéim
388,Norden::N,кефер,tuaisceart
389,Norden::N,кефер пад,tuaisceart
390,Süden::N,кьибле,deisceart
391,Westen::N,рагъакӏидай пад,iarthar
392,Osten::N,рагъэкъечӏдай пад,oirthear
393,Holz::N,кӏарас,adhmad
394,Brett::N,кьул,clár
395,Brett::N,тахта,clár
396,Stütze::N,даях,taca
397,Stange::N,юрк,polla
398,Stange::N,юрк,cuaille
399,Stock::N,лаш,bata
400,Stock::N,лаш,maide
401,Stab::N,юрк,maide
402,Stab::N,юрк,bachall
403,Rohr::N,турба,píopa
404,Haus::N,ужагъ,teach
405,Heim::N,кӏвал,baile
406,Ofen::N,пич,sornóg
407,Fußboden::N,кӏвалин ччил,urlár
408,Tisch::N,стол,bord
409,Tisch::N,стол,tábla
410,Stuhl::N,стул,cathaoir
411,Wiege::N,кьеб,cliabhán
412,Bett::N,тахт,leaba
413,Regal::N,кьацӏ,seilf
414,Kiste::N,ящик,bosca
415,Fenster::N,дакӏар,fuinneoig
416,Tür::N,рак,doras
417,Tor::N,варар,geata
418,Zaun::N,пару,fál
419,Zaun::N,пару,claí
420,Dach::N,къав,díon
421,Leiter::N,гурар,dréimire
422,Besen::N,таран кул,scuab
423,Spaten::N,ппер,spád
424,Spaten::N,ппер,rámhainn
425,Schaufel::N,хекендаз,sluasaid
426,Gabel::N,шиш,forc
427,Gabel::N,шиш,gabhlóg
428,Löffel::N,тӏур,spúnóg
429,Messer::N,чукӏул,scian
430,Nagel::N,мих,tairne
431,Netz::N,чил,líon
432,Netz::N,чил,eangach
433,Haken::N,къармах,croch
434,Griff::N,ттум,cos
435,Griff::N,ттум,hanla
436,Schloss::N,куьлег,glas
437,Bild::N,шикил,pictiúr
438,Bild::N,суьрет,pictiúr
439,Figur::N,фигура,fíor
440,Puppe::N,нини,bábóg
441,Beutel::N,тагъар,mála
442,Beutel::N,тагъар,mealbhóg
443,Bündel::N,галгам,beart
444,Tasche::N,чанта,mála
445,Eimer::N,ведре,buicéad
446,Deckel::N,кьил,clár
447,Deckel::N,кьил,claibín
448,Deckel::N,къалпагъ,clár
449,Deckel::N,къалпагъ,claibín
450,Geschirr::N,къаб-къажах,soithí
451,Geschirr::N,къаб-къажах,gréithe
452,Sack::N,чувал,sac
453,Sack::N,чувал,mála
454,Tasse::N,сукӏра,cupán
455,Topf::N,къажгъан,pota
456,Kessel::N,къажгъан,citeal
457,Essen::N,тӏуьн,béile
458,Nahrung::N,тӏуьн,bia
459,Speise::N,хуьрек,mias
460,Fleisch::N,як,feoil
461,Getreide::N,техил,grán
462,Getreide::N,техил,arbhar
463,Brei::N,хапӏа,brúitín
464,Brei::N,хешил,brúitín
465,Brot::N,фу,arán
466,Scheibe::N,чӏук,píosa
467,Scheibe::N,чӏук,slisne
468,Fett::N,ягълу,saill
469,Fett::N,ягълу,méathras
470,Butter::N,гъери,im
471,Öl::N,ягълу,ola
472,Salz::N,кьел,salann
473,Suppe::N,суп,sú
474,Suppe::N,суп,anraith
475,Suppe::N,шурпа,sú
476,Suppe::N,шурпа,anraith
477,Honig::N,вирт,mil
478,Milch::N,нек,bainne
479,Tee::N,чай,tae
480,Leder::N,тумаж,leathar
481,Wolle::N,йис,olann
482,Stoff::N,парча,éadach
483,Nadel::N,раб,snáthaid
484,Faden::N,гъал,snáth
485,Knopf::N,дуьгме,cnaipe
486,Knoten::N,тӏвал,snaidhm
487,Farbe::N,ранг,péint
488,Kleidung::N,партал,éadaí
489,Hemd::N,перем,léine
490,Kragen::N,хев,bóna
491,Ärmel::N,хел,muinchille
492,Hose::N,шалвар,bríste
493,Hose::N,шалвар,treabhsar
494,Gürtel::N,чӏул,crios
495,Mütze::N,бармак,caipín
496,Mütze::N,бапӏах,caipín
497,Schuh::N,ботинка,bróg
498,Stiefel::N,чекме,buatais
499,Ring::N,тупӏал,fáinne
500,Band::N,тасма,ribín
501,Kamm::N,регъ,cíor
502,Spiegel::N,гуьзгуь,scáthán
503,Riemen::N,къайиш,iall
504,Riemen::N,къайиш,strapa
505,Schnur::N,еб,téad
506,Schnur::N,еб,sreangán
507,Decke::N,яргъан,pluid
508,Decke::N,яргъан,blaincéad
509,Kissen::N,хъуьцуьган,piliúr
510,Kissen::N,хъуьцуьган,adhartán
511,Tuch::N,шал,scaif
512,Handtuch::N,дасмал,tuáille
513,Kraft::N,гуж,fórsa
514,Stärke::N,къуват,neart
515,Gesundheit::N,сагъвал,sláinte
516,Krankheit::N,тӏал,tinneas
517,Krankheit::N,тӏал,breoiteacht
518,Schmerz::N,тӏал,pian
519,Schmerz::N,тӏарвал,pian
520,Wunde::N,хер,goin
521,Fieber::N,ифин,fiabhras
522,Arznei::N,дарман,cógas
523,Brücke::N,муьгъ,droichead
524,Brunnen::N,къуй,tobar
525,Weide::N,уьруьш,féarach
526,Pfad::N,рехъ,cosán
527,Pfad::N,рехъ,conair
528,Weg::N,рехъ,slí
529,Weg::N,рехъ,bealach
530,Straße::N,рехъ,bóthar
531,Dorf::N,хуьр,sráidbhaile
532,Stadt::N,шегьер,baile
533,Stadt::N,шегьер,cathair
534,Brief::N,кагъаз,litir
535,Buch::N,улуб,cín
536,Buch::N,улуб,leabhar
537,Buchstabe::N,гьарф,litir
538,Zeitung::N,газета,nuachtán
539,Leben::N,уьмуьр,saol
540,Leben::N,уьмуьр,beatha
541,Tod::N,кьиникь,bás
542,Grab::N,сур,uaigh
543,Kirche::N,килиса,eaglais
544,Sünde::N,гунагь,peaca
545,Gott::N,аллагь,dia
546,Arbeiter::N,фяле,oibrí
547,Chef::N,гьаким,saoiste
548,Chef::N,гьаким,ceannasaí
549,Meister::N,устӏар,máistir
550,Arzt::N,доктор,lia
551,Arzt::N,доктор,dochtúir
552,Lehrer::N,муаллим,oide
553,Lehrer::N,муаллим,múinteoir
554,Geld::N,пул,airgead
555,Laden::N,магазин,siopa
556,Preis::N,къимет,praghas
557,Ware::N,мал,earra
558,Ware::N,товар,earra
559,Nutzen::N,хийир,tairbhe
560,Nutzen::N,менфят,tairbhe
561,Reichtum::N,девлет,rachmas
562,Reichtum::N,девлет,saibhreas
563,Welt::N,дуьнья,domhan
564,Land::N,уьлкве,tír
565,Staat::N,пачагьлугъ,stát
566,Staat::N,государство,stát
567,König::N,пачагь,rí
568,Macht::N,власть,cumhacht
569,Grenze::N,сергьят,críoch
570,Grenze::N,сергьят,teorainn
571,Krieg::N,дяве,cogadh
572,Feind::N,душман,namhaid
573,Gewalt::N,гуж,foréigean
574,Kampf::N,женг,troid
575,Bogen[Waffe]::N,чӏемерук,bogha
576,Pfeil::N,хьел,saighead
577,Gewehr::N,тфенг,gunna
578,Fehler::N,гъалатӏ,botún
579,Fehler::N,гъалатӏ,meancóg
580,Lüge::N,ттаб,bréag
581,Lüge::N,ттаб,éitheach
582,Schaden::N,зиян,dochar
583,Schaden::N,зиян,damáiste
584,Schaden::N,зарар,dochar
585,Schaden::N,зарар,damáiste
586,Unglück::N,бала,drochrath
587,Unglück::N,бедбахтвал,drochrath
588,Schuld::N,тахсир,locht
589,Schuld::N,тахсир,milleán
590,Alter::N,яш,aois
591,Schluss::N,эхир,deireadh
592,Zeit::N,вяде,am
593,Zeit::N,вяде,aimsir
594,Tag::N,югъ,lá
595,Morgen::N,пакама,maidin
596,Mittag::N,нисин,nóin
597,Abend::N,няни,tráthnóna
598,Nacht::N,йиф,oíche
599,Woche::N,гьафте,seachtain
600,Monat::N,варз,mí
601,Jahr::N,йис,bliain
602,Frühling::N,гатфар,earrach
603,Sommer::N,гад,samhradh
604,Herbst::N,зул,fómhar
605,Winter::N,кьуьд,geimhreadh
606,Januar::N,январь,Eanáir
607,Februar::N,февраль,Feabhra
608,März::N,март,Márta
609,April::N,апрель,Aibreán
610,Mai::N,май,Bealtaine
611,Juni::N,июнь,Meitheamh
612,Juli::N,июль,Iúil
613,August::N,август,Lúnasa
614,September::N,сентябрь,Meán Fómhair
615,Oktober::N,октябрь,Deireadh Fómhair
616,November::N,ноябрь,Samhain
617,November::N,ноябрь,Mí na Samhna
618,Dezember::N,декабрь,Mí na Nollag
619,Montag::N,ислен,Luan
620,Montag::N,ислен,Dé Luain
621,Dienstag::N,саласа,Máirt
622,Dienstag::N,саласа,Dé Máirt
623,Mittwoch::N,арбе,Céadaoin
624,Mittwoch::N,арбе,Dé Céadaoin
625,Donnerstag::N,хемис югъ,Déardaoin
626,Freitag::N,жуьмя,Aoine
627,Freitag::N,жуьмя,Dé hAoine
628,Freitag::N,жуьмя югъ,Aoine
629,Freitag::N,жуьмя югъ,Dé hAoine
630,Samstag::N,киш,Satharn
631,Samstag::N,киш,Dé Sathairn
632,Sonntag::N,гьяд,Domhnach
633,Sonntag::N,гьяд,Dé Domhnaigh
634,groß::A,еке,mór
635,groß::A,чӏехи,mór
636,klein::A,гъвечӏи,beag
637,lang::A,яргъи,fada
638,kurz::A,куьруь,gearr
639,kurz::A,куьруь,gairid
640,breit::A,гьяркьуь,leathan
641,breit::A,гьяркьуь,fairsing
642,schmal::A,гуьтӏуь,cúng
643,dicht::A,къалин,dlúth
644,dünn::A,кьелечӏ,caol
645,dünn::A,кьелечӏ,tanaí
646,fein::A,шуькӏуь,scáinte
647,fein::A,шуькӏуь,fíneálta
648,fest::A,кӏеви,daingean
649,flach::A,кьулу,cothrom
650,glatt::A,цӏалцӏам,mín
651,glatt::A,цӏалцӏам,sleamhain
652,hart::A,кӏеви,crua
653,weich::A,хъуьтуьл,bog
654,rund::A,элкъвей,cruinn
655,spitz::A,хци,gobach
656,spitz::A,хци,biorach
657,scharf::A,хци,géar
658,scharf::A,хци,faobhrach
659,stumpf::A,къуьруь,maol
660,schwer::A,залан,trom
661,schön::A,иер,álainn
662,heiß::A,кудай,te
663,warm::A,чими,te
664,kalt::A,мекьи,fuar
665,kühl::A,къайи,fionnuar
666,frisch::A,таза,úr
667,frisch::A,таза,friseáilte
668,frisch::A,михьи,úr
669,frisch::A,михьи,friseáilte
670,feucht::A,ламу,tais
671,nass::A,кьежей,fliuch
672,trocken::A,кьуру,tirim
673,voll::A,ацӏай,lán
674,leer::A,буш,folamh
675,leer::A,ичӏи,folamh
676,offen::A,ахъа,oscailte
677,geschlossen::A,кӏеви,dúnta
678,geschlossen::A,кӏеви,druidte
679,sauber::A,михьи,glan
680,schmutzig::A,чиркин,salach
681,schmutzig::A,кьацӏай,salach
682,roh::A,чиг,amh
683,roh::A,ицӏи,amh
684,reif::A,дигмиш хьайи,aibí
685,lecker::A,дадлу,blasta
686,süß::A,ширин,milis
687,bitter::A,туькьуьл,searbh
688,sauer::A,цуру,géar
689,sauer::A,цуру,searbh
690,hell::A,экуь,geal
691,hell::A,экуь,soilseach
692,dunkel::A,мичӏи,dorcha
693,schwarz::A,чӏулав,dubh
694,weiß::A,лацу,bán
695,rot::A,яру,dearg
696,gelb::A,хъипи,buí
697,blau::A,вили,gorm
698,grün::A,къацу,glas
699,grün::A,къацу,uaine
700,grau::A,рехи,liath
701,bunt::A,цӏару,ildathach
702,bunt::A,цӏару,dathannach
703,bunt::A,яру-цӏару,ildathach
704,bunt::A,яру-цӏару,dathannach
705,billig::A,ужуз,saor
706,teuer::A,багьа,daor
707,teuer::A,багьа,costasach
708,wertvoll::A,масан,luachmhar
709,blind::A,буьркьуь,dall
710,blind::A,буьркьуь,caoch
711,taub::A,биши,bodhar
712,kräftig::A,гужлу,cumhachtach
713,stark::A,къуватлу,tréan
714,stark::A,къуватлу,láidir
715,schwach::A,такьатсуз,lag
716,schwach::A,такьатсуз,fann
717,fett::A,куьк,ramhar
718,schlank::A,шумал,caol
719,schlank::A,шумал,seang
720,hübsch::A,гуьрчег,álainn
721,hübsch::A,гуьрчег,dathúil
722,böse::A,пис,olc
723,dumm::A,ахмакь,dúr
724,dumm::A,ахмакь,amaideach
725,faul::A,тенпел,falsa
726,faul::A,тенпел,leisciúil
727,fleißig::A,сяй ийидай,dícheallach
728,fleißig::A,сяйи ийидай,dícheallach
729,geizig::A,мискьи,barainneach
730,geizig::A,мискьи,sprionlaithe
731,klug::A,акьуллу,cliste
732,geschickt::A,магьир,oilte
733,geschickt::A,магьир,ealaíonta
734,lieb::A,играми,dil
735,lieb::A,играми,dílis
736,lustig::A,шад,aerach
737,lustig::A,шад,meidhreach
738,sanft::A,назик,bog
739,sanft::A,назик,séimh
740,sanft::A,милайим,bog
741,sanft::A,милайим,séimh
742,hungrig::A,гишин,ocrach
743,krank::A,кефсуз,tinn
744,krank::A,кефсуз,breoite
745,nackt::A,кьецӏил,nocht
746,traurig::A,пашман,brónach
747,lebendig::A,ччан алай,beo
748,gut::A,хъсан,maith
749,gut::A,вижевай,maith
750,schlecht::A,пис,dona
751,schlecht::A,пис,droch-
752,richtig::A,дуьз,ceart
753,schlimm::A,нифретлу,gránna
754,schlimm::A,нифретлу,tubaisteach
755,wahr::A,гьакъикъи,fíor
756,alt::A,эски,sean
757,alt::A,куьгьне,sean
758,neu::A,цӏийи,úr
759,neu::A,цӏийи,nua
760,ehemalig::A,виликан,iar-
761,ehemalig::A,виликан,sean-
762,alt[Lebewesen]::A,кьуьзуь,sean
763,alt[Lebewesen]::A,кьуьзуь,aosta
764,jung::A,жегьил,óg
765,arm::A,кесиб,bocht
766,reich::A,девлетлу,saibhir
767,reich::A,девлетлу,rachmasach
768,bekannt::A,чидай,atá eolas air
769,berühmt::A,машгьур,cailiúil
770,berühmt::A,машгьур,clúiteach
771,fremd::A,ччара,coimhthíoch
772,verschieden::A,жуьреба-жуьре,éagsúil
773,verschieden::A,жуьреба-жуьре,difriúil
774,nah::A,мукьвал,gar
775,nah::A,мукьвал,deas
776,fern::A,яргъал,i bhfad uainn
777,fern::A,яргъал,i bhfad i gcéin
778,linker::A,чапла,clé
779,rechter::A,эрчӏи,deas
780,anderer::A,маса,eile
781,anderer::A,муькуь,eile
782,erster::A,сад лагьай,céad
783,zweiter::A,кьвед лагьай,dóú
784,zweiter::A,кьвед лагьай,dara
785,dritter::A,пуд лагьай,tríú
786,dritter::A,пуд лагьай,treas
787,letzter::A,эхиримжи,déanach
788,letzter::A,эхиримжи,deireanach
789,allein::ADV,кьилди,i d'aonar
