,Concept_ID,ba,ta
283,Ort::N,ерҙәр,இடம்
284,Ort::N,урындар,இடம்
285,Ort::N,эш урыны,இடம்
286,Seite::N,яҡ,பக்கம்
287,Mitte::N,урталыҡ,இடைப்பகுதி
288,Gegenstand::N,нәмә,உருப்படி
289,Sache::N,нәмә,பொருள்
290,Sache::N,әйбер,பொருள்
291,Rand::N,сит,தொங்கு
292,Kante::N,ҡабырға,விளிம்பு
293,Kante::N,ян,விளிம்பு
294,Ecke::N,мөйөш,மூலை
295,Spitze::N,ос,முனை
296,Ende::N,аҙаҡ,முடிவு
297,Loch::N,тишек,துளை
298,Winkel::N,мөйөш,கோணம்
299,Muster::N,биҙәк,பாங்கு
300,Größe::N,ҙурлыҡ,அளவு
301,Länge::N,оҙонлоҡ,நீளம்
302,Höhe::N,бейеклек,உயரம்
303,Gewicht::N,үлсәү,எடை
304,Menge::N,һан,தொகை
305,Haufen::N,өйөм,குவியல்
306,Reihe::N,рәт,வரிசை
307,Boot::N,кәмә,படகு
308,Ruder::N,ишкәк,துடுப்பு
309,Schlitten::N,сана,சகடையிலா வண்டி
310,Ski::N,саңгы,பனிச் சறுக்கல்
311,Lagerfeuer::N,костер,மூட்டம்
312,Last::N,ауырлыҡ,பாரம்
313,Gang::N,барыу,நடை
314,Schritt::N,аҙым,காலடி
315,Norden::N,төньяҡ,வடக்கு
316,Süden::N,көньяҡ,தெற்கு
317,Westen::N,көнбайыш,மேற்கு திசை
318,Osten::N,көнсығыш,கிழக்கு
319,Holz::N,үағас,மரக்கட்டை
320,Brett::N,таҡта,பலகை
321,Platte::N,плита,பலகம்
322,Stütze::N,терәк,அடைப்புகன்
323,Stange::N,кәртә,கம்பம்
324,Stock::N,таяҡ,குச்சி
325,Stab::N,ҡолға,கம்பு
326,Rohr::N,торба,குழாய்
327,Haus::N,өй,வீடு
328,Haus::N,йорт,வீடு
329,Heim::N,өй,வீடு
330,Ofen::N,мейес,அடுப்பு
331,Fußboden::N,енес,தரை
332,Tisch::N,өҫтәл,மேசை
333,Stuhl::N,ултырғыс,நாற்காலி
334,Wiege::N,бишек,தொட்டில்
335,Bett::N,карауат,படுக்கை
336,Regal::N,кәштә,அலமாரி
337,Kiste::N,йәшинк,பெட்டி
338,Fenster::N,тәҙрә,சாளரம்
339,Tür::N,ишек,கதவு
340,Tor::N,ҡапҡа,வாசற்கதவு
341,Zaun::N,ҡойма,வேலி
342,Dach::N,түбә,கூரை
343,Dach::N,ҡыйыҡ,கூரை
344,Leiter::N,баҫҡыс,ஏணி
345,Besen::N,һепертке,விளக்குமாறு
346,Spaten::N,көрәк,மண்வெட்டி
347,Schaufel::N,көрәк,அடிதண்டா
348,Gabel::N,сәнске,முட்கரண்டி
349,Löffel::N,ҡалаҡ,கரண்டி
350,Messer::N,бысаҡ,கத்தி
351,Nagel::N,сөй,ஆணி
352,Netz::N,ау,வலை
353,Haken::N,ыргаҡ,கொக்கி
354,Griff::N,тотҡа,கைப்பிடி
355,Schloss::N,йоҙаҡ,பூட்டு
356,Bild::N,картина,படம்
357,Figur::N,һын,எண்ணிக்கை
358,Puppe::N,ҡурсаҡ,பொம்மை
359,Beutel::N,тоҡ,பை
360,Bündel::N,төргәк,பொதி
361,Tasche::N,сумка,பை
362,Eimer::N,биҙрә,வாளி
363,Deckel::N,ҡапҡас,உறை
364,Geschirr::N,һауыт-һаба,பாத்திரம்
365,Sack::N,тоҡ,பை
366,Tasse::N,сынаяҡ,கிண்ணம்
367,Topf::N,кәстрүл,பானை
368,Kessel::N,ҡаҙан,கெண்டி
369,Essen::N,ашау,உணவருந்துதல்
370,Nahrung::N,аҙыҡ,உணவு
371,Speise::N,аш,உணவு வகை
372,Fleisch::N,ит,இறைச்சி
373,Getreide::N,иген,மக்காச்சோளம்
374,Getreide::N,ашлыҡ,மக்காச்சோளம்
375,Brei::N,бутҡа,கஞ்சி
376,Brot::N,икмәк,ரொட்டி
377,Scheibe::N,телем,துண்டு
378,Fett::N,май,கொழுப்பு
379,Butter::N,май,வெண்ணெய்
380,Öl::N,май буяуы,எண்ணெய்
381,Salz::N,тоҙ,உப்பு
382,Suppe::N,һурпа,ரசம்
383,Honig::N,бал,தேன்
384,Milch::N,һөт,பால்
385,Tee::N,сәй,தெனீர்
