,Concept_ID,et,sl
265,Gelächter::N,naer,grohòt
266,Glück::N,õnn,sréča
267,Kummer::N,mure,gorjé
268,Kummer::N,kurbus,gorjé
269,Wunsch::N,soov,žêlja
270,Lust::N,himu,poželênje
271,Geist::N,vaim,dúša
272,Gedanke::N,mõte,mísel
273,Gedächtnis::N,mälu,pámet
274,Verstand::N,aru,
275,Verstand::N,mõistus,
276,Sinn::N,tähendus,pomèn
277,Sinn::N,tähendus,smísel
278,Grund::N,põhjus,vzròk
279,Wahrheit::N,tõde,resníca
280,Gespräch::N,kõne,pogóvor
281,Gespräch::N,vestlus,pogóvor
282,Märchen::N,muinasjutt,právljica
283,Erzählung::N,jutustus,povést
284,Nachricht::N,teade,sporočílo
285,Neuigkeit::N,uudis,novóst
286,Name::N,nimi,imé
287,Rätsel::N,mõistatus,ugánka
288,Rede::N,kõne,góvor
289,Sprache::N,keel,jêzik
290,Stimme::N,hääl,glás
291,Wort::N,sõna,beséda
292,Zeichen::N,märk,znák
293,Ruf::N,hüüe,klíc
294,Lärm::N,müra,hrúp
295,Lärm::N,müra,trúšč
296,Laut::N,hääl,glás
297,Ton::N,toon,tón
298,Lied::N,laul,pésem
299,Ruhe::N,rahu,pokòj
300,Ruhe::N,vaikus,pokòj
301,Leute::N,inimesed,ljudjé
302,Volk::N,rahvas,národ
303,Arbeit::N,töö,délo
304,Gast::N,külaline,gòst
305,Geschenk::N,kingitus,darílo
306,Spiel::N,mäng,ígra
307,Gesellschaft::N,selts,drúžba
308,Hilfe::N,abi,pomóč
309,Freund::N,sõber,prijátelj
310,Kamerad::N,sõber,továriš
311,Angelegenheit::N,asi,zadéva
312,Anzahl::N,arv,števílo
313,Anzahl::N,hulk,števílo
314,Art::N,liik,vŕsta
315,Stück::N,tükk,kós
316,Teil::N,osa,dél
317,Hälfte::N,pool,polovíca
318,Kreis::N,ring,króg
319,Kreis::N,ring,kolobár
320,Kreuz::N,rist,kríž
321,Linie::N,joon,próga
322,Strich::N,joon,čŕta
323,Abstand::N,vahe,preslédek
324,Entfernung::N,kaugus,oddáljenost
325,Entfernung::N,vahemaa,oddáljenost
326,Gegend::N,ümbrus,kràj
327,Gegend::N,ümbrus,dežêla
328,Platz::N,ruum,prôstor
329,Ort::N,paik,mésto
330,Seite::N,pool,bòk
331,Seite::N,pool,strán
332,Mitte::N,keskpaik,sredína
333,Gegenstand::N,ese,prédmet
334,Sache::N,ese,réč
335,Sache::N,ese,stvár
336,Rand::N,äär,kràj
337,Rand::N,serv,kràj
338,Kante::N,kant,rób
339,Ecke::N,nurk,vogál
340,Spitze::N,teravik,óst
341,Ende::N,ots,kônec
342,Ende::N,jupp,kônec
343,Loch::N,auk,lúknja
344,Winkel::N,nurk,kót
345,Muster::N,muster,vzórec
346,Größe::N,suurus,veličína
347,Länge::N,pikkus,dolžína
348,Höhe::N,kõrgus,vršína
349,Gewicht::N,kaal,téža
350,Gewicht::N,raskus,téža
351,Menge::N,arv,količína
352,Menge::N,hulk,količína
353,Haufen::N,hunnik,kùp
354,Haufen::N,hunnik,kopíca
355,Reihe::N,rivi,níz
356,Reihe::N,rivi,vŕsta
357,Boot::N,paat,čóln
358,Ruder::N,aer,vêslo
359,Schlitten::N,saan,saní
360,Ski::N,suusk,smučí
361,Lagerfeuer::N,lõke,táborni ôgenj
362,Last::N,koorem,tôvor
363,Gang::N,käik,hòd
364,Schritt::N,samm,korák
365,Norden::N,põhi,séver
366,Süden::N,lõuna,júg
367,Westen::N,lääs,zapàd
368,Osten::N,ida,vzhòd
369,Holz::N,puu,lés
370,Brett::N,saelaud,deskà
371,Platte::N,plaat,plôča
372,Stütze::N,tugi,opóra
373,Stütze::N,tugi,zaslómba
374,Stange::N,latt,gréd
375,Stange::N,teivas,gréd
376,Stock::N,kepp,pálica
377,Stab::N,varras,pálica
378,Rohr::N,toru,cév
379,Haus::N,maja,híša
380,Heim::N,kodu,dóm
381,Ofen::N,ahi,péč
382,Fußboden::N,põrand,pòd
383,Tisch::N,laud,míza
384,Stuhl::N,tool,stòl
385,Wiege::N,häll,zíbel
386,Wiege::N,kätki,zíbel
387,Bett::N,voodi,póstelja
388,Regal::N,riiul,políca
389,Kiste::N,kast,zabòj
390,Fenster::N,aken,ôkno
391,Tür::N,uks,vráta
392,Tor::N,värav,velíka vráta
393,Zaun::N,aed,ográja
394,Zaun::N,tara,ográja
395,Dach::N,katus,stréha
396,Leiter::N,redel,léstev
397,Besen::N,luud,mêtla
398,Spaten::N,labidas,lopáta
399,Schaufel::N,kühvel,lopáta
400,Gabel::N,kahvel,vílice
401,Löffel::N,lusikas,žlíca
402,Messer::N,nuga,nòž
403,Nagel::N,nael,žebèlj
404,Netz::N,võrk,mréža
405,Haken::N,haak,kljúka
406,Haken::N,konks,kljúka
407,Griff::N,sang,ročáj
408,Griff::N,sang,oprijèm
409,Griff::N,käepide,ročáj
410,Griff::N,käepide,oprijèm
411,Schloss::N,lukk,ključávnica
412,Bild::N,pilt,slíka
413,Figur::N,kuju,figúra
414,Figur::N,kuju,postáva
415,Figur::N,kujund,figúra
416,Figur::N,kujund,postáva
417,Puppe::N,nukk,lútka
418,Beutel::N,paun,môšnja
419,Bündel::N,kimp,cúla
420,Bündel::N,kimp,svéženj
421,Tasche::N,kott,tórba
422,Tasche::N,kott,tobôlec
423,Eimer::N,pang,vêdro
424,Eimer::N,ämber,vêdro
425,Deckel::N,kaas,pokròv
426,Deckel::N,kaas,poklópec
427,Geschirr::N,nõud,posóda
428,Sack::N,kott,vréča
429,Tasse::N,tass,skodélica
430,Topf::N,pada,lônec
431,Kessel::N,pada,kôtel
432,Essen::N,söök,hrána
433,Nahrung::N,toit,živílo
434,Speise::N,roog,jéd
435,Fleisch::N,liha,mesó
436,Getreide::N,teravili,žíto
437,Brei::N,puder,káša
438,Brot::N,sai,krùh
439,Brot::N,leib,krùh
440,Scheibe::N,viil,réženj
441,Scheibe::N,viilukas,réženj
442,Fett::N,rasv,mást
443,Fett::N,rasv,maščôba
444,Butter::N,või,máslo
445,Öl::N,õli,ólje
446,Salz::N,sool,sól
447,Suppe::N,supp,júha
448,Honig::N,mesi,méd
449,Milch::N,piim,mléko
450,Tee::N,tee,čáj
451,Leder::N,nahk,úsnje
452,Wolle::N,vill,vólna
453,Stoff::N,kangas,blagó
454,Nadel::N,nõel,ígla
455,Faden::N,niit,nít
456,Knopf::N,nööp,gúmb
457,Knoten::N,sõlm,vôzel
458,Farbe::N,värv,bárva
459,Kleidung::N,riided,obléka
460,Kleidung::N,riietus,obléka
461,Hemd::N,särk,srájca
462,Kragen::N,krae,ovrátnik
463,Ärmel::N,varrukas,rokáv
464,Hose::N,püksid,hláče
465,Gürtel::N,vöö,pás
466,Mütze::N,müts,kápa
467,Mütze::N,müts,čépica
468,Schuh::N,king,čévelj
469,Stiefel::N,saabas,škórenj
470,Ring::N,sõrmus,pŕstan
471,Band::N,lint,trák
472,Kamm::N,kamm,glavník
473,Spiegel::N,peegel,zrcálo
474,Spiegel::N,peegel,ogledálo
475,Riemen::N,rihm,jêrmen
476,Schnur::N,nöör,vŕvca
477,Leine::N,jalutusrihm,konôpec
478,Decke::N,tekk,odéja
479,Kissen::N,padi,blazína
480,Tuch::N,kalev,pŕt
481,Tuch::N,kalev,rúta
482,Handtuch::N,käterätik,brisáča
483,Kraft::N,jõud,síla
484,Stärke::N,tugevus,jákost
485,Gesundheit::N,tervis,zdrávje
486,Krankheit::N,haigus,bolézen
487,Schmerz::N,valu,ból
488,Schmerz::N,valu,bolečína
489,Wunde::N,haav,rána
490,Fieber::N,palavik,vročína
491,Arznei::N,ravim,lék
492,Arznei::N,ravim,zdravílo
493,Brücke::N,sild,móst
494,Brunnen::N,kaev,vodnják
495,Weide::N,karjamaa,páša
496,Pfad::N,rada,stezà
497,Weg::N,tee,pót
498,Straße::N,tee,césta
499,Dorf::N,küla,vás
500,Stadt::N,linn,mésto
501,Brief::N,kiri,písmo
502,Buch::N,raamat,knjíga
503,Buchstabe::N,täht,čŕka
504,Zeitung::N,ajaleht,čásnik
505,Leben::N,elu,življênje
506,Tod::N,surm,smŕt
507,Grab::N,haud,gròb
508,Kirche::N,kirik,cérkev
509,Sünde::N,patt,gréh
510,Gott::N,jumal,bóg
511,Arbeiter::N,tööline,délavec
512,Chef::N,ülemus,šéf
513,Chef::N,juhataja,šéf
514,Meister::N,meister,mójster
515,Arzt::N,arst,zdravník
516,Lehrer::N,õpetaja,učítelj
517,Geld::N,raha,denár
518,Geschäft::N,äri,kupčíja
519,Laden::N,pood,trgovína
520,Laden::N,kauplus,trgovína
521,Preis::N,hind,céna
522,Ware::N,kaup,róba
523,Nutzen::N,tulu,príd
524,Nutzen::N,kasulikkus,príd
525,Reichtum::N,rikkus,bogástvo
526,Welt::N,maailm,svét
527,Land::N,maa,dežêla
528,Staat::N,riik,držáva
529,König::N,kuningas,králj
530,Macht::N,võim,oblást
531,Grenze::N,piir,mêja
532,Krieg::N,sõda,vôjna
533,Feind::N,vaenlane,sovrážnik
534,Gewalt::N,väevõim,nasílje
535,Kampf::N,võitlus,bòj
536,Kampf::N,võitlus,bórba
537,Bogen[Waffe]::N,vibu,lók
538,Pfeil::N,nool,puščíca
539,Gewehr::N,püss,púška
540,Fehler::N,viga,zmóta
541,Lüge::N,vale,láž
542,Schaden::N,kahju,okvára
543,Unglück::N,häda,nesréča
544,Unglück::N,õnnetus,nesréča
545,Schuld::N,süü,krívda
546,Alter::N,iga,dôba
547,Schluss::N,lõpp,kônec
548,Zeit::N,aeg,čàs
549,Tag::N,päev,dán
550,Morgen::N,hommik,jútro
551,Mittag::N,lõuna,póldan
552,Mittag::N,keskpäev,póldan
553,Abend::N,õhtu,večér
554,Nacht::N,öö,nóč
555,Woche::N,nädal,téden
556,Monat::N,kuu,mésec
557,Jahr::N,aasta,léto
558,Frühling::N,kevad,pomlád
559,Sommer::N,suvi,polétje
560,Herbst::N,sügis,jesén
561,Winter::N,talv,zíma
562,Januar::N,jaanuar,jánuar
563,Februar::N,veebruar,fébruar
564,März::N,märts,márec
565,April::N,aprill,apríl
566,Mai::N,mai,máj
567,Juni::N,juuni,júnij
568,Juli::N,juuli,júlij
569,August::N,august,avgúst
570,September::N,september,septêmber
571,Oktober::N,oktoober,október
572,November::N,november,novêmber
573,Dezember::N,detsember,decémber
574,Montag::N,esmaspäev,ponedéljek
575,Dienstag::N,teisipäev,tôrek
576,Mittwoch::N,kesknädal,sréda
577,Donnerstag::N,neljapäev,četŕtek
578,Freitag::N,reede,pétek
579,Samstag::N,laupäev,sobóta
580,Sonntag::N,pühapäev,nedélja
581,groß::A,suur,vêlik
582,klein::A,väike,májhen
583,klein::A,pisike,májhen
584,lang::A,pikk,dólg
585,kurz::A,lühike,krátek
586,breit::A,lai,širòk
587,schmal::A,kitsas,ózek
588,dicht::A,tihe,góst
589,dick[Gegenstand]::A,jäme,dêbel
590,dünn::A,õhuke,tánek
591,dünn::A,peenike,tánek
592,fein::A,peen,drôben
593,fein::A,õhuke,drôben
594,fest::A,püsiv,tŕden
595,fest::A,kindel,tŕden
596,flach::A,lame,plán
597,flach::A,lame,plòsk
598,flach::A,tasane,plán
599,flach::A,tasane,plòsk
600,glatt::A,sile,gládek
601,hart::A,kõva,tŕd
602,weich::A,pehme,mehák
603,rund::A,ümar,okrógel
604,spitz::A,torkav,šílast
605,scharf::A,terav,óster
606,stumpf::A,nüri,tóp
607,stumpf::A,nüri,skŕhan
608,schwer::A,raske,têžek
609,schön::A,kena,lép
610,schön::A,kena,krásen
611,heiß::A,kuum,vròč
612,heiß::A,palav,vròč
613,warm::A,soe,tôpel
614,kalt::A,külm,mŕzel
615,kalt::A,külm,hláden
616,kühl::A,jahe,hláden
617,frisch::A,värske,svéž
618,feucht::A,niiske,vlážen
619,nass::A,märg,móker
620,trocken::A,kuiv,súh
621,voll::A,täis,póln
622,leer::A,tühi,prázen
623,offen::A,avatud,odpŕt
624,offen::A,lahtine,odpŕt
625,geschlossen::A,suletud,zapŕt
626,sauber::A,puhas,číst
627,sauber::A,puhas,líčen
628,schmutzig::A,räpane,umázan
629,schmutzig::A,määrdunud,umázan
630,roh::A,toores,suròv
631,reif::A,küps,zrèl
632,lecker::A,hõrk,okúsen
633,lecker::A,maitsev,okúsen
634,süß::A,magus,sládek
635,bitter::A,mõru,grenák
636,sauer::A,hapu,kísel
637,hell::A,hele,svetèl
638,dunkel::A,pime,temèn
639,schwarz::A,must,čŕn
640,weiß::A,valge,bél
641,rot::A,punane,rdèč
642,gelb::A,kollane,žólt
643,gelb::A,kollane,rumèn
644,blau::A,sinine,móder
645,grün::A,roheline,zelèn
646,grau::A,hall,sív
647,bunt::A,kirju,písan
648,bunt::A,värviline,písan
649,billig::A,odav,pocéni
650,teuer::A,kallis,drág
651,wertvoll::A,väärtuslik,dragocén
652,blind::A,pime,slép
653,taub::A,kurt,glúh
654,kräftig::A,jõuline,močán
655,stark::A,tugev,ják
656,schwach::A,nõrk,šíbek
657,schwach::A,jõuetu,šíbek
658,fett::A,rasvane,dêbel
659,schlank::A,sale,vítek
660,hübsch::A,kena,lép
661,böse::A,tige,zèl
662,böse::A,tige,hudôben
663,dumm::A,juhm,glúp
664,dumm::A,juhm,bédast
665,dumm::A,rumal,glúp
666,dumm::A,rumal,bédast
667,faul::A,laisk,lén
668,fleißig::A,virk,marljív
669,fleißig::A,hoolas,marljív
670,geizig::A,ihne,škŕt
671,klug::A,tark,pámeten
672,klug::A,arukas,pámeten
673,klug::A,mõistlik,pámeten
674,geschickt::A,osav,spréten
675,lieb::A,armas,míl
676,lieb::A,armas,ljúb
677,lustig::A,lõbus,vesél
678,sanft::A,õrn,láhek
679,hungrig::A,näljane,láčen
680,krank::A,haige,bolán
681,nackt::A,alasti,nág
682,traurig::A,kurb,túžen
683,lebendig::A,elus,žív
684,gut::A,hea,dóber
685,schlecht::A,halb,malopríden
686,richtig::A,õige,pravílen
687,schlimm::A,paha,húd
688,wahr::A,tõene,resníčen
689,alt::A,vana,stàr
690,neu::A,uus,nòv
691,ehemalig::A,endine,nekdánji
692,alt[Lebewesen]::A,vana,stàr
693,jung::A,noor,mlád
694,arm::A,vaene,ubóg
695,arm::A,vaene,réven
696,reich::A,rikas,bogàt
697,bekannt::A,teada,znán
698,bekannt::A,tuttav,znán
699,berühmt::A,tuntud,sláven
700,berühmt::A,tuntud,znamenít
701,fremd::A,võõras,túj
702,verschieden::A,erinev,razlíčen
703,nah::A,lähedane,blížnji
704,fern::A,kauge,dáleč
705,linker::A,vasak,lévi
706,rechter::A,parem,désni
707,anderer::A,muu,drúgi
708,anderer::A,teine,drúgi
709,erster::A,esimene,pŕvi
710,zweiter::A,teine,drúgi
711,dritter::A,kolmas,trétji
712,letzter::A,viimane,poslédnji
713,allein::ADV,üksi,sám
714,auf einmal::ADV,korraga,obênem
715,auf einmal::ADV,ühekorraga,obênem
716,zusammen::ADV,koos,skúpaj
717,zusammen::ADV,üheskoos,skúpaj
718,lange::ADV,kaua,dólgo
719,plötzlich::ADV,äkki,náglo
720,plötzlich::ADV,äkki,nenádoma
721,plötzlich::ADV,järsku,náglo
722,plötzlich::ADV,järsku,nenádoma
723,sofort::ADV,kohe,prècej
724,später::ADV,hiljem,poznêje
725,jetzt::ADV,nüüd,zdàj
726,heute::ADV,täna,dánes
727,morgen::ADV,homme,jútri
728,bald::ADV,pea,kmálu
729,bald::ADV,varsti,kmálu
730,dann::ADV,siis,nató
731,gestern::ADV,eile,včéraj
732,einst::ADV,vanasti,nékdaj
733,damals::ADV,tookord,tedàj
734,damals::ADV,tookord,takràt
735,danach::ADV,seejärel,potèm
736,vorher::ADV,enne,poprèj
737,zuerst::ADV,enne,spŕva
738,zuerst::ADV,esmalt,spŕva
739,einmal::ADV,kord,ênkrat
740,einmal::ADV,üks kord,ênkrat
741,manchmal::ADV,mõnikord,včásih
742,oft::ADV,tihti,pogósto
743,oft::ADV,sageli,pogósto
744,immer::ADV,ikka,védno
745,immer::ADV,ikka,zméraj
746,immer::ADV,alati,védno
747,immer::ADV,alati,zméraj
748,niemals::ADV,mitte kunagi,nikdàr
749,hier::ADV,siin,tù
750,hier::ADV,siin,túkaj
751,hierhin::ADV,siia,sèmkaj
752,von hier::ADV,siit,od tú
753,dort::ADV,seal,tàm
754,dorthin::ADV,sinna,tjà
755,geradeaus::ADV,otse edasi,rávno napréj
756,vorwärts::ADV,edasi,napréj
757,rückwärts::ADV,tagurpidi,zádaj
758,zurück::ADV,tagasi,nazáj
759,unten::ADV,all,dôli
760,unten::ADV,all,spôdaj
761,unten::ADV,allpool,dôli
762,unten::ADV,allpool,spôdaj
763,hinab::ADV,alla,dôl
764,oben::ADV,ülal,gôri
765,oben::ADV,ülal,zgôraj
766,hinauf::ADV,üles,gôr
767,überall::ADV,kõikjal,povsód
768,nicht::ADV,ei,ne
769,nicht::ADV,mitte,ne
770,ein wenig::ADV,veidi,málo
771,ein wenig::ADV,natuke,málo
772,kaum::ADV,vaevalt,kómaj
773,sehr::ADV,väga,zeló
774,so::ADV,nii,takó
775,noch::ADV,veel,še
776,nur::ADV,ainult,samó
777,schon::ADV,juba,žè
778,wieder::ADV,jälle,spét
779,vergebens::ADV,asjata,zamàn
780,vergebens::ADV,asjata,zastónj
781,vor::PRP,ees,pred
782,hinter::PRP,taha,za
783,unter::PRP,all,pod
784,durch::PRP,läbi,skózi
785,durch::PRP,kaudu,skózi
786,neben::PRP,kõrval,kràj
787,neben::PRP,kõrval,póleg
788,zwischen::PRP,vahel,med
789,zwischen::PRP,vahel,izmed
790,wegen::PRP,tõttu,zarádi
791,wegen::PRP,pärast,zarádi
792,dies::PRN,see,tó
793,das::PRN,see,tó
794,alles::PRN,kõik,vsè
795,ich::PRN,mina,jàz
796,du::PRN,sina,tí
797,er::PRN,tema,òn
798,wir::PRN,me,mí
799,ihr::PRN,te,ví
800,sie::PRN,nad,ôni
801,was::FPRN,mis,káj
802,wer::FPRN,kes,kdó
803,wo::FADV,kus,kjé
804,wohin::FADV,kuhu,kám
805,wie::FADV,kuidas,kakó
806,warum::FADV,miks,zakáj
807,wieviel::FNUM,mitu,kóliko
808,wieviel::FNUM,kui palju,kóliko
809,eins::NUM,üks,êden
810,zwei::NUM,kaks,dvá
811,drei::NUM,kolm,trí
812,vier::NUM,neli,štíri
813,fünf::NUM,viis,pét
814,sechs::NUM,kuus,šést
815,sieben::NUM,seitse,sédem
816,acht::NUM,kaheksa,ósem
817,neun::NUM,üheksa,devét
818,zehn::NUM,kümme,desét
819,elf::NUM,üksteist,enájst
820,zwölf::NUM,kaksteist,dvánajst
821,zwanzig::NUM,kakskümmend,dvájset
822,dreißig::NUM,kolmkümmend,trídeset
823,vierzig::NUM,nelikümmend,štírideset
824,fünfzig::NUM,viiskümmend,pétdeset
