,Concept_ID,cv,av
203,Korn::N,тӗшӗ,мугь
204,Korn::N,пӗрчӗ,мугь
205,Heu::N,утӑ,хер
206,Schale::N,хупӑ,хъал
207,Grube::N,шӑтӑк,гвенд
208,Falle::N,тапӑ,къор
209,Falle::N,тапӑ,къотен
210,Falle::N,капкӑн,къор
211,Falle::N,капкӑн,къотен
212,Schlinge::N,йӑлӑ,кӏичӏ
213,Spur::N,йӗр,лъалкӏ
214,Asche::N,кӗл,рахъу
215,Dreck::N,пылчӑк,гъиз
216,Dreck::N,пылчӑк,хӏарщ
217,Eisen::N,тимӗр,махх
218,Gold::N,ылтӑн,месед
219,Silber::N,кӗмӗл,гӏарац
220,Kohle::N,кӑмрӑк,тӏурччи
221,Glas::N,кӗленче,цӏер
222,Lehm::N,тӑм,хӏатӏ
223,Sand::N,хӑйӑр,сали
224,Mensch::N,ҫын,чи
225,Mensch::N,этем,чи
226,Mann::N,ар,бихьинчи
227,Frau::N,хӗрарӑм,гӏадан
228,Kind::N,ача,лъимер
229,Junge::N,ача,вас
230,Junge::N,ар ҫын ача,вас
231,Mädchen::N,хӗр ача,яс
232,Familie::N,ҫемье,хъизан
233,Familie::N,кил-йыш,хъизан
234,Großvater::N,кукаҫи,кӏудада
235,Großmutter::N,кукамай,кӏодо
236,Eltern::N,аҫа-ама,эбел-эмен
237,Vater::N,атте,эмен
238,Mutter::N,анне,эбел
239,Sohn::N,ывӑл,вас
240,Tochter::N,хӗр,яс
241,Bruder::N,ар тӑван,вац
242,Schwester::N,аппа,яц
243,Schwester::N,йӑмӑк,яц
244,Onkel::N,мучи,даци
245,Onkel::N,пичче,даци
246,Tante::N,аппа,ада
247,Ehemann::N,упӑшка,рос
248,Ehefrau::N,арӑм,чӏужу
249,Freude::N,савӑнӑҫ,ракӏбохи
250,Freude::N,хаваслӑх,ракӏбохи
251,Gelächter::N,кулӑ,релъи
252,Glück::N,телей,талихӏ
253,Glück::N,телей,талихӏ-рохел
254,Glück::N,ӑраскал,талихӏ
255,Glück::N,ӑраскал,талихӏ-рохел
256,Kummer::N,хурлӑх,хӏалкъай
257,Wunsch::N,ӗмӗт,къасд
258,Wunsch::N,кӑмӑл,къасд
259,Lust::N,кӑмӑл,гъира
260,Geist::N,чун-чӗм,чӏанкӏ
261,Geist::N,чун-чӗм,рухӏ-жан
262,Geist::N,ыр-усал,чӏанкӏ
263,Geist::N,ыр-усал,рухӏ-жан
264,Geist::N,чун хавалӗ,чӏанкӏ
265,Geist::N,чун хавалӗ,рухӏ-жан
266,Gedanke::N,шухӑш,пикру
267,Gedächtnis::N,ас,
268,Verstand::N,ӑс,лумалъи
269,Verstand::N,ӑс,цӏодорлъи
270,Verstand::N,ӑс-тӑн,лумалъи
271,Verstand::N,ӑс-тӑн,цӏодорлъи
272,Verstand::N,ӑс-хакӑл,лумалъи
273,Verstand::N,ӑс-хакӑл,цӏодорлъи
274,Sinn::N,тупсӑм,магӏна
275,Sinn::N,пӗлтерӗш,магӏна
276,Grund::N,сӑлтав,багьана
277,Wahrheit::N,чӑнлӑх,ритӏухълъи
278,Gespräch::N,калаҫу,накъит
279,Märchen::N,юмах,маргьа
280,Erzählung::N,акалав,къиса
281,Erzählung::N,каласа пани,къиса
282,Nachricht::N,хыпар,хабар
283,Neuigkeit::N,ҫӗнӗ хыпар,хабар-гӏазаб
284,Name::N,ят,цӏар
285,Rätsel::N,сутмалли юмах,бицанкӏо
286,Rede::N,сӑмах,речь
287,Rede::N,сӑмах,калам
288,Sprache::N,чӗлхе,мацӏ
289,Stimme::N,сасӑ,гьаракь
290,Wort::N,сӑмах,рагӏи
291,Zeichen::N,паллӑ,ишара
292,Zeichen::N,паллӑ,гӏаламат
293,Ruf::N,йыхрав,ахӏи
294,Ruf::N,чӗнӳ,ахӏи
295,Lärm::N,шав,хъуй
296,Lärm::N,шав,хъуди
297,Laut::N,сасӑ,гьаракь
298,Laut::N,сасӑ,сас
299,Ton::N,сасӑ,
300,Lied::N,юрӑ,кечӏ
301,Ruhe::N,канӑҫлӑх,рахӏат
302,Ruhe::N,лӑпкӑлӑх,рахӏат
303,Leute::N,ҫамрӑксем,гӏадамал
304,Leute::N,ҫамрӑк ҫынсем,гӏадамал
305,Volk::N,халӑх,халкъ
306,Arbeit::N,ӗҫхӗл,хӏалтӏи
307,Arbeit::N,ӗҫлев,хӏалтӏи
308,Gast::N,хӑна,гьобол
309,Geschenk::N,парне,сайигъат
310,Geschenk::N,кучченеҫ,сайигъат
311,Spiel::N,вӑйӑ,хӏай
312,Spiel::N,вӑйӑ,расанди
313,Gesellschaft::N,общество,жамагӏат
314,Hilfe::N,пулӑшу,кумек
315,Freund::N,тус,гьудул
316,Kamerad::N,юлташ,гьалмагъ
317,Kamerad::N,тус,гьалмагъ
318,Angelegenheit::N,ӗҫ,къваригӏел
319,Anzahl::N,йыш,рикӏкӏен
320,Anzahl::N,хисеп,рикӏкӏен
321,Art::N,тӗс,жинс
322,Stück::N,татӑк,кесек
323,Teil::N,пай,пай
324,Hälfte::N,ҫурӑ,бащдаб
325,Kreis::N,ункӑ,гор
326,Kreis::N,ҫавракӑш,гор
327,Kreuz::N,хӗрес,хъанч
328,Linie::N,йӗр,мухъ
329,Strich::N,йӗр,хӏучч
330,Abstand::N,хушӑ,манзил
331,Entfernung::N,хушӑ,манзил
332,Gegend::N,вырӑн,рахъ
333,Platz::N,хутлӑх,бакӏ
334,Ort::N,вырӑн,бакӏ
335,Seite::N,ен,рахъ
336,Seite::N,аяк,рахъ
337,Seite::N,айӑк,рахъ
338,Mitte::N,варӑ,бакьулъбакӏ
339,Gegenstand::N,япала,жо
340,Sache::N,япала,жо
341,Rand::N,вӗҫ,мицӏир
342,Rand::N,хӗрӗ,мицӏир
343,Rand::N,хӗрри,мицӏир
344,Kante::N,хайкача,рагӏал
345,Kante::N,хайкача,рагӏа-ракьан
346,Kante::N,хысак,рагӏал
347,Kante::N,хысак,рагӏа-ракьан
348,Ecke::N,кӗтес,цили
349,Spitze::N,вӗҫ,тӏогь
350,Ende::N,вӗҫ,кӏал
351,Loch::N,шӑтӑк,каратӏ
352,Winkel::N,кӗтес,
353,Muster::N,эреш,накъиш
354,Größe::N,пысӑкӑш,кӏодо́лъи
355,Länge::N,вӑрӑмӑш,халалъи
356,Höhe::N,ҫӳллӗш,борхалъи
357,Gewicht::N,виҫе,бакӏлъи
358,Gewicht::N,йывӑрӑш,бакӏлъи
359,Menge::N,йыш,
360,Haufen::N,купа,гъуни
361,Reihe::N,рет,ирга́
362,Boot::N,кимӗ,раса
363,Ruder::N,кӗсмен,раххан
364,Schlitten::N,ҫуна,чанагъ
365,Ski::N,йӗлтӗр,лыжаби
366,Lagerfeuer::N,вут,цӏа
367,Lagerfeuer::N,кӑвайт,цӏа
368,Last::N,сулмаклӑх,бакӏлъи
369,Last::N,йывӑр япала,бакӏлъи
370,Gang::N,куҫӑм,хьвади
371,Gang::N,куҫӑм,хьвада-чӏвади
372,Schritt::N,утӑм,гали
373,Schritt::N,пусӑм,гали
374,Norden::N,ҫурҫӗр,шимал
375,Süden::N,кӑнтӑр,юг
376,Süden::N,кӑнтӑр,къибла
377,Westen::N,анӑҫ,гъарб
378,Westen::N,анӑҫ,магъриб
379,Westen::N,хӗвел анӑҫ,гъарб
380,Westen::N,хӗвел анӑҫ,магъриб
381,Osten::N,хӗвел тухӑҫ,шаркъ
382,Osten::N,хӗвел тухӑҫ,машрикъ
383,Holz::N,йывӑҫ,цӏул
384,Brett::N,хӑма,хъарщи
385,Platte::N,плита,къоно
386,Stütze::N,ура,
387,Stange::N,шерте,гӏер
388,Stock::N,патак,тӏил
389,Stab::N,шӑчӑ,гӏер
390,Rohr::N,пӑрӑх,турба
391,Haus::N,ҫурт,ригь
392,Haus::N,ҫурт,рукъзал
393,Heim::N,кил,рукъ
394,Ofen::N,кӑмака,печь
395,Fußboden::N,урай,чӏабар
396,Tisch::N,сӗтел,стол
397,Stuhl::N,пукан,бакӏу
398,Wiege::N,сӑпка,кини
399,Bett::N,кравать,кровать
400,Regal::N,ҫӳлӗк,хъарщи
401,Regal::N,сентре,хъарщи
402,Kiste::N,ещӗк,ящик
403,Kiste::N,ещӗк,тӏалагъуд
404,Kiste::N,сунтӑх,ящик
405,Kiste::N,сунтӑх,тӏалагъуд
406,Fenster::N,чӳрече,гордо
407,Tür::N,алӑк,нуцӏа
408,Tor::N,хапха,каву
409,Zaun::N,хӳме,раци
410,Dach::N,тӑрӑ,тӏох
411,Leiter::N,пусма,мали
412,Besen::N,шӑпӑр,жул
413,Spaten::N,кӗреҫе,бел
414,Schaufel::N,кӗреҫе,раххан
415,Gabel::N,вилка,гӏучӏ
416,Löffel::N,кашӑк,гъуд
417,Messer::N,ҫӗҫӗ,нус
418,Nagel::N,пӑта,магӏ
419,Netz::N,тетел,гьин
420,Haken::N,йӑрхах,гъанцӏа
421,Haken::N,ҫекӗл,гъанцӏа
422,Griff::N,хӑлӑп,гӏоркь
423,Schloss::N,ҫӑра,кӏулал
424,Bild::N,сӑн,сурат
425,Bild::N,сӑнлӑх,сурат
426,Bild::N,картина,сурат
427,Figur::N,кӗлетке,
428,Puppe::N,пукане,нани
429,Beutel::N,михӗ,таргьа
430,Bündel::N,ҫыхӑ,къай
431,Bündel::N,тӗрке,къай
432,Tasche::N,сумка,сумка
433,Tasche::N,сумка,къвачӏа
434,Eimer::N,витре,ведро
435,Deckel::N,хупӑ,тӏалъел
436,Deckel::N,хупӑ,дадитӏалъел
437,Geschirr::N,савӑт-сапа,цӏарагӏ
438,Sack::N,михӗ,хъап
439,Sack::N,михӗ,къандалъо
440,Tasse::N,курка,чашка
441,Topf::N,кастрюль,хьаг
442,Kessel::N,хуран,хьаг
443,Kessel::N,хуран,гереги
444,Essen::N,апат,тӏагӏам
445,Nahrung::N,апат-ҫимӗс,квен
446,Speise::N,апат,квен
447,Speise::N,ҫимӗҫ,квен
448,Fleisch::N,аш,гьан
449,Fleisch::N,какай,гьан
450,Getreide::N,тырӑ,бугӏа-ролъ
451,Getreide::N,тырӑ,могьолабл_культураби
452,Brei::N,пӑтӑ,карщ
453,Brot::N,ҫӑкӑр,чед
454,Scheibe::N,чӗлӗ,мочӏу
455,Scheibe::N,касӑк,мочӏу
456,Fett::N,ҫу,беэнлъи
457,Butter::N,ҫу,нах
458,Öl::N,ҫу,нах
459,Salz::N,тӑвар,цӏам
460,Suppe::N,яшка,чурпа
461,Honig::N,пыл,гьоцӏо
462,Milch::N,сӗт,рахь
463,Tee::N,чей,чай
464,Leder::N,сӑран,тӏом
465,Wolle::N,ҫӑм,квас
466,Stoff::N,тӗртӗм,ххам
467,Nadel::N,йӗп,рокӏкӏен
468,Faden::N,ҫип,кун
469,Knopf::N,тӳме,маргъал
470,Knoten::N,йӑлӑ,гарацӏ
471,Farbe::N,сӑрӑ,релъен
472,Kleidung::N,тум,ретӏел
473,Kleidung::N,ҫипуҫ,ретӏел
474,Kleidung::N,тум-тир,ретӏел
475,Hemd::N,кӗпе,гурде
476,Kragen::N,ҫуха,габур
477,Ärmel::N,ҫанӑ,къвал
478,Hose::N,шӑлавар,тӏажу
479,Gürtel::N,пиҫиххи,рачел
480,Mütze::N,ҫӗлӗк,тӏагъур
481,Schuh::N,пушмак,
482,Schuh::N,ботинок,
483,Stiefel::N,атӑ,этек
484,Stiefel::N,атӑ,чакма
485,Ring::N,ҫӗрӗ,баргъич
486,Band::N,хаю,лента
487,Band::N,йӗсме,лента
488,Kamm::N,тура,гьоркьо
489,Spiegel::N,тӗкӗр,матӏу
490,Spiegel::N,куҫ кӗски,матӏу
491,Riemen::N,чӗн,рижу
492,Schnur::N,кантра,
493,Leine::N,касмӑк,
494,Decke::N,утиял,одея́ло
495,Kissen::N,ҫытар,къандалъо
496,Kissen::N,минтер,къандалъо
497,Tuch::N,тутӑр,квархьи
498,Handtuch::N,ал шӑлли,беркӏалрацӏцӏ
499,Kraft::N,вӑй,гуч
500,Kraft::N,вӑй,къуват
501,Kraft::N,хӑват,гуч
502,Kraft::N,хӑват,къуват
503,Stärke::N,хал,хӏалкӏвей
504,Stärke::N,хӑват,хӏалкӏвей
505,Gesundheit::N,хал,сахлъи́
506,Gesundheit::N,сывлӑх,сахлъи́
507,Krankheit::N,чир,унти
508,Krankheit::N,чир,щокълъи
509,Schmerz::N,ырату,унти
510,Wunde::N,суран,ругъун
511,Fieber::N,сив чир,цӏа-кан
512,Arznei::N,эмел,дару
513,Brücke::N,кӗпер,кьо
514,Brunnen::N,ҫӑл,гъуй
515,Brunnen::N,пусӑ,гъуй
516,Weide::N,ҫаран,рицӏцӏ
517,Weide::N,ҫаран,лъичӏирма
518,Weide::N,ҫаран,гӏурдаллъи
519,Weide::N,ҫаран,ри́цӏигъветӏ
520,Weide::N,ҫаран,рицӏцӏигъветӏ
521,Pfad::N,йӗр,сухъмахъ
522,Pfad::N,сукмак,сухъмахъ
523,Weg::N,ҫул,нух
524,Weg::N,ҫул-йӗр,нух
525,Straße::N,ҫӳрев,нух
526,Straße::N,ҫул ҫӳрени,нух
527,Dorf::N,ял,росу
528,Stadt::N,хула,шагьар
529,Brief::N,ҫыру,кагъат
530,Brief::N,ҫыру,рисалат
531,Buch::N,кӗнеке,тӏехь
532,Buchstabe::N,сас палли,хӏарп
533,Zeitung::N,хаҫат,газет
534,Leben::N,пурнӑҫ,яшав
535,Tod::N,вилӗм,хвел
536,Grab::N,масар шӑтӑкӗ,хоб
537,Kirche::N,чиркӳ,килиса
538,Sünde::N,ҫылӑх,хӏакъ
539,Sünde::N,ҫылӑх,мунагь
540,Gott::N,турӑ,бичас
541,Gott::N,турӑ,аллагь
542,Arbeiter::N,рабочи,хӏалтӏухъан
543,Chef::N,пуҫлӑх,хӏаким
544,Chef::N,пуҫлӑх,начальник
545,Meister::N,ӑста,устар
546,Meister::N,ӑста,мастер
547,Meister::N,ӑста,махщалилав
548,Meister::N,мастер,устар
549,Meister::N,мастер,мастер
550,Meister::N,мастер,махщалилав
551,Arzt::N,врач,жайрахӏ
552,Arzt::N,тухтӑр,жайрахӏ
553,Lehrer::N,учитель,мугӏалим
554,Lehrer::N,вӗрентекен,мугӏалим
555,Geld::N,укҫа,гӏарац
556,Geschäft::N,бизнес,
557,Laden::N,магазин,тукен
558,Preis::N,хак,багьа
559,Ware::N,тавар,къайи
560,Nutzen::N,пайта,мунпагӏат
561,Reichtum::N,мул,бечелъи
562,Welt::N,тӗнче,дуниял
563,Land::N,ҫӗр-шыв,улка
564,Land::N,ҫӗр-шыв,икълим
565,Staat::N,патшàлӑх,пачалихъ
566,König::N,король,пача
567,König::N,король,малик
568,König::N,король,къирал
569,König::N,король,падишагь
570,Macht::N,власть,кверщел
571,Grenze::N,чикӗ,гӏорхъи
572,Krieg::N,вӑрҫӑ,рагъ
573,Feind::N,тӑшман,тушман
574,Gewalt::N,ирӗксӗрлӳ,зулму
575,Kampf::N,кӗрешӳ,къеркьей
576,Bogen[Waffe]::N,ухӑ,газаргъо
577,Pfeil::N,ҫӗмрен,чӏор
578,Pfeil::N,ухӑ йӗппи,чӏор
579,Gewehr::N,пӑшал,туманкӏ
580,Fehler::N,йӑнӑш,гъалатӏ
581,Lüge::N,суя,гьереси
582,Lüge::N,ултав,гьереси
583,Schaden::N,сиен,зиян
584,Schaden::N,сиен,зарал
585,Unglück::N,шар,балагь
586,Unglück::N,инкек,балагь
587,Schuld::N,айӑп,гӏайиб
588,Alter::N,ҫул шучӗ,гӏумру
589,Schluss::N,пӗтни,ахир
590,Schluss::N,пӗтмӗш,ахир
591,Zeit::N,вӑхӑт,заман
592,Tag::N,кун,къо
593,Morgen::N,ир,радалмех
594,Mittag::N,кӑнтӑрла,къадемех
595,Abend::N,каҫ,релъедамех
596,Nacht::N,каҫ,сордо
597,Woche::N,эрне,анкь
598,Monat::N,уйӑх,моцӏ
599,Jahr::N,ҫулталӑк,сон
600,Jahr::N,ҫулталӑк,лъагӏел
601,Frühling::N,ҫур,их
602,Frühling::N,ҫуркунне,их
603,Sommer::N,ҫу,рии
604,Sommer::N,ҫулла,рии
605,Herbst::N,кӗр,хасалихълъи
606,Herbst::N,кӗркунне,хасалихълъи
607,Winter::N,хӗл,кьин
608,Winter::N,хӗлле,кьин
609,Januar::N,январь,январь
610,Februar::N,февраль,февра́ль
611,Februar::N,кӗҫӗн кӑрлач,февра́ль
612,März::N,март,март
613,März::N,пуш уйӑхӗ,март
614,April::N,апрель,апрель
615,Mai::N,май,май
616,Juni::N,июнь,июнь
617,Juli::N,июль,июль
618,August::N,август,август
619,September::N,сентябрь,сентябрь
620,September::N,авӑн уйӑхӗ,сентябрь
621,Oktober::N,октябрь,октябрь
622,November::N,ноябрь,ноябрь
623,Dezember::N,раштав,декабрь
624,Dezember::N,декабрь,декабрь
625,Montag::N,тунти кун,итни
626,Dienstag::N,ытлари кун,талат
627,Mittwoch::N,юн кун,арбагӏ
628,Donnerstag::N,кӗҫнерни кун,хамиз
629,Freitag::N,эрне кун,рузман
630,Samstag::N,шӑмат кун,щамат
631,Sonntag::N,вырсарни кун,гьатӏан
632,groß::A,пысӑк,кӏудияб
633,klein::A,пӗчӗк,гьитӏинаб
634,lang::A,вӑрӑм,халатаб
635,kurz::A,кӗске,къокъаб
636,breit::A,сарлака,гӏебаб
637,schmal::A,ансӑр,къваридаб
638,dicht::A,йӑвӑ,ризаб
639,dick[Gegenstand]::A,хулӑн,бицатаб
640,dünn::A,ҫинҫе,тӏеренаб
641,dünn::A,ҫӳхе,тӏеренаб
642,fein::A,тарай,тӏеренаб
643,fein::A,вӗлтӗрти,тӏеренаб
644,fest::A,тӗреклӗ,къвакӏараб
645,flach::A,лаптак,чӏепараб
646,glatt::A,такӑр,цӏвакараб
647,hart::A,хытӑ,кьварараб
648,weich::A,ҫемҫе,тамахаб
649,rund::A,ҫавра,гургинаб
650,spitz::A,шӗвӗр,бегӏераб
651,scharf::A,ҫивӗч,рекӏараб
652,stumpf::A,мӑка,тӏехӏараб
653,stumpf::A,мӑка,рекӏинчӏеб
654,stumpf::A,пуклак,тӏехӏараб
655,stumpf::A,пуклак,рекӏинчӏеб
656,stumpf::A,тӗрӗнчӗк,тӏехӏараб
657,stumpf::A,тӗрӗнчӗк,рекӏинчӏеб
658,stumpf::A,ӑнкарусӑр,тӏехӏараб
659,stumpf::A,ӑнкарусӑр,рекӏинчӏеб
660,schwer::A,йывӑр,бакӏаб
661,schön::A,илемлӗ,берцинаб
662,heiß::A,вӗри,лагьараб
663,warm::A,ӑшӑ,хинаб
664,kalt::A,сивӗ,квачараб
665,kühl::A,уҫӑ,квачараб
666,frisch::A,уҫӑ,цӏияб
667,feucht::A,йӗпе,рагьараб
668,nass::A,нӳрӗ,би́ччараб
669,trocken::A,типӗ,бакъвараб
670,voll::A,тулли,
671,leer::A,пушӑ,чӏобогояб
672,offen::A,уҫӑ,рагьараб
673,geschlossen::A,хупӑ,рахараб-къараб
674,sauber::A,таса,бацӏцӏадаб
675,schmutzig::A,пылчӑклӑ,гъизараб
676,schmutzig::A,вараланчӑк,гъизараб
677,roh::A,чӗрӗ,хамаб
678,roh::A,чӗрӗ,гӏатӏгояб
679,reif::A,пулнӑ,барщараб
680,reif::A,пиҫӗхнӗ,барщараб
