,Concept_ID,uk,tr
113,Abhang::N,схил,bayır
114,Quelle::N,джерело,pınar
115,Quelle::N,джерело,kaynak
116,Bach::N,струмок,çay
117,Bach::N,струмок,dere
118,Fluss::N,річка,nehir
119,Ufer::N,берег,kıyı
120,Ufer::N,берег,sahil
121,Küste::N,узбережжя,kıyı
122,Küste::N,узбережжя,sahil
123,Festland::N,суша,kara
124,Meer::N,море,deniz
125,Bucht::N,бухта,koy
126,Bucht::N,бухта,körfez
127,Bucht::N,затока,koy
128,Bucht::N,затока,körfez
129,Insel::N,острів,ada
130,Blume::N,квітка,çiçek
131,Gras::N,трава,ot
132,Gras::N,трава,çim
133,Wurzel::N,корінь,kök
134,Baum::N,дерево,ağaç
135,Stamm::N,стовбур,gövde
136,Rinde::N,кора,kabuk
137,Ast::N,гілка,dal
138,Ast::N,гілка,budak
139,Zweig::N,галузь,dal
140,Blatt::N,лист,yaprak
141,Birke::N,береза,huş
142,Kiefer[Baum]::N,сосна,çam
143,Weide[Baum]::N,верба,söğüt
144,Tanne::N,ялиця,çam
145,Tanne::N,ялиця,köknar
146,Horn::N,ріг,boynuz
147,Feder::N,перо,tüy
148,Fell::N,хутро,post
149,Flügel::N,крило,kanat
150,Klaue::N,кіготь,pençe
151,Kralle::N,лапа,tırnak
152,Schwanz::N,хвіст,kuyruk
153,Ei::N,яйце,yumurta
154,Nest::N,гніздо,yuva
155,Bau::N,лігво,in
156,Tier::N,тварина,hayvan
157,Herde::N,стадо,sürü
158,Kuh::N,корова,inek
159,Bulle::N,бик,boğa
160,Bulle::N,бугай,boğa
161,Pferd::N,кінь,at
162,Pferd::N,кінь,beygir
163,Schaf::N,вівця,koyun
164,Schwein::N,свиня,domuz
165,Hund::N,собака,it
166,Hund::N,собака,köpek
167,Katze::N,кішка,kedi
168,Bär::N,ведмідь,ayı
169,Eichhörnchen::N,білка,sincap
170,Elch::N,лось,büyük kuzey geyiği
171,Fuchs::N,лисиця,tilki
172,Hase::N,заєць,tavşan
173,Maus::N,миша,fare
174,Maus::N,миша,sıçan
175,Wolf::N,вовк,kurt
176,Vogel::N,птах,kuş
177,Schwarm::N,зграя,sürü
178,Huhn::N,курка,tavuk
179,Hahn::N,півень,horoz
180,Gans::N,гуска,kaz
181,Adler::N,орел,kartal
182,Adler::N,орел,karakuş
183,Ente::N,качка,ördek
184,Eule::N,сова,baykuş
185,Kranich::N,журавель,turna
186,Krähe::N,ворона,karga
187,Kuckuck::N,зозуля,guguk
188,Schwan::N,лебідь,kuğu
189,Fisch::N,риба,balık
190,Barsch::N,окунь,hani
191,Barsch::N,окунь,levrek
192,Hecht::N,щука,turnabalığı
193,Schlange[Tier]::N,змія,yılan
194,Wurm::N,черв’як,kurt
195,Wurm::N,черв’як,solucan
196,Spinne::N,павук,örümcek
197,Ameise::N,мурашка,karınca
198,Laus::N,воша,bit
199,Mücke::N,комар,sivrisinek
200,Fliege::N,муха,sinek
201,Schmetterling::N,метелик,kelebek
202,Beere::N,ягода,tane
203,Apfel::N,яблуко,elma
204,Pilz::N,гриб,mantar
205,Zwiebel::N,цибуля,soğan
206,Saat::N,сім’я,ekin
207,Korn::N,зерно,tane
208,Heu::N,сіно,kuru ot
209,Schale::N,шкірка,kabuk
210,Grube::N,яма,çukur
211,Falle::N,пастка,tuzak
212,Schlinge::N,петля,ilmik
213,Spur::N,слід,iz
214,Asche::N,зола,kül
215,Asche::N,попіл,kül
216,Dreck::N,бруд,pislik
217,Eisen::N,залізо,demir
218,Gold::N,золото,altın
219,Silber::N,срібло,gümüş
220,Kohle::N,вугілля,kömür
221,Glas::N,скло,cam
222,Lehm::N,глина,balçık
223,Sand::N,пісок,kum
224,Mensch::N,людина,insan
225,Mann::N,чоловік,adam
226,Mann::N,чоловік,erkek
227,Frau::N,жінка,bayan
228,Kind::N,дитина,çocuk
229,Junge::N,хлопець,erkek çocuk
230,Mädchen::N,дівчина,kız
231,Familie::N,сім’я,aile
232,Familie::N,родина,aile
233,Großvater::N,дідусь,dede
234,Großvater::N,дідусь,büyükbaba
235,Großmutter::N,бабуся,nine
236,Großmutter::N,бабуся,büyükanne
237,Eltern::N,батьки,ebeveyn
238,Eltern::N,батьки,ana baba
239,Vater::N,батько,ata
240,Vater::N,батько,baba
241,Mutter::N,мати,ana
242,Mutter::N,мати,anne
243,Sohn::N,син,oğul
244,Tochter::N,дочка,kız
245,Tochter::N,дочка,kız evlât
246,Bruder::N,брат,abi
247,Bruder::N,брат,erkek kardeş
248,Schwester::N,сестра,abla
249,Schwester::N,сестра,kız kardeş
250,Onkel::N,дядько,dayı
251,Tante::N,тітка,hala
252,Tante::N,тітка,teyze
253,Ehemann::N,чоловік,koca
254,Ehefrau::N,жінка,karı
255,Ehefrau::N,дружина,karı
256,Freude::N,радощі,neşe
257,Freude::N,радощі,sevinç
258,Gelächter::N,сміх,gülme
259,Gelächter::N,сміх,kahkaha
260,Glück::N,щастя,mutluluk
261,Kummer::N,горе,dert
262,Kummer::N,горе,keder
263,Wunsch::N,бажання,arzu
264,Wunsch::N,бажання,istek
265,Lust::N,бажання,arzu
266,Lust::N,бажання,heves
267,Geist::N,дух,tin
268,Gedanke::N,думка,fikir
269,Gedanke::N,думка,düşünce
270,Gedächtnis::N,пам’ять,bellek
271,Verstand::N,розум,zekâ
272,Sinn::N,зміст,anlam
273,Sinn::N,значення,anlam
274,Grund::N,причина,sebep
275,Wahrheit::N,правда,doğruluk
276,Wahrheit::N,правда,gerçeklik
277,Gespräch::N,розмова,görüşme
278,Märchen::N,байка,masal
279,Erzählung::N,повість,öykü
280,Erzählung::N,повість,hikâye
281,Erzählung::N,оповідання,öykü
282,Erzählung::N,оповідання,hikâye
283,Nachricht::N,повідомлення,haber
284,Neuigkeit::N,новина,haber
285,Name::N,ім’я,ad
286,Name::N,ім’я,isim
287,Rätsel::N,загадка,bilmece
288,Rede::N,промова,söylev
289,Rede::N,промова,konuşma
290,Sprache::N,мова,dil
291,Sprache::N,мова,lisan
292,Stimme::N,голос,ses
293,Wort::N,слово,kelime
294,Zeichen::N,знак,işaret
295,Ruf::N,оклик,çağırma
296,Lärm::N,шум,şamata
297,Lärm::N,шум,gürültü
298,Laut::N,звук,ses
299,Ton::N,тон,ses
300,Lied::N,пісня,türkü
301,Ruhe::N,спокій,sakinlik
302,Leute::N,люди,halk
303,Leute::N,люди,insanlar
304,Volk::N,народ,ulus
305,Volk::N,народ,millet
306,Arbeit::N,робота,iş
307,Arbeit::N,робота,çalışma
308,Gast::N,гість,konuk
309,Gast::N,гість,misafir
310,Geschenk::N,подарунок,hediye
311,Geschenk::N,подарунок,armağan
312,Spiel::N,гра,oyun
313,Gesellschaft::N,товариство,çevre
314,Gesellschaft::N,товариство,arkadaşlık
315,Hilfe::N,допомога,yardım
316,Freund::N,друг,dost
317,Freund::N,друг,arkadaş
318,Freund::N,приятель,dost
319,Freund::N,приятель,arkadaş
320,Kamerad::N,товариш,arkadaş
321,Angelegenheit::N,справа,iş
322,Angelegenheit::N,справа,husus
323,Anzahl::N,число,sayı
324,Art::N,рід,çeşit
325,Stück::N,кусок,tane
326,Stück::N,кусок,parça
327,Teil::N,частина,kısım
328,Hälfte::N,половина,yarı
329,Kreis::N,круг,daire
330,Kreis::N,коло,daire
331,Kreuz::N,хрест,haç
332,Linie::N,лінія,hat
333,Linie::N,лінія,çizgi
334,Strich::N,штрих,çizgi
335,Abstand::N,проміжок,aralık
336,Entfernung::N,відстань,mesafe
337,Entfernung::N,відстань,uzaklık
338,Gegend::N,місцевість,yöre
339,Platz::N,площа,yer
340,Ort::N,місце,yer
341,Seite::N,сторона,yan
342,Seite::N,сторона,taraf
343,Mitte::N,середина,orta
344,Mitte::N,середина,merkez
345,Gegenstand::N,предмет,şey
346,Sache::N,річ,iş
347,Sache::N,річ,şey
348,Rand::N,край,kenar
349,Kante::N,ребро,kenar
350,Ecke::N,ріг,köşe
351,Spitze::N,кінчик,uç
352,Spitze::N,кінчик,baş
353,Ende::N,кінець,uç
354,Loch::N,діра,oyuk
355,Loch::N,діра,delik
356,Winkel::N,куток,köşe
357,Muster::N,узор,örnek
358,Größe::N,розмір,büyüklük
359,Länge::N,довжина,uzunluk
360,Höhe::N,висота,yükseklik
361,Gewicht::N,вага,ağırlık
362,Menge::N,кількість,miktar
363,Haufen::N,купа,küme
364,Haufen::N,купа,yığın
365,Reihe::N,ряд,sıra
366,Boot::N,човен,kayık
367,Boot::N,човен,sandal
368,Ruder::N,весло,kürek
369,Schlitten::N,сани,kızak
370,Ski::N,лижа,kayak
371,Lagerfeuer::N,вогнище,kamp ateşi
372,Last::N,тягар,yük
373,Last::N,вантаж,yük
374,Gang::N,хід,gidiş
375,Gang::N,хід,yürüyüş
376,Schritt::N,крок,adım
377,Norden::N,північ,kuzey
378,Süden::N,південь,güney
379,Westen::N,захід,batı
380,Osten::N,схід,doğu
381,Holz::N,дрова,ağaç
382,Holz::N,дрова,tahta
383,Brett::N,дошка,tahta
384,Platte::N,плита,levha
385,Stütze::N,підпірка,dayak
386,Stütze::N,підпірка,destek
387,Stange::N,жердина,çubuk
388,Stock::N,палиця,sopa
389,Stock::N,палиця,değnek
390,Stab::N,палиця,sırık
391,Stab::N,палиця,baston
392,Rohr::N,труба,boru
393,Haus::N,дім,ev
394,Haus::N,хата,ev
395,Heim::N,житло,ev
396,Heim::N,житло,yurt
397,Ofen::N,піч,soba
398,Fußboden::N,підлога,taban
399,Fußboden::N,підлога,döşeme
400,Tisch::N,стіл,masa
401,Stuhl::N,стілець,iskemle
402,Stuhl::N,стілець,sandalye
403,Wiege::N,колиска,beşik
404,Bett::N,ліжко,yatak
405,Bett::N,постіль,yatak
406,Regal::N,полиця,raf
407,Kiste::N,ящик,sandık
408,Fenster::N,вікно,pencere
409,Tür::N,двері,kapı
410,Tor::N,ворота,kapı
411,Zaun::N,паркан,çit
412,Zaun::N,огорожа,çit
413,Dach::N,дах,dam
414,Dach::N,дах,çatı
415,Leiter::N,драбина,merdiven
416,Besen::N,мітла,süpürge
417,Spaten::N,заступ,bel
418,Schaufel::N,совок,kürek
419,Schaufel::N,лопата,kürek
420,Gabel::N,виделка,çatal
421,Löffel::N,ложка,kaşık
422,Messer::N,ніж,bıçak
423,Nagel::N,цвях,çivi
424,Netz::N,сіть,ağ
425,Haken::N,крюк,çengel
426,Griff::N,ручка,kulp
427,Griff::N,ручка,tutamak
428,Griff::N,держак,kulp
429,Griff::N,держак,tutamak
430,Schloss::N,замок,kilit
431,Bild::N,картина,imaj
432,Bild::N,картина,resim
433,Figur::N,фігура,şekil
434,Figur::N,фігура,heykel
435,Puppe::N,лялька,kukla
436,Beutel::N,мішечок,kese
437,Beutel::N,мішечок,torba
438,Beutel::N,торбинка,kese
439,Beutel::N,торбинка,torba
440,Bündel::N,в’язка,deste
441,Tasche::N,сумка,çanta
442,Eimer::N,відро,kova
443,Deckel::N,кришка,kapak
444,Geschirr::N,посуд,kap kacak
445,Sack::N,мішок,torba
446,Tasse::N,чашка,fincan
447,Topf::N,горщик,tencere
448,Kessel::N,котел,kazan
449,Essen::N,їжа,yemek
450,Nahrung::N,харч,gıda
451,Nahrung::N,харч,besin
452,Speise::N,страва,yemek
453,Fleisch::N,м’ясо,et
454,Getreide::N,хліб,tahıl
455,Getreide::N,хліб,hububat
456,Getreide::N,збіжжя,tahıl
457,Getreide::N,збіжжя,hububat
458,Brei::N,каша,ezme
459,Brot::N,хліб,ekmek
460,Scheibe::N,скибочка,dilim
461,Fett::N,жир,yağ
462,Butter::N,масло,tereyağı
463,Öl::N,олія,yağ
464,Öl::N,олія,akar yağ
465,Salz::N,сіль,tuz
466,Suppe::N,суп,çorba
467,Honig::N,мед,bal
468,Milch::N,молоко,süt
469,Tee::N,чай,çay
470,Leder::N,шкіра,deri
471,Leder::N,шкіра,meşin
472,Wolle::N,шерсть,yün
473,Stoff::N,тканина,kumaş
474,Nadel::N,голка,iğne
475,Faden::N,нитка,tire
476,Faden::N,нитка,iplik
477,Knopf::N,ґудзик,düğme
478,Knoten::N,вузол,düğüm
479,Farbe::N,фарба,boya
480,Kleidung::N,одяг,giyim
481,Kleidung::N,убрання,giyim
482,Hemd::N,сорочка,gömlek
483,Kragen::N,комір,yaka
484,Ärmel::N,рукав,yen
485,Ärmel::N,рукав,elbise kolu
486,Hose::N,брюки,pantolon
487,Gürtel::N,пояс,kuşak
488,Mütze::N,шапка,bere
489,Mütze::N,шапка,kasket
490,Schuh::N,ботинок,kundura
491,Schuh::N,ботинок,ayakkabı
492,Stiefel::N,чобіт,çizme
493,Ring::N,кільце,yüzük
494,Band::N,стрічка,bağ
495,Band::N,стрічка,şerit
496,Kamm::N,гребінець,tarak
497,Spiegel::N,дзеркало,ayna
498,Riemen::N,ремінь,kayış
499,Schnur::N,вірьовка,ip
500,Schnur::N,вірьовка,sicim
501,Leine::N,шворка,kayış
502,Decke::N,ковдра,örtü
503,Decke::N,ковдра,yorgan
504,Kissen::N,подушка,yastık
505,Tuch::N,хустка,bez
506,Handtuch::N,рушник,havlu
507,Kraft::N,сила,güç
508,Kraft::N,сила,kuvvet
509,Stärke::N,сила,kuvvet
510,Gesundheit::N,здоров’я,sağlık
511,Krankheit::N,хвороба,hastalık
512,Schmerz::N,біль,ağrı
513,Schmerz::N,біль,sancı
514,Wunde::N,рана,yara
515,Fieber::N,гарячка,ateş
516,Arznei::N,ліки,ilâç
517,Brücke::N,міст,köprü
518,Brunnen::N,колодязь,kuyu
519,Brunnen::N,колодязь,çeşme
520,Weide::N,пасовище,otlak
521,Pfad::N,стежка,patika
522,Pfad::N,стежка,keçiyolu
523,Weg::N,шлях,yol
524,Weg::N,дорога,yol
525,Straße::N,вулиця,yol
526,Straße::N,вулиця,cadde
527,Dorf::N,село,köy
528,Stadt::N,місто,kent
529,Stadt::N,місто,şehir
530,Brief::N,лист,mektup
531,Buch::N,книга,kitap
532,Buch::N,книжка,kitap
533,Buchstabe::N,буква,harf
534,Buchstabe::N,літера,harf
535,Zeitung::N,газета,gazete
536,Leben::N,життя,hayat
537,Tod::N,смерть,ölüm
538,Grab::N,могила,kabir
539,Kirche::N,церква,kilise
540,Sünde::N,гріх,günah
541,Gott::N,бог,tanrı
542,Arbeiter::N,робітник,işçi
543,Chef::N,хазяїн,şef
544,Chef::N,хазяїн,müdür
545,Meister::N,умілець,usta
546,Arzt::N,лікар,hekim
547,Arzt::N,лікар,doktor
548,Lehrer::N,вчитель,hoca
549,Lehrer::N,вчитель,öğretmen
550,Geld::N,гроші,para
551,Geschäft::N,заняття,ticaret
552,Laden::N,магазин,dükkân
553,Laden::N,крамниця,dükkân
554,Preis::N,ціна,fiyat
555,Ware::N,товар,mal
556,Nutzen::N,вигода,fayda
557,Nutzen::N,користь,fayda
558,Reichtum::N,багатство,servet
559,Reichtum::N,багатство,zenginlik
560,Welt::N,світ,dünya
561,Land::N,країна,ülke
562,Staat::N,держава,devlet
563,König::N,король,kral
564,Macht::N,влада,kudret
565,Macht::N,влада,iktidar
566,Grenze::N,кордон,had
567,Grenze::N,кордон,sınır
568,Krieg::N,війна,savaş
569,Feind::N,ворог,düşman
570,Gewalt::N,насильство,zor
571,Gewalt::N,насильство,cebir
572,Kampf::N,бій,savaş
573,Kampf::N,боротьба,savaş
574,Bogen[Waffe]::N,лук,yay
575,Pfeil::N,стріла,ok
576,Gewehr::N,рушниця,tüfek
577,Gewehr::N,гвинтівка,tüfek
578,Fehler::N,помилка,hata
579,Fehler::N,помилка,yanlış
580,Lüge::N,брехня,yalan
581,Schaden::N,шкода,zarar
582,Schaden::N,збиток,zarar
583,Unglück::N,нещастя,felâket
584,Unglück::N,нещастя,talihsizlik
585,Schuld::N,провина,suç
586,Schuld::N,провина,kabahat
587,Alter::N,вік,yaş
588,Alter::N,літа,yaş
589,Schluss::N,кінець,son
590,Zeit::N,час,zaman
591,Tag::N,день,gün
592,Morgen::N,ранок,sabah
593,Mittag::N,південь,öğle
594,Abend::N,вечір,akşam
595,Nacht::N,ніч,gece
596,Woche::N,тиждень,hafta
597,Monat::N,місяць,ay
598,Jahr::N,рік,yıl
599,Jahr::N,рік,sene
600,Frühling::N,весна,ilkbahar
601,Sommer::N,літо,yaz
602,Herbst::N,осінь,güz
603,Herbst::N,осінь,sonbahar
604,Winter::N,зима,kış
605,Januar::N,січень,ocak
606,Februar::N,лютий,şubat
607,März::N,березень,mart
608,April::N,квітень,nisan
609,Mai::N,травень,mayıs
610,Juni::N,червень,haziran
611,Juli::N,липень,temmuz
612,August::N,серпень,ağustos
613,September::N,вересень,eylül
614,Oktober::N,жовтень,ekim
615,November::N,листопад,kasım
616,Dezember::N,грудень,aralık
617,Montag::N,понеділок,pazartesi
618,Dienstag::N,вівторок,salı
619,Mittwoch::N,середа,çarşamba
620,Donnerstag::N,четвер,perşembe
621,Freitag::N,п’ятниця,cuma
622,Samstag::N,субота,cumartesi
623,Sonntag::N,неділя,pazar
624,groß::A,великий,büyük
625,klein::A,малий,ufak
626,klein::A,малий,küçük
627,klein::A,маленький,ufak
628,klein::A,маленький,küçük
629,lang::A,довгий,uzun
630,kurz::A,короткий,kısa
631,breit::A,широкий,enli
632,breit::A,широкий,geniş
633,schmal::A,вузький,dar
634,dicht::A,густий,sık
635,dicht::A,густий,yoğun
636,dick[Gegenstand]::A,товстий,kalın
637,dick[Gegenstand]::A,товстий,iri
638,dünn::A,тонкий,ince
639,fein::A,дрібний,ince
640,fein::A,дрібний,narin
641,fest::A,міцний,sabit
642,fest::A,міцний,sağlam
643,flach::A,плоский,düz
644,flach::A,плоский,yassı
645,glatt::A,рівний,düz
646,glatt::A,гладенький,düz
647,hart::A,твердий,katı
648,weich::A,м’який,yumuşak
649,rund::A,круглий,yuvarlak
650,spitz::A,гострокінцевий,sivri
651,scharf::A,гострий,keskin
652,stumpf::A,тупий,kör
653,schwer::A,важкий,ağır
654,schön::A,вродливий,güzel
655,heiß::A,жаркий,kızgın
656,heiß::A,гарячий,kızgın
657,warm::A,теплий,sıcak
658,kalt::A,холодний,soğuk
659,kühl::A,прохолодний,serin
660,frisch::A,свіжий,taze
661,feucht::A,вогкий,nemli
662,feucht::A,вогкий,rutubetli
663,nass::A,мокрий,yaş
664,nass::A,мокрий,ıslak
665,trocken::A,сухий,kuru
666,voll::A,повний,dolu
667,voll::A,повний,dolmuş
668,leer::A,пустий,boş
669,offen::A,відкритий,açık
670,geschlossen::A,закритий,kapalı
671,geschlossen::A,зачинений,kapalı
672,sauber::A,чистий,pak
673,sauber::A,чистий,temiz
674,sauber::A,охайний,pak
675,sauber::A,охайний,temiz
676,schmutzig::A,брудний,pis
677,schmutzig::A,брудний,kirli
678,roh::A,сирий,çiğ
679,reif::A,зрілий,olgun
680,lecker::A,смачний,lezzetli
681,süß::A,солодкий,tatlı
682,süß::A,солодкий,şekerli
683,bitter::A,гіркий,acı
684,sauer::A,кислий,ekşi
685,hell::A,світлий,aydınlık
686,dunkel::A,темний,karanlık
687,schwarz::A,чорний,kara
688,schwarz::A,чорний,siyah
689,weiß::A,сивий,ak
690,weiß::A,сивий,beyaz
691,rot::A,червоний,kırmızı
692,gelb::A,жовтий,sarı
693,blau::A,синій,mavi
694,grün::A,зелений,yeşil
695,grau::A,сірий,boz
696,bunt::A,барвистий,renkli
697,billig::A,дешевий,ucuz
698,teuer::A,дорогий,pahalı
699,wertvoll::A,цінний,değerli
700,blind::A,сліпий,kör
701,taub::A,глухий,sağır
702,kräftig::A,могутній,dinç
703,kräftig::A,могутній,kuvvetli
704,stark::A,сильний,güçlü
705,stark::A,сильний,kuvvetli
706,schwach::A,слабкий,zayıf
707,schwach::A,слабкий,güçsüz
708,fett::A,жирний,şişman
709,fett::A,товстий,şişman
710,schlank::A,тонкий,narin
711,schlank::A,стрункий,narin
712,hübsch::A,чарівний,güzel
713,hübsch::A,чарівний,sevimli
714,böse::A,злий,kötü
715,böse::A,лихий,kötü
716,dumm::A,дурний,aptal
717,faul::A,ледачий,tembel
718,fleißig::A,старанний,çalışkan
719,geizig::A,скупий,cimri
720,klug::A,мудрий,zekî
721,klug::A,мудрий,akıllı
722,klug::A,розумний,zekî
723,klug::A,розумний,akıllı
724,geschickt::A,умілий,becerikli
725,lieb::A,милий,sevimli
726,lustig::A,веселий,neşeli
727,sanft::A,лагідний,nazik
728,hungrig::A,голодний,aç
729,krank::A,слабий,hasta
730,krank::A,слабий,rahatsız
731,nackt::A,голий,çıplak
732,traurig::A,сумний,kederli
733,traurig::A,сумний,üzüntülü
734,lebendig::A,живий,canlı
735,gut::A,добрий,iyi
736,schlecht::A,поганий,kötü
737,schlecht::A,кепський,kötü
738,richtig::A,правильний,doğru
739,schlimm::A,бридкий,kötü
740,wahr::A,справжній,doğru
741,wahr::A,справжній,gerçek
742,alt::A,старий,eski
743,neu::A,новий,yeni
744,ehemalig::A,колишній,önceki
745,alt[Lebewesen]::A,старий,yaşlı
746,jung::A,молодий,genç
747,arm::A,бідний,fakir
748,reich::A,багатий,zengin
749,bekannt::A,знайомий,bilinen
750,berühmt::A,славетний,ünlü
751,berühmt::A,славетний,meşhur
752,fremd::A,чужий,yabancı
753,verschieden::A,різний,ayrı
754,verschieden::A,різний,farklı
755,nah::A,близький,yakın
756,nah::A,близький,bitişik
757,fern::A,далекий,uzak
758,linker::A,лівий,sol
759,rechter::A,правий,sağ
760,anderer::A,інакший,diğer
761,erster::A,перший,ilk
762,erster::A,перший,birinci
763,zweiter::A,другий,ikinci
764,dritter::A,третій,üçüncü
765,letzter::A,останній,son
766,letzter::A,останній,sonuncu
767,allein::ADV,сам,yalnız
768,allein::ADV,сам,tek başına
769,allein::ADV,один,yalnız
770,allein::ADV,один,tek başına
771,auf einmal::ADV,відразу,birden
772,zusammen::ADV,разом,beraber
773,zusammen::ADV,разом,birlikte
774,zusammen::ADV,спільно,beraber
775,zusammen::ADV,спільно,birlikte
776,lange::ADV,довго,çok
777,lange::ADV,довго,uzun
778,plötzlich::ADV,раптом,ansızın
779,plötzlich::ADV,раптом,birdenbire
780,sofort::ADV,зараз,hemen
781,sofort::ADV,зараз,derhal
782,später::ADV,пізніше,daha sonra
783,jetzt::ADV,тепер,şimdi
784,heute::ADV,сьогодні,bugün
785,morgen::ADV,завтра,yarın
786,bald::ADV,незабаром,yakında
787,dann::ADV,потім,sonra
788,gestern::ADV,вчора,dün
789,einst::ADV,колись,eskiden
790,damals::ADV,тоді,o zamanlar
791,danach::ADV,згодом,sonradan
792,danach::ADV,згодом,ondan sonra
793,vorher::ADV,раніше,önce
794,vorher::ADV,раніше,önceden
795,zuerst::ADV,спершу,ilk önce
796,zuerst::ADV,спочатку,ilk önce
797,einmal::ADV,один раз,bir defa
798,manchmal::ADV,іноді,bazan
799,manchmal::ADV,інколи,bazan
800,oft::ADV,часто,sık sık
801,oft::ADV,часто,çok defa
802,immer::ADV,завжди,daima
803,immer::ADV,завжди,her zaman
804,niemals::ADV,ніколи,asla değil
805,niemals::ADV,ніколи,hiçbir zaman
806,hier::ADV,тут,burada
807,hierhin::ADV,сюди,buraya
808,von hier::ADV,звідси,buradan
809,dort::ADV,там,orada
810,dort::ADV,там,şurada
811,dorthin::ADV,туди,oraya
812,dorthin::ADV,туди,şuraya
813,geradeaus::ADV,прямо,doğru
814,vorwärts::ADV,вперед,ileri
815,rückwärts::ADV,назад,geri
816,zurück::ADV,назад,geriye
817,unten::ADV,внизу,aşağıda
818,hinab::ADV,вниз,aşağıya
819,oben::ADV,вгорі,yukarıda
820,hinauf::ADV,вгору,yukarı
821,hinauf::ADV,вгору,yukarıya
822,überall::ADV,скрізь,her yerde
823,nicht::ADV,не,-mi-
824,nicht::ADV,не,değil
825,ein wenig::ADV,трохи,biraz
826,ein wenig::ADV,небагато,biraz
827,kaum::ADV,ледве,dar
828,kaum::ADV,ледве,hemen hemen değil
829,sehr::ADV,дуже,pek
830,sehr::ADV,дуже,gayet
831,so::ADV,так,öyle
832,so::ADV,так,böyle
