,Concept_ID,az,no
62,Himmel::N,səma,himmel
63,Sonne::N,günəş,sol
64,Mond::N,ay,måne
65,Stern::N,ulduz,stjerne
66,Luft::N,hava,luft
67,Wind::N,yel,vind
68,Wind::N,külək,vind
69,Welle::N,dalğa,bølge
70,Wasser::N,su,vann
71,Stein::N,daş,stein
72,Boden::N,yer,bakke
73,Boden::N,zəmin,bakke
74,Erde::N,yer torpaq,jord
75,Staub::N,toz,støv
76,Rauch::N,tüstü,røyk
77,Funke::N,qığılcım,gnist
78,Feuer::N,od,ild
79,Licht::N,işıq,lys
80,Schatten::N,kölgə,skygge
81,Wetter::N,hava,vær
82,Nebel::N,duman,tåke
83,Wolke::N,bulud,sky
84,Regen::N,yağış,regn
85,Regen::N,yağmur,regn
86,Schnee::N,qar,snø
87,Eis::N,buz,is
88,Frost::N,ayaz,frost
89,Kälte::N,soyuq,kulde
90,Hitze::N,coşğunluq,hete
91,Raureif::N,qırov,rimfrost
92,Regenbogen::N,göy qurşağı,regnbue
93,Donner::N,göy gurultusu,torden
94,Strömung::N,axın,strømning
95,Tropfen::N,damcı,dråpe
96,Schaum::N,köpük,skum
97,Schmutz::N,çamır,søl
98,Schmutz::N,çamır,skitt
99,See::N,göl,sjø
100,Sumpf::N,bataqlıq,sump
101,Sumpf::N,bataqlıq,myrlende
102,Moor::N,bataqlıq,myr
103,Moor::N,bataqlıq,myrhei
104,Wiese::N,çəmən,eng
105,Wald::N,meşə,skog
106,Hügel::N,təpə,haug
107,Hügel::N,təpə,bakke
108,Anhöhe::N,təpə,haug
109,Anhöhe::N,təpə,bakke
110,Berg::N,dağ,berg
111,Berg::N,dağ,fjell
112,Gipfel::N,zirvə,topp
113,Höhle::N,mağara,hule
114,Abhang::N,yamac,li
115,Abhang::N,yamac,skråning
116,Quelle::N,bulaq,kilde
117,Bach::N,kiçik çay,bekk
118,Fluss::N,çay,elv
119,Ufer::N,kənar,bredd
120,Küste::N,sahil,kyst
121,Festland::N,materik,fastland
122,Meer::N,dəniz,hav
123,Bucht::N,körfəz,bukt
124,Insel::N,ada,øy
125,Blume::N,çiçək,blomst
126,Gras::N,ot,gress
127,Wurzel::N,kök,rot
128,Baum::N,ağac,tre
129,Stamm::N,gövdə,stamme
130,Rinde::N,qabıq,bark
131,Ast::N,şax,gren
132,Zweig::N,budaq,kvist
133,Blatt::N,yarpaq,blad
134,Birke::N,tozağacı,bjørk
135,Kiefer[Baum]::N,şam,furu
136,Weide[Baum]::N,söyüd,selje
137,Weide[Baum]::N,söyüd,piletre
138,Tanne::N,küknar,gran
139,Horn::N,buynuz,horn
140,Feder::N,tük,fjær
141,Feder::N,lələk,fjær
142,Fell::N,xəz,skinn
143,Flügel::N,qanad,vinge
144,Klaue::N,pəncə,klauv
145,Kralle::N,dırnaq,klo
146,Schwanz::N,quyruq,hale
147,Ei::N,yumurta,egg
148,Nest::N,yuva,rede
149,Bau::N,yuva,hi
150,Tier::N,heyvan,dyr
151,Herde::N,sürü,flokk
152,Kuh::N,inək,ku
153,Bulle::N,öküz,tyr
154,Pferd::N,at,hest
155,Schaf::N,qoyun,får
156,Schwein::N,donuz,gris
157,Hund::N,it,hund
158,Hund::N,köpək,hund
159,Katze::N,pişik,katt
160,Bär::N,ayı,bjørn
161,Eichhörnchen::N,dələ,ekorn
162,Elch::N,sığın,elg
163,Fuchs::N,tülkü,rev
164,Hase::N,dovşan,hare
165,Maus::N,siçan,mus
166,Wolf::N,qurd,ulv
167,Wolf::N,qurd,varg
168,Vogel::N,quş,fugl
169,Schwarm::N,sürü,sverm
170,Huhn::N,toyuq,høne
171,Hahn::N,xoruz,hane
172,Gans::N,qaz,gås
173,Adler::N,qartal,ørn
174,Adler::N,qaraquş,ørn
175,Ente::N,ördək,and
176,Eule::N,bayquş,ugle
177,Kranich::N,durna,trane
178,Krähe::N,qarğa,kråke
179,Kuckuck::N,ququ,gjøk
180,Schwan::N,qu quşu,svane
181,Fisch::N,balıq,fisk
182,Barsch::N,tar,abbor
183,Hecht::N,durnabalığı,gjedde
184,Schlange[Tier]::N,ilan,orm
185,Schlange[Tier]::N,ilan,slange
186,Wurm::N,qurd,orm
187,Wurm::N,qurd,mark
188,Spinne::N,hörümçək,edderkopp
189,Ameise::N,qarışqa,maur
190,Laus::N,bit,lus
191,Mücke::N,ağcaqanad,mygg
192,Fliege::N,milçək,flue
193,Schmetterling::N,kəpənək,sommerfugl
194,Beere::N,gilə,bær
195,Apfel::N,alma,eple
196,Pilz::N,göbələk,sopp
197,Zwiebel::N,soğan,løk
198,Saat::N,əkin,sæd
199,Korn::N,taxıl,korn
200,Heu::N,quru ot,høy
201,Schale::N,qabıq,skall
202,Grube::N,çuxur,grop
203,Falle::N,tələ,felle
204,Falle::N,duzaq,felle
205,Schlinge::N,ilmək,snare
206,Spur::N,iz,spor
207,Asche::N,kül,aske
208,Dreck::N,kir,møkk
209,Dreck::N,kir,skitt
210,Eisen::N,dəmir,jern
211,Gold::N,altun,gull
212,Silber::N,gümüş,sølv
213,Kohle::N,kömür,kol
214,Kohle::N,kömür,kull
215,Glas::N,şüşə,glass
216,Lehm::N,gil,leire
217,Lehm::N,palçıq,leire
218,Sand::N,qum,sand
219,Mensch::N,adam,menneske
220,Mensch::N,insan,menneske
221,Mann::N,kişi,mann
222,Frau::N,qadın,kvinne
223,Kind::N,uşaq,barn
224,Junge::N,oğlan,gutt
225,Mädchen::N,qız,pike
226,Mädchen::N,qız,jente
227,Familie::N,ailə,familie
228,Großvater::N,baba,bestefar
229,Großmutter::N,nənə,bestemor
230,Eltern::N,valideyn,foreldre
231,Vater::N,ata,far
232,Mutter::N,ana,mor
233,Sohn::N,oğul,sønn
234,Tochter::N,qız,datter
235,Bruder::N,qardaş,bror
236,Schwester::N,bacı,søster
237,Onkel::N,əmi,onkel
238,Onkel::N,dayı,onkel
239,Tante::N,bibi,tante
240,Ehemann::N,ər,ektemann
241,Ehefrau::N,arvad,hustru
242,Freude::N,nəşə,glede
243,Freude::N,sevinc,glede
244,Gelächter::N,gülüş,latter
245,Gelächter::N,qəhqəhə,latter
246,Glück::N,səadət,lykke
247,Glück::N,xoşbəxtlik,lykke
248,Kummer::N,qəm,sorg
249,Kummer::N,kədər,sorg
250,Wunsch::N,arzu,ønske
251,Lust::N,həvəs,lyst
252,Geist::N,ruh,ånd
253,Gedanke::N,fikir,tanke
254,Gedanke::N,düşüncə,tanke
255,Gedächtnis::N,xatir,minne
256,Gedächtnis::N,xatir,hukommelse
257,Gedächtnis::N,hafizə,minne
258,Gedächtnis::N,hafizə,hukommelse
259,Verstand::N,ağıl,forstand
260,Sinn::N,məna,mening
261,Sinn::N,məna,betydning
262,Grund::N,səbəb,grunn
263,Wahrheit::N,haqq,sannhet
264,Wahrheit::N,doğruluq,sannhet
265,Gespräch::N,söhbət,samtale
266,Gespräch::N,qonuşma,samtale
267,Märchen::N,nağıl,eventyr
268,Erzählung::N,hekayə,fortelling
269,Nachricht::N,xəbər,melding
270,Neuigkeit::N,xəbər,nyhet
271,Neuigkeit::N,yenilik,nyhet
272,Name::N,ad,navn
273,Rätsel::N,tapmaca,gåte
274,Rede::N,nitq,tale
275,Sprache::N,dil,språk
276,Stimme::N,səs,stemme
277,Wort::N,söz,ord
278,Wort::N,kəlmə,ord
279,Zeichen::N,nişan,tegn
280,Ruf::N,çığırtı,rop
281,Lärm::N,gurultu,bråk
282,Laut::N,səs,lyd
283,Ton::N,ton,tone
284,Lied::N,mahnı,vise
285,Ruhe::N,sakitlik,ro
286,Leute::N,xalq,folk
287,Volk::N,millət,folk
288,Arbeit::N,iş,arbeid
289,Arbeit::N,əmək,arbeid
290,Gast::N,qonaq,gjest
291,Gast::N,müsafir,gjest
292,Geschenk::N,hədiyyə,gave
293,Spiel::N,oyun,lek
294,Spiel::N,oyun,spill
295,Spiel::N,tamaşa,lek
296,Spiel::N,tamaşa,spill
297,Gesellschaft::N,cəmiyyet,selskap
298,Hilfe::N,kömək,hjelp
299,Hilfe::N,yardım,hjelp
300,Freund::N,dost,venn
301,Kamerad::N,yoldaş,kamerat
302,Angelegenheit::N,iş,sak
303,Angelegenheit::N,iş,anliggende
304,Anzahl::N,say,antall
305,Art::N,çeşid,art
306,Art::N,çeşid,slag
307,Stück::N,dənə,stykke
308,Stück::N,parça,stykke
309,Teil::N,qisim,del
310,Hälfte::N,yarım,halvdel
311,Kreis::N,dairə,ring
312,Kreis::N,dairə,sirkel
313,Kreuz::N,xaç,kors
314,Kreuz::N,xaç,kryss
315,Linie::N,xətt,linje
316,Strich::N,cızıq,strek
317,Abstand::N,məsafə,avstand
318,Entfernung::N,məsafə,avstand
319,Entfernung::N,uzaqlıq,avstand
320,Gegend::N,bölgə,strøk
321,Platz::N,yer,plass
322,Ort::N,yer,sted
323,Seite::N,yan,side
324,Seite::N,tərəf,side
325,Mitte::N,orta,midte
326,Gegenstand::N,şey,gjenstand
327,Sache::N,şey,sak
328,Rand::N,kənar,rand
329,Kante::N,tiyə,kant
330,Kante::N,kənar,kant
331,Ecke::N,bucaq,hjørne
332,Spitze::N,uc,spiss
333,Ende::N,son,ende
334,Ende::N,axır,ende
335,Loch::N,deşik,hull
336,Winkel::N,guşə,vinkel
337,Muster::N,ülgü,mønster
338,Größe::N,böyüklük,størrelse
339,Länge::N,uzunluq,lengde
340,Höhe::N,yüksəklik,høyde
341,Gewicht::N,çəki,vekt
342,Gewicht::N,ağırlıq,vekt
343,Menge::N,miqdar,mengde
344,Haufen::N,yığın,haug
345,Haufen::N,yığın,bunke
346,Reihe::N,səf,rekke
347,Reihe::N,sıra,rekke
348,Boot::N,qayıq,båt
349,Ruder::N,kürək,åre
350,Schlitten::N,kirşə,slede
351,Schlitten::N,kirşə,kjelke
352,Ski::N,xizək,ski
353,Lagerfeuer::N,düşərgə tonqalı,leirbål
354,Last::N,yük,bør
355,Last::N,yük,last
356,Gang::N,yeriş,gang
357,Schritt::N,addım,steg
358,Schritt::N,addım,skritt
359,Norden::N,şimal,nord
360,Süden::N,cənub,sør
361,Westen::N,qərb,vest
362,Osten::N,şərq,øst
363,Holz::N,ağac,tre
364,Holz::N,taxta,tre
365,Brett::N,taxta,fjøl
366,Brett::N,taxta,brett
367,Platte::N,lövhə,plate
368,Stütze::N,dayaq,støtte
369,Stütze::N,dəstək,støtte
370,Stange::N,şüvül,stang
371,Stock::N,dəyənək,pinne
372,Stab::N,əsa,stav
373,Stab::N,əsa,kjepp
374,Stab::N,şüvül,stav
375,Stab::N,şüvül,kjepp
376,Rohr::N,boru,rør
377,Rohr::N,truba,rør
378,Haus::N,ev,hus
379,Heim::N,ev,hjem
380,Ofen::N,peç,ovn
381,Ofen::N,soba,ovn
382,Fußboden::N,döşəmə,gulv
383,Tisch::N,masa,bord
384,Stuhl::N,stul,stol
385,Wiege::N,beşik,vogge
386,Bett::N,yataq,seng
387,Regal::N,rəf,reol
388,Regal::N,rəf,hylle
389,Kiste::N,yeşik,kasse
390,Kiste::N,sandıq,kasse
391,Fenster::N,pəncərə,vindu
392,Tür::N,qapı,dør
393,Tor::N,darvaza,port
394,Zaun::N,çəpər,gjerde
395,Dach::N,dam,tak
396,Leiter::N,nərdivan,stige
397,Besen::N,süpürgə,kost
398,Spaten::N,kürək,spade
399,Schaufel::N,kürək,skuffe
400,Gabel::N,çəngəl,gaffel
401,Löffel::N,qaşıq,skje
402,Messer::N,bıçaq,kniv
403,Nagel::N,mıx,spiker
404,Netz::N,tor,nett
405,Haken::N,çəngəl,krok
406,Griff::N,qulp,tak
407,Griff::N,qulp,håndtak
408,Griff::N,tutacaq,tak
409,Griff::N,tutacaq,håndtak
410,Schloss::N,qıfıl,lås
411,Bild::N,rəsm,bilde
412,Figur::N,şəkil,figur
413,Figur::N,heykəl,figur
414,Puppe::N,kukla,dukke
415,Puppe::N,gəlincik,dukke
416,Beutel::N,kisə,pose
417,Beutel::N,torba,pose
418,Bündel::N,bağlama,bylt
419,Tasche::N,çanta,veske
420,Eimer::N,vedrə,bøtte
421,Eimer::N,çəllək,bøtte
422,Deckel::N,qapaq,lokk
423,Geschirr::N,qab-qazan,kjøkkentøy
424,Sack::N,çuval,sekk
425,Tasse::N,fincan,kopp
426,Topf::N,qazan,gryte
427,Kessel::N,qazan,kjele
428,Essen::N,yemək,mål
429,Nahrung::N,qida,mat
430,Nahrung::N,qida,næring
431,Speise::N,xörək,matrett
432,Fleisch::N,ət,kjøtt
433,Getreide::N,taxıl,korn
434,Brei::N,aş,grøt
435,Brei::N,sıyıq,grøt
436,Brot::N,çörək,brød
437,Scheibe::N,dilim,skive
438,Fett::N,yağ,fett
439,Butter::N,kərə yağı,smør
440,Öl::N,yağ,olje
441,Salz::N,duz,salt
442,Suppe::N,şorba,suppe
443,Honig::N,bal,honning
444,Milch::N,süd,melk
445,Tee::N,çay,te
446,Leder::N,dəri,lær
447,Leder::N,dəri,skinn
448,Wolle::N,yun,ull
449,Stoff::N,qumaş,tøy
450,Stoff::N,qumaş,stoff
451,Nadel::N,iynə,nål
452,Faden::N,sap,tråd
453,Knopf::N,düymə,knapp
454,Knoten::N,düyün,knute
455,Farbe::N,boya,farge
456,Kleidung::N,geyim,påkledning
457,Hemd::N,köynək,skjorte
458,Kragen::N,yaxa,krage
459,Ärmel::N,qol,erme
460,Hose::N,şalvar,bukse
461,Gürtel::N,kəmər,belte
462,Mütze::N,şapka,lue
463,Schuh::N,tufli,sko
464,Schuh::N,ayaqqabı,sko
465,Stiefel::N,çəkmə,støvel
466,Ring::N,üzük,ring
467,Band::N,lent,band
468,Kamm::N,daraq,kam
469,Spiegel::N,güzgü,speil
470,Riemen::N,qayış,rem
471,Schnur::N,ip,snor
472,Leine::N,kəmsik,line
473,Decke::N,ədyal,teppe
474,Decke::N,yorğan,teppe
475,Kissen::N,yastıq,pute
476,Tuch::N,şarf,tøy
477,Tuch::N,kaşne,tøy
478,Handtuch::N,dəsmal,håndkle
479,Kraft::N,güc,kraft
480,Stärke::N,qüvvət,styrke
481,Gesundheit::N,sağlamlıq,helse
482,Gesundheit::N,sağlamlıq,sunnhet
483,Krankheit::N,xəstəlik,syke
484,Krankheit::N,xəstəlik,sykdom
485,Schmerz::N,ağrı,smerte
486,Schmerz::N,sancı,smerte
487,Wunde::N,yara,sår
488,Fieber::N,isitmə,feber
489,Fieber::N,qızdırma,feber
490,Arznei::N,ilaç,medisin
491,Arznei::N,ilaç,legemiddel
492,Arznei::N,dərman,medisin
493,Arznei::N,dərman,legemiddel
494,Brücke::N,körpü,bro
495,Brunnen::N,quyu,brønn
496,Weide::N,otlaq,beite
497,Pfad::N,cığır,sti
498,Weg::N,yol,vei
499,Straße::N,küçə,gate
500,Dorf::N,kənd,landsby
501,Stadt::N,şəhər,by
502,Brief::N,məktub,brev
503,Buch::N,kitab,bok
504,Buchstabe::N,hərf,bokstav
505,Zeitung::N,qəzet,avis
506,Leben::N,həyat,liv
507,Tod::N,ölüm,død
508,Grab::N,qəbir,grav
509,Kirche::N,kilsə,kirke
510,Sünde::N,günah,synd
511,Gott::N,tanrı,gud
512,Arbeiter::N,işçi,arbeider
513,Chef::N,şef,sjef
514,Chef::N,rəis,sjef
515,Meister::N,usta,mester
516,Arzt::N,həkim,lege
517,Arzt::N,doktor,lege
518,Lehrer::N,müəllim,lærer
519,Geld::N,pul,penger
520,Geschäft::N,ticarət,forretning
521,Laden::N,dükan,butikk
522,Preis::N,qiymət,pris
523,Ware::N,mal,vare
524,Nutzen::N,fayda,nytte
525,Reichtum::N,zənginlik,rikdom
526,Welt::N,aləm,verden
527,Welt::N,dünya,verden
528,Land::N,ölkə,land
529,Staat::N,dövlət,stat
530,König::N,kral,konge
531,König::N,məlik,konge
532,Macht::N,qüdrət,makt
533,Grenze::N,hüdud,grense
534,Grenze::N,sərhət,grense
535,Krieg::N,hərb,krig
536,Krieg::N,müharibə,krig
537,Feind::N,düşmən,fiende
538,Gewalt::N,cəbr,vold
539,Kampf::N,savaş,kamp
540,Bogen[Waffe]::N,yay,bue
541,Pfeil::N,ox,pil
542,Gewehr::N,tüfəng,gevær
543,Fehler::N,xəta,feil
544,Lüge::N,yalan,løgn
545,Schaden::N,ziyan,skade
546,Unglück::N,bəla,uhell
547,Schuld::N,təqsir,skyld
548,Alter::N,yaş,alder
549,Schluss::N,son,slutt
550,Zeit::N,vaxt,tid
551,Zeit::N,zaman,tid
552,Tag::N,gün,dag
553,Morgen::N,sabah,morgen
554,Mittag::N,günorta,middag
555,Abend::N,axşam,aften
556,Nacht::N,gecə,natt
557,Woche::N,həftə,uke
558,Monat::N,ay,måned
559,Jahr::N,il,år
560,Frühling::N,yaz,vår
561,Frühling::N,bahar,vår
562,Sommer::N,yay,sommer
563,Herbst::N,payız,høst
564,Winter::N,qış,vinter
565,Januar::N,Janvar,januar
566,Februar::N,Fevral,februar
567,März::N,Mart,mars
568,April::N,Aprel,april
569,Mai::N,May,mai
570,Juni::N,İyun,juni
571,Juli::N,İyul,juli
572,August::N,Avqust,august
573,September::N,Sentyabr,september
574,Oktober::N,Oktyabr,oktober
575,November::N,Noyabr,november
576,Dezember::N,Dekabr,desember
577,Montag::N,bazar ertəsi,mandag
578,Dienstag::N,çərşənbə axşamı,tirsdag
579,Mittwoch::N,çərşənbə,onsdag
580,Donnerstag::N,cüme axşamı,torsdag
581,Freitag::N,cüme,fredag
582,Samstag::N,şənbə,lørdag
583,Sonntag::N,bazar,søndag
584,groß::A,böyük,stor
585,klein::A,kiçik,liten
586,lang::A,uzun,lang
587,kurz::A,qısa,kort
588,breit::A,enli,bred
589,breit::A,geniş,bred
590,schmal::A,dar,smal
591,dicht::A,sıx,tett
592,dick[Gegenstand]::A,qalın,tykk
593,dünn::A,nazik,tynn
594,fein::A,incə,fin
595,fest::A,bərk,fast
596,fest::A,möhkəm,fast
597,flach::A,düz,flat
598,glatt::A,hamar,glatt
599,hart::A,sərt,hard
600,weich::A,yumşaq,myk
601,weich::A,yumşaq,bløt
602,rund::A,yuvarlaq,rund
603,spitz::A,uclu,spiss
604,spitz::A,sivri,spiss
605,scharf::A,kəskin,kvass
606,stumpf::A,küt,stubb
607,schwer::A,ağır,tung
608,schön::A,gözəl,pen
609,schön::A,gözəl,vakker
610,schön::A,gəşəng,pen
611,schön::A,gəşəng,vakker
612,heiß::A,isti,het
613,warm::A,ilıq,varm
614,kalt::A,soyuq,kald
615,kühl::A,sərin,kjølig
616,frisch::A,təzə,fersk
617,feucht::A,nəm,fuktig
618,nass::A,yaş,våt
619,trocken::A,quru,tørr
620,voll::A,dolu,full
621,leer::A,boş,tom
622,offen::A,açıq,åpen
623,geschlossen::A,qapalı,lukket
624,sauber::A,təmiz,ren
625,schmutzig::A,kirli,skitten
626,roh::A,çiy,rå
627,reif::A,yetişmiş,moden
628,lecker::A,dadlı,lekker
629,lecker::A,ləzzətli,lekker
630,süß::A,şirin,søt
631,bitter::A,acı,besk
632,bitter::A,acı,bitter
633,sauer::A,turş,sur
634,hell::A,aydın,lys
635,dunkel::A,qaranlıq,mørk
636,schwarz::A,qara,svart
637,weiß::A,ağ,hvit
638,rot::A,qırmızı,rød
639,gelb::A,sarı,gul
640,blau::A,göy,blå
641,blau::A,mavi,blå
642,grün::A,yaşıl,grønn
643,grau::A,boz,grå
644,bunt::A,əlvan,broket
645,bunt::A,rəngli,broket
646,billig::A,ucuz,billig
647,teuer::A,bahalı,dyr
648,wertvoll::A,qiymətli,verdifull
649,blind::A,kor,blind
650,taub::A,kar,døv
651,kräftig::A,güclü,kraftig
652,stark::A,qüvvətli,sterk
653,schwach::A,zəif,svak
654,schwach::A,gücsüz,svak
655,fett::A,şişman,fet
656,schlank::A,zərif,slank
657,hübsch::A,göyçək,pen
658,böse::A,fəna,slem
659,dumm::A,axmaq,dum
660,faul::A,tənbəl,lat
661,faul::A,tənbəl,doven
662,fleißig::A,çalışqan,flittig
663,geizig::A,xəsis,gjerrig
664,klug::A,ağıllı,klok
665,geschickt::A,bacarıqlı,hendig
666,geschickt::A,bacarıqlı,skikket
667,lieb::A,əziz,kjær
668,lieb::A,əziz,snill
669,lieb::A,sevimli,kjær
670,lieb::A,sevimli,snill
671,lustig::A,məzəli,morsom
672,lustig::A,gülməli,morsom
673,sanft::A,mülayim,blid
674,hungrig::A,ac,sulten
675,krank::A,xəstə,syk
676,nackt::A,çılpaq,naken
677,traurig::A,qəmgin,sørgmodig
678,traurig::A,kədərli,sørgmodig
679,lebendig::A,canlı,levende
680,gut::A,yaxşı,god
681,schlecht::A,pis,dårlig
682,richtig::A,doğru,riktig
683,schlimm::A,fəna,slem
684,wahr::A,gərçək,sann
685,alt::A,əski,gammel
686,alt::A,köhnə,gammel
687,neu::A,yeni,ny
688,ehemalig::A,əvvəlki,forhenværende
689,alt[Lebewesen]::A,qoca,gammel
690,jung::A,gənc,ung
691,arm::A,kasıb,fattig
692,arm::A,yoxsul,fattig
693,reich::A,zəngin,rik
694,bekannt::A,tanış,kjent
695,berühmt::A,məşhur,berømt
696,fremd::A,yad,fremmed
697,verschieden::A,dürlü,forskjellig
698,nah::A,yaxın,nær
699,fern::A,uzaq,fjern
700,linker::A,sol,venstre
701,rechter::A,sağ,høyre
702,anderer::A,başqa,annen
703,erster::A,birinci,første
704,zweiter::A,ikinci,annen
705,dritter::A,üçüncü,tredje
706,letzter::A,sonuncu,sist
707,letzter::A,axırıncı,sist
708,allein::ADV,tək,alene
709,allein::ADV,yalqız,alene
710,auf einmal::ADV,birdən,med ett
711,zusammen::ADV,birlikdə,sammen
712,lange::ADV,uzun,lenge
713,plötzlich::ADV,qəfildən,plutselig
714,sofort::ADV,həmən,straks
715,sofort::ADV,dərhal,straks
716,später::ADV,sonra,senere
717,jetzt::ADV,indi,nå
718,heute::ADV,bugün,i dag
719,morgen::ADV,sabah,i morgen
720,bald::ADV,yaxında,snart
721,bald::ADV,tezliklə,snart
722,dann::ADV,onda,så
723,gestern::ADV,dünən,i går
724,einst::ADV,əvvəllər,engang
725,damals::ADV,o vaxt,den gang
726,danach::ADV,sonra,deretter
727,vorher::ADV,qabaqcadan,før
728,vorher::ADV,qabaqcadan,i forveien
729,zuerst::ADV,əvvəl,først
730,einmal::ADV,bir dəfə,en gang
731,manchmal::ADV,hərdənbir,somme tider
732,oft::ADV,tez-tez,ofte
733,oft::ADV,çox vaxt,ofte
734,immer::ADV,daimi,alltid
735,immer::ADV,həmişə,alltid
736,niemals::ADV,əsla,aldri
737,niemals::ADV,heç bir zaman,aldri
738,hier::ADV,bura,her
739,hier::ADV,burada,her
740,hierhin::ADV,buraya,hit
741,von hier::ADV,buradan,herfra
742,dort::ADV,ora,der
743,dort::ADV,orada,der
744,dorthin::ADV,oraya,dit
745,geradeaus::ADV,düz,rett fram
746,vorwärts::ADV,irəli,fram
747,vorwärts::ADV,irəli,framover
748,rückwärts::ADV,geri,baklengs
749,zurück::ADV,geriyə,tilbake
750,unten::ADV,aşağıda,nede
751,hinab::ADV,aşağı,ned
752,hinab::ADV,aşağı,nedover
753,oben::ADV,yuxarıda,oppe
754,oben::ADV,yuxarıda,ovenpå
755,hinauf::ADV,yuxarı,opp
756,hinauf::ADV,yuxarı,oppover
757,überall::ADV,hər yerdə,overalt
758,nicht::ADV,-ma-,ikke
759,ein wenig::ADV,bir az,litt
760,kaum::ADV,güclə,neppe
761,sehr::ADV,çox,svært
762,so::ADV,belə,så
763,noch::ADV,hələ,enda
764,nur::ADV,yalnız,bare
765,schon::ADV,artıq,alt
766,schon::ADV,artıq,allerede
767,wieder::ADV,yenə,igjen
768,vergebens::ADV,boş yerə,forgjeves
769,vor::PRP,önündə,foran
770,vor::PRP,önündə,utenfor
771,hinter::PRP,arxasında,bak
772,hinter::PRP,arxasında,bakom
773,unter::PRP,altında,under
774,durch::PRP,içindən,gjennom
775,durch::PRP,içindən,igjennom
776,neben::PRP,yanında,ved siden av
777,zwischen::PRP,arasında,mellom
778,wegen::PRP,üçün,på grunn av
779,wegen::PRP,ötəri,på grunn av
780,dies::PRN,bu,dette
781,das::PRN,o,det
782,alles::PRN,hər şey,alt
783,ich::PRN,mən,jeg
784,du::PRN,sən,du
785,er::PRN,o,han
786,wir::PRN,biz,vi
787,ihr::PRN,siz,dere
788,sie::PRN,onlar,de
789,was::FPRN,nə,hva
790,wer::FPRN,kim,hvem
791,wo::FADV,harada,hvor
792,wohin::FADV,haraya,hvor ... hen
793,wie::FADV,necə,hvordan
794,warum::FADV,niyə,hvorfor
795,warum::FADV,nə üçün,hvorfor
796,wieviel::FNUM,neçə,hvor mye
797,wieviel::FNUM,nə qədər,hvor mye
798,eins::NUM,bir,en
799,eins::NUM,bir,ett
800,zwei::NUM,iki,to
801,drei::NUM,üç,tre
802,vier::NUM,dörd,fire
803,fünf::NUM,beş,fem
804,sechs::NUM,altı,seks
805,sieben::NUM,yeddi,sju
806,acht::NUM,səkkiz,åtte
807,neun::NUM,doqquz,ni
808,zehn::NUM,on,ti
809,elf::NUM,on bir,elleve
810,zwölf::NUM,on iki,tolv
811,zwanzig::NUM,iyirmi,tjue
812,dreißig::NUM,otuz,tretti
813,vierzig::NUM,qırx,førti
814,fünfzig::NUM,əlli,femti
815,sechzig::NUM,altmış,seksti
816,siebzig::NUM,yetmiş,sytti
817,achtzig::NUM,səksən,åtti
818,neunzig::NUM,doxsan,nitti
819,hundert::NUM,yüz,hundre
820,tausend::NUM,min,tusen
821,und::CNJ,və,og
822,oder::CNJ,ya,eller
823,stehen::V,durmaq,stå
824,sitzen::V,oturmaq,sitte
825,liegen::V,uzanmaq,ligge
826,hängen::V,asılmaq,henge
827,werden::V,olmaq,bli
828,passieren::V,olmaq,skje
