,Concept_ID,cv,nl
112,Hügel::N,тӗмеске,heuvel
113,Anhöhe::N,сӑрт,hoogte
114,Berg::N,ту,berg
115,Gipfel::N,тӳпе,top
116,Höhle::N,ҫӗр хӑвӑлӗ,hol
117,Abhang::N,тӑвайкки,helling
118,Quelle::N,ҫӑл куҫ,bron
119,Bach::N,пӗчӗк шыв,beek
120,Fluss::N,юхан шыв,stroom
121,Ufer::N,ҫыран,wal
122,Ufer::N,ҫыран,oever
123,Küste::N,тинӗс ҫыранӗ,kust
124,Festland::N,тип ҫӗр,vasteland
125,Meer::N,тинӗс,zee
126,Bucht::N,тинӗс кукӑрӗ,baai
127,Bucht::N,тинӗс кукӑрӗ,inham
128,Insel::N,утрав,eiland
129,Blume::N,чечек,bloem
130,Gras::N,курӑк,gras
131,Wurzel::N,тымар,wortel
132,Baum::N,йывӑҫ,boom
133,Stamm::N,вулӑ,stam
134,Rinde::N,хуйӑр,schors
135,Ast::N,турат,tak
136,Zweig::N,турат,twijg
137,Blatt::N,ҫулҫӑ,blad
138,Birke::N,хурӑн,berk
139,Kiefer[Baum]::N,хыр,den
140,Weide[Baum]::N,хӑва,wilg
141,Tanne::N,чӑрӑш,spar
142,Horn::N,мӑйрака,hoorn
143,Feder::N,тӗк,veer
144,Feder::N,тӗк,pluim
145,Fell::N,ҫӑм,vel
146,Flügel::N,ҫунат,vleugel
147,Klaue::N,чӗрне,klauw
148,Kralle::N,ура,klauw
149,Schwanz::N,хӳре,staart
150,Ei::N,ҫӑмарта,ei
151,Nest::N,йӑва,nest
152,Bau::N,йӗнӗ,hol
153,Tier::N,выльӑх,dier
154,Herde::N,кӗтӳ,kudde
155,Kuh::N,ӗне,koe
156,Bulle::N,вӑкӑр,stier
157,Pferd::N,лаша,paard
158,Schaf::N,сурӑх,schaap
159,Schwein::N,сысна,varken
160,Hund::N,йытӑ,hond
161,Katze::N,кушак,kat
162,Bär::N,упа,beer
163,Eichhörnchen::N,пакша,eekhoorntje
164,Elch::N,пӑши,eland
165,Fuchs::N,тилӗ,vos
166,Hase::N,куян,haas
167,Hase::N,мулкач,haas
168,Maus::N,шӑши,muis
169,Wolf::N,кашкӑр,wolf
170,Vogel::N,кайӑк,vogel
171,Vogel::N,вӗҫен кайӑк,vogel
172,Schwarm::N,ушкӑн,zwerm
173,Huhn::N,чӑх,kip
174,Huhn::N,чӑх,hoen
175,Huhn::N,чӑхӑ,kip
176,Huhn::N,чӑхӑ,hoen
177,Hahn::N,автан,haan
178,Gans::N,хур,gans
179,Adler::N,ӑмӑрт кайӑк,arend
180,Ente::N,кӑвакал,eend
181,Eule::N,тӑмана,uil
182,Kranich::N,тӑрна,kraanvogel
183,Krähe::N,ула курак,kraai
184,Kuckuck::N,куккук,koekoek
185,Schwan::N,акӑш,zwaan
186,Fisch::N,пулӑ,vis
187,Barsch::N,уланкӑ,baars
188,Hecht::N,ҫӑрттан,snoek
189,Schlange[Tier]::N,ҫӗлен,slang
190,Wurm::N,ӑман,worm
191,Spinne::N,эрешмен,spin
192,Ameise::N,кӑткӑ,mier
193,Laus::N,пыйтӑ,luis
194,Mücke::N,вӑрӑм туна,mug
195,Fliege::N,шӑна,vlieg
196,Schmetterling::N,лӗпӗш,vlinder
197,Beere::N,ҫырла,bes
198,Apfel::N,улма,appel
199,Apfel::N,пан улми,appel
200,Pilz::N,кӑмпа,paddestoel
201,Zwiebel::N,сухан,ui
202,Saat::N,вӑрӑ,zaad
203,Korn::N,тӗшӗ,graan
204,Korn::N,тӗшӗ,korrel
205,Korn::N,пӗрчӗ,graan
206,Korn::N,пӗрчӗ,korrel
207,Heu::N,утӑ,hooi
208,Schale::N,хупӑ,schil
209,Grube::N,шӑтӑк,kuil
210,Falle::N,тапӑ,val
211,Falle::N,капкӑн,val
212,Schlinge::N,йӑлӑ,strop
213,Spur::N,йӗр,spoor
214,Asche::N,кӗл,as
215,Dreck::N,пылчӑк,drek
216,Eisen::N,тимӗр,ijzer
217,Gold::N,ылтӑн,goud
218,Silber::N,кӗмӗл,zilver
219,Kohle::N,кӑмрӑк,kool
220,Glas::N,кӗленче,glas
221,Lehm::N,тӑм,klei
222,Sand::N,хӑйӑр,zand
223,Mensch::N,ҫын,mens
224,Mensch::N,этем,mens
225,Mann::N,ар,man
226,Frau::N,хӗрарӑм,vrouw
227,Kind::N,ача,kind
228,Junge::N,ача,jongen
229,Junge::N,ар ҫын ача,jongen
230,Mädchen::N,хӗр ача,meisje
231,Familie::N,ҫемье,gezin
232,Familie::N,ҫемье,familie
233,Familie::N,кил-йыш,gezin
234,Familie::N,кил-йыш,familie
235,Großvater::N,кукаҫи,grootvader
236,Großmutter::N,кукамай,grootmoeder
237,Eltern::N,аҫа-ама,ouders
238,Vater::N,атте,vader
239,Mutter::N,анне,moeder
240,Sohn::N,ывӑл,zoon
241,Tochter::N,хӗр,dochter
242,Bruder::N,ар тӑван,broer
243,Bruder::N,ар тӑван,broeder
244,Schwester::N,аппа,zus
245,Schwester::N,аппа,zuster
246,Schwester::N,йӑмӑк,zus
247,Schwester::N,йӑмӑк,zuster
248,Onkel::N,мучи,oom
249,Onkel::N,пичче,oom
250,Tante::N,аппа,tante
251,Ehemann::N,упӑшка,echtgenoot
252,Ehefrau::N,арӑм,echtgenote
253,Freude::N,савӑнӑҫ,vreugde
254,Freude::N,хаваслӑх,vreugde
255,Gelächter::N,кулӑ,gelach
256,Glück::N,телей,geluk
257,Glück::N,ӑраскал,geluk
258,Kummer::N,хурлӑх,verdriet
259,Wunsch::N,ӗмӗт,wens
260,Wunsch::N,ӗмӗт,verlangen
261,Wunsch::N,кӑмӑл,wens
262,Wunsch::N,кӑмӑл,verlangen
263,Lust::N,кӑмӑл,zin
264,Lust::N,кӑмӑл,lust
265,Geist::N,чун-чӗм,geest
266,Geist::N,ыр-усал,geest
267,Geist::N,чун хавалӗ,geest
268,Gedanke::N,шухӑш,gedachte
269,Gedächtnis::N,ас,geheugen
270,Verstand::N,ӑс,verstand
271,Verstand::N,ӑс-тӑн,verstand
272,Verstand::N,ӑс-хакӑл,verstand
273,Sinn::N,тупсӑм,betekenis
274,Sinn::N,пӗлтерӗш,betekenis
275,Grund::N,сӑлтав,reden
276,Wahrheit::N,чӑнлӑх,waarheid
277,Gespräch::N,калаҫу,gesprek
278,Märchen::N,юмах,sprookje
279,Erzählung::N,акалав,verhaal
280,Erzählung::N,каласа пани,verhaal
281,Nachricht::N,хыпар,tijding
282,Neuigkeit::N,ҫӗнӗ хыпар,nieuws
283,Neuigkeit::N,ҫӗнӗ хыпар,nieuwtje
284,Name::N,ят,naam
285,Rätsel::N,сутмалли юмах,raadsel
286,Rede::N,сӑмах,rede
287,Sprache::N,чӗлхе,taal
288,Stimme::N,сасӑ,stem
289,Wort::N,сӑмах,woord
290,Zeichen::N,паллӑ,teken
291,Ruf::N,йыхрав,roep
292,Ruf::N,чӗнӳ,roep
293,Lärm::N,шав,lawaai
294,Laut::N,сасӑ,klank
295,Laut::N,сасӑ,geluid
296,Ton::N,сасӑ,toon
297,Ton::N,сасӑ,klank
298,Lied::N,юрӑ,lied
299,Ruhe::N,канӑҫлӑх,rust
300,Ruhe::N,канӑҫлӑх,stilte
301,Ruhe::N,лӑпкӑлӑх,rust
302,Ruhe::N,лӑпкӑлӑх,stilte
303,Leute::N,ҫамрӑксем,lui
304,Leute::N,ҫамрӑксем,mensen
305,Leute::N,ҫамрӑк ҫынсем,lui
306,Leute::N,ҫамрӑк ҫынсем,mensen
307,Volk::N,халӑх,volk
308,Arbeit::N,ӗҫхӗл,werk
309,Arbeit::N,ӗҫхӗл,arbeid
310,Arbeit::N,ӗҫлев,werk
311,Arbeit::N,ӗҫлев,arbeid
312,Gast::N,хӑна,gast
313,Geschenk::N,парне,cadeau
314,Geschenk::N,парне,geschenk
315,Geschenk::N,кучченеҫ,cadeau
316,Geschenk::N,кучченеҫ,geschenk
317,Spiel::N,вӑйӑ,spel
318,Gesellschaft::N,общество,gezelschap
319,Hilfe::N,пулӑшу,hulp
320,Freund::N,тус,vriend
321,Kamerad::N,юлташ,maat
322,Kamerad::N,юлташ,metgezel
323,Kamerad::N,тус,maat
324,Kamerad::N,тус,metgezel
325,Angelegenheit::N,ӗҫ,zaak
326,Angelegenheit::N,ӗҫ,aangelegenheid
327,Anzahl::N,йыш,tal
328,Anzahl::N,йыш,aantal
329,Anzahl::N,хисеп,tal
330,Anzahl::N,хисеп,aantal
331,Art::N,тӗс,slag
332,Art::N,тӗс,soort
333,Stück::N,татӑк,stuk
334,Teil::N,пай,deel
335,Hälfte::N,ҫурӑ,helft
336,Kreis::N,ункӑ,kring
337,Kreis::N,ункӑ,cirkel
338,Kreis::N,ҫавракӑш,kring
339,Kreis::N,ҫавракӑш,cirkel
340,Kreuz::N,хӗрес,kruis
341,Linie::N,йӗр,lijn
342,Strich::N,йӗр,haal
343,Strich::N,йӗр,streep
344,Abstand::N,хушӑ,afstand
345,Entfernung::N,хушӑ,afstand
346,Gegend::N,вырӑн,streek
347,Platz::N,хутлӑх,ruimte
348,Ort::N,вырӑн,oord
349,Ort::N,вырӑн,plaats
350,Seite::N,ен,zij
351,Seite::N,ен,kant
352,Seite::N,ен,zijde
353,Seite::N,аяк,zij
354,Seite::N,аяк,kant
355,Seite::N,аяк,zijde
356,Seite::N,айӑк,zij
357,Seite::N,айӑк,kant
358,Seite::N,айӑк,zijde
359,Mitte::N,варӑ,midden
360,Gegenstand::N,япала,voorwerp
361,Sache::N,япала,zaak
362,Rand::N,вӗҫ,rand
363,Rand::N,вӗҫ,boord
364,Rand::N,хӗрӗ,rand
365,Rand::N,хӗрӗ,boord
366,Rand::N,хӗрри,rand
367,Rand::N,хӗрри,boord
368,Kante::N,хайкача,kant
369,Kante::N,хысак,kant
370,Ecke::N,кӗтес,hoek
371,Spitze::N,вӗҫ,punt
372,Spitze::N,вӗҫ,spits
373,Ende::N,вӗҫ,einde
374,Ende::N,вӗҫ,uiteinde
375,Loch::N,шӑтӑк,gat
376,Winkel::N,кӗтес,hoek
377,Muster::N,эреш,dessin
378,Muster::N,эреш,patroon
379,Größe::N,пысӑкӑш,grootte
380,Länge::N,вӑрӑмӑш,lengte
381,Höhe::N,ҫӳллӗш,hoogte
382,Gewicht::N,виҫе,gewicht
383,Gewicht::N,йывӑрӑш,gewicht
384,Menge::N,йыш,hoeveelheid
385,Haufen::N,купа,hoop
386,Reihe::N,рет,rij
387,Reihe::N,рет,reeks
388,Boot::N,кимӗ,boot
389,Ruder::N,кӗсмен,roeiriem
390,Schlitten::N,ҫуна,slee
391,Schlitten::N,ҫуна,slede
392,Ski::N,йӗлтӗр,ski
393,Lagerfeuer::N,вут,kampvuur
394,Lagerfeuer::N,кӑвайт,kampvuur
395,Last::N,сулмаклӑх,last
396,Last::N,сулмаклӑх,vracht
397,Last::N,йывӑр япала,last
398,Last::N,йывӑр япала,vracht
399,Gang::N,куҫӑм,wandeling
400,Schritt::N,утӑм,stap
401,Schritt::N,утӑм,schrede
402,Schritt::N,пусӑм,stap
403,Schritt::N,пусӑм,schrede
404,Norden::N,ҫурҫӗр,noorden
405,Süden::N,кӑнтӑр,zuiden
406,Westen::N,анӑҫ,westen
407,Westen::N,хӗвел анӑҫ,westen
408,Osten::N,хӗвел тухӑҫ,oosten
409,Holz::N,йывӑҫ,hout
410,Brett::N,хӑма,plank
411,Platte::N,плита,plaat
412,Stütze::N,ура,stut
413,Stütze::N,ура,steun
414,Stange::N,шерте,stang
415,Stock::N,патак,stok
416,Stab::N,шӑчӑ,staf
417,Rohr::N,пӑрӑх,pijp
418,Haus::N,ҫурт,huis
419,Heim::N,кил,tehuis
420,Ofen::N,кӑмака,kachel
421,Fußboden::N,урай,vloer
422,Tisch::N,сӗтел,tafel
423,Stuhl::N,пукан,stoel
424,Wiege::N,сӑпка,wieg
425,Bett::N,кравать,bed
426,Regal::N,ҫӳлӗк,rek
427,Regal::N,сентре,rek
428,Kiste::N,ещӗк,kist
429,Kiste::N,сунтӑх,kist
430,Fenster::N,чӳрече,raam
431,Fenster::N,чӳрече,venster
432,Tür::N,алӑк,deur
433,Tor::N,хапха,poort
434,Zaun::N,хӳме,omheining
435,Dach::N,тӑрӑ,dak
436,Leiter::N,пусма,ladder
437,Besen::N,шӑпӑр,bezem
438,Spaten::N,кӗреҫе,schop
439,Schaufel::N,кӗреҫе,schep
440,Gabel::N,вилка,vork
441,Löffel::N,кашӑк,lepel
442,Messer::N,ҫӗҫӗ,mes
443,Nagel::N,пӑта,spijker
444,Netz::N,тетел,net
445,Haken::N,йӑрхах,haak
446,Haken::N,ҫекӗл,haak
447,Griff::N,хӑлӑп,handvat
448,Schloss::N,ҫӑра,slot
449,Bild::N,сӑн,beeld
450,Bild::N,сӑнлӑх,beeld
451,Bild::N,картина,beeld
452,Figur::N,кӗлетке,figuur
453,Puppe::N,пукане,pop
454,Beutel::N,михӗ,zak
455,Beutel::N,михӗ,buidel
456,Bündel::N,ҫыхӑ,pak
457,Bündel::N,ҫыхӑ,bundel
458,Bündel::N,тӗрке,pak
459,Bündel::N,тӗрке,bundel
460,Tasche::N,сумка,tas
461,Eimer::N,витре,emmer
462,Deckel::N,хупӑ,deksel
463,Geschirr::N,савӑт-сапа,vaatwerk
464,Sack::N,михӗ,zak
465,Tasse::N,курка,kop
466,Topf::N,кастрюль,pan
467,Kessel::N,хуран,ketel
468,Essen::N,апат,eten
469,Nahrung::N,апат-ҫимӗс,voedsel
470,Speise::N,апат,spijs
471,Speise::N,ҫимӗҫ,spijs
472,Fleisch::N,аш,vlees
473,Fleisch::N,какай,vlees
474,Getreide::N,тырӑ,graan
475,Brei::N,пӑтӑ,pap
476,Brei::N,пӑтӑ,brij
477,Brot::N,ҫӑкӑр,brood
478,Scheibe::N,чӗлӗ,plak
479,Scheibe::N,чӗлӗ,snede
480,Scheibe::N,касӑк,plak
481,Scheibe::N,касӑк,snede
482,Fett::N,ҫу,vet
483,Butter::N,ҫу,boter
484,Öl::N,ҫу,olie
485,Salz::N,тӑвар,zout
486,Suppe::N,яшка,soep
487,Honig::N,пыл,honing
488,Milch::N,сӗт,melk
489,Tee::N,чей,thee
490,Leder::N,сӑран,leer
491,Leder::N,сӑран,leder
492,Wolle::N,ҫӑм,wol
493,Stoff::N,тӗртӗм,stof
494,Nadel::N,йӗп,naald
495,Faden::N,ҫип,draad
496,Knopf::N,тӳме,knoop
497,Knoten::N,йӑлӑ,knoop
498,Farbe::N,сӑрӑ,verf
499,Kleidung::N,тум,kledij
500,Kleidung::N,тум,kleding
501,Kleidung::N,ҫипуҫ,kledij
502,Kleidung::N,ҫипуҫ,kleding
503,Kleidung::N,тум-тир,kledij
504,Kleidung::N,тум-тир,kleding
505,Hemd::N,кӗпе,hemd
506,Kragen::N,ҫуха,kraag
507,Ärmel::N,ҫанӑ,mouw
508,Hose::N,шӑлавар,broek
509,Hose::N,шӑлавар,pantalon
510,Gürtel::N,пиҫиххи,riem
511,Gürtel::N,пиҫиххи,gordel
512,Mütze::N,ҫӗлӗк,muts
513,Schuh::N,пушмак,schoen
514,Schuh::N,ботинок,schoen
515,Stiefel::N,атӑ,laars
516,Ring::N,ҫӗрӗ,ring
517,Band::N,хаю,lint
518,Band::N,йӗсме,lint
519,Kamm::N,тура,kam
520,Spiegel::N,тӗкӗр,spiegel
521,Spiegel::N,куҫ кӗски,spiegel
522,Riemen::N,чӗн,riem
523,Schnur::N,кантра,koord
524,Leine::N,касмӑк,lijn
525,Decke::N,утиял,deken
526,Kissen::N,ҫытар,kussen
527,Kissen::N,минтер,kussen
528,Tuch::N,тутӑр,doek
529,Handtuch::N,ал шӑлли,handdoek
530,Kraft::N,вӑй,kracht
531,Kraft::N,хӑват,kracht
532,Stärke::N,хал,sterkte
533,Stärke::N,хӑват,sterkte
534,Gesundheit::N,хал,gezondheid
535,Gesundheit::N,сывлӑх,gezondheid
536,Krankheit::N,чир,ziekte
537,Schmerz::N,ырату,pijn
538,Wunde::N,суран,wond
539,Fieber::N,сив чир,koorts
540,Arznei::N,эмел,medicament
541,Arznei::N,эмел,geneesmiddel
542,Brücke::N,кӗпер,brug
543,Brunnen::N,ҫӑл,put
544,Brunnen::N,ҫӑл,bron
545,Brunnen::N,пусӑ,put
546,Brunnen::N,пусӑ,bron
547,Weide::N,ҫаран,wei
548,Weide::N,ҫаран,weide
549,Pfad::N,йӗр,pad
550,Pfad::N,сукмак,pad
551,Weg::N,ҫул,weg
552,Weg::N,ҫул-йӗр,weg
553,Straße::N,ҫӳрев,baan
554,Straße::N,ҫӳрев,straat
555,Straße::N,ҫул ҫӳрени,baan
556,Straße::N,ҫул ҫӳрени,straat
557,Dorf::N,ял,dorp
558,Stadt::N,хула,stad
559,Brief::N,ҫыру,brief
560,Buch::N,кӗнеке,boek
561,Buchstabe::N,сас палли,letter
562,Zeitung::N,хаҫат,krant
563,Zeitung::N,хаҫат,dagblad
564,Leben::N,пурнӑҫ,leven
565,Tod::N,вилӗм,dood
566,Grab::N,масар шӑтӑкӗ,graf
567,Kirche::N,чиркӳ,kerk
568,Sünde::N,ҫылӑх,zonde
569,Gott::N,турӑ,god
570,Arbeiter::N,рабочи,arbeider
571,Chef::N,пуҫлӑх,chef
572,Meister::N,ӑста,meester
573,Meister::N,мастер,meester
574,Arzt::N,врач,arts
575,Arzt::N,врач,dokter
576,Arzt::N,тухтӑр,arts
577,Arzt::N,тухтӑр,dokter
578,Lehrer::N,учитель,leraar
579,Lehrer::N,учитель,onderwijzer
580,Lehrer::N,вӗрентекен,leraar
581,Lehrer::N,вӗрентекен,onderwijzer
582,Geld::N,укҫа,geld
583,Geschäft::N,бизнес,zaak
584,Laden::N,магазин,winkel
585,Preis::N,хак,prijs
586,Ware::N,тавар,waar
587,Nutzen::N,пайта,nut
588,Nutzen::N,пайта,voordeel
589,Reichtum::N,мул,rijkdom
590,Welt::N,тӗнче,wereld
591,Land::N,ҫӗр-шыв,land
592,Staat::N,патшàлӑх,staat
593,König::N,король,koning
594,Macht::N,власть,macht
595,Grenze::N,чикӗ,grens
596,Krieg::N,вӑрҫӑ,oorlog
597,Feind::N,тӑшман,vijand
598,Gewalt::N,ирӗксӗрлӳ,geweld
599,Kampf::N,кӗрешӳ,strijd
600,Kampf::N,кӗрешӳ,gevecht
601,Bogen[Waffe]::N,ухӑ,boog
602,Pfeil::N,ҫӗмрен,pijl
603,Pfeil::N,ухӑ йӗппи,pijl
604,Gewehr::N,пӑшал,geweer
605,Fehler::N,йӑнӑш,fout
606,Lüge::N,суя,leugen
607,Lüge::N,ултав,leugen
608,Schaden::N,сиен,schade
609,Unglück::N,шар,tegenspoed
610,Unglück::N,инкек,tegenspoed
611,Schuld::N,айӑп,schuld
612,Alter::N,ҫул шучӗ,leeftijd
613,Schluss::N,пӗтни,slot
614,Schluss::N,пӗтмӗш,slot
615,Zeit::N,вӑхӑт,tijd
616,Tag::N,кун,dag
617,Morgen::N,ир,morgen
618,Morgen::N,ир,ochtend
619,Mittag::N,кӑнтӑрла,middag
620,Abend::N,каҫ,avond
621,Nacht::N,каҫ,nacht
622,Woche::N,эрне,week
623,Monat::N,уйӑх,maand
624,Jahr::N,ҫулталӑк,jaar
625,Frühling::N,ҫур,lente
626,Frühling::N,ҫур,voorjaar
627,Frühling::N,ҫуркунне,lente
628,Frühling::N,ҫуркунне,voorjaar
629,Sommer::N,ҫу,zomer
630,Sommer::N,ҫулла,zomer
631,Herbst::N,кӗр,herfst
632,Herbst::N,кӗркунне,herfst
633,Winter::N,хӗл,winter
634,Winter::N,хӗлле,winter
635,Januar::N,январь,januari
636,Februar::N,февраль,februari
637,Februar::N,кӗҫӗн кӑрлач,februari
638,März::N,март,maart
639,März::N,пуш уйӑхӗ,maart
640,April::N,апрель,april
641,Mai::N,май,mei
642,Juni::N,июнь,juni
643,Juli::N,июль,juli
644,August::N,август,augustus
645,September::N,сентябрь,september
646,September::N,авӑн уйӑхӗ,september
647,Oktober::N,октябрь,oktober
648,November::N,ноябрь,november
649,Dezember::N,раштав,december
650,Dezember::N,декабрь,december
651,Montag::N,тунти кун,maandag
652,Dienstag::N,ытлари кун,dinsdag
653,Mittwoch::N,юн кун,woensdag
654,Donnerstag::N,кӗҫнерни кун,donderdag
655,Freitag::N,эрне кун,vrijdag
656,Samstag::N,шӑмат кун,zaterdag
657,Sonntag::N,вырсарни кун,zondag
658,groß::A,пысӑк,groot
659,klein::A,пӗчӗк,klein
660,lang::A,вӑрӑм,lang
661,kurz::A,кӗске,kort
662,breit::A,сарлака,breed
663,schmal::A,ансӑр,smal
664,dicht::A,йӑвӑ,dicht
665,dick[Gegenstand]::A,хулӑн,dik
666,dünn::A,ҫинҫе,dun
667,dünn::A,ҫӳхе,dun
668,fein::A,тарай,fijn
669,fein::A,вӗлтӗрти,fijn
670,fest::A,тӗреклӗ,vast
671,flach::A,лаптак,plat
672,glatt::A,такӑр,glad
673,hart::A,хытӑ,hard
674,weich::A,ҫемҫе,week
675,rund::A,ҫавра,rond
676,spitz::A,шӗвӗр,spits
677,spitz::A,шӗвӗр,puntig
678,scharf::A,ҫивӗч,scherp
679,stumpf::A,мӑка,stomp
680,stumpf::A,пуклак,stomp
681,stumpf::A,тӗрӗнчӗк,stomp
682,stumpf::A,ӑнкарусӑр,stomp
683,schwer::A,йывӑр,zwaar
684,schön::A,илемлӗ,mooi
685,schön::A,илемлӗ,fraai
686,heiß::A,вӗри,heet
687,warm::A,ӑшӑ,warm
688,kalt::A,сивӗ,koud
689,kühl::A,уҫӑ,koel
690,frisch::A,уҫӑ,fris
691,feucht::A,йӗпе,vochtig
692,nass::A,нӳрӗ,nat
693,trocken::A,типӗ,droog
694,voll::A,тулли,vol
695,leer::A,пушӑ,leeg
696,offen::A,уҫӑ,open
697,geschlossen::A,хупӑ,gesloten
698,sauber::A,таса,net
699,sauber::A,таса,schoon
700,schmutzig::A,пылчӑклӑ,vuil
701,schmutzig::A,вараланчӑк,vuil
702,roh::A,чӗрӗ,rauw
703,reif::A,пулнӑ,rijp
704,reif::A,пиҫӗхнӗ,rijp
705,reif::A,аталаннӑ,rijp
706,reif::A,пиҫсе ҫитнӗ,rijp
707,lecker::A,тутлӑ,lekker
708,lecker::A,техӗмлӗ,lekker
709,süß::A,пылак,zoet
710,bitter::A,йӳҫӗ,bitter
711,sauer::A,йӳҫӗ,zuur
712,sauer::A,йӳҫек,zuur
713,sauer::A,кӑвасак,zuur
714,hell::A,ҫутӑ,licht
715,hell::A,ҫутӑ,helder
716,dunkel::A,тӗттӗм,donker
717,schwarz::A,хура,zwart
718,weiß::A,шурӑ,wit
719,rot::A,хӗрлӗ,rood
720,gelb::A,сарӑ,geel
721,blau::A,кӑвак,blauw
722,grün::A,симӗс,groen
723,grün::A,пиҫмен,groen
724,grün::A,ӑс пухман,groen
725,grau::A,кӑвак,grijs
726,bunt::A,чӑпар,bont
727,billig::A,йӳнӗ,goedkoop
728,teuer::A,хаклӑ,duur
729,wertvoll::A,паха,kostbaar
730,wertvoll::A,паха,waardevol
731,blind::A,суккӑр,blind
732,taub::A,хӑлхасӑр,doof
733,kräftig::A,хӑватлӑ,krachtig
734,stark::A,вирлӗ,sterk
735,schwach::A,халсӑр,zwak
736,fett::A,самӑр,vet
737,fett::A,мӑнтӑр,vet
738,schlank::A,йӑрӑс,slank
739,schlank::A,яштака,slank
740,hübsch::A,хитре,leuk
741,böse::A,усал,kwaad
742,dumm::A,ухмах,dom
743,faul::A,наян,lui
744,faul::A,юлхав,lui
745,faul::A,ӳркенчӗк,lui
