,Concept_ID,es,ku
90,Regenbogen::N,arco iris,heftreng
91,Donner::N,trueno,gire-gir
92,Strömung::N,corriente,şewl
93,Tropfen::N,gota,dilop
94,Schaum::N,espuma,kef
95,Schmutz::N,suciedad,gemar
96,See::N,lago,gol
97,Sumpf::N,pantano,hezek
98,Moor::N,turbera,mafêl
99,Wiese::N,prado,sûrik
100,Wiese::N,pradera,sûrik
101,Wald::N,bosque,çiya
102,Wald::N,bosque,daristan
103,Hügel::N,colina,gir
104,Anhöhe::N,cerro,sere gir
105,Berg::N,monte,kaş
106,Berg::N,montaña,kaş
107,Gipfel::N,cima,sere gir
108,Gipfel::N,cumbre,sere gir
109,Höhle::N,cueva,şikeft
110,Höhle::N,caverna,şikeft
111,Abhang::N,cuesta,kaş
112,Abhang::N,declive,kaş
113,Quelle::N,fuente,kanî
114,Quelle::N,manantial,kanî
115,Bach::N,arroyo,çem
116,Fluss::N,río,çem
117,Fluss::N,río,rûbar
118,Ufer::N,orilla,kevî
119,Küste::N,costa,berav
120,Festland::N,tierra firme,bejahî
121,Meer::N,mar,behr
122,Bucht::N,cala,derav
123,Bucht::N,bahía,derav
124,Insel::N,isla,girav
125,Blume::N,flor,kulînk
126,Gras::N,hierba,giha
127,Wurzel::N,raíz,reh
128,Baum::N,árbol,dar
129,Stamm::N,tronco,bavik
130,Rinde::N,corteza,qaqil
131,Ast::N,rama,gulî
132,Zweig::N,ramo,şax
133,Blatt::N,hoja,pel
134,Birke::N,abedul,dara sipî
135,Kiefer[Baum]::N,pino,dara bî
136,Weide[Baum]::N,sauce,dara belalûk
137,Tanne::N,abeto,merx
138,Horn::N,asta,strô
139,Horn::N,cuerno,strô
140,Feder::N,pluma,pîrtîk
141,Fell::N,piel,heyar
142,Flügel::N,ala,per
143,Klaue::N,garra,napîk
144,Kralle::N,uña,dinik
145,Kralle::N,uña,dirnax
146,Kralle::N,garra,dinik
147,Kralle::N,garra,dirnax
148,Schwanz::N,cola,dûv
149,Ei::N,huevo,hêk
150,Nest::N,nido,hêlîn
151,Bau::N,madriguera,avahî
152,Tier::N,animal,heywan
153,Herde::N,rebaño,hoz
154,Kuh::N,vaca,çêlek
155,Bulle::N,toro,ga
156,Pferd::N,caballo,hesp
157,Schaf::N,oveja,mîh
158,Schwein::N,cerdo,beraz
159,Hund::N,perro,seh
160,Katze::N,gato,pişîk
161,Bär::N,oso,hirç
162,Eichhörnchen::N,ardilla,pilûr
163,Elch::N,alce,pazkovî
164,Fuchs::N,zorro,rovî
165,Hase::N,liebre,kîroşk
166,Maus::N,ratón,mişk
167,Wolf::N,lobo,gur
168,Vogel::N,ave,çûk
169,Vogel::N,pájaro,çûk
170,Schwarm::N,bandada,lufik
171,Huhn::N,gallina,mirîşk
172,Hahn::N,gallo,dîk
173,Gans::N,oca,qaz
174,Gans::N,ganso,qaz
175,Adler::N,águila,eylo
176,Ente::N,pato,werdek
177,Eule::N,lechuza,bûm
178,Eule::N,lechuza,kund
179,Kranich::N,grulla,quling
180,Krähe::N,corneja,qijik
181,Kuckuck::N,cuco,pepûk
182,Schwan::N,cisne,qû
183,Fisch::N,pez,masî
184,Barsch::N,perca,okûn
185,Hecht::N,lucio,mesîyê lûf
186,Schlange[Tier]::N,serpiente,mar
187,Wurm::N,gusano,kurm
188,Spinne::N,araña,pîrê
189,Ameise::N,hormiga,mîro
190,Ameise::N,hormiga,gêrîk
191,Laus::N,piojo,spi
192,Mücke::N,mosquito,mêş
193,Fliege::N,mosca,mêş
194,Schmetterling::N,mariposa,perperîk
195,Beere::N,baya,hirç
196,Apfel::N,manzana,sêv
197,Pilz::N,seta,bîrov
198,Pilz::N,hongo,bîrov
199,Zwiebel::N,cebolla,pîvaz
200,Saat::N,siembra,tov
201,Korn::N,grano,dexl
202,Heu::N,heno,sap
203,Schale::N,cáscara,qaşik
204,Grube::N,foso,çahl
205,Falle::N,trampa,dafik
206,Schlinge::N,lazo,dahf
207,Spur::N,huella,rêç
208,Asche::N,ceniza,xweli
209,Dreck::N,suciedad,gemarî
210,Eisen::N,hierro,hesing
211,Gold::N,oro,zêr
212,Silber::N,plata,zîv
213,Kohle::N,carbón,komir
214,Glas::N,vidrio,qedeh
215,Glas::N,cristal,qedeh
216,Lehm::N,barro,kelpîç
217,Sand::N,arena,qûm
218,Mensch::N,hombre,mirov
219,Mensch::N,ser humano,mirov
220,Mann::N,hombre,mêr
221,Frau::N,mujer,jin
222,Kind::N,niño,zarok
223,Junge::N,chico,kur
224,Junge::N,muchacho,kur
225,Mädchen::N,chica,keç
226,Mädchen::N,chica,keçik
227,Mädchen::N,muchacha,keç
228,Mädchen::N,muchacha,keçik
229,Familie::N,familia,malbat
230,Großvater::N,abuelo,bapîr
231,Großmutter::N,abuela,pîrik
232,Eltern::N,padres,bavudê
233,Vater::N,padre,bav
234,Mutter::N,madre,dê
235,Mutter::N,madre,dayik
236,Sohn::N,hijo,kur
237,Tochter::N,hija,keç
238,Bruder::N,hermano,bira
239,Schwester::N,hermana,xweh
240,Onkel::N,tío,am
241,Onkel::N,tío,xal
242,Tante::N,tía,metik
243,Tante::N,tía,xaltîk
244,Ehemann::N,esposo,mêr
245,Ehefrau::N,esposa,kulfet
246,Freude::N,placer,kêfxweşî
247,Freude::N,alegría,kêfxweşî
248,Gelächter::N,risa,pîrqînî
249,Gelächter::N,carcajada,pîrqînî
250,Glück::N,felicidad,bext
251,Kummer::N,pena,derd
252,Wunsch::N,deseo,daxwaz
253,Wunsch::N,deseo,xwestek
254,Lust::N,ganas,şewq
255,Geist::N,mente,aqil
256,Geist::N,espíritu,aqil
257,Gedanke::N,idea,fikir
258,Gedanke::N,pensamiento,fikir
259,Gedächtnis::N,memoria,aqil
260,Verstand::N,razón,fêm
261,Verstand::N,entendimiento,fêm
262,Sinn::N,sentido,aqil
263,Sinn::N,significado,aqil
264,Grund::N,causa,asas
265,Wahrheit::N,verdad,rastî
266,Gespräch::N,conversación,guftûgo
267,Märchen::N,cuento,çirok
268,Erzählung::N,cuento,çirok
269,Erzählung::N,cuento,vegotin
270,Erzählung::N,narración,çirok
271,Erzählung::N,narración,vegotin
272,Nachricht::N,mensaje,nûçe
273,Neuigkeit::N,noticia,hewal
274,Name::N,nombre,nav
275,Name::N,nombre,paşnav
276,Rätsel::N,acertijo,tiştonek
277,Rätsel::N,adivinanza,tiştonek
278,Rede::N,discurso,gotar
279,Rede::N,discurso,axavtin
280,Sprache::N,lengua,ziman
281,Stimme::N,voz,pejn
282,Wort::N,palabra,gotin
283,Zeichen::N,señal,şanek
284,Ruf::N,llamada,hawar
285,Lärm::N,ruido,xarbalix
286,Lärm::N,barullo,xarbalix
287,Laut::N,sonido,deng
288,Laut::N,sonido,hês
289,Ton::N,tono,awaz
290,Lied::N,canción,sitran
291,Ruhe::N,calma,rihetî
292,Ruhe::N,silencio,rihetî
293,Leute::N,gente,xelk
294,Volk::N,pueblo,xelk
295,Arbeit::N,trabajo,xebat
296,Gast::N,huésped,mêvan
297,Gast::N,invitado,mêvan
298,Geschenk::N,regalo,diyarî
299,Spiel::N,juego,lîstik
300,Gesellschaft::N,compañía,komal
301,Hilfe::N,ayuda,alîkarî
302,Hilfe::N,socorro,alîkarî
303,Freund::N,amigo,heval
304,Kamerad::N,camarada,heval
305,Kamerad::N,compañero,heval
306,Angelegenheit::N,asunto,pirsgirêk
307,Anzahl::N,cantidad,çend
308,Art::N,tipo,çeh
309,Art::N,clase,çeh
310,Stück::N,pieza,lib
311,Stück::N,pieza,parçe
312,Teil::N,parte,parçe
313,Hälfte::N,mitad,nîvî
314,Kreis::N,círculo,çemil
315,Kreuz::N,cruz,xaç
316,Linie::N,línea,xezik
317,Strich::N,raya,xezik
318,Strich::N,trazo,xezik
319,Abstand::N,distancia,dûrahî
320,Entfernung::N,distancia,dûrahî
321,Gegend::N,región,dever
322,Gegend::N,comarca,dever
323,Platz::N,espacio,çih
324,Ort::N,sitio,dever
325,Seite::N,lado,rûpel
326,Seite::N,costado,rûpel
327,Mitte::N,medio,nav
328,Mitte::N,medio,nabênê
329,Mitte::N,centro,nav
330,Mitte::N,centro,nabênê
331,Gegenstand::N,objeto,tişt
332,Sache::N,cosa,tişt
333,Rand::N,borde,kevî
334,Kante::N,borde,kevî
335,Ecke::N,esquina,qunç
336,Spitze::N,punta,derzî
337,Ende::N,cabo,talî
338,Ende::N,extremo,talî
339,Loch::N,agujero,qul
340,Loch::N,abertura,qul
341,Winkel::N,ángulo,kurnîşk
342,Muster::N,dibujo,desen
343,Größe::N,tamaño,mezinî
344,Länge::N,longitud,dirêjahî
345,Höhe::N,altura,bilindayî
346,Höhe::N,altitud,bilindayî
347,Gewicht::N,peso,giranî
348,Menge::N,cantidad,qas
349,Haufen::N,montón,lod
350,Reihe::N,fila,rêz
351,Boot::N,bote,kelek
352,Boot::N,barca,kelek
353,Ruder::N,remo,bêrik
354,Schlitten::N,trineo,xîjik
355,Ski::N,esquí,lakan
356,Lagerfeuer::N,hoguera,agir
357,Last::N,carga,bar
358,Gang::N,marcha,fîtêz
359,Schritt::N,paso,gav
360,Norden::N,norte,bakur
361,Süden::N,sur,başur
362,Westen::N,oeste,rojava
363,Osten::N,este,rojhilat
364,Holz::N,madera,dep
365,Brett::N,tabla,dep
366,Platte::N,placa,dep
367,Platte::N,plancha,dep
368,Stütze::N,sostén,destek
369,Stütze::N,soporte,destek
370,Stange::N,vara,sing
371,Stange::N,percha,sing
372,Stock::N,palo,çam
373,Stock::N,bastón,çam
374,Stab::N,vara,qat
375,Stab::N,bastón,qat
376,Rohr::N,tubo,borî
377,Haus::N,casa,mal
378,Haus::N,casa,xanî
379,Heim::N,hogar,mal
380,Ofen::N,estufa,sobe
381,Fußboden::N,suelo,binpê
382,Tisch::N,mesa,mase
383,Stuhl::N,silla,kursî
384,Wiege::N,cuna,derguş
385,Bett::N,cama,qerewêle
386,Regal::N,estantería,rêbaz
387,Kiste::N,caja,sindoq
388,Fenster::N,ventana,çam
389,Fenster::N,ventana,şibeke
390,Tür::N,puerta,derî
391,Tor::N,puerta,derge
392,Zaun::N,valla,hejik
393,Zaun::N,cercado,hejik
394,Dach::N,techo,sere xanî
395,Dach::N,tejado,sere xanî
396,Leiter::N,escalera,pêling
397,Besen::N,escoba,melkes
398,Spaten::N,pala,mer
399,Schaufel::N,pala,bêr
400,Schaufel::N,paleta,bêr
401,Gabel::N,tenedor,çetel
402,Löffel::N,cuchara,kevçî
403,Messer::N,cuchillo,kêr
404,Nagel::N,clavo,bizmar
405,Netz::N,red,tor
406,Haken::N,gancho,çenqel
407,Haken::N,corchete,çenqel
408,Griff::N,asa,destî
409,Griff::N,mango,destî
410,Schloss::N,cerradura,qonax
411,Bild::N,imagen,dimen
412,Figur::N,figura,figûr
413,Puppe::N,muñeca,bûk
414,Beutel::N,bolsa,kîsik
415,Bündel::N,haz,pêçek
416,Tasche::N,bolso,bêrîk
417,Eimer::N,cubo,dewl
418,Deckel::N,tapa,devik
419,Deckel::N,tapadera,devik
420,Geschirr::N,vajilla,ferax
421,Sack::N,saco,tûr
422,Tasse::N,taza,kada
423,Topf::N,olla,beroş
424,Topf::N,marmita,beroş
425,Kessel::N,caldera,şîril
426,Essen::N,comida,xwarin
427,Nahrung::N,alimento,xwarin
428,Speise::N,plato,xwarin
429,Fleisch::N,carne,goşt
430,Getreide::N,cereales,zad
431,Brei::N,puré,hewdêl
432,Brei::N,papilla,hewdêl
433,Brot::N,pan,
434,Scheibe::N,lonja,parçe
435,Scheibe::N,rebanada,parçe
436,Fett::N,grasa,rûn
437,Butter::N,mantequilla,rûn
438,Öl::N,aceite,rûn
439,Salz::N,sal,xwe
440,Suppe::N,sopa,şorbe
441,Honig::N,miel,hingiv
442,Milch::N,leche,şîr
443,Tee::N,té,çay
444,Leder::N,cuero,çerm
445,Wolle::N,lana,herî
446,Stoff::N,tela,paç
447,Stoff::N,tejido,paç
448,Nadel::N,aguja,derzî
449,Faden::N,hilo,ta
450,Knopf::N,botón,bişkok
451,Knoten::N,nudo,girêk
452,Farbe::N,pintura,boyax
453,Kleidung::N,ropa,çil
454,Kleidung::N,vestidos,çil
455,Hemd::N,camisa,qutik
456,Hemd::N,camisa,miltan
457,Kragen::N,cuello,stûvang
458,Ärmel::N,manga,hûçik
459,Hose::N,pantalón,şewel
460,Gürtel::N,cinturón,qayiş
461,Mütze::N,gorro,fîno
462,Schuh::N,zapato,şêkal
463,Stiefel::N,bota,gizme
464,Stiefel::N,bota,çizme
465,Ring::N,anillo,xelek
466,Band::N,cinta,band
467,Kamm::N,peine,şeh
468,Spiegel::N,espejo,eynik
469,Riemen::N,correa,qayiş
470,Schnur::N,cuerda,doxin
471,Leine::N,correa,şirît
472,Decke::N,manta,bataniye
473,Kissen::N,almohada,balgî
474,Tuch::N,pañuelo,şar
475,Handtuch::N,toalla,dezmal
476,Kraft::N,fuerza,hêz
477,Kraft::N,fuerza,qewet
478,Stärke::N,fuerza,xurtî
479,Gesundheit::N,salud,nojdarî
480,Krankheit::N,enfermedad,nexweşî
481,Schmerz::N,dolor,êş
482,Wunde::N,llaga,kul
483,Wunde::N,herida,kul
484,Fieber::N,fiebre,ta
485,Arznei::N,medicina,derman
486,Arznei::N,medicamento,derman
487,Brücke::N,puente,kopî
488,Brunnen::N,pozo,çal
489,Brunnen::N,pozo,kani
490,Weide::N,pasto,beyar
491,Pfad::N,sendero,xaçirek
492,Weg::N,camino,rê
493,Straße::N,vía,rê
494,Straße::N,carretera,rê
495,Dorf::N,aldea,gund
496,Dorf::N,pueblo,gund
497,Stadt::N,ciudad,baçar
498,Brief::N,carta,name
499,Buch::N,libro,kitêb
500,Buch::N,libro,pirtûk
501,Buchstabe::N,letra,herf
502,Buchstabe::N,carácter,herf
503,Zeitung::N,diario,rojname
504,Zeitung::N,periódico,rojname
505,Leben::N,vida,jiyan
506,Tod::N,muerte,mirin
507,Grab::N,tumba,mezel
508,Grab::N,sepulcro,mezel
509,Kirche::N,iglesia,gilyas
510,Sünde::N,pecado,guneh
511,Gott::N,dios,xwedê
512,Arbeiter::N,obrero,hîşçî
513,Arbeiter::N,trabajador,hîşçî
514,Chef::N,jefe,bêg
515,Meister::N,maestro,hoste
516,Arzt::N,médico,doktor
517,Lehrer::N,profesor,mamoste
518,Geld::N,dinero,pere
519,Geschäft::N,negocio,firoşgeh
520,Laden::N,tienda,dikan
521,Preis::N,precio,buha
522,Ware::N,mercancía,tişt
523,Nutzen::N,provecho,fêde
524,Reichtum::N,riqueza,serwet
525,Welt::N,mundo,dinya
526,Land::N,país,welat
527,Staat::N,Estado,dewlet
528,König::N,rey,şah
529,König::N,rey,qral
530,Macht::N,poder,qewet
531,Macht::N,poder,destihilat
532,Macht::N,potencia,qewet
533,Macht::N,potencia,destihilat
534,Grenze::N,frontera,kevî
535,Krieg::N,guerra,çeng
536,Krieg::N,guerra,sêwaş
537,Feind::N,enemigo,dijmin
538,Gewalt::N,violencia,zor
539,Kampf::N,lucha,şer
540,Kampf::N,combate,şer
541,Bogen[Waffe]::N,arco,kêvan
542,Pfeil::N,flecha,çîrik
543,Gewehr::N,fusil,tifing
544,Gewehr::N,escopeta,tifing
545,Fehler::N,error,şaşî
546,Lüge::N,mentira,derew
547,Schaden::N,daño,xisar
548,Unglück::N,desgracia,bêbextî
549,Schuld::N,culpa,suç
550,Alter::N,edad,temen
551,Schluss::N,fin,girtin
552,Schluss::N,final,girtin
553,Zeit::N,tiempo,çax
554,Tag::N,día,roj
555,Morgen::N,mañana,sibeh
556,Mittag::N,mediodía,nîro
557,Abend::N,noche,êvar
558,Nacht::N,noche,şev
559,Woche::N,semana,heftî
560,Monat::N,mes,meh
561,Jahr::N,año,sal
562,Frühling::N,primavera,bihar
563,Sommer::N,verano,havîn
564,Herbst::N,otoño,payîz
565,Winter::N,invierno,zistan
566,Januar::N,enero,çile
567,Februar::N,febrero,sibat
568,März::N,marzo,adar
569,April::N,abril,nîsan
570,Mai::N,mayo,gûlan
571,Juni::N,junio,hezîran
572,Juli::N,julio,tîmeh
573,August::N,agosto,tebax
574,September::N,septiembre,îlon
575,Oktober::N,octubre,çotmeh
576,November::N,noviembre,mijdar
577,Dezember::N,diciembre,kanûn
578,Montag::N,lunes,duşemb
579,Dienstag::N,martes,sêşem
580,Mittwoch::N,miércoles,çarşemb
581,Donnerstag::N,jueves,pêşemb
582,Freitag::N,viernes,în
583,Samstag::N,sábado,şemî
584,Sonntag::N,domingo,yekşemb
585,groß::A,grande,mezin
586,klein::A,pequeño,çûçik
587,lang::A,largo,dirêj
588,kurz::A,corto,kin
589,breit::A,ancho,fireh
590,schmal::A,estrecho,tenik
591,dicht::A,denso,gir
592,dick[Gegenstand]::A,grueso,şîşman
593,dünn::A,fino,zirav
594,dünn::A,delgado,zirav
595,fein::A,fino,tenik
596,fein::A,delicado,tenik
597,fest::A,firme,saxlem
598,fest::A,sólido,saxlem
599,flach::A,plano,pahn
600,glatt::A,liso,dûz
601,glatt::A,liso,şayîk
602,hart::A,duro,hişk
603,weich::A,muelle,nerm
604,rund::A,redondo,gilover
605,spitz::A,agudo,pîj
606,spitz::A,apuntado,pîj
607,scharf::A,agudo,tûj
608,scharf::A,afilado,tûj
609,stumpf::A,sin filo,ne tûj
610,schwer::A,pesado,giran
611,schön::A,bello,xweş
612,schön::A,bello,xweşik
613,schön::A,hermoso,xweş
614,schön::A,hermoso,xweşik
615,heiß::A,caluroso,kelandî
616,warm::A,cálido,germ
617,warm::A,caliente,germ
618,kalt::A,frío,sar
619,kühl::A,fresco,jemîrî
620,frisch::A,fresco,ter
621,feucht::A,húmedo,şil
622,nass::A,mojado,şilek
623,trocken::A,seco,zuwa
624,voll::A,lleno,tijî
625,leer::A,vacío,vala
626,offen::A,abierto,vekirî
627,geschlossen::A,cerrado,asê
628,sauber::A,limpio,pakij
629,schmutzig::A,sucio,lewitî
630,roh::A,crudo,xav
631,reif::A,maduro,gihaştî
632,lecker::A,rico,xweş
633,lecker::A,sabroso,xweş
634,süß::A,dulce,şîrîn
635,bitter::A,amargo,tahl
636,sauer::A,agrio,tirş
637,hell::A,claro,ronî
638,dunkel::A,oscuro,tarî
639,schwarz::A,negro,reş
640,weiß::A,blanco,sipî
641,rot::A,rojo,sor
642,gelb::A,amarillo,zer
643,blau::A,azul,şîn
644,grün::A,verde,şîn
645,grau::A,gris,gewr
646,bunt::A,multicolor,rengîn
647,billig::A,barato,erzan
648,teuer::A,caro,biha
649,wertvoll::A,valioso,hêja
650,wertvoll::A,valioso,giranbiha
651,wertvoll::A,precioso,hêja
652,wertvoll::A,precioso,giranbiha
653,blind::A,ciego,kor
654,taub::A,sordo,kerr
655,kräftig::A,fuerte,gir
656,kräftig::A,fuerte,xurt
657,stark::A,fuerte,xurt
658,stark::A,vigoroso,xurt
659,schwach::A,débil,kesad
660,fett::A,obeso,qelew
661,schlank::A,esbelto,zirav
662,hübsch::A,mono,xweşik
663,hübsch::A,guapo,xweşik
664,böse::A,malo,xerab
665,böse::A,malo,aciz
666,dumm::A,tonto,gêj
667,dumm::A,estúpido,gêj
668,faul::A,vago,têmbêl
669,faul::A,perezoso,têmbêl
670,fleißig::A,aplicado,jêhatî
671,fleißig::A,diligente,jêhatî
672,geizig::A,avaro,destgirtî
673,klug::A,sensato,baqil
674,klug::A,inteligente,baqil
675,geschickt::A,hábil,zîrek
676,geschickt::A,hábil,ziring
677,lieb::A,querido,delal
678,lustig::A,alegre,kêfxweş
679,sanft::A,suave,nazenîn
680,hungrig::A,hambriento,birçî
681,krank::A,enfermo,nexweş
682,nackt::A,desnudo,rût
683,nackt::A,desnudo,tazî
684,traurig::A,triste,xemgîn
685,lebendig::A,vivo,bisaxî
686,lebendig::A,viviente,bisaxî
687,gut::A,bueno,baş
688,schlecht::A,malo,xerab
689,richtig::A,justo,rast
690,richtig::A,justo,saxlem
691,richtig::A,correcto,rast
692,richtig::A,correcto,saxlem
693,schlimm::A,malo,nebaş
694,schlimm::A,grave,nebaş
695,wahr::A,verídico,rast
696,wahr::A,verdadero,rast
697,alt::A,viejo,pîr
698,alt::A,viejo,kevn
699,neu::A,nuevo,nû
700,ehemalig::A,antiguo,kevnar
701,ehemalig::A,antiguo,peşidar
702,alt[Lebewesen]::A,viejo,pîr
703,jung::A,joven,xort
704,arm::A,pobre,feqîr
705,arm::A,pobre,desteng
706,reich::A,rico,dewlemend
707,bekannt::A,conocido,naskirî
708,berühmt::A,famoso,navdar
709,berühmt::A,célebre,navdar
710,fremd::A,extraño,xerîb
711,verschieden::A,diverso,çîhê
712,verschieden::A,distinto,çîhê
713,verschieden::A,diferente,çîhê
714,nah::A,cercano,nêzîk
715,fern::A,lejano,dûr
716,linker::A,izquierdo,çepê
717,rechter::A,derecho,rastê
718,anderer::A,otro,yê din
719,erster::A,primero,yekemîn
720,zweiter::A,segundo,duda
721,dritter::A,tercero,sisêya
722,letzter::A,último,paşîn
723,allein::ADV,a solo,tenê
724,auf einmal::ADV,de una vez,jar kê
725,zusammen::ADV,juntos,tev
726,zusammen::ADV,juntos,bi hev re
727,lange::ADV,mucho tiempo,dirêj
728,plötzlich::ADV,de repente,ji nişkave
729,sofort::ADV,en seguida,yekser
730,später::ADV,más tarde,paşiyê
731,jetzt::ADV,ahora,nuha
732,heute::ADV,hoy,îro
733,morgen::ADV,mañana,sibeh
734,bald::ADV,pronto,nêzîk
735,bald::ADV,en breve,nêzîk
736,dann::ADV,luego,paşê
737,dann::ADV,entonces,paşê
738,gestern::ADV,ayer,do
739,einst::ADV,antaño,jar ke
740,damals::ADV,entonces,hîngî
741,danach::ADV,después,piştra
742,vorher::ADV,antes,pîşî
743,zuerst::ADV,primero,bere
744,einmal::ADV,una vez,çarik
745,manchmal::ADV,a veces,çarna
746,oft::ADV,a menudo,gelek çaran
747,oft::ADV,con frecuencia,gelek çaran
748,immer::ADV,siempre,daîm
749,niemals::ADV,jamás,tu çar
750,hier::ADV,aquí,li vir
751,hierhin::ADV,acá,vir
752,von hier::ADV,desde aquí,ji vir
753,dort::ADV,ahí,li wê derê
754,dort::ADV,allí,li wê derê
755,dorthin::ADV,allí,wêda
756,dorthin::ADV,hacia allí,wêda
757,geradeaus::ADV,todo derecho,rastê rast
758,vorwärts::ADV,adelante,ber bi pêş
759,rückwärts::ADV,hacia atrás,paşpê
760,zurück::ADV,atrás,paşdo
761,zurück::ADV,atrás,paşvê
762,unten::ADV,abajo,jêrî
763,hinab::ADV,hacia abajo,berjêr
764,oben::ADV,arriba,banî
765,hinauf::ADV,hacia arriba,banî
766,überall::ADV,por todas partes,li her derê
767,nicht::ADV,no,ne
768,nicht::ADV,no,nîn
769,nicht::ADV,no,tine
770,ein wenig::ADV,un poco,hebkî
771,kaum::ADV,apenas,tema
772,kaum::ADV,apenas,himangi
773,sehr::ADV,muy,gelek
774,sehr::ADV,mucho,gelek
775,so::ADV,tan,weha
776,noch::ADV,aún,hêj
777,noch::ADV,aún,dîsa
778,noch::ADV,todavía,hêj
779,noch::ADV,todavía,dîsa
780,nur::ADV,solamente,tenê
781,nur::ADV,solamente,bes
782,schon::ADV,ya,hew
783,wieder::ADV,de nuevo,jar din
784,wieder::ADV,de nuevo,dîsa
785,vergebens::ADV,en vano,deya çun
786,vergebens::ADV,en vano,îfleh bûn
787,vor::PRP,antes de,li ber
788,vor::PRP,delante de,li ber
789,hinter::PRP,tras,li pişt
790,hinter::PRP,detrás de,li pişt
791,unter::PRP,bajo,li bin
792,unter::PRP,debajo de,li bin
793,durch::PRP,por,kura
794,durch::PRP,a través de,kura
795,neben::PRP,al lado de,li ba
796,zwischen::PRP,entre,nabeyne
797,zwischen::PRP,entre,di nav...da
798,wegen::PRP,por,ji bo
799,wegen::PRP,por,ji ber
800,wegen::PRP,a causa de,ji bo
801,wegen::PRP,a causa de,ji ber
802,dies::PRN,esto,ev
803,das::PRN,eso,ev
804,das::PRN,esto,ev
805,alles::PRN,todo,hemû
806,ich::PRN,yo,ez
807,du::PRN,tú,tu
808,er::PRN,él,wî
809,wir::PRN,nosotros,êm
810,ihr::PRN,vosotros,hûn
811,sie::PRN,ellos,we
812,was::FPRN,qué,çi
813,wer::FPRN,quién,ki
814,wo::FADV,dónde,li ku dere
815,wohin::FADV,adónde,li ku dere
816,wohin::FADV,hacia dónde,li ku dere
817,wie::FADV,cómo,çawa
818,warum::FADV,por qué,çima
819,wieviel::FNUM,cuánto,çend
820,eins::NUM,uno,yek
821,zwei::NUM,dos,didu
822,drei::NUM,tres,sisê
823,vier::NUM,cuatro,çar
824,fünf::NUM,cinco,penç
825,sechs::NUM,seis,şeş
826,sieben::NUM,siete,heft
827,acht::NUM,ocho,heşt
828,neun::NUM,nueve,neh
829,zehn::NUM,diez,deh
830,elf::NUM,once,yazdeh
