,Concept_ID,ta,la
81,Regen::N,மழை,imber
82,Regen::N,மழை,pluvia
83,Schnee::N,உறைபனி,nix
84,Eis::N,பனிக்கட்டி,glacies
85,Frost::N,உறைபனி,gelu
86,Kälte::N,குளிர்ந்த,frigus
87,Hitze::N,சூடு,calor
88,Hitze::N,சூடு,aestus
89,Raureif::N,உறைபனி வெண்திரை,pruina
90,Regenbogen::N,வானவில்,arcus
91,Donner::N,இடி,tonitrus
92,Strömung::N,நீரோட்டம்,fluctus
93,Tropfen::N,துளி,gutta
94,Schaum::N,நுரை,spuma
95,Schmutz::N,அழுக்கு,sordes
96,Schmutz::N,அழுக்கு,squalor
97,See::N,ஏரி,lacus
98,Sumpf::N,சதுப்பு நிலம்,palus
99,Moor::N,முட்புதற்காடு,palus
100,Wiese::N,பசும் புல்தரை,pratum
101,Wald::N,காடு,silva
102,Hügel::N,குன்று,collis
103,Anhöhe::N,பதுக்கை,specula
104,Berg::N,மலை,mons
105,Gipfel::N,உச்சி மாநாடு,vertex
106,Höhle::N,குகை,caverna
107,Höhle::N,குகை,spelunca
108,Abhang::N,சரிவு,declivum
109,Quelle::N,மூலம்,fons
110,Bach::N,ஓடை,rivus
111,Fluss::N,ஆறு,flumen
112,Ufer::N,நீர்க்கரை,ripa
113,Küste::N,கடற்கரை,litus
114,Festland::N,நிலம்,continens
115,Meer::N,கடல்,mare
116,Bucht::N,சிறுகுடா,sinus
117,Insel::N,தீவு,insula
118,Blume::N,பூ,flos
119,Gras::N,புல்தரை,herba
120,Gras::N,புல்தரை,gramen
121,Wurzel::N,வேர்,radix
122,Baum::N,மரம்,arbor
123,Stamm::N,அடிமரம்,truncus
124,Rinde::N,பட்டை,cortex
125,Rinde::N,மரப்பட்டை,cortex
126,Ast::N,கினை,ramus
127,Zweig::N,குச்சி,ramus
128,Blatt::N,இலை,folium
129,Birke::N,பிர்ச் மரம்,betulla
130,Kiefer[Baum]::N,தேவதாரு மரம்,pinus
131,Weide[Baum]::N,மர வகைகளுள் ஒன்று,salix
132,Tanne::N,சாதிக்கய்,abies
133,Horn::N,கொம்பு,cornu
134,Feder::N,இறகு,penna
135,Fell::N,மென்முடி,pellis
136,Flügel::N,இறக்கை,ala
137,Klaue::N,நகம்,unguis
138,Kralle::N,நகம்,unguis
139,Schwanz::N,வால்,cauda
140,Ei::N,முட்டை,ovum
141,Nest::N,கூடு,nidus
142,Bau::N,குகை,cavum
143,Bau::N,குகை,latibulum
144,Tier::N,விலங்கு,bestia
145,Herde::N,கூட்டம்,grex
146,Kuh::N,பசு,vacca
147,Bulle::N,காளை,taurus
148,Pferd::N,குதிரை,equus
149,Schaf::N,செம்மறிஆடு,ovis
150,Schwein::N,பன்றி,sus
151,Schwein::N,பன்றி,porcus
152,Hund::N,நாய்,canis
153,Katze::N,பூனை,felis
154,Bär::N,கரடி,ursus
155,Eichhörnchen::N,அணில்,sciurus
156,Elch::N,கடம்பை,alces
157,Fuchs::N,நரி,vulpes
158,Hase::N,முயல்,lepus
159,Maus::N,எலி,mus
160,Wolf::N,ஓநாய்,lupus
161,Vogel::N,பறவை,avis
162,Schwarm::N,தொகுதி,examen
163,Huhn::N,கோழிக்குஞசு,gallina
164,Hahn::N,சேவல்,gallus
165,Gans::N,பெண் வாத்து,anser
166,Adler::N,பருநது,aquila
167,Ente::N,வாத்து,anas
168,Eule::N,ஆந்தை,ulula
169,Eule::N,ஆந்தை,noctua
170,Kranich::N,நாரை,grus
171,Krähe::N,காகம்,cornix
172,Kuckuck::N,குயில்,cuculus
173,Schwan::N,அன்னம்,olor
174,Schwan::N,அன்னம்,cycnus
175,Fisch::N,மீன்,piscis
176,Barsch::N,பேர்ச்,perca
177,Hecht::N,கோலாச்சி மீன்,esox
178,Schlange[Tier]::N,பாம்பு,serpens
179,Wurm::N,புழு,vermis
180,Spinne::N,சிலந்தி,aranea
181,Ameise::N,எறும்பு,formica
182,Laus::N,பேன்,pediculus
183,Mücke::N,கொசுவினப்பூச்சி,culex
184,Fliege::N,ஈ,musca
185,Schmetterling::N,வண்ணத்துப்பூச்சி,papilio
186,Beere::N,சதைப்பழம்,baca
187,Apfel::N,ஆப்பிள பழம்,malum
188,Pilz::N,காளான்,fungus
189,Zwiebel::N,வெங்காயம்,cepa
190,Saat::N,விதை,seges
191,Korn::N,தானியம்,granum
192,Heu::N,வைக்கோல்,faenum
193,Schale::N,தோல்,putamen
194,Grube::N,குழி,fovea
195,Falle::N,பொறி,pedica
196,Schlinge::N,கண்ணி,laqueus
197,Spur::N,சுவடு,vestigium
198,Asche::N,சாம்பல்,cinis
199,Dreck::N,அழுக்கு,lutum
200,Eisen::N,இரும்பு,ferrum
201,Gold::N,தங்கம்,aurum
202,Silber::N,வெள்ளி,argentum
203,Kohle::N,நிலக்கரி,carbo
204,Glas::N,கண்ணாடி,vitrum
205,Lehm::N,களிமண்,lutum
206,Sand::N,மணல்,arena
207,Mensch::N,மனிதர்கள்,homo
208,Mann::N,மனிதன்,vir
209,Frau::N,பெண்,mulier
210,Kind::N,குழந்தை,puer
211,Kind::N,குழந்தை,infans
212,Junge::N,பையன்,puer
213,Mädchen::N,சிறுமி,puella
214,Familie::N,குடும்பம்,familia
215,Großvater::N,தாத்தா,avus
216,Großmutter::N,பாட்டி,avia
217,Eltern::N,பெற்றோர்,parentes
218,Vater::N,தந்தை,pater
219,Mutter::N,தாய்,mater
220,Sohn::N,மகன்,filius
221,Tochter::N,மகள்,filia
222,Bruder::N,சகோதரன்,frater
223,Schwester::N,அக்கா,soror
224,Onkel::N,தாய் மாமன்,patruus
225,Onkel::N,தாய் மாமன்,avunculus
226,Tante::N,அத்தை,amita
227,Ehemann::N,கணவன்,maritus
228,Ehefrau::N,மனைவி,uxor
229,Freude::N,கொண்டாட்டம்,gaudium
230,Freude::N,கொண்டாட்டம்,laetitia
231,Gelächter::N,சிரிப்பு,risus
232,Glück::N,மகிழ்ச்சி,felicitas
233,Kummer::N,துயரம்,aegritudo
234,Wunsch::N,விருப்பம்,voluntas
235,Wunsch::N,விருப்பம்,desiderium
236,Lust::N,விருப்பம்,libido
237,Lust::N,விருப்பம்,voluptas
238,Geist::N,ஆன்மா,mens
239,Geist::N,ஆன்மா,animus
240,Gedanke::N,எண்ணம்,sententia
241,Gedächtnis::N,ஞாபகம்,memoria
242,Verstand::N,மனம்,ratio
243,Verstand::N,மனம்,ingenium
244,Sinn::N,அர்த்தம்,sensus
245,Grund::N,காரணம்,causa
246,Wahrheit::N,உண்நை,veritas
247,Gespräch::N,பெசு,sermo
248,Märchen::N,நம்பத்தகாத கதை,fabula
249,Erzählung::N,கதை,fabula
250,Erzählung::N,கதை,narratio
251,Nachricht::N,செய்தி,nuntius
252,Neuigkeit::N,செய்தி,novitas
253,Name::N,பெயர்,nomen
254,Rätsel::N,புதிர்,aenigma
255,Rede::N,பேச்சு,oratio
256,Sprache::N,மொழி,lingua
257,Stimme::N,குரல்,vox
258,Wort::N,வார்த்தை,verbum
259,Wort::N,வார்த்தை,vocabulum
260,Zeichen::N,குறி,signum
261,Ruf::N,அழைப்பு,clamor
262,Lärm::N,சத்தம்,strepitus
263,Laut::N,ஒலி,sonus
264,Ton::N,குரல்,sonus
265,Lied::N,பாட்டு,carmen
266,Ruhe::N,அமைதி,quies
267,Leute::N,மக்கள்,homines
268,Volk::N,மக்கள்,populus
269,Arbeit::N,வேலை,labor
270,Gast::N,விருந்தாளி,hospes
271,Gast::N,விருந்தாளி,conviva
272,Geschenk::N,பரிசுப் பொருள்,munus
273,Spiel::N,விளையாட்டு,ludus
274,Gesellschaft::N,சமுதாயம்,societas
275,Hilfe::N,உதவி,auxilium
276,Hilfe::N,உதவி,subsidium
277,Freund::N,நண்பன்,amicus
278,Kamerad::N,உடனிருப்பவன்,socius
279,Angelegenheit::N,செய்தி,res
280,Anzahl::N,எண்ணிக்கை,numerus
281,Art::N,வகை,genus
282,Stück::N,துண்டம்,frustum
283,Stück::N,துண்டம்,fragmentum
284,Teil::N,பகுதி,pars
285,Hälfte::N,பாதி,dimidium
286,Kreis::N,வட்டம்,orbis
287,Kreis::N,வட்டம்,circus
288,Kreuz::N,சிலுவை,crux
289,Linie::N,கோடு,linea
290,Strich::N,வாத நோய்,lineamentum
291,Abstand::N,இடைவெளி,intervallum
292,Entfernung::N,தூரம்,spatium
293,Gegend::N,வட்டாரம்,loca
294,Gegend::N,வட்டாரம்,regio
295,Platz::N,வெற்றிடம்,locus
296,Ort::N,இடம்,locus
297,Seite::N,பக்கம்,latus
298,Mitte::N,இடைப்பகுதி,medium
299,Gegenstand::N,உருப்படி,res
300,Sache::N,பொருள்,res
301,Rand::N,தொங்கு,margo
302,Kante::N,விளிம்பு,angulus
303,Ecke::N,மூலை,angulus
304,Spitze::N,முனை,cacumen
305,Ende::N,முடிவு,caput
306,Loch::N,துளை,foramen
307,Winkel::N,கோணம்,angulus
308,Muster::N,பாங்கு,exemplum
309,Größe::N,அளவு,magnitudo
310,Länge::N,நீளம்,longitudo
311,Höhe::N,உயரம்,altitudo
312,Gewicht::N,எடை,pondus
313,Menge::N,தொகை,copia
314,Haufen::N,குவியல்,acervus
315,Reihe::N,வரிசை,ordo
316,Boot::N,படகு,navicula
317,Ruder::N,துடுப்பு,remus
318,Schlitten::N,சகடையிலா வண்டி,sclodia
319,Ski::N,பனிச் சறுக்கல்,narta
320,Lagerfeuer::N,மூட்டம்,ignis
321,Last::N,பாரம்,onus
322,Gang::N,நடை,cursus
323,Schritt::N,காலடி,gradus
324,Norden::N,வடக்கு,septentriones
325,Süden::N,தெற்கு,meridies
326,Westen::N,மேற்கு திசை,occidens
327,Osten::N,கிழக்கு,oriens
328,Holz::N,மரக்கட்டை,lignum
329,Brett::N,பலகை,tabula
330,Platte::N,பலகம்,lamina
331,Stütze::N,அடைப்புகன்,adminiculum
332,Stange::N,கம்பம்,pertica
333,Stock::N,குச்சி,baculum
334,Stab::N,கம்பு,scipio
335,Rohr::N,குழாய்,tubus
336,Haus::N,வீடு,aedes
337,Heim::N,வீடு,domicilium
338,Ofen::N,அடுப்பு,fornax
339,Fußboden::N,தரை,solum
340,Tisch::N,மேசை,mensa
341,Stuhl::N,நாற்காலி,sella
342,Wiege::N,தொட்டில்,cunae
343,Bett::N,படுக்கை,lectus
344,Regal::N,அலமாரி,foruli
345,Kiste::N,பெட்டி,cista
346,Fenster::N,சாளரம்,fenestra
347,Tür::N,கதவு,ianua
348,Tor::N,வாசற்கதவு,porta
349,Zaun::N,வேலி,saepes
350,Dach::N,கூரை,tectum
351,Leiter::N,ஏணி,scalae
352,Besen::N,விளக்குமாறு,scopae
353,Spaten::N,மண்வெட்டி,pala
354,Schaufel::N,அடிதண்டா,pala
355,Gabel::N,முட்கரண்டி,fuscinula
356,Löffel::N,கரண்டி,coclear
357,Messer::N,கத்தி,culter
358,Nagel::N,ஆணி,clavus
359,Netz::N,வலை,rete
360,Haken::N,கொக்கி,hamus
361,Griff::N,கைப்பிடி,manubrium
362,Schloss::N,பூட்டு,claustra
363,Bild::N,படம்,tabula
364,Bild::N,படம்,pictura
365,Figur::N,எண்ணிக்கை,statunculum
366,Puppe::N,பொம்மை,pupa
367,Beutel::N,பை,sacculus
368,Bündel::N,பொதி,fascis
369,Tasche::N,பை,sacculus
370,Eimer::N,வாளி,situla
371,Deckel::N,உறை,operculum
372,Geschirr::N,பாத்திரம்,vasa
373,Sack::N,பை,saccus
374,Tasse::N,கிண்ணம்,pocillum
375,Topf::N,பானை,olla
376,Kessel::N,கெண்டி,aenum
377,Essen::N,உணவருந்துதல்,cena
378,Nahrung::N,உணவு,cibus
379,Nahrung::N,உணவு,alimenta
380,Speise::N,உணவு வகை,cibus
381,Fleisch::N,இறைச்சி,caro
382,Getreide::N,மக்காச்சோளம்,frumentum
383,Brei::N,கஞ்சி,puls
384,Brot::N,ரொட்டி,panis
385,Scheibe::N,துண்டு,frustum
386,Fett::N,கொழுப்பு,pingue
387,Butter::N,வெண்ணெய்,butȳrum
388,Öl::N,எண்ணெய்,oleum
389,Salz::N,உப்பு,sal
390,Suppe::N,ரசம்,ius
391,Honig::N,தேன்,mel
392,Milch::N,பால்,lac
393,Tee::N,தெனீர்,thea
394,Leder::N,பதம் செய்யப்பட்ட தோல்,corium
395,Wolle::N,கம்பளி,lana
396,Stoff::N,துணி,textum
397,Nadel::N,ஊசி,acus
398,Faden::N,நூல்,filum
399,Knopf::N,பொத்தான்,bulla
400,Knoten::N,முடிச்சு,nodus
401,Farbe::N,வண்ணக் குழம்பு,pigmentum
402,Kleidung::N,ஆடைகள்,vestimenta
403,Hemd::N,சட்டை,tunica
404,Kragen::N,கழுத்துப் பட்டை,collare
405,Ärmel::N,சட்டைக்கை,manica
406,Hose::N,கால்சட்டை,bracae
407,Gürtel::N,பெல்ட்,cingulum
408,Mütze::N,தொப்பி,pilleus
409,Schuh::N,காலணி,calceus
410,Stiefel::N,காலணி,pero
411,Stiefel::N,காலணி,caliga
412,Ring::N,மோதிரம்,anulus
413,Band::N,நாடா,redimiculum
414,Kamm::N,கீப்பு,pecten
415,Spiegel::N,ஆடி,speculum
416,Spiegel::N,கண்ணாடி,speculum
417,Riemen::N,வார்,lorum
418,Schnur::N,கயிறு,linum
419,Leine::N,தோல்வார்,retinaculum
420,Decke::N,போர்வை,lodix
421,Kissen::N,தலையணை,pulvinus
422,Tuch::N,துணி,velum
423,Handtuch::N,தண்டு,mantele
424,Kraft::N,நிர்பந்தம்,vis
425,Stärke::N,பலம்,robur
426,Gesundheit::N,ஆரோக்கியம்,valetudo
427,Krankheit::N,நோய்,morbus
428,Schmerz::N,வலி,dolor
429,Wunde::N,காயம்,vulnus
430,Fieber::N,காய்ச்சல்,febris
431,Arznei::N,மருந்து,remedium
432,Brücke::N,பாலம்,pons
433,Brunnen::N,கேணி,puteus
434,Weide::N,மேய்ச்சல் நிலம்,pascua
435,Pfad::N,நடை வழி,semita
436,Weg::N,வழி,iter
437,Straße::N,சாலை,via
438,Dorf::N,கிராமம்,vicus
439,Stadt::N,நகரம்,urbs
440,Stadt::N,நகரம்,oppidum
441,Brief::N,கடிதம்,epistula
442,Buch::N,புத்தகம்,liber
443,Buchstabe::N,எழத்து,littera
444,Zeitung::N,செய்தித்தாள்,diurnum
445,Leben::N,வாழ்க்கை,vita
446,Tod::N,மரணம்,mors
447,Grab::N,சமாதி,sepulcrum
448,Kirche::N,தேவாலயம்,ecclesia
449,Sünde::N,பாவம்,peccatum
450,Gott::N,கடவுள்,deus
451,Arbeiter::N,தொழிலாளி,operarius
452,Chef::N,மேலாளர்,praefectus
453,Meister::N,தலைவன்,magister
454,Arzt::N,மருத்துவர்,medicus
455,Lehrer::N,ஆசிரியர்,magister
456,Geld::N,பணம்,aes
457,Geld::N,பணம்,pecunia
458,Geschäft::N,வாணிபம்,negotium
459,Laden::N,கடை,taberna
460,Preis::N,விலை,pretium
461,Ware::N,சாமன்கள்,merx
462,Nutzen::N,இலாபம்,utilitas
463,Reichtum::N,சொத்து,opes
464,Reichtum::N,சொத்து,divitiae
465,Welt::N,உலகம்,mundus
466,Land::N,நாடு,terra
467,Staat::N,நாடு,res publica
468,König::N,அரசன்,rex
469,Macht::N,அதிகாரம்,potestas
470,Grenze::N,எல்லை,limes
471,Krieg::N,போர்,bellum
472,Feind::N,எதிரி,inimicus
473,Gewalt::N,வன்முறை,vis
474,Kampf::N,போராட்டம்,pugna
475,Bogen[Waffe]::N,வில்,arcus
476,Pfeil::N,அம்பு,sagitta
477,Gewehr::N,துப்பாக்கி,sclopetum
478,Fehler::N,தவறு,error
479,Lüge::N,பொய்,mendacium
480,Schaden::N,சேதாரம்,damnum
481,Schaden::N,சேதாரம்,detrimentum
482,Unglück::N,இடையூறு,miseria
483,Unglück::N,இடையூறு,calamitas
484,Schuld::N,குற்றம்,culpa
485,Alter::N,வயது,aetas
486,Schluss::N,முடிவு,finis
487,Zeit::N,காலம்,tempus
488,Tag::N,நாள்,dies
489,Morgen::N,காலை நேரம்,mane
490,Mittag::N,மதியம்,meridies
491,Abend::N,மாலைப் பொழுது,vesper
492,Nacht::N,இரவு,nox
493,Woche::N,வாரம்,septimana
494,Monat::N,மாதம்,mensis
495,Jahr::N,வருடம்,annus
496,Frühling::N,வசந்தம்,ver
497,Sommer::N,கோடை,aestas
498,Herbst::N,இலையுதிர் காலம்,autumnus
499,Winter::N,குளிர்காலம்,hiems
500,Januar::N,ஜனவரி,Ianuarius
501,Februar::N,பிபரவரி மாதம்,Februarius
502,März::N,மார்ச் மாதம்,Martius
503,April::N,ஏப்ரல் மாதம்,Aprilis
504,Mai::N,மே மாதம்,Maius
505,Juni::N,ஜூன் மாதம்,Iunius
506,Juli::N,ஜூலை மாதம்,Iulius
507,August::N,ஆகஸ்ட் மாதம்,Augustus
508,September::N,செப்டம்பர் மாதம்,September
509,Oktober::N,அக்டோபர் மாதம்,Octobris
510,November::N,நவம்பர் மாதம்,Novembris
511,Dezember::N,டிசம்பர்,December
512,Montag::N,திங்கட் கிழமை,dies lunae
513,Dienstag::N,செவ்வாய்க்கிழமை,dies Martis 
514,Mittwoch::N,புதன் கிழமை,dies Mercurii
515,Donnerstag::N,வியாழக் கிழமை,dies Iovis
516,Freitag::N,வெள்ளிக்கிழமை,dies Veneris
517,Samstag::N,சனிக்கிழமை,dies Saturni
518,Sonntag::N,ஞாயிறுக் கிழமை,dominicus
519,Sonntag::N,ஞாயிறுக் கிழமை,dies solis
520,groß::A,பெரிய,magnus
521,klein::A,சிறிய,parvus
522,lang::A,நீண்ட,longus
523,kurz::A,குட்டையான,brevis
524,breit::A,அகலமான,latus
525,schmal::A,குறுகலான,angustus
526,dicht::A,அடர்த்தியான,densus
527,dick[Gegenstand]::A,தடித்த,crassus
528,dünn::A,சன்னமான,tenuis
529,fein::A,மெல்லிய,subtilis
530,fest::A,உறுதியாள,solidus
531,fest::A,உறுதியாள,stabilis
532,flach::A,தட்டையான,planus
533,glatt::A,வழுவழுப்பான,levis
534,hart::A,கடினமான,durus
535,weich::A,மென்மையான,mollis
536,rund::A,உருண்டையான,rotundus
537,spitz::A,திகந்தமாக,acutus
538,scharf::A,கூரான,acer
539,stumpf::A,உளம் திறந்த,hebes
540,schwer::A,கனமான,gravis
541,schön::A,அழகான,pulcher
542,schön::A,அழகான,formosus
543,heiß::A,சூடான,fervidus
544,warm::A,இதமான,calidus
545,kalt::A,குளிர்ச்சியான,frigidus
546,kühl::A,குளிர்ச்சியான,frigidus
547,frisch::A,சுத்தமான,recens
548,feucht::A,ஈரமான,umidus
549,nass::A,ஈரமான,madidus
550,trocken::A,உலர்ந்த,aridus
551,voll::A,நிரம்பிய,plenus
552,leer::A,காலியான,vacuus
553,offen::A,திறந்த,apertus
554,geschlossen::A,மூடப்பட்ட,clausus
555,sauber::A,சுத்தமான,lautus
556,schmutzig::A,அழக்கான,sordidus
557,roh::A,கச்சா,crudus
558,reif::A,பழுத்த,maturus
559,lecker::A,சுவைமிக்க,delicatus
560,süß::A,இனிப்பான,dulcis
561,bitter::A,கசப்பான,amarus
562,bitter::A,கசப்பான,acerbus
563,sauer::A,புளிப்பாக,acidus
564,hell::A,பளபளப்பான,clarus
565,dunkel::A,கருமையான,obscurus
566,schwarz::A,கருப்பு வண்ண,niger
567,weiß::A,வெண்மையன,albus
568,rot::A,சிவப்பு,ruber
569,gelb::A,மஞ்சள் வண்ணம்,flavus
570,blau::A,நீல வண்ண,caeruleus
571,grün::A,பச்சை வண்ண,viridis
572,grau::A,சாம்பல் நிற,canus
573,bunt::A,வண்ண மயமான,varius
574,billig::A,மலிவான,vilis
575,teuer::A,விலை அதிகமான,carus
576,wertvoll::A,மதிப்புள்ள,pretiosus
577,blind::A,பார்வையற்ற,caecus
578,taub::A,செவிடான,surdus
579,kräftig::A,வலிமையான,robustus
580,stark::A,பலமான,firmus
581,stark::A,பலமான,validus
582,schwach::A,பலவீனமான,debilis
583,schwach::A,பலவீனமான,infirmus
584,fett::A,பருமனாக,crassus
585,schlank::A,ஒல்லியான,procerus
586,hübsch::A,அழகிய,pulcher
587,böse::A,கேடு விளைவிக்கும்,improbus
588,dumm::A,முட்டாள்தனமான,stultus
589,dumm::A,முட்டாள்தனமான,stupidus
590,faul::A,சோம்பலான,piger
591,fleißig::A,ஊக்கந்தளராத,sedulus
592,geizig::A,கஞேசத்தனமான,avarus
593,klug::A,சாதுரியமான,prudens
594,geschickt::A,திறமையள்ள,sollers
595,lieb::A,அன்புக்குரிய,carus
596,lustig::A,களிப்புமிக்க,iocosus
597,sanft::A,சாதுவான,clemens
598,hungrig::A,பசியுடன்,impastus
599,krank::A,நோயுற்று,aeger
600,nackt::A,ஆடையற்ற,nudus
601,traurig::A,சோகமான,maestus
602,lebendig::A,பிழைப்பு,vivus
603,gut::A,நல்ல,bonus
604,schlecht::A,கெட்ட,malus
605,richtig::A,சரியான,rectus
606,schlimm::A,அருவருப்பான,malus
607,wahr::A,உண்மையான,verus
608,alt::A,பழைய,antiquus
609,neu::A,புதிய,novus
610,ehemalig::A,முன்நாள்,pristinus
611,alt[Lebewesen]::A,வயதான,vetus
612,jung::A,இளமையான,iuvenis
613,arm::A,ஏழ்மையான,pauper
614,reich::A,செல்வம் படைத்த,dives
615,bekannt::A,பழக்கப்பட்ட,notus
616,berühmt::A,புகழ்பெற்ற,celeber
617,berühmt::A,புகழ்பெற்ற,illustris
618,fremd::A,அயல் நாட்டு,peregrinus
619,verschieden::A,வித்தியாசமான,varius
620,nah::A,பக்கத்தில் உள்ள,propinquus
621,fern::A,தொலை தூரத்தில்,longinquus
622,linker::A,மீந்திருக்கும்,sinister
623,rechter::A,வலதுபக்கம்,dexter
624,anderer::A,மற்ற,alius
625,erster::A,முதனமையான,primus
626,zweiter::A,இரண்டாவது,secundus
627,dritter::A,மூன்றாவது,tertius
628,letzter::A,கடைசி,ultimus
629,allein::ADV,தனியாக,solum
630,auf einmal::ADV,தடீரென்று,simul
631,zusammen::ADV,சேர்ந்து,una
632,lange::ADV,அதிக நோம்,diu
633,plötzlich::ADV,தடீரென்று,subito
634,plötzlich::ADV,தடீரென்று,repente
635,sofort::ADV,உடனடியாக,statim
636,später::ADV,பிறகு,postea
637,jetzt::ADV,இப்பொழது,nunc
638,heute::ADV,இன்று,hodie
639,morgen::ADV,நாளைக்கு,cras
640,bald::ADV,சீக்கிரம்,mox
641,dann::ADV,அப்பொழுது,deinde
642,gestern::ADV,நேற்று,heri
643,einst::ADV,ஒரே முறை,olim
644,damals::ADV,அப்பொழுது,tum
645,danach::ADV,பிற்பாடு,postea
646,vorher::ADV,முன்பாக,antea
647,zuerst::ADV,முதலில்,primo
648,einmal::ADV,ஒரே முறை,semel
649,manchmal::ADV,சில நேரங்களில்,interdum
650,oft::ADV,அடிக்கடி,saepe
651,immer::ADV,எப்பொழுதும்,semper
652,niemals::ADV,ஒருபோதும் இல்லை,numquam
653,hier::ADV,இங்கே,hic
654,hierhin::ADV,இவ்விடத்திற்கு,huc
655,von hier::ADV,இனி,hinc
656,dort::ADV,அங்கே,ibi
657,dorthin::ADV,அவ்விடத்திற்கு,eo
658,geradeaus::ADV,முன்னாலிருக்கும்,recte
659,vorwärts::ADV,முன்புறமாக,porro
660,rückwärts::ADV,பின்னோக்கி,retro
661,zurück::ADV,பின்பக்கம்,retro
662,unten::ADV,கீழாக,infra
663,hinab::ADV,கீழ் நோக்கி,pessum
664,oben::ADV,மேலே,supra
665,hinauf::ADV,மேலே,sursum
666,überall::ADV,எல்லா இடத்திலும்,ubique
667,nicht::ADV,இல்லை,non
668,ein wenig::ADV,கொஞ்சம்,paulum
669,kaum::ADV,அரிதாக,vix
670,kaum::ADV,அரிதாக,aegre
671,sehr::ADV,மிக்க,valde
672,sehr::ADV,மிக்க,magnopere
673,so::ADV,மிகவும்,ita
674,noch::ADV,இப்பொழுதும்,etiam
675,nur::ADV,மட்டும்,solum
676,nur::ADV,மட்டும்,tantum
677,schon::ADV,ஏற்கனவே,iam
678,wieder::ADV,மறுபடியும்,rursus
679,vergebens::ADV,வீண்,frustra
680,vor::PRP,முன்,ante
681,hinter::PRP,பின்பக்கம்,post
682,unter::PRP,கீழே,sub
683,durch::PRP,ஊடே,per
684,neben::PRP,அடுத்து,iuxta
685,zwischen::PRP,இடையில்,inter
686,wegen::PRP,ஏனெனில்,propter
687,dies::PRN,இது,hoc
688,das::PRN,அது,id
689,alles::PRN,ஒவ்வொன்றும்,omnia
690,ich::PRN,நான்,ego
691,du::PRN,நீ,tu
692,er::PRN,அவன்,is
693,er::PRN,அவன்,ille
694,wir::PRN,நாம்,nos
695,wir::PRN,நாங்கள்,nos
