,Concept_ID,xal,cv
110,Höhle::N,хадин көндә,ҫӗр хӑвӑлӗ
111,Abhang::N,ташу,тӑвайкки
112,Quelle::N,булг,ҫӑл куҫ
113,Bach::N,һооҗур,пӗчӗк шыв
114,Fluss::N,һол,юхан шыв
115,Ufer::N,көвә,ҫыран
116,Küste::N,көвә,тинӗс ҫыранӗ
117,Küste::N,теңгсин көвә,тинӗс ҫыранӗ
118,Festland::N,хүүрә һазр,тип ҫӗр
119,Meer::N,теңгс,тинӗс
120,Bucht::N,цекә,тинӗс кукӑрӗ
121,Bucht::N,теңгсин цекә,тинӗс кукӑрӗ
122,Insel::N,арл,утрав
123,Blume::N,цецг,чечек
124,Gras::N,ноһан,курӑк
125,Wurzel::N,уңг,тымар
126,Baum::N,модн,йывӑҫ
127,Stamm::N,шилв,вулӑ
128,Stamm::N,һол модн,вулӑ
129,Rinde::N,көрсн,хуйӑр
130,Ast::N,ац,турат
131,Zweig::N,ац,турат
132,Blatt::N,хамтхасн,ҫулҫӑ
133,Birke::N,хусм модн,хурӑн
134,Kiefer[Baum]::N,шар харһа,хыр
135,Weide[Baum]::N,удн,хӑва
136,Tanne::N,җөөлн цаһан модн,чӑрӑш
137,Horn::N,өвр,мӑйрака
138,Feder::N,өрвлг,тӗк
139,Fell::N,арсн,ҫӑм
140,Flügel::N,җивр,ҫунат
141,Klaue::N,хумсн,чӗрне
142,Kralle::N,тавг,ура
143,Schwanz::N,сүл,хӳре
144,Ei::N,өндгн,ҫӑмарта
145,Nest::N,үр,йӑва
146,Bau::N,нүкн,йӗнӗ
147,Tier::N,мал,выльӑх
148,Herde::N,сүрг мал,кӗтӳ
149,Kuh::N,үкр,ӗне
150,Bulle::N,бух,вӑкӑр
151,Pferd::N,мөрн,лаша
152,Schaf::N,хөн,сурӑх
153,Schwein::N,һаха,сысна
154,Hund::N,ноха,йытӑ
155,Katze::N,мис,кушак
156,Bär::N,аю,упа
157,Eichhörnchen::N,кермн,пакша
158,Elch::N,хандһа,пӑши
159,Fuchs::N,арат,тилӗ
160,Hase::N,туула,куян
161,Hase::N,туула,мулкач
162,Maus::N,хулһн,шӑши
163,Wolf::N,чон,кашкӑр
164,Vogel::N,шовун,кайӑк
165,Vogel::N,шовун,вӗҫен кайӑк
166,Schwarm::N,зел,ушкӑн
167,Huhn::N,така,чӑх
168,Huhn::N,така,чӑхӑ
169,Hahn::N,эр така,автан
170,Gans::N,һалун,хур
171,Adler::N,һәрд,ӑмӑрт кайӑк
172,Ente::N,нуһсн,кӑвакал
173,Eule::N,һурвлһ,тӑмана
174,Kranich::N,тоһрун,тӑрна
175,Krähe::N,шаазһа,ула курак
176,Kuckuck::N,эргин хуцдг,куккук
177,Schwan::N,хун,акӑш
178,Fisch::N,заһсн,пулӑ
179,Barsch::N,шүрг,уланкӑ
180,Hecht::N,цурх,ҫӑрттан
181,Schlange[Tier]::N,моһа,ҫӗлен
182,Wurm::N,өтн,ӑман
183,Spinne::N,аралҗн,эрешмен
184,Ameise::N,шорһлҗн,кӑткӑ
185,Laus::N,бөөсн,пыйтӑ
186,Mücke::N,бөкүн,вӑрӑм туна
187,Fliege::N,батхн,шӑна
188,Schmetterling::N,эрвәкә,лӗпӗш
189,Beere::N,бөөлҗрһн,ҫырла
190,Apfel::N,альмн,улма
191,Apfel::N,альмн,пан улми
192,Pilz::N,теңгрин ки,кӑмпа
193,Zwiebel::N,мәңгрснә толһа,сухан
194,Saat::N,буудян экн,вӑрӑ
195,Korn::N,экн,тӗшӗ
196,Korn::N,экн,пӗрчӗ
197,Heu::N,өвсн,утӑ
198,Schale::N,хальсн,хупӑ
199,Grube::N,нүкн,шӑтӑк
200,Falle::N,урх,тапӑ
201,Falle::N,урх,капкӑн
202,Falle::N,хавх,тапӑ
203,Falle::N,хавх,капкӑн
204,Schlinge::N,бүтү,йӑлӑ
205,Spur::N,мөр,йӗр
206,Asche::N,үмсн,кӗл
207,Dreck::N,бальчг,пылчӑк
208,Eisen::N,төмр,тимӗр
209,Gold::N,алтн,ылтӑн
210,Silber::N,мөңгн,кӗмӗл
211,Silber::N,цаһан мөңгн,кӗмӗл
212,Kohle::N,нүүрсн,кӑмрӑк
213,Glas::N,шил,кӗленче
214,Lehm::N,шавр,тӑм
215,Sand::N,элсн,хӑйӑр
216,Mensch::N,күн,ҫын
217,Mensch::N,күн,этем
218,Mensch::N,күмн,ҫын
219,Mensch::N,күмн,этем
220,Mann::N,эр,ар
221,Frau::N,күүкд күн,хӗрарӑм
222,Kind::N,үрн,ача
223,Junge::N,көвүн,ача
224,Junge::N,көвүн,ар ҫын ача
225,Mädchen::N,бичкн күүкн,хӗр ача
226,Familie::N,бүл,ҫемье
227,Familie::N,бүл,кил-йыш
228,Großvater::N,өвк эцк,кукаҫи
229,Großvater::N,наһц эцк,кукаҫи
230,Großmutter::N,эмг эк,кукамай
231,Großmutter::N,наһц эк,кукамай
232,Eltern::N,эк эцк хойр,аҫа-ама
233,Vater::N,эцк,атте
234,Mutter::N,эк,анне
235,Sohn::N,көвүн,ывӑл
236,Tochter::N,күүкн,хӗр
237,Bruder::N,дү көвүн,ар тӑван
238,Schwester::N,эгч,аппа
239,Schwester::N,эгч,йӑмӑк
240,Schwester::N,дү күүкн,аппа
241,Schwester::N,дү күүкн,йӑмӑк
242,Onkel::N,авһ,мучи
243,Onkel::N,авһ,пичче
244,Onkel::N,наһцх,мучи
245,Onkel::N,наһцх,пичче
246,Tante::N,наһц эгч,аппа
247,Ehemann::N,залу,упӑшка
248,Ehefrau::N,гергн,арӑм
249,Freude::N,байр,савӑнӑҫ
250,Freude::N,байр,хаваслӑх
251,Gelächter::N,инәдн,кулӑ
252,Glück::N,җирһл,телей
253,Glück::N,җирһл,ӑраскал
254,Glück::N,сәәхн җирһл,телей
255,Glück::N,сәәхн җирһл,ӑраскал
256,Kummer::N,зовлң,хурлӑх
257,Wunsch::N,дурн,ӗмӗт
258,Wunsch::N,дурн,кӑмӑл
259,Lust::N,җилвтлһн,кӑмӑл
260,Geist::N,зөрг,чун-чӗм
261,Geist::N,зөрг,ыр-усал
262,Geist::N,зөрг,чун хавалӗ
263,Gedanke::N,ухан,шухӑш
264,Gedächtnis::N,чееҗин тодлвр,ас
265,Verstand::N,ухан,ӑс
266,Verstand::N,ухан,ӑс-тӑн
267,Verstand::N,ухан,ӑс-хакӑл
268,Sinn::N,учр-утх,тупсӑм
269,Sinn::N,учр-утх,пӗлтерӗш
270,Grund::N,учр,сӑлтав
271,Grund::N,шалтан,сӑлтав
272,Wahrheit::N,үнн,чӑнлӑх
273,Gespräch::N,күүндвүр,калаҫу
274,Märchen::N,тууль,юмах
275,Erzählung::N,келвр,акалав
276,Erzählung::N,келвр,каласа пани
277,Nachricht::N,медүллһн,хыпар
278,Neuigkeit::N,зәңг,ҫӗнӗ хыпар
279,Name::N,нерн,ят
280,Rätsel::N,тәәлвртә тууль,сутмалли юмах
281,Rede::N,келлһн,сӑмах
282,Sprache::N,келн,чӗлхе
283,Stimme::N,дун,сасӑ
284,Wort::N,үг,сӑмах
285,Zeichen::N,темдг,паллӑ
286,Ruf::N,дуудлһн,йыхрав
287,Ruf::N,дуудлһн,чӗнӳ
288,Lärm::N,шууган,шав
289,Laut::N,ә,сасӑ
290,Ton::N,дун,сасӑ
291,Lied::N,дун,юрӑ
292,Ruhe::N,амулң,канӑҫлӑх
293,Ruhe::N,амулң,лӑпкӑлӑх
294,Leute::N,әмтн,ҫамрӑксем
295,Leute::N,әмтн,ҫамрӑк ҫынсем
296,Volk::N,улс,халӑх
297,Arbeit::N,көдлмш,ӗҫхӗл
298,Arbeit::N,көдлмш,ӗҫлев
299,Gast::N,гиич,хӑна
300,Geschenk::N,белг,парне
301,Geschenk::N,белг,кучченеҫ
302,Spiel::N,наадн,вӑйӑ
303,Gesellschaft::N,олн,общество
304,Hilfe::N,нөкд,пулӑшу
305,Freund::N,иньг,тус
306,Kamerad::N,үр,юлташ
307,Kamerad::N,үр,тус
308,Angelegenheit::N,керг,ӗҫ
309,Anzahl::N,то,йыш
310,Anzahl::N,то,хисеп
311,Art::N,зүүл,тӗс
312,Stück::N,хусг,татӑк
313,Teil::N,хүв,пай
314,Hälfte::N,өрәл,ҫурӑ
315,Kreis::N,төгрг,ункӑ
316,Kreis::N,төгрг,ҫавракӑш
317,Kreuz::N,кирс,хӗрес
318,Linie::N,зурасн,йӗр
319,Strich::N,татасн,йӗр
320,Abstand::N,зә,хушӑ
321,Entfernung::N,һазр,хушӑ
322,Gegend::N,һазр,вырӑн
323,Platz::N,зә,хутлӑх
324,Ort::N,бәәрн,вырӑн
325,Seite::N,тал,ен
326,Seite::N,тал,аяк
327,Seite::N,тал,айӑк
328,Seite::N,хаҗу,ен
329,Seite::N,хаҗу,аяк
330,Seite::N,хаҗу,айӑк
331,Seite::N,хәврһ,ен
332,Seite::N,хәврһ,аяк
333,Seite::N,хәврһ,айӑк
334,Mitte::N,дунд,варӑ
335,Gegenstand::N,юмн,япала
336,Sache::N,юмн,япала
337,Rand::N,зах,вӗҫ
338,Rand::N,зах,хӗрӗ
339,Rand::N,зах,хӗрри
340,Kante::N,ирмәг,хайкача
341,Kante::N,ирмәг,хысак
342,Ecke::N,өнцг,кӗтес
343,Spitze::N,үзүр,вӗҫ
344,Ende::N,үзүр,вӗҫ
345,Loch::N,хаһрха,шӑтӑк
346,Winkel::N,булң,кӗтес
347,Muster::N,намч,эреш
348,Größe::N,кемҗән,пысӑкӑш
349,Länge::N,ут,вӑрӑмӑш
350,Höhe::N,өндр,ҫӳллӗш
351,Gewicht::N,күнд,виҫе
352,Gewicht::N,күнд,йывӑрӑш
353,Gewicht::N,чиңнүр,виҫе
354,Gewicht::N,чиңнүр,йывӑрӑш
355,Menge::N,ик,йыш
356,Haufen::N,ова,купа
357,Reihe::N,зерг,рет
358,Reihe::N,зерглән,рет
359,Boot::N,оңһц,кимӗ
360,Ruder::N,хәәв,кӗсмен
361,Schlitten::N,цан,ҫуна
362,Ski::N,лыҗ,йӗлтӗр
363,Lagerfeuer::N,костёр,вут
364,Lagerfeuer::N,костёр,кӑвайт
365,Last::N,күнд,сулмаклӑх
366,Last::N,күнд,йывӑр япала
367,Gang::N,йовлһн,куҫӑм
368,Schritt::N,ишкм,утӑм
369,Schritt::N,ишкм,пусӑм
370,Norden::N,ар үзг,ҫурҫӗр
371,Süden::N,өмн,кӑнтӑр
372,Süden::N,өмн үзг,кӑнтӑр
373,Westen::N,барун,анӑҫ
374,Westen::N,барун,хӗвел анӑҫ
375,Westen::N,барун үзг,анӑҫ
376,Westen::N,барун үзг,хӗвел анӑҫ
377,Osten::N,зүн,хӗвел тухӑҫ
378,Osten::N,зүн үзг,хӗвел тухӑҫ
379,Holz::N,модн,йывӑҫ
380,Brett::N,харһа,хӑма
381,Platte::N,хавтха чолун,плита
382,Stütze::N,тулг,ура
383,Stange::N,уньн,шерте
384,Stock::N,модн,патак
385,Stab::N,шуург,шӑчӑ
386,Rohr::N,турва,пӑрӑх
387,Haus::N,гер,ҫурт
388,Heim::N,гер-бул,кил
389,Ofen::N,беш,кӑмака
390,Fußboden::N,девскр,урай
391,Tisch::N,ширә,сӗтел
392,Stuhl::N,стул,пукан
393,Wiege::N,өлгә,сӑпка
394,Wiege::N,дүүҗң,сӑпка
395,Bett::N,орн,кравать
396,Bett::N,орндг,кравать
397,Regal::N,таг,ҫӳлӗк
398,Regal::N,таг,сентре
399,Regal::N,тәвц,ҫӳлӗк
400,Regal::N,тәвц,сентре
401,Kiste::N,яршг,ещӗк
402,Kiste::N,яршг,сунтӑх
403,Fenster::N,терз,чӳрече
404,Tür::N,үүдн,алӑк
405,Tor::N,үүдн,хапха
406,Tor::N,өргн үүдн,хапха
407,Tor::N,хашан үүдн,хапха
408,Zaun::N,хаша,хӳме
409,Dach::N,деевр,тӑрӑ
410,Leiter::N,шат,пусма
411,Leiter::N,давшур,пусма
412,Besen::N,сәвүр,шӑпӑр
413,Spaten::N,күрз,кӗреҫе
414,Schaufel::N,совг,кӗреҫе
415,Gabel::N,серә,вилка
416,Löffel::N,ухр,кашӑк
417,Messer::N,утх,ҫӗҫӗ
418,Nagel::N,хадасн,пӑта
419,Netz::N,гөлм,тетел
420,Haken::N,дегә,йӑрхах
421,Haken::N,дегә,ҫекӗл
422,Griff::N,иш,хӑлӑп
423,Griff::N,бәрүл,хӑлӑп
424,Schloss::N,оньс,ҫӑра
425,Bild::N,зург,сӑн
426,Bild::N,зург,сӑнлӑх
427,Bild::N,зург,картина
428,Figur::N,фигур,кӗлетке
429,Puppe::N,наадһа,пукане
430,Beutel::N,мишг,михӗ
431,Bündel::N,багла,ҫыхӑ
432,Bündel::N,багла,тӗрке
433,Bündel::N,боодһа,ҫыхӑ
434,Bündel::N,боодһа,тӗрке
435,Tasche::N,сумк,сумка
436,Eimer::N,суулһ,витре
437,Deckel::N,бүркәсн,хупӑ
438,Geschirr::N,сав,савӑт-сапа
439,Geschirr::N,сав-сарх,савӑт-сапа
440,Sack::N,мишг,михӗ
441,Tasse::N,ааһ,курка
442,Topf::N,кастрюль,кастрюль
443,Kessel::N,хәәсн,хуран
444,Essen::N,зоогллһн,апат
445,Nahrung::N,теҗәл,апат-ҫимӗс
446,Speise::N,хот,апат
447,Speise::N,хот,ҫимӗҫ
448,Fleisch::N,махн,аш
449,Fleisch::N,махн,какай
450,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,тырӑ
451,Brei::N,хаш,пӑтӑ
452,Brot::N,өдмг,ҫӑкӑр
453,Scheibe::N,зүсм,чӗлӗ
454,Scheibe::N,зүсм,касӑк
455,Fett::N,өөкн,ҫу
456,Butter::N,тосн,ҫу
457,Öl::N,тосн,ҫу
458,Salz::N,давсн,тӑвар
459,Suppe::N,шөлн,яшка
460,Honig::N,бал,пыл
461,Milch::N,үсн,сӗт
462,Tee::N,цә,чей
463,Leder::N,арсн,сӑран
464,Wolle::N,утцн,ҫӑм
465,Wolle::N,эд,ҫӑм
466,Stoff::N,эд,тӗртӗм
467,Nadel::N,зүн,йӗп
468,Faden::N,утцн,ҫип
469,Knopf::N,товч,тӳме
470,Knoten::N,зәңгдә,йӑлӑ
471,Farbe::N,будг,сӑрӑ
472,Kleidung::N,хувцн,тум
473,Kleidung::N,хувцн,ҫипуҫ
474,Kleidung::N,хувцн,тум-тир
475,Kleidung::N,хувц-хунр,тум
476,Kleidung::N,хувц-хунр,ҫипуҫ
477,Kleidung::N,хувц-хунр,тум-тир
478,Hemd::N,киилг,кӗпе
479,Kragen::N,зах,ҫуха
480,Ärmel::N,ханцн,ҫанӑ
481,Hose::N,шалвур,шӑлавар
482,Gürtel::N,бүс,пиҫиххи
483,Mütze::N,махла,ҫӗлӗк
484,Schuh::N,башмгуд,пушмак
485,Schuh::N,башмгуд,ботинок
486,Stiefel::N,һосн,атӑ
487,Ring::N,билцг,ҫӗрӗ
488,Band::N,лент,хаю
489,Band::N,лент,йӗсме
490,Kamm::N,сам,тура
491,Spiegel::N,толь,тӗкӗр
492,Spiegel::N,толь,куҫ кӗски
493,Riemen::N,бүс,чӗн
494,Schnur::N,деесн,кантра
495,Leine::N,бурнтг,касмӑк
496,Leine::N,нохан көтлвр,касмӑк
497,Decke::N,көнҗл,утиял
498,Kissen::N,дер,ҫытар
499,Kissen::N,дер,минтер
500,Tuch::N,альчур,тутӑр
501,Handtuch::N,полотенц,ал шӑлли
502,Handtuch::N,һар-нүүрин альчур,ал шӑлли
503,Kraft::N,күчн,вӑй
504,Kraft::N,күчн,хӑват
505,Stärke::N,чидл,хал
506,Stärke::N,чидл,хӑват
507,Gesundheit::N,эрүл-менд,хал
508,Gesundheit::N,эрүл-менд,сывлӑх
509,Krankheit::N,өвчн,чир
510,Schmerz::N,өвдлһн,ырату
511,Wunde::N,шав,суран
512,Fieber::N,безг,сив чир
513,Arznei::N,эм,эмел
514,Brücke::N,тагт,кӗпер
515,Brunnen::N,худг,ҫӑл
516,Brunnen::N,худг,пусӑ
517,Weide::N,малын идг,ҫаран
518,Pfad::N,цувг,йӗр
519,Pfad::N,цувг,сукмак
520,Weg::N,хаалһ,ҫул
521,Weg::N,хаалһ,ҫул-йӗр
522,Straße::N,зам,ҫӳрев
523,Straße::N,зам,ҫул ҫӳрени
524,Dorf::N,хотн,ял
525,Stadt::N,балһсн,хула
526,Brief::N,бичг,ҫыру
527,Buch::N,дегтр,кӗнеке
528,Buchstabe::N,үзг,сас палли
529,Zeitung::N,газет,хаҫат
530,Leben::N,җирһл,пурнӑҫ
531,Tod::N,үкл,вилӗм
532,Tod::N,өңгрлһн,вилӗм
533,Grab::N,оршалһна нүкн,масар шӑтӑкӗ
534,Kirche::N,чонҗ,чиркӳ
535,Sünde::N,нүл,ҫылӑх
536,Sünde::N,килнц,ҫылӑх
537,Gott::N,бурхн,турӑ
538,Arbeiter::N,көдлмшч,рабочи
539,Chef::N,толһач,пуҫлӑх
540,Meister::N,урн,ӑста
541,Meister::N,урн,мастер
542,Arzt::N,эмч,врач
543,Arzt::N,эмч,тухтӑр
544,Lehrer::N,багш,учитель
545,Lehrer::N,багш,вӗрентекен
546,Geld::N,мөңгн,укҫа
547,Geschäft::N,көдлмш,бизнес
548,Laden::N,лавк,магазин
549,Preis::N,үн,хак
550,Ware::N,эд-тавр,тавар
551,Nutzen::N,олз,пайта
552,Reichtum::N,зөөр,мул
553,Welt::N,орчлң,тӗнче
554,Welt::N,делкә,тӗнче
555,Land::N,орн-нутг,ҫӗр-шыв
556,Staat::N,государств,патшàлӑх
557,König::N,хан,король
558,Macht::N,йосн,власть
559,Grenze::N,меҗә,чикӗ
560,Krieg::N,дән,вӑрҫӑ
561,Feind::N,дәәсн,тӑшман
562,Gewalt::N,күч һарһлһн,ирӗксӗрлӳ
563,Kampf::N,ноолдан,кӗрешӳ
564,Kampf::N,бәрлдлһн,кӗрешӳ
565,Bogen[Waffe]::N,саадг,ухӑ
566,Pfeil::N,сумн,ҫӗмрен
567,Pfeil::N,сумн,ухӑ йӗппи
568,Gewehr::N,бу,пӑшал
569,Fehler::N,алдг,йӑнӑш
570,Lüge::N,худл,суя
571,Lüge::N,худл,ултав
572,Schaden::N,хорлт,сиен
573,Unglück::N,гүрм,шар
574,Unglück::N,гүрм,инкек
575,Schuld::N,гем,айӑп
576,Schuld::N,буру,айӑп
577,Alter::N,насн,ҫул шучӗ
578,Schluss::N,чилгч,пӗтни
579,Schluss::N,чилгч,пӗтмӗш
580,Zeit::N,цаг,вӑхӑт
581,Tag::N,өдр,кун
582,Morgen::N,өрүн,ир
583,Mittag::N,үд,кӑнтӑрла
584,Abend::N,асхн,каҫ
585,Nacht::N,сө,каҫ
586,Woche::N,долан хонг,эрне
587,Monat::N,сар,уйӑх
588,Jahr::N,җил,ҫулталӑк
589,Frühling::N,хавр,ҫур
590,Frühling::N,хавр,ҫуркунне
591,Sommer::N,зун,ҫу
592,Sommer::N,зун,ҫулла
593,Herbst::N,намр,кӗр
594,Herbst::N,намр,кӗркунне
595,Winter::N,үвл,хӗл
596,Winter::N,үвл,хӗлле
597,Januar::N,январь,январь
598,Februar::N,февраль,февраль
599,Februar::N,февраль,кӗҫӗн кӑрлач
600,März::N,март,март
601,März::N,март,пуш уйӑхӗ
602,März::N,моһа сар,март
603,März::N,моһа сар,пуш уйӑхӗ
604,April::N,апрель,апрель
605,Mai::N,май,май
606,Juni::N,июнь,июнь
607,Juni::N,мөчн сар,июнь
608,Juli::N,июль,июль
609,August::N,август,август
610,September::N,һаха сар,сентябрь
611,September::N,һаха сар,авӑн уйӑхӗ
612,Oktober::N,октябрь,октябрь
613,November::N,ноябрь,ноябрь
614,November::N,үкр сар,ноябрь
615,Dezember::N,бар сар,раштав
616,Dezember::N,бар сар,декабрь
617,Montag::N,понедельник,тунти кун
618,Dienstag::N,вторник,ытлари кун
619,Mittwoch::N,среда,юн кун
620,Mittwoch::N,үлмҗ өдр,юн кун
621,Donnerstag::N,четверг,кӗҫнерни кун
622,Donnerstag::N,пүрвә өдр,кӗҫнерни кун
623,Freitag::N,пятниц,эрне кун
624,Samstag::N,суббот,шӑмат кун
625,Sonntag::N,нарн өдр,вырсарни кун
626,Sonntag::N,воскресень,вырсарни кун
627,groß::A,ик,пысӑк
628,klein::A,бичкн,пӗчӗк
629,lang::A,ут,вӑрӑм
630,kurz::A,оһтр,кӗске
631,breit::A,өргн,сарлака
632,schmal::A,уутьхн,ансӑр
633,dicht::A,нигт,йӑвӑ
634,dick[Gegenstand]::A,зузан,хулӑн
635,dünn::A,нимгн,ҫинҫе
636,dünn::A,нимгн,ҫӳхе
637,fein::A,нәрхн,тарай
638,fein::A,нәрхн,вӗлтӗрти
639,fest::A,бат,тӗреклӗ
640,flach::A,хавтха,лаптак
641,glatt::A,тегш,такӑр
642,glatt::A,тиньгр,такӑр
643,hart::A,хату,хытӑ
644,weich::A,җөөлн,ҫемҫе
645,weich::A,җөөлкн,ҫемҫе
646,rund::A,төгрг,ҫавра
647,spitz::A,шовһр,шӗвӗр
648,scharf::A,хурц,ҫивӗч
649,stumpf::A,мука,мӑка
650,stumpf::A,мука,пуклак
651,stumpf::A,мука,тӗрӗнчӗк
652,stumpf::A,мука,ӑнкарусӑр
653,schwer::A,күнд,йывӑр
654,schön::A,сәәхн,илемлӗ
655,heiß::A,халун,вӗри
656,warm::A,дулан,ӑшӑ
657,kalt::A,киитн,сивӗ
658,kühl::A,серүн,уҫӑ
659,frisch::A,серүн,уҫӑ
660,feucht::A,чиигтә,йӗпе
661,nass::A,чиигтә,нӳрӗ
662,trocken::A,хагсу,типӗ
663,voll::A,дүүрң,тулли
664,leer::A,сул,пушӑ
665,leer::A,хоосн,пушӑ
666,offen::A,секәтә,уҫӑ
667,geschlossen::A,хаалһата,хупӑ
668,sauber::A,цевр,таса
669,schmutzig::A,киртә,пылчӑклӑ
670,schmutzig::A,киртә,вараланчӑк
671,roh::A,түүкә,чӗрӗ
672,reif::A,болсн,пулнӑ
673,reif::A,болсн,пиҫӗхнӗ
674,reif::A,болсн,аталаннӑ
675,reif::A,болсн,пиҫсе ҫитнӗ
676,lecker::A,әмтәхн,тутлӑ
677,lecker::A,әмтәхн,техӗмлӗ
678,süß::A,әмтәхн,пылак
679,bitter::A,һашун,йӳҫӗ
680,bitter::A,һашута,йӳҫӗ
681,sauer::A,ишклң,йӳҫӗ
682,sauer::A,ишклң,йӳҫек
683,sauer::A,ишклң,кӑвасак
684,hell::A,герлтә,ҫутӑ
685,dunkel::A,харңһу,тӗттӗм
686,schwarz::A,хар,хура
687,weiß::A,цаһан,шурӑ
688,rot::A,улан,хӗрлӗ
689,gelb::A,шар,сарӑ
690,blau::A,көк,кӑвак
691,grün::A,көк,симӗс
692,grün::A,көк,пиҫмен
693,grün::A,көк,ӑс пухман
694,grau::A,бор,кӑвак
695,bunt::A,алг,чӑпар
696,bunt::A,эрәтә,чӑпар
697,billig::A,кимд,йӳнӗ
698,teuer::A,үнтә,хаклӑ
699,wertvoll::A,үнтә,паха
700,wertvoll::A,эрднь,паха
701,blind::A,сохр,суккӑр
702,taub::A,дүлә,хӑлхасӑр
703,kräftig::A,күчтә,хӑватлӑ
704,stark::A,чаңһ,вирлӗ
705,schwach::A,күчн тату,халсӑр
706,fett::A,тарһн,самӑр
707,fett::A,тарһн,мӑнтӑр
708,schlank::A,эццн,йӑрӑс
709,schlank::A,эццн,яштака
710,hübsch::A,көркхн,хитре
711,böse::A,уурта,усал
