,Concept_ID,nl,kl
1402,fragen::V,vragen,aperaa
1403,bitten::V,vragen,aperaa
1404,bitten::V,vragen,qinnuigaa
1405,bitten::V,verzoeken,aperaa
1406,bitten::V,verzoeken,qinnuigaa
1407,erzählen::V,vertellen,oqaluttuaraa
1408,mitteilen::V,meedelen,oqalualaarpoq
1409,nennen::V,noemen,
1410,rufen::V,roepen,qaaqquaa
1411,prahlen::V,pralen,oqqartuvoq
1412,prahlen::V,pralen,oqallortuvoq
1413,übersetzen::V,vertalen,ikaarpoq
1414,übersetzen::V,vertalen,nutserpaa
1415,denken::V,denken,isumaqarpoq
1416,glauben::V,geloven,upperaa
1417,glauben::V,geloven,isumaqarpoq
1418,bemerken::V,bemerken,
1419,erkennen::V,herkennen,ilisaraa
1420,begreifen::V,begrijpen,
1421,verstehen::V,verstaan,paasivaa
1422,lernen::V,leren,ilinniarpoq
1423,wissen::V,weten,nalunngilaa
1424,sich erinnern an::V,zich herinneren aan,eqqaavaa
1425,vergessen::V,vergeten,puiorpaa
1426,messen::V,meten,ussersarpaa
1427,zählen::V,tellen,kisitsivoq
1428,rechnen::V,rekenen,kisitsivoq
1429,lesen::V,lezen,atuarpoq
1430,malen::V,schilderen,qalipappaa
1431,zeichnen::V,tekenen,
1432,schreiben::V,schrijven,allappoq
1433,besitzen::V,bezitten,
1434,kaufen::V,kopen,pisiaraa
1435,verkaufen::V,verkopen,akigaa
1436,bezahlen::V,betalen,akilerpaa
1437,zahlen::V,betalen,
1438,beherrschen::V,beheersen,inappaa
1439,ertragen::V,verdragen,ernertaaraa
