,Concept_ID,no,cs
123,Quelle::N,kilde,pramen
124,Bach::N,bekk,potok
125,Fluss::N,elv,řeka
126,Ufer::N,bredd,břeh
127,Küste::N,kyst,pobřeží
128,Festland::N,fastland,souš
129,Festland::N,fastland,pevnina
130,Meer::N,hav,moře
131,Bucht::N,bukt,záliv
132,Bucht::N,bukt,zátoka
133,Insel::N,øy,ostrov
134,Blume::N,blomst,květina
135,Gras::N,gress,tráva
136,Wurzel::N,rot,kořen
137,Baum::N,tre,strom
138,Stamm::N,stamme,kmen
139,Rinde::N,bark,kůra
140,Ast::N,gren,větev
141,Zweig::N,kvist,větev
142,Blatt::N,blad,lupen
143,Birke::N,bjørk,bříza
144,Kiefer[Baum]::N,furu,sosna
145,Kiefer[Baum]::N,furu,borovice
146,Weide[Baum]::N,selje,vrba
147,Weide[Baum]::N,piletre,vrba
148,Tanne::N,gran,jedle
149,Horn::N,horn,roh
150,Feder::N,fjær,pero
151,Fell::N,skinn,srst
152,Flügel::N,vinge,křídlo
153,Klaue::N,klauv,dráp
154,Klaue::N,klauv,pazneht
155,Kralle::N,klo,dráp
156,Schwanz::N,hale,ocas
157,Ei::N,egg,vejce
158,Nest::N,rede,hnízdo
159,Bau::N,hi,nora
160,Tier::N,dyr,zvíře
161,Herde::N,flokk,stádo
162,Kuh::N,ku,kráva
163,Bulle::N,tyr,býk
164,Pferd::N,hest,kůň
165,Schaf::N,får,ovce
166,Schwein::N,gris,vepř
167,Schwein::N,gris,prase
168,Hund::N,hund,pes
169,Katze::N,katt,kočka
170,Bär::N,bjørn,medvěd
171,Eichhörnchen::N,ekorn,veverka
172,Elch::N,elg,los
173,Fuchs::N,rev,liška
174,Hase::N,hare,zajíc
175,Maus::N,mus,myš
176,Wolf::N,ulv,vlk
177,Wolf::N,varg,vlk
178,Vogel::N,fugl,pták
179,Schwarm::N,sverm,roj
180,Schwarm::N,sverm,hejno
181,Huhn::N,høne,kuře
182,Huhn::N,høne,slepice
183,Hahn::N,hane,kohout
184,Gans::N,gås,husa
185,Adler::N,ørn,orel
186,Ente::N,and,kachna
187,Eule::N,ugle,sova
188,Kranich::N,trane,jeřáb
189,Krähe::N,kråke,vrána
190,Kuckuck::N,gjøk,kukačka
191,Schwan::N,svane,labuť
192,Fisch::N,fisk,ryba
193,Barsch::N,abbor,okoun
194,Hecht::N,gjedde,štika
195,Schlange[Tier]::N,orm,had
196,Schlange[Tier]::N,slange,had
197,Wurm::N,orm,červ
198,Wurm::N,mark,červ
199,Spinne::N,edderkopp,pavouk
200,Ameise::N,maur,mravenec
201,Laus::N,lus,veš
202,Mücke::N,mygg,komár
203,Fliege::N,flue,moucha
204,Schmetterling::N,sommerfugl,motýl
205,Beere::N,bær,bobule
206,Apfel::N,eple,jablko
207,Pilz::N,sopp,houba
208,Zwiebel::N,løk,cibule
209,Saat::N,sæd,osivo
210,Korn::N,korn,zrno
211,Heu::N,høy,seno
212,Schale::N,skall,slupka
213,Schale::N,skall,skořápka
214,Grube::N,grop,jáma
215,Falle::N,felle,past
216,Falle::N,felle,léčka
217,Schlinge::N,snare,smyčka
218,Spur::N,spor,stopa
219,Asche::N,aske,popel
220,Dreck::N,møkk,špína
221,Dreck::N,skitt,špína
222,Eisen::N,jern,železo
223,Gold::N,gull,zlato
224,Silber::N,sølv,stříbro
225,Kohle::N,kol,uhlí
226,Kohle::N,kull,uhlí
227,Glas::N,glass,sklo
228,Lehm::N,leire,jíl
229,Lehm::N,leire,hlína
230,Sand::N,sand,písek
231,Mensch::N,menneske,člověk
232,Mann::N,mann,muž
233,Frau::N,kvinne,žena
234,Kind::N,barn,dítě
235,Junge::N,gutt,hoch
236,Junge::N,gutt,chlapec
237,Mädchen::N,pike,děvče
238,Mädchen::N,jente,děvče
239,Familie::N,familie,rodina
240,Großvater::N,bestefar,děd
241,Großvater::N,bestefar,dědeček
242,Großmutter::N,bestemor,babička
243,Eltern::N,foreldre,rodiče
244,Vater::N,far,otec
245,Mutter::N,mor,matka
246,Sohn::N,sønn,syn
247,Tochter::N,datter,dcera
248,Bruder::N,bror,bratr
249,Schwester::N,søster,sestra
250,Onkel::N,onkel,strýc
251,Tante::N,tante,teta
252,Ehemann::N,ektemann,choť
253,Ehemann::N,ektemann,manžel
254,Ehefrau::N,hustru,choť
255,Ehefrau::N,hustru,manželka
256,Freude::N,glede,radost
257,Gelächter::N,latter,smích
258,Glück::N,lykke,štěstí
259,Kummer::N,sorg,žal
260,Kummer::N,sorg,trápení
261,Wunsch::N,ønske,přání
262,Lust::N,lyst,chuť
263,Geist::N,ånd,duch
264,Gedanke::N,tanke,myšlenka
265,Gedächtnis::N,minne,paměť
266,Gedächtnis::N,hukommelse,paměť
267,Verstand::N,forstand,rozum
268,Sinn::N,mening,smysl
269,Sinn::N,betydning,smysl
270,Grund::N,grunn,důvod
271,Wahrheit::N,sannhet,pravda
272,Gespräch::N,samtale,rozhovor
273,Märchen::N,eventyr,pohádka
274,Erzählung::N,fortelling,povídka
275,Nachricht::N,melding,zpráva
276,Neuigkeit::N,nyhet,novina
277,Neuigkeit::N,nyhet,novinka
278,Name::N,navn,jméno
279,Rätsel::N,gåte,hádanka
280,Rede::N,tale,řeč
281,Rede::N,tale,proslov
282,Sprache::N,språk,řeč
283,Sprache::N,språk,jazyk
284,Stimme::N,stemme,hlas
285,Wort::N,ord,slovo
286,Zeichen::N,tegn,znamení
287,Ruf::N,rop,zavolání
288,Lärm::N,bråk,hluk
289,Laut::N,lyd,zvuk
290,Ton::N,tone,tón
291,Lied::N,vise,píseň
292,Ruhe::N,ro,klid
293,Ruhe::N,ro,pokoj
294,Leute::N,folk,lidé
295,Volk::N,folk,národ
296,Arbeit::N,arbeid,práce
297,Gast::N,gjest,host
298,Geschenk::N,gave,dar
299,Spiel::N,lek,hra
300,Spiel::N,spill,hra
301,Gesellschaft::N,selskap,společnost
302,Hilfe::N,hjelp,pomoc
303,Freund::N,venn,přítel
304,Kamerad::N,kamerat,kamarád
305,Angelegenheit::N,sak,záležitost
306,Angelegenheit::N,anliggende,záležitost
307,Anzahl::N,antall,počet
308,Art::N,art,druh
309,Art::N,slag,druh
310,Stück::N,stykke,kus
311,Stück::N,stykke,kousek
312,Teil::N,del,díl
313,Teil::N,del,část
314,Hälfte::N,halvdel,půl
315,Kreis::N,ring,kruh
316,Kreis::N,sirkel,kruh
317,Kreuz::N,kors,kříž
318,Kreuz::N,kryss,kříž
319,Linie::N,linje,linka
320,Strich::N,strek,čára
321,Strich::N,strek,čárka
322,Abstand::N,avstand,vzdálenost
323,Entfernung::N,avstand,vzdálenost
324,Gegend::N,strøk,krajina
325,Platz::N,plass,prostor
326,Ort::N,sted,místo
327,Seite::N,side,strana
328,Mitte::N,midte,střed
329,Mitte::N,midte,prostředek
330,Gegenstand::N,gjenstand,předmět
331,Sache::N,sak,věc
332,Rand::N,rand,kraj
333,Rand::N,rand,okraj
334,Kante::N,kant,hrana
335,Ecke::N,hjørne,roh
336,Spitze::N,spiss,hrot
337,Spitze::N,spiss,špička
338,Ende::N,ende,konec
339,Loch::N,hull,díra
340,Winkel::N,vinkel,kout
341,Muster::N,mønster,vzor
342,Größe::N,størrelse,velikost
343,Länge::N,lengde,délka
344,Höhe::N,høyde,výška
345,Gewicht::N,vekt,váha
346,Menge::N,mengde,množství
347,Haufen::N,haug,kupa
348,Haufen::N,haug,hromada
349,Haufen::N,bunke,kupa
350,Haufen::N,bunke,hromada
351,Reihe::N,rekke,řada
352,Reihe::N,rekke,řádek
353,Boot::N,båt,člun
354,Ruder::N,åre,veslo
355,Schlitten::N,slede,sáně
356,Schlitten::N,kjelke,sáně
357,Ski::N,ski,lyže
358,Lagerfeuer::N,leirbål,táborák
359,Last::N,bør,náklad
360,Last::N,bør,břemeno
361,Last::N,last,náklad
362,Last::N,last,břemeno
363,Gang::N,gang,chůze
364,Gang::N,gang,chodba
365,Schritt::N,steg,krok
366,Schritt::N,skritt,krok
367,Norden::N,nord,sever
368,Süden::N,sør,jih
369,Westen::N,vest,západ
370,Osten::N,øst,východ
371,Holz::N,tre,dřevo
372,Brett::N,fjøl,prkno
373,Brett::N,brett,prkno
374,Platte::N,plate,deska
375,Stütze::N,støtte,opěra
376,Stange::N,stang,tyč
377,Stange::N,stang,tyčka
378,Stock::N,pinne,hůlka
379,Stab::N,stav,hůl
380,Stab::N,kjepp,hůl
381,Rohr::N,rør,trubka
382,Haus::N,hus,dům
383,Heim::N,hjem,domov
384,Ofen::N,ovn,kamna
385,Fußboden::N,gulv,podlaha
386,Tisch::N,bord,stůl
387,Stuhl::N,stol,židle
388,Wiege::N,vogge,kolébka
389,Bett::N,seng,postel
390,Regal::N,reol,regál
391,Regal::N,reol,police
392,Regal::N,hylle,regál
393,Regal::N,hylle,police
394,Kiste::N,kasse,bedna
395,Fenster::N,vindu,okno
396,Tür::N,dør,dveře
397,Tor::N,port,vrata
398,Zaun::N,gjerde,plot
399,Dach::N,tak,střecha
400,Leiter::N,stige,žebřík
401,Besen::N,kost,koště
402,Besen::N,kost,smeták
403,Spaten::N,spade,rýč
404,Schaufel::N,skuffe,lopata
405,Gabel::N,gaffel,vidlička
406,Löffel::N,skje,lžíce
407,Messer::N,kniv,nůž
408,Nagel::N,spiker,hřebík
409,Netz::N,nett,síť
410,Haken::N,krok,hák
411,Griff::N,tak,držadlo
412,Griff::N,håndtak,držadlo
413,Schloss::N,lås,zámek
414,Bild::N,bilde,obraz
415,Figur::N,figur,figura
416,Puppe::N,dukke,panenka
417,Beutel::N,pose,pytlík
418,Bündel::N,bylt,svazek
419,Tasche::N,veske,taška
420,Tasche::N,veske,brašna
421,Eimer::N,bøtte,kýbl
422,Eimer::N,bøtte,vědro
423,Deckel::N,lokk,víko
424,Deckel::N,lokk,příklop
425,Geschirr::N,kjøkkentøy,nádobí
426,Sack::N,sekk,pytel
427,Tasse::N,kopp,šálek
428,Topf::N,gryte,hrnec
429,Kessel::N,kjele,kotel
430,Essen::N,mål,jídlo
431,Nahrung::N,mat,strava
432,Nahrung::N,mat,potrava
433,Nahrung::N,næring,strava
434,Nahrung::N,næring,potrava
435,Speise::N,matrett,jídlo
436,Fleisch::N,kjøtt,maso
437,Getreide::N,korn,obilí
438,Brei::N,grøt,kaše
439,Brot::N,brød,chléb
440,Scheibe::N,skive,krajíc
441,Fett::N,fett,tuk
442,Fett::N,fett,omastek
443,Butter::N,smør,máslo
444,Öl::N,olje,olej
445,Salz::N,salt,sůl
446,Suppe::N,suppe,polévka
447,Honig::N,honning,med
448,Milch::N,melk,mléko
449,Tee::N,te,čaj
450,Leder::N,lær,kůže
451,Leder::N,skinn,kůže
452,Wolle::N,ull,vlna
453,Stoff::N,tøy,látka
454,Stoff::N,stoff,látka
455,Nadel::N,nål,jehla
456,Faden::N,tråd,nit
457,Knopf::N,knapp,knoflík
458,Knoten::N,knute,uzel
459,Farbe::N,farge,barva
460,Kleidung::N,påkledning,šaty
461,Kleidung::N,påkledning,šatstvo
462,Hemd::N,skjorte,košile
463,Kragen::N,krage,límec
464,Ärmel::N,erme,rukáv
465,Hose::N,bukse,kalhoty
466,Gürtel::N,belte,pás
467,Gürtel::N,belte,opasek
468,Mütze::N,lue,čepice
469,Schuh::N,sko,bota
470,Stiefel::N,støvel,holínka
471,Ring::N,ring,prsten
472,Band::N,band,pásek
473,Kamm::N,kam,hřeben
474,Spiegel::N,speil,zrcadlo
475,Riemen::N,rem,řemen
476,Schnur::N,snor,šňůra
477,Leine::N,line,vodítko
478,Decke::N,teppe,pokrývka
479,Decke::N,teppe,přikrývka
480,Kissen::N,pute,polštář
481,Tuch::N,tøy,šátek
482,Handtuch::N,håndkle,ručník
483,Kraft::N,kraft,síla
484,Stärke::N,styrke,síla
485,Gesundheit::N,helse,zdraví
486,Gesundheit::N,sunnhet,zdraví
487,Krankheit::N,syke,nemoc
488,Krankheit::N,syke,choroba
489,Krankheit::N,sykdom,nemoc
490,Krankheit::N,sykdom,choroba
491,Schmerz::N,smerte,bolest
492,Wunde::N,sår,rána
493,Fieber::N,feber,horečka
494,Arznei::N,medisin,lék
495,Arznei::N,legemiddel,lék
496,Brücke::N,bro,most
497,Brunnen::N,brønn,studna
498,Weide::N,beite,pastva
499,Weide::N,beite,pastvina
500,Pfad::N,sti,pěšina
501,Weg::N,vei,cesta
502,Straße::N,gate,silnice
503,Dorf::N,landsby,vesnice
504,Stadt::N,by,město
505,Brief::N,brev,dopis
506,Buch::N,bok,kniha
507,Buchstabe::N,bokstav,písmeno
508,Zeitung::N,avis,noviny
509,Leben::N,liv,život
510,Tod::N,død,smrt
511,Grab::N,grav,hrob
512,Kirche::N,kirke,kostel
513,Sünde::N,synd,hřích
514,Gott::N,gud,bůh
515,Arbeiter::N,arbeider,dělník
516,Arbeiter::N,arbeider,pracovník
517,Chef::N,sjef,šéf
518,Chef::N,sjef,vedoucí
519,Meister::N,mester,mistr
520,Arzt::N,lege,lékař
521,Lehrer::N,lærer,učitel
522,Geld::N,penger,peníze
523,Geschäft::N,forretning,obchod
524,Laden::N,butikk,krám
525,Preis::N,pris,cena
526,Ware::N,vare,zboží
527,Nutzen::N,nytte,užitek
528,Reichtum::N,rikdom,bohatství
529,Welt::N,verden,svět
530,Land::N,land,země
531,Staat::N,stat,stát
532,König::N,konge,král
533,Macht::N,makt,moc
534,Macht::N,makt,mocnost
535,Grenze::N,grense,hranice
536,Krieg::N,krig,válka
537,Feind::N,fiende,nepřítel
538,Gewalt::N,vold,násilí
539,Kampf::N,kamp,boj
540,Bogen[Waffe]::N,bue,luk
541,Pfeil::N,pil,šíp
542,Gewehr::N,gevær,puška
543,Gewehr::N,gevær,ručnice
544,Fehler::N,feil,chyba
545,Lüge::N,løgn,lež
546,Schaden::N,skade,škoda
547,Unglück::N,uhell,neštěstí
548,Schuld::N,skyld,vina
549,Alter::N,alder,věk
550,Schluss::N,slutt,konec
551,Zeit::N,tid,čas
552,Tag::N,dag,den
553,Morgen::N,morgen,ráno
554,Morgen::N,morgen,jitro
555,Mittag::N,middag,poledne
556,Abend::N,aften,večer
557,Nacht::N,natt,noc
558,Woche::N,uke,týden
559,Monat::N,måned,měsíc
560,Jahr::N,år,rok
561,Frühling::N,vår,jaro
562,Sommer::N,sommer,léto
563,Herbst::N,høst,podzim
564,Winter::N,vinter,zima
565,Januar::N,januar,leden
566,Februar::N,februar,únor
567,März::N,mars,březen
568,April::N,april,duben
569,Mai::N,mai,květen
570,Juni::N,juni,červen
571,Juli::N,juli,červenec
572,August::N,august,srpen
573,September::N,september,září
574,Oktober::N,oktober,říjen
575,November::N,november,listopad
576,Dezember::N,desember,prosinec
577,Montag::N,mandag,pondělí
578,Montag::N,mandag,pondělek
579,Dienstag::N,tirsdag,úterý
580,Mittwoch::N,onsdag,středa
581,Donnerstag::N,torsdag,čtvrtek
582,Freitag::N,fredag,pátek
583,Samstag::N,lørdag,sobota
584,Sonntag::N,søndag,neděle
585,groß::A,stor,velký
586,klein::A,liten,malý
587,lang::A,lang,dlouhý
588,kurz::A,kort,krátký
589,breit::A,bred,široký
590,schmal::A,smal,úzký
591,dicht::A,tett,hustý
592,dick[Gegenstand]::A,tykk,tlustý
593,dünn::A,tynn,tenký
594,fein::A,fin,jemný
595,fest::A,fast,pevný
596,flach::A,flat,plochý
597,flach::A,flat,placatý
598,glatt::A,glatt,hladký
599,hart::A,hard,tvrdý
600,weich::A,myk,měkký
601,weich::A,bløt,měkký
602,rund::A,rund,kulatý
603,rund::A,rund,okrouhlý
604,spitz::A,spiss,špičatý
605,scharf::A,kvass,ostrý
606,stumpf::A,stubb,tupý
607,schwer::A,tung,těžký
608,schön::A,pen,pěkný
609,schön::A,pen,krásný
610,schön::A,vakker,pěkný
611,schön::A,vakker,krásný
612,heiß::A,het,horký
613,warm::A,varm,teplý
614,kalt::A,kald,studený
615,kühl::A,kjølig,chladný
616,frisch::A,fersk,svěží
617,feucht::A,fuktig,vlhký
618,nass::A,våt,mokrý
619,trocken::A,tørr,suchý
620,voll::A,full,plný
621,leer::A,tom,prázdný
622,offen::A,åpen,otevřený
623,geschlossen::A,lukket,zavřený
624,sauber::A,ren,čistý
625,schmutzig::A,skitten,špinavý
626,roh::A,rå,syrový
627,reif::A,moden,zralý
628,lecker::A,lekker,chutný
629,süß::A,søt,sladký
630,bitter::A,besk,hořký
631,bitter::A,bitter,hořký
632,sauer::A,sur,kyselý
633,hell::A,lys,světlý
634,dunkel::A,mørk,temný
635,schwarz::A,svart,černý
636,weiß::A,hvit,bílý
637,rot::A,rød,rudý
638,rot::A,rød,červený
639,gelb::A,gul,žlutý
640,blau::A,blå,modrý
641,grün::A,grønn,zelený
642,grau::A,grå,šedý
643,grau::A,grå,šedivý
644,bunt::A,broket,pestrý
645,billig::A,billig,levný
646,billig::A,billig,laciný
647,teuer::A,dyr,drahý
648,wertvoll::A,verdifull,cenný
649,blind::A,blind,slepý
650,taub::A,døv,hluchý
651,kräftig::A,kraftig,silný
652,stark::A,sterk,silný
653,schwach::A,svak,slabý
654,fett::A,fet,tučný
655,fett::A,fet,tlustý
656,schlank::A,slank,štíhlý
657,hübsch::A,pen,hezký
658,böse::A,slem,zlý
659,dumm::A,dum,hloupý
660,faul::A,lat,líný
661,faul::A,doven,líný
662,fleißig::A,flittig,pilný
663,geizig::A,gjerrig,lakomý
664,klug::A,klok,chytrý
665,geschickt::A,hendig,šikovný
666,geschickt::A,skikket,šikovný
667,lieb::A,kjær,milý
668,lieb::A,snill,milý
669,lustig::A,morsom,veselý
670,sanft::A,blid,mírný
671,hungrig::A,sulten,hladový
672,krank::A,syk,nemocný
673,nackt::A,naken,nahý
674,traurig::A,sørgmodig,smutný
675,traurig::A,sørgmodig,truchlivý
676,lebendig::A,levende,živý
677,gut::A,god,dobrý
678,schlecht::A,dårlig,špatný
679,richtig::A,riktig,pravý
680,richtig::A,riktig,správný
681,schlimm::A,slem,zlý
682,wahr::A,sann,pravdivý
683,alt::A,gammel,starý
684,neu::A,ny,nový
685,ehemalig::A,forhenværende,bývalý
686,alt[Lebewesen]::A,gammel,starý
687,jung::A,ung,mladý
688,arm::A,fattig,chudý
689,reich::A,rik,bohatý
690,bekannt::A,kjent,známý
691,berühmt::A,berømt,slavný
692,fremd::A,fremmed,cizí
693,verschieden::A,forskjellig,různý
694,verschieden::A,forskjellig,rozličný
695,nah::A,nær,blízký
696,fern::A,fjern,daleký
697,linker::A,venstre,levý
698,rechter::A,høyre,pravý
699,anderer::A,annen,jiný
700,erster::A,første,první
701,zweiter::A,annen,druhý
702,dritter::A,tredje,třetí
703,letzter::A,sist,poslední
704,allein::ADV,alene,sám
705,auf einmal::ADV,med ett,najednou
706,zusammen::ADV,sammen,spolu
707,zusammen::ADV,sammen,dohromady
708,lange::ADV,lenge,dlouho
709,plötzlich::ADV,plutselig,vtom
710,plötzlich::ADV,plutselig,náhle
711,sofort::ADV,straks,hned
712,sofort::ADV,straks,ihned
713,später::ADV,senere,později
714,jetzt::ADV,nå,teď
715,jetzt::ADV,nå,nyní
716,heute::ADV,i dag,dnes
717,heute::ADV,i dag,dneska
718,morgen::ADV,i morgen,zítra
719,bald::ADV,snart,brzo
720,dann::ADV,så,pak
721,dann::ADV,så,potom
722,gestern::ADV,i går,včera
723,einst::ADV,engang,kdysi
724,damals::ADV,den gang,tehdy
725,damals::ADV,den gang,tenkrát
726,danach::ADV,deretter,podle toho
727,vorher::ADV,før,dříve
728,vorher::ADV,før,napřed
729,vorher::ADV,i forveien,dříve
730,vorher::ADV,i forveien,napřed
731,zuerst::ADV,først,nejprve
732,zuerst::ADV,først,nejdříve
733,einmal::ADV,en gang,jednou
734,manchmal::ADV,somme tider,někdy
735,oft::ADV,ofte,často
736,immer::ADV,alltid,vždy
737,immer::ADV,alltid,stále
738,niemals::ADV,aldri,nikdy
739,hier::ADV,her,zde
740,hier::ADV,her,tady
741,hierhin::ADV,hit,sem
742,von hier::ADV,herfra,odtud
743,dort::ADV,der,tam
744,dorthin::ADV,dit,tam
745,geradeaus::ADV,rett fram,rovně
746,vorwärts::ADV,fram,kupředu
747,vorwärts::ADV,framover,kupředu
748,rückwärts::ADV,baklengs,zpět
749,zurück::ADV,tilbake,zpět
750,zurück::ADV,tilbake,nazpět
751,unten::ADV,nede,dole
752,hinab::ADV,ned,dolů
753,hinab::ADV,nedover,dolů
754,oben::ADV,oppe,nahoře
755,oben::ADV,oppe,navrchu
756,oben::ADV,ovenpå,nahoře
757,oben::ADV,ovenpå,navrchu
758,hinauf::ADV,opp,nahoru
759,hinauf::ADV,oppover,nahoru
760,überall::ADV,overalt,všude
761,nicht::ADV,ikke,ne
762,ein wenig::ADV,litt,trochu
763,kaum::ADV,neppe,sotva
764,sehr::ADV,svært,velmi
765,sehr::ADV,svært,velice
766,so::ADV,så,tak
767,so::ADV,så,takto
768,noch::ADV,enda,ještě
769,nur::ADV,bare,jen
770,nur::ADV,bare,jenom
771,schon::ADV,alt,už
772,schon::ADV,alt,již
773,schon::ADV,allerede,už
774,schon::ADV,allerede,již
775,wieder::ADV,igjen,zase
776,vergebens::ADV,forgjeves,marně
777,vor::PRP,foran,před
778,vor::PRP,utenfor,před
779,hinter::PRP,bak,za
780,hinter::PRP,bakom,za
781,unter::PRP,under,pod
782,durch::PRP,gjennom,skrz
783,durch::PRP,igjennom,skrz
784,neben::PRP,ved siden av,vedle
785,zwischen::PRP,mellom,mezi
786,wegen::PRP,på grunn av,pro
787,dies::PRN,dette,toto
788,dies::PRN,dette,tohle
789,das::PRN,det,to
790,alles::PRN,alt,všechno
791,ich::PRN,jeg,já
792,du::PRN,du,ty
793,er::PRN,han,on
794,wir::PRN,vi,my
795,ihr::PRN,dere,vy
796,sie::PRN,de,oni
797,was::FPRN,hva,co
798,wer::FPRN,hvem,kdo
799,wo::FADV,hvor,kde
800,wohin::FADV,hvor ... hen,kam
801,wie::FADV,hvordan,jak
802,warum::FADV,hvorfor,proč
803,wieviel::FNUM,hvor mye,kolik
804,eins::NUM,en,jeden
805,eins::NUM,ett,jeden
806,zwei::NUM,to,dva
807,drei::NUM,tre,tři
808,vier::NUM,fire,čtyři
809,fünf::NUM,fem,pět
810,sechs::NUM,seks,šest
811,sieben::NUM,sju,sedm
812,acht::NUM,åtte,osm
813,neun::NUM,ni,devět
814,zehn::NUM,ti,deset
815,elf::NUM,elleve,jedenáct
816,zwölf::NUM,tolv,dvanáct
817,zwanzig::NUM,tjue,dvacet
818,dreißig::NUM,tretti,třicet
819,vierzig::NUM,førti,čtyřicet
820,fünfzig::NUM,femti,padesát
821,sechzig::NUM,seksti,šedesát
822,siebzig::NUM,sytti,sedmdesát
823,achtzig::NUM,åtti,osmdesát
824,neunzig::NUM,nitti,devadesát
825,hundert::NUM,hundre,sto
826,tausend::NUM,tusen,tisíc
827,und::CNJ,og,a
828,oder::CNJ,eller,nebo
829,stehen::V,stå,stát
830,sitzen::V,sitte,sedět
831,liegen::V,ligge,ležet
832,hängen::V,henge,viset
833,werden::V,bli,stát se
834,passieren::V,skje,stát se
835,passieren::V,hende,stát se
836,beginnen::V,begynne,počít
837,enden::V,ende,končit
838,enden::V,ende,skončit
839,enden::V,slutte,končit
840,enden::V,slutte,skončit
841,wechseln::V,veksle,měnit se
842,aufgehen[Sonne]::V,stå opp,vyjít
843,untergehen[Sonne]::V,gå ned,zapadnout
844,scheinen[Sonne]::V,skinne,svítit
845,donnern::V,tordne,hřmět
846,wehen::V,blåse,vát
847,wehen::V,blåse,vanout
848,strömen::V,strømme,proudit
849,fließen::V,flyte,téct
850,sich drehen::V,dreie seg,točit se
851,schwanken::V,svaie,kolísat
852,schwanken::V,svaie,houpat se
853,schwingen::V,svinge,kývat se
854,fallen::V,falle,padat
855,brennen::V,brenne,hořet
