,Concept_ID,cv,ga
57,Magen::N,хырӑмлӑх,bolg
58,Magen::N,хырӑмлӑх,goile
59,Leber::N,пӗвер,ae
60,Atem::N,сывлав,anáil
61,Hunger::N,выҫлӑх,ocras
62,Träne::N,куҫҫуль,deoir
63,Geschmack::N,техӗм,blas
64,Geruch::N,шӑршӑ,boladh
65,Schlaf::N,ыйхӑ,suan
66,Schlaf::N,ыйхӑ,codladh
67,Traum::N,тӗлӗк,taibhreamh
68,Himmel::N,пӗлӗт,spéir
69,Sonne::N,хӗвел,grian
70,Mond::N,уйӑх,ré
71,Mond::N,уйӑх,gealach
72,Stern::N,ҫӑлтӑр,rinn
73,Stern::N,ҫӑлтӑр,réalta
74,Luft::N,сывлӑш,aer
75,Wind::N,ҫил,gaoth
76,Welle::N,хум,tonn
77,Wasser::N,шыв,uisce
78,Wasser::N,шыв-шур,uisce
79,Stein::N,чул,cloch
80,Boden::N,тӑпра,talamh
81,Erde::N,ҫӗр,cré
82,Erde::N,ҫӗр,ithir
83,Staub::N,тусан,dusta
84,Staub::N,тусан,deannach
85,Rauch::N,тӗтӗм,toit
86,Rauch::N,тӗтӗм,deatach
87,Funke::N,хӗм,drithle
88,Feuer::N,вут,tine
89,Feuer::N,ҫулӑм,tine
90,Licht::N,ҫутӑ,solas
91,Schatten::N,сулхӑн,scáth
92,Wetter::N,ҫанталӑк,aimsir
93,Nebel::N,тӗтре,ceo
94,Wolke::N,пӗлӗт,néal
95,Wolke::N,пӗлӗт,scamall
96,Regen::N,ҫумӑр,báisteach
97,Regen::N,ҫумӑр,fearthainn
98,Schnee::N,юр,sneachta
99,Eis::N,пӑр,oighear
100,Frost::N,сивӗ,sioc
101,Kälte::N,сивӗ,fuacht
102,Hitze::N,вӗри,teas
103,Hitze::N,вӗри,teocht
104,Hitze::N,шӑрӑх,teas
105,Hitze::N,шӑрӑх,teocht
106,Raureif::N,пас,sioc bán
107,Regenbogen::N,асамат кӗперӗ,stua ceatha
108,Regenbogen::N,асамат кӗперӗ,bogha báistí
109,Donner::N,аслати,toirneach
110,Strömung::N,юхӑ,sruth
111,Tropfen::N,тумлам,deoir
112,Schaum::N,кӑпӑк,cúr
113,Schmutz::N,пылчӑк,salachar
114,See::N,кӳлӗ,loch
115,Sumpf::N,шур,portach
116,Sumpf::N,шурлӑх,portach
117,Moor::N,торфлӑ шурлӑх,caorán
118,Moor::N,торфлӑ шурлӑх,móinteán
119,Wiese::N,улӑх,cluain
120,Wiese::N,улӑх,móinéar
121,Wiese::N,ҫаран,cluain
122,Wiese::N,ҫаран,móinéar
123,Wald::N,вӑрман,coill
124,Wald::N,вӑрман,foraois
125,Hügel::N,сӑрт,ard
126,Hügel::N,тӗмеске,ard
127,Anhöhe::N,сӑрт,ard
128,Anhöhe::N,сӑрт,ardán
129,Berg::N,ту,sliabh
130,Gipfel::N,тӳпе,barr
131,Gipfel::N,тӳпе,mullach
132,Höhle::N,ҫӗр хӑвӑлӗ,uaimh
133,Höhle::N,ҫӗр хӑвӑлӗ,pluais
134,Abhang::N,тӑвайкки,fána
135,Quelle::N,ҫӑл куҫ,foinse
136,Bach::N,пӗчӗк шыв,sruthán
137,Fluss::N,юхан шыв,abhainn
138,Ufer::N,ҫыран,bruach
139,Küste::N,тинӗс ҫыранӗ,cósta
140,Küste::N,тинӗс ҫыранӗ,cladach
141,Festland::N,тип ҫӗр,míntír
142,Meer::N,тинӗс,muir
143,Meer::N,тинӗс,farraige
144,Bucht::N,тинӗс кукӑрӗ,bá
145,Bucht::N,тинӗс кукӑрӗ,cuan
146,Insel::N,утрав,inis
147,Insel::N,утрав,oileán
148,Blume::N,чечек,bláth
149,Gras::N,курӑк,féar
150,Wurzel::N,тымар,rúta
151,Wurzel::N,тымар,fréamh
152,Baum::N,йывӑҫ,crann
153,Stamm::N,вулӑ,stoc
154,Stamm::N,вулӑ,tamhan
155,Rinde::N,хуйӑр,coirt
156,Rinde::N,хуйӑр,craiceann
157,Ast::N,турат,géag
158,Zweig::N,турат,géag
159,Zweig::N,турат,craobh
160,Blatt::N,ҫулҫӑ,duille
161,Blatt::N,ҫулҫӑ,duilleog
162,Birke::N,хурӑн,beith
163,Birke::N,хурӑн,crann beithe
164,Kiefer[Baum]::N,хыр,péine
165,Weide[Baum]::N,хӑва,saileach
166,Tanne::N,чӑрӑш,giúis
167,Horn::N,мӑйрака,adharc
168,Feder::N,тӗк,cleite
169,Fell::N,ҫӑм,clúmh
170,Flügel::N,ҫунат,eite
171,Flügel::N,ҫунат,sciathán
172,Klaue::N,чӗрне,crúb
173,Klaue::N,чӗрне,crobh
174,Kralle::N,ура,crobh
175,Schwanz::N,хӳре,eireaball
176,Ei::N,ҫӑмарта,ubh
177,Nest::N,йӑва,nead
178,Bau::N,йӗнӗ,brocais
179,Tier::N,выльӑх,ainmhí
180,Tier::N,выльӑх,beithíoch
181,Herde::N,кӗтӳ,tréad
182,Kuh::N,ӗне,bó
183,Bulle::N,вӑкӑр,tarbh
184,Pferd::N,лаша,each
185,Pferd::N,лаша,capall
186,Schaf::N,сурӑх,caora
187,Schwein::N,сысна,muc
188,Hund::N,йытӑ,madra
189,Katze::N,кушак,cat
190,Bär::N,упа,béar
191,Eichhörnchen::N,пакша,iora
192,Elch::N,пӑши,eilc
193,Fuchs::N,тилӗ,sionnach
194,Fuchs::N,тилӗ,madra rua
195,Hase::N,куян,giorria
196,Hase::N,мулкач,giorria
197,Maus::N,шӑши,luch
198,Wolf::N,кашкӑр,mac tíre
199,Vogel::N,кайӑк,éan
200,Vogel::N,вӗҫен кайӑк,éan
201,Schwarm::N,ушкӑн,saithe
202,Huhn::N,чӑх,cearc
203,Huhn::N,чӑхӑ,cearc
204,Hahn::N,автан,coileach
205,Gans::N,хур,gé
206,Adler::N,ӑмӑрт кайӑк,iolar
207,Ente::N,кӑвакал,lacha
208,Eule::N,тӑмана,ulchabhán
209,Kranich::N,тӑрна,grús
210,Krähe::N,ула курак,caróg
211,Krähe::N,ула курак,préachán
212,Kuckuck::N,куккук,cuach
213,Schwan::N,акӑш,eala
214,Fisch::N,пулӑ,iasc
215,Barsch::N,уланкӑ,péirse
216,Hecht::N,ҫӑрттан,liús
217,Schlange[Tier]::N,ҫӗлен,nathair
218,Wurm::N,ӑман,péist
219,Spinne::N,эрешмен,damhán alla
220,Ameise::N,кӑткӑ,seangán
221,Laus::N,пыйтӑ,míol
222,Mücke::N,вӑрӑм туна,muiscít
223,Mücke::N,вӑрӑм туна,corrmhíol
224,Fliege::N,шӑна,cuil
225,Fliege::N,шӑна,cuileog
226,Schmetterling::N,лӗпӗш,féileacán
227,Beere::N,ҫырла,caor
228,Apfel::N,улма,úll
229,Apfel::N,пан улми,úll
230,Pilz::N,кӑмпа,beacán
231,Pilz::N,кӑмпа,muisiriún
232,Zwiebel::N,сухан,oinniún
233,Saat::N,вӑрӑ,síol
234,Korn::N,тӗшӗ,gráinne
235,Korn::N,пӗрчӗ,gráinne
236,Heu::N,утӑ,féar
237,Schale::N,хупӑ,scaimh
238,Grube::N,шӑтӑк,poll
239,Falle::N,тапӑ,gaiste
240,Falle::N,капкӑн,gaiste
241,Schlinge::N,йӑлӑ,sealán
242,Spur::N,йӗр,rian
243,Asche::N,кӗл,luaith
244,Dreck::N,пылчӑк,salachar
245,Eisen::N,тимӗр,iarann
246,Gold::N,ылтӑн,ór
247,Silber::N,кӗмӗл,airgead
248,Kohle::N,кӑмрӑк,gual
249,Glas::N,кӗленче,gloine
250,Lehm::N,тӑм,cré
251,Sand::N,хӑйӑр,gaineamh
252,Mensch::N,ҫын,duine
253,Mensch::N,этем,duine
254,Mann::N,ар,fear
255,Frau::N,хӗрарӑм,bean
256,Kind::N,ача,gasúr
257,Kind::N,ача,páiste
258,Junge::N,ача,buachaill
259,Junge::N,ар ҫын ача,buachaill
260,Mädchen::N,хӗр ача,cailín
261,Familie::N,ҫемье,teaghlach
262,Familie::N,ҫемье,comhluadar
263,Familie::N,кил-йыш,teaghlach
264,Familie::N,кил-йыш,comhluadar
265,Großvater::N,кукаҫи,seanathair
266,Großmutter::N,кукамай,seanmháthair
267,Eltern::N,аҫа-ама,tuismitheoirí
268,Vater::N,атте,athair
269,Mutter::N,анне,máthair
270,Sohn::N,ывӑл,mac
271,Tochter::N,хӗр,iníon
272,Bruder::N,ар тӑван,deartháir
273,Schwester::N,аппа,deirfiúr
274,Schwester::N,йӑмӑк,deirfiúr
275,Onkel::N,мучи,uncail
276,Onkel::N,пичче,uncail
277,Tante::N,аппа,aintín
278,Ehemann::N,упӑшка,fear céile
279,Ehefrau::N,арӑм,bean chéile
280,Freude::N,савӑнӑҫ,áthas
281,Freude::N,хаваслӑх,áthas
282,Gelächter::N,кулӑ,gáire
283,Glück::N,телей,séan
284,Glück::N,телей,sonas
285,Glück::N,ӑраскал,séan
286,Glück::N,ӑраскал,sonas
287,Kummer::N,хурлӑх,brón
288,Kummer::N,хурлӑх,buairt
289,Wunsch::N,ӗмӗт,guí
290,Wunsch::N,ӗмӗт,achainí
291,Wunsch::N,кӑмӑл,guí
292,Wunsch::N,кӑмӑл,achainí
293,Lust::N,кӑмӑл,fonn
294,Geist::N,чун-чӗм,meon
295,Geist::N,чун-чӗм,spiorad
296,Geist::N,ыр-усал,meon
297,Geist::N,ыр-усал,spiorad
298,Geist::N,чун хавалӗ,meon
299,Geist::N,чун хавалӗ,spiorad
300,Gedanke::N,шухӑш,smaoineamh
301,Gedächtnis::N,ас,cuimhne
302,Verstand::N,ӑс,ciall
303,Verstand::N,ӑс,intinn
304,Verstand::N,ӑс-тӑн,ciall
305,Verstand::N,ӑс-тӑн,intinn
306,Verstand::N,ӑс-хакӑл,ciall
307,Verstand::N,ӑс-хакӑл,intinn
308,Sinn::N,тупсӑм,brí
309,Sinn::N,тупсӑм,ciall
310,Sinn::N,пӗлтерӗш,brí
311,Sinn::N,пӗлтерӗш,ciall
312,Grund::N,сӑлтав,fáth
313,Wahrheit::N,чӑнлӑх,fírinne
314,Gespräch::N,калаҫу,comhrá
315,Märchen::N,юмах,scéal
316,Erzählung::N,акалав,scéal
317,Erzählung::N,каласа пани,scéal
318,Nachricht::N,хыпар,teachtaireacht
319,Neuigkeit::N,ҫӗнӗ хыпар,scéala
320,Name::N,ят,ainm
321,Rätsel::N,сутмалли юмах,tomhas
322,Rede::N,сӑмах,óráid
323,Rede::N,сӑмах,aitheasc
324,Sprache::N,чӗлхе,teanga
325,Stimme::N,сасӑ,guth
326,Wort::N,сӑмах,focal
327,Zeichen::N,паллӑ,comhartha
328,Ruf::N,йыхрав,glaoch
329,Ruf::N,чӗнӳ,glaoch
330,Lärm::N,шав,torann
331,Laut::N,сасӑ,fuaim
332,Ton::N,сасӑ,ton
333,Lied::N,юрӑ,amhrán
334,Ruhe::N,канӑҫлӑх,suaimhneas
335,Ruhe::N,лӑпкӑлӑх,suaimhneas
336,Leute::N,ҫамрӑксем,muintir
337,Leute::N,ҫамрӑк ҫынсем,muintir
338,Volk::N,халӑх,pobal
339,Arbeit::N,ӗҫхӗл,obair
340,Arbeit::N,ӗҫлев,obair
341,Gast::N,хӑна,aoi
342,Geschenk::N,парне,féirín
343,Geschenk::N,парне,bronntanas
344,Geschenk::N,кучченеҫ,féirín
345,Geschenk::N,кучченеҫ,bronntanas
346,Spiel::N,вӑйӑ,cluiche
347,Gesellschaft::N,общество,comhluadar
348,Hilfe::N,пулӑшу,cúnamh
349,Hilfe::N,пулӑшу,cabhair
350,Freund::N,тус,cara
351,Kamerad::N,юлташ,comrádaí
352,Kamerad::N,тус,comrádaí
353,Angelegenheit::N,ӗҫ,ábhar
354,Anzahl::N,йыш,líon
355,Anzahl::N,хисеп,líon
356,Art::N,тӗс,sórt
357,Art::N,тӗс,saghas
358,Stück::N,татӑк,píosa
359,Teil::N,пай,cuid
360,Teil::N,пай,páirt
361,Hälfte::N,ҫурӑ,leath
362,Kreis::N,ункӑ,ciorcal
363,Kreis::N,ҫавракӑш,ciorcal
364,Kreuz::N,хӗрес,cros
365,Linie::N,йӗр,líne
366,Strich::N,йӗр,stríoc
367,Abstand::N,хушӑ,achar
368,Entfernung::N,хушӑ,fad
369,Gegend::N,вырӑн,ceantar
370,Platz::N,хутлӑх,áit
371,Platz::N,хутлӑх,spás
372,Ort::N,вырӑн,áit
373,Seite::N,ен,taobh
374,Seite::N,аяк,taobh
375,Seite::N,айӑк,taobh
376,Mitte::N,варӑ,lár
377,Gegenstand::N,япала,ball
378,Gegenstand::N,япала,ábhar
379,Sache::N,япала,ní
380,Sache::N,япала,rud
381,Rand::N,вӗҫ,imeall
382,Rand::N,вӗҫ,ciumhais
383,Rand::N,хӗрӗ,imeall
384,Rand::N,хӗрӗ,ciumhais
385,Rand::N,хӗрри,imeall
386,Rand::N,хӗрри,ciumhais
387,Kante::N,хайкача,corr
388,Kante::N,хайкача,colbha
389,Kante::N,хысак,corr
390,Kante::N,хысак,colbha
391,Ecke::N,кӗтес,coirnéal
392,Spitze::N,вӗҫ,gob
393,Spitze::N,вӗҫ,barr
394,Ende::N,вӗҫ,ceann
395,Ende::N,вӗҫ,foirceann
396,Loch::N,шӑтӑк,poll
397,Winkel::N,кӗтес,cúinne
398,Winkel::N,кӗтес,uillinn
399,Muster::N,эреш,patrún
400,Größe::N,пысӑкӑш,méid
401,Größe::N,пысӑкӑш,toise
402,Länge::N,вӑрӑмӑш,fad
403,Höhe::N,ҫӳллӗш,airde
404,Gewicht::N,виҫе,meáchan
405,Gewicht::N,йывӑрӑш,meáchan
406,Menge::N,йыш,méid
407,Haufen::N,купа,cnap
408,Reihe::N,рет,líne
409,Reihe::N,рет,sraith
410,Boot::N,кимӗ,bád
411,Ruder::N,кӗсмен,rámh
412,Ruder::N,кӗсмен,maide rámha
413,Schlitten::N,ҫуна,carr sleamhnáin
414,Ski::N,йӗлтӗр,scí
415,Lagerfeuer::N,вут,tine champa
416,Lagerfeuer::N,кӑвайт,tine champa
417,Last::N,сулмаклӑх,ualach
418,Last::N,йывӑр япала,ualach
419,Gang::N,куҫӑм,siúlóid
420,Schritt::N,утӑм,céim
421,Schritt::N,утӑм,coiscéim
422,Schritt::N,пусӑм,céim
423,Schritt::N,пусӑм,coiscéim
424,Norden::N,ҫурҫӗр,tuaisceart
425,Süden::N,кӑнтӑр,deisceart
426,Westen::N,анӑҫ,iarthar
427,Westen::N,хӗвел анӑҫ,iarthar
428,Osten::N,хӗвел тухӑҫ,oirthear
429,Holz::N,йывӑҫ,adhmad
430,Brett::N,хӑма,clár
431,Platte::N,плита,leac
432,Stütze::N,ура,taca
433,Stange::N,шерте,polla
434,Stange::N,шерте,cuaille
435,Stock::N,патак,bata
436,Stock::N,патак,maide
437,Stab::N,шӑчӑ,maide
438,Stab::N,шӑчӑ,bachall
439,Rohr::N,пӑрӑх,píopa
440,Haus::N,ҫурт,teach
441,Heim::N,кил,baile
442,Ofen::N,кӑмака,sornóg
443,Fußboden::N,урай,urlár
444,Tisch::N,сӗтел,bord
445,Tisch::N,сӗтел,tábla
446,Stuhl::N,пукан,cathaoir
447,Wiege::N,сӑпка,cliabhán
448,Bett::N,кравать,leaba
449,Regal::N,ҫӳлӗк,seilf
450,Regal::N,сентре,seilf
451,Kiste::N,ещӗк,bosca
452,Kiste::N,сунтӑх,bosca
453,Fenster::N,чӳрече,fuinneoig
454,Tür::N,алӑк,doras
455,Tor::N,хапха,geata
456,Zaun::N,хӳме,fál
457,Zaun::N,хӳме,claí
458,Dach::N,тӑрӑ,díon
459,Leiter::N,пусма,dréimire
460,Besen::N,шӑпӑр,scuab
461,Spaten::N,кӗреҫе,spád
462,Spaten::N,кӗреҫе,rámhainn
463,Schaufel::N,кӗреҫе,sluasaid
464,Gabel::N,вилка,forc
465,Gabel::N,вилка,gabhlóg
466,Löffel::N,кашӑк,spúnóg
467,Messer::N,ҫӗҫӗ,scian
468,Nagel::N,пӑта,tairne
469,Netz::N,тетел,líon
470,Netz::N,тетел,eangach
471,Haken::N,йӑрхах,croch
472,Haken::N,ҫекӗл,croch
473,Griff::N,хӑлӑп,cos
474,Griff::N,хӑлӑп,hanla
475,Schloss::N,ҫӑра,glas
476,Bild::N,сӑн,pictiúr
477,Bild::N,сӑнлӑх,pictiúr
478,Bild::N,картина,pictiúr
479,Figur::N,кӗлетке,fíor
480,Puppe::N,пукане,bábóg
481,Beutel::N,михӗ,mála
482,Beutel::N,михӗ,mealbhóg
483,Bündel::N,ҫыхӑ,beart
484,Bündel::N,тӗрке,beart
485,Tasche::N,сумка,mála
486,Eimer::N,витре,buicéad
487,Deckel::N,хупӑ,clár
488,Deckel::N,хупӑ,claibín
489,Geschirr::N,савӑт-сапа,soithí
490,Geschirr::N,савӑт-сапа,gréithe
491,Sack::N,михӗ,sac
492,Sack::N,михӗ,mála
493,Tasse::N,курка,cupán
494,Topf::N,кастрюль,pota
495,Kessel::N,хуран,citeal
496,Essen::N,апат,béile
497,Nahrung::N,апат-ҫимӗс,bia
498,Speise::N,апат,mias
499,Speise::N,ҫимӗҫ,mias
500,Fleisch::N,аш,feoil
501,Fleisch::N,какай,feoil
502,Getreide::N,тырӑ,grán
503,Getreide::N,тырӑ,arbhar
504,Brei::N,пӑтӑ,brúitín
505,Brot::N,ҫӑкӑр,arán
506,Scheibe::N,чӗлӗ,píosa
507,Scheibe::N,чӗлӗ,slisne
508,Scheibe::N,касӑк,píosa
509,Scheibe::N,касӑк,slisne
510,Fett::N,ҫу,saill
511,Fett::N,ҫу,méathras
512,Butter::N,ҫу,im
513,Öl::N,ҫу,ola
514,Salz::N,тӑвар,salann
515,Suppe::N,яшка,sú
516,Suppe::N,яшка,anraith
517,Honig::N,пыл,mil
518,Milch::N,сӗт,bainne
519,Tee::N,чей,tae
520,Leder::N,сӑран,leathar
521,Wolle::N,ҫӑм,olann
522,Stoff::N,тӗртӗм,éadach
523,Nadel::N,йӗп,snáthaid
524,Faden::N,ҫип,snáth
525,Knopf::N,тӳме,cnaipe
526,Knoten::N,йӑлӑ,snaidhm
527,Farbe::N,сӑрӑ,péint
528,Kleidung::N,тум,éadaí
529,Kleidung::N,ҫипуҫ,éadaí
530,Kleidung::N,тум-тир,éadaí
531,Hemd::N,кӗпе,léine
532,Kragen::N,ҫуха,bóna
533,Ärmel::N,ҫанӑ,muinchille
534,Hose::N,шӑлавар,bríste
535,Hose::N,шӑлавар,treabhsar
536,Gürtel::N,пиҫиххи,crios
537,Mütze::N,ҫӗлӗк,caipín
538,Schuh::N,пушмак,bróg
539,Schuh::N,ботинок,bróg
540,Stiefel::N,атӑ,buatais
541,Ring::N,ҫӗрӗ,fáinne
542,Band::N,хаю,ribín
543,Band::N,йӗсме,ribín
544,Kamm::N,тура,cíor
545,Spiegel::N,тӗкӗр,scáthán
546,Spiegel::N,куҫ кӗски,scáthán
547,Riemen::N,чӗн,iall
548,Riemen::N,чӗн,strapa
549,Schnur::N,кантра,téad
550,Schnur::N,кантра,sreangán
551,Leine::N,касмӑк,iall
552,Decke::N,утиял,pluid
553,Decke::N,утиял,blaincéad
554,Kissen::N,ҫытар,piliúr
555,Kissen::N,ҫытар,adhartán
556,Kissen::N,минтер,piliúr
557,Kissen::N,минтер,adhartán
558,Tuch::N,тутӑр,scaif
559,Handtuch::N,ал шӑлли,tuáille
560,Kraft::N,вӑй,fórsa
561,Kraft::N,хӑват,fórsa
562,Stärke::N,хал,neart
563,Stärke::N,хӑват,neart
564,Gesundheit::N,хал,sláinte
565,Gesundheit::N,сывлӑх,sláinte
566,Krankheit::N,чир,tinneas
567,Krankheit::N,чир,breoiteacht
568,Schmerz::N,ырату,pian
569,Wunde::N,суран,goin
570,Fieber::N,сив чир,fiabhras
571,Arznei::N,эмел,cógas
572,Brücke::N,кӗпер,droichead
573,Brunnen::N,ҫӑл,tobar
574,Brunnen::N,пусӑ,tobar
575,Weide::N,ҫаран,féarach
576,Pfad::N,йӗр,cosán
577,Pfad::N,йӗр,conair
578,Pfad::N,сукмак,cosán
579,Pfad::N,сукмак,conair
580,Weg::N,ҫул,slí
581,Weg::N,ҫул,bealach
582,Weg::N,ҫул-йӗр,slí
583,Weg::N,ҫул-йӗр,bealach
584,Straße::N,ҫӳрев,bóthar
585,Straße::N,ҫул ҫӳрени,bóthar
586,Dorf::N,ял,sráidbhaile
587,Stadt::N,хула,baile
588,Stadt::N,хула,cathair
589,Brief::N,ҫыру,litir
590,Buch::N,кӗнеке,cín
591,Buch::N,кӗнеке,leabhar
592,Buchstabe::N,сас палли,litir
593,Zeitung::N,хаҫат,nuachtán
594,Leben::N,пурнӑҫ,saol
595,Leben::N,пурнӑҫ,beatha
596,Tod::N,вилӗм,bás
597,Grab::N,масар шӑтӑкӗ,uaigh
598,Kirche::N,чиркӳ,eaglais
599,Sünde::N,ҫылӑх,peaca
600,Gott::N,турӑ,dia
601,Arbeiter::N,рабочи,oibrí
602,Chef::N,пуҫлӑх,saoiste
603,Chef::N,пуҫлӑх,ceannasaí
604,Meister::N,ӑста,máistir
605,Meister::N,мастер,máistir
606,Arzt::N,врач,lia
607,Arzt::N,врач,dochtúir
608,Arzt::N,тухтӑр,lia
609,Arzt::N,тухтӑр,dochtúir
610,Lehrer::N,учитель,oide
611,Lehrer::N,учитель,múinteoir
612,Lehrer::N,вӗрентекен,oide
613,Lehrer::N,вӗрентекен,múinteoir
614,Geld::N,укҫа,airgead
615,Geschäft::N,бизнес,gnó
616,Laden::N,магазин,siopa
617,Preis::N,хак,praghas
618,Ware::N,тавар,earra
619,Nutzen::N,пайта,tairbhe
620,Reichtum::N,мул,rachmas
621,Reichtum::N,мул,saibhreas
622,Welt::N,тӗнче,domhan
623,Land::N,ҫӗр-шыв,tír
624,Staat::N,патшàлӑх,stát
625,König::N,король,rí
626,Macht::N,власть,cumhacht
627,Grenze::N,чикӗ,críoch
628,Grenze::N,чикӗ,teorainn
629,Krieg::N,вӑрҫӑ,cogadh
630,Feind::N,тӑшман,namhaid
631,Gewalt::N,ирӗксӗрлӳ,foréigean
632,Kampf::N,кӗрешӳ,troid
633,Bogen[Waffe]::N,ухӑ,bogha
634,Pfeil::N,ҫӗмрен,saighead
635,Pfeil::N,ухӑ йӗппи,saighead
636,Gewehr::N,пӑшал,gunna
637,Fehler::N,йӑнӑш,botún
638,Fehler::N,йӑнӑш,meancóg
639,Lüge::N,суя,bréag
640,Lüge::N,суя,éitheach
641,Lüge::N,ултав,bréag
642,Lüge::N,ултав,éitheach
643,Schaden::N,сиен,dochar
644,Schaden::N,сиен,damáiste
645,Unglück::N,шар,drochrath
646,Unglück::N,инкек,drochrath
647,Schuld::N,айӑп,locht
648,Schuld::N,айӑп,milleán
649,Alter::N,ҫул шучӗ,aois
650,Schluss::N,пӗтни,deireadh
651,Schluss::N,пӗтмӗш,deireadh
652,Zeit::N,вӑхӑт,am
653,Zeit::N,вӑхӑт,aimsir
654,Tag::N,кун,lá
655,Morgen::N,ир,maidin
656,Mittag::N,кӑнтӑрла,nóin
657,Abend::N,каҫ,tráthnóna
658,Nacht::N,каҫ,oíche
659,Woche::N,эрне,seachtain
660,Monat::N,уйӑх,mí
661,Jahr::N,ҫулталӑк,bliain
662,Frühling::N,ҫур,earrach
663,Frühling::N,ҫуркунне,earrach
664,Sommer::N,ҫу,samhradh
665,Sommer::N,ҫулла,samhradh
666,Herbst::N,кӗр,fómhar
667,Herbst::N,кӗркунне,fómhar
668,Winter::N,хӗл,geimhreadh
669,Winter::N,хӗлле,geimhreadh
670,Januar::N,январь,Eanáir
671,Februar::N,февраль,Feabhra
672,Februar::N,кӗҫӗн кӑрлач,Feabhra
673,März::N,март,Márta
674,März::N,пуш уйӑхӗ,Márta
675,April::N,апрель,Aibreán
676,Mai::N,май,Bealtaine
677,Juni::N,июнь,Meitheamh
678,Juli::N,июль,Iúil
679,August::N,август,Lúnasa
680,September::N,сентябрь,Meán Fómhair
681,September::N,авӑн уйӑхӗ,Meán Fómhair
682,Oktober::N,октябрь,Deireadh Fómhair
683,November::N,ноябрь,Samhain
684,November::N,ноябрь,Mí na Samhna
685,Dezember::N,раштав,Mí na Nollag
686,Dezember::N,декабрь,Mí na Nollag
687,Montag::N,тунти кун,Luan
688,Montag::N,тунти кун,Dé Luain
689,Dienstag::N,ытлари кун,Máirt
690,Dienstag::N,ытлари кун,Dé Máirt
691,Mittwoch::N,юн кун,Céadaoin
692,Mittwoch::N,юн кун,Dé Céadaoin
693,Donnerstag::N,кӗҫнерни кун,Déardaoin
694,Freitag::N,эрне кун,Aoine
695,Freitag::N,эрне кун,Dé hAoine
696,Samstag::N,шӑмат кун,Satharn
697,Samstag::N,шӑмат кун,Dé Sathairn
698,Sonntag::N,вырсарни кун,Domhnach
699,Sonntag::N,вырсарни кун,Dé Domhnaigh
700,groß::A,пысӑк,mór
701,klein::A,пӗчӗк,beag
702,lang::A,вӑрӑм,fada
703,kurz::A,кӗске,gearr
704,kurz::A,кӗске,gairid
705,breit::A,сарлака,leathan
706,breit::A,сарлака,fairsing
707,schmal::A,ансӑр,cúng
708,dicht::A,йӑвӑ,dlúth
709,dick[Gegenstand]::A,хулӑн,tiubh
710,dünn::A,ҫинҫе,caol
711,dünn::A,ҫинҫе,tanaí
712,dünn::A,ҫӳхе,caol
713,dünn::A,ҫӳхе,tanaí
714,fein::A,тарай,scáinte
715,fein::A,тарай,fíneálta
716,fein::A,вӗлтӗрти,scáinte
717,fein::A,вӗлтӗрти,fíneálta
718,fest::A,тӗреклӗ,daingean
719,flach::A,лаптак,cothrom
720,glatt::A,такӑр,mín
