,Concept_ID,kv,kl
226,Eisen::N,кӧрт,saffiugassaq
227,Gold::N,зарни,kuulti
228,Silber::N,язісь,siilviuvoq
229,Kohle::N,шом,aamarsuit aamaruutissat
230,Kohle::N,уголь,aamarsuit aamaruutissat
231,Glas::N,стекло,igalaaq
232,Glas::N,стекло,imertarfik
233,Glas::N,стекло,igalaamineq
234,Lehm::N,сёй,marraq
235,Sand::N,лыа,sioqqat
236,Mensch::N,морт,inuk
237,Mensch::N,морт,silamiu
238,Mann::N,мужик,angut
239,Frau::N,инька,arnaq
240,Kind::N,кага,meeraq
241,Junge::N,зонка,nukappiaraq
242,Mädchen::N,нывкаок,arnannguaq
243,Familie::N,семья,ilaqutakka
244,Familie::N,семья,ilaqutariit
245,Großvater::N,дед,aatak
246,Großmutter::N,баб,aanaq
247,Eltern::N,ай-мам,angajoqqaat
248,Vater::N,ай,ataata
249,Vater::N,ай,ataataq
250,Mutter::N,мам,anaana
251,Sohn::N,зон,erneq
252,Tochter::N,ныв,panik
253,Bruder::N,вон,ani
254,Bruder::N,вон,aqqaluk
255,Bruder::N,вон,qatanngut
256,Schwester::N,сой,naja
257,Schwester::N,сой,aleqa
258,Schwester::N,сой,qatanngut
259,Onkel::N,дядь,akkak
260,Tante::N,айӧлӧн сой,aja
261,Tante::N,айӧлӧн сой,ajak
262,Tante::N,айӧлӧн сой,atsak
263,Tante::N,ичинь,aja
264,Tante::N,ичинь,ajak
265,Tante::N,ичинь,atsak
266,Ehemann::N,жӧник,ui
267,Ehefrau::N,инь,nuliaq
268,Freude::N,гаж,tipaatsussuseq
269,Freude::N,радъялӧм,tipaatsussuseq
270,Gelächter::N,сералӧм,illaq
271,Glück::N,мичлун,usornaat
272,Glück::N,мичлун,usornarsuseq
273,Kummer::N,шог,
274,Wunsch::N,мӧдӧм,kissaat
275,Wunsch::N,охотитӧм,kissaat
276,Lust::N,охота,illigussuseq
277,Lust::N,охота,piummaseq
278,Geist::N,лов,anerneq
279,Geist::N,лов,toornaq
280,Gedanke::N,дума,isumassaq
281,Gedächtnis::N,тӧдвыв,eqqaamannissuseq
282,Verstand::N,вежӧр,isuma
283,Verstand::N,вежӧр,sianissut
284,Verstand::N,вежӧр,misigissut
285,Verstand::N,вежӧр,sianissuseq
286,Verstand::N,вежӧр,silaqassuseq
287,Sinn::N,ылӧс,isuma
288,Grund::N,мог,patsit
289,Wahrheit::N,правда,sallusuissut
290,Gespräch::N,сёрни,
291,Märchen::N,сказка,oqalualaarut
292,Märchen::N,сказка,oqaluasaaq
293,Erzählung::N,висьт,oqaluttuaq
294,Nachricht::N,юӧр,oqaassut
295,Nachricht::N,юӧр,oqqersuut
296,Nachricht::N,висьталӧм,oqaassut
297,Nachricht::N,висьталӧм,oqqersuut
298,Neuigkeit::N,новость,tusarnartaq
299,Name::N,ним,ateq
300,Rätsel::N,загадка,nalorsitsaarut
301,Rede::N,сёрни,oqaluuseq
302,Sprache::N,кыв,oqaatsit
303,Stimme::N,голос,erinaq
304,Stimme::N,голос,qarluuseq
305,Wort::N,кыв,oqaasii
306,Zeichen::N,пас,nalunaaqqut
307,Ruf::N,чуксӧм,qaaqqussut
308,Ruf::N,чукӧстӧм,qaaqqussut
309,Lärm::N,шум,perpaluk
310,Laut::N,шы,torsukattak
311,Ton::N,гор,erinaq
312,Lied::N,сьыланкыв,taalliaq
313,Lied::N,сьыланкыв,erinarsuut
314,Ruhe::N,спокой,qatsunganeq
315,Leute::N,йӧз,inuiak
316,Leute::N,йӧз,inuiaqatigiit
317,Volk::N,йӧз,inuiaat
318,Volk::N,народ,inuiaat
319,Arbeit::N,удж,suliaq
320,Gast::N,гӧсь,qaaqqusaq
321,Geschenk::N,гӧснеч,pajugut
322,Geschenk::N,подарок,pajugut
323,Spiel::N,орсӧм,
324,Gesellschaft::N,компания,
325,Hilfe::N,отсӧт,annertoqqut
326,Freund::N,модз,tiliaq
327,Freund::N,модз,ikinngut
328,Freund::N,дружок,tiliaq
329,Freund::N,дружок,ikinngut
330,Kamerad::N,тӧдса,tiliaq
331,Kamerad::N,тӧдса,ikinngut
332,Angelegenheit::N,дело,
333,Anzahl::N,лыд,
334,Art::N,пӧлӧс,ileqquuseq
335,Stück::N,тор,nakkaalaniku
336,Teil::N,юкӧм,tassiaasat
337,Hälfte::N,джын,affaq
338,Kreis::N,круг,kaajaluinneq or kaajaluitsoq
339,Kreuz::N,перна,sanningasulik
340,Linie::N,визь,tittaq
341,Linie::N,визь,titarneq
342,Strich::N,кырӧв,
343,Abstand::N,колас,aku
344,Abstand::N,колас,ikiaq
345,Entfernung::N,ылына,asi
346,Gegend::N,места,nuna
347,Platz::N,места,ini
348,Platz::N,места,inissaq
349,Ort::N,места,sumiiffik
350,Seite::N,ладор,saneraq
351,Mitte::N,шӧр,qiteq
352,Gegenstand::N,тор,
353,Sache::N,тор,pigisaq
354,Rand::N,дор,sini
355,Rand::N,дор,akerfineq
356,Kante::N,ордлы,akerfineq
357,Ecke::N,пельӧс,teqeqqoq
358,Ecke::N,пельӧс,tikeqqoq
359,Spitze::N,йыв,inngik
360,Ende::N,йыв,isu
361,Loch::N,осьта,putu
362,Winkel::N,пельӧс,teqeqqorissaat
363,Muster::N,сер,ilisserut
364,Größe::N,ыжда,angissuseq
365,Länge::N,кузя,takissuseq
366,Höhe::N,сувда,
367,Höhe::N,вылына,
368,Gewicht::N,сьӧкта,oqimaalutaq
369,Haufen::N,куча,eqimattat
370,Reihe::N,лёдз,allunaasaq
371,Boot::N,пыж,qajaq
372,Boot::N,пыж,angallat
373,Boot::N,пыж,umiatsiaq
374,Ruder::N,пелыс,iput
375,Schlitten::N,додь,qamutit
376,Schlitten::N,додь,qimusseq
377,Ski::N,лямпа,ataarut
378,Lagerfeuer::N,бипур,
379,Last::N,тягота,nammagaq
380,Gang::N,мунӧм,
381,Schritt::N,вожмӧв,allorneq
382,Norden::N,ой,avannaq
383,Süden::N,лун,qava
384,Süden::N,лун,kujat
385,Süden::N,лун,kujataa
386,Westen::N,рытвыв,kitaa
387,Osten::N,асыв,kangi
388,Holz::N,пу,qisuk
389,Brett::N,пӧв,salliligaq
390,Platte::N,плита,qaateq
391,Stütze::N,пика,ajagutaq
392,Stütze::N,пика,ajaagutaq
393,Stange::N,зор,kaaviffik
394,Stange::N,потш,kaaviffik
395,Stock::N,бедь,ajaappissat
396,Stab::N,шест,ajaappissat
397,Rohr::N,труба,sullulik
398,Haus::N,керку,illu
399,Heim::N,керку,
400,Ofen::N,пӧжавны,kissarsuut
401,Fußboden::N,джодж,nateq
402,Tisch::N,пызан,allattarfik
403,Stuhl::N,стул,issiavik
404,Stuhl::N,стул,issiaffik
405,Wiege::N,зыбка,uaasoq
406,Bett::N,кровать,nallavik
407,Regal::N,джадж,ilisivik
408,Kiste::N,ящик,sakissat
409,Kiste::N,ящик,illerfiusaq
410,Fenster::N,ӧшын,aki
411,Fenster::N,ӧшын,igalaaq
412,Tür::N,ыбӧс,matu
413,Tor::N,ворота,isaaffik
414,Zaun::N,забор,saputit
415,Dach::N,крыша,qaliaq
416,Leiter::N,лиснич,tummeqqat
417,Leiter::N,лиснич,majuartarfiit
418,Besen::N,рос,saligutit
419,Spaten::N,зыр,nivaataq
420,Schaufel::N,зыр,nivaataq
421,Gabel::N,вила,qilluaq
422,Gabel::N,вила,ajassaatit
423,Löffel::N,пань,alussaat
424,Messer::N,пурт,savik
425,Nagel::N,кӧрттув,kukik
426,Netz::N,кыйӧт,anguffaseq
427,Haken::N,ем,nissik
428,Haken::N,ем,qarsorsaq
429,Haken::N,ем,qarsorsartoq
430,Griff::N,пу,ipi
431,Schloss::N,замок,illussaarsuaq
432,Bild::N,картина,assiliaq
433,Figur::N,мыгӧр,kisitsit
434,Puppe::N,акань,inuusaq
435,Beutel::N,мешӧк,
436,Bündel::N,нин,qilertaq
437,Tasche::N,сумка,pooqattaq
438,Eimer::N,ведра,
439,Deckel::N,вевт,matu
440,Geschirr::N,доз,anut
441,Geschirr::N,бекӧрпань,anut
442,Sack::N,мешӧк,
443,Tasse::N,бекӧр,tiitorfik
444,Tasse::N,бекӧр,tiitorfiup ilorlia
445,Topf::N,кастрюля,qoqqoq
446,Kessel::N,пӧрт,uunnaavik
447,Essen::N,сёйӧм,igaaq
448,Nahrung::N,вердан,neqissaq
449,Speise::N,сёян,nerisassat
450,Fleisch::N,яй,neqi
451,Getreide::N,сю,maannineq
452,Brei::N,каша,
453,Brot::N,нянь,iffit
454,Brot::N,нянь,iffiaq
455,Scheibe::N,шӧрӧм,igalaassiaq
456,Fett::N,гос,tarnutissaq
457,Fett::N,гос,tarnutissiaq
458,Butter::N,ви,punneq
459,Öl::N,ви,uulia
460,Salz::N,сов,taratsut
461,Suppe::N,шыд,qajoq
462,Honig::N,ма,tungusunnitsuut
463,Milch::N,йӧв,immuk
464,Tee::N,чай,tii
465,Tee::N,чай,teeq
466,Leder::N,кучик,
467,Wolle::N,гӧн,nuersagassiaq
468,Stoff::N,дӧра,milliaq
469,Stoff::N,дӧра,qarlissiaq
470,Nadel::N,ем,meqqut
471,Faden::N,сунис,ujalussiaq
472,Knopf::N,кизь,attat
473,Knoten::N,узӧв,akeroq
474,Knoten::N,узӧв,qilerneq
475,Knoten::N,гӧрӧд,akeroq
476,Knoten::N,гӧрӧд,qilerneq
477,Farbe::N,краска,qalipaat
478,Kleidung::N,паськӧм,atisat
479,Kleidung::N,паськӧм,annoraaq
480,Hemd::N,йӧрнӧс,ilupaaq
481,Kragen::N,воротник,qungasiinnaq
482,Ärmel::N,сос,aaq
483,Hose::N,вешьян,qarliit
484,Gürtel::N,йи,qiterut
485,Gürtel::N,йи,unngersaq
486,Mütze::N,шапка,nasaq
487,Schuh::N,ботинки,skuu
488,Schuh::N,ботинки,ikernuk
489,Schuh::N,ботинки,ateraasaq
490,Stiefel::N,сапог,kamik
491,Ring::N,чунькытш,assammiu
492,Band::N,ленточка,qilerutissiaq
493,Kamm::N,сынан,illaagutit
494,Kamm::N,сынан,illaajaatit pl.
495,Spiegel::N,зеркало,tarrarsuut
496,Riemen::N,ремень,allunaaq
497,Schnur::N,гез,kujaaq
498,Schnur::N,гез,allunaasaq
499,Leine::N,повод,aleq
500,Decke::N,одеяло,qipik
501,Kissen::N,подушка,akit
502,Tuch::N,чышьян,qarlissiaq
503,Handtuch::N,чышкӧт,allarut
504,Handtuch::N,чышкӧт,allarterut
505,Kraft::N,прак,pissak
506,Stärke::N,вын,qerattarsaat
507,Gesundheit::N,здоровье,peqqisusseq
508,Krankheit::N,шог,nappaat
509,Schmerz::N,зубыт,anniaat
510,Wunde::N,рана,iki
511,Fieber::N,лёк тресся,nappaat qanimanartoq
512,Fieber::N,кынтан шогӧт,nappaat qanimanartoq
513,Arznei::N,лекарство,imigassaq
514,Brücke::N,пос,ikaartarfik
515,Brunnen::N,колодец ,tissaluttuliaq
516,Weide::N,пода йирсян,masarsuk
517,Pfad::N,туй,aqqut
518,Weg::N,туй,aggerfik
519,Straße::N,туй,aqqusineq
520,Dorf::N,деревня,nunaqarfik
521,Stadt::N,город,illorpaat
522,Stadt::N,город,illorpalik
523,Brief::N,гижӧт,allagarsiaq
524,Buch::N,книга,atuakkat
525,Buch::N,книга,mappersagaq
526,Buchstabe::N,буква,naqinneq
527,Zeitung::N,газета,aviisi
528,Leben::N,олан,inuussuseq
529,Tod::N,кулӧм,toqu
530,Tod::N,кулӧм,toquneq
531,Grab::N,гу,iliveq
532,Grab::N,гу,illissat
533,Kirche::N,вичку,oqaluffik
534,Sünde::N,грек,ajorti
535,Gott::N,ен,
536,Arbeiter::N,уджалiсь,sulisoq
537,Chef::N,начальник,ittoqut
538,Meister::N,мастер,naalagaq
539,Arzt::N,врач,katsorsaasoq
540,Lehrer::N,велӧтісь,ilinniartitsisoq
541,Geld::N,деньга,aningaasat
542,Geschäft::N,удж,niuertarfik
543,Laden::N,магазин,niuertarfik
544,Preis::N,дон,aki
545,Ware::N,товар,qaliata pii
546,Ware::N,товар,nioqqutissaq
547,Nutzen::N,путь,iluaqut
548,Reichtum::N,богатство,
549,Welt::N,му,nunarsuaq
550,Land::N,страна,nuna
551,Staat::N,государство,
552,König::N,кан,kunngi
553,Macht::N,власть,pissaassuseq
554,Grenze::N,граница,killik
555,Krieg::N,война,sorsunneq
556,Feind::N,враг,akeraq
557,Feind::N,враг,akerartorti
558,Feind::N,враг,qinngarsuisoq
559,Kampf::N,нярасьӧм,sorsunneq
560,Kampf::N,вермасьӧм,sorsunneq
561,Bogen[Waffe]::N,лук,
562,Pfeil::N,ньӧв,qalugiusaq
563,Gewehr::N,ружьё,aallaat
564,Fehler::N,ошибка,kukkuneq
565,Fehler::N,ошибка,paarlaappaa
566,Lüge::N,ылӧтӧм,
567,Lüge::N,пӧрьялӧм,
568,Schaden::N,лёк,
569,Unglück::N,пик,perluut
570,Unglück::N,оказзё,perluut
571,Schuld::N,вина,akiitsugaq
572,Schuld::N,вина,akiligassaq
573,Schluss::N,ком,isu
574,Zeit::N,кад,ulloq
575,Zeit::N,кад,akuttoqatigiinneq
576,Tag::N,лун,ulloq
577,Morgen::N,асыв,ullaaq
578,Mittag::N,луншӧр кад,ulloqeqqa
579,Abend::N,рыт,unnuk
580,Nacht::N,ой,unnuaq
581,Woche::N,неделя,sapaatip akunnera
582,Monat::N,тӧлicь,qaammat
583,Jahr::N,год,ukioq
584,Frühling::N,тулыс,upernaaq
585,Sommer::N,гожум,aasaq
586,Herbst::N,ар,ukiaq
587,Winter::N,тӧв,ukioq
588,Januar::N,январ,siulleeq
589,Januar::N,январ,qaammaliaq
590,Februar::N,февраль,aarlaat
591,März::N,март,marsi
592,März::N,март,martsi
593,April::N,апрель,
594,Mai::N,май,maaji
595,Juni::N,юнь,juuni
596,Juli::N,юль,juuli
597,August::N,август,aggusti
598,September::N,сентяб,septembari
599,Oktober::N,октяб,oktobari
600,November::N,нояб,novembari
601,Dezember::N,декаб,detsembari
602,Montag::N,вильлун,ataasinngortoq
603,Dienstag::N,мӧдӧдзлун,marlunngorneq
604,Mittwoch::N,шӧрлун,pingasunngorneq
605,Donnerstag::N,нёльӧдзлун,sisamanngorneq
606,Freitag::N,витӧдзлун,tallimanngorneq
607,Samstag::N,пывсянлун,arfininngorneq
608,Sonntag::N,кресення,sapaat
609,Sonntag::N,кресення,sapaati
610,groß::A,ыджыт,angivoq
611,klein::A,учӧтик,mikivoq
612,lang::A,кузь,takisooq
613,kurz::A,дженыт,naatsoq
614,breit::A,ота,silippoq
615,schmal::A,векнит,amitsoq
616,dicht::A,тшӧк,torsusooq
617,dick[Gegenstand]::A,кыз,issuvoq
618,dick[Gegenstand]::A,кыз,issusooq
619,dünn::A,вӧснит,amitsoq
620,fein::A,вӧснит,mamarpoq
621,fest::A,крепыт,tangeqarpoq
622,flach::A,лапкӧса,nalimmappoq
623,glatt::A,волькыт,quasak
624,hart::A,чӧрыт,mattusooq
625,hart::A,чӧрыт,manngerpoq
626,hart::A,чӧрыт,titeqquluppoq
627,weich::A,небыт,nerumaarpoq
628,rund::A,гӧгрӧса,ammallorippoq
629,spitz::A,ёся,qummukujooq
630,scharf::A,лэчыт,ipippoq
631,stumpf::A,ныж,anngerpoq
632,schwer::A,сьӧкыт,oqimaappoq
633,schön::A,басӧк,kusanarpoq
634,heiß::A,жар,kiappoq
635,warm::A,шоныт,oqorpoq
636,kalt::A,кӧдзыт,issippoq
637,kühl::A,сайкыт,pueqqortippoq
638,frisch::A,виль,
639,feucht::A,вакодь,isugutavoq
640,feucht::A,вакодь,qaasernarpoq
641,nass::A,ва,imerorpoq
642,trocken::A,кӧс,panerpoq
643,voll::A,тыра,ulikkaarpoq
644,leer::A,тыртӧм,imaattuarpoq
645,offen::A,оссьӧм,ammavoq
646,geschlossen::A,игана,matuvoq
647,geschlossen::A,пӧдана,matuvoq
648,sauber::A,сӧдз,eqqippoq
649,sauber::A,сӧдз,sukuluippoq
650,sauber::A,сӧдз,ipeqanngilaq
651,sauber::A,сӧстӧм,eqqippoq
652,sauber::A,сӧстӧм,sukuluippoq
653,sauber::A,сӧстӧм,ipeqanngilaq
654,schmutzig::A,нятьӧсь,tapappoq
655,schmutzig::A,нятьӧсь,minguppoq
656,roh::A,путӧм,aapavoq
657,reif::A,кисьмалӧм,qaarulerpoq
658,lecker::A,кӧра ,
659,süß::A,чӧскыт,tungusunnippoq
660,bitter::A,курыт,qasilippoq
661,sauer::A,шӧма ,
662,hell::A,югыт,qaamavoq
663,dunkel::A,пемыт,qernerpoq
664,schwarz::A,сьӧд,qernerpoq
665,weiß::A,чочком,qaqorpoq
666,rot::A,гӧрд,aappaluppoq
667,gelb::A,веж,sungaarpoq
668,blau::A,лӧз,tungujorpoq
669,grün::A,веж,qorsooqqippoq
670,grau::A,руд,qaserpoq
671,grau::A,бусӧй,qaserpoq
672,bunt::A,быдрӧма,
673,billig::A,донтӧм,akikippoq
674,teuer::A,дона,
675,wertvoll::A,дона,erlinnarpoq
676,blind::A,синтӧм,tappiippoq
677,blind::A,синтӧм,isigisaqanngilaq
678,taub::A,пельтӧм,tusilarpoq
679,kräftig::A,вына,pissaq
680,kräftig::A,вына,pissarsuaq
681,stark::A,вына,sanngivoq
682,schwach::A,некодя,nakuippoq
683,fett::A,госа,pualavoq
684,schlank::A,статя,tuappoq
685,hübsch::A,басӧк,aatsialaq
686,böse::A,лёк,ajorpoq
687,dumm::A,бӧбӧв,taqajak
688,dumm::A,бӧбӧв,sikkilluppoq
689,dumm::A,бӧбӧв,qaatusimasaqanngilaq
690,dumm::A,вежӧртӧм,taqajak
691,dumm::A,вежӧртӧм,sikkilluppoq
692,dumm::A,вежӧртӧм,qaatusimasaqanngilaq
693,faul::A,дыш,eqiasuppoq
694,faul::A,дыш,eqiattortuvoq
695,fleißig::A,уджалicь,eqiasuippoq
696,geizig::A,жикмӧра,iasilaarpoq
697,geizig::A,жикмӧра,tukkuippoq
698,geizig::A,горшаліcь,iasilaarpoq
699,geizig::A,горшаліcь,tukkuippoq
700,klug::A,авья,mallak
701,klug::A,авья,ittanneq
702,klug::A,авья,kutaappoq
703,klug::A,авья,kuttaappoq
704,klug::A,авья,qarasagippoq
705,klug::A,вежӧра,mallak
706,klug::A,вежӧра,ittanneq
707,klug::A,вежӧра,kutaappoq
708,klug::A,вежӧра,kuttaappoq
709,klug::A,вежӧра,qarasagippoq
710,geschickt::A,кипода,
711,lieb::A,муса,akisooq
712,lieb::A,дзулиньӧй,akisooq
713,lustig::A,гажа,piikulavoq
714,sanft::A,лебезнӧй,isumagippoq
715,hungrig::A,тшыг,kaappoq
716,hungrig::A,тшыг,perlilerpoq
717,krank::A,шогалiсь,napparsimavoq
718,nackt::A,куш,
719,traurig::A,жугыль,aliasuppoq
720,lebendig::A,ловья,uumavoq
721,gut::A,бур,ajunngilaq
722,schlecht::A,умӧль,sualuppoq
723,schlimm::A,нештӧм,amiilaarnarpoq
724,alt::A,важ,pisoqaq
725,neu::A,виль,nutaavoq
726,ehemalig::A,вӧвлӧм,
727,alt[Lebewesen]::A,года,utoqqaq
728,alt[Lebewesen]::A,годдэза,utoqqaq
729,jung::A,том,inuusuppoq
730,jung::A,том,kingulliarsuk
731,arm::A,гов,piillasoq
732,arm::A,гов,piitsuuvoq
733,arm::A,беднӧй,piillasoq
734,arm::A,беднӧй,piitsuuvoq
735,reich::A,эма,pisuuvoq
736,bekannt::A,тӧдса,
737,fremd::A,чужӧй,ajasoornarpoq
738,verschieden::A,быдкодь,allatut
