,Concept_ID,es,it
273,Geist::N,mente,spìrito
274,Geist::N,espíritu,mente
275,Geist::N,espíritu,spìrito
276,Gedanke::N,idea,idea
277,Gedanke::N,idea,pensiero
278,Gedanke::N,pensamiento,idea
279,Gedanke::N,pensamiento,pensiero
280,Gedächtnis::N,memoria,memoria
281,Verstand::N,razón,intelletto
282,Verstand::N,entendimiento,intelletto
283,Sinn::N,sentido,senso
284,Sinn::N,sentido,significato
285,Sinn::N,significado,senso
286,Sinn::N,significado,significato
287,Grund::N,causa,causa
288,Grund::N,causa,motivo
289,Grund::N,causa,ragione
290,Wahrheit::N,verdad,verità
291,Gespräch::N,conversación,discorso
292,Gespräch::N,conversación,conversazione
293,Märchen::N,cuento,fiaba
294,Märchen::N,cuento,fàvola
295,Erzählung::N,cuento,racconto
296,Erzählung::N,cuento,narrazione
297,Erzählung::N,narración,racconto
298,Erzählung::N,narración,narrazione
299,Nachricht::N,mensaje,messaggio
300,Neuigkeit::N,noticia,notizia
301,Name::N,nombre,nome
302,Rätsel::N,acertijo,indovinello
303,Rätsel::N,adivinanza,indovinello
304,Rede::N,discurso,discorso
305,Sprache::N,lengua,lingua
306,Sprache::N,lengua,linguaggio
307,Stimme::N,voz,voce
308,Wort::N,palabra,parola
309,Zeichen::N,señal,segno
310,Zeichen::N,señal,segnale
311,Ruf::N,llamada,chiamata
312,Lärm::N,ruido,chiasso
313,Lärm::N,ruido,strèpito
314,Lärm::N,barullo,chiasso
315,Lärm::N,barullo,strèpito
316,Laut::N,sonido,suono
317,Ton::N,tono,tono
318,Lied::N,canción,canto
319,Lied::N,canción,canzone
320,Ruhe::N,calma,calma
321,Ruhe::N,calma,tranquillità
322,Ruhe::N,silencio,calma
323,Ruhe::N,silencio,tranquillità
324,Leute::N,gente,gente
325,Volk::N,pueblo,pòpolo
326,Arbeit::N,trabajo,lavoro
327,Gast::N,huésped,òspite
328,Gast::N,huésped,invitato
329,Gast::N,invitado,òspite
330,Gast::N,invitado,invitato
331,Geschenk::N,regalo,regalo
332,Spiel::N,juego,gioco
333,Gesellschaft::N,compañía,compagnìa
334,Hilfe::N,ayuda,aiuto
335,Hilfe::N,ayuda,soccorso
336,Hilfe::N,socorro,aiuto
337,Hilfe::N,socorro,soccorso
338,Freund::N,amigo,amico
339,Kamerad::N,camarada,camerata
340,Kamerad::N,compañero,camerata
341,Angelegenheit::N,asunto,affare
342,Angelegenheit::N,asunto,faccenda
343,Anzahl::N,cantidad,nùmero
344,Anzahl::N,cantidad,quantità
345,Art::N,tipo,tipo
346,Art::N,tipo,specie
347,Art::N,clase,tipo
348,Art::N,clase,specie
349,Stück::N,pieza,pezzo
350,Teil::N,parte,parte
351,Hälfte::N,mitad,metà
352,Kreis::N,círculo,cìrcolo
353,Kreuz::N,cruz,croce
354,Linie::N,línea,lìnea
355,Strich::N,raya,tratto
356,Strich::N,trazo,tratto
357,Abstand::N,distancia,distanza
358,Entfernung::N,distancia,distanza
359,Entfernung::N,distancia,lontananza
360,Gegend::N,región,regione
361,Gegend::N,comarca,regione
362,Platz::N,espacio,posto
363,Platz::N,espacio,spazio
364,Ort::N,sitio,luogo
365,Ort::N,sitio,località
366,Seite::N,lado,lato
367,Seite::N,lado,parte
368,Seite::N,costado,lato
369,Seite::N,costado,parte
370,Mitte::N,medio,mezzo
371,Mitte::N,medio,centro
372,Mitte::N,centro,mezzo
373,Mitte::N,centro,centro
374,Gegenstand::N,objeto,oggetto
375,Sache::N,cosa,cosa
376,Rand::N,borde,orlo
377,Rand::N,borde,bordo
378,Kante::N,borde,spìgolo
379,Ecke::N,esquina,canto
380,Spitze::N,punta,punta
381,Ende::N,cabo,capo
382,Ende::N,cabo,estremità
383,Ende::N,extremo,capo
384,Ende::N,extremo,estremità
385,Loch::N,agujero,buco
386,Loch::N,abertura,buco
387,Winkel::N,ángulo,àngolo
388,Muster::N,dibujo,disegno
389,Größe::N,tamaño,taglia
390,Größe::N,tamaño,grandezza
391,Länge::N,longitud,lunghezza
392,Höhe::N,altura,altezza
393,Höhe::N,altitud,altezza
394,Gewicht::N,peso,peso
395,Menge::N,cantidad,quantità
396,Haufen::N,montón,cùmulo
397,Haufen::N,montón,mucchio
398,Reihe::N,fila,fila
399,Boot::N,bote,barca
400,Boot::N,bote,battello
401,Boot::N,barca,barca
402,Boot::N,barca,battello
403,Ruder::N,remo,remo
404,Schlitten::N,trineo,slitta
405,Ski::N,esquí,sci
406,Lagerfeuer::N,hoguera,falò
407,Lagerfeuer::N,hoguera,fuoco di bivacco
408,Last::N,carga,càrico
409,Gang::N,marcha,andata
410,Schritt::N,paso,passo
411,Norden::N,norte,nord
412,Norden::N,norte,settentrione
413,Süden::N,sur,sud
414,Süden::N,sur,meridione
415,Westen::N,oeste,òvest
416,Westen::N,oeste,occidente
417,Osten::N,este,est
418,Osten::N,este,oriente
419,Holz::N,madera,legno
420,Brett::N,tabla,asse
421,Brett::N,tabla,tàvola
422,Platte::N,placa,lastra
423,Platte::N,placa,piastra
424,Platte::N,plancha,lastra
425,Platte::N,plancha,piastra
426,Stütze::N,sostén,supporto
427,Stütze::N,soporte,supporto
428,Stange::N,vara,sbarra
429,Stange::N,vara,pèrtica
430,Stange::N,percha,sbarra
431,Stange::N,percha,pèrtica
432,Stock::N,palo,verga
433,Stock::N,palo,bastone
434,Stock::N,palo,bacchetta
435,Stock::N,bastón,verga
436,Stock::N,bastón,bastone
437,Stock::N,bastón,bacchetta
438,Stab::N,vara,asta
439,Stab::N,bastón,asta
440,Rohr::N,tubo,tubo
441,Haus::N,casa,casa
442,Heim::N,hogar,casa
443,Ofen::N,estufa,stufa
444,Fußboden::N,suelo,pavimento
445,Tisch::N,mesa,tàvolo
446,Stuhl::N,silla,sedia
447,Wiege::N,cuna,culla
448,Bett::N,cama,letto
449,Regal::N,estantería,scaffale
450,Kiste::N,caja,cassa
451,Fenster::N,ventana,finestra
452,Tür::N,puerta,porta
453,Tor::N,puerta,portone
454,Zaun::N,valla,recinto
455,Zaun::N,cercado,recinto
456,Dach::N,techo,tetto
457,Dach::N,tejado,tetto
458,Leiter::N,escalera,scala
459,Leiter::N,escalera,scala a pioli
460,Besen::N,escoba,scopa
461,Spaten::N,pala,vanga
462,Schaufel::N,pala,pala
