,Concept_ID,no,da
85,Frost::N,frost,frost
86,Kälte::N,kulde,kulde
87,Hitze::N,hete,hede
88,Raureif::N,rimfrost,rimfrost
89,Regenbogen::N,regnbue,regnbue
90,Donner::N,torden,torden
91,Strömung::N,strømning,strømning
92,Tropfen::N,dråpe,dråbe
93,Schaum::N,skum,skum
94,Schmutz::N,søl,snavs
95,Schmutz::N,skitt,snavs
96,See::N,sjø,sø
97,Sumpf::N,sump,sump
98,Sumpf::N,myrlende,sump
99,Moor::N,myr,mose
100,Moor::N,myrhei,mose
101,Wiese::N,eng,eng
102,Wald::N,skog,skov
103,Hügel::N,haug,høj
104,Hügel::N,haug,bakke
105,Hügel::N,bakke,høj
106,Hügel::N,bakke,bakke
107,Anhöhe::N,haug,høj
108,Anhöhe::N,haug,bakke
109,Anhöhe::N,bakke,høj
110,Anhöhe::N,bakke,bakke
111,Berg::N,berg,bjerg
112,Berg::N,fjell,bjerg
113,Gipfel::N,topp,top
114,Höhle::N,hule,hule
115,Abhang::N,li,skrænt
116,Abhang::N,li,skråning
117,Abhang::N,skråning,skrænt
118,Abhang::N,skråning,skråning
119,Quelle::N,kilde,kilde
120,Bach::N,bekk,bæk
121,Fluss::N,elv,flod
122,Ufer::N,bredd,bred
123,Küste::N,kyst,kyst
124,Festland::N,fastland,fastland
125,Meer::N,hav,hav
126,Bucht::N,bukt,bugt
127,Insel::N,øy,ø
128,Blume::N,blomst,blomst
129,Gras::N,gress,græs
130,Wurzel::N,rot,rod
131,Baum::N,tre,træ
132,Stamm::N,stamme,stamme
133,Rinde::N,bark,bark
134,Ast::N,gren,gren
135,Zweig::N,kvist,kvist
136,Blatt::N,blad,blad
137,Birke::N,bjørk,birk
138,Kiefer[Baum]::N,furu,fyrretræ
139,Weide[Baum]::N,selje,piletræ
140,Weide[Baum]::N,piletre,piletræ
141,Tanne::N,gran,gran
142,Horn::N,horn,horn
143,Feder::N,fjær,fjer
144,Fell::N,skinn,skind
145,Flügel::N,vinge,vinge
146,Klaue::N,klauv,klov
147,Kralle::N,klo,klo
148,Schwanz::N,hale,hale
149,Ei::N,egg,æg
150,Nest::N,rede,rede
151,Bau::N,hi,bo
152,Tier::N,dyr,dyr
153,Herde::N,flokk,flok
154,Kuh::N,ku,ko
155,Bulle::N,tyr,tyr
156,Pferd::N,hest,hest
157,Schaf::N,får,får
158,Schwein::N,gris,gris
159,Hund::N,hund,hund
160,Katze::N,katt,kat
161,Bär::N,bjørn,bjørn
162,Eichhörnchen::N,ekorn,egern
163,Elch::N,elg,elg
164,Fuchs::N,rev,ræv
165,Hase::N,hare,hare
166,Maus::N,mus,mus
167,Wolf::N,ulv,ulv
168,Wolf::N,varg,ulv
169,Vogel::N,fugl,fugl
170,Schwarm::N,sverm,sværm
171,Huhn::N,høne,høne
172,Hahn::N,hane,hane
173,Gans::N,gås,gås
174,Adler::N,ørn,ørn
175,Ente::N,and,and
176,Eule::N,ugle,ugle
177,Kranich::N,trane,trane
178,Krähe::N,kråke,krage
179,Kuckuck::N,gjøk,gøg
180,Schwan::N,svane,svane
181,Fisch::N,fisk,fisk
182,Barsch::N,abbor,aborre
183,Hecht::N,gjedde,gedde
184,Schlange[Tier]::N,orm,slange
185,Schlange[Tier]::N,slange,slange
186,Wurm::N,orm,orm
187,Wurm::N,mark,orm
188,Spinne::N,edderkopp,edderkop
189,Ameise::N,maur,myre
190,Laus::N,lus,lus
191,Mücke::N,mygg,myg
192,Fliege::N,flue,flue
193,Schmetterling::N,sommerfugl,sommerfugl
194,Beere::N,bær,bær
195,Apfel::N,eple,æble
196,Pilz::N,sopp,svamp
197,Zwiebel::N,løk,løg
198,Saat::N,sæd,sæd
199,Korn::N,korn,korn
200,Heu::N,høy,hø
201,Schale::N,skall,skræl
202,Grube::N,grop,grav
203,Falle::N,felle,fælde
204,Schlinge::N,snare,snare
205,Spur::N,spor,spor
206,Asche::N,aske,aske
207,Dreck::N,møkk,snavs
208,Dreck::N,skitt,snavs
209,Eisen::N,jern,jern
210,Gold::N,gull,guld
211,Silber::N,sølv,sølv
212,Kohle::N,kol,kul
213,Kohle::N,kull,kul
214,Glas::N,glass,glas
215,Lehm::N,leire,ler
216,Sand::N,sand,sand
217,Mensch::N,menneske,mennesge
218,Mann::N,mann,mand
219,Frau::N,kvinne,kvinde
220,Kind::N,barn,barn
221,Junge::N,gutt,dreng
222,Mädchen::N,pike,pige
223,Mädchen::N,jente,pige
224,Familie::N,familie,familie
225,Großvater::N,bestefar,bedstefar
226,Großmutter::N,bestemor,bedstemor
227,Eltern::N,foreldre,forældre
228,Vater::N,far,far
229,Mutter::N,mor,mor
230,Sohn::N,sønn,søn
231,Tochter::N,datter,datter
232,Bruder::N,bror,bror
233,Schwester::N,søster,søster
234,Onkel::N,onkel,onkel
235,Tante::N,tante,tante
236,Ehemann::N,ektemann,ægtemand
237,Ehefrau::N,hustru,hustru
238,Freude::N,glede,glæde
239,Gelächter::N,latter,latter
240,Glück::N,lykke,lykke
241,Kummer::N,sorg,sorg
242,Wunsch::N,ønske,ønske
243,Lust::N,lyst,lyst
244,Geist::N,ånd,ånd
245,Gedanke::N,tanke,tanke
246,Gedächtnis::N,minne,hukommelse
247,Gedächtnis::N,hukommelse,hukommelse
248,Verstand::N,forstand,forstand
249,Sinn::N,mening,mening
250,Sinn::N,mening,betydning
251,Sinn::N,betydning,mening
252,Sinn::N,betydning,betydning
253,Grund::N,grunn,grund
254,Wahrheit::N,sannhet,sandhed
255,Gespräch::N,samtale,samtale
256,Märchen::N,eventyr,eventyr
257,Erzählung::N,fortelling,fortælling
258,Nachricht::N,melding,efterretning
259,Neuigkeit::N,nyhet,nyhed
260,Name::N,navn,navn
261,Rätsel::N,gåte,gåde
262,Rede::N,tale,tale
263,Sprache::N,språk,sprog
264,Stimme::N,stemme,stemme
265,Wort::N,ord,ord
266,Zeichen::N,tegn,tegn
267,Ruf::N,rop,råb
268,Lärm::N,bråk,larm
269,Laut::N,lyd,lyd
270,Ton::N,tone,tone
271,Lied::N,vise,sang
272,Ruhe::N,ro,ro
273,Ruhe::N,ro,hvile
274,Leute::N,folk,folk
275,Leute::N,folk,mennesker
276,Volk::N,folk,folk
277,Arbeit::N,arbeid,arbejde
278,Gast::N,gjest,gæst
279,Geschenk::N,gave,gave
280,Spiel::N,lek,leg
281,Spiel::N,spill,leg
282,Gesellschaft::N,selskap,selskab
283,Hilfe::N,hjelp,hjælp
284,Freund::N,venn,ven
285,Kamerad::N,kamerat,kammerat
286,Angelegenheit::N,sak,sag
287,Angelegenheit::N,sak,anliggende
288,Angelegenheit::N,anliggende,sag
289,Angelegenheit::N,anliggende,anliggende
290,Anzahl::N,antall,antal
291,Art::N,art,art
292,Art::N,slag,art
293,Stück::N,stykke,stykke
294,Teil::N,del,del
295,Hälfte::N,halvdel,halvdel
296,Kreis::N,ring,cirkel
297,Kreis::N,sirkel,cirkel
298,Kreuz::N,kors,kors
299,Kreuz::N,kors,kryds
300,Kreuz::N,kryss,kors
301,Kreuz::N,kryss,kryds
302,Linie::N,linje,linie
303,Strich::N,strek,streg
304,Abstand::N,avstand,afstand
305,Entfernung::N,avstand,afstand
306,Gegend::N,strøk,egn
307,Platz::N,plass,plads
308,Ort::N,sted,sted
309,Seite::N,side,side
310,Mitte::N,midte,midte
311,Gegenstand::N,gjenstand,genstand
312,Sache::N,sak,sag
313,Rand::N,rand,rand
314,Kante::N,kant,kant
315,Ecke::N,hjørne,hjørne
316,Spitze::N,spiss,spids
317,Ende::N,ende,ende
318,Loch::N,hull,hul
319,Winkel::N,vinkel,vinkel
320,Muster::N,mønster,mønster
321,Größe::N,størrelse,størrelse
322,Länge::N,lengde,længde
323,Höhe::N,høyde,højde
324,Gewicht::N,vekt,vægt
325,Menge::N,mengde,mængde
326,Haufen::N,haug,bunke
327,Haufen::N,bunke,bunke
328,Reihe::N,rekke,række
329,Boot::N,båt,båd
330,Ruder::N,åre,åre
331,Schlitten::N,slede,kælk
332,Schlitten::N,slede,slæde
333,Schlitten::N,kjelke,kælk
334,Schlitten::N,kjelke,slæde
335,Ski::N,ski,ski
336,Lagerfeuer::N,leirbål,lejrbål
337,Last::N,bør,last
338,Last::N,bør,byrde
339,Last::N,last,last
340,Last::N,last,byrde
341,Gang::N,gang,gang
342,Schritt::N,steg,skridt
343,Schritt::N,skritt,skridt
344,Norden::N,nord,nord
345,Süden::N,sør,syd
346,Westen::N,vest,vest
347,Osten::N,øst,øst
348,Holz::N,tre,træ
349,Brett::N,fjøl,bræt
350,Brett::N,brett,bræt
351,Platte::N,plate,plade
352,Stütze::N,støtte,støtte
353,Stange::N,stang,stang
354,Stock::N,pinne,stok
355,Stab::N,stav,stav
356,Stab::N,kjepp,stav
357,Rohr::N,rør,rør
358,Haus::N,hus,hus
359,Heim::N,hjem,hjem
360,Ofen::N,ovn,ovn
361,Fußboden::N,gulv,gulv
362,Tisch::N,bord,bord
363,Stuhl::N,stol,stol
364,Wiege::N,vogge,vugge
365,Bett::N,seng,seng
366,Regal::N,reol,reol
367,Regal::N,hylle,reol
368,Kiste::N,kasse,kasse
369,Fenster::N,vindu,vindue
370,Tür::N,dør,dør
371,Tor::N,port,port
372,Zaun::N,gjerde,stakit
373,Dach::N,tak,tag
374,Leiter::N,stige,stige
375,Besen::N,kost,kost
376,Spaten::N,spade,spade
377,Schaufel::N,skuffe,skovl
378,Gabel::N,gaffel,gaffel
379,Löffel::N,skje,ske
380,Messer::N,kniv,kniv
381,Nagel::N,spiker,søm
382,Netz::N,nett,net
383,Haken::N,krok,krog
384,Griff::N,tak,tag
385,Griff::N,tak,håndtag
386,Griff::N,håndtak,tag
387,Griff::N,håndtak,håndtag
388,Schloss::N,lås,lås
389,Bild::N,bilde,billede
390,Figur::N,figur,figur
391,Puppe::N,dukke,dukke
392,Beutel::N,pose,pose
393,Bündel::N,bylt,bylt
394,Bündel::N,bylt,bundt
395,Tasche::N,veske,taske
396,Eimer::N,bøtte,spand
397,Deckel::N,lokk,låg
398,Geschirr::N,kjøkkentøy,husgeråd
399,Sack::N,sekk,sæk
400,Tasse::N,kopp,kop
401,Topf::N,gryte,gryde
402,Kessel::N,kjele,kedel
403,Essen::N,mål,måltid
404,Nahrung::N,mat,mad
405,Nahrung::N,mat,næring
406,Nahrung::N,næring,mad
407,Nahrung::N,næring,næring
408,Speise::N,matrett,ret
409,Fleisch::N,kjøtt,kød
410,Getreide::N,korn,korn
411,Brei::N,grøt,grød
412,Brot::N,brød,brød
413,Scheibe::N,skive,skive
414,Fett::N,fett,fedt
415,Butter::N,smør,smør
416,Öl::N,olje,olie
417,Salz::N,salt,salt
418,Suppe::N,suppe,suppe
419,Honig::N,honning,honning
420,Milch::N,melk,mælk
421,Tee::N,te,te
422,Leder::N,lær,skind
423,Leder::N,skinn,skind
424,Wolle::N,ull,uld
425,Stoff::N,tøy,stof
426,Stoff::N,stoff,stof
427,Nadel::N,nål,nål
428,Faden::N,tråd,tråd
429,Knopf::N,knapp,knap
430,Knoten::N,knute,knude
431,Farbe::N,farge,farve
432,Kleidung::N,påkledning,påklædning
433,Hemd::N,skjorte,skjorte
434,Kragen::N,krage,krave
435,Ärmel::N,erme,ærme
436,Hose::N,bukse,bukser
437,Gürtel::N,belte,bælte
438,Mütze::N,lue,hue
439,Schuh::N,sko,sko
440,Stiefel::N,støvel,støvle
441,Ring::N,ring,ring
442,Band::N,band,bånd
443,Kamm::N,kam,kam
444,Spiegel::N,speil,spejl
445,Riemen::N,rem,rem
446,Schnur::N,snor,snor
447,Leine::N,line,snor
448,Decke::N,teppe,tæppe
449,Kissen::N,pute,pude
450,Tuch::N,tøy,sjaltørklæde
451,Handtuch::N,håndkle,håndklæde
452,Kraft::N,kraft,kraft
453,Stärke::N,styrke,styrke
454,Gesundheit::N,helse,sundhed
455,Gesundheit::N,sunnhet,sundhed
456,Krankheit::N,syke,sygdom
457,Krankheit::N,sykdom,sygdom
458,Schmerz::N,smerte,smerte
459,Wunde::N,sår,sår
460,Fieber::N,feber,feber
461,Arznei::N,medisin,medicin
462,Arznei::N,medisin,lægemiddel
463,Arznei::N,legemiddel,medicin
464,Arznei::N,legemiddel,lægemiddel
465,Brücke::N,bro,bro
466,Brunnen::N,brønn,brønd
467,Weide::N,beite,græsgang
468,Pfad::N,sti,sti
469,Weg::N,vei,vej
470,Straße::N,gate,gade
471,Dorf::N,landsby,landsby
472,Stadt::N,by,by
473,Brief::N,brev,brev
474,Buch::N,bok,bog
475,Buchstabe::N,bokstav,bogstav
476,Zeitung::N,avis,avis
477,Leben::N,liv,liv
478,Tod::N,død,død
479,Grab::N,grav,grav
480,Kirche::N,kirke,kirke
481,Sünde::N,synd,synd
482,Gott::N,gud,gud
483,Arbeiter::N,arbeider,arbejder
484,Chef::N,sjef,chef
485,Meister::N,mester,mester
486,Arzt::N,lege,læge
487,Lehrer::N,lærer,lærer
488,Geld::N,penger,penge
489,Geschäft::N,forretning,forretning
490,Laden::N,butikk,butik
491,Laden::N,butikk,forretning
492,Preis::N,pris,pris
493,Ware::N,vare,vare
494,Nutzen::N,nytte,nytte
495,Reichtum::N,rikdom,rigdom
496,Welt::N,verden,verden
497,Land::N,land,land
498,Staat::N,stat,stat
499,König::N,konge,konge
500,Macht::N,makt,magt
501,Grenze::N,grense,grænse
502,Krieg::N,krig,krig
503,Feind::N,fiende,fjende
504,Gewalt::N,vold,vold
505,Kampf::N,kamp,kamp
506,Bogen[Waffe]::N,bue,bue
507,Pfeil::N,pil,pil
508,Gewehr::N,gevær,gevær
509,Fehler::N,feil,fejl
510,Lüge::N,løgn,løgn
511,Schaden::N,skade,skade
512,Unglück::N,uhell,uheld
513,Unglück::N,uhell,ulykke
514,Schuld::N,skyld,skyld
515,Alter::N,alder,alder
516,Schluss::N,slutt,slut
517,Schluss::N,slutt,slutning
518,Zeit::N,tid,tid
519,Tag::N,dag,dag
520,Morgen::N,morgen,morgen
521,Mittag::N,middag,middag
522,Abend::N,aften,aften
523,Nacht::N,natt,nat
524,Woche::N,uke,uge
525,Monat::N,måned,måned
526,Jahr::N,år,år
527,Frühling::N,vår,forår
528,Sommer::N,sommer,sommer
529,Herbst::N,høst,efterår
530,Winter::N,vinter,vinter
531,Januar::N,januar,januar
532,Februar::N,februar,februar
533,März::N,mars,marts
534,April::N,april,april
535,Mai::N,mai,maj
536,Juni::N,juni,juni
537,Juli::N,juli,juli
538,August::N,august,august
539,September::N,september,september
540,Oktober::N,oktober,oktober
541,November::N,november,november
542,Dezember::N,desember,december
543,Montag::N,mandag,mandag
544,Dienstag::N,tirsdag,tirsdag
545,Mittwoch::N,onsdag,onsdag
546,Donnerstag::N,torsdag,torsdag
547,Freitag::N,fredag,fredag
548,Samstag::N,lørdag,lørdag
549,Sonntag::N,søndag,søndag
550,groß::A,stor,stor
551,klein::A,liten,lille
552,lang::A,lang,lang
553,kurz::A,kort,kort
554,breit::A,bred,bred
555,schmal::A,smal,smal
556,dicht::A,tett,tæt
557,dick[Gegenstand]::A,tykk,tyk
558,dünn::A,tynn,tynd
559,fein::A,fin,fin
560,fest::A,fast,fast
561,flach::A,flat,flad
562,glatt::A,glatt,glat
563,hart::A,hard,hård
564,weich::A,myk,blød
565,weich::A,bløt,blød
566,rund::A,rund,rund
567,spitz::A,spiss,spids
568,scharf::A,kvass,skarp
569,stumpf::A,stubb,sløv
570,stumpf::A,stubb,stump
571,schwer::A,tung,tung
572,schön::A,pen,skøn
573,schön::A,vakker,skøn
574,heiß::A,het,hed
575,warm::A,varm,varm
576,kalt::A,kald,kold
577,kühl::A,kjølig,kølig
578,frisch::A,fersk,frisk
579,feucht::A,fuktig,fugtig
580,nass::A,våt,våd
581,trocken::A,tørr,tør
582,voll::A,full,fuld
583,leer::A,tom,tom
584,offen::A,åpen,åben
585,geschlossen::A,lukket,lukket
586,sauber::A,ren,ren
587,schmutzig::A,skitten,snavset
588,roh::A,rå,rå
589,reif::A,moden,moden
590,lecker::A,lekker,lækker
591,süß::A,søt,sød
592,bitter::A,besk,bitter
593,bitter::A,bitter,bitter
594,sauer::A,sur,sur
595,hell::A,lys,lys
596,dunkel::A,mørk,mørk
597,schwarz::A,svart,sort
598,weiß::A,hvit,hvid
599,rot::A,rød,rød
600,gelb::A,gul,gul
601,blau::A,blå,blå
602,grün::A,grønn,grøn
603,grau::A,grå,grå
604,bunt::A,broket,broget
605,billig::A,billig,billig
606,teuer::A,dyr,dyr
607,wertvoll::A,verdifull,værdifuld
608,blind::A,blind,blind
609,taub::A,døv,døv
610,kräftig::A,kraftig,kraftig
611,stark::A,sterk,stærk
612,schwach::A,svak,svag
613,fett::A,fet,fed
614,schlank::A,slank,slank
615,hübsch::A,pen,køn
616,böse::A,slem,ond
617,böse::A,slem,slem
618,dumm::A,dum,dum
619,faul::A,lat,doven
620,faul::A,doven,doven
621,fleißig::A,flittig,flittig
622,geizig::A,gjerrig,gerrig
623,klug::A,klok,klog
624,geschickt::A,hendig,dygtig
625,geschickt::A,hendig,behændig
626,geschickt::A,skikket,dygtig
627,geschickt::A,skikket,behændig
628,lieb::A,kjær,rar
629,lieb::A,snill,rar
630,lustig::A,morsom,lystig
631,sanft::A,blid,blid
632,hungrig::A,sulten,sulten
633,krank::A,syk,syg
634,nackt::A,naken,nøgen
635,traurig::A,sørgmodig,bedrøvet
636,lebendig::A,levende,levende
637,gut::A,god,god
638,schlecht::A,dårlig,dårlig
639,richtig::A,riktig,rigtig
640,schlimm::A,slem,slem
641,wahr::A,sann,sand
642,alt::A,gammel,gammel
643,neu::A,ny,ny
644,ehemalig::A,forhenværende,forhenværende
645,alt[Lebewesen]::A,gammel,gammel
646,jung::A,ung,ung
647,arm::A,fattig,fattig
648,reich::A,rik,rig
649,bekannt::A,kjent,kendt
650,berühmt::A,berømt,berømt
651,fremd::A,fremmed,fremmed
652,verschieden::A,forskjellig,forskellig
653,nah::A,nær,nær
654,fern::A,fjern,fjern
655,linker::A,venstre,venstre
656,rechter::A,høyre,højre
657,anderer::A,annen,anden
658,erster::A,første,første
659,zweiter::A,annen,anden
660,dritter::A,tredje,tredje
661,letzter::A,sist,sidste
662,allein::ADV,alene,alene
663,auf einmal::ADV,med ett,på én gang
664,zusammen::ADV,sammen,sammen
665,lange::ADV,lenge,længe
666,plötzlich::ADV,plutselig,pludselig
667,sofort::ADV,straks,straks
668,später::ADV,senere,senere
669,jetzt::ADV,nå,nu
670,heute::ADV,i dag,i dag
671,morgen::ADV,i morgen,i morgen
672,bald::ADV,snart,snart
673,dann::ADV,så,så
674,gestern::ADV,i går,i går
675,einst::ADV,engang,engang
676,damals::ADV,den gang,dengang
677,danach::ADV,deretter,derefter
678,vorher::ADV,før,før
679,vorher::ADV,før,forud
680,vorher::ADV,i forveien,før
681,vorher::ADV,i forveien,forud
682,zuerst::ADV,først,først
683,einmal::ADV,en gang,en gang
684,manchmal::ADV,somme tider,sommetider
685,oft::ADV,ofte,ofte
686,immer::ADV,alltid,altid
687,niemals::ADV,aldri,aldrig
688,hier::ADV,her,her
689,hierhin::ADV,hit,hid
690,hierhin::ADV,hit,herhen
691,von hier::ADV,herfra,herfra
692,dort::ADV,der,der
693,dorthin::ADV,dit,derhen
694,geradeaus::ADV,rett fram,lige ud
695,vorwärts::ADV,fram,fremad
696,vorwärts::ADV,framover,fremad
697,rückwärts::ADV,baklengs,baglæns
698,zurück::ADV,tilbake,tilbage
699,unten::ADV,nede,nede
700,unten::ADV,nede,forneden
701,hinab::ADV,ned,ned
702,hinab::ADV,ned,nedad
703,hinab::ADV,nedover,ned
704,hinab::ADV,nedover,nedad
705,oben::ADV,oppe,oppe
706,oben::ADV,oppe,ovenpå
707,oben::ADV,ovenpå,oppe
708,oben::ADV,ovenpå,ovenpå
709,hinauf::ADV,opp,op
710,hinauf::ADV,opp,opad
711,hinauf::ADV,oppover,op
712,hinauf::ADV,oppover,opad
713,überall::ADV,overalt,overalt
714,nicht::ADV,ikke,ikke
715,ein wenig::ADV,litt,lidt
716,kaum::ADV,neppe,knap
717,kaum::ADV,neppe,næppe
718,sehr::ADV,svært,meget
719,so::ADV,så,så
720,noch::ADV,enda,endnu
721,nur::ADV,bare,kun
722,nur::ADV,bare,bare
723,schon::ADV,alt,alt
724,schon::ADV,alt,allerede
725,schon::ADV,allerede,alt
726,schon::ADV,allerede,allerede
727,wieder::ADV,igjen,igen
728,vergebens::ADV,forgjeves,forgæves
729,vor::PRP,foran,foran
730,vor::PRP,foran,uden for
731,vor::PRP,utenfor,foran
732,vor::PRP,utenfor,uden for
733,hinter::PRP,bak,bag
734,hinter::PRP,bak,bagved
735,hinter::PRP,bakom,bag
736,hinter::PRP,bakom,bagved
737,unter::PRP,under,under
738,durch::PRP,gjennom,gennem
739,durch::PRP,gjennom,igennem
740,durch::PRP,igjennom,gennem
741,durch::PRP,igjennom,igennem
742,neben::PRP,ved siden av,ved siden af
743,zwischen::PRP,mellom,mellem
744,wegen::PRP,på grunn av,på grund af
745,dies::PRN,dette,dette
746,das::PRN,det,det
747,alles::PRN,alt,alt
748,ich::PRN,jeg,jeg
749,du::PRN,du,du
750,er::PRN,han,han
751,wir::PRN,vi,vi
752,ihr::PRN,dere,I
753,sie::PRN,de,de
754,was::FPRN,hva,hvad
755,wer::FPRN,hvem,hvem
756,wo::FADV,hvor,hvor
757,wohin::FADV,hvor ... hen,hvorhen
758,wie::FADV,hvordan,hvordan
759,warum::FADV,hvorfor,hvorfor
760,wieviel::FNUM,hvor mye,hvor meget
761,eins::NUM,en,én
762,eins::NUM,ett,én
763,zwei::NUM,to,to
764,drei::NUM,tre,tre
765,vier::NUM,fire,fire
766,fünf::NUM,fem,fem
767,sechs::NUM,seks,seks
768,sieben::NUM,sju,syv
769,acht::NUM,åtte,otte
770,neun::NUM,ni,ni
771,zehn::NUM,ti,ti
772,elf::NUM,elleve,elleve
773,zwölf::NUM,tolv,tolv
774,zwanzig::NUM,tjue,tyve
775,dreißig::NUM,tretti,tredive
776,vierzig::NUM,førti,fyrre
777,vierzig::NUM,førti,fyrretyve
778,fünfzig::NUM,femti,halvtreds
779,sechzig::NUM,seksti,tres
780,siebzig::NUM,sytti,halvfjerds
781,achtzig::NUM,åtti,firs
782,neunzig::NUM,nitti,halvfems
783,hundert::NUM,hundre,hundrede
784,tausend::NUM,tusen,tusind
785,und::CNJ,og,og
786,oder::CNJ,eller,eller
787,stehen::V,stå,stå
788,sitzen::V,sitte,sidde
789,liegen::V,ligge,ligge
790,hängen::V,henge,hænge
791,werden::V,bli,blive
792,passieren::V,skje,ske
793,passieren::V,skje,hænde
794,passieren::V,hende,ske
795,passieren::V,hende,hænde
796,beginnen::V,begynne,begynde
797,enden::V,ende,ende
798,enden::V,slutte,ende
799,wechseln::V,veksle,veksle
800,aufgehen[Sonne]::V,stå opp,gå op
801,aufgehen[Sonne]::V,stå opp,stå op
802,untergehen[Sonne]::V,gå ned,gå ned
803,scheinen[Sonne]::V,skinne,skinne
804,donnern::V,tordne,tordne
805,wehen::V,blåse,blæse
806,strömen::V,strømme,strømme
807,fließen::V,flyte,flyde
808,sich drehen::V,dreie seg,dreje sig
809,schwanken::V,svaie,vakle
810,schwingen::V,svinge,svinge
811,fallen::V,falle,falde
812,brennen::V,brenne,brænde
813,rauchen::V,ryke,ryge
814,regnen::V,regne,regne
815,gefrieren::V,fryse,fryse
816,tauen::V,tine,tø
817,schmelzen::V,smelte,smelte
818,trocknen::V,tørre,tørre
819,sieden::V,koke,koge
820,faulen::V,råtne,rådne
821,verfaulen::V,råtne,rådne
822,reißen::V,briste,briste
823,versinken::V,synke,synke
824,versinken::V,synke,synke ned
825,versinken::V,synke ned,synke
826,versinken::V,synke ned,synke ned
827,vergehen::V,forløpe,forløbe
828,erscheinen::V,synes,vise sig
829,verschwinden::V,forsvinne,forsvinde
830,sinken::V,synke,synke
831,abnehmen::V,avta,aftage
832,abnehmen::V,minske,aftage
833,zunehmen::V,tilta,tiltage
834,steigen::V,stige,stige
835,wachsen::V,gro,gro
836,wachsen::V,gro,vokse
837,wachsen::V,vokse,gro
838,wachsen::V,vokse,vokse
839,glänzen::V,skinne,glinse
840,funkeln::V,tindre,tindre
841,lärmen::V,bråke,larme
842,läuten::V,ringe,ringe
843,klingeln::V,ringe,ringe
844,klirren::V,klirre,klirre
845,brausen::V,bruse,bruse
846,rauschen::V,suse,suse
847,klingen::V,lyde,lyde
848,klingen::V,lyde,klinge
849,klingen::V,klinge,lyde
850,klingen::V,klinge,klinge
851,bellen::V,gjø,gø
852,bellen::V,bjeffe,gø
853,heulen::V,ule,hyle
854,blasen::V,blåse,blæse
855,pfeifen::V,plystre,fløjte
856,schreien::V,skrike,skrige
857,stöhnen::V,stønne,stønne
858,zittern::V,dirre,dirre
859,zittern::V,dirre,skælve
860,zittern::V,skjelve,dirre
861,zittern::V,skjelve,skælve
862,leben::V,leve,leve
863,geboren werden::V,fødes,fødes
864,atmen::V,ånde,ånde
865,atmen::V,puste,ånde
866,trinken::V,drikke,drikke
867,essen::V,spise,spise
