,Concept_ID,en,kv
350,Löffel::N,spoon,пань
351,Messer::N,knife,пурт
352,Nagel::N,nail,кӧрттув
353,Netz::N,net,кыйӧт
354,Haken::N,hook,ем
355,Griff::N,handle,пу
356,Schloss::N,lock,замок
357,Bild::N,picture,картина
358,Figur::N,figure,мыгӧр
359,Puppe::N,doll,акань
360,Beutel::N,pouch,мешӧк
361,Bündel::N,bundle,нин
362,Tasche::N,bag,сумка
363,Eimer::N,bucket,ведра
364,Deckel::N,cover,вевт
365,Geschirr::N,dishes,доз
366,Geschirr::N,dishes,бекӧрпань
367,Sack::N,sack,мешӧк
368,Tasse::N,cup,бекӧр
369,Topf::N,pot,кастрюля
370,Kessel::N,kettle,пӧрт
371,Essen::N,meal,сёйӧм
372,Nahrung::N,food,вердан
373,Speise::N,dish,сёян
374,Fleisch::N,meat,яй
375,Getreide::N,corn,сю
376,Brei::N,mush,каша
377,Brot::N,bread,нянь
378,Scheibe::N,slice,шӧрӧм
379,Fett::N,fat,гос
380,Butter::N,butter,ви
381,Öl::N,oil,ви
382,Salz::N,salt,сов
383,Suppe::N,soup,шыд
384,Honig::N,honey,ма
385,Milch::N,milk,йӧв
386,Tee::N,tea,чай
387,Leder::N,leather,кучик
388,Wolle::N,wool,гӧн
389,Stoff::N,cloth,дӧра
390,Nadel::N,needle,ем
391,Faden::N,thread,сунис
392,Knopf::N,button,кизь
393,Knoten::N,knot,узӧв
394,Knoten::N,knot,гӧрӧд
395,Farbe::N,paint,краска
396,Kleidung::N,clothes,паськӧм
397,Hemd::N,shirt,йӧрнӧс
398,Kragen::N,collar,воротник
399,Ärmel::N,sleeve,сос
400,Hose::N,trousers,вешьян
401,Gürtel::N,belt,йи
402,Mütze::N,cap,шапка
403,Schuh::N,shoe,ботинки
404,Stiefel::N,boot,сапог
405,Ring::N,ring,чунькытш
406,Band::N,ribbon,ленточка
407,Kamm::N,comb,сынан
408,Spiegel::N,mirror,зеркало
409,Riemen::N,strap,ремень
410,Schnur::N,string,гез
411,Leine::N,leash,повод
412,Decke::N,blanket,одеяло
413,Kissen::N,pillow,подушка
414,Tuch::N,scarf,чышьян
415,Handtuch::N,towel,чышкӧт
416,Kraft::N,force,прак
417,Stärke::N,strength,вын
418,Gesundheit::N,health,здоровье
419,Krankheit::N,illness,шог
420,Schmerz::N,pain,зубыт
421,Wunde::N,wound,рана
422,Fieber::N,fever,лёк тресся
423,Fieber::N,fever,кынтан шогӧт
424,Arznei::N,medicine,лекарство
425,Brücke::N,bridge,пос
426,Brunnen::N,well,колодец 
427,Weide::N,pasture,пода йирсян
428,Pfad::N,path,туй
429,Weg::N,way,туй
430,Straße::N,road,туй
431,Dorf::N,village,деревня
432,Stadt::N,town,город
433,Brief::N,letter,гижӧт
434,Buch::N,book,книга
435,Buchstabe::N,character,буква
436,Zeitung::N,newspaper,газета
437,Leben::N,life,олан
438,Tod::N,death,кулӧм
439,Grab::N,grave,гу
440,Kirche::N,church,вичку
441,Sünde::N,sin,грек
442,Gott::N,god,ен
443,Arbeiter::N,worker,уджалiсь
444,Chef::N,boss,начальник
445,Meister::N,master,мастер
446,Arzt::N,doctor,врач
447,Lehrer::N,teacher,велӧтісь
448,Geld::N,money,деньга
449,Geschäft::N,business,удж
450,Laden::N,shop,магазин
451,Preis::N,price,дон
452,Ware::N,ware,товар
453,Nutzen::N,profit,путь
454,Reichtum::N,wealth,богатство
455,Welt::N,world,му
456,Land::N,country,страна
457,Staat::N,state,государство
458,König::N,king,кан
459,Macht::N,power,власть
460,Grenze::N,border,граница
461,Krieg::N,war,война
462,Feind::N,enemy,враг
463,Gewalt::N,violence,
464,Kampf::N,fight,нярасьӧм
465,Kampf::N,fight,вермасьӧм
466,Bogen[Waffe]::N,bow,лук
467,Pfeil::N,arrow,ньӧв
468,Gewehr::N,gun,ружьё
469,Fehler::N,mistake,ошибка
470,Lüge::N,lie,ылӧтӧм
471,Lüge::N,lie,пӧрьялӧм
472,Schaden::N,damage,лёк
473,Unglück::N,misfortune,пик
474,Unglück::N,misfortune,оказзё
475,Schuld::N,fault,вина
476,Alter::N,age,
477,Schluss::N,conclusion,ком
478,Zeit::N,time,кад
479,Tag::N,day,лун
480,Morgen::N,morning,асыв
481,Mittag::N,noon,луншӧр кад
482,Abend::N,evening,рыт
483,Nacht::N,night,ой
484,Woche::N,week,неделя
485,Monat::N,month,тӧлicь
486,Jahr::N,year,год
487,Frühling::N,spring,тулыс
488,Sommer::N,summer,гожум
489,Herbst::N,autumn,ар
490,Winter::N,winter,тӧв
491,Januar::N,January,январ
492,Februar::N,February,февраль
493,März::N,March,март
494,April::N,April,апрель
495,Mai::N,May,май
496,Juni::N,June,юнь
497,Juli::N,July,юль
498,August::N,August,август
499,September::N,September,сентяб
500,Oktober::N,October,октяб
501,November::N,November,нояб
502,Dezember::N,December,декаб
503,Montag::N,Monday,вильлун
504,Dienstag::N,Tuesday,мӧдӧдзлун
505,Mittwoch::N,Wednesday,шӧрлун
506,Donnerstag::N,Thursday,нёльӧдзлун
507,Freitag::N,Friday,витӧдзлун
508,Samstag::N,Saturday,пывсянлун
509,Sonntag::N,Sunday,кресення
510,groß::A,big,ыджыт
511,klein::A,little,учӧтик
512,lang::A,long,кузь
513,kurz::A,short,дженыт
514,breit::A,wide,ота
515,schmal::A,narrow,векнит
516,dicht::A,dense,тшӧк
517,dick[Gegenstand]::A,thick,кыз
518,dünn::A,thin,вӧснит
519,fein::A,delicate,вӧснит
520,fest::A,firm,крепыт
521,flach::A,flat,лапкӧса
522,glatt::A,smooth,волькыт
523,hart::A,hard,чӧрыт
524,weich::A,soft,небыт
525,rund::A,round,гӧгрӧса
526,spitz::A,pointed,ёся
527,scharf::A,sharp,лэчыт
528,stumpf::A,blunt,ныж
529,schwer::A,heavy,сьӧкыт
530,schön::A,beautiful,басӧк
531,heiß::A,hot,жар
532,warm::A,warm,шоныт
533,kalt::A,cold,кӧдзыт
534,kühl::A,cool,сайкыт
535,frisch::A,fresh,виль
536,feucht::A,damp,вакодь
537,nass::A,wet,ва
538,trocken::A,dry,кӧс
539,voll::A,full,тыра
540,leer::A,empty,тыртӧм
541,offen::A,open,оссьӧм
542,geschlossen::A,closed,игана
543,geschlossen::A,closed,пӧдана
544,sauber::A,clean,сӧдз
545,sauber::A,clean,сӧстӧм
546,schmutzig::A,dirty,нятьӧсь
547,roh::A,raw,путӧм
548,reif::A,ripe,кисьмалӧм
549,lecker::A,delicious,кӧра 
550,süß::A,sweet,чӧскыт
551,bitter::A,bitter,курыт
552,sauer::A,sour,шӧма 
553,hell::A,bright,югыт
554,dunkel::A,dark,пемыт
555,schwarz::A,black,сьӧд
556,weiß::A,white,чочком
557,rot::A,red,гӧрд
558,gelb::A,yellow,веж
559,blau::A,blue,лӧз
560,grün::A,green,веж
561,grau::A,grey,руд
562,grau::A,grey,бусӧй
563,bunt::A,colourful,быдрӧма
564,bunt::A,colorful,быдрӧма
565,billig::A,cheap,донтӧм
566,teuer::A,dear,дона
567,wertvoll::A,precious,дона
568,blind::A,blind,синтӧм
569,taub::A,deaf,пельтӧм
570,kräftig::A,powerful,вына
571,stark::A,strong,вына
572,schwach::A,weak,некодя
573,fett::A,fat,госа
574,schlank::A,slim,статя
575,hübsch::A,pretty,басӧк
576,böse::A,evil,лёк
577,dumm::A,stupid,бӧбӧв
578,dumm::A,stupid,вежӧртӧм
579,faul::A,lazy,дыш
580,fleißig::A,diligent,уджалicь
581,geizig::A,stingy,жикмӧра
582,geizig::A,stingy,горшаліcь
583,klug::A,clever,авья
584,klug::A,clever,вежӧра
585,geschickt::A,skilful,кипода
586,geschickt::A,skillful,кипода
587,lieb::A,dear,муса
588,lieb::A,dear,дзулиньӧй
589,lustig::A,merry,гажа
590,sanft::A,gentle,лебезнӧй
591,hungrig::A,hungry,тшыг
592,krank::A,sick,шогалiсь
593,nackt::A,naked,куш
594,traurig::A,sad,жугыль
595,lebendig::A,living,ловья
596,gut::A,good,бур
597,schlecht::A,bad,умӧль
598,richtig::A,correct,
599,schlimm::A,nasty,нештӧм
600,wahr::A,true,
601,alt::A,old,важ
602,neu::A,new,виль
603,ehemalig::A,former,вӧвлӧм
604,alt[Lebewesen]::A,aged,года
605,alt[Lebewesen]::A,aged,годдэза
606,jung::A,young,том
607,arm::A,poor,гов
608,arm::A,poor,беднӧй
609,reich::A,rich,эма
610,bekannt::A,familiar,тӧдса
611,berühmt::A,famous,
612,fremd::A,foreign,чужӧй
613,verschieden::A,different,быдкодь
614,nah::A,near,матiсь
615,fern::A,far,ылicь
616,linker::A,left,шульга
617,rechter::A,right,веськытланись
618,anderer::A,other,мукӧд
619,erster::A,first,медодзза
620,zweiter::A,second,кыкӧт
621,dritter::A,third,куимӧт
622,dritter::A,third,куимӧдз
623,letzter::A,last,бӧрья
624,letzter::A,last,мёдбӧрья
625,allein::ADV,alone,
626,auf einmal::ADV,at once,тшӧтш
627,zusammen::ADV,together,ӧтлаын
628,lange::ADV,long,дыр
629,plötzlich::ADV,suddenly,друг
630,sofort::ADV,instantly,тшӧтш
631,später::ADV,later,медбӧрын
632,jetzt::ADV,now,ӧні
633,heute::ADV,today,талун
634,morgen::ADV,tomorrow,ашын
635,bald::ADV,soon,чожа
636,dann::ADV,then,сыбӧрын
637,gestern::ADV,yesterday,тӧн
638,einst::ADV,once,ӧтпыр
639,damals::ADV,at that time,сэк
640,damals::ADV,at that time,сэки
641,danach::ADV,afterwards,сэсся
642,vorher::ADV,before,одзжык
643,zuerst::ADV,at first,наперво
644,einmal::ADV,once,ӧтпыр
645,manchmal::ADV,sometimes,мукӧдпыр
646,oft::ADV,often,-лы-
647,immer::ADV,always,быдпыр
648,immer::ADV,always,быдпырся
649,niemals::ADV,never,некӧр
650,hier::ADV,here,татӧн
651,hierhin::ADV,hither,татчӧ
652,hierhin::ADV,to here,татчӧ
653,hierhin::ADV,here,татчӧ
654,von hier::ADV,hence,тасянь
655,dort::ADV,there,сэтӧн
656,dorthin::ADV,thither,сэтчин
657,dorthin::ADV,there,сэтчин
658,dorthin::ADV,to there,сэтчин
659,geradeaus::ADV,ahead,веськыта
660,vorwärts::ADV,forward,одзӧ
661,rückwärts::ADV,backward,бӧр
662,zurück::ADV,back,бӧр
663,unten::ADV,below,увтын
664,hinab::ADV,down,увтас
665,oben::ADV,above,вевдӧрас
666,hinauf::ADV,up,вывлань
667,hinauf::ADV,up,вывланьӧ
668,überall::ADV,everywhere,быдлан
669,nicht::ADV,not,ог
670,ein wenig::ADV,a little,-ышт
671,ein wenig::ADV,a little,невна
672,kaum::ADV,hardly,ӧдва
673,sehr::ADV,very,вывтi
674,so::ADV,so,сiдз
675,noch::ADV,still,эшӧ
676,nur::ADV,only,только
