,Concept_ID,ab,da
94,Sumpf::N,аӡмах,sump
95,Wiese::N,адəы,eng
96,Wald::N,абна,skov
97,Hügel::N,ахəы,høj
98,Hügel::N,ахəы,bakke
99,Anhöhe::N,аҳаракыра,høj
100,Anhöhe::N,аҳаракыра,bakke
101,Berg::N,ашьха,bjerg
102,Gipfel::N,ацəқəа,top
103,Höhle::N,аҳаҧы,hule
104,Abhang::N,анаара,skrænt
105,Abhang::N,анаара,skråning
106,Quelle::N,аҵҵырҭа,kilde
107,Bach::N,акəараҷҷа,bæk
108,Fluss::N,аӡиас,flod
109,Ufer::N,ахықə,bred
110,Küste::N,ахықə,kyst
111,Festland::N,абарра,fastland
112,Meer::N,амшын,hav
113,Bucht::N,аӡбжьахала,bugt
114,Insel::N,адгьылбжьаха,ø
115,Blume::N,ашəҭ,blomst
116,Gras::N,аҳасакьын,græs
117,Wurzel::N,адац,rod
118,Baum::N,аҵла,træ
119,Stamm::N,ашьапы,stamme
120,Rinde::N,ацəа,bark
121,Ast::N,амахə,gren
122,Ast::N,амахəҭа,gren
123,Zweig::N,амахə,kvist
124,Zweig::N,амахəҭа,kvist
125,Blatt::N,абҕьы,blad
126,Birke::N,аҵааҵла,birk
127,Kiefer[Baum]::N,амза,fyrretræ
128,Weide[Baum]::N,аҧслыш,piletræ
129,Tanne::N,аҧсаӡ,gran
130,Horn::N,атəыҩа,horn
131,Feder::N,ахӡы,fjer
132,Fell::N,ацəа,skind
133,Flügel::N,амҵəыжəа,vinge
134,Klaue::N,ашьапхыц,klov
135,Schwanz::N,аҵыхəа,hale
136,Ei::N,акəтаӷь,æg
137,Nest::N,аҭра,rede
138,Nest::N,аҵысҭра,rede
139,Bau::N,аҭыҩра,bo
140,Tier::N,аҧстəы,dyr
141,Tier::N,агыгшəыг,dyr
142,Herde::N,агəарҭа,flok
143,Kuh::N,ажə,ko
144,Bulle::N,ацə,tyr
145,Pferd::N,аҽы,hest
146,Schaf::N,ауаса,får
147,Schwein::N,аҳəа,gris
148,Hund::N,ала,hund
149,Katze::N,ацгəы,kat
150,Bär::N,амшə,bjørn
151,Eichhörnchen::N,аеш,egern
152,Elch::N,аҽаҩа,elg
153,Fuchs::N,абгахəыҷы,ræv
154,Hase::N,ажьа,hare
155,Maus::N,аҳəынаҧ,mus
156,Wolf::N,абгаду,ulv
157,Vogel::N,аҧсаатə,fugl
158,Huhn::N,акəты,høne
159,Hahn::N,арбаҕь,hane
160,Gans::N,аҟыз,gås
161,Adler::N,ауарба,ørn
162,Ente::N,акəата,and
163,Eule::N,аты,ugle
164,Kranich::N,апҟа,trane
165,Krähe::N,аҟəараан,krage
166,Kuckuck::N,акəыкəу,gøg
167,Schwan::N,агьад,svane
168,Fisch::N,аҧсыӡ,fisk
169,Barsch::N,ацəыбла,aborre
170,Hecht::N,ахиаала,gedde
171,Schlange[Tier]::N,амаҭ,slange
172,Wurm::N,ахəа,orm
173,Wurm::N,ахəац,orm
174,Spinne::N,абызкаҭаҳа,edderkop
175,Ameise::N,ашышкамс,myre
176,Laus::N,аҵа,lus
177,Mücke::N,акəыбры,myg
178,Fliege::N,амҵ,flue
179,Schmetterling::N,аҧарҧалыкь,sommerfugl
180,Beere::N,аргуц,bær
181,Apfel::N,аҵəа,æble
182,Pilz::N,акəкəбаа,svamp
183,Zwiebel::N,аџьымшьы,løg
184,Zwiebel::N,аџьымшьхы,løg
185,Saat::N,ажəла,sæd
186,Korn::N,арыц,korn
187,Heu::N,аҭəа,hø
188,Schale::N,ацəа,skræl
189,Grube::N,ажра,grav
190,Grube::N,атыша,grav
191,Falle::N,арыҧҟьа,fælde
192,Schlinge::N,аҟəараҟəантə,snare
193,Spur::N,ашьҭа,spor
194,Asche::N,ахəа,aske
195,Dreck::N,аҳəынҵəа,snavs
196,Dreck::N,аҟьамсар,snavs
197,Eisen::N,аиха,jern
198,Gold::N,ахьы,guld
199,Silber::N,аразны,sølv
200,Kohle::N,арацəа,kul
201,Glas::N,асаркьа,glas
202,Lehm::N,анышəаҧшь,ler
203,Sand::N,аҧслымӡ,sand
204,Mensch::N,ауаҩы,mennesge
205,Mann::N,ахаҵа,mand
206,Frau::N,аҧҳəыс,kvinde
207,Kind::N,ахəыҷы,barn
208,Junge::N,аҷкəын,dreng
209,Junge::N,ахаҵарҧыс,dreng
210,Mädchen::N,аӡӷаб,pige
211,Familie::N,аҭаацəа,familie
212,Großvater::N,абду,bedstefar
213,Großmutter::N,анду,bedstemor
214,Eltern::N,ани аби,forældre
215,Vater::N,аб,far
216,Mutter::N,ан,mor
217,Sohn::N,аҧа,søn
218,Tochter::N,аҧҳа,datter
219,Bruder::N,аиашьа,bror
220,Schwester::N,Аҳəшьа,søster
221,Onkel::N,абиашьа,onkel
222,Onkel::N,аншьа,onkel
223,Tante::N,абиаҳəшьа,tante
224,Ehemann::N,ахаҵа,ægtemand
225,Ehemann::N,аҧшəма,ægtemand
226,Ehefrau::N,аҧҳəыс,hustru
227,Freude::N,агəырӷьара,glæde
228,Gelächter::N,ачча,latter
229,Gelächter::N,аччара,latter
230,Glück::N,аразҟы,lykke
231,Kummer::N,агəырҩа,sorg
232,Wunsch::N,агəхəтəы,ønske
233,Wunsch::N,аҭахра,ønske
234,Lust::N,агəазыҳəара,lyst
235,Geist::N,аҧсы,ånd
236,Gedanke::N,ахəыцырҭа,tanke
237,Gedächtnis::N,агəынкылара,hukommelse
238,Verstand::N,ахшыҩ,forstand
239,Sinn::N,аҵакы,mening
240,Sinn::N,аҵакы,betydning
241,Grund::N,амзыз,grund
242,Wahrheit::N,аиаша,sandhed
243,Gespräch::N,аиҿцәажәара,samtale
244,Märchen::N,алакə,eventyr
245,Erzählung::N,ажәабжь,fortælling
246,Nachricht::N,адырраҭара,efterretning
247,Neuigkeit::N,ажәабжь ҿыц,nyhed
248,Name::N,ахьӡ,navn
249,Rätsel::N,ацуфара,gåde
250,Rede::N,ажәа,tale
251,Sprache::N,абызшəа,sprog
252,Stimme::N,абжьы,stemme
253,Wort::N,ажәа,ord
254,Zeichen::N,адырга,tegn
255,Ruf::N,аҿҭы,råb
256,Lärm::N,ашьҭыбжь,larm
257,Laut::N,ашьҭыбжь,lyd
258,Ton::N,атон,tone
259,Lied::N,ашəа,sang
260,Ruhe::N,аҭынчра,ro
261,Ruhe::N,аҭынчра,hvile
262,Leute::N,ауаа,folk
263,Leute::N,ауаа,mennesker
264,Volk::N,ажəлар,folk
265,Arbeit::N,аусура,arbejde
266,Gast::N,асас,gæst
267,Geschenk::N,аҳамҭа,gave
268,Geschenk::N,аҿанҵа,gave
269,Spiel::N,ахəмарра,leg
270,Gesellschaft::N,агəыҧ,selskab
271,Hilfe::N,ацхыраара,hjælp
272,Freund::N,аҩыза,ven
273,Kamerad::N,Аҧхнагьла,kammerat
274,Angelegenheit::N,аус,sag
275,Angelegenheit::N,аус,anliggende
276,Anzahl::N,ахыҧхьаӡара,antal
277,Art::N,ахкы,art
278,Stück::N,аҽыҭ,stykke
279,Teil::N,ахəҭа,del
280,Hälfte::N,абжа,halvdel
281,Kreis::N,агьагьа,cirkel
282,Kreuz::N,аџьар,kors
283,Kreuz::N,аџьар,kryds
284,Linie::N,аицтәар,linie
285,Strich::N,ацəаҳəа,streg
286,Abstand::N,абжьара,afstand
287,Entfernung::N,абжьара,afstand
288,Gegend::N,аҭыҧ,egn
289,Platz::N,аҭыҧ,plads
290,Ort::N,аҭыҧ,sted
291,Seite::N,аган,side
292,Mitte::N,агəҭа,midte
293,Gegenstand::N,амаҭəар,genstand
294,Rand::N,аҵкар,rand
295,Kante::N,авардым,kant
296,Ecke::N,акəакь,hjørne
297,Spitze::N,аҧынҵа,spids
298,Ende::N,анаӡара,ende
299,Loch::N,акылҵəара,hul
300,Winkel::N,агҿаҩра,vinkel
301,Winkel::N,акəындхə,vinkel
302,Winkel::N,акəакь,vinkel
303,Muster::N,аҟҟа,mønster
304,Größe::N,изаҟароу,størrelse
305,Länge::N,аура,længde
306,Höhe::N,агылара,højde
307,Gewicht::N,акапан,vægt
308,Haufen::N,ачаҟəа,bunke
309,Reihe::N,ацəаҳəа,række
310,Boot::N,анышь,båd
311,Ruder::N,ажəҩа,åre
312,Schlitten::N,ашəаҩауардын,kælk
313,Schlitten::N,ашəаҩауардын,slæde
314,Ski::N,ашəаҩа,ski
315,Ski::N,ашьахаха,ski
316,Lagerfeuer::N,еиқуу амца,lejrbål
317,Last::N,ахьанҭара,last
318,Last::N,ахьанҭара,byrde
319,Gang::N,аныҟəара,gang
320,Schritt::N,ашьаҿа,skridt
321,Norden::N,аҩада,nord
322,Süden::N,алада,syd
323,Westen::N,амраҭашəара,vest
324,Osten::N,амрагылара,øst
325,Holz::N,амҿымаҭəахə,træ
326,Brett::N,аӷəы,bræt
327,Platte::N,ахаҳәцәы,plade
328,Stütze::N,аҵаргəа,støtte
329,Stütze::N,агəышьаҟа,støtte
330,Stange::N,акьат,stang
331,Stock::N,алаба,stok
332,Stab::N,акьат,stav
333,Rohr::N,абыкь,rør
334,Haus::N,аҩны,hus
335,Heim::N,аҭаацəа,hjem
336,Ofen::N,аҳақə,ovn
337,Ofen::N,ауаџьаҟ,ovn
338,Ofen::N,афрына,ovn
339,Fußboden::N,адашьма,gulv
340,Tisch::N,аишәа,bord
341,Stuhl::N,аҟəардə,stol
342,Wiege::N,агара,vugge
343,Bett::N,акаруаҭ,seng
344,Regal::N,акыӷəра,reol
345,Kiste::N,аидчаҧала,kasse
346,Fenster::N,аҧенџьыр,vindue
347,Tür::N,ашə,dør
348,Tor::N,агəашə,port
349,Zaun::N,аанда,stakit
350,Dach::N,ахыб,tag
351,Leiter::N,амардуан,stige
352,Besen::N,аҧссага,kost
353,Spaten::N,ажыга,spade
354,Schaufel::N,аҭəарӷəы,skovl
355,Gabel::N,ачқьыҧ,gaffel
356,Löffel::N,амҳаҵə,ske
357,Messer::N,аҳəызба,kniv
358,Nagel::N,аҵəымӷ,søm
359,Netz::N,акаҭа,net
360,Haken::N,аҵəаҳə,krog
361,Griff::N,амаа,tag
362,Griff::N,амаа,håndtag
363,Schloss::N,асаҧаҭ,lås
364,Bild::N,асахьа,billede
365,Figur::N,афигура,figur
366,Puppe::N,акьанџьа,dukke
367,Beutel::N,асакь,pose
368,Bündel::N,аҿаҳəара,bylt
369,Bündel::N,аҿаҳəара,bundt
370,Tasche::N,арҭмаҟ,taske
371,Eimer::N,аведра,spand
372,Deckel::N,ахҩа,låg
373,Geschirr::N,ачысмаҭəа,husgeråd
374,Sack::N,асакь,sæk
375,Tasse::N,аҵəца,kop
376,Topf::N,акаструлиа,gryde
377,Kessel::N,ачуан,kedel
378,Nahrung::N,афатə,mad
379,Nahrung::N,афатə,næring
380,Speise::N,афатə,ret
381,Fleisch::N,акəац,kød
382,Getreide::N,ачакуа,korn
383,Brei::N,ақашь,grød
384,Brot::N,ача,brød
385,Scheibe::N,аҽыҭ,skive
386,Scheibe::N,аҿаҵа,skive
387,Fett::N,ашша,fedt
388,Butter::N,ахəша,smør
389,Öl::N,азеҭ,olie
390,Salz::N,аџьыка,salt
391,Suppe::N,асуҧ,suppe
392,Honig::N,ацха,honning
393,Milch::N,ахш,mælk
394,Tee::N,ачаи,te
395,Leder::N,ацəа,skind
396,Wolle::N,аласа,uld
397,Stoff::N,Аба,stof
398,Nadel::N,агəыр,nål
399,Faden::N,арахəыц,tråd
400,Knopf::N,аҳəынҵəра,knap
401,Knoten::N,аиқəҳəала,knude
402,Farbe::N,ашəыга,farve
403,Kleidung::N,амаҭəа,påklædning
404,Hemd::N,акьаҿ,skjorte
405,Kragen::N,ахəда,krave
406,Ärmel::N,амаӷра,ærme
407,Hose::N,аиқəа,bukser
408,Gürtel::N,амаҟа,bælte
409,Mütze::N,ахылҧа,hue
410,Schuh::N,аимаа,sko
411,Stiefel::N,амагə,støvle
412,Ring::N,амацəаз,ring
413,Band::N,алента,bånd
414,Kamm::N,ахҳəа,kam
415,Spiegel::N,асаркьа,spejl
416,Riemen::N,аа,rem
417,Schnur::N,ашаха,snor
418,Leine::N,аҕура,snor
419,Decke::N,ахыза,tæppe
420,Kissen::N,ахчы,pude
421,Tuch::N,акасы,sjaltørklæde
422,Handtuch::N,ампахьшьы,håndklæde
423,Kraft::N,амч,kraft
424,Stärke::N,амч,styrke
425,Gesundheit::N,агəабзиара,sundhed
426,Krankheit::N,ачымазара,sygdom
427,Schmerz::N,ахьаа,smerte
428,Wunde::N,ахəра,sår
429,Fieber::N,ашоура,feber
430,Arznei::N,ахəшə,medicin
431,Arznei::N,ахəшə,lægemiddel
432,Brücke::N,ацҳа,bro
433,Brunnen::N,аҵыџь,brønd
434,Weide::N,аҳəырҭа,græsgang
435,Pfad::N,амхəасҭа,sti
436,Weg::N,амҩа,vej
437,Straße::N,амҩа,gade
438,Dorf::N,ақыҭа,landsby
439,Stadt::N,ақалақь,by
440,Brief::N,ашəҟəы,brev
441,Buch::N,ашəҟəы,bog
442,Buchstabe::N,анбан,bogstav
443,Zeitung::N,агазеҭ,avis
444,Leben::N,аҧсҭазаара,liv
445,Tod::N,аҧсра,død
446,Grab::N,анышəынҭра,grav
447,Kirche::N,ауахəама,kirke
448,Sünde::N,агəнаҳа,synd
449,Gott::N,анцəа,gud
450,Arbeiter::N,аусуҩ,arbejder
451,Chef::N,Аиҳабы,chef
452,Meister::N,аҟаза,mester
453,Arzt::N,аҳақьым,læge
454,Lehrer::N,арҵаҩы,lærer
455,Geld::N,аҧара,penge
456,Laden::N,амагазин,butik
457,Laden::N,амагазин,forretning
458,Preis::N,ахə,pris
459,Ware::N,атауар,vare
460,Nutzen::N,ақьар,nytte
461,Reichtum::N,абеиара,rigdom
462,Welt::N,адунеи,verden
463,Land::N,атəыла,land
464,Staat::N,аҳəынҭқарра,stat
465,König::N,акрал,konge
466,Macht::N,амчра,magt
467,Grenze::N,аҳəаа,grænse
468,Krieg::N,аибашьра,krig
469,Feind::N,Аҕа,fjende
470,Gewalt::N,ақəымчра,vold
471,Kampf::N,ақəҧара,kamp
472,Bogen[Waffe]::N,ахыц,bue
473,Pfeil::N,ахəымпал,pil
474,Gewehr::N,ашəақь,gevær
475,Fehler::N,агха,fejl
476,Lüge::N,амц,løgn
477,Schaden::N,аҧырхага,skade
478,Unglück::N,арыцҳара,uheld
479,Unglück::N,арыцҳара,ulykke
480,Schuld::N,ахара,skyld
481,Alter::N,ақəра,alder
482,Schluss::N,анҵəамҭа,slut
483,Schluss::N,анҵəамҭа,slutning
484,Zeit::N,аамта,tid
485,Tag::N,амш,dag
486,Morgen::N,ашара,morgen
487,Morgen::N,ашьыбжь,morgen
488,Mittag::N,шьыбжьон,middag
489,Abend::N,ахəылҧаз,aften
490,Abend::N,ахəлбыҽха,aften
491,Nacht::N,аҵх,nat
492,Woche::N,амчыбжь,uge
493,Frühling::N,ааҕын,forår
494,Sommer::N,аҧхын,sommer
495,Herbst::N,ҭагалан,efterår
496,Herbst::N,хкаарачан,efterår
497,Winter::N,аӡын,vinter
498,Januar::N,ианвар,januar
499,Februar::N,февраль,februar
500,März::N,март,marts
501,April::N,апрель,april
502,Mai::N,маи,maj
503,Juni::N,иуун,juni
504,Juli::N,иууль,juli
505,August::N,август,august
506,September::N,сентиабр,september
507,Oktober::N,октиабр,oktober
508,November::N,ноиабр,november
509,Dezember::N,декабр,december
510,Montag::N,ашəахьа,mandag
511,Dienstag::N,аҩаша,tirsdag
512,Mittwoch::N,ахаша,onsdag
513,Donnerstag::N,аҧшьаша,torsdag
514,Freitag::N,ахəаша,fredag
515,Samstag::N,асабша,lørdag
516,Sonntag::N,амҽыша,søndag
517,groß::A,аду,stor
518,klein::A,амаҷ,lille
519,lang::A,ахəхəа,lang
520,kurz::A,акьаҿ,kort
521,breit::A,аиужь,bred
522,breit::A,аиҵых,bred
523,schmal::A,аҭшəа,smal
524,dicht::A,аилач,tæt
525,dick[Gegenstand]::A,ажəпа,tyk
526,fein::A,апа,fin
527,fein::A,аҵаӷа,fin
528,fein::A,аӡа,fin
529,fest::A,аҟаца,fast
530,fest::A,аӷəӷəаҟаца,fast
531,flach::A,ақəаҟьа,flad
532,flach::A,аҧаҟьа,flad
533,glatt::A,аимаҩзы,glat
534,hart::A,акьакьа,hård
535,weich::A,атата,blød
536,rund::A,акəмпыл,rund
537,spitz::A,аҵар,spids
538,scharf::A,аҵар,skarp
539,stumpf::A,ацагə,sløv
540,stumpf::A,ацагə,stump
541,schwer::A,ахьанҭа,tung
542,schön::A,аҧшӡа,skøn
543,heiß::A,ашы,hed
544,warm::A,аҧха,varm
545,kalt::A,ахьшəашəа,kold
546,kühl::A,ахьшəашəа,kølig
547,kühl::A,ицәыхьшәашәоу,kølig
548,frisch::A,цқьа,frisk
549,feucht::A,ацəаак,fugtig
550,nass::A,абааӡа,våd
551,trocken::A,Аба,tør
552,trocken::A,аҩа,tør
553,voll::A,азна,fuld
554,leer::A,аҭацəы,tom
555,offen::A,аарта,åben
556,geschlossen::A,ихҩоу,lukket
557,geschlossen::A,иаркыу,lukket
558,sauber::A,ацқьа,ren
559,schmutzig::A,аҟьашь,snavset
560,reif::A,Арҭ,moden
561,reif::A,аҟала,moden
562,reif::A,иҟалахьоу,moden
563,lecker::A,ахаа,lækker
564,süß::A,азла,sød
565,bitter::A,аша,bitter
566,sauer::A,аҵəҵəы,sur
567,hell::A,алаша,lys
568,dunkel::A,алашьца,mørk
569,schwarz::A,аиқуаҵәа,sort
570,weiß::A,ашкəакəа,hvid
571,rot::A,аҟаҧшь,rød
572,gelb::A,аҩеижь,gul
573,blau::A,аҽҵәа,blå
574,grün::A,ашьацҧшҭəала,grøn
575,grün::A,аеҵəа,grøn
576,grau::A,ацəыш,grå
577,bunt::A,Аилыҕраа,broget
578,bunt::A,аҕраҷкəын,broget
579,billig::A,амариа,billig
580,teuer::A,амҩан,dyr
581,wertvoll::A,кыр иаҕсоу,værdifuld
582,wertvoll::A,акыр иаҕсоу,værdifuld
583,blind::A,алашə,blind
584,taub::A,адагəа,døv
585,kräftig::A,аӷəӷəа,kraftig
586,stark::A,абаҟа,stærk
587,schwach::A,акəада,svag
588,fett::A,аҧсыла,fed
589,schlank::A,акала,slank
590,schlank::A,акьалантар,slank
591,schlank::A,аиҿартə,slank
592,hübsch::A,аҧшӡа,køn
593,böse::A,абааҧсы,ond
594,böse::A,абааҧсы,slem
595,dumm::A,агаӡа,dum
596,faul::A,аашьа,doven
597,fleißig::A,иҟубҷоу,flittig
598,geizig::A,акы,gerrig
599,geizig::A,акаҷбеи,gerrig
600,geizig::A,аҟəџьыр,gerrig
601,klug::A,аҟəыш,klog
602,klug::A,аҟəыӷа,klog
603,geschickt::A,напҟазала,dygtig
604,geschickt::A,напҟазала,behændig
605,lieb::A,алашара,rar
606,lustig::A,алах-ҿых,lystig
607,lustig::A,игурҕьаччо,lystig
608,lustig::A,агурҕьа,lystig
609,lustig::A,агурҿыхага,lystig
610,sanft::A,атата,blid
611,sanft::A,аҟəымшəышə,blid
612,sanft::A,ақьыҧш,blid
613,hungrig::A,амлашь,sulten
614,krank::A,ачымазаҩ,syg
615,nackt::A,аҟьантаз,nøgen
616,traurig::A,алахьеиқəҵага,bedrøvet
617,lebendig::A,абза,levende
618,gut::A,абзиа,god
619,schlecht::A,-хəарҭам,dårlig
620,richtig::A,иашоу,rigtig
621,schlimm::A,абааҧсы,slem
622,wahr::A,агəҭылса,sand
623,wahr::A,абзиаҵəҟьа,sand
624,alt::A,Ажə,gammel
625,neu::A,аҿыц,ny
626,ehemalig::A,анкьатәи,forhenværende
627,alt[Lebewesen]::A,абырг,gammel
628,alt[Lebewesen]::A,ақабада,gammel
629,alt[Lebewesen]::A,Ажə,gammel
630,jung::A,аҟата,ung
631,arm::A,ананамга,fattig
632,reich::A,абеиа,rig
633,bekannt::A,адыр,kendt
634,berühmt::A,адыр,berømt
635,fremd::A,атəым,fremmed
636,verschieden::A,Еиуа-еиҧшым,forskellig
637,nah::A,ааигəа,nær
638,fern::A,ахара,fjern
639,linker::A,арма,venstre
640,rechter::A,арҕьа,højre
641,anderer::A,даҽа,anden
642,anderer::A,даҽакы,anden
643,erster::A,актәи,første
644,zweiter::A,аҩбатəи,anden
645,dritter::A,ахҕатәи,tredje
646,letzter::A,аҵыхəтəантəи,sidste
647,allein::ADV,мацара,alene
648,auf einmal::ADV,зныкала,på én gang
649,auf einmal::ADV,зныкҟьара,på én gang
650,zusammen::ADV,аиц...,sammen
651,lange::ADV,акыраамҭа,længe
652,plötzlich::ADV,иаалырҟьаны,pludselig
653,sofort::ADV,иаразнакҵәҟьа,straks
654,später::ADV,уажəшьҭаншəа,senere
655,jetzt::ADV,уажәы,nu
656,heute::ADV,иахьа,i dag
657,morgen::ADV,уаҵәы,i morgen
658,bald::ADV,иласны,snart
659,dann::ADV,нас,så
660,gestern::ADV,иацы,i går
661,einst::ADV,зны,engang
662,damals::ADV,усҟан,dengang
663,danach::ADV,нас,derefter
664,vorher::ADV,уаанӡа,før
665,vorher::ADV,уаанӡа,forud
666,zuerst::ADV,азнаказы,først
667,zuerst::ADV,аҧхьа,først
668,einmal::ADV,зны,en gang
669,manchmal::ADV,зны-зынла,sommetider
670,oft::ADV,лассы-лассы,ofte
671,immer::ADV,енагь,altid
672,immer::ADV,еснагь,altid
673,niemals::ADV,ианакəызаалак,aldrig
674,hier::ADV,ара,her
675,hier::ADV,абра,her
676,hier::ADV,араҟа,her
677,hierhin::ADV,ара,hid
678,hierhin::ADV,ара,herhen
679,hierhin::ADV,араҟа,hid
680,hierhin::ADV,араҟа,herhen
681,von hier::ADV,арантә,herfra
682,dort::ADV,уа,der
683,dorthin::ADV,уахь,derhen
684,dorthin::ADV,анахь,derhen
685,geradeaus::ADV,ишиашоу,lige ud
686,vorwärts::ADV,ҕхьаҟа,fremad
687,rückwärts::ADV,шьҭахьла,baglæns
688,zurück::ADV,шьҭахьҟа,tilbage
689,unten::ADV,лбаа,nede
690,unten::ADV,лбаа,forneden
691,hinab::ADV,алада,ned
692,hinab::ADV,алада,nedad
693,oben::ADV,хыхь,oppe
694,oben::ADV,хыхь,ovenpå
695,hinauf::ADV,аҩада,op
696,hinauf::ADV,аҩада,opad
697,überall::ADV,зегьынцьара,overalt
698,nicht::ADV,-м,ikke
699,ein wenig::ADV,ҕыҭк,lidt
700,kaum::ADV,аарлаҳәа,knap
701,kaum::ADV,аарлаҳәа,næppe
702,kaum::ADV,афергьҳәа,knap
703,kaum::ADV,афергьҳәа,næppe
704,sehr::ADV,даара,meget
705,so::ADV,ас,så
706,so::ADV,абас,så
707,noch::ADV,макьана,endnu
708,nur::ADV,заҵәык,kun
709,nur::ADV,заҵәык,bare
710,schon::ADV,уажәшьҭа,alt
711,schon::ADV,уажәшьҭа,allerede
712,schon::ADV,аиҳа ипоу,alt
713,schon::ADV,аиҳа ипоу,allerede
714,wieder::ADV,ҿыц,igen
715,wieder::ADV,дырҩегь,igen
716,wieder::ADV,дырҩегьых,igen
717,vergebens::ADV,баша,forgæves
718,vor::PRP,аҕхьа,foran
719,vor::PRP,аҕхьа,uden for
720,hinter::PRP,нхыҵ,bag
721,hinter::PRP,нхыҵ,bagved
722,unter::PRP,амҵа,under
723,unter::PRP,амҵан,under
724,neben::PRP,ааигуара,ved siden af
725,zwischen::PRP,абжьара,mellem
726,wegen::PRP,-иззы,på grund af
727,wegen::PRP,-ҟнытә,på grund af
728,dies::PRN,ари,dette
729,dies::PRN,абри,dette
730,das::PRN,Абни,det
731,das::PRN,убри,det
732,alles::PRN,зегьы,alt
733,ich::PRN,са,jeg
734,ich::PRN,сара,jeg
735,du::PRN,бара,du
736,er::PRN,иара,han
737,wir::PRN,ҳара,vi
738,ihr::PRN,шәара,I
739,sie::PRN,дара,de
740,wer::FPRN,дарбан,hvem
741,wo::FADV,иабыкуу,hvor
742,wo::FADV,аба-,hvor
743,wo::FADV,ахь-,hvor
744,wohin::FADV,иабыкуу,hvorhen
745,wohin::FADV,аба-,hvorhen
746,wohin::FADV,ахь-,hvorhen
747,wie::FADV,-шҕа,hvordan
748,warum::FADV,избан,hvorfor
749,wieviel::FNUM,заҟа,hvor meget
750,eins::NUM,акы,én
751,eins::NUM,аӡәы,én
