,Concept_ID,ga,lv
61,Busen::N,cíoch,krūts
62,Brust::N,brollach,морӧс
63,Brust::N,brollach,krūts
64,Schulter::N,gualainn,пельпом
65,Schulter::N,gualainn,plecs
66,Arm::N,lámh,ки
67,Arm::N,lámh,roka
68,Arm::N,lámh,delms
69,Ellenbogen::N,uillinn,гырддза
70,Ellenbogen::N,uillinn,elkonis
71,Hand::N,lámh,ки
72,Hand::N,lámh,roka
73,Hand::N,lámh,plauksta
74,Handfläche::N,bos,ки пыдӧс
75,Handfläche::N,bos,delna
76,Handfläche::N,bos,plauksta
77,Finger::N,méar,чунь
78,Finger::N,méar,pirksts
79,Fingernagel::N,ionga,гыж
80,Fingernagel::N,ionga,nags
81,Nagel[Anatomie]::N,ionga,гыж
82,Nagel[Anatomie]::N,ionga,nags
83,Zeh::N,ladhar,кок чунь
84,Zeh::N,ladhar,pirksts
85,Fuß::N,cos,кок
86,Fuß::N,cos,kāja
87,Fuß::N,troigh,кок
88,Fuß::N,troigh,kāja
89,Ferse::N,sáil,кокбӧр
90,Ferse::N,sáil,papēdis
91,Knie::N,glúin,пидзӧс
92,Knie::N,glúin,celis
93,Oberschenkel::N,ceathrú,лядьвей
94,Oberschenkel::N,ceathrú,бек
95,Oberschenkel::N,ceathrú,ciska
96,Oberschenkel::N,ceathrú,augšstilbs
97,Bein::N,cos,кок
98,Bein::N,cos,kāja
99,Körper::N,corp,туша
100,Körper::N,corp,вывтыр
101,Körper::N,corp,miesa
102,Körper::N,corp,ķermenis
103,Körper::N,colainn,туша
104,Körper::N,colainn,вывтыр
105,Körper::N,colainn,miesa
106,Körper::N,colainn,ķermenis
107,Haut::N,cneas,ку
108,Haut::N,cneas,āda
109,Haut::N,craiceann,ку
110,Haut::N,craiceann,āda
111,Blut::N,fuil,вир
112,Blut::N,fuil,asins
113,Sehne::N,teannán,вез
114,Sehne::N,teannán,dzīsla
115,Sehne::N,féitheog,вез
116,Sehne::N,féitheog,dzīsla
117,Knochen::N,cnámh,лы
118,Knochen::N,cnámh,kauls
119,Gehirn::N,inchinn,вем
120,Gehirn::N,inchinn,smadzenes
121,Herz::N,croí,сьӧлӧм
122,Herz::N,croí,sirds
123,Magen::N,bolg,кынӧм
124,Magen::N,bolg,kuņģis
125,Magen::N,goile,кынӧм
126,Magen::N,goile,kuņģis
127,Leber::N,ae,мус
128,Leber::N,ae,aknas
129,Atem::N,anáil,лов
130,Atem::N,anáil,elpa
131,Hunger::N,ocras,тшыг
132,Hunger::N,ocras,bads
133,Hunger::N,ocras,izsalkums
134,Träne::N,deoir,синва
135,Träne::N,deoir,asara
136,Geschmack::N,blas,кӧр
137,Geschmack::N,blas,чӧсмӧс
138,Geschmack::N,blas,garša
139,Geruch::N,boladh,зын
140,Geruch::N,boladh,дук
141,Geruch::N,boladh,smaka
142,Schlaf::N,suan,узьӧм
143,Schlaf::N,suan,miegs
144,Schlaf::N,codladh,узьӧм
145,Schlaf::N,codladh,miegs
146,Traum::N,taibhreamh,вӧт
147,Traum::N,taibhreamh,вӧтасьӧм
148,Traum::N,taibhreamh,sapnis
149,Himmel::N,spéir,енэж
150,Himmel::N,spéir,debess
151,Sonne::N,grian,шонді
152,Sonne::N,grian,saule
153,Mond::N,ré,тӧлысь
154,Mond::N,ré,mēness
155,Mond::N,gealach,тӧлысь
156,Mond::N,gealach,mēness
157,Stern::N,rinn,кодзув
158,Stern::N,rinn,zvaigzne
159,Stern::N,réalta,кодзув
160,Stern::N,réalta,zvaigzne
161,Luft::N,aer,сынӧд
162,Luft::N,aer,gaiss
163,Wind::N,gaoth,тӧв
164,Wind::N,gaoth,vējš
165,Welle::N,tonn,гы
166,Welle::N,tonn,vilnis
167,Wasser::N,uisce,ва
168,Wasser::N,uisce,ūdens
169,Stein::N,cloch,из
170,Stein::N,cloch,akmens
171,Boden::N,talamh,му
172,Boden::N,talamh,augsne
173,Erde::N,cré,му
174,Erde::N,cré,му-ва
175,Erde::N,cré,zeme
176,Erde::N,ithir,му
177,Erde::N,ithir,му-ва
178,Erde::N,ithir,zeme
179,Staub::N,dusta,бус
180,Staub::N,dusta,putekļi
181,Staub::N,deannach,бус
182,Staub::N,deannach,putekļi
183,Rauch::N,toit,тшын
184,Rauch::N,toit,dūmi
185,Rauch::N,deatach,тшын
186,Rauch::N,deatach,dūmi
187,Funke::N,drithle,кинь
188,Funke::N,drithle,би кинь
189,Funke::N,drithle,dzirkstele
190,Feuer::N,tine,би
191,Feuer::N,tine,uguns
192,Licht::N,solas,югӧр
193,Licht::N,solas,gaisma
194,Schatten::N,scáth,вуджӧр
195,Schatten::N,scáth,ēna
196,Wetter::N,aimsir,поводдя
197,Wetter::N,aimsir,laiks
198,Nebel::N,ceo,ру
199,Nebel::N,ceo,онь
200,Nebel::N,ceo,migla
201,Wolke::N,néal,кымӧр
202,Wolke::N,néal,mākonis
203,Wolke::N,scamall,кымӧр
204,Wolke::N,scamall,mākonis
205,Regen::N,báisteach,зэр
206,Regen::N,báisteach,lietus
207,Regen::N,fearthainn,зэр
208,Regen::N,fearthainn,lietus
209,Schnee::N,sneachta,лым
210,Schnee::N,sneachta,sniegs
211,Eis::N,oighear,йи
212,Eis::N,oighear,ledus
213,Frost::N,sioc,кӧдзыд
214,Frost::N,sioc,sals
215,Kälte::N,fuacht,кӧдзыд
216,Kälte::N,fuacht,saltums
217,Kälte::N,fuacht,aukstums
218,Hitze::N,teas,пӧсь
219,Hitze::N,teas,гожӧд
220,Hitze::N,teas,karstums
221,Hitze::N,teocht,пӧсь
222,Hitze::N,teocht,гожӧд
223,Hitze::N,teocht,karstums
224,Raureif::N,sioc bán,пуж
225,Raureif::N,sioc bán,гыӧр
226,Raureif::N,sioc bán,sarma
227,Regenbogen::N,stua ceatha,ӧшкамӧшка
228,Regenbogen::N,stua ceatha,varavīksne
229,Regenbogen::N,bogha báistí,ӧшкамӧшка
230,Regenbogen::N,bogha báistí,varavīksne
231,Donner::N,toirneach,гым
232,Donner::N,toirneach,pērkons
233,Strömung::N,sruth,ва ныр
234,Strömung::N,sruth,визувтӧм
235,Strömung::N,sruth,straume
236,Strömung::N,sruth,strāvojums
237,Tropfen::N,deoir,войт
238,Tropfen::N,deoir,lāse
239,Schaum::N,cúr,быг
240,Schaum::N,cúr,быгзьӧм
241,Schaum::N,cúr,putas
242,Schmutz::N,salachar,няйт
243,Schmutz::N,salachar,dubļi
244,See::N,loch,ты
245,See::N,loch,ezers
246,Sumpf::N,portach,гыбад
247,Sumpf::N,portach,кад
248,Sumpf::N,portach,dumbrājs
249,Sumpf::N,portach,staignājs
250,Moor::N,caorán,нюр
251,Moor::N,caorán,purvs
252,Moor::N,caorán,muklājs
253,Moor::N,móinteán,нюр
254,Moor::N,móinteán,purvs
255,Moor::N,móinteán,muklājs
256,Wiese::N,cluain,видз
257,Wiese::N,cluain,pļava
258,Wiese::N,móinéar,видз
259,Wiese::N,móinéar,pļava
260,Wald::N,coill,вӧр
261,Wald::N,coill,mežs
262,Wald::N,foraois,вӧр
263,Wald::N,foraois,mežs
264,Hügel::N,ard,дзиб
265,Hügel::N,ard,мыльк
266,Hügel::N,ard,нӧрыс
267,Hügel::N,ard,paugurs
268,Anhöhe::N,ard,мыльк
269,Anhöhe::N,ard,нӧрыс
270,Anhöhe::N,ard,paugurs
271,Anhöhe::N,ardán,мыльк
272,Anhöhe::N,ardán,нӧрыс
273,Anhöhe::N,ardán,paugurs
274,Berg::N,sliabh,чой
275,Berg::N,sliabh,керӧс
276,Berg::N,sliabh,kalns
277,Gipfel::N,barr,чук
278,Gipfel::N,barr,virsotne
279,Gipfel::N,mullach,чук
280,Gipfel::N,mullach,virsotne
281,Höhle::N,uaimh,рудӧг
282,Höhle::N,uaimh,ala
283,Höhle::N,pluais,рудӧг
284,Höhle::N,pluais,ala
285,Abhang::N,fána,ньывк
286,Abhang::N,fána,бокша
287,Abhang::N,fána,nogāze
288,Quelle::N,foinse,ӧшмӧс
289,Quelle::N,foinse,avots
290,Bach::N,sruthán,шор
291,Bach::N,sruthán,urga
292,Bach::N,sruthán,strauts
293,Fluss::N,abhainn,ю
294,Fluss::N,abhainn,upe
295,Ufer::N,bruach,вадор
296,Ufer::N,bruach,krasts
297,Küste::N,cósta,вадор
298,Küste::N,cósta,piekraste
299,Küste::N,cladach,вадор
300,Küste::N,cladach,piekraste
301,Festland::N,míntír,му
302,Festland::N,míntír,sauszeme
303,Meer::N,muir,саридз
304,Meer::N,muir,jūra
305,Meer::N,farraige,саридз
306,Meer::N,farraige,jūra
307,Bucht::N,bá,куръя
308,Bucht::N,bá,līcis
309,Bucht::N,cuan,куръя
310,Bucht::N,cuan,līcis
311,Insel::N,inis,ді
312,Insel::N,inis,sala
313,Insel::N,oileán,ді
314,Insel::N,oileán,sala
315,Blume::N,bláth,дзоридз
316,Blume::N,bláth,puķe
317,Blume::N,bláth,zieds
318,Gras::N,féar,турун
319,Gras::N,féar,zāle
320,Wurzel::N,rúta,вуж
321,Wurzel::N,rúta,sakne
322,Wurzel::N,fréamh,вуж
323,Wurzel::N,fréamh,sakne
324,Baum::N,crann,пу
325,Baum::N,crann,koks
326,Stamm::N,stoc,пучер
327,Stamm::N,stoc,stumbrs
328,Stamm::N,tamhan,пучер
329,Stamm::N,tamhan,stumbrs
330,Rinde::N,coirt,кырсь
331,Rinde::N,coirt,miza
332,Rinde::N,craiceann,кырсь
333,Rinde::N,craiceann,miza
334,Ast::N,géag,ув
335,Ast::N,géag,zars
336,Zweig::N,géag,вож
337,Zweig::N,géag,nozare
338,Zweig::N,craobh,вож
339,Zweig::N,craobh,nozare
340,Blatt::N,duille,кор
341,Blatt::N,duille,lapa
342,Blatt::N,duilleog,кор
343,Blatt::N,duilleog,lapa
344,Birke::N,beith,кыдз
345,Birke::N,beith,bērzs
346,Birke::N,crann beithe,кыдз
347,Birke::N,crann beithe,bērzs
348,Kiefer[Baum]::N,péine,пожӧм
349,Kiefer[Baum]::N,péine,priede
350,Weide[Baum]::N,saileach,бадь
351,Weide[Baum]::N,saileach,kārkls
352,Tanne::N,giúis,коз
353,Tanne::N,giúis,egle
354,Horn::N,adharc,сюр
355,Horn::N,adharc,rags
356,Feder::N,cleite,гӧн
357,Feder::N,cleite,тывборд
358,Feder::N,cleite,spalva
359,Fell::N,clúmh,ку
360,Fell::N,clúmh,āda
361,Flügel::N,eite,борд
362,Flügel::N,eite,spārns
363,Flügel::N,sciathán,борд
364,Flügel::N,sciathán,spārns
365,Klaue::N,crúb,гыж
366,Klaue::N,crúb,nags
367,Klaue::N,crobh,гыж
368,Klaue::N,crobh,nags
369,Kralle::N,crobh,гыж
370,Kralle::N,crobh,nags
371,Schwanz::N,eireaball,бӧж
372,Schwanz::N,eireaball,ļipa
373,Ei::N,ubh,кольк
374,Ei::N,ubh,ola
375,Nest::N,nead,поз
376,Nest::N,nead,ligzda
377,Bau::N,brocais,горс
378,Bau::N,brocais,пырмӧс
379,Bau::N,brocais,гу
380,Bau::N,brocais,ala
381,Tier::N,ainmhí,пемӧс
382,Tier::N,ainmhí,dzīvnieks
383,Tier::N,beithíoch,пемӧс
384,Tier::N,beithíoch,dzīvnieks
385,Herde::N,tréad,стада
386,Herde::N,tréad,кельӧб
387,Herde::N,tréad,ganāmpulks
388,Kuh::N,bó,мӧс
389,Kuh::N,bó,govs
390,Bulle::N,tarbh,ӧш
391,Bulle::N,tarbh,bullis
392,Pferd::N,each,вӧв
393,Pferd::N,each,zirgs
394,Pferd::N,capall,вӧв
395,Pferd::N,capall,zirgs
396,Schaf::N,caora,ыж
397,Schaf::N,caora,aita
398,Schwein::N,muc,порсь
399,Schwein::N,muc,cūka
400,Hund::N,madra,пон
401,Hund::N,madra,suns
402,Katze::N,cat,кань
403,Katze::N,cat,kaķis
404,Bär::N,béar,ош
405,Bär::N,béar,lācis
406,Eichhörnchen::N,iora,ур
407,Eichhörnchen::N,iora,vāvere
408,Elch::N,eilc,йӧра
409,Elch::N,eilc,alnis
410,Fuchs::N,sionnach,руч
411,Fuchs::N,sionnach,lapsa
412,Fuchs::N,madra rua,руч
413,Fuchs::N,madra rua,lapsa
414,Hase::N,giorria,кӧч
415,Hase::N,giorria,zaķis
416,Maus::N,luch,шыр
417,Maus::N,luch,pele
418,Wolf::N,mac tíre,кӧин
419,Wolf::N,mac tíre,vilks
420,Vogel::N,éan,кай
421,Vogel::N,éan,лэбач
422,Vogel::N,éan,putns
423,Schwarm::N,saithe,чукӧр
424,Schwarm::N,saithe,spiets
425,Huhn::N,cearc,курӧг
426,Huhn::N,cearc,vista
427,Hahn::N,coileach,петук
428,Hahn::N,coileach,gailis
429,Gans::N,gé,дзодзӧг
430,Gans::N,gé,zoss
431,Adler::N,iolar,кутш
432,Adler::N,iolar,ērglis
433,Ente::N,lacha,утка
434,Ente::N,lacha,pīle
435,Eule::N,ulchabhán,сюзь
436,Eule::N,ulchabhán,pūce
437,Kranich::N,grús,тури
438,Kranich::N,grús,dzērve
439,Krähe::N,caróg,рака
440,Krähe::N,caróg,vārna
441,Krähe::N,préachán,рака
442,Krähe::N,préachán,vārna
443,Kuckuck::N,cuach,кӧк
444,Kuckuck::N,cuach,dzeguze
445,Schwan::N,eala,юсь
446,Schwan::N,eala,gulbis
447,Fisch::N,iasc,чери
448,Fisch::N,iasc,zivs
449,Barsch::N,péirse,ёкыш
450,Barsch::N,péirse,asaris
451,Hecht::N,liús,сир
452,Hecht::N,liús,līdaka
453,Schlange[Tier]::N,nathair,кый
454,Schlange[Tier]::N,nathair,čūska
455,Wurm::N,péist,номыр
456,Wurm::N,péist,tārps
457,Spinne::N,damhán alla,черань
458,Spinne::N,damhán alla,zirneklis
459,Ameise::N,seangán,кодзувкот
460,Ameise::N,seangán,skudra
461,Laus::N,míol,той
462,Laus::N,míol,uts
463,Mücke::N,muiscít,ном
464,Mücke::N,muiscít,ods
465,Mücke::N,corrmhíol,ном
466,Mücke::N,corrmhíol,ods
467,Fliege::N,cuil,гут
468,Fliege::N,cuil,muša
469,Fliege::N,cuileog,гут
470,Fliege::N,cuileog,muša
471,Schmetterling::N,féileacán,бобув
472,Schmetterling::N,féileacán,tauriņš
473,Beere::N,caor,тусь
474,Beere::N,caor,вотӧс
475,Beere::N,caor,oga
476,Apfel::N,úll,яблӧг
477,Apfel::N,úll,ābols
478,Pilz::N,beacán,тшак
479,Pilz::N,beacán,sēne
480,Pilz::N,muisiriún,тшак
481,Pilz::N,muisiriún,sēne
482,Zwiebel::N,oinniún,луккок
483,Zwiebel::N,oinniún,йӧнгыль
484,Zwiebel::N,oinniún,sīpols
485,Saat::N,síol,тусь
486,Saat::N,síol,кӧйдыс
487,Saat::N,síol,sēkla
488,Korn::N,gráinne,тусь
489,Korn::N,gráinne,grauds
490,Heu::N,féar,турун
491,Heu::N,féar,siens
492,Schale::N,scaimh,кор
493,Schale::N,scaimh,čaula
494,Schale::N,scaimh,čaumala
495,Grube::N,poll,гу
496,Grube::N,poll,bedre
497,Falle::N,gaiste,лэч
498,Falle::N,gaiste,slazds
499,Falle::N,gaiste,lamatas
500,Schlinge::N,sealán,лэч
501,Schlinge::N,sealán,cilpa
502,Spur::N,rian,туй
503,Spur::N,rian,pēda
504,Asche::N,luaith,пӧм
505,Asche::N,luaith,pelni
506,Dreck::N,salachar,няйт
507,Dreck::N,salachar,dubļi
508,Eisen::N,iarann,кӧрт
509,Eisen::N,iarann,dzelzs
510,Gold::N,ór,зарни
511,Gold::N,ór,zelts
512,Silber::N,airgead,эзысь
513,Silber::N,airgead,sudrabs
514,Kohle::N,gual,шом
515,Kohle::N,gual,ogle
516,Glas::N,gloine,стеклӧ
517,Glas::N,gloine,stikls
518,Lehm::N,cré,сёй
519,Lehm::N,cré,māls
520,Sand::N,gaineamh,лыа
521,Sand::N,gaineamh,smiltis
522,Mensch::N,duine,морт
523,Mensch::N,duine,cilvēks
524,Mann::N,fear,аймӧрт
525,Mann::N,fear,мужичӧй
526,Mann::N,fear,vīrietis
527,Frau::N,bean,ань
528,Frau::N,bean,нывбаба
529,Frau::N,bean,sieviete
530,Kind::N,gasúr,кага
531,Kind::N,gasúr,bērns
532,Kind::N,páiste,кага
533,Kind::N,páiste,bērns
534,Junge::N,buachaill,пи
535,Junge::N,buachaill,zēns
536,Junge::N,buachaill,puika
537,Junge::N,buachaill,puisis
538,Mädchen::N,cailín,ныв
539,Mädchen::N,cailín,meiča
540,Mädchen::N,cailín,skuķis
541,Mädchen::N,cailín,meitene
542,Familie::N,teaghlach,семья
543,Familie::N,teaghlach,ģimene
544,Familie::N,comhluadar,семья
545,Familie::N,comhluadar,ģimene
546,Großvater::N,seanathair,пӧль
547,Großvater::N,seanathair,vecaistēvs
548,Großmutter::N,seanmháthair,баб
549,Großmutter::N,seanmháthair,vecāmāte
550,Eltern::N,tuismitheoirí,ай-мам
551,Eltern::N,tuismitheoirí,бать-мам
552,Eltern::N,tuismitheoirí,vecāki
553,Vater::N,athair,бать
554,Vater::N,athair,ай
555,Vater::N,athair,tēvs
556,Mutter::N,máthair,мам
557,Mutter::N,máthair,māte
558,Sohn::N,mac,пи
559,Sohn::N,mac,dēls
560,Tochter::N,iníon,ныв
561,Tochter::N,iníon,meita
562,Bruder::N,deartháir,вок
563,Bruder::N,deartháir,brālis
564,Schwester::N,deirfiúr,чой
565,Schwester::N,deirfiúr,māsa
566,Onkel::N,uncail,дядь
567,Onkel::N,uncail,tēvocis
568,Tante::N,aintín,тьӧт
569,Tante::N,aintín,tante
570,Ehemann::N,fear céile,верӧс
571,Ehemann::N,fear céile,vīrs
572,Ehefrau::N,bean chéile,гӧтыр
573,Ehefrau::N,bean chéile,sieva
574,Freude::N,áthas,радлун
575,Freude::N,áthas,prieks
576,Gelächter::N,gáire,серам
577,Gelächter::N,gáire,smiekli
578,Glück::N,séan,шуд
579,Glück::N,séan,laime
580,Glück::N,sonas,шуд
581,Glück::N,sonas,laime
582,Kummer::N,brón,шог
583,Kummer::N,brón,bēdas
584,Kummer::N,brón,raizes
585,Kummer::N,buairt,шог
586,Kummer::N,buairt,bēdas
587,Kummer::N,buairt,raizes
588,Wunsch::N,guí,кӧсйӧм
589,Wunsch::N,guí,vēlme
590,Wunsch::N,guí,vēlējums
591,Wunsch::N,achainí,кӧсйӧм
592,Wunsch::N,achainí,vēlme
593,Wunsch::N,achainí,vēlējums
594,Lust::N,fonn,кыскӧм
595,Lust::N,fonn,радейтӧм
596,Lust::N,fonn,kāre
597,Geist::N,meon,лов
598,Geist::N,meon,gars
599,Geist::N,spiorad,лов
600,Geist::N,spiorad,gars
601,Gedanke::N,smaoineamh,мӧвп
602,Gedanke::N,smaoineamh,doma
603,Gedächtnis::N,cuimhne,паметь
604,Gedächtnis::N,cuimhne,atmiņa
605,Verstand::N,ciall,вежӧр
606,Verstand::N,ciall,prāts
607,Verstand::N,intinn,вежӧр
608,Verstand::N,intinn,prāts
609,Sinn::N,brí,мог
610,Sinn::N,brí,вежӧртас
611,Sinn::N,brí,nozīme
612,Sinn::N,ciall,мог
613,Sinn::N,ciall,вежӧртас
614,Sinn::N,ciall,nozīme
615,Grund::N,fáth,помка
616,Grund::N,fáth,pamats
617,Grund::N,fáth,iemesls
618,Wahrheit::N,fírinne,збыль
619,Wahrheit::N,fírinne,збыльтор
620,Wahrheit::N,fírinne,taisnība
621,Wahrheit::N,fírinne,patiesība
622,Gespräch::N,comhrá,сёрни
623,Gespräch::N,comhrá,saruna
624,Märchen::N,scéal,мойд
625,Märchen::N,scéal,pasaka
626,Erzählung::N,scéal,висьт
627,Erzählung::N,scéal,stāsts
628,Erzählung::N,scéal,nostāsts
629,Nachricht::N,teachtaireacht,юӧртӧм
630,Nachricht::N,teachtaireacht,ziņa
631,Neuigkeit::N,scéala,выльтор
632,Neuigkeit::N,scéala,jaunums
633,Name::N,ainm,ним
634,Name::N,ainm,vārds
635,Rätsel::N,tomhas,нӧдкыв
636,Rätsel::N,tomhas,mīkla
637,Rede::N,óráid,сёрни
638,Rede::N,óráid,runa
639,Rede::N,aitheasc,сёрни
640,Rede::N,aitheasc,runa
641,Sprache::N,teanga,кыв
642,Sprache::N,teanga,valoda
643,Stimme::N,guth,гӧлӧс
644,Stimme::N,guth,вом шы
645,Stimme::N,guth,balss
646,Wort::N,focal,кыв
647,Wort::N,focal,vārds
648,Zeichen::N,comhartha,пас
649,Zeichen::N,comhartha,zīme
650,Ruf::N,glaoch,чукӧстчӧм
651,Ruf::N,glaoch,корӧм
652,Ruf::N,glaoch,sauciens
653,Lärm::N,torann,шы
654,Lärm::N,torann,зык
655,Lärm::N,torann,зычитӧм
656,Lärm::N,torann,troksnis
657,Laut::N,fuaim,шы
658,Laut::N,fuaim,skaņa
659,Ton::N,ton,шы
660,Ton::N,ton,tonis
661,Lied::N,amhrán,сьылан
662,Lied::N,amhrán,сьыланкыв
663,Lied::N,amhrán,dziesma
664,Ruhe::N,suaimhneas,чӧв
665,Ruhe::N,suaimhneas,miers
666,Leute::N,muintir,йӧз
667,Leute::N,muintir,войтыр
668,Leute::N,muintir,ļaudis
669,Leute::N,muintir,cilvēki
670,Volk::N,pobal,йӧз
671,Volk::N,pobal,войтыр
672,Volk::N,pobal,tauta
673,Arbeit::N,obair,удж
674,Arbeit::N,obair,darbs
675,Gast::N,aoi,гӧсть
676,Gast::N,aoi,viešņa
677,Gast::N,aoi,ciemiņš
678,Geschenk::N,féirín,козин
679,Geschenk::N,féirín,dāvana
680,Geschenk::N,bronntanas,козин
681,Geschenk::N,bronntanas,dāvana
682,Spiel::N,cluiche,ворсан
683,Spiel::N,cluiche,rotaļa
684,Gesellschaft::N,comhluadar,котыр
685,Gesellschaft::N,comhluadar,biedrība
686,Gesellschaft::N,comhluadar,kompānija
687,Hilfe::N,cúnamh,отсӧг
688,Hilfe::N,cúnamh,palīdzība
689,Hilfe::N,cabhair,отсӧг
690,Hilfe::N,cabhair,palīdzība
691,Freund::N,cara,ёрт
692,Freund::N,cara,draugs
693,Kamerad::N,comrádaí,ёрт
694,Kamerad::N,comrádaí,biedrs
695,Angelegenheit::N,ábhar,мог
696,Angelegenheit::N,ábhar,делӧ
697,Angelegenheit::N,ábhar,darīšana
698,Anzahl::N,líon,лыд
699,Anzahl::N,líon,тшӧт
700,Anzahl::N,líon,skaits
701,Anzahl::N,líon,daudzums
702,Art::N,sórt,сикас
703,Art::N,sórt,suga
704,Art::N,sórt,šķira
705,Art::N,saghas,сикас
706,Art::N,saghas,suga
707,Art::N,saghas,šķira
708,Stück::N,píosa,тор
709,Stück::N,píosa,gabals
710,Teil::N,cuid,юкӧн
711,Teil::N,cuid,daļa
712,Teil::N,páirt,юкӧн
713,Teil::N,páirt,daļa
714,Hälfte::N,leath,пӧв
715,Hälfte::N,leath,джын
716,Hälfte::N,leath,puse
717,Kreis::N,ciorcal,кытш
718,Kreis::N,ciorcal,aplis
719,Kreis::N,ciorcal,riņķis
720,Kreuz::N,cros,перна
721,Kreuz::N,cros,крест
722,Kreuz::N,cros,krusts
723,Linie::N,líne,визь
724,Linie::N,líne,līnija
725,Strich::N,stríoc,визь
726,Strich::N,stríoc,svītra
727,Abstand::N,achar,кост
728,Abstand::N,achar,коласт
729,Abstand::N,achar,atstarpe
730,Entfernung::N,fad,ылна
731,Entfernung::N,fad,attālums
732,Entfernung::N,fad,atstatums
733,Gegend::N,ceantar,му-ва
734,Gegend::N,ceantar,apvidus
735,Gegend::N,ceantar,apgabals
736,Platz::N,áit,ылдӧс
737,Platz::N,áit,йир
738,Platz::N,áit,гӧгӧртас
739,Platz::N,áit,vieta
740,Platz::N,spás,ылдӧс
741,Platz::N,spás,йир
742,Platz::N,spás,гӧгӧртас
743,Platz::N,spás,vieta
744,Ort::N,áit,ин
745,Ort::N,áit,места
746,Ort::N,áit,vieta
747,Seite::N,taobh,бок
748,Seite::N,taobh,ӧтарладор
749,Seite::N,taobh,sāns
750,Mitte::N,lár,шӧр
751,Mitte::N,lár,vidus
752,Gegenstand::N,ball,кӧлуй
753,Gegenstand::N,ball,priekšmets
754,Gegenstand::N,ábhar,кӧлуй
755,Gegenstand::N,ábhar,priekšmets
756,Sache::N,ní,добра
757,Sache::N,ní,lieta
758,Sache::N,rud,добра
759,Sache::N,rud,lieta
760,Rand::N,imeall,дор
761,Rand::N,imeall,mala
762,Rand::N,imeall,apmale
763,Rand::N,ciumhais,дор
764,Rand::N,ciumhais,mala
765,Rand::N,ciumhais,apmale
766,Kante::N,corr,дор
767,Kante::N,corr,šķautne
768,Kante::N,colbha,дор
769,Kante::N,colbha,šķautne
770,Ecke::N,coirnéal,пельӧс
771,Ecke::N,coirnéal,kakts
772,Ecke::N,coirnéal,stūris
773,Spitze::N,gob,йыв
774,Spitze::N,gob,smaile
775,Spitze::N,gob,galotne
776,Spitze::N,barr,йыв
777,Spitze::N,barr,smaile
778,Spitze::N,barr,galotne
779,Ende::N,ceann,пом
780,Ende::N,ceann,gals
781,Ende::N,ceann,uzgalis
782,Ende::N,foirceann,пом
783,Ende::N,foirceann,gals
784,Ende::N,foirceann,uzgalis
785,Loch::N,poll,розь
786,Loch::N,poll,caurums
787,Winkel::N,cúinne,пельӧс
788,Winkel::N,cúinne,leņķis
789,Winkel::N,uillinn,пельӧс
790,Winkel::N,uillinn,leņķis
791,Muster::N,patrún,сер
792,Muster::N,patrún,piemērs
793,Größe::N,méid,ыджда
794,Größe::N,méid,lielums
795,Größe::N,toise,ыджда
796,Größe::N,toise,lielums
797,Länge::N,fad,кузьта
798,Länge::N,fad,garums
799,Höhe::N,airde,джуджда
