,Concept_ID,lt,kv
83,Regen::N,lietus,зэр
84,Schnee::N,sniegas,лым
85,Eis::N,ledas,йы
86,Frost::N,šalna,мороз
87,Kälte::N,šaltis,кӧдзыт
88,Hitze::N,karštis,ӧд
89,Raureif::N,šerkšnas,кижа
90,Regenbogen::N,vaivorykštė,енӧшка
91,Donner::N,perkūnas,гым
92,Donner::N,griaustinis,гым
93,Strömung::N,tėkmė,визывтӧм
94,Tropfen::N,lašas,тёп
95,Schaum::N,putos,быг
96,Schmutz::N,purvas,нять
97,See::N,ežeras,ты
98,Sumpf::N,klampynė,арай
99,Sumpf::N,liūnas,арай
100,Moor::N,pelkė,нюр
101,Wiese::N,pieva,видз
102,Wald::N,miškas,вӧр
103,Hügel::N,kalva,мыльк
104,Anhöhe::N,kauburys,вывтас
105,Anhöhe::N,kauburys,вылынін
106,Berg::N,kalnas,керӧс
107,Gipfel::N,viršūnė,йыв
108,Höhle::N,ola,нора
109,Abhang::N,šlaitas,покат
110,Abhang::N,nuokalnė,покат
111,Quelle::N,versmė,больган
112,Quelle::N,šaltinis,больган
113,Bach::N,upelis,шор
114,Fluss::N,upė,ю
115,Ufer::N,krantas,берег
116,Küste::N,pajūris,берег
117,Festland::N,sausuma,му
118,Meer::N,jūra,море
119,Bucht::N,įlanka,курья
120,Bucht::N,užutekis,курья
121,Insel::N,sala,
122,Blume::N,gėlė,цветок
123,Gras::N,žolė,турун
124,Wurzel::N,šaknis,вуж
125,Baum::N,medis,пу
126,Stamm::N,kamienas,мыр
127,Stamm::N,kamienas,кер
128,Rinde::N,žievė,кач
129,Ast::N,šaka,ув
130,Zweig::N,šakelė,ув
131,Blatt::N,lapas,лист
132,Birke::N,beržas,кыдз
133,Kiefer[Baum]::N,pušis,пожум
134,Weide[Baum]::N,karklas,бадь
135,Tanne::N,eglė,кӧз
136,Tanne::N,kėnis,кӧз
137,Horn::N,ragas,сюр
138,Feder::N,plunksna,гӧн
139,Fell::N,kailis,кучик
140,Flügel::N,sparnas,борд
141,Klaue::N,kanopa,гыж
142,Kralle::N,nagas,кабыр
143,Schwanz::N,uodega,бӧж
144,Ei::N,kiaušinis,кольть
145,Nest::N,gūžta,поз
146,Nest::N,lizdas,поз
147,Bau::N,ola,осьта
148,Bau::N,ola,нора
149,Tier::N,gyvūnas,зверь
150,Herde::N,banda,гурт
151,Herde::N,kaimenė,гурт
152,Kuh::N,karvė,мӧс
153,Bulle::N,bulius,ӧшка
154,Pferd::N,arklys,вӧв
155,Schaf::N,avis,баля
156,Schwein::N,kiaulė,порсь
157,Hund::N,šuo,пон
158,Katze::N,katė,кань
159,Bär::N,lokys,ош
160,Eichhörnchen::N,voveraitė,ур
161,Elch::N,briedis,вӧр мӧс
162,Fuchs::N,lapė,руч
163,Hase::N,kiškas,кӧч
164,Maus::N,pelė,шыр
165,Wolf::N,vilkas,кӧин
166,Vogel::N,paukštis,кай
167,Schwarm::N,spiečius,стая
168,Schwarm::N,spiečius,чукӧр
169,Huhn::N,višta,курӧг
170,Hahn::N,gaidys,петух
171,Hahn::N,gaidys,ай курӧг
172,Gans::N,žąsis,дзодзог
173,Adler::N,erelis,куч
174,Adler::N,erelis,кутш
175,Ente::N,antis,утка
176,Eule::N,pelėda,тупка
177,Kranich::N,gervė,тури
178,Krähe::N,varna,рака
179,Kuckuck::N,gegužė,кӧк
180,Schwan::N,gulbė,юсь
181,Fisch::N,žuvis,чери
182,Barsch::N,ešerys,ёкыш
183,Hecht::N,lydeka,сирпинь
184,Schlange[Tier]::N,gyvatė,змей
185,Wurm::N,kirmėlė,номыр
186,Spinne::N,voras,черань
187,Ameise::N,skruzdė,кӧдзывкар
188,Laus::N,utėlė,ляпа той
189,Mücke::N,uodas,ном
190,Fliege::N,musė,гут
191,Schmetterling::N,drugys,бабыв
192,Schmetterling::N,peteliškė,бабыв
193,Beere::N,uoga,ягӧд
194,Apfel::N,obuolys,яблоко
195,Pilz::N,grybas,тшак
196,Zwiebel::N,svogūnas,грез
197,Saat::N,sėkla,кӧдзыс
198,Korn::N,grūdai,сю
199,Heu::N,šienas,турун
200,Schale::N,žievelė,кыш
201,Schale::N,žievelė,киль
202,Grube::N,duobė,яма
203,Falle::N,pinklės,нальк
204,Falle::N,pinklės,кляпча
205,Falle::N,žabangai,нальк
206,Falle::N,žabangai,кляпча
207,Schlinge::N,kilpa,лӧч
208,Spur::N,vėžė,туй
209,Spur::N,pėdos,туй
210,Spur::N,pėdsakas,туй
211,Asche::N,pelenai,пӧим
212,Dreck::N,purvas,нять
213,Eisen::N,geležis,кӧрт
214,Gold::N,auksas,зарни
215,Silber::N,sidabras,язісь
216,Kohle::N,anglis,шом
217,Kohle::N,anglis,уголь
218,Glas::N,stiklas,стекло
219,Lehm::N,molis,сёй
220,Sand::N,smėlis,лыа
221,Mensch::N,žmogus,морт
222,Mann::N,vyras,мужик
223,Mann::N,vyriškis,мужик
224,Frau::N,moteris,инька
225,Kind::N,vaikas,кага
226,Junge::N,vaikinas,зонка
227,Junge::N,berniukas,зонка
228,Mädchen::N,mergytė,нывкаок
229,Mädchen::N,mergaitė,нывкаок
230,Familie::N,šeima,семья
231,Großvater::N,senelis,дед
232,Großmutter::N,senelė,баб
233,Eltern::N,tėvai,ай-мам
234,Vater::N,tėvas,ай
235,Mutter::N,motina,мам
236,Sohn::N,sūnus,зон
237,Tochter::N,duktė,ныв
238,Bruder::N,brolis,вон
239,Schwester::N,sesuo,сой
240,Onkel::N,dėdė,дядь
241,Tante::N,teta,айӧлӧн сой
242,Tante::N,teta,ичинь
243,Ehemann::N,vyras,жӧник
244,Ehefrau::N,žmona,инь
245,Freude::N,džiaugsmas,гаж
246,Freude::N,džiaugsmas,радъялӧм
247,Gelächter::N,juokas,сералӧм
248,Glück::N,laimė,мичлун
249,Kummer::N,vargas,шог
250,Kummer::N,rūpestis,шог
251,Wunsch::N,troškimas,мӧдӧм
252,Wunsch::N,troškimas,охотитӧм
253,Wunsch::N,pageidavimas,мӧдӧм
254,Wunsch::N,pageidavimas,охотитӧм
255,Lust::N,noras,охота
256,Lust::N,geidulys,охота
257,Geist::N,dvasia,лов
258,Gedanke::N,mintis,дума
259,Gedächtnis::N,atmintis,тӧдвыв
260,Verstand::N,protas,вежӧр
261,Sinn::N,prasmė,ылӧс
262,Grund::N,priežastis,мог
263,Wahrheit::N,tiesa,правда
264,Wahrheit::N,teisybė,правда
265,Gespräch::N,pokalbis,сёрни
266,Märchen::N,pasaka,сказка
267,Erzählung::N,apsakymas,висьт
268,Erzählung::N,pasakojimas,висьт
269,Nachricht::N,žinia,юӧр
270,Nachricht::N,žinia,висьталӧм
271,Neuigkeit::N,naujiena,новость
272,Name::N,vardas,ним
273,Rätsel::N,mįslė,загадка
274,Rede::N,kalba,сёрни
275,Sprache::N,kalba,кыв
276,Stimme::N,balsas,голос
277,Wort::N,žodis,кыв
278,Zeichen::N,žymė,пас
279,Zeichen::N,ženklas,пас
280,Ruf::N,šauksmas,чуксӧм
281,Ruf::N,šauksmas,чукӧстӧм
282,Lärm::N,triukšmas,шум
283,Laut::N,garsas,шы
284,Ton::N,tonas,гор
285,Ton::N,garsas,гор
286,Lied::N,daina,сьыланкыв
287,Lied::N,giesmė,сьыланкыв
288,Ruhe::N,ramybė,спокой
289,Ruhe::N,ramumas,спокой
290,Leute::N,žmonės,йӧз
291,Volk::N,tauta,йӧз
292,Volk::N,tauta,народ
293,Arbeit::N,darbas,удж
294,Arbeit::N,triūsas,удж
295,Gast::N,svečias,гӧсь
296,Geschenk::N,dovana,гӧснеч
297,Geschenk::N,dovana,подарок
298,Spiel::N,žaismas,орсӧм
299,Spiel::N,žaidimas,орсӧм
300,Gesellschaft::N,draugija,компания
301,Gesellschaft::N,kompanija,компания
302,Hilfe::N,pagalba,отсӧт
303,Freund::N,draugas,модз
304,Freund::N,draugas,дружок
305,Freund::N,bičiulis,модз
306,Freund::N,bičiulis,дружок
307,Kamerad::N,draugas,тӧдса
308,Angelegenheit::N,dalykas,дело
309,Angelegenheit::N,reikalas,дело
310,Anzahl::N,kiekis,лыд
311,Anzahl::N,skaičius,лыд
312,Art::N,rūšis,пӧлӧс
313,Stück::N,gabalas,тор
314,Teil::N,dalis,юкӧм
315,Hälfte::N,pusė,джын
316,Kreis::N,ratas,круг
317,Kreis::N,apskritis,круг
318,Kreis::N,apskritimas,круг
319,Kreuz::N,kryžius,перна
320,Linie::N,linija,визь
321,Strich::N,brėžis,кырӧв
322,Strich::N,brūkšnys,кырӧв
323,Abstand::N,atstumas,колас
324,Entfernung::N,atstumas,ылына
325,Gegend::N,vietovė,места
326,Platz::N,vieta,места
327,Ort::N,vieta,места
328,Ort::N,vietovė,места
329,Seite::N,pusė,ладор
330,Seite::N,šonas,ладор
331,Mitte::N,vidurys,шӧр
332,Gegenstand::N,dalykas,тор
333,Sache::N,daiktas,тор
334,Rand::N,kraštas,дор
335,Rand::N,pakraštys,дор
336,Kante::N,kraštas,ордлы
337,Ecke::N,kertė,пельӧс
338,Ecke::N,kampas,пельӧс
339,Spitze::N,priekis,йыв
340,Spitze::N,priešakys,йыв
341,Ende::N,galas,йыв
342,Loch::N,skylė,осьта
343,Winkel::N,kampas,пельӧс
344,Winkel::N,kampelis,пельӧс
345,Muster::N,raštas,сер
346,Größe::N,dydis,ыжда
347,Größe::N,didumas,ыжда
348,Länge::N,ilgis,кузя
349,Länge::N,ilgumas,кузя
350,Höhe::N,aukštis,сувда
351,Höhe::N,aukštis,вылына
352,Höhe::N,aukštuma,сувда
353,Höhe::N,aukštuma,вылына
354,Gewicht::N,svoris,сьӧкта
355,Gewicht::N,svarstis,сьӧкта
356,Menge::N,kiekis,
357,Menge::N,daugybė,
358,Haufen::N,krūva,куча
359,Haufen::N,šūsnis,куча
360,Reihe::N,greta,лёдз
361,Boot::N,valtis,пыж
362,Boot::N,laivelis,пыж
363,Ruder::N,irklas,пелыс
364,Schlitten::N,rogės,додь
365,Schlitten::N,rogutės,додь
366,Ski::N,slidė,лямпа
367,Lagerfeuer::N,laužas,бипур
368,Last::N,našta,тягота
369,Last::N,nešulys,тягота
370,Gang::N,eisena,мунӧм
371,Schritt::N,žingsnis,вожмӧв
372,Norden::N,šiaurė,ой
373,Norden::N,žiemiai,ой
374,Süden::N,pietūs,лун
375,Westen::N,vakarai,рытвыв
376,Osten::N,rytai,асыв
377,Holz::N,mediena,пу
378,Brett::N,lenta,пӧв
379,Platte::N,plokštė,плита
380,Stütze::N,atrama,пика
381,Stütze::N,atspara,пика
382,Stange::N,lazda,зор
383,Stange::N,lazda,потш
384,Stange::N,kartis,зор
385,Stange::N,kartis,потш
386,Stock::N,lazda,бедь
387,Stab::N,kartis,шест
388,Rohr::N,vamzdis,труба
389,Haus::N,namas,керку
390,Heim::N,namai,керку
391,Ofen::N,krosnis,пӧжавны
392,Fußboden::N,grindys,джодж
393,Tisch::N,stalas,пызан
394,Stuhl::N,kėdė,стул
395,Wiege::N,lopšys,зыбка
396,Bett::N,lova,кровать
397,Bett::N,patalai,кровать
398,Regal::N,lentyna,джадж
399,Kiste::N,dėžė,ящик
400,Fenster::N,langas,ӧшын
401,Tür::N,durys,ыбӧс
402,Tor::N,vartai,ворота
403,Zaun::N,tvora,забор
404,Dach::N,stogas,крыша
405,Leiter::N,kopėčios,лиснич
406,Besen::N,šluota,рос
407,Spaten::N,lopeta,зыр
408,Spaten::N,kastuvas,зыр
409,Schaufel::N,semtuvas,зыр
410,Gabel::N,šakutė,вила
411,Löffel::N,šaukštas,пань
412,Messer::N,peilis,пурт
413,Nagel::N,vinis,кӧрттув
414,Netz::N,tinklas,кыйӧт
415,Haken::N,vagis,ем
416,Haken::N,kablys,ем
417,Griff::N,kotas,пу
418,Griff::N,rankena,пу
419,Schloss::N,spyna,замок
420,Schloss::N,užraktas,замок
421,Bild::N,paveikslas,картина
422,Figur::N,figūra,мыгӧр
423,Puppe::N,lėlė,акань
424,Beutel::N,krepšys,мешӧк
425,Beutel::N,maišelis,мешӧк
426,Bündel::N,ryšulys,нин
427,Tasche::N,krepšelis,сумка
428,Eimer::N,kibiras,ведра
429,Deckel::N,dangtis,вевт
430,Geschirr::N,indai,доз
431,Geschirr::N,indai,бекӧрпань
432,Sack::N,maišas,мешӧк
433,Tasse::N,puodukas,бекӧр
434,Topf::N,puodas,кастрюля
435,Kessel::N,katilas,пӧрт
436,Essen::N,valgis,сёйӧм
437,Nahrung::N,penas,вердан
438,Nahrung::N,maistas,вердан
439,Speise::N,patiekalas,сёян
440,Fleisch::N,mėsa,яй
441,Getreide::N,javai,сю
442,Brei::N,košė,каша
443,Brot::N,duona,нянь
444,Scheibe::N,riekė,шӧрӧм
445,Fett::N,taukai,гос
446,Fett::N,riebalai,гос
447,Butter::N,sviestas,ви
448,Öl::N,aliejus,ви
449,Salz::N,druska,сов
450,Suppe::N,sriuba,шыд
451,Honig::N,medus,ма
452,Milch::N,pienas,йӧв
453,Tee::N,arbata,чай
454,Leder::N,oda,кучик
455,Wolle::N,vilna,гӧн
456,Stoff::N,audeklas,дӧра
457,Nadel::N,adata,ем
458,Faden::N,gija,сунис
459,Faden::N,siūlas,сунис
460,Knopf::N,saga,кизь
461,Knoten::N,mazgas,узӧв
462,Knoten::N,mazgas,гӧрӧд
463,Farbe::N,dažai,краска
464,Kleidung::N,rūbai,паськӧм
465,Kleidung::N,drabužiai,паськӧм
466,Hemd::N,marškiniai,йӧрнӧс
467,Kragen::N,apykaklė,воротник
468,Ärmel::N,rankovė,сос
469,Hose::N,kelnės,вешьян
470,Gürtel::N,juosta,йи
471,Gürtel::N,diržas,йи
472,Mütze::N,kepurė,шапка
473,Schuh::N,batas,ботинки
474,Stiefel::N,auliniai batai,сапог
475,Ring::N,žiedas,чунькытш
476,Band::N,kaspinas,ленточка
477,Kamm::N,šukos,сынан
478,Spiegel::N,veidrodis,зеркало
479,Riemen::N,diržas,ремень
480,Schnur::N,virvė,гез
481,Leine::N,pavadėlis,повод
482,Decke::N,antklodė,одеяло
483,Kissen::N,pagalvė,подушка
484,Kissen::N,priegalvis,подушка
485,Tuch::N,skarelė,чышьян
486,Handtuch::N,rankšluostis,чышкӧт
487,Kraft::N,jėga,прак
488,Stärke::N,stiprumas,вын
489,Gesundheit::N,sveikata,здоровье
490,Krankheit::N,liga,шог
491,Schmerz::N,skausmas,зубыт
492,Wunde::N,žaizda,рана
493,Fieber::N,karštis,лёк тресся
494,Fieber::N,karštis,кынтан шогӧт
495,Arznei::N,vaistas,лекарство
496,Brücke::N,tiltas,пос
497,Brunnen::N,šulinys,колодец 
498,Weide::N,ganykla,пода йирсян
499,Weide::N,gluosnis,пода йирсян
500,Pfad::N,takas,туй
501,Weg::N,kelias,туй
502,Straße::N,gatvė,туй
503,Dorf::N,kaimas,деревня
504,Dorf::N,sodžius,деревня
505,Stadt::N,miestas,город
506,Brief::N,laiškas,гижӧт
507,Buch::N,knyga,книга
508,Buchstabe::N,raidė,буква
509,Zeitung::N,laikraštis,газета
510,Leben::N,gyvybė,олан
511,Leben::N,gyvenimas,олан
512,Tod::N,mirtis,кулӧм
513,Grab::N,kapas,гу
514,Kirche::N,bažnyčia,вичку
515,Sünde::N,nuodėmė,грек
516,Sünde::N,nusidėjimas,грек
517,Gott::N,dievas,ен
518,Arbeiter::N,darbininkas,уджалiсь
519,Chef::N,šefas,начальник
520,Chef::N,vadovas,начальник
521,Chef::N,viršininkas,начальник
522,Meister::N,meistras,мастер
523,Arzt::N,gydytojas,врач
524,Lehrer::N,mokytojas,велӧтісь
525,Geld::N,pinigai,деньга
526,Geschäft::N,biznis,удж
527,Laden::N,krautuvė,магазин
528,Laden::N,parduotuvė,магазин
529,Preis::N,kaina,дон
530,Ware::N,prekė,товар
531,Nutzen::N,nauda,путь
532,Nutzen::N,pelnas,путь
533,Reichtum::N,turtas,богатство
534,Welt::N,pasaulis,му
535,Land::N,žemė,страна
536,Land::N,šalis,страна
537,Staat::N,valstija,государство
538,König::N,karalius,кан
539,Macht::N,galia,власть
540,Macht::N,valdžia,власть
541,Grenze::N,riba,граница
542,Grenze::N,siena,граница
543,Krieg::N,karas,война
544,Feind::N,priešas,враг
545,Gewalt::N,jėga,
546,Gewalt::N,smurtas,
547,Gewalt::N,prievarta,
548,Kampf::N,kova,нярасьӧм
549,Kampf::N,kova,вермасьӧм
550,Bogen[Waffe]::N,lankas,лук
551,Pfeil::N,strėlė,ньӧв
552,Gewehr::N,šautuvas,ружьё
553,Fehler::N,klaida,ошибка
554,Lüge::N,melas,ылӧтӧм
555,Lüge::N,melas,пӧрьялӧм
556,Schaden::N,nuostolis,лёк
557,Schaden::N,apgadinimas,лёк
558,Unglück::N,nelaimė,пик
559,Unglück::N,nelaimė,оказзё
560,Schuld::N,kaltė,вина
561,Alter::N,amžius,
562,Schluss::N,pabaiga,ком
563,Zeit::N,laikas,кад
564,Tag::N,diena,лун
565,Morgen::N,rytas,асыв
566,Mittag::N,vidurdienis,луншӧр кад
567,Abend::N,vakaras,рыт
568,Nacht::N,naktis,ой
569,Woche::N,savaitė,неделя
570,Monat::N,mėnuo,тӧлicь
571,Jahr::N,metai,год
572,Frühling::N,pavasaris,тулыс
573,Sommer::N,vasara,гожум
574,Herbst::N,ruduo,ар
575,Winter::N,žiema,тӧв
576,Januar::N,sausis,январ
577,Februar::N,vasaris,февраль
578,März::N,kovas,март
579,April::N,balandis,апрель
580,Mai::N,gegužė,май
581,Juni::N,birželis,юнь
582,Juli::N,liepa,юль
583,August::N,rugpjūtis,август
584,September::N,rugsėjis,сентяб
585,Oktober::N,spalis,октяб
586,November::N,lapkritis,нояб
587,Dezember::N,gruodis,декаб
588,Montag::N,pirmadienis,вильлун
589,Dienstag::N,antradienis,мӧдӧдзлун
590,Mittwoch::N,trečiadienis,шӧрлун
591,Donnerstag::N,ketvirtadienis,нёльӧдзлун
592,Freitag::N,penktadienis,витӧдзлун
593,Samstag::N,šeštadienis,пывсянлун
594,Sonntag::N,sekmadienis,кресення
595,groß::A,didis,ыджыт
596,groß::A,didelis,ыджыт
597,klein::A,mažas,учӧтик
598,lang::A,ilgas,кузь
599,kurz::A,trumpas,дженыт
600,breit::A,platus,ота
601,schmal::A,smulkus,векнит
602,dicht::A,tankus,тшӧк
603,dick[Gegenstand]::A,storas,кыз
604,dünn::A,plonas,вӧснит
605,fein::A,smulkus,вӧснит
606,fest::A,kietas,крепыт
607,fest::A,tvirtas,крепыт
608,flach::A,lėkštas,лапкӧса
609,flach::A,plokščias,лапкӧса
610,glatt::A,slidus,волькыт
611,hart::A,kietas,чӧрыт
612,weich::A,minkštas,небыт
613,rund::A,apvalus,гӧгрӧса
614,rund::A,apskritas,гӧгрӧса
615,spitz::A,aštrus,ёся
616,spitz::A,smailus,ёся
617,scharf::A,aštrus,лэчыт
618,stumpf::A,bukas,ныж
619,stumpf::A,atšipęs,ныж
620,schwer::A,sunkus,сьӧкыт
621,schön::A,gražus,басӧк
622,heiß::A,karštas,жар
623,warm::A,šiltas,шоныт
624,kalt::A,šaltas,кӧдзыт
625,kühl::A,vėsus,сайкыт
626,kühl::A,bejausmis,сайкыт
627,frisch::A,šviežias,виль
628,feucht::A,drėgnas,вакодь
629,nass::A,šlapias,ва
630,trocken::A,sausas,кӧс
631,voll::A,pilnas,тыра
632,leer::A,tuščias,тыртӧм
633,offen::A,atviras,оссьӧм
634,geschlossen::A,uždaras,игана
635,geschlossen::A,uždaras,пӧдана
636,geschlossen::A,uždarytas,игана
637,geschlossen::A,uždarytas,пӧдана
638,sauber::A,švarus,сӧдз
639,sauber::A,švarus,сӧстӧм
640,schmutzig::A,nešvarus,нятьӧсь
641,schmutzig::A,purvinas,нятьӧсь
642,roh::A,žalias,путӧм
643,reif::A,prinokęs,кисьмалӧм
644,reif::A,pribrendęs,кисьмалӧм
645,lecker::A,gardus,кӧра 
646,süß::A,saldus,чӧскыт
647,bitter::A,kartus,курыт
648,sauer::A,gižus,шӧма 
649,sauer::A,rūgštus,шӧма 
650,hell::A,šviesus,югыт
651,hell::A,skaistus,югыт
652,dunkel::A,tamsus,пемыт
653,schwarz::A,juodas,сьӧд
654,weiß::A,baltas,чочком
655,rot::A,raudonas,гӧрд
656,gelb::A,geltonas,веж
657,blau::A,mėlynas,лӧз
658,grün::A,žalias,веж
659,grau::A,pilkas,руд
660,grau::A,pilkas,бусӧй
661,bunt::A,margas,быдрӧма
662,bunt::A,spalvotas,быдрӧма
663,billig::A,pigus,донтӧм
664,teuer::A,brangus,дона
665,wertvoll::A,vertingas,дона
666,blind::A,aklas,синтӧм
667,taub::A,kurčias,пельтӧм
668,kräftig::A,stiprus,вына
669,stark::A,stiprus,вына
670,schwach::A,silpnas,некодя
671,fett::A,riebus,госа
672,schlank::A,laibas,статя
673,schlank::A,lieknas,статя
674,hübsch::A,gražus,басӧк
675,böse::A,blogas,лёк
676,dumm::A,paikas,бӧбӧв
677,dumm::A,paikas,вежӧртӧм
678,dumm::A,kvailas,бӧбӧв
679,dumm::A,kvailas,вежӧртӧм
680,faul::A,tingus,дыш
681,fleißig::A,stropus,уджалicь
682,fleißig::A,kruopštus,уджалicь
683,geizig::A,šykštus,жикмӧра
684,geizig::A,šykštus,горшаліcь
685,klug::A,sumanus,авья
686,klug::A,sumanus,вежӧра
687,klug::A,protingas,авья
688,klug::A,protingas,вежӧра
689,geschickt::A,apsukrus,кипода
690,lieb::A,mielas,муса
691,lieb::A,mielas,дзулиньӧй
692,lustig::A,smagus,гажа
693,lustig::A,linksmas,гажа
694,sanft::A,švelnus,лебезнӧй
695,sanft::A,minkštas,лебезнӧй
696,hungrig::A,alkanas,тшыг
697,krank::A,ligotas,шогалiсь
698,krank::A,sergantis,шогалiсь
699,nackt::A,nuogas,куш
700,traurig::A,liūdnas,жугыль
701,lebendig::A,gyvas,ловья
702,gut::A,geras,бур
703,schlecht::A,blogas,умӧль
704,schlecht::A,prastas,умӧль
705,richtig::A,tikras,
706,richtig::A,teisingas,
707,schlimm::A,blogas,нештӧм
708,schlimm::A,prastas,нештӧм
709,wahr::A,tikras,
710,alt::A,senas,важ
711,neu::A,naujas,виль
712,ehemalig::A,buvęs,вӧвлӧм
713,alt[Lebewesen]::A,pagyvenęs,года
714,alt[Lebewesen]::A,pagyvenęs,годдэза
715,jung::A,jaunas,том
716,arm::A,neturtingas,гов
717,arm::A,neturtingas,беднӧй
718,reich::A,turtingas,эма
719,bekannt::A,žinomas,тӧдса
720,bekannt::A,pažįstamas,тӧдса
721,berühmt::A,žymus,
722,berühmt::A,garsus,
723,fremd::A,svetimas,чужӧй
724,verschieden::A,įvairus,быдкодь
725,nah::A,artimas,матiсь
726,fern::A,tolimas,ылicь
727,linker::A,kairys,шульга
728,rechter::A,dešinys,веськытланись
729,anderer::A,kitas,мукӧд
730,erster::A,pirmas,медодзза
731,zweiter::A,antras,кыкӧт
732,dritter::A,trečias,куимӧт
733,dritter::A,trečias,куимӧдз
734,letzter::A,paskutinis,бӧрья
735,letzter::A,paskutinis,мёдбӧрья
736,allein::ADV,vienas,
737,auf einmal::ADV,iš karto,тшӧтш
738,zusammen::ADV,kartu,ӧтлаын
739,zusammen::ADV,drauge,ӧтлаын
740,lange::ADV,ilgai,дыр
741,plötzlich::ADV,staiga,друг
742,sofort::ADV,tuojau,тшӧтш
743,später::ADV,vėliau,медбӧрын
744,später::ADV,paskiau,медбӧрын
745,jetzt::ADV,dabãr,ӧні
746,heute::ADV,šiandien,талун
747,morgen::ADV,rytoj,ашын
748,bald::ADV,greitai,чожа
749,bald::ADV,netrukus,чожа
750,dann::ADV,po to,сыбӧрын
751,gestern::ADV,vakar,тӧн
752,einst::ADV,kadaise,ӧтпыр
753,einst::ADV,kitą kartą,ӧтпыр
754,damals::ADV,anuomet,сэк
755,damals::ADV,anuomet,сэки
756,damals::ADV,anuokart,сэк
757,damals::ADV,anuokart,сэки
758,danach::ADV,po to,сэсся
759,danach::ADV,paskui,сэсся
760,vorher::ADV,anksčiau,одзжык
761,zuerst::ADV,pirma,наперво
762,zuerst::ADV,iš pradžių̃,наперво
763,einmal::ADV,kartą,ӧтпыр
764,einmal::ADV,vieną kartą,ӧтпыр
765,manchmal::ADV,kai kada,мукӧдпыр
766,oft::ADV,dažnai,-лы-
767,immer::ADV,visada,быдпыр
768,immer::ADV,visada,быдпырся
769,immer::ADV,visuomet,быдпыр
770,immer::ADV,visuomet,быдпырся
771,niemals::ADV,niekada,некӧр
772,niemals::ADV,niekuomet,некӧр
773,hier::ADV,čia,татӧн
774,hierhin::ADV,šen,татчӧ
775,hierhin::ADV,čionai,татчӧ
776,von hier::ADV,iš čia,тасянь
777,dort::ADV,ten,сэтӧн
778,dort::ADV,tenai,сэтӧн
779,dorthin::ADV,ten,сэтчин
