,Concept_ID,ga,te
134,Insel::N,oileán,దీవి
135,Blume::N,bláth,పుష్పము
136,Gras::N,féar,పచ్చగడ్డి
137,Wurzel::N,rúta,వేరు
138,Wurzel::N,fréamh,వేరు
139,Baum::N,crann,చెట్టు
140,Stamm::N,stoc,చెట్టుబోదె
141,Stamm::N,tamhan,చెట్టుబోదె
142,Rinde::N,coirt,చెట్టుపట్ట
143,Rinde::N,craiceann,చెట్టుపట్ట
144,Ast::N,géag,కొమ్మ
145,Zweig::N,géag,చివుకు
146,Zweig::N,craobh,చివుకు
147,Blatt::N,duille,ఆకు
148,Blatt::N,duilleog,ఆకు
149,Birke::N,beith,తరహా చెట్టు
150,Birke::N,crann beithe,తరహా చెట్టు
151,Kiefer[Baum]::N,péine,దేవదారు చెట్టు
152,Weide[Baum]::N,saileach,జాతిచెట్టు
153,Tanne::N,giúis,దేవదారుచెట్టు
154,Horn::N,adharc,కొమ్ము
155,Feder::N,cleite,ఈక
156,Fell::N,clúmh,తోలు
157,Flügel::N,eite,ఱెక్క
158,Flügel::N,sciathán,ఱెక్క
159,Klaue::N,crúb,వంకరగోరు
160,Klaue::N,crobh,వంకరగోరు
161,Kralle::N,crobh,వంకరగోరు
162,Schwanz::N,eireaball,తోక
163,Ei::N,ubh,గ్రుడ్డు
164,Nest::N,nead,పక్షిగూడు
165,Bau::N,brocais,గుహ
166,Tier::N,ainmhí,జంతువు
167,Tier::N,beithíoch,జంతువు
168,Herde::N,tréad,మంద
169,Kuh::N,bó,ఆవు
170,Bulle::N,tarbh,గిత్త
171,Pferd::N,each,గుఱ్ఱము
172,Pferd::N,capall,గుఱ్ఱము
173,Schaf::N,caora,గొఱ్ఱె
174,Schwein::N,muc,పంది
175,Hund::N,madra,కుక్క
176,Katze::N,cat,పిల్లి
177,Bär::N,béar,ఎలుగుబంటి
178,Eichhörnchen::N,iora,ఉడుత
179,Elch::N,eilc,కణంజు
180,Fuchs::N,sionnach,గుంటనక్క
181,Fuchs::N,madra rua,గుంటనక్క
182,Hase::N,giorria,కుందేలు
183,Maus::N,luch,చిట్టెలుక
184,Wolf::N,mac tíre,తోడేలు
185,Vogel::N,éan,పక్షి
186,Schwarm::N,saithe,గుంపు
187,Huhn::N,cearc,కోడిపిల్ల
188,Hahn::N,coileach,కోడివుంజు
189,Gans::N,gé,ఆడుబాతు
190,Adler::N,iolar,గ్రద్ద
191,Ente::N,lacha,పాట్టిబాతు
192,Eule::N,ulchabhán,గ్రుడ్లగూబ
193,Kranich::N,grús,కొంగ
194,Krähe::N,caróg,కాకి
195,Krähe::N,préachán,కాకి
196,Kuckuck::N,cuach,కోయల
197,Schwan::N,eala,హంస
198,Fisch::N,iasc,చేప
199,Barsch::N,péirse,ఒకచేఁప
200,Hecht::N,liús,గండుమీను
201,Schlange[Tier]::N,nathair,పాము
202,Wurm::N,péist,పురుగు
203,Spinne::N,damhán alla,సాలె పురుగు
204,Ameise::N,seangán,చీమ
205,Laus::N,míol,పేను
206,Mücke::N,muiscít,చీకటీగ
207,Mücke::N,corrmhíol,చీకటీగ
208,Fliege::N,cuil,ఈగ
209,Fliege::N,cuileog,ఈగ
210,Schmetterling::N,féileacán,సీతాకోకచిలుక
211,Beere::N,caor,కాయ
212,Apfel::N,úll,ఆపిల్ పండు
213,Pilz::N,beacán,కుక్కగొడుగు
214,Pilz::N,muisiriún,కుక్కగొడుగు
215,Zwiebel::N,oinniún,నీరుల్లి
216,Saat::N,síol,విత్తనము
217,Korn::N,gráinne,గింజ
218,Heu::N,féar,ఎండుగడ్డి
219,Schale::N,scaimh,పొట్టు
220,Grube::N,poll,గొయ్యి
221,Falle::N,gaiste,బోను
222,Schlinge::N,sealán,ఉరి
223,Spur::N,rian,జాడ
224,Asche::N,luaith,బూడిద
225,Dreck::N,salachar,ముఱికి
226,Eisen::N,iarann,ఇనుము
227,Gold::N,ór,బంగారము
228,Silber::N,airgead,వెండి
229,Kohle::N,gual,నేలబొగ్గు
230,Glas::N,gloine,గాజు
231,Lehm::N,cré,బంకమన్ను
232,Sand::N,gaineamh,ఇసుక
233,Mensch::N,duine,నరుడు
234,Mann::N,fear,పురుమడు
235,Frau::N,bean,ఆడుది
236,Kind::N,gasúr,బిడ్డ
237,Kind::N,páiste,బిడ్డ
238,Junge::N,buachaill,బాలుడు
239,Mädchen::N,cailín,బాలిక
240,Familie::N,teaghlach,కుటుంబము
241,Familie::N,comhluadar,కుటుంబము
242,Großvater::N,seanathair,తాత
243,Großmutter::N,seanmháthair,అయ్యమ్మ
244,Eltern::N,tuismitheoirí,తల్లితండ్రులు
245,Vater::N,athair,తండ్రి
246,Mutter::N,máthair,తల్లి
247,Sohn::N,mac,కొడుకు
248,Tochter::N,iníon,కూతురు
249,Bruder::N,deartháir,పోదరుడు
250,Schwester::N,deirfiúr,సోదరి
251,Onkel::N,uncail,మేనమామ
252,Tante::N,aintín,మేనత్త
253,Tante::N,aintín,పినతల్లి
254,Ehemann::N,fear céile,భర్త
255,Ehefrau::N,bean chéile,భార్య
256,Freude::N,áthas,సంతోషము
257,Gelächter::N,gáire,నవ్వు
258,Glück::N,séan,సంతోషము
259,Glück::N,sonas,సంతోషము
260,Kummer::N,brón,దుఃఖము
261,Kummer::N,buairt,దుఃఖము
262,Wunsch::N,guí,కోరిక
263,Wunsch::N,achainí,కోరిక
264,Lust::N,fonn,కోరిక
265,Geist::N,meon,ఆత్మ
266,Geist::N,spiorad,ఆత్మ
267,Gedanke::N,smaoineamh,ఆలోచన
268,Gedächtnis::N,cuimhne,జ్ఞాపకము
269,Verstand::N,ciall,మనస్సు
270,Verstand::N,intinn,మనస్సు
271,Sinn::N,brí,అర్థము
272,Sinn::N,ciall,అర్థము
273,Grund::N,fáth,కారణము
274,Wahrheit::N,fírinne,సత్యము
275,Gespräch::N,comhrá,పంభాషణ
276,Märchen::N,scéal,అద్భుతకథ
277,Erzählung::N,scéal,కథ
278,Nachricht::N,teachtaireacht,వార్త
279,Neuigkeit::N,scéala,వార్త
280,Name::N,ainm,పేరు
281,Rätsel::N,tomhas,చిక్కు
282,Rede::N,óráid,ఉపన్యాసము
283,Rede::N,aitheasc,ఉపన్యాసము
284,Sprache::N,teanga,భాష
285,Stimme::N,guth,కంరథ్సని
286,Wort::N,focal,మాట
287,Zeichen::N,comhartha,గుర్తు
288,Ruf::N,glaoch,పిలువు
289,Lärm::N,torann,సందడి
290,Laut::N,fuaim,ధ్వని
291,Ton::N,ton,స్వరము
292,Lied::N,amhrán,పాట
293,Ruhe::N,suaimhneas,గాలిలేమి
294,Leute::N,muintir,జనులు
295,Volk::N,pobal,జాతి
296,Arbeit::N,obair,పని
297,Gast::N,aoi,అతిధి
298,Geschenk::N,féirín,దానము
299,Geschenk::N,bronntanas,దానము
300,Spiel::N,cluiche,ఆట
301,Gesellschaft::N,comhluadar,జట్టు
302,Hilfe::N,cúnamh,సాహాయ్యము
303,Hilfe::N,cabhair,సాహాయ్యము
304,Freund::N,cara,స్నేహితుడు
305,Kamerad::N,comrádaí,చెలికాడు
306,Angelegenheit::N,ábhar,విషయము
307,Anzahl::N,líon,లెక్క
308,Art::N,sórt,జాతి
309,Art::N,saghas,జాతి
310,Stück::N,píosa,తునుక
311,Teil::N,cuid,భాగము
312,Teil::N,páirt,భాగము
313,Hälfte::N,leath,సగము
314,Kreis::N,ciorcal,వృత్తము
315,Kreuz::N,cros,సిలువ
316,Linie::N,líne,గీత
317,Strich::N,stríoc,గీత
318,Abstand::N,achar,సందు
319,Entfernung::N,fad,దూరము
320,Gegend::N,ceantar,విస్తీర్ణము
321,Platz::N,áit,ఎడము
322,Platz::N,spás,ఎడము
323,Ort::N,áit,స్థలము
324,Seite::N,taobh,ప్రక్క
325,Mitte::N,lár,నడిమి
326,Gegenstand::N,ball,పద్దు
327,Gegenstand::N,ábhar,పద్దు
328,Sache::N,ní,వస్తువు
329,Sache::N,rud,వస్తువు
330,Rand::N,imeall,అంచు
331,Rand::N,ciumhais,అంచు
332,Kante::N,corr,అంచు
333,Kante::N,colbha,అంచు
334,Ecke::N,coirnéal,మూల
335,Spitze::N,gob,మొన
336,Spitze::N,barr,మొన
337,Ende::N,ceann,కొన
338,Ende::N,foirceann,కొన
339,Loch::N,poll,రంధ్రము
340,Winkel::N,cúinne,కోణము
341,Winkel::N,uillinn,కోణము
342,Muster::N,patrún,మాదిరి
343,Größe::N,méid,పరిమాణము
344,Größe::N,toise,పరిమాణము
345,Länge::N,fad,పొడుగు
346,Höhe::N,airde,పొడుగు
347,Gewicht::N,meáchan,భారము
348,Menge::N,méid,మొత్తము
349,Haufen::N,cnap,రాశి
350,Reihe::N,líne,వరుస
351,Reihe::N,sraith,వరుస
352,Boot::N,bád,పడవ
353,Ruder::N,rámh,అడక
354,Ruder::N,maide rámha,అడక
355,Schlitten::N,carr sleamhnáin,సరవండ్లు
356,Ski::N,scí,స్కీ
357,Lagerfeuer::N,tine champa,నెగడు
358,Last::N,ualach,బరువు
359,Gang::N,siúlóid,నడక
360,Schritt::N,céim,అడుగు
361,Schritt::N,coiscéim,అడుగు
362,Norden::N,tuaisceart,ఉత్తరదిక్కు
363,Süden::N,deisceart,దక్షిణము
364,Westen::N,iarthar,పడమర
365,Osten::N,oirthear,తూర్పు
366,Holz::N,adhmad,కొయ్య
367,Brett::N,clár,పలక
368,Platte::N,leac,పలక
369,Stütze::N,taca,వాల్సేడ్లు
370,Stange::N,polla,స్తంభము
371,Stange::N,cuaille,స్తంభము
372,Stock::N,bata,కఱ్ఱ
373,Stock::N,maide,కఱ్ఱ
374,Stab::N,maide,కఱ్ఱ
375,Stab::N,bachall,కఱ్ఱ
376,Rohr::N,píopa,గొట్టము
377,Haus::N,teach,ఇల్లు
378,Heim::N,baile,స్వగృహము
379,Ofen::N,sornóg,పొయ్యి
380,Fußboden::N,urlár,నేల
381,Tisch::N,bord,మేజా
382,Tisch::N,tábla,మేజా
383,Stuhl::N,cathaoir,కుర్చీ
384,Wiege::N,cliabhán,ఉయ్యాల
385,Bett::N,leaba,పడక
386,Bett::N,leaba,మంచం
387,Regal::N,seilf,అటక
388,Kiste::N,bosca,వెట్టె
389,Fenster::N,fuinneoig,కిటికి
390,Tür::N,doras,ద్వారము
391,Tor::N,geata,ద్వారము
392,Zaun::N,fál,కంచె
393,Zaun::N,claí,కంచె
394,Dach::N,díon,ఇంటివైకప్పు
395,Leiter::N,dréimire,నిచ్చెన
396,Besen::N,scuab,చీపురుకట్ట
397,Spaten::N,spád,పాఱ
398,Spaten::N,rámhainn,పాఱ
399,Schaufel::N,sluasaid,పాఱ
400,Gabel::N,forc,ముండ్లగరిటె
401,Gabel::N,gabhlóg,ముండ్లగరిటె
402,Löffel::N,spúnóg,గరిటె
403,Messer::N,scian,కత్తి
404,Nagel::N,tairne,మేకు
405,Netz::N,líon,వల
406,Netz::N,eangach,వల
407,Haken::N,croch,కొక్కెము
408,Griff::N,cos,పిడి
409,Griff::N,hanla,పిడి
410,Schloss::N,glas,తాళము
411,Bild::N,pictiúr,చిత్రము
412,Figur::N,fíor,రూపము
413,Puppe::N,bábóg,బొమ్మ
414,Beutel::N,mála,సంచి
415,Beutel::N,mealbhóg,సంచి
416,Bündel::N,beart,మూట
417,Tasche::N,mála,సంచి
418,Eimer::N,buicéad,చేద
419,Deckel::N,clár,మూత
420,Deckel::N,claibín,మూత
421,Geschirr::N,soithí,వంటకాలు
422,Geschirr::N,gréithe,వంటకాలు
423,Sack::N,sac,గోనెసంచి
424,Sack::N,mála,గోనెసంచి
425,Tasse::N,cupán,గిన్నె
426,Topf::N,pota,కుండ
427,Kessel::N,citeal,నీరుకాచుపాత్ర
428,Essen::N,béile,ఆహారము
429,Nahrung::N,bia,ఆహారము
430,Speise::N,mias,ఆహారము
431,Fleisch::N,feoil,మాంసము
432,Getreide::N,grán,ధాన్యము
433,Getreide::N,arbhar,ధాన్యము
434,Brei::N,brúitín,గుజ్జు
435,Brot::N,arán,రొట్టె
436,Scheibe::N,píosa,బద్ద
437,Scheibe::N,slisne,బద్ద
438,Fett::N,saill,క్రొవ్వు
439,Fett::N,méathras,క్రొవ్వు
440,Butter::N,im,వెన్న
441,Öl::N,ola,నూనె
442,Salz::N,salann,ఉప్పు
443,Suppe::N,sú,చారు
444,Suppe::N,anraith,చారు
445,Honig::N,mil,తెనె
446,Milch::N,bainne,పాలు
447,Tee::N,tae,తేనీరు
448,Leder::N,leathar,బాగుచేసివతోలు
449,Wolle::N,olann,ఉన్ని
450,Stoff::N,éadach,బట్ట
451,Nadel::N,snáthaid,సూది
452,Faden::N,snáth,దారము
453,Knopf::N,cnaipe,బొత్తాము
454,Knoten::N,snaidhm,ముడి
455,Farbe::N,péint,రంగు
456,Kleidung::N,éadaí,బట్టలు
457,Hemd::N,léine,చొక్కాయ
458,Kragen::N,bóna,మాల
459,Ärmel::N,muinchille,చొక్కాయచెయ్యి
460,Hose::N,bríste,ఇజారు
461,Hose::N,treabhsar,ఇజారు
462,Gürtel::N,crios,పటకా
463,Mütze::N,caipín,టోపి
464,Schuh::N,bróg,పాదరక్ష
465,Stiefel::N,buatais,బూటు
466,Ring::N,fáinne,ఉంగరము
467,Band::N,ribín,నాడా
468,Kamm::N,cíor,దువ్వెన
469,Spiegel::N,scáthán,అద్దము
470,Riemen::N,iall,వాడా
471,Riemen::N,strapa,వాడా
472,Schnur::N,téad,దారము
473,Schnur::N,sreangán,దారము
474,Leine::N,iall,వారు
475,Decke::N,pluid,కంబళి
476,Decke::N,blaincéad,కంబళి
477,Kissen::N,piliúr,తలగడ
478,Kissen::N,adhartán,తలగడ
479,Tuch::N,scaif,బట్ట
480,Handtuch::N,tuáille,తువాలు
481,Kraft::N,fórsa,బలము
482,Stärke::N,neart,శక్తి
483,Gesundheit::N,sláinte,ఆరోగ్యము
484,Krankheit::N,tinneas,రోగము
485,Krankheit::N,breoiteacht,రోగము
486,Schmerz::N,pian,నొప్పి
487,Wunde::N,goin,గాయము
488,Fieber::N,fiabhras,జ్వరము
489,Arznei::N,cógas,మందు
490,Brücke::N,droichead,వంతెన
491,Brunnen::N,tobar,బావి
492,Brunnen::N,tobar,కూపము
493,Brunnen::N,tobar,నుయ్యి
494,Weide::N,féarach,పచ్చికబయలు
495,Pfad::N,cosán,కాలిత్రోవ
496,Pfad::N,conair,కాలిత్రోవ
497,Weg::N,slí,మార్గము
498,Weg::N,bealach,మార్గము
499,Straße::N,bóthar,బాట
500,Dorf::N,sráidbhaile,గ్రామము
501,Stadt::N,baile,పట్టణము
502,Stadt::N,cathair,పట్టణము
503,Brief::N,litir,జాబు
504,Buch::N,cín,పుస్తకము
505,Buch::N,leabhar,పుస్తకము
506,Buchstabe::N,litir,అక్షరము
507,Zeitung::N,nuachtán,వార్తాపత్రిక
508,Leben::N,saol,ప్రాణము
509,Leben::N,beatha,ప్రాణము
510,Tod::N,bás,మరణము
511,Grab::N,uaigh,సమాధి
512,Kirche::N,eaglais,క్రెస్తవులగుడి
513,Sünde::N,peaca,పాపము
514,Gott::N,dia,దేవుడు
515,Arbeiter::N,oibrí,పనిపాటుచేశేవాడు
516,Chef::N,saoiste,యజమానుడు
517,Chef::N,ceannasaí,యజమానుడు
518,Meister::N,máistir,కళాకారుడు
519,Arzt::N,lia,వైద్యుడు
520,Arzt::N,dochtúir,వైద్యుడు
521,Lehrer::N,oide,ఉపాధ్యాయుడు
522,Lehrer::N,múinteoir,ఉపాధ్యాయుడు
523,Geld::N,airgead,ద్రవ్యము
524,Geschäft::N,gnó,వ్యాపారము
525,Laden::N,siopa,అంగడి
526,Preis::N,praghas,వెల
527,Ware::N,earra,సరకులు
528,Nutzen::N,tairbhe,ప్రయోజనము
529,Reichtum::N,rachmas,ధనము
530,Reichtum::N,saibhreas,ధనము
531,Welt::N,domhan,ప్రపంచము
532,Land::N,tír,దేశము
533,Staat::N,stát,రాజ్యము
534,König::N,rí,రాజు
535,Macht::N,cumhacht,అధికారము
536,Grenze::N,críoch,సరిహద్దు
537,Grenze::N,teorainn,సరిహద్దు
538,Krieg::N,cogadh,యుద్ధము
539,Feind::N,namhaid,శత్రువు
540,Gewalt::N,foréigean,దౌర్జన్యము
541,Kampf::N,troid,పోట్లాట
542,Bogen[Waffe]::N,bogha,విల్లు
543,Pfeil::N,saighead,బాణము
544,Gewehr::N,gunna,తుపాకి
545,Fehler::N,botún,తప్ప
546,Fehler::N,meancóg,తప్ప
547,Lüge::N,bréag,అసత్యము
548,Lüge::N,éitheach,అసత్యము
549,Schaden::N,dochar,నష్టము
550,Schaden::N,damáiste,నష్టము
551,Unglück::N,drochrath,దురదృష్టము
552,Schuld::N,locht,తప్పు
553,Schuld::N,milleán,తప్పు
554,Alter::N,aois,వయస్సు
555,Schluss::N,deireadh,ముగింపు
556,Zeit::N,am,కాలము
557,Zeit::N,aimsir,కాలము
558,Tag::N,lá,దినము
559,Morgen::N,maidin,ఉదయము
560,Mittag::N,nóin,మధ్యాహ్నము
561,Abend::N,tráthnóna,సాయంకాలము
562,Nacht::N,oíche,రత్రి
563,Woche::N,seachtain,వారము
564,Monat::N,mí,నెల
565,Jahr::N,bliain,సంవత్సరము
566,Frühling::N,earrach,వసంతకాలము
567,Sommer::N,samhradh,వేసవికాము
568,Herbst::N,fómhar,ఆకురాలుకాలము
569,Winter::N,geimhreadh,శీతకాలము
570,Januar::N,Eanáir,జనవరి
571,Februar::N,Feabhra,ఫిబ్రవరి
572,März::N,Márta,మార్చి
573,April::N,Aibreán,ఏప్రిలు
574,Mai::N,Bealtaine,మే
575,Juni::N,Meitheamh,జూన్
576,Juli::N,Iúil,జూలై
577,August::N,Lúnasa,ఆగస్టు
578,September::N,Meán Fómhair,సెప్ఠెంబరు
579,Oktober::N,Deireadh Fómhair,అక్టోబరు
580,November::N,Samhain,నవంబరు
581,November::N,Mí na Samhna,నవంబరు
582,Dezember::N,Mí na Nollag,డిసెంబర్
583,Montag::N,Luan,సోమవారము
584,Montag::N,Dé Luain,సోమవారము
585,Dienstag::N,Máirt,మంగళవారము
586,Dienstag::N,Dé Máirt,మంగళవారము
587,Mittwoch::N,Céadaoin,బుధవారము
588,Mittwoch::N,Dé Céadaoin,బుధవారము
589,Donnerstag::N,Déardaoin,గురువారము
590,Freitag::N,Aoine,శుక్రవారము
591,Freitag::N,Dé hAoine,శుక్రవారము
592,Samstag::N,Satharn,శనివారము
593,Samstag::N,Dé Sathairn,శనివారము
594,Sonntag::N,Domhnach,ఆదివారము
595,Sonntag::N,Dé Domhnaigh,ఆదివారము
596,groß::A,mór,గొప్పైన
597,klein::A,beag,చిన్న
598,lang::A,fada,పొడుగాటి
599,kurz::A,gearr,పొట్టి
600,kurz::A,gairid,పొట్టి
601,breit::A,leathan,వెడల్పైన
602,breit::A,fairsing,వెడల్పైన
603,schmal::A,cúng,ఇఱుకైన
604,dicht::A,dlúth,దట్టమైన
605,dick[Gegenstand]::A,tiubh,దట్టమైన
606,dünn::A,caol,పలుచని
607,dünn::A,tanaí,పలుచని
608,fein::A,scáinte,నాజాకైన
609,fein::A,fíneálta,నాజాకైన
610,fest::A,daingean,దృడమైవ
611,flach::A,cothrom,చదువైన
612,glatt::A,mín,నున్నని
613,glatt::A,sleamhain,నున్నని
614,hart::A,crua,కఠినమైన
615,weich::A,bog,మృదువైన
616,rund::A,cruinn,గుండ్రని
617,spitz::A,gobach,మొనగల
618,spitz::A,biorach,మొనగల
619,scharf::A,géar,పదనైన
620,scharf::A,faobhrach,పదనైన
621,stumpf::A,maol,వాడిలేని
622,schwer::A,trom,బరువ్తెన
623,schön::A,álainn,సుందరమైన
624,heiß::A,te,వేడియైన
625,warm::A,te,వెచ్చని
626,kalt::A,fuar,చల్లని
627,kühl::A,fionnuar,చల్లని
628,frisch::A,úr,తాజాయైన
629,frisch::A,friseáilte,తాజాయైన
630,feucht::A,tais,చెమ్మగానున్న
631,nass::A,fliuch,తడిగామన్న
632,trocken::A,tirim,ఎండిన
633,voll::A,lán,నిండు
634,leer::A,folamh,శూన్యమైన
635,offen::A,oscailte,తెఱచియున్న
636,geschlossen::A,dúnta,మూసిన
637,geschlossen::A,druidte,మూసిన
638,sauber::A,glan,పరిశుద్ధమైన
639,schmutzig::A,salach,ముఱికియైన
640,roh::A,amh,పచ్చి
641,reif::A,aibí,పండివ
642,lecker::A,blasta,రుచి గల
643,süß::A,milis,తియ్యని
644,bitter::A,searbh,చేదైన
645,sauer::A,géar,పుల్లని
646,sauer::A,searbh,పుల్లని
647,hell::A,geal,కాంతిగల
648,hell::A,soilseach,కాంతిగల
649,dunkel::A,dorcha,చీకటియైన
650,schwarz::A,dubh,నల్లని
651,weiß::A,bán,తెలుపు
652,rot::A,dearg,ఎఱ్ఱని
653,gelb::A,buí,పసుపు పచ్చ
654,blau::A,gorm,నీలవర్ణము
655,grün::A,glas,ఆకుపచ్చని
656,grün::A,uaine,ఆకుపచ్చని
657,grau::A,liath,నెరిసిన
658,bunt::A,ildathach,రంగేలీ
659,bunt::A,dathannach,రంగేలీ
660,billig::A,saor,చౌకయైన
661,teuer::A,daor,వెలపొడుగైన
662,teuer::A,costasach,వెలపొడుగైన
663,wertvoll::A,luachmhar,విలుప్తెన
664,blind::A,dall,గ్రుడ్డి
665,blind::A,caoch,గ్రుడ్డి
666,taub::A,bodhar,చెవిటి
667,kräftig::A,cumhachtach,శక్తి గల
668,stark::A,tréan,బలమైన
669,stark::A,láidir,బలమైన
670,schwach::A,lag,బలహీనమైన
671,schwach::A,fann,బలహీనమైన
672,fett::A,ramhar,క్రొవ్విన
673,schlank::A,caol,సన్నని
674,schlank::A,seang,సన్నని
675,hübsch::A,álainn,సాగప్తెన
676,hübsch::A,dathúil,సాగప్తెన
677,böse::A,olc,చెడ్డ
678,dumm::A,dúr,తెలివిలేని
679,dumm::A,amaideach,తెలివిలేని
680,faul::A,falsa,సోమరియైన
681,faul::A,leisciúil,సోమరియైన
682,fleißig::A,dícheallach,శ్రద్దగల
683,geizig::A,barainneach,పిసినారియైన
684,geizig::A,sprionlaithe,పిసినారియైన
685,klug::A,cliste,తెలివిగల
686,geschickt::A,oilte,నిపుణతగల
687,geschickt::A,ealaíonta,నిపుణతగల
688,lieb::A,dil,ప్రియమైన
689,lieb::A,dílis,ప్రియమైన
690,lustig::A,aerach,ఉల్లాసము గల
691,lustig::A,meidhreach,ఉల్లాసము గల
692,sanft::A,bog,సాధువైన
693,sanft::A,séimh,సాధువైన
694,hungrig::A,ocrach,ఆకలిగొనిన
