,Concept_ID,el,ta
228,Mädchen::N,κορίτσι,சிறுமி
229,Familie::N,οικογένεια,குடும்பம்
230,Großvater::N,παππούς,தாத்தா
231,Großmutter::N,γιαγιά,பாட்டி
232,Eltern::N,γονείς,பெற்றோர்
233,Vater::N,πατέρας,தந்தை
234,Mutter::N,μητέρα,தாய்
235,Sohn::N,γιος,மகன்
236,Tochter::N,κόρη,மகள்
237,Bruder::N,αδελφός,சகோதரன்
238,Schwester::N,αδελφή,அக்கா
239,Onkel::N,θείος,தாய் மாமன்
240,Tante::N,θεία,அத்தை
241,Ehemann::N,σύζυγος,கணவன்
242,Ehefrau::N,σύζυγος,மனைவி
243,Freude::N,χαρά,கொண்டாட்டம்
244,Gelächter::N,γέλια,சிரிப்பு
245,Glück::N,ευτυχία,மகிழ்ச்சி
246,Kummer::N,έγνοια,துயரம்
247,Wunsch::N,επιθυμία,விருப்பம்
248,Lust::N,όρεξη,விருப்பம்
249,Geist::N,πνέυμα,ஆன்மா
250,Gedanke::N,σκέψη,எண்ணம்
251,Gedächtnis::N,μνήμη,ஞாபகம்
252,Verstand::N,νους,மனம்
253,Sinn::N,νόημα,அர்த்தம்
254,Grund::N,λόγος,காரணம்
255,Wahrheit::N,αλήθεια,உண்நை
256,Gespräch::N,συνομιλία,பெசு
257,Märchen::N,παραμύθι,நம்பத்தகாத கதை
258,Erzählung::N,διήγημα,கதை
259,Nachricht::N,είδηση,செய்தி
260,Neuigkeit::N,νέο,செய்தி
261,Name::N,όνομα,பெயர்
262,Rätsel::N,αίνιγμα,புதிர்
263,Rede::N,λόγος,பேச்சு
264,Rede::N,ομιλία,பேச்சு
265,Sprache::N,γλώσσα,மொழி
266,Stimme::N,φωνή,குரல்
267,Wort::N,λέξη,வார்த்தை
268,Zeichen::N,σημείο,குறி
269,Ruf::N,κραυγή,அழைப்பு
270,Lärm::N,θόρυβος,சத்தம்
271,Laut::N,ήχος,ஒலி
272,Ton::N,ήχος,குரல்
273,Ton::N,τόνος,குரல்
274,Lied::N,τραγούδι,பாட்டு
275,Ruhe::N,ησυχία,அமைதி
276,Leute::N,κόσμος,மக்கள்
277,Leute::N,άνθρωποι,மக்கள்
278,Volk::N,λαός,மக்கள்
279,Arbeit::N,εργασία,வேலை
280,Gast::N,επισκέπτης,விருந்தாளி
281,Geschenk::N,δώρο,பரிசுப் பொருள்
282,Spiel::N,παιχνίδι,விளையாட்டு
283,Gesellschaft::N,κοινωνία,சமுதாயம்
284,Hilfe::N,βοήθεια,உதவி
285,Freund::N,φίλος,நண்பன்
286,Kamerad::N,σύντροφος,உடனிருப்பவன்
287,Angelegenheit::N,υπόθεση,செய்தி
288,Anzahl::N,αριθμός,எண்ணிக்கை
289,Art::N,είδος,வகை
290,Stück::N,κομμάτι,துண்டம்
291,Teil::N,μέρος,பகுதி
292,Hälfte::N,μισό,பாதி
293,Kreis::N,κύκλος,வட்டம்
294,Kreuz::N,σταυρός,சிலுவை
295,Linie::N,γραμμή,கோடு
296,Strich::N,γραμμή,வாத நோய்
297,Abstand::N,απόσταση,இடைவெளி
298,Entfernung::N,απόσταση,தூரம்
299,Gegend::N,περιοχή,வட்டாரம்
300,Gegend::N,τοποθεσία,வட்டாரம்
301,Platz::N,χώρος,வெற்றிடம்
302,Ort::N,τόπος,இடம்
303,Seite::N,πλευρά,பக்கம்
304,Mitte::N,μέση,இடைப்பகுதி
305,Gegenstand::N,αντικείμενο,உருப்படி
306,Sache::N,πράγμα,பொருள்
307,Rand::N,άκρη,தொங்கு
308,Rand::N,χείλος,தொங்கு
309,Kante::N,άκρη,விளிம்பு
310,Ecke::N,γωνιά,மூலை
311,Spitze::N,μύτη,முனை
312,Ende::N,άκρη,முடிவு
313,Loch::N,τρύπα,துளை
314,Winkel::N,γωνία,கோணம்
315,Muster::N,σχέδιο,பாங்கு
316,Größe::N,μέγεθος,அளவு
317,Länge::N,μήκος,நீளம்
318,Höhe::N,ύψος,உயரம்
319,Gewicht::N,βάρος,எடை
320,Menge::N,ποσότητα,தொகை
321,Haufen::N,σωρός,குவியல்
322,Reihe::N,αράδα,வரிசை
323,Boot::N,βάρκα,படகு
324,Ruder::N,κουπί,துடுப்பு
325,Schlitten::N,έλκηθρο,சகடையிலா வண்டி
326,Ski::N,σκι,பனிச் சறுக்கல்
327,Lagerfeuer::N,φωτιά,மூட்டம்
328,Last::N,φορτίο,பாரம்
329,Gang::N,δρόμος,நடை
330,Schritt::N,βήμα,காலடி
331,Norden::N,βορράς,வடக்கு
332,Süden::N,νότος,தெற்கு
333,Westen::N,δύση,மேற்கு திசை
334,Osten::N,ανατολή,கிழக்கு
335,Holz::N,ξύλο,மரக்கட்டை
336,Brett::N,σανίδι,பலகை
337,Platte::N,πλάκα,பலகம்
338,Stütze::N,στήριγμα,அடைப்புகன்
339,Stange::N,ραβδί,கம்பம்
340,Stange::N,κοντός,கம்பம்
341,Stock::N,ξύλο,குச்சி
342,Stock::N,μπαστούνι,குச்சி
343,Stab::N,ραβδί,கம்பு
344,Rohr::N,σωλήνας,குழாய்
345,Haus::N,σπίτι,வீடு
346,Heim::N,σπίτι,வீடு
347,Ofen::N,σόμπα,அடுப்பு
348,Ofen::N,θερμάστρα,அடுப்பு
349,Fußboden::N,πάτωμα,தரை
350,Tisch::N,τραπέζι,மேசை
351,Stuhl::N,καρέκλα,நாற்காலி
352,Wiege::N,κούνια,தொட்டில்
353,Bett::N,κρεβάτι,படுக்கை
354,Regal::N,ράφι,அலமாரி
355,Kiste::N,κιβώτιο,பெட்டி
356,Fenster::N,παράθυρο,சாளரம்
357,Tür::N,πόρτα,கதவு
358,Tor::N,πύλη,வாசற்கதவு
359,Zaun::N,φράχτης,வேலி
360,Dach::N,στέγη,கூரை
361,Leiter::N,σκάλα,ஏணி
