,Concept_ID,uz,cy
73,Schatten::N,soya,cysgod
74,Wetter::N,havo,tywydd
75,Nebel::N,tuman,niwl
76,Wolke::N,bulut,cwmwl
77,Regen::N,yomg'ir,glaw
78,Schnee::N,qor,ôd
79,Schnee::N,qor,eira
80,Eis::N,muz,iâ
81,Frost::N,ajoz,rhew
82,Kälte::N,ajoz,oerni
83,Kälte::N,ajoz,annwyd
84,Hitze::N,issiq,gwres
85,Raureif::N,qirov,barrug
86,Regenbogen::N,kamalak,enfys
87,Donner::N,guldur,tyrfau
88,Strömung::N,oqim,cerrynt
89,Tropfen::N,tomchi,dafn
90,Tropfen::N,tomchi,diferyn
91,Schaum::N,ko'pik,ewyn
92,Schmutz::N,gard,baw
93,Schmutz::N,gard,budreddi
94,See::N,ko'l,llyn
95,Sumpf::N,botqoq,cors
96,Moor::N,qir-adir,rhos
97,Wiese::N,o'tzor,dôl
98,Wald::N,o'rmon,coedwig
99,Hügel::N,tepa,bryn
100,Anhöhe::N,adir,bryn
101,Berg::N,tog',mynydd
102,Gipfel::N,cho'qqi,copa
103,Höhle::N,kavak,ogof
104,Abhang::N,to'sh,llethr
105,Quelle::N,buloq,tarddiad
106,Quelle::N,buloq,ffynhonnell
107,Bach::N,o'zan,nant
108,Bach::N,o'zan,afonig
109,Bach::N,o'zan,cornant
110,Fluss::N,daryo,afon
111,Ufer::N,sohil,glan
112,Küste::N,qirg'oq,traeth
113,Küste::N,qirg'oq,arfordir
114,Festland::N,materik,tir
115,Meer::N,dengiz,môr
116,Bucht::N,qo'ltiq,bae
117,Insel::N,orol,ynys
118,Blume::N,gul,blodyn
119,Gras::N,sabza,glaswellt
120,Wurzel::N,tub,gwreiddyn
121,Wurzel::N,tomir,gwreiddyn
122,Baum::N,daraxt,coeden
123,Stamm::N,o'simta,colfen
124,Stamm::N,o'simta,boncyff
125,Rinde::N,qobiq,rhisgl
126,Ast::N,shox,cangen
127,Zweig::N,butoq,cainc
128,Zweig::N,butoq,cangen
129,Blatt::N,barg,deilen
130,Birke::N,qayin,bedwen
131,Kiefer[Baum]::N,qarag'ay,pinwydden
132,Weide[Baum]::N,shum,helygen
133,Tanne::N,archa,ffynidwydden
134,Horn::N,mugiz,corn
135,Feder::N,par,plufyn
136,Fell::N,mo'yna,ffwr
137,Flügel::N,qanot,adain
138,Klaue::N,tirnoq,crafanc
139,Kralle::N,tirnoq,ewin
140,Schwanz::N,quyruq,cwt
141,Schwanz::N,quyruq,cynffon
142,Ei::N,tuxum,wy
143,Nest::N,oshyon,nyth
144,Bau::N,o'pqon,ffau
145,Tier::N,hayvon,anifail
146,Herde::N,gala,praidd
147,Herde::N,gala,diadell
148,Kuh::N,inak,buwch
149,Bulle::N,ho'kiz,tarw
150,Pferd::N,ot,ceffyl
151,Schaf::N,qo'y,dafad
152,Schwein::N,cho'chqa,mochyn
153,Hund::N,it,ci
154,Katze::N,mushuk,cath
155,Bär::N,ayiq,arth
156,Eichhörnchen::N,tiyin,gwiwer
157,Elch::N,los,elc
158,Fuchs::N,tulki,cadno
159,Hase::N,kuyon,ysgyfarnog
160,Maus::N,sichqon,llygoden
161,Wolf::N,bo'ri,blaidd
162,Vogel::N,qush,aderyn
163,Schwarm::N,to'da,haid
164,Huhn::N,tovuq,cyw
165,Hahn::N,xo'roz,ceiliog
166,Gans::N,g'oz,gŵydd
167,Adler::N,burgut,eryr
168,Ente::N,o'rdak,hwyad
169,Eule::N,boyo'g'li,tylluan
170,Kranich::N,turna,garan
171,Kranich::N,turna,crychydd
172,Krähe::N,qarg'a,brân
173,Kuckuck::N,kakku,cog
174,Kuckuck::N,kakku,cwcw
175,Schwan::N,oqkush,alarch
176,Fisch::N,baliq,pysgod
177,Barsch::N,olabug'a,draenog
178,Hecht::N,cho'rtan,penhwyad
179,Schlange[Tier]::N,ilon,neidr
180,Wurm::N,qurt,abwydyn
181,Wurm::N,qurt,pryf genwair
182,Spinne::N,o'rgimchak,cor
183,Spinne::N,o'rgimchak,pryf copyn
184,Ameise::N,chumoli,morgrugyn
185,Laus::N,bit,lleuen
186,Mücke::N,chivin,gwybedyn
187,Fliege::N,pashsha,cleren
188,Schmetterling::N,kapalak,glöyn byw
189,Schmetterling::N,kapalak,iâr fach yr haf
190,Beere::N,meva,aeronen
191,Apfel::N,olma,afal
192,Pilz::N,qo'ziqorin,madarch
193,Zwiebel::N,piyoz,nionyn
194,Zwiebel::N,piyoz,winwnsyn
195,Saat::N,äkin,had
196,Korn::N,zarra,grawn
197,Heu::N,xashak,gwair
198,Schale::N,po'choq,croen
199,Schale::N,po'choq,plisgyn
200,Grube::N,co'ra,pwll
201,Grube::N,co'ra,pydew
202,Falle::N,qopqon,magl
203,Schlinge::N,sirtmoq,cwlwm rhedeg
204,Spur::N,iz,ôl
205,Asche::N,kul,lludw
206,Dreck::N,kir,baw
207,Dreck::N,kir,budreddi
208,Eisen::N,temir,haearn
209,Gold::N,tilla,aur
210,Silber::N,kumush,arian
211,Kohle::N,ko'mir,glo
212,Glas::N,oyna,gwydr
213,Lehm::N,loy,clai
214,Sand::N,qum,tywod
215,Mensch::N,odam,dyn
216,Mann::N,ärkak,dyn
217,Frau::N,ayol,merch
218,Frau::N,ayol,gwraig
219,Kind::N,bola,plentyn
220,Kind::N,kichkintoy,plentyn
221,Junge::N,bola,hogyn
222,Junge::N,bola,bachgen
223,Mädchen::N,qiz,merch
224,Mädchen::N,qiz,geneth
225,Familie::N,oila,teulu
226,Familie::N,oila,tylwyth
227,Großvater::N,buva,taid
228,Großvater::N,buva,tad-cu
229,Großvater::N,katta ota,taid
230,Großvater::N,katta ota,tad-cu
231,Großmutter::N,buvi,nain
232,Großmutter::N,buvi,mam-gu
233,Großmutter::N,katta oyi,nain
234,Großmutter::N,katta oyi,mam-gu
235,Eltern::N,ota-ona,rhieni
236,Vater::N,ota,tad
237,Mutter::N,ona,mam
238,Sohn::N,o'g'il,mab
239,Tochter::N,qiz,merch
240,Bruder::N,og'a,brawd
241,Bruder::N,uka,brawd
242,Schwester::N,opa,chwaer
243,Schwester::N,singil,chwaer
244,Onkel::N,amaki,ewythr
245,Tante::N,amma,modryb
246,Tante::N,xola,modryb
247,Ehemann::N,är,gŵr
248,Ehefrau::N,rafiqa,gwraig
249,Freude::N,ayish,gorfoledd
250,Gelächter::N,kulgi,chwerthin
251,Glück::N,saodat,hapusrwydd
252,Kummer::N,g'am,galar
253,Wunsch::N,orzu,dymuniad
254,Lust::N,rag'bat,chwant
255,Geist::N,ruh,ysbryd
256,Gedanke::N,fikr,meddwl
257,Gedächtnis::N,äs,cof
258,Verstand::N,aql,meddwl
259,Sinn::N,ma'ni,ystyr
260,Grund::N,sabab,achos
261,Grund::N,sabab,rheswm
262,Wahrheit::N,haq,gwir
263,Wahrheit::N,haq,gwirionedd
264,Gespräch::N,gap,sgwrs
265,Märchen::N,ärtak,chwedl werin
266,Erzählung::N,rivoyat,stori
267,Nachricht::N,xabar,neges
268,Neuigkeit::N,yangilik,newydd
269,Name::N,ot,enw
270,Rätsel::N,topishmoq,pos
271,Rede::N,nutq,araith
272,Sprache::N,til,iaith
273,Stimme::N,ovoz,llais
274,Wort::N,so'z,gair
275,Zeichen::N,alomat,arwydd
276,Ruf::N,chaqiriq,galwad
277,Lärm::N,taraq,trwst
278,Laut::N,tovush,sain
279,Ton::N,un,tôn
280,Lied::N,ashula,cân
281,Ruhe::N,tinchlik,tawelwch
282,Leute::N,xaloyiq,pobl
283,Volk::N,xalq,pobl
284,Arbeit::N,ish,gwaith
285,Gast::N,mehmon,gwestai
286,Geschenk::N,hadya,rhodd
287,Geschenk::N,hadya,anrheg
288,Spiel::N,o'yin,chwarae
289,Gesellschaft::N,jamiyat,cwmni
290,Hilfe::N,yordam,cymorth
291,Freund::N,do'st,cyfaill
292,Kamerad::N,yo'ldosh,cydymaith
293,Angelegenheit::N,daxl,pwnc
294,Anzahl::N,son,cyfrif
295,Art::N,tur,bath
296,Stück::N,parcha,darn
297,Teil::N,bo'lak,rhan
298,Hälfte::N,yarim,hanner
299,Kreis::N,aylana,cylch
300,Kreuz::N,xoch,croes
301,Linie::N,liniya,llinell
302,Strich::N,chiziq,strôc
303,Strich::N,chiziq,trawiad
304,Abstand::N,oralik,bwlch
305,Abstand::N,oralik,pellter
306,Entfernung::N,uzoqlik,pellter
307,Gegend::N,yer,cylch
308,Platz::N,oralig,lle
309,Ort::N,joy,lle
310,Seite::N,yon,ochr
311,Mitte::N,o'rta,canol
312,Gegenstand::N,ashyo,eitem
313,Sache::N,buyum,peth
314,Rand::N,chek,cwr
315,Rand::N,chek,ymyl
316,Kante::N,tig',min
317,Kante::N,tig',ymyl
318,Ecke::N,burchak,cornel
319,Spitze::N,uch,blaen
320,Ende::N,oxir,pen
321,Loch::N,teshik,twll
322,Winkel::N,go'sha,congl
323,Muster::N,nusha,patrwm
324,Größe::N,kattalik,maint
325,Größe::N,kattalik,maintioli
326,Länge::N,uzunlik,hyd
327,Höhe::N,yuksaklik,uchder
328,Gewicht::N,solmoq,pwysau
329,Menge::N,miqdor,swm
330,Menge::N,miqdor,maint
331,Haufen::N,uyum,pentwr
332,Reihe::N,saf,rhes
333,Boot::N,qayiq,cwch
334,Ruder::N,äshkak,rhwyf
335,Schlitten::N,chana,sled
336,Schlitten::N,chana,car llusg
337,Ski::N,chang'i,sgi
338,Lagerfeuer::N,gulxan,coelcerth
339,Last::N,yuk,llwyth
340,Gang::N,yurish,tro
341,Schritt::N,qadam,cam
342,Norden::N,shimol,gogledd
343,Süden::N,janub,de
344,Westen::N,g'arb,gorllewin
345,Osten::N,sharq,dwyrain
346,Holz::N,yog'och,pren
347,Brett::N,taxta,bwrdd
348,Brett::N,taxta,astell
349,Platte::N,tabaqa,llech
350,Stütze::N,tayanchi,ateg
351,Stütze::N,tayanchi,cynhalydd
352,Stange::N,qo'noq,polyn
353,Stock::N,tayoq,ffon
354,Stock::N,tayoq,brigyn
355,Stab::N,gavron,ffon
356,Rohr::N,tarnov,pibell
357,Haus::N,uy,tŷ
358,Heim::N,makon,cartref
359,Ofen::N,pechka,stof
360,Fußboden::N,pol,llawr
361,Tisch::N,mosa,bwrdd
362,Stuhl::N,o'rindiq,cadair
363,Wiege::N,beshik,crud
364,Bett::N,yotoq,gwely
365,Regal::N,tokcha,silff
366,Kiste::N,sandiq,bocs
367,Kiste::N,sandiq,blwch
368,Fenster::N,deraza,ffenestr
369,Tür::N,äshik,drws
370,Tor::N,darvoza,porth
371,Zaun::N,panjara,ffens
372,Dach::N,tom,to
373,Leiter::N,narvon,ysgol
374,Besen::N,supurgi,ysgub
375,Spaten::N,bel,rhaw
376,Schaufel::N,kurak,rhaw
377,Gabel::N,bilka,fforc
378,Löffel::N,qoshiq,llwy
379,Messer::N,pichoq,cyllell
380,Nagel::N,mix,hoel
381,Netz::N,to'r,gwe
382,Netz::N,to'r,rhwyd
383,Haken::N,ilgak,bach
384,Griff::N,sop,carn
385,Griff::N,tutqich,carn
386,Schloss::N,qulf,clo
387,Bild::N,rasm,llun
388,Bild::N,rasm,pictiwr
389,Figur::N,shakl,ffigur
390,Puppe::N,ko'g'irchoq,dol
391,Beutel::N,to'rva,cwd
392,Bündel::N,bog'lam,bwndel
393,Bündel::N,bog'lam,coflaid
394,Tasche::N,kissa,cod
395,Eimer::N,chelak,bwced
396,Eimer::N,chelak,cunnog
397,Deckel::N,qopqoq,caead
398,Geschirr::N,idish,llestri
399,Sack::N,qop,sach
400,Tasse::N,piyola,cwpan
401,Topf::N,tuvak,pot
402,Topf::N,tuvak,crochan
403,Kessel::N,qozon,tegell
404,Essen::N,tomoq,pryd o fwyd
405,Nahrung::N,emak,bwyd
406,Speise::N,taom,saig
407,Fleisch::N,go'sht,cig
408,Getreide::N,g'alla,ŷd
409,Getreide::N,g'alla,llafur
410,Brei::N,bo'tqa,uwd
411,Brot::N,non,bara
412,Scheibe::N,disk,tafell
413,Fett::N,moy,saim
414,Fett::N,moy,braster
415,Butter::N,yog',ymenyn
416,Öl::N,moy,olew
417,Salz::N,tuz,halen
418,Suppe::N,sho'rva,cawl
419,Honig::N,asal,mêl
420,Milch::N,sut,llaeth
421,Milch::N,sut,llefrith
422,Tee::N,choy,te
423,Leder::N,charm,lledr
424,Wolle::N,jun,gwlân
425,Stoff::N,mato,lliain
426,Stoff::N,mato,brethyn
427,Nadel::N,igna,nodwydd
428,Faden::N,ip,edau
429,Faden::N,ip,edefyn
430,Knopf::N,tugma,botwm
431,Knoten::N,tugun,cwlwm
432,Farbe::N,bo'yok,paent
433,Kleidung::N,kiyim,dillad
434,Kleidung::N,kiyim,gwisgoedd
435,Hemd::N,ko'ylak,crys
436,Kragen::N,yoqa,coler
437,Ärmel::N,yeng,llawes
438,Hose::N,shim,trowsus
439,Gürtel::N,tasma,gwregys
440,Mütze::N,shapka,cap
441,Schuh::N,but,esgid
442,Stiefel::N,botinka,botasen
443,Ring::N,yuzuk,modrwy
444,Band::N,rishta,rhuban
445,Kamm::N,taroq,crib
446,Spiegel::N,ko'zgu,drych
447,Riemen::N,qayish,strap
448,Schnur::N,bog'ich,llinyn
449,Leine::N,etak,tennyn
450,Decke::N,odyol,blanced
451,Decke::N,odyol,gwrthban
452,Kissen::N,yostiq,clustog
453,Kissen::N,yostiq,gobennydd
454,Tuch::N,gazlama,sgarff
455,Handtuch::N,sochiq,tywel
456,Handtuch::N,sochiq,lliain sychu
457,Kraft::N,kuch,grym
458,Stärke::N,quvvat,nerth
459,Stärke::N,quvvat,cryfder
460,Gesundheit::N,sog'lik,iechyd
461,Krankheit::N,kasallik,afiechyd
462,Krankheit::N,kasallik,anhwylder
463,Schmerz::N,og'riq,poen
464,Schmerz::N,og'riq,gwayw
465,Wunde::N,yara,clwyf
466,Fieber::N,bezgak,twymyn
467,Arznei::N,dori,meddyginiaeth
468,Brücke::N,ko'prik,pont
469,Brunnen::N,buloq,ffynnon
470,Weide::N,yaylov,porfa
471,Pfad::N,dorojka,llwybr
472,Weg::N,yo'l,ffordd
473,Straße::N,ko'cha,heol
474,Straße::N,ko'cha,ffordd
475,Dorf::N,ovul,pentref
476,Stadt::N,shahar,tref
477,Brief::N,maktub,llythyr
478,Buch::N,kitob,llyfr
479,Buchstabe::N,harf,llythyren
480,Zeitung::N,gazet,papur newydd
481,Leben::N,hayot,bywyd
482,Tod::N,o'lim,marwolaeth
483,Grab::N,go'r,bedd
484,Kirche::N,cherkov,eglwys
485,Sünde::N,gunoh,pechod
486,Gott::N,olloh,duw
487,Arbeiter::N,ishchi,gweithiwr
488,Chef::N,rais,pennaeth
489,Meister::N,usta,meistr
490,Arzt::N,hakim,meddyg
491,Lehrer::N,muallim,athro
492,Geld::N,pul,pres
493,Geld::N,pul,arian
494,Geschäft::N,savdo,busnes
495,Laden::N,do'kon,siop
496,Preis::N,baho,pris
497,Ware::N,mol,nwydd
498,Nutzen::N,foyda,elw
499,Nutzen::N,foyda,budd
500,Reichtum::N,boylik,cyfoeth
501,Welt::N,olam,byd
502,Land::N,o'lka,gwlad
503,Staat::N,davlat,gwladwriaeth
504,König::N,qirol,brenin
505,Macht::N,iqtidor,grym
506,Macht::N,iqtidor,awdurdod
507,Grenze::N,chegara,ffin
508,Grenze::N,chegara,goror
509,Krieg::N,harb,rhyfel
510,Feind::N,dushman,gelyn
511,Gewalt::N,zo'rlik,ffyrnigrwydd
512,Kampf::N,kurash,brwydr
513,Bogen[Waffe]::N,yoy,bwa
514,Pfeil::N,o'q,saeth
515,Gewehr::N,vintovka,dryll
516,Fehler::N,xato,gwall
517,Fehler::N,xato,camgymeriad
518,Lüge::N,yolg'on,celwydd
519,Lüge::N,yolg'on,anwiredd
520,Schaden::N,ziyon,niwed
521,Schaden::N,ziyon,difrod
522,Unglück::N,balo,anffawd
523,Schuld::N,ayb,bai
524,Alter::N,yosh,oed
525,Schluss::N,tamom,diwedd
526,Zeit::N,vaqt,amser
527,Tag::N,kun,dydd
528,Tag::N,kun,diwrnod
529,Morgen::N,saboh,bore
530,Mittag::N,kun tushlik,nawn
531,Abend::N,oqshom,noswaith
532,Nacht::N,tun,nos
533,Woche::N,hafta,wythnos
534,Monat::N,oy,mis
535,Jahr::N,yil,blwyddyn
536,Frühling::N,bahor,gwanwyn
537,Sommer::N,yoz,haf
538,Herbst::N,kuz,hydref
539,Herbst::N,xazon,hydref
540,Winter::N,qish,gaeaf
541,Januar::N,yanvar',Ionawr
542,Februar::N,fevral',Chwefror
543,März::N,mart,Mawrth
544,April::N,aprel',Ebrill
545,Mai::N,may,Mai
546,Juni::N,iyun',Mehefin
547,Juli::N,iyul',Gorffennaf
548,August::N,avgust,Awst
549,September::N,sentyabr',Medi
550,Oktober::N,oktyabr',Hydref
551,November::N,noyabr',Tachwedd
552,Dezember::N,dekabr',Rhagfyr
553,Montag::N,dushanba,dydd Llun
554,Dienstag::N,seshanba,dydd Mawrth
555,Mittwoch::N,chorshanba,dydd Mercher
556,Donnerstag::N,payshanba,dydd Iau
557,Freitag::N,juma,dydd Gwener
558,Samstag::N,shanba,dydd Sadwrn
559,Sonntag::N,yakshanba,dydd Sul
560,groß::A,buyuk,mawr
561,klein::A,kichik,bach
562,lang::A,uzun,hir
563,kurz::A,qisqa,byr
564,kurz::A,qisqa,cwta
565,breit::A,keng,llydan
566,schmal::A,änsiz,cul
567,dicht::A,quyuq,dwys
568,dick[Gegenstand]::A,qalin,trwchus
569,dünn::A,ingichka,tenau
570,fein::A,mayin,main
571,fest::A,qattiq,cadarn
572,flach::A,yalpoq,gwastad
573,glatt::A,tekis,llyfn
574,hart::A,qattiq,caled
575,weich::A,yumshoq,meddal
576,rund::A,yumaloq,crwn
577,spitz::A,uchli,pigfain
578,scharf::A,keskir,miniog
579,stumpf::A,to'mtoq,pŵl
580,schwer::A,salmoqli,trwm
581,schön::A,go'zal,teg
582,schön::A,go'zal,hardd
583,schön::A,go'zal,prydferth
584,heiß::A,qiziq,poeth
585,warm::A,issiq,twym
586,warm::A,issiq,cynnes
587,kalt::A,sovuq,oer
588,kühl::A,salqin,oeraidd
589,frisch::A,toza,iach
590,feucht::A,namli,llaith
591,nass::A,nam,gwlyb
592,trocken::A,quruq,sych
593,voll::A,to'la,llawn
594,leer::A,puch,gwag
595,offen::A,ochiq,agored
596,geschlossen::A,berk,caead
597,geschlossen::A,berk,caeëdig
598,sauber::A,ozoda,glân
599,schmutzig::A,kir,budr
600,schmutzig::A,kir,brwnt
601,roh::A,xom,amrwd
602,reif::A,pishiq,aeddfed
603,lecker::A,shirin,blasus
604,lecker::A,shirin,danteithiol
605,süß::A,shirin,melys
606,bitter::A,achchiq,chwerw
607,sauer::A,achchiq,sur
608,hell::A,yorug',disglair
609,dunkel::A,qorong'i,tywyll
610,schwarz::A,qora,du
611,weiß::A,oq,gwyn
612,rot::A,qizil,coch
613,gelb::A,sariq,melyn
614,blau::A,zangori,glas
615,grün::A,yashil,gwyrdd
616,grau::A,bo'z,llwyd
617,bunt::A,ola,lliwgar
618,billig::A,arzon,rhad
619,teuer::A,qimmat,drud
620,wertvoll::A,qimmat,gwerthfawr
621,blind::A,ko'r,dall
622,taub::A,garang,byddar
623,kräftig::A,kuchli,nerthol
624,kräftig::A,kuchli,grymus
625,stark::A,quvvatli,cryf
626,stark::A,quvvatli,cadarn
627,schwach::A,kuchsiz,gwan
628,fett::A,semiz,tew
629,schlank::A,ingichka,main
630,hübsch::A,ko'rkam,tlws
631,böse::A,yovuz,drwg
632,dumm::A,aqlsiz,twp
633,faul::A,ärinchak,diog
634,fleißig::A,ishchan,dyfal
635,geizig::A,qurumsoq,crintach
636,geizig::A,qurumsoq,cybyddlyd
637,klug::A,oqil,deallus
638,geschickt::A,äpchil,medrus
639,geschickt::A,äpchil,deheuig
640,lieb::A,aziz,hoff
641,lieb::A,aziz,annwyl
642,lustig::A,chaqchaq,llon
643,sanft::A,asta,mwyn
644,hungrig::A,och,newynog
645,krank::A,kasal,sâl
646,krank::A,kasal,gwael
647,nackt::A,yalang,noeth
648,traurig::A,xafa,trist
649,lebendig::A,hayotiy,yn fyw
650,gut::A,soz,da
651,schlecht::A,yomon,drwg
652,schlecht::A,yomon,gwael
653,richtig::A,rost,cywir
654,schlimm::A,yovuz,enbyd
655,wahr::A,haqiqiy,gwir
656,alt::A,äski,hen
657,neu::A,yangi,newydd
658,ehemalig::A,sobiq,blaenorol
659,alt[Lebewesen]::A,qari,oedrannus
660,jung::A,navqiron,ifanc
661,arm::A,abgor,tlawd
662,reich::A,boy,cyfoethog
663,bekannt::A,ma'lum,cynefin
664,bekannt::A,ma'lum,cyfarwydd
665,berühmt::A,mashhur,enwog
666,fremd::A,yot,estron
667,verschieden::A,turli,gwahanol
668,nah::A,yaqindagi,agos
669,fern::A,uzoq,pell
670,linker::A,so'l,aswy
671,linker::A,so'l,chwith
672,rechter::A,o'ng,de
673,rechter::A,o'ng,deau
674,anderer::A,boshqa,arall
675,erster::A,birinchi,cyntaf
676,zweiter::A,ikkinchi,ail
677,dritter::A,uchinchi,trydydd
678,letzter::A,oxirgi,olaf
679,allein::ADV,o'zicha,unig
680,allein::ADV,o'zicha,ar ei ben ei hun
681,auf einmal::ADV,varakay,ar yr un pryd
682,zusammen::ADV,barobar,ynghyd
683,zusammen::ADV,barobar,gyda'i gilydd
684,lange::ADV,uzoq,amser hir
685,plötzlich::ADV,qo'qqisdan,yn sydyn
686,sofort::ADV,darrov,ar unwaith
687,später::ADV,so'ngra,yn ddiweddarach
688,jetzt::ADV,hozirgina,yn awr
689,heute::ADV,bugun,heddiw
690,morgen::ADV,ärta,yfory
691,bald::ADV,toz,yn fuan
692,bald::ADV,toz,gyda hyn
693,dann::ADV,keyin,yna
694,dann::ADV,keyin,y pryd hwnnw
695,gestern::ADV,kecha,ddoe
696,einst::ADV,avvallari,gynt
697,damals::ADV,ugal,ar y pryd
698,damals::ADV,ugal,bryd hynny
699,danach::ADV,so'ngra,wedyn
700,vorher::ADV,avval,o'r blaen
701,zuerst::ADV,avval,yn gyntaf
702,einmal::ADV,bir marta,unwaith
703,manchmal::ADV,onda-sonda,weithiau
704,manchmal::ADV,onda-sonda,ar brydiau
705,oft::ADV,tez-tez,yn aml
706,oft::ADV,tez-tez,yn fynych
707,immer::ADV,har vaqt,bob amser
708,niemals::ADV,hargiz,ni ... byth
709,niemals::ADV,hargiz,ni ... erioed
710,hier::ADV,shu erda,yma
711,hierhin::ADV,beri,hyd yma
712,von hier::ADV,shu erdan,oddi yma
713,dort::ADV,ana,acw
714,dorthin::ADV,u yerga,tuag yno
715,geradeaus::ADV,to'g'ri,syth ymlaen
716,vorwärts::ADV,ilgari,ymlaen
717,rückwärts::ADV,qoloq,yn ôl
718,zurück::ADV,orqada,yn ôl
719,unten::ADV,pastda,isod
720,unten::ADV,pastda,oddi tanodd
721,hinab::ADV,tubanga,i lawr
722,hinab::ADV,tubanga,i waered
723,oben::ADV,ustida,fry
724,hinauf::ADV,yuqorida,i fyny
725,hinauf::ADV,yuqorida,i'r lan
726,überall::ADV,har erda,ym mhobman
727,nicht::ADV,ämas,ni
728,nicht::ADV,ämas,nid
729,ein wenig::ADV,biroz,tipyn
730,ein wenig::ADV,biroz,ychydig
731,kaum::ADV,arang,prin
732,sehr::ADV,ancha,iawn
733,so::ADV,shunday,fel
734,so::ADV,shunday,felly
735,noch::ADV,hali,eto
736,nur::ADV,yolg'iz,yn unig
737,schon::ADV,endi,eisoes
738,schon::ADV,endi,yn barod
739,wieder::ADV,yana,drachefn
740,vergebens::ADV,bekorga,yn ofer
741,vor::PRP,burun,o flaen
742,hinter::PRP,ketida,ar ôl
743,unter::PRP,ostida,islaw
744,durch::PRP,bo'ylab,trwy
745,neben::PRP,yonida,ar bwys
746,zwischen::PRP,orada,rhwng
747,zwischen::PRP,orada,cydrhwng
748,wegen::PRP,sababli,o achos
749,wegen::PRP,sababli,oherwydd
750,dies::PRN,o'sha,hyn
751,das::PRN,narigi,hynny
752,alles::PRN,har nima,popeth
753,ich::PRN,men,fi
754,du::PRN,sen,ti
755,er::PRN,u,fe
756,wir::PRN,biz,ni
757,ihr::PRN,siz,chi
758,sie::PRN,ular,hwy
759,was::FPRN,nima,pa beth
760,wer::FPRN,kim,pwy
761,wo::FADV,qaerda,ble
762,wo::FADV,qaerda,ym mha le
763,wohin::FADV,qayerga,i ble
764,wohin::FADV,qayerga,i ba le
765,wie::FADV,qanday,sut
766,warum::FADV,nega,pam
767,wieviel::FNUM,qancha,faint
768,eins::NUM,bir,un
769,zwei::NUM,ikki,dau
770,drei::NUM,uch,tri
771,vier::NUM,to'rt,pedwar
772,fünf::NUM,besh,pump
773,sechs::NUM,olti,chwech
774,sieben::NUM,etti,saith
775,acht::NUM,sakkiz,wyth
776,neun::NUM,to'qqiz,naw
777,zehn::NUM,o'n,deg
778,elf::NUM,o'n bir,un ar ddeg
779,zwölf::NUM,o'n ikki,deuddeg
780,zwölf::NUM,o'n ikki,un deg dau
781,zwanzig::NUM,yigirma,ugain
782,dreißig::NUM,o'ttiz,tri deg
783,dreißig::NUM,o'ttiz,deg ar hugain
784,vierzig::NUM,qirq,deugain
785,fünfzig::NUM,ällik,hanner cant
786,sechzig::NUM,oltmish,chwe deg
