,Concept_ID,az,mn
148,Weide[Baum]::N,söyüd,бургас
149,Tanne::N,küknar,гачуур
150,Horn::N,buynuz,эвэр
151,Feder::N,tük,өд
152,Feder::N,lələk,өд
153,Fell::N,xəz,арьс
154,Flügel::N,qanad,жигүүр
155,Flügel::N,qanad,далавч
156,Klaue::N,pəncə,савар
157,Klaue::N,pəncə,хумс
158,Kralle::N,dırnaq,савар
159,Schwanz::N,quyruq,сүүл
160,Ei::N,yumurta,өндөг
161,Nest::N,yuva,үүр
162,Bau::N,yuva,нүх
163,Bau::N,yuva,элүү
164,Tier::N,heyvan,амьтан
165,Tier::N,heyvan,адгуус
166,Herde::N,sürü,сүрэг
167,Kuh::N,inək,үнээ
168,Bulle::N,öküz,бух
169,Pferd::N,at,морь
170,Pferd::N,at,адуу
171,Schaf::N,qoyun,хонь
172,Schwein::N,donuz,гахай
173,Hund::N,it,нохой
174,Hund::N,köpək,нохой
175,Katze::N,pişik,муур
176,Katze::N,pişik,мигуй
177,Bär::N,ayı,баавгай
178,Eichhörnchen::N,dələ,хэрэм
179,Elch::N,sığın,хандгай
180,Fuchs::N,tülkü,үнэг
181,Hase::N,dovşan,туулай
182,Maus::N,siçan,хулгана
183,Wolf::N,qurd,чоно
184,Vogel::N,quş,шувуу
185,Schwarm::N,sürü,сүрэг
186,Huhn::N,toyuq,тахиа
187,Hahn::N,xoruz,эр тахиа
188,Gans::N,qaz,галуу
189,Adler::N,qartal,бүргэд
190,Adler::N,qaraquş,бүргэд
191,Ente::N,ördək,нугас
192,Eule::N,bayquş,ууль
193,Kranich::N,durna,тогоруу
194,Krähe::N,qarğa,хэрээ
195,Kuckuck::N,ququ,хөхөө
196,Schwan::N,qu quşu,хун
197,Fisch::N,balıq,загас
198,Barsch::N,tar,алгана
199,Hecht::N,durnabalığı,цурхай
200,Schlange[Tier]::N,ilan,могой
201,Wurm::N,qurd,өт
202,Wurm::N,qurd,хорхой
203,Spinne::N,hörümçək,аалз
204,Ameise::N,qarışqa,шоргоолж
205,Laus::N,bit,бөөс
206,Mücke::N,ağcaqanad,шумуул
207,Fliege::N,milçək,ялаа
208,Schmetterling::N,kəpənək,эрвээхэй
209,Beere::N,gilə,жимсгэнэ
210,Apfel::N,alma,алим
211,Pilz::N,göbələk,мөөг
212,Zwiebel::N,soğan,сонгино
213,Saat::N,əkin,тариа
214,Korn::N,taxıl,үр
215,Korn::N,taxıl,мөхлөг
216,Heu::N,quru ot,өвс
217,Schale::N,qabıq,хальс
218,Grube::N,çuxur,алам
219,Grube::N,çuxur,нүх
220,Falle::N,tələ,хавх
221,Falle::N,tələ,занга
222,Falle::N,duzaq,хавх
223,Falle::N,duzaq,занга
224,Schlinge::N,ilmək,урхи
225,Spur::N,iz,мөр
226,Asche::N,kül,үнс
227,Dreck::N,kir,хир
228,Eisen::N,dəmir,төмөр
229,Gold::N,altun,алт
230,Silber::N,gümüş,мөнгө
231,Kohle::N,kömür,нүүрс
232,Glas::N,şüşə,шил
233,Lehm::N,gil,шавар
234,Lehm::N,palçıq,шавар
235,Sand::N,qum,элс
236,Mensch::N,adam,хүн
237,Mensch::N,insan,хүн
238,Mann::N,kişi,эр
239,Mann::N,kişi,эрэгтэй
240,Frau::N,qadın,эмэгтэй
241,Frau::N,qadın,хатагтай
242,Kind::N,uşaq,хүүхэд
243,Junge::N,oğlan,хүү
244,Mädchen::N,qız,охин
245,Mädchen::N,qız,бүсгүй
246,Familie::N,ailə,айл
247,Großvater::N,baba,өвгөн аав
248,Großmutter::N,nənə,эмэг эх
249,Großmutter::N,nənə,эмгээ
250,Eltern::N,valideyn,эцэг эх
251,Vater::N,ata,аав
252,Vater::N,ata,эцэг
253,Mutter::N,ana,эх
254,Mutter::N,ana,ээж
255,Sohn::N,oğul,хүү
256,Tochter::N,qız,охин
257,Bruder::N,qardaş,ах
258,Bruder::N,qardaş,дүү
259,Schwester::N,bacı,эгч
260,Schwester::N,bacı,охин дүү
261,Onkel::N,əmi,авга ах
262,Onkel::N,əmi,нагац ах
263,Onkel::N,dayı,авга ах
264,Onkel::N,dayı,нагац ах
265,Tante::N,bibi,авга эгч
266,Tante::N,bibi,нагац эгч
267,Ehemann::N,ər,нөхөр
268,Ehefrau::N,arvad,эхнэр
269,Ehefrau::N,arvad,гэргий
270,Freude::N,nəşə,баяр
271,Freude::N,nəşə,баясгалан
272,Freude::N,sevinc,баяр
273,Freude::N,sevinc,баясгалан
274,Gelächter::N,gülüş,инээдэм
275,Gelächter::N,qəhqəhə,инээдэм
276,Glück::N,səadət,жаргалан
277,Glück::N,xoşbəxtlik,жаргалан
278,Kummer::N,qəm,гаслан
279,Kummer::N,kədər,гаслан
280,Wunsch::N,arzu,ерөөл
281,Lust::N,həvəs,дур
282,Lust::N,həvəs,хүсэл
283,Geist::N,ruh,оюун
284,Gedanke::N,fikir,сэтгэл
285,Gedanke::N,düşüncə,сэтгэл
286,Gedächtnis::N,xatir,ой
287,Gedächtnis::N,xatir,цээж
288,Gedächtnis::N,hafizə,ой
289,Gedächtnis::N,hafizə,цээж
290,Verstand::N,ağıl,ухаан
291,Sinn::N,məna,утга
292,Grund::N,səbəb,учир
293,Wahrheit::N,haqq,үнэн
294,Wahrheit::N,doğruluq,үнэн
295,Gespräch::N,söhbət,яриа
296,Gespräch::N,qonuşma,яриа
297,Märchen::N,nağıl,явган үлгэр
298,Erzählung::N,hekayə,тууж
299,Nachricht::N,xəbər,мэдээ
300,Neuigkeit::N,xəbər,сонин
301,Neuigkeit::N,yenilik,сонин
302,Name::N,ad,нэр
303,Rätsel::N,tapmaca,оньсого
304,Rede::N,nitq,хэлсэн үг
305,Sprache::N,dil,хэл
306,Stimme::N,səs,дуу
307,Wort::N,söz,үг
308,Wort::N,kəlmə,үг
309,Zeichen::N,nişan,тамга
310,Zeichen::N,nişan,тэмдэг
311,Ruf::N,çığırtı,дуудлага
312,Lärm::N,gurultu,шуугиан
313,Lärm::N,gurultu,чимээ
314,Laut::N,səs,анир
315,Laut::N,səs,дуу
316,Ton::N,ton,авиа
317,Ton::N,ton,аялгуу
318,Lied::N,mahnı,дуу
319,Ruhe::N,sakitlik,энх
320,Ruhe::N,sakitlik,тайван
321,Leute::N,xalq,хүмүүс
322,Volk::N,millət,улс
323,Arbeit::N,iş,ажил
324,Arbeit::N,iş,хөдөлмөр
325,Arbeit::N,əmək,ажил
326,Arbeit::N,əmək,хөдөлмөр
327,Gast::N,qonaq,зочин
328,Gast::N,qonaq,айлчин
329,Gast::N,müsafir,зочин
330,Gast::N,müsafir,айлчин
331,Geschenk::N,hədiyyə,бэлэг
332,Spiel::N,oyun,наадам
333,Spiel::N,oyun,тоглоом
334,Spiel::N,tamaşa,наадам
335,Spiel::N,tamaşa,тоглоом
336,Gesellschaft::N,cəmiyyet,хамт байх
337,Hilfe::N,kömək,тусламж
338,Hilfe::N,yardım,тусламж
339,Freund::N,dost,найз
340,Freund::N,dost,нөхөр
341,Kamerad::N,yoldaş,хань
342,Kamerad::N,yoldaş,нөхөр
343,Angelegenheit::N,iş,хэрэг
344,Anzahl::N,say,тоо
345,Art::N,çeşid,төрөл
346,Art::N,çeşid,янз
347,Stück::N,dənə,хэсэг
348,Stück::N,parça,хэсэг
349,Teil::N,qisim,хувь
350,Teil::N,qisim,хэсэг
351,Hälfte::N,yarım,хагас
352,Kreis::N,dairə,тойрог
353,Kreis::N,dairə,хүрээ
354,Kreuz::N,xaç,загалмай
355,Linie::N,xətt,шугам
356,Strich::N,cızıq,зураас
357,Abstand::N,məsafə,зай
358,Entfernung::N,məsafə,зай
359,Entfernung::N,məsafə,хол ойр
360,Entfernung::N,uzaqlıq,зай
361,Entfernung::N,uzaqlıq,хол ойр
362,Gegend::N,bölgə,хавь
363,Gegend::N,bölgə,газар
364,Platz::N,yer,зай
365,Platz::N,yer,завсар
366,Ort::N,yer,газар
367,Ort::N,yer,байр
368,Seite::N,yan,тал
369,Seite::N,yan,этгээд
370,Seite::N,tərəf,тал
371,Seite::N,tərəf,этгээд
372,Mitte::N,orta,төв
373,Mitte::N,orta,дунд
374,Gegenstand::N,şey,юм
375,Sache::N,şey,үйл
376,Sache::N,şey,хэрэг
377,Rand::N,kənar,зах
378,Rand::N,kənar,хөвөө
379,Kante::N,tiyə,ирмэг
380,Kante::N,kənar,ирмэг
381,Ecke::N,bucaq,өнцөг
382,Spitze::N,uc,үзүүр
383,Ende::N,son,зах
384,Ende::N,son,үзүүр
385,Ende::N,axır,зах
386,Ende::N,axır,үзүүр
387,Loch::N,deşik,цоорхой
388,Loch::N,deşik,онгорхой
389,Winkel::N,guşə,өнцөг
390,Muster::N,ülgü,хээ
391,Muster::N,ülgü,угалз
392,Größe::N,böyüklük,хэмжээ
393,Länge::N,uzunluq,урт
394,Höhe::N,yüksəklik,өндөр
395,Gewicht::N,çəki,жин
396,Gewicht::N,ağırlıq,жин
397,Menge::N,miqdar,тоо
398,Haufen::N,yığın,бөөн
399,Reihe::N,səf,эгнээ
400,Reihe::N,sıra,эгнээ
401,Boot::N,qayıq,завь
402,Ruder::N,kürək,сэлүүр
403,Schlitten::N,kirşə,чарга
404,Ski::N,xizək,цана
405,Lagerfeuer::N,düşərgə tonqalı,түүдэг
406,Last::N,yük,ачаа
407,Gang::N,yeriş,явдал
408,Schritt::N,addım,алхам
409,Norden::N,şimal,умар
410,Süden::N,cənub,урд
411,Süden::N,cənub,өмнө
412,Westen::N,qərb,өрнө
413,Westen::N,qərb,баруун
414,Osten::N,şərq,зүүн
415,Osten::N,şərq,дорно
416,Holz::N,ağac,мод
417,Holz::N,taxta,мод
418,Brett::N,taxta,банз
419,Platte::N,lövhə,хавтан
420,Stütze::N,dayaq,тулгуур
421,Stütze::N,dayaq,тулга
422,Stütze::N,dəstək,тулгуур
423,Stütze::N,dəstək,тулга
424,Stange::N,şüvül,сургааг
425,Stock::N,dəyənək,саваа
426,Stab::N,əsa,таяг
427,Stab::N,şüvül,таяг
428,Rohr::N,boru,хоолой
429,Rohr::N,truba,хоолой
430,Haus::N,ev,гэр
431,Haus::N,ev,байшин
432,Heim::N,ev,гэр
433,Ofen::N,peç,зуух
434,Ofen::N,peç,пийшин
435,Ofen::N,soba,зуух
436,Ofen::N,soba,пийшин
437,Fußboden::N,döşəmə,шал
438,Tisch::N,masa,ширээ
439,Stuhl::N,stul,сандал
440,Wiege::N,beşik,өлгий
441,Bett::N,yataq,ор
442,Regal::N,rəf,тавиур
443,Kiste::N,yeşik,авдар
444,Kiste::N,yeşik,хайрцаг
445,Kiste::N,sandıq,авдар
446,Kiste::N,sandıq,хайрцаг
447,Fenster::N,pəncərə,гэгээвч
448,Tür::N,qapı,үүд
449,Tür::N,qapı,хаалга
450,Tor::N,darvaza,хаалга
451,Zaun::N,çəpər,хашаа
452,Dach::N,dam,дээвэр
453,Leiter::N,nərdivan,шат
454,Besen::N,süpürgə,хамуур
455,Besen::N,süpürgə,туужуу
456,Spaten::N,kürək,хүрз
457,Schaufel::N,kürək,хүрз
458,Gabel::N,çəngəl,сэрээ
459,Löffel::N,qaşıq,халбага
460,Messer::N,bıçaq,хутга
461,Nagel::N,mıx,хадаас
462,Netz::N,tor,өөш
463,Netz::N,tor,тор
464,Haken::N,çəngəl,гох
465,Griff::N,qulp,иш
466,Griff::N,qulp,сэнж
467,Griff::N,tutacaq,иш
468,Griff::N,tutacaq,сэнж
469,Schloss::N,qıfıl,цуурга
470,Schloss::N,qıfıl,цоож
471,Bild::N,rəsm,зураг
472,Figur::N,şəkil,баримал
473,Figur::N,heykəl,баримал
474,Puppe::N,kukla,хүүхэлдэй
475,Puppe::N,gəlincik,хүүхэлдэй
476,Beutel::N,kisə,агсаа
477,Beutel::N,kisə,уут
478,Beutel::N,torba,агсаа
479,Beutel::N,torba,уут
480,Bündel::N,bağlama,боодол
481,Tasche::N,çanta,цүнх
482,Eimer::N,vedrə,хөнөг
483,Eimer::N,vedrə,хувин
484,Eimer::N,çəllək,хөнөг
485,Eimer::N,çəllək,хувин
486,Deckel::N,qapaq,таг
487,Deckel::N,qapaq,хавхаг
488,Geschirr::N,qab-qazan,сав суулга
489,Sack::N,çuval,шуудай
490,Tasse::N,fincan,аяга
491,Topf::N,qazan,тогоо
492,Kessel::N,qazan,тогоо
493,Essen::N,yemək,идээ
494,Nahrung::N,qida,хүнс
495,Speise::N,xörək,идээ
496,Fleisch::N,ət,мах
497,Getreide::N,taxıl,будаа
498,Brei::N,aş,богшмол
499,Brei::N,aş,будаа
500,Brei::N,sıyıq,богшмол
501,Brei::N,sıyıq,будаа
502,Brot::N,çörək,талх
503,Scheibe::N,dilim,зүсэм
504,Scheibe::N,dilim,хэрчим
505,Fett::N,yağ,өөх
506,Butter::N,kərə yağı,тос
507,Öl::N,yağ,тос
508,Salz::N,duz,давс
509,Suppe::N,şorba,шөл
510,Honig::N,bal,бал
511,Milch::N,süd,сүү
512,Tee::N,çay,цай
513,Leder::N,dəri,арьс
514,Leder::N,dəri,савхи
515,Wolle::N,yun,ноос
516,Wolle::N,yun,унгас
517,Stoff::N,qumaş,бөс
518,Nadel::N,iynə,зүү
519,Faden::N,sap,боолт
520,Faden::N,sap,утас
521,Knopf::N,düymə,товч
522,Knoten::N,düyün,зангилаа
523,Farbe::N,boya,будаг
524,Kleidung::N,geyim,хувцас
525,Hemd::N,köynək,цамц
526,Kragen::N,yaxa,зах заам
527,Ärmel::N,qol,ханцуй
528,Hose::N,şalvar,өмд
529,Gürtel::N,kəmər,бүс
530,Mütze::N,şapka,малгай
531,Mütze::N,şapka,бүрх
532,Schuh::N,tufli,туфли
533,Schuh::N,ayaqqabı,туфли
534,Stiefel::N,çəkmə,гутал
535,Ring::N,üzük,бөгж
536,Band::N,lent,тууз
537,Kamm::N,daraq,сам
538,Spiegel::N,güzgü,толь
539,Riemen::N,qayış,тасам
540,Riemen::N,qayış,сур
541,Schnur::N,ip,татлага
542,Leine::N,kəmsik,оосор
543,Decke::N,ədyal,хөнжил
544,Decke::N,ədyal,хучлага
545,Decke::N,yorğan,хөнжил
546,Decke::N,yorğan,хучлага
547,Kissen::N,yastıq,дэр
548,Tuch::N,şarf,алчуур
549,Tuch::N,şarf,даавуу
550,Tuch::N,kaşne,алчуур
551,Tuch::N,kaşne,даавуу
552,Handtuch::N,dəsmal,алчуур
553,Kraft::N,güc,чадал
554,Kraft::N,güc,хүч
555,Stärke::N,qüvvət,эрч
556,Stärke::N,qüvvət,тэнхээ
557,Gesundheit::N,sağlamlıq,бие
558,Gesundheit::N,sağlamlıq,эрүүл мэнд
559,Krankheit::N,xəstəlik,эмгэг
560,Schmerz::N,ağrı,өвчин
561,Schmerz::N,sancı,өвчин
562,Wunde::N,yara,шарх
563,Fieber::N,isitmə,халуун
564,Fieber::N,qızdırma,халуун
565,Arznei::N,ilaç,эм
566,Arznei::N,dərman,эм
567,Brücke::N,körpü,гүүр
568,Brunnen::N,quyu,худаг
569,Weide::N,otlaq,бэлчээр
570,Pfad::N,cığır,жим
571,Pfad::N,cığır,зөрөг
572,Weg::N,yol,зам
573,Weg::N,yol,харгуй
574,Straße::N,küçə,зам
575,Straße::N,küçə,харгуй
576,Dorf::N,kənd,тосгон
577,Dorf::N,kənd,гацаа
578,Stadt::N,şəhər,хот
579,Brief::N,məktub,захидал
580,Brief::N,məktub,захиа
581,Buch::N,kitab,ном
582,Buch::N,kitab,бичиг
583,Buchstabe::N,hərf,үсэг
584,Zeitung::N,qəzet,сонин
585,Leben::N,həyat,амь
586,Leben::N,həyat,амьдрал
587,Tod::N,ölüm,үхэл
588,Grab::N,qəbir,булш
589,Kirche::N,kilsə,сүм
590,Sünde::N,günah,нүгэл
591,Sünde::N,günah,хилэнц
592,Gott::N,tanrı,бурхан
593,Arbeiter::N,işçi,ажилчин
594,Arbeiter::N,işçi,хөдөлмөрчин
595,Chef::N,şef,дарга
596,Chef::N,rəis,дарга
597,Meister::N,usta,дархан
598,Arzt::N,həkim,эмч
599,Arzt::N,doktor,эмч
600,Lehrer::N,müəllim,багш
601,Geld::N,pul,цаас
602,Geld::N,pul,мөнгө
603,Geschäft::N,ticarət,наймаа
604,Laden::N,dükan,дэлгүүр
605,Preis::N,qiymət,үнэ
606,Ware::N,mal,таваар
607,Ware::N,mal,бараа
608,Nutzen::N,fayda,ашиг
609,Reichtum::N,zənginlik,баялаг
610,Welt::N,aləm,дэлхий
611,Welt::N,aləm,орчлон
612,Welt::N,dünya,дэлхий
613,Welt::N,dünya,орчлон
614,Land::N,ölkə,улс
615,Land::N,ölkə,орон
616,Staat::N,dövlət,төр
617,Staat::N,dövlət,гүрэн
618,König::N,kral,ван
619,König::N,məlik,ван
620,Macht::N,qüdrət,засаг
621,Grenze::N,hüdud,хил
622,Grenze::N,sərhət,хил
623,Krieg::N,hərb,дайн
624,Krieg::N,müharibə,дайн
625,Feind::N,düşmən,дайсан
626,Gewalt::N,cəbr,хүчирхэх
627,Kampf::N,savaş,тэмцэл
628,Kampf::N,savaş,байлдаан
629,Bogen[Waffe]::N,yay,нум
630,Pfeil::N,ox,годил
631,Pfeil::N,ox,сум
632,Gewehr::N,tüfəng,буу
633,Fehler::N,xəta,эндэл
634,Fehler::N,xəta,алдаа
635,Lüge::N,yalan,худал
636,Schaden::N,ziyan,хор
637,Schaden::N,ziyan,хөнөөл
638,Unglück::N,bəla,гай
639,Unglück::N,bəla,гамшиг
640,Schuld::N,təqsir,гэм
641,Schuld::N,təqsir,буруу
642,Alter::N,yaş,нас
643,Schluss::N,son,эцэс
644,Schluss::N,son,төгсгөл
645,Zeit::N,vaxt,цаг
646,Zeit::N,zaman,цаг
647,Tag::N,gün,өдөр
648,Morgen::N,sabah,өглөө
649,Mittag::N,günorta,үд
650,Abend::N,axşam,үдэш
651,Nacht::N,gecə,шөнө
652,Woche::N,həftə,долоо хоног
653,Monat::N,ay,сар
654,Jahr::N,il,жил
655,Frühling::N,yaz,хавар
656,Frühling::N,bahar,хавар
657,Sommer::N,yay,зун
658,Herbst::N,payız,намар
659,Winter::N,qış,өвөл
660,Januar::N,Janvar,нэгдүгээр сар
661,Februar::N,Fevral,хоёрдугаар сар
662,März::N,Mart,гуравдугаар сар
663,April::N,Aprel,дөрөвдүгээр сар
664,Mai::N,May,тавдугаар сар
665,Juni::N,İyun,зургаадугаар сар
666,Juli::N,İyul,долдугаар сар
667,August::N,Avqust,наймдугаар сар
668,September::N,Sentyabr,есдүгээр сар
669,Oktober::N,Oktyabr,аравдугаар сар
670,November::N,Noyabr,арван нэгдүгээр сар
671,Dezember::N,Dekabr,арван хоёрдугаар сар
672,Montag::N,bazar ertəsi,даваа
673,Dienstag::N,çərşənbə axşamı,мягмар
674,Mittwoch::N,çərşənbə,лхагва
675,Donnerstag::N,cüme axşamı,пүрэв
676,Freitag::N,cüme,баасан
677,Samstag::N,şənbə,бямба
678,Sonntag::N,bazar,ням
679,groß::A,böyük,их
680,groß::A,böyük,том
681,klein::A,kiçik,бага
682,klein::A,kiçik,жаахан
683,lang::A,uzun,урт
684,kurz::A,qısa,охор
685,kurz::A,qısa,богино
686,breit::A,enli,өргөн
687,breit::A,geniş,өргөн
688,schmal::A,dar,уйтан
689,schmal::A,dar,нарийн
690,dicht::A,sıx,нягт
691,dicht::A,sıx,чигжүү
692,dick[Gegenstand]::A,qalın,зузаан
693,dünn::A,nazik,нимгэн
694,fein::A,incə,нарийн
695,fest::A,bərk,бөх
696,fest::A,bərk,хатуу
697,fest::A,möhkəm,бөх
698,fest::A,möhkəm,хатуу
699,flach::A,düz,хавтгай
700,glatt::A,hamar,цагаан
701,hart::A,sərt,хатуу
702,weich::A,yumşaq,зөөлөн
703,rund::A,yuvarlaq,дугуй
704,rund::A,yuvarlaq,дугариг
705,spitz::A,uclu,шовх
706,spitz::A,uclu,шовгор
707,spitz::A,sivri,шовх
708,spitz::A,sivri,шовгор
709,scharf::A,kəskin,хурц
710,scharf::A,kəskin,иртэй
711,stumpf::A,küt,мохоо
712,schwer::A,ağır,хүнд
713,schön::A,gözəl,гуа
714,schön::A,gözəl,сайхан
715,schön::A,gəşəng,гуа
716,schön::A,gəşəng,сайхан
717,heiß::A,isti,халуун
718,warm::A,ilıq,дулаан
719,kalt::A,soyuq,хүйтэн
720,kühl::A,sərin,сэрүүн
721,frisch::A,təzə,эрүүл
722,frisch::A,təzə,жихүүн
723,feucht::A,nəm,чийгтэй
724,nass::A,yaş,нойтон
725,trocken::A,quru,хатсан
726,voll::A,dolu,дүүрэн
727,leer::A,boş,хоосон
728,offen::A,açıq,онгорхой
729,geschlossen::A,qapalı,битүү
730,geschlossen::A,qapalı,хаалтай
731,sauber::A,təmiz,цэвэр
732,sauber::A,təmiz,хиргүй
733,schmutzig::A,kirli,бохир
734,schmutzig::A,kirli,хиртэй
735,roh::A,çiy,түүхий
736,reif::A,yetişmiş,болсон
737,lecker::A,dadlı,амттай
738,lecker::A,ləzzətli,амттай
739,süß::A,şirin,амттай
740,süß::A,şirin,чихэрлэг
741,bitter::A,acı,гашуун
742,sauer::A,turş,эсгэлэн
743,hell::A,aydın,гэгээн
744,hell::A,aydın,гэрэлтэй
745,dunkel::A,qaranlıq,бараан
746,dunkel::A,qaranlıq,харанхуй
747,schwarz::A,qara,хар
748,weiß::A,ağ,цагаан
749,rot::A,qırmızı,улаан
750,gelb::A,sarı,шар
751,blau::A,göy,хөх
752,blau::A,göy,цэнхэр
753,blau::A,mavi,хөх
754,blau::A,mavi,цэнхэр
755,grün::A,yaşıl,ногоон
756,grau::A,boz,орог
757,grau::A,boz,саарал
758,bunt::A,əlvan,эрээн
759,bunt::A,rəngli,эрээн
760,billig::A,ucuz,хямд
761,teuer::A,bahalı,үнэтэй
762,wertvoll::A,qiymətli,үнэт
763,blind::A,kor,сохор
764,taub::A,kar,чих хатуу
765,kräftig::A,güclü,чийрэг
766,stark::A,qüvvətli,хүчтэй
767,stark::A,qüvvətli,чадалтай
768,schwach::A,zəif,сул
769,schwach::A,gücsüz,сул
770,fett::A,şişman,тарган
771,fett::A,şişman,голигор
772,schlank::A,zərif,голшиг
773,hübsch::A,göyçək,сайхан
774,hübsch::A,göyçək,хөөрхөн
775,böse::A,fəna,муу
776,böse::A,fəna,хортой
777,dumm::A,axmaq,тэнэг
778,faul::A,tənbəl,залхуу
779,fleißig::A,çalışqan,чармайлтгай
780,geizig::A,xəsis,харамч
781,klug::A,ağıllı,цэцэн
782,geschickt::A,bacarıqlı,дүйтэй
783,lieb::A,əziz,хайрт
784,lieb::A,sevimli,хайрт
