,Concept_ID,sah,kn
135,Flügel::N,кынат,ರೆಕ್ಕೆ
136,Klaue::N,тыҥырах,ಪಂಜ
137,Kralle::N,баппаҕай,ಉಗುರು
138,Schwanz::N,кутурук,ಬಾಲ
139,Ei::N,сымыыт,ಮೊಟ್ಟೆ
140,Nest::N,уйа,ಗೂಡು
141,Bau::N,хороон,ಅಡಗುದಾಣ
142,Tier::N,кыыл,ಪ್ರಾಣಿ
143,Tier::N,харамай,ಪ್ರಾಣಿ
144,Herde::N,үөр,ಗುಂಪು
145,Kuh::N,ынах,ಹಸು
146,Bulle::N,оҕус,ಗೂಳಿ
147,Pferd::N,сылгы,ಕುದುರೆ
148,Schaf::N,овца,ಕುರಿ
149,Schwein::N,сибиинньэ,ಹಂದಿ
150,Hund::N,ыт,ನಾಯಿ
151,Katze::N,куоска,ಬೆಕ್ಕು
152,Bär::N,эһэ,ಕರಡಿ
153,Eichhörnchen::N,тииҥ,ಉಡುತೆ
154,Elch::N,тайах,ಕಡವೆ
155,Fuchs::N,саһыл,ನರಿ
156,Hase::N,куобах,ಮೊಲ
157,Maus::N,кутуйах,ಇಲಿ
158,Wolf::N,бөрө,ತೋಳ
159,Vogel::N,көтөр,ಪಕ್ಷಿ
160,Schwarm::N,бөлөх,ಗುಂಪು
161,Huhn::N,куурусса,ಚಿಕ್
162,Hahn::N,бөтүүк,ಹುಂಜ
163,Gans::N,хаас,ವರಟೆ
164,Adler::N,хотой,ಗರುಡ
165,Ente::N,кус,ಬಾತು
166,Eule::N,мэкчиргэ,ಗೂಬೆ
167,Kranich::N,туруйа,ಕೊಕ್ಕರ
168,Krähe::N,тураах,ಕಾಗೆ
169,Kuckuck::N,кэҕэ,ಕೋಗಿಲೆ
170,Schwan::N,куба,ಹಂಸಪಕ್ಷಿ
171,Fisch::N,балык,ಮೀನು
172,Barsch::N,алыһар,ಪರ್ಚ್ ಮೀನು
173,Hecht::N,сордон,ಪೈಕ್ ಮೀನು
174,Schlange[Tier]::N,моҕой,ಹಾವು
175,Schlange[Tier]::N,эриэн үөн,ಹಾವು
176,Wurm::N,үөн,ಹುಳು
177,Spinne::N,ооҕуй,ಊರ್ಣನಾಭ
178,Ameise::N,кымырдаҕас,ಇರುವೆ
179,Laus::N,быт,ಹೇನು
180,Mücke::N,кумаар,ಸೊಳ್ಳೆ
181,Fliege::N,сахсырҕа,ನೊಣ
182,Schmetterling::N,лыах,ಪತಂಗ
183,Schmetterling::N,үрүмэччи,ಪತಂಗ
184,Beere::N,отон,ನಯವಣ್ಣು
185,Apfel::N,яблоко,ಸೇಬು
186,Pilz::N,тэллэй,ಅಣಬೆ
187,Zwiebel::N,луук,ನೀರುಳ್ಳಿ
188,Saat::N,сиэмэ,ಬಿತ್ತ
189,Korn::N,сиэмэ,ಬೀಜ
190,Heu::N,от,ಕರಡ
191,Schale::N,хах,ಹೊಟ್ಟು
192,Grube::N,дьаама,ಗುಂಡಿ
193,Falle::N,сохсо,ಬೋನು
194,Schlinge::N,уктаа,ಉರುಲು
195,Spur::N,суол,ಜಾಡು
196,Asche::N,күл,ಬೂದಿ
197,Dreck::N,бадараан,ಹೊಲಸು
198,Eisen::N,тимир,ಕಬ್ಬಿಣ
199,Gold::N,көмүс,ಚಿನ್ನ
200,Gold::N,кыһыл көмүс,ಚಿನ್ನ
201,Silber::N,көмүс,ಬೆಳ್ಳಿ
202,Silber::N,үрүҥ көмүс,ಬೆಳ್ಳಿ
203,Kohle::N,чох,ಕಲ್ಲಿದ್ದಲು
204,Glas::N,өстүөкүлэ,ಗಾಜು
205,Lehm::N,туой,ಜೇಡಿಮಣ್ಣು
206,Sand::N,кумах,ಮರಳು
207,Mensch::N,киһи,ಪುರುಷ
208,Mann::N,эр,ಆಳು
209,Frau::N,дьахтар,ಹೆಣ್ಣು
210,Kind::N,оҕо,ಮಗು
211,Junge::N,уол,ಹುಡುಗ
212,Mädchen::N,кыыс оҕо,ಹುಡುಗಿ
213,Familie::N,кэргэн,ಕುಟುಂಬ
214,Großvater::N,эһэ,ಅಜ್ಜ
215,Großmutter::N,эбэ,ಅಮ್ಮ
216,Eltern::N,аҕа-ийэ,ಹೆತ್ತವರು
217,Vater::N,аҕа,ತಂದೆ
218,Mutter::N,ийэ,ಅಮ್ಮ
219,Sohn::N,уол,ಮಗ 
220,Tochter::N,кыыс,ಮಗಳು
221,Bruder::N,убай,ತಮ್ಮ
222,Bruder::N,быраат,ತಮ್ಮ
223,Schwester::N,аҕас,ತಂಗಿ
224,Schwester::N,балыс,ತಂಗಿ
225,Onkel::N,таай,ಸೋದರಮಾವ
226,Onkel::N,таай,ದೊಡ್ಡಪ್ಪ
227,Onkel::N,абаҕа,ಸೋದರಮಾವ
228,Onkel::N,абаҕа,ದೊಡ್ಡಪ್ಪ
229,Tante::N,эдьиий,ಚಿಕ್ಕಮ್ಮ
230,Ehemann::N,эр,ಗಂಡ
231,Ehefrau::N,ойох,ಹೆಂಡತಿ
232,Freude::N,үөрүү,ನಲಿವು
233,Gelächter::N,күлүү,ನಗೆ
234,Glück::N,дьол,ಆನಂದ
235,Glück::N,соргу,ಆನಂದ
236,Kummer::N,кутурҕан,ದುಃಖ
237,Wunsch::N,баҕарыы,ಬಯಕೆ
238,Lust::N,баҕа,ಇಷ್ಟ
239,Geist::N,тыын,ಆತ್ಮ
240,Gedanke::N,санаа,ಯೋಚನೆ
241,Gedächtnis::N,өй,ಸ್ಮರಣೆ
242,Verstand::N,өй,ಮನಸ್ಸು
243,Sinn::N,суолта,ಅರ್ಥ
244,Grund::N,төрүөт,ಕಾರಣ
245,Wahrheit::N,кырдьык,ಸತ್ಯ
246,Gespräch::N,бэсиэдэ,ಸಂಭಾಷಣೆ
247,Gespräch::N,кэпсэтии,ಸಂಭಾಷಣೆ
248,Märchen::N,остуоруйа,ಸುಳ್ಳು ಕಥೆ
249,Erzählung::N,кэпсээн,ಕಥೆ
250,Nachricht::N,биллэриллии,ಸಂದೇಶ
251,Neuigkeit::N,сонун,ಸುದ್ದಿ
252,Name::N,аат,ಹೆಸರು
253,Rätsel::N,таабырын,ಒಗಟು
254,Rede::N,этии,ಮಾತು
255,Sprache::N,тыл,ಭಾಷೆ
256,Stimme::N,куолас,ಧ್ವನಿ
257,Wort::N,тыл,ಮಾತು
258,Zeichen::N,бэлиэ,ಗುರುತು
259,Ruf::N,ыҥырыы,ಕೂಗು
260,Lärm::N,айдаан,ಸದ್ದು
261,Laut::N,тыас,ಶಬ್ದ
262,Ton::N,дорҕоон,ನಾದ
263,Lied::N,ырыа,ಗಾನ
264,Ruhe::N,уу чуумпу,ಶಾಂತಿ
265,Leute::N,дьон,ಮಂದಿ
266,Volk::N,дьон,ಜನಾಂಗ
267,Volk::N,норуот,ಜನಾಂಗ
268,Arbeit::N,үлэ,ಕೆಲಸ
269,Gast::N,ыалдьыт,ಅತಿಥಿ
270,Geschenk::N,бэлэх,ಕಾಣಿಕೆ
271,Spiel::N,оонньуу,ಆಟ
272,Gesellschaft::N,общество,ಸಂಗ
273,Hilfe::N,көмө,ಸಹಾಯ
274,Freund::N,доҕор,ಸ್ನೇಹಿತ
275,Kamerad::N,атас,ಜೊತೆಗಾರ
276,Angelegenheit::N,дьыала,ವಿಚಾರ
277,Anzahl::N,ахсаан,ಎಣಿಕೆ
278,Art::N,биис,ತರ
279,Stück::N,кырбас,ತುಂಡು
280,Teil::N,ирээт,ಭಾಗ
281,Hälfte::N,аҥар,ಅರ್ಧ
282,Kreis::N,төгүрүк,ವೃತ್ತ
283,Kreis::N,төгүрүмтэ,ವೃತ್ತ
284,Kreuz::N,кириэс,ಶಿಲುಬೆ
285,Linie::N,сурааһын,ರೀಖೆ
286,Strich::N,сурааһын,ಗೀಟು
287,Abstand::N,арыт,ಅಂತರ
288,Entfernung::N,ыраах,ದೂರ
289,Gegend::N,сир,ವಿಸ್ತೀರ್ಣ
290,Platz::N,арыт,ಅಂತರ
291,Ort::N,сир,ಸ್ಥಳ
292,Seite::N,өрүт,ಪಕ್ಷ
293,Seite::N,сирэй,ಪಕ್ಷ
294,Mitte::N,орто,ನಡು
295,Gegenstand::N,предмет,ವಸ್ತು
296,Sache::N,мал,ವಸ್ತು
297,Rand::N,кытыы,ಅಂಚು
298,Rand::N,ойоҕос,ಅಂಚು
299,Kante::N,кырыы,ಅಂಚು
300,Ecke::N,муннук,ಮೂಲೆ
301,Spitze::N,чыпчаал,ತುದಿ
302,Ende::N,төбө,ಕೊನೆ
303,Loch::N,тэһэҕэс,ತೂತು
304,Loch::N,дьөлөҕөс,ತೂತು
305,Winkel::N,муннук,ಕೋನ
306,Muster::N,оһуор,ನಮೂನೆ
307,Größe::N,кээмэй,ಪ್ರಮಾಣ
308,Länge::N,уста,ಉದ್ದ
309,Höhe::N,үрдүк,ಎತ್ತರ
310,Gewicht::N,ыйааһын,ತೂಕ
311,Menge::N,ахсаан,ಮೊತ್ತ
312,Haufen::N,чөмчөх,ರಾಶಿ
313,Reihe::N,кэккэ,ಸಾಲು
314,Boot::N,оҥочо,ದೋಣಿ
315,Ruder::N,эрдии,ಹುಟ್ಟು
316,Schlitten::N,сыарҕа,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
317,Ski::N,хайыһар,ಜಾರುಪಟ್ಟಿ
318,Lagerfeuer::N,кутаа,ಶಿಬಿರಾಗ್ನಿ
319,Last::N,ыарахан,ಹೊರೆ
320,Gang::N,хаамыы,ತಿರುಗಾಟ
321,Schritt::N,хардыы,ಹೆಜ್ಜೆ
322,Norden::N,хоту,ಉತ್ತರ
323,Süden::N,соҕуруу,ದಕ್ಷಿಣ
324,Westen::N,арҕаа,ಪಶ್ಚಿಮ
325,Osten::N,илин,ಮೂಡಲು
326,Holz::N,мас,ಚೌಬೀನೆ
327,Brett::N,дуоска,ಹಲಗೆ
328,Brett::N,хаптаһын,ಹಲಗೆ
329,Platte::N,билиитэ,ಹಲಗೆ
330,Stütze::N,тулааһын,ಆಸರೆ
331,Stange::N,ураҕас,ಕಂಬ
332,Stock::N,мас,ಕೋಲು
333,Stock::N,баалкы,ಕೋಲು
334,Stab::N,ураҕас,ದೊಣ್ಣೆ
335,Rohr::N,турба,ನಳಿಕೆ
336,Haus::N,дьиэ,ಮನೆ
337,Heim::N,дьиэ,ಗೃಹ
338,Ofen::N,оһох,ಒಲೆ
339,Fußboden::N,муоста,ನೆಲ
340,Tisch::N,остуол,ಮೇಜು
341,Stuhl::N,устуул,ಕುರ್ಚಿ
342,Wiege::N,биһик,ತೊಟ್ಟಿಲು
343,Bett::N,кырабаат,ಹಾಸಿಗೆ
344,Regal::N,долбуур,ಬೀರು
345,Kiste::N,дьааһык,ಪಟ್ಟಿಗೆ
346,Fenster::N,түннүк,ಕಿಟಕಿ
347,Tür::N,аан,ಬಾಗಿಲು
348,Tor::N,аан,ಹೆಬ್ಬಾಗಿಲು
349,Zaun::N,соппулуот,ಬೇಲಿ
350,Dach::N,кырыыса,ಮಾಳಿಗೆ
351,Leiter::N,кирилиэс,ಏಣಿ
352,Besen::N,миинньик,ಪೊರಕೆ
353,Spaten::N,күрдьэх,ಗುದ್ದಲಿ
354,Schaufel::N,күрдьэх,ಸನಿಕೆ
355,Gabel::N,биилкэ,ಕವಲು
356,Löffel::N,луоска,ಚಮಚ
357,Messer::N,быһах,ಚಾಕು
358,Nagel::N,тоһоҕо,ಆಣಿ
359,Netz::N,илим,ಬಲೆ
360,Haken::N,көхө,ಕೊಂಡಿ
361,Griff::N,ук,ಹಿಡಿ
362,Griff::N,тутаах,ಹಿಡಿ
363,Schloss::N,күлүүс,ವೀಗ
364,Bild::N,хартыына,ಚಿತ್ರ
365,Figur::N,фигура,ಆಕಾರ
366,Puppe::N,куукула,ಗೊಂಬೆ
367,Beutel::N,мөһөөччук,ಸಂಚಿ
368,Bündel::N,баайыы,ಕಟ್ಟು
369,Tasche::N,суумка,ಚೀಲ
370,Eimer::N,биэдэрэ,ಬಾನೆ
371,Deckel::N,хаппах,ಮುಚ್ಚಳ
372,Geschirr::N,иһит,ಭಕ್ಷ್ಯಗಳು
373,Sack::N,куул,ಮೂಟೆ
374,Tasse::N,сэлиэнэй,ಬಟ್ಟಲು
375,Topf::N,көстүрүүҥкэ,ಮಡಕೆ
376,Kessel::N,хочуол,ಕೆಟಲ್
377,Essen::N,аһылык,ಊಟ
378,Nahrung::N,ас,ಆಹಾರ
379,Speise::N,аһылык,ಊಟ
380,Fleisch::N,эт,ಮಾಂಸ
381,Getreide::N,злактар,ಧಾನ್ಯ
382,Brei::N,хааһы,ಗಂಜಿ
383,Brot::N,килиэп,ರೊಟ್ಟಿ
384,Scheibe::N,куһуок,ಹೋಳು
385,Fett::N,сыа,ಕೊಬ್ಬು
386,Butter::N,арыы,ಬೆಣ್ಣೆ
387,Öl::N,арыы,ಎಣ್ಣೆ
388,Salz::N,туус,ಉಪ್ಪು
389,Suppe::N,мин,ಎಸರು
390,Honig::N,мүөт,ಮಧು
391,Milch::N,үүт,ಹಾಲು
392,Tee::N,чэй,ಚಹ
393,Leder::N,тирии,ಚಕ್ಕಳ
394,Wolle::N,түү,ಉಣ್ಣೆ
395,Stoff::N,таҥас,ಬಟ್ಟೆ
396,Nadel::N,иннэ,ಸೂಜಿ
397,Faden::N,сап,ದಾರ
398,Knopf::N,тимэх,ಗುಂಡು
399,Knoten::N,түмүк,ಗಂಟು
400,Farbe::N,кырааска,ಬಣ್ಣ
401,Kleidung::N,таҥас,ಅರಿವೆ
402,Hemd::N,ырбаахы,ಅಂಗಿ
403,Kragen::N,саҕа,ಕುತ್ತಿಗೆಪಟ್ಟಿ
404,Ärmel::N,сиэх,ತೋಳು
405,Hose::N,ыстаан,ಇಜಾರ
406,Hose::N,бүрүүкэ,ಇಜಾರ
407,Gürtel::N,кур,ಬೆಲ್ಟು
408,Mütze::N,бэргэһэ,ಟೋಪಿ
409,Schuh::N,бачыыҥка,ಪಾದರಕ್ಷೆ
410,Stiefel::N,саппыкы,ಬೂಟು
411,Ring::N,биһилэх,ಉಂಗುರ
412,Band::N,лиэнтэ,ರಿಬ್ಬನ್
413,Kamm::N,тараах,ಹಣಿಗೆ
414,Spiegel::N,сиэркилэ,ಕನ್ನಡಿ
415,Riemen::N,кур,ಬಾರು
416,Schnur::N,быа,ಹುರಿ
417,Leine::N,тэһиин,ಹಗ್ಗ
418,Decke::N,суорҕан,ಕಂಬಳಿ
419,Kissen::N,сыттык,ದಿಂಬು
420,Tuch::N,былаат,ಕೊರಳ ಬಟ್ಟೆ
421,Handtuch::N,соттор,ಚೌಕ
422,Kraft::N,сыра,ಬಲ
423,Stärke::N,күүс,ಶಕ್ತಿ
424,Gesundheit::N,доруобуйа,ಆರೋಗ್ಯ
425,Krankheit::N,ыарыы,ರೋಗ
426,Schmerz::N,ыарыы,ನೋವು
427,Wunde::N,баас,ಗಾಯ
428,Fieber::N,түрүлгэн,ಜ್ವರ
429,Fieber::N,лихорадка,ಜ್ವರ
430,Fieber::N,температура,ಜ್ವರ
431,Arznei::N,эмп,ಔಷಧ
432,Brücke::N,күргэ,ಸೇತುವೆ
433,Brunnen::N,холуодьас,ಬಾವಿ
434,Weide::N,мэччирэҥ,ಗೋಮಾಳ
435,Pfad::N,ыллык,ದಾರಿ
436,Weg::N,суол,ಹಾದಿ
437,Straße::N,суол,ರಸ್ತೆ
438,Dorf::N,дэриэбинэ,ಹಳ್ಳಿ
439,Stadt::N,куорат,ಪಟ್ಟಣ
440,Brief::N,сурук,ಕಾಗದ
441,Buch::N,кинигэ,ಪುಸ್ತಕ
442,Buchstabe::N,буква,ಅಕ್ಷರ
443,Zeitung::N,хаһыат,ವಾರ್ತಾಪತ್ರಿಕೆ
444,Leben::N,тыын,ಜೀವನ
445,Tod::N,өлүү,ಮರಣ
446,Grab::N,иин,ಗೋರಿ
447,Kirche::N,таҥара дьиэтэ,ಚರ್ಚು
448,Sünde::N,айыы,ಪಾಪ
449,Gott::N,тангара,ದೇವರು
450,Arbeiter::N,үлэһит,ಕೆಲಸಗಾರ
451,Chef::N,баһылык,ದಣಿ
452,Chef::N,начальник,ದಣಿ
453,Meister::N,уус,ಶಿಕ್ಷಕ
454,Meister::N,маастар,ಶಿಕ್ಷಕ
455,Arzt::N,врач,ವೈದ್ಯ
456,Lehrer::N,учуутал,ಉಪಾಧ್ಯಾಯ
457,Geld::N,харчы,ಹಣ
458,Geschäft::N,идэ,ವಾಣಿಜ್ಯ
459,Laden::N,маҕаһыын,ಅಂಗಡಿ
460,Preis::N,сыана,ಬೆಲೆ
461,Ware::N,табаар,ಸರಕು
462,Nutzen::N,туһа,ಲಾಭ
463,Reichtum::N,баай,ಸಂಪತ್ತು
464,Welt::N,аан дойду,ಭೂಲೋಕ
465,Land::N,дойду,ದೇಶ
466,Staat::N,государство,ರಾಜ್ಯ
467,König::N,король,ರಾಜ
468,Macht::N,былаас,ಅಧಿಕಾರ
469,Grenze::N,кыраныысса,ಗಡಿ
470,Krieg::N,сэрии,ಯುದ್ಧ
471,Feind::N,өстөөх,ಶತ್ರು
472,Gewalt::N,күүһүлээһин,ಹಿಂಸೆ
473,Kampf::N,охсуһуу,ಹೋರಾಟ
474,Bogen[Waffe]::N,ох,ಬಿಲ್ಲು
475,Pfeil::N,ох,ಅಂಬು
476,Gewehr::N,саа,ಬಂದೂಕು
477,Fehler::N,сыыһа,ತಪ್ಪು
478,Lüge::N,сымыйа,ಸುಳ್ಳು
479,Schaden::N,хоромньу,ಹಾನಿ
480,Unglück::N,алдьархай,ಅಪಾಯ
481,Schuld::N,буруй,ದೋಷ
482,Alter::N,саас,ಮುಪ್ಪು
483,Schluss::N,тиһэх,ಮುಕ್ತಾಯ
484,Zeit::N,бириэмэ,ಕಾಲ
485,Tag::N,күн,ದಿನ
486,Morgen::N,сарсыарда,ಮುಂಜಾನೆ
487,Mittag::N,күн ортото,ನಡುಹಗಲು
488,Abend::N,киэһэ,ಸಂಜೆ
489,Nacht::N,түүн,ರಾತ್ರಿ
490,Woche::N,нэдиэлэ,ವಾರ
491,Monat::N,ый,ತಿಂಗಳು
492,Jahr::N,сыл,ಸಂವತ್ಸರ
493,Jahr::N,дьыл,ಸಂವತ್ಸರ
494,Frühling::N,саас,ವಸಂತ
495,Sommer::N,сайын,ಬಿಸಿಲುಕಾಲ
496,Herbst::N,күһүн,ಶರತ್ಕಾಲ
497,Winter::N,кыһын,ಚಳಿಗಾಲ
498,Januar::N,тохсунньу,ನಾಲ್ಚಳಿ
499,Februar::N,олунньу,ಅಯ್ಚಳಿ
500,März::N,кулун тутар,ಮೊಬ್ಬೇಸಿಗೆ
501,April::N,муус устар ый,ಇಬ್ಬೇಸಿಗೆ
502,Mai::N,ыам ыйа,ಮುಬ್ಬೇಸಿಗೆ
503,Juni::N,бэс ыйа,ಮೊಮ್ಮಳೆ
504,Juli::N,от ыйа,ಇಮ್ಮಳೆ
505,August::N,атырдьах ыйа,ಮುಮ್ಮಳೆ
506,September::N,балаҕан ыйа,ನಾಲ್ಮಳೆ
507,Oktober::N,алтынньы,ಮೊಚ್ಚಳಿ
508,November::N,сэтинньи,ಇಚ್ಚಳಿ
509,Dezember::N,ахсынньы,ಮುಚ್ಚಳಿ
510,Montag::N,бэнидиэнньик,ಸೋಮುವಾರ
511,Dienstag::N,оптуорунньук,ಮಂಗಳವಾರ
512,Mittwoch::N,сэрэдэ,ಬುಧವಾರ
513,Donnerstag::N,чэппиэр,ಗುರುವಾರ
514,Freitag::N,бээтинсэ,ಶುಕ್ರವಾರ
515,Samstag::N,субуота,ಶನಿವಾರ
516,Sonntag::N,баскыһыанньа,ಭಾನುವಾರ
517,groß::A,бөдөҥ,ದೊಡ್ಡ
518,groß::A,улахан,ದೊಡ್ಡ
519,klein::A,кыр,ಪುಟ್ಟ
520,lang::A,уһун,ದೀರ್ಘ
521,kurz::A,кылгас,ಚಕ್ಕ
522,breit::A,кэтит,ಅಗಲವಾದ
523,schmal::A,кыараҕас,ಇಕ್ಕಟ್ಟಾದ
524,dicht::A,хойуу,ದಟ್ಟ
525,dick[Gegenstand]::A,суон,ದಟ್ಟ
526,dick[Gegenstand]::A,хойуу,ದಟ್ಟ
527,dünn::A,чараас,ತೆಳು
528,fein::A,бытархай,ಕೋಮಲ
529,fein::A,синньигес,ಕೋಮಲ
530,fest::A,бөҕө,ಘನ
531,fest::A,кытаанах,ಘನ
532,flach::A,хаптаҕай,ಚಪ್ಪಟೆ
533,glatt::A,кылааккай,ನಯ
534,hart::A,хатан,ಗಟ್ಟಿ
535,hart::A,кытаанах,ಗಟ್ಟಿ
536,weich::A,сымнаҕас,ಮೃದುವಾದ
537,rund::A,төгүрүк,ವರ್ತುಳ
538,spitz::A,сытыы,ಮೊನಚಾದ
539,spitz::A,уһуктаах,ಮೊನಚಾದ
540,scharf::A,сытыы,ತೀಕ್ಷ್ಣ
541,stumpf::A,сыппах,ಮೊಂಡು
542,schwer::A,ыарахан,ಭಾರಿ
543,schön::A,кыраһыабай,ಸುಂದರ
544,heiß::A,итии,ಬಿಸಿ
