,Concept_ID,sq,ca
92,Wetter::N,mot,temps
93,Nebel::N,mjegull,boira
94,Wolke::N,re,núvol
95,Regen::N,shi,pluja
96,Schnee::N,borë,neu
97,Eis::N,akull,gel
98,Eis::N,akull,glaç
99,Frost::N,ngricë,glaçada
100,Kälte::N,të ftohtë,fred
101,Hitze::N,vapë,calor
102,Hitze::N,nxehtësi,calor
103,Raureif::N,cikmë,gebre
104,Regenbogen::N,ylber,arc iris
105,Donner::N,gjëmim,tro
106,Donner::N,bubullimë,tro
107,Strömung::N,rrymë,corrent
108,Tropfen::N,pikë,gota
109,Schaum::N,shkumë,escuma
110,Schmutz::N,baltë,brutícia
111,See::N,liqen,llac
112,Sumpf::N,batak,pantà
113,Moor::N,kënetë,pantà
114,Wiese::N,livadh,prat
115,Wiese::N,livadh,prada
116,Wald::N,pyll,bosc
117,Hügel::N,kodër,puig
118,Hügel::N,kodër,pujol
119,Anhöhe::N,bregore,turó
120,Berg::N,mal,muntanya
121,Gipfel::N,kulm,cim
122,Höhle::N,shpellë,cova
123,Höhle::N,zgafelle,cova
124,Abhang::N,shpat,coster
125,Abhang::N,tatëpjetë,coster
126,Quelle::N,krua,font
127,Quelle::N,burim,font
128,Bach::N,virua,riera
129,Fluss::N,lumë,riu
130,Ufer::N,breg,riba
131,Küste::N,anëdet,costa
132,Küste::N,bregdet,costa
133,Festland::N,kontinent,terra ferma
134,Meer::N,det,mar
135,Bucht::N,gji deti,cala
136,Bucht::N,gji deti,badia
137,Insel::N,ishull,illa
138,Insel::N,ujdhesë,illa
139,Blume::N,lule,flor
140,Gras::N,bar,herba
141,Wurzel::N,rrënjë,rel
142,Wurzel::N,rrënjë,arrel
143,Baum::N,pemë,arbre
144,Stamm::N,trung,tronc
145,Rinde::N,lëvore,escorça
146,Ast::N,degë,branca
147,Zweig::N,bisk,ram
148,Blatt::N,fletë,fulla
149,Blatt::N,gjethe,fulla
150,Birke::N,mështekën,bedoll
151,Kiefer[Baum]::N,pishë,pi
152,Weide[Baum]::N,shelg,salze
153,Tanne::N,bredh,avet
154,Horn::N,bri,corn
155,Horn::N,bri,banya
156,Feder::N,pupël,ploma
157,Fell::N,lëkurë,pell
158,Flügel::N,krah,ala
159,Flügel::N,fletë,ala
160,Klaue::N,kthetër,urpa
161,Kralle::N,thua,grapa
162,Kralle::N,kthetër,grapa
163,Schwanz::N,bisht,cua
164,Ei::N,vezë,ou
165,Nest::N,fole,niu
166,Bau::N,strofkë,cau
167,Tier::N,kafshë,animāl
168,Herde::N,kope,ramat
169,Herde::N,grigjë,ramat
170,Kuh::N,lopë,vaca
171,Bulle::N,dem,toro
172,Pferd::N,kalë,cavāll
173,Schaf::N,dele,be
174,Schaf::N,dele,ovella
175,Schwein::N,derr,bacó
176,Hund::N,qen,ca
177,Hund::N,qen,gos
178,Katze::N,mace,gat
179,Bär::N,ari,ós
180,Eichhörnchen::N,ketër,esquirol
181,Elch::N,dre brilopatë,ant
182,Fuchs::N,dhelpër,guilla
183,Hase::N,lepur,llebre
184,Maus::N,mi,ratolí
185,Wolf::N,ujk,llop
186,Vogel::N,zog,au
187,Vogel::N,zog,ocēll
188,Vogel::N,shpend,au
189,Vogel::N,shpend,ocēll
190,Schwarm::N,luzmë,bandada
191,Huhn::N,pulë,gallina
192,Hahn::N,gjel,gall
193,Hahn::N,këndes,gall
194,Gans::N,patë,oca
195,Adler::N,shqiponjë,àguila
196,Ente::N,rosë,ànec
197,Eule::N,buf,òliba
198,Eule::N,buf,mussol
199,Kranich::N,lejlek,grua
200,Kranich::N,kurrillë,grua
201,Krähe::N,sorrë,cornella
202,Kuckuck::N,qyqe,cucut
203,Schwan::N,mjellmë,cigne
204,Fisch::N,peshk,peix
205,Barsch::N,purtekë,perca
206,Hecht::N,mlysh,lluç
207,Schlange[Tier]::N,gjarpër,serp
208,Wurm::N,krimb,cuc
209,Spinne::N,marimangë,aranya
210,Ameise::N,thnegël,formiga
211,Ameise::N,milingonë,formiga
212,Laus::N,morr,poll
213,Mücke::N,kunup,mosquit
214,Mücke::N,mushkonjë,mosquit
215,Fliege::N,mizë,mosca
216,Schmetterling::N,flutur,papallona
217,Beere::N,frutë,baia
218,Beere::N,manaferrë,baia
219,Apfel::N,mollë,poma
220,Pilz::N,kërpudhë,bolet
221,Zwiebel::N,qepë,ceba
222,Saat::N,farë,sembra
223,Korn::N,grurë,gra
224,Korn::N,kokërr,gra
225,Heu::N,sanë,fenc
226,Schale::N,lëkurë,closca
227,Grube::N,gropë,sot
228,Grube::N,gropë,clot
229,Falle::N,kurth,trampa
230,Falle::N,grackë,trampa
231,Schlinge::N,nyjë,baga
232,Spur::N,gjurmë,traça
233,Asche::N,hi,cendra
234,Dreck::N,baltë,llot
235,Eisen::N,hekur,ferro
236,Gold::N,ar,or
237,Gold::N,flori,or
238,Silber::N,argjend,plata
239,Kohle::N,qymyr,carbó
240,Glas::N,qelq,vidre
241,Lehm::N,argjilë,fang
242,Lehm::N,argjilë,argila
243,Sand::N,rërë,arena
244,Mensch::N,njeri,humà
245,Mensch::N,njeri,persona
246,Mann::N,burrë,home
247,Mann::N,mashkull,home
248,Frau::N,grua,dona
249,Frau::N,femër,dona
250,Kind::N,kalama,nen
251,Junge::N,djalë,noi
252,Mädchen::N,gocë,noia
253,Mädchen::N,vajzë,noia
254,Familie::N,familje,família
255,Großvater::N,gjysh,avi
256,Großmutter::N,gjyshe,àvia
257,Eltern::N,prindër,pares
258,Vater::N,atë,pare
259,Mutter::N,nënë,mare
260,Sohn::N,bir,fill
261,Tochter::N,bijë,filla
262,Bruder::N,vëlla,germà
263,Schwester::N,motër,germana
264,Onkel::N,dajë,oncle
265,Onkel::N,xhaxha,oncle
266,Tante::N,teze,tia
267,Tante::N,hallë,tia
268,Ehemann::N,burrë,espòs
269,Ehemann::N,bashkëshort,espòs
270,Ehefrau::N,grua,muller
271,Ehefrau::N,bashkëshorte,muller
272,Freude::N,gaz,goig
273,Freude::N,gaz,alegria
274,Freude::N,gëzim,goig
275,Freude::N,gëzim,alegria
276,Gelächter::N,qeshje,riallada
277,Glück::N,lumturi,felicitat
278,Kummer::N,brengë,pena
279,Kummer::N,pikëllim,pena
280,Wunsch::N,dëshirë,desig
281,Lust::N,epsh,ganes
282,Lust::N,dashuri,ganes
283,Geist::N,frymë,ment
284,Geist::N,frymë,esperit
285,Geist::N,shpirt,ment
286,Geist::N,shpirt,esperit
287,Gedanke::N,ide,pensament
288,Gedanke::N,mendim,pensament
289,Gedächtnis::N,kujtesë,memòria
290,Verstand::N,mend,raó
291,Verstand::N,mend,seny
292,Sinn::N,kuptim,solta
293,Sinn::N,kuptim,sentit
294,Grund::N,arsye,raó
295,Grund::N,arsye,causa
296,Wahrheit::N,vërtetë,veritāt
297,Gespräch::N,bisedim,conversa
298,Märchen::N,përrallë,conte
299,Erzählung::N,tregim,narració
300,Nachricht::N,lajm,missatge
301,Neuigkeit::N,risi,novetat
302,Name::N,emër,nom
303,Rätsel::N,gjëzë,endevinalla
304,Rätsel::N,gjëegjëzë,endevinalla
305,Rede::N,fjalim,discurs
306,Sprache::N,gjuhë,llēngua
307,Stimme::N,zë,veu
308,Wort::N,fjalë,mot
309,Wort::N,fjalë,paraula
310,Zeichen::N,shenjë,signe
311,Zeichen::N,shenjë,senyal
312,Ruf::N,thirrmë,crida
313,Lärm::N,zhurmë,sorōll
314,Laut::N,tingull,so
315,Ton::N,ton,to
316,Lied::N,këngë,cançó
317,Ruhe::N,qetësi,calma
318,Ruhe::N,qetësi,silenci
319,Leute::N,botë,gent
320,Leute::N,njerëz,gent
321,Volk::N,popull,poble
322,Arbeit::N,punë,labor
323,Arbeit::N,punë,treball
324,Gast::N,mik,hoste
325,Gast::N,mysafir,hoste
326,Geschenk::N,dhuratë,regal
327,Geschenk::N,dhuratë,obsequi
328,Geschenk::N,peshqesh,regal
329,Geschenk::N,peshqesh,obsequi
330,Spiel::N,lojë,joc
331,Gesellschaft::N,shoqëri,companyia
332,Hilfe::N,ndihmë,ajut
333,Freund::N,mik,amīc
334,Kamerad::N,shok,company
335,Kamerad::N,shok,camarada
336,Angelegenheit::N,punë,afer
337,Angelegenheit::N,punë,assumpte
338,Anzahl::N,sasi,nombre
339,Anzahl::N,sasi,quantitat
340,Art::N,lloj,tipus
341,Art::N,lloj,classe
342,Stück::N,copë,peça
343,Teil::N,pjesë,part
344,Hälfte::N,gjysmë,meitat
345,Kreis::N,qark,cercle
346,Kreis::N,rreth,cercle
347,Kreuz::N,kryq,creu
348,Linie::N,vijë,línia
349,Strich::N,vizë,traç
350,Strich::N,vizë,ratlla
351,Abstand::N,distancë,distància
352,Entfernung::N,largim,distància
353,Gegend::N,vise,regió
354,Gegend::N,vise,contrada
355,Gegend::N,krahinë,regió
356,Gegend::N,krahinë,contrada
357,Platz::N,shesh,cabuda
358,Ort::N,vend,lloc
359,Seite::N,anë,banda
360,Seite::N,anë,costāt
361,Mitte::N,mes,mig
362,Mitte::N,mes,centre
363,Gegenstand::N,send,objecte
364,Sache::N,gjë,cosa
365,Sache::N,send,cosa
366,Rand::N,qoshe,vora
367,Rand::N,qoshe,marge
368,Kante::N,teh,caire
369,Kante::N,teh,cantell
370,Ecke::N,qoshe,cantonada
371,Spitze::N,majë,punta
372,Ende::N,skaj,cap
373,Ende::N,bisht,cap
374,Loch::N,vrimë,forāt
375,Winkel::N,kënd,racó
376,Muster::N,mostër,dibuix
377,Muster::N,mostër,disseny
378,Größe::N,madhësi,grandària
379,Länge::N,gjatësi,longitud
380,Höhe::N,lartësi,altura
381,Höhe::N,lartësi,altitud
382,Gewicht::N,peshë,pes
383,Menge::N,sasi,quantitat
384,Haufen::N,grumbull,pila
385,Reihe::N,radhë,fila
386,Reihe::N,rresht,fila
387,Boot::N,barkë,bot
388,Boot::N,barkë,barca
389,Boot::N,lundër,bot
390,Boot::N,lundër,barca
391,Ruder::N,rrem,rem
392,Schlitten::N,sajë,trineu
393,Ski::N,ski,esquí
394,Lagerfeuer::N,flakadan,foc de campament
395,Lagerfeuer::N,zjarr i madh,foc de campament
396,Last::N,barrë,càrrega
397,Gang::N,ecje,marxa
398,Schritt::N,hap,pas
399,Norden::N,veri,nord
400,Süden::N,jug,sud
401,Westen::N,perëndim,oest
402,Westen::N,perëndim,occident
403,Osten::N,lindje,est
404,Osten::N,lindje,orient
405,Holz::N,dru,fusta
406,Brett::N,dërrasë,taula
407,Platte::N,pllakë,placa
408,Stütze::N,shtyllë,suport
409,Stütze::N,mbështetesë,suport
410,Stange::N,shufër,vara
411,Stock::N,dajak,pal
412,Stab::N,shkop,bastó
413,Rohr::N,tub,tub
414,Haus::N,shtëpi,casa
415,Heim::N,konak,llar
416,Heim::N,shtëpi,llar
417,Ofen::N,sobë,estufa
418,Ofen::N,stufë,estufa
419,Fußboden::N,dysheme,terra
420,Tisch::N,tryezë,taula
421,Stuhl::N,karrige,cadira
422,Wiege::N,djep,bressol
423,Bett::N,shtrat,llit
424,Regal::N,raft,prestatgeria
425,Kiste::N,kuti,caixa
426,Fenster::N,dritare,finestra
427,Tür::N,derë,porta
428,Tor::N,portë,portal
429,Zaun::N,gardh,tanca
430,Dach::N,çati,teulada
431,Leiter::N,shkallë,escala
432,Leiter::N,shkallë,escala de mà
433,Besen::N,fshesë,escombra
434,Spaten::N,lopatë,pala
435,Schaufel::N,qyrek,pala
436,Gabel::N,pirun,forquilla
437,Löffel::N,lugë,cullera
438,Messer::N,thikë,coltell
439,Nagel::N,gozhdë,clau
440,Netz::N,rrjetë,filat
441,Haken::N,grep,ganxo
442,Haken::N,grremç,ganxo
443,Griff::N,dorak,puny
444,Griff::N,dorak,mànec
445,Griff::N,dorezë,puny
446,Griff::N,dorezë,mànec
447,Schloss::N,bravë,pany
448,Bild::N,tablo,imatge
449,Bild::N,pikturë,imatge
450,Figur::N,figurë,figura
451,Puppe::N,kukull,nina
452,Beutel::N,qese,bossa
453,Beutel::N,trastë,bossa
454,Bündel::N,deng,feix
455,Bündel::N,deng,paquet
456,Tasche::N,çantë,bossa
457,Eimer::N,kovë,galleda
458,Deckel::N,kapak,tapa
459,Deckel::N,kapak,tapadora
460,Deckel::N,mbulesë,tapa
461,Deckel::N,mbulesë,tapadora
462,Geschirr::N,enë,vaixella
463,Sack::N,thes,sac
464,Sack::N,thes,saca
465,Sack::N,torbë,sac
466,Sack::N,torbë,saca
467,Tasse::N,filxhan,tassa
468,Topf::N,kusi,pot
469,Topf::N,kusi,olla
470,Topf::N,tenxhere,pot
471,Topf::N,tenxhere,olla
472,Kessel::N,kazan,caldera
473,Essen::N,ngrënie,àpat
474,Essen::N,ngrënie,menjada
475,Nahrung::N,ushqim,aliment
476,Speise::N,gatesë,plat
477,Fleisch::N,mish,carn
478,Getreide::N,drithë,cereals
479,Brei::N,qull,puré
480,Brot::N,bukë,pa
481,Scheibe::N,fetë,tall
482,Scheibe::N,fetë,llesca
483,Fett::N,lyrë,greix
484,Fett::N,yndyrë,greix
485,Butter::N,gjalpë,mantega
486,Öl::N,vaj,oli
487,Salz::N,kripë,sal
488,Suppe::N,supë,sopa
489,Suppe::N,çorbë,sopa
490,Honig::N,mjaltë,mel
491,Milch::N,qumësht,llet
492,Tee::N,çaj,te
493,Leder::N,lëkurë,cuir
494,Wolle::N,lesh,llana
495,Stoff::N,pëlhurë,tela
496,Nadel::N,gjilpërë,agulla
497,Faden::N,pe,fil
498,Faden::N,fije,fil
499,Knopf::N,kopsë,botó
500,Knoten::N,komb,nus
501,Farbe::N,bojë,pintura
502,Kleidung::N,veshje,roba
503,Kleidung::N,veshje,vestits
504,Hemd::N,këmishë,camisa
505,Kragen::N,jakë,coll
506,Ärmel::N,mëngë,màniga
507,Hose::N,brekë,pantalōns
508,Gürtel::N,rrip,cinturó
509,Mütze::N,kësulë,gorra
510,Schuh::N,këpucë,sabata
511,Stiefel::N,çizme,bota
512,Ring::N,unazë,anell
513,Band::N,shirit,veta
514,Band::N,shirit,cinta
515,Kamm::N,krehër,pinta
516,Spiegel::N,pasqyrë,mirāll
517,Riemen::N,rrip,corretja
518,Schnur::N,litar,corda
519,Schnur::N,cikomë,corda
520,Leine::N,rrip,corretja
521,Decke::N,batanije,manta
522,Decke::N,batanije,flassada
523,Kissen::N,jastëk,coixí
524,Tuch::N,shami,mocador
525,Handtuch::N,peshqir,tovallola
526,Kraft::N,forcë,força
527,Stärke::N,koll,vigor
528,Gesundheit::N,shëndet,salut
529,Krankheit::N,sëmundje,malaltia
530,Schmerz::N,dhimbje,dolor
531,Wunde::N,plagë,ferida
532,Fieber::N,ethe,febre
533,Arznei::N,ilaç,medicament
534,Brücke::N,urë,pont
535,Brunnen::N,pus,pou
536,Weide::N,kullotë,pastura
537,Pfad::N,ravë,senda
538,Pfad::N,ravë,sender
539,Pfad::N,shteg,senda
540,Pfad::N,shteg,sender
541,Weg::N,udhë,camí
542,Weg::N,shteg,camí
543,Straße::N,rrugë,carretera
544,Dorf::N,fshat,poble
545,Dorf::N,katund,poble
546,Stadt::N,qytet,ciutāt
547,Brief::N,letër,carta
548,Buch::N,libër,llibre
549,Buchstabe::N,shkronjë,lletra
550,Zeitung::N,gazetë,diāri
551,Leben::N,jetë,vida
552,Tod::N,mortje,mort
553,Grab::N,varr,tomba
554,Kirche::N,kishë,església
555,Sünde::N,mëkat,pecat
556,Sünde::N,gjynah,pecat
557,Gott::N,hy,déu
558,Gott::N,zot,déu
559,Arbeiter::N,punëtor,obrer
560,Chef::N,shef,cap
561,Chef::N,drejtues,cap
562,Meister::N,mjeshtër,mestre
563,Arzt::N,mjek,metge
564,Arzt::N,doktor,metge
565,Lehrer::N,mësues,mestre
566,Lehrer::N,arsimtar,mestre
567,Geld::N,para,dinērs
568,Geld::N,holla,dinērs
569,Geschäft::N,ujdi,negoci
570,Geschäft::N,biznes,negoci
571,Laden::N,dyqan,tenda
572,Laden::N,dyqan,botiga
573,Preis::N,çmim,preu
574,Ware::N,mall,mercaderia
575,Nutzen::N,dobi,profit
576,Nutzen::N,leverdi,profit
577,Reichtum::N,kamje,riquesa
578,Reichtum::N,pasuri,riquesa
579,Welt::N,botë,món
580,Land::N,vend,país
581,Staat::N,shtet,estat
582,König::N,mbret,rei
583,Macht::N,fuqi,poder
584,Macht::N,fuqi,potència
585,Macht::N,pushtet,poder
586,Macht::N,pushtet,potència
587,Grenze::N,kufi,frontera
588,Krieg::N,luftë,guerra
589,Feind::N,armik,enemic
590,Gewalt::N,dhunë,violència
591,Kampf::N,luftim,lluita
592,Bogen[Waffe]::N,hark,arc
593,Pfeil::N,shigjetë,fletxa
594,Gewehr::N,pushkë,fusell
595,Gewehr::N,pushkë,escopeta
596,Fehler::N,gafë,falta
597,Fehler::N,gabim,falta
598,Lüge::N,gënjeshtër,mentida
599,Schaden::N,dëm,dany
600,Schaden::N,zarar,dany
601,Unglück::N,fatkeqësi,desgràcia
602,Schuld::N,faj,culpa
603,Alter::N,moshë,edat
604,Schluss::N,fund,fi
605,Schluss::N,fund,final
606,Zeit::N,kohë,temps
607,Tag::N,ditë,dia
608,Morgen::N,mëngjes,matí
609,Mittag::N,mesditë,migdia
610,Abend::N,mbrëmje,vespre
611,Nacht::N,natë,nit
612,Woche::N,javë,setmana
613,Monat::N,muaj,mes
614,Jahr::N,vit,any
615,Frühling::N,pranverë,primavera
616,Sommer::N,verë,estīu
617,Herbst::N,vjeshtë,tardor
618,Winter::N,dimër,hivērn
619,Januar::N,janar,gener
620,Februar::N,shkurt,febrer
621,März::N,mars,març
622,April::N,prill,abril
623,Mai::N,maj,maig
624,Juni::N,qershor,juny
625,Juli::N,korrik,juliol
626,August::N,gusht,agost
627,September::N,shtator,setembre
628,Oktober::N,tetor,octubre
629,November::N,nëntor,novembre
630,Dezember::N,dhjetor,desembre
631,Montag::N,hënë,dilluns
632,Dienstag::N,martë,dimarts
633,Mittwoch::N,mërkurë,dimecres
634,Donnerstag::N,enjte,dijous
635,Freitag::N,premte,divendres
636,Samstag::N,shtunë,dissabte
637,Sonntag::N,diel,diumenge
638,groß::A,madh,gros
639,klein::A,vogël,petīt
640,lang::A,gjatë,llarg
641,kurz::A,shkurtër,curt
642,breit::A,gjerë,ample
643,schmal::A,ngushtë,estret
644,dicht::A,dendur,dens
645,dick[Gegenstand]::A,trashë,gruixūt
646,dünn::A,hollë,prim
647,fein::A,imët,fi
648,fest::A,fortë,ferm
649,fest::A,fortë,sòlid
650,flach::A,sheshtë,pla
651,glatt::A,rrafshët,llis
652,hart::A,fortë,dur
653,weich::A,butë,tou
654,rund::A,rrumbullakët,rodó
655,spitz::A,majëmprehtë,punxegut
656,scharf::A,mprehtë,agut
657,stumpf::A,topitur,rom
658,stumpf::A,topitur,esmussat
659,schwer::A,rëndë,pesāt
660,schön::A,bukur,bonīc
661,heiß::A,nxehtë,calēnt
662,warm::A,ngrohtë,càlid
663,kalt::A,ftohtë,fred
664,kühl::A,freskët,fresc
665,frisch::A,pastër,fresc
666,feucht::A,lagësht,humit
667,nass::A,lagur,mullat
668,trocken::A,thatë,sec
669,voll::A,plotë,ple
670,leer::A,bosh,buit
671,leer::A,zbrazët,buit
672,offen::A,hapur,obert
673,geschlossen::A,mbyllur,tancat
674,sauber::A,dëlirë,net
675,schmutzig::A,ndyrë,brut
676,roh::A,gjallë,cru
677,reif::A,arrirë,madur
678,lecker::A,shijshëm,deliciós
679,süß::A,ëmbël,dolç
680,bitter::A,hidhur,amarg
681,sauer::A,thartë,agre
682,hell::A,me dritë,clar
683,dunkel::A,errët,fosc
684,schwarz::A,i zi,negre
685,weiß::A,bardhë,blanc
686,rot::A,kuq,vermēll
687,gelb::A,verdhë,groc
688,blau::A,blu,blau
689,blau::A,kaltër,blau
690,grün::A,blertë,verd
691,grün::A,gjelbër,verd
692,grau::A,hirtë,gris
693,grau::A,bojë hiri,gris
694,bunt::A,shumëngjyrëshëm,multicolor
695,billig::A,lirë,barat
696,teuer::A,shtrenjtë,car
697,wertvoll::A,çmuar,preciós
698,wertvoll::A,vlershëm,preciós
699,blind::A,qorr,cec
700,blind::A,verbër,cec
701,taub::A,shurdhër,sord
702,kräftig::A,fuqishëm,fort
703,kräftig::A,fuqishëm,vigorós
704,stark::A,fortë,fort
705,schwach::A,dobët,feble
706,fett::A,dhjamur,gras
707,schlank::A,hollë,esvelt
708,hübsch::A,bukur,maco
709,hübsch::A,hijshëm,maco
710,böse::A,keq,dolent
711,dumm::A,teveqel,ximple
712,dumm::A,teveqel,estúpid
713,faul::A,dembel,gandūl
714,faul::A,dembel,mandrós
715,fleißig::A,zellshëm,diligēnt
716,geizig::A,kurnac,avar
717,geizig::A,dorështrënguar,avar
718,klug::A,mençur,intel·ligent
719,geschickt::A,aftë,hàbil
720,lieb::A,dashur,amat
721,lieb::A,dashur,estimat
722,lustig::A,gëzuar,alegre
723,sanft::A,butë,suau
724,hungrig::A,uritur,afamat
725,krank::A,sëmurë,malālt
726,nackt::A,lakuriq,nu
727,nackt::A,zhveshur,nu
728,traurig::A,trishtuar,trist
729,lebendig::A,gjallë,viu
730,gut::A,mirë,bo
731,schlecht::A,keq,dolēnt
732,richtig::A,drejtë,just
733,richtig::A,drejtë,correcte
734,schlimm::A,keq,greu
735,wahr::A,vërtetë,vertader
736,wahr::A,vërtetë,veritable
737,alt::A,vjetër,vell
738,neu::A,i ri,nou
739,ehemalig::A,dikurshëm,antic
740,alt[Lebewesen]::A,plak,vell
741,jung::A,i ri,jove
742,arm::A,varfër,pobre
743,arm::A,vobektë,pobre
744,reich::A,pasur,ric
745,bekannt::A,njohur,conegut
746,berühmt::A,famshëm,famós
747,fremd::A,huaj,estrany
748,verschieden::A,ndryshëm,diferent
749,nah::A,afërt,pròxim
750,fern::A,largët,llunyà
751,fern::A,largët,distant
752,linker::A,majtë,esquerre
753,rechter::A,djathtë,dret
754,anderer::A,tjetër,altre
755,erster::A,parë,primer
756,zweiter::A,dytë,segon
757,dritter::A,i tretë,tercer
758,letzter::A,fundit,últim
759,allein::ADV,vetëm,sol
760,auf einmal::ADV,njëkohësisht,d'una vegada
761,zusammen::ADV,bashkë,junt
762,zusammen::ADV,së bashku,junt
763,lange::ADV,për një kohë të gjatë,molt de temps
764,plötzlich::ADV,befas,de cop
765,plötzlich::ADV,befas,de sobte
766,sofort::ADV,menjëherë,de seguida
767,sofort::ADV,aty për aty,de seguida
768,später::ADV,më vonë,més tard
769,jetzt::ADV,tash,ara
770,heute::ADV,sot,avūi
771,morgen::ADV,nesër,demà
772,bald::ADV,shpejt,aviāt
773,bald::ADV,së shpejti,aviāt
774,dann::ADV,pastaj,després
775,gestern::ADV,dje,ahir
776,einst::ADV,dikur,anteriorment
777,damals::ADV,atëherë,llavōrs
778,damals::ADV,atëherë,aleshores
779,danach::ADV,mandej,després
780,vorher::ADV,më parë,abāns
781,zuerst::ADV,së pari,primer
782,einmal::ADV,njëherë,una vegada
783,manchmal::ADV,nganjëherë,de vegades
784,oft::ADV,shpesh,sovint
785,immer::ADV,përherë,sempre
786,immer::ADV,gjithnjë,sempre
787,niemals::ADV,kurrë,no ... mai
788,niemals::ADV,asnjëherë,no ... mai
789,hier::ADV,këtu,aquí
790,hierhin::ADV,knej,per aquí
791,von hier::ADV,që këtej,des d'aquí
792,von hier::ADV,prej këtej,des d'aquí
793,dort::ADV,aty,allí
794,dort::ADV,atje,allí
795,dorthin::ADV,anej,hi
796,geradeaus::ADV,drejt,tot dret
797,vorwärts::ADV,mbroth,endavānt
798,vorwärts::ADV,përpara,endavānt
799,rückwärts::ADV,mbrapsht,endarrera
800,zurück::ADV,prapa,darrere
801,zurück::ADV,mbrapsht,darrere
802,unten::ADV,poshtë,a baix
803,hinab::ADV,përposh,cap avall
804,oben::ADV,lart,dalt
805,oben::ADV,sipër,dalt
806,hinauf::ADV,lart,cap amunt
807,hinauf::ADV,përpjetë,cap amunt
808,überall::ADV,kudo,pertot
809,überall::ADV,kudo,per tot arreu
810,nicht::ADV,s',no
811,nicht::ADV,nuk,no
812,ein wenig::ADV,një tis,una mica
813,kaum::ADV,mezi,a penes
814,sehr::ADV,fort,molt
815,sehr::ADV,shumë,molt
816,so::ADV,ashtu,així
817,so::ADV,kështu,així
818,noch::ADV,ende,encara
819,noch::ADV,akoma,encara
820,nur::ADV,vetëm,només
821,schon::ADV,tashmë,ja
822,wieder::ADV,përsëri,de nou
823,vergebens::ADV,kot,en va
824,vor::PRP,para,davānt
825,vor::PRP,para,enfront de
826,hinter::PRP,prapa,darrera
827,hinter::PRP,mbrapa,darrera
828,unter::PRP,nën,sota
829,durch::PRP,nëpër,per
830,neben::PRP,pranë,al costāt de
831,neben::PRP,përbri,al costāt de
