,Concept_ID,ab,tt
1198,pflücken::V,аҿыршəара,өзү
1199,pflücken::V,аҿыхра,өзү
1200,jagen::V,ашəарыцара,аулау
1201,fischen::V,аҧсыӡ икуеит,балык тоту
1202,fassen::V,акра,тоту
1203,hüten::V,арҳəра,көтү
1204,hüten::V,ахьчара,көтү
1205,treiben::V,акацара,куалау
1206,anbinden::V,адҳəалара,бәйләү
1207,füttern::V,акырҿаҵара,туйдыру
1208,melken::V,ахьара,саву
1209,hacken::V,аҟəаҟəара,чабу
1210,gießen::V,аҵаҭəара,сугару
1211,reifen::V,ашəра,җитешү
1212,reifen::V,аҟалара,җитешү
1213,zubereiten::V,ацура,пешеренү
1214,kochen::V,ажəра,пешерү
1215,kochen::V,ажəра,кайнату
1216,backen::V,аӡра,пешерү
1217,braten::V,аӡра,куыру
1218,braten::V,аӡра,кыздыру
1219,umrühren::V,аилрыхра,бутау
1220,umrühren::V,аилрыхра,болгату
1221,stricken::V,аҧара,бәйләү
1222,nähen::V,аӡахра,тегү
1223,färben::V,ашəра,ману
1224,reinigen::V,арыцқьара,чистарту
1225,waschen::V,аӡәӡәара,юу
1226,abwischen::V,арбара,сөртү
1227,spülen::V,аҭыршара,чайкау
1228,fegen::V,аҧссара,себерү
1229,baden::V,аҽыкəабара,коену
1230,sich waschen::V,аҽыӡəӡəара,юыну
1231,ausziehen::V,ашəыхра,чишенү
1232,anziehen::V,ашəҵара,кию
1233,sich anziehen::V,аҽеилаҳəара,киенү
1234,kämmen::V,аҳəара,тарау
1235,schmücken::V,арҧшӡара,бизәү
1236,schmücken::V,арҧшӡара,бизәкләү
1237,sagen::V,аҳəара,дию
1238,sagen::V,аҳəара,әйтү
1239,sprechen::V,ацəажəара,сөйләү
1240,sprechen::V,ацəажəара,сөйләшү
1241,reden::V,ацəажəара,сөйләү
1242,reden::V,аицәажәара,сөйләү
1243,sich unterhalten::V,аицәажәара,сөйләшү
1244,fragen::V,азҵаара,сорау
1245,fragen::V,азҵаара,сорашу
1246,bitten::V,аҳəара,үтенү
1247,erzählen::V,аҳəара,сөйләү
1248,mitteilen::V,азыцҳара,белдерү
1249,nennen::V,ахьӡҵара,дию
1250,rufen::V,азҿыҭра,дәшү
1251,prahlen::V,аҽхəара,мактану
1252,prahlen::V,аҽхəара,шапырыну
1253,übersetzen::V,аиҭагара,күчерү
1254,denken::V,азхəыцра,уйлау
1255,glauben::V,ахаҵара,инану
1256,bemerken::V,агəаҭара,искәрү
1257,erkennen::V,адырра,тану
1258,begreifen::V,аилкаара,аңлау
1259,begreifen::V,аилкаара,төшенү
1260,verstehen::V,аҳара,аңлау
1261,verstehen::V,аҳара,төшенү
1262,lernen::V,аҵара,уку
1263,lernen::V,аҵара,өйрәнү
1264,wissen::V,адырра,белү
1265,sich erinnern an::V,агəаларшəара,хәтерләү
1266,vergessen::V,ахашҭра,оныту
1267,messen::V,ашəара,үлчәү
1268,zählen::V,аҧхьаӡара,санау
1269,rechnen::V,аҳасабра,исәпләү
1270,lesen::V,аҧхьара,уку
1271,besitzen::V,амазаара,биләү
1272,kaufen::V,Аахəара,алу
1273,verkaufen::V,аҭира,сату
1274,bezahlen::V,ахҭынҵара,түләү
1275,bezahlen::V,ашəара,түләү
1276,zahlen::V,ашəара,түләү
1277,ertragen::V,ачҳара,чыдау
1278,Moor::N,,торфлык
1279,Kralle::N,,тырнак
1280,Schwarm::N,,көтү
1281,Sache::N,,нәрсә
1282,Menge::N,,микъдар
1283,Essen::N,,ашау
1284,Geschäft::N,,эш
1285,Monat::N,,ай
1286,Jahr::N,,ел
1287,dünn::A,,нечкә
1288,roh::A,,чи
1289,durch::PRP,,аша
1290,was::FPRN,,ни
1291,was::FPRN,,нәрсә
1292,rauschen::V,,кыштырдау
1293,zu sehen sein::V,,күренү
1294,wenden::V,,бору
1295,ergreifen::V,,эләктерү
1296,bewahren::V,,саклау
1297,wünschen::V,,котлау
1298,wiegen::V,,тирбәтү
1299,treten::V,,тибү
1300,kehren::V,,себерү
1301,malen::V,,рәсем ясау
1302,malen::V,,сурәт ясау
1303,malen::V,,сурәтләү
1304,zeichnen::V,,язу-сызу
1305,zeichnen::V,,сурәт ясау
1306,schreiben::V,,язу
1307,beherrschen::V,,ия булу
