,Concept_ID,uk,be
139,Schwanz::N,хвіст,хвост
140,Ei::N,яйце,яйка
141,Nest::N,гніздо,гняздо
142,Bau::N,лігво,нара
143,Tier::N,тварина,жывёла
144,Herde::N,стадо,статак
145,Kuh::N,корова,карова
146,Bulle::N,бик,бык
147,Bulle::N,бугай,бык
148,Pferd::N,кінь,конь
149,Schaf::N,вівця,авечка
150,Schwein::N,свиня,свіння
151,Hund::N,собака,сабака
152,Katze::N,кішка,кошка
153,Bär::N,ведмідь,мядзведзь
154,Eichhörnchen::N,білка,вавёрка
155,Elch::N,лось,лось
156,Fuchs::N,лисиця,ліса
157,Hase::N,заєць,заяц
158,Maus::N,миша,мыш
159,Wolf::N,вовк,воўк
160,Vogel::N,птах,птах
161,Vogel::N,птах,птушка
162,Schwarm::N,зграя,чарада
163,Huhn::N,курка,курыца
164,Hahn::N,півень,певень
165,Gans::N,гуска,гусь
166,Adler::N,орел,арол
167,Ente::N,качка,качка
168,Eule::N,сова,сава
169,Kranich::N,журавель,жораў
170,Kranich::N,журавель,журавель
171,Krähe::N,ворона,варона
172,Kuckuck::N,зозуля,зязюля
173,Schwan::N,лебідь,лебедзь
174,Fisch::N,риба,рыба
175,Barsch::N,окунь,акунь
176,Hecht::N,щука,шчупак
177,Schlange[Tier]::N,змія,змяя
178,Wurm::N,черв’як,чарвяк
179,Spinne::N,павук,павук
180,Ameise::N,мурашка,мурашка
181,Laus::N,воша,вош
182,Mücke::N,комар,камар
183,Fliege::N,муха,муха
184,Schmetterling::N,метелик,матыль
185,Beere::N,ягода,ягада
186,Apfel::N,яблуко,яблык
187,Pilz::N,гриб,грыб
188,Zwiebel::N,цибуля,цыбуля
189,Saat::N,сім’я,семя
190,Korn::N,зерно,зерне
191,Heu::N,сіно,сена
192,Schale::N,шкірка,шалупінне
193,Grube::N,яма,яма
194,Falle::N,пастка,пастка
195,Schlinge::N,петля,сіло
196,Spur::N,слід,след
197,Asche::N,зола,попел
198,Asche::N,попіл,попел
199,Dreck::N,бруд,бруд
200,Eisen::N,залізо,жалеза
201,Gold::N,золото,золата
202,Silber::N,срібло,сребра
203,Kohle::N,вугілля,вугаль
204,Glas::N,скло,шкло
205,Lehm::N,глина,гліна
206,Sand::N,пісок,пясок
207,Mensch::N,людина,чалавек
208,Mann::N,чоловік,мужчына
209,Frau::N,жінка,жанчына
210,Kind::N,дитина,дзіця
211,Junge::N,хлопець,хлопчык
212,Mädchen::N,дівчина,дзяўчынка
213,Familie::N,сім’я,сямʼя
214,Familie::N,родина,сямʼя
215,Großvater::N,дідусь,дзядуля
216,Großmutter::N,бабуся,бабуля
217,Eltern::N,батьки,бацькі
218,Vater::N,батько,бацька
219,Mutter::N,мати,маці
220,Sohn::N,син,сын
221,Tochter::N,дочка,дачка
222,Bruder::N,брат,брат
223,Schwester::N,сестра,сястра
224,Onkel::N,дядько,дзядзька
225,Tante::N,тітка,цётка
226,Ehemann::N,чоловік,муж
227,Ehefrau::N,жінка,жонка
228,Ehefrau::N,дружина,жонка
229,Freude::N,радощі,радасць
230,Gelächter::N,сміх,смех
231,Glück::N,щастя,шчасце
232,Kummer::N,горе,гора
233,Wunsch::N,бажання,жаданне
234,Lust::N,бажання,цяга
235,Geist::N,дух,дух
236,Gedanke::N,думка,думка
237,Gedächtnis::N,пам’ять,памяць
238,Verstand::N,розум,розум
239,Sinn::N,зміст,сэнс
240,Sinn::N,значення,сэнс
241,Grund::N,причина,зачэпка
242,Wahrheit::N,правда,праўда
243,Gespräch::N,розмова,размова
244,Märchen::N,байка,казка
245,Erzählung::N,повість,расказ
246,Erzählung::N,повість,апавяданне
247,Erzählung::N,оповідання,расказ
248,Erzählung::N,оповідання,апавяданне
249,Nachricht::N,повідомлення,вестка
250,Nachricht::N,повідомлення,паведамленне
251,Neuigkeit::N,новина,навіна
252,Name::N,ім’я,імя
253,Rätsel::N,загадка,загадка
254,Rede::N,промова,прамова
255,Sprache::N,мова,мова
256,Stimme::N,голос,голас
257,Wort::N,слово,слова
258,Zeichen::N,знак,знак
259,Ruf::N,оклик,кліч
260,Lärm::N,шум,шум
261,Laut::N,звук,гук
262,Ton::N,тон,гучанне
263,Lied::N,пісня,песня
264,Ruhe::N,спокій,спакой
265,Leute::N,люди,людзі
266,Volk::N,народ,народ
267,Arbeit::N,робота,праца
268,Arbeit::N,робота,работа
269,Gast::N,гість,госць
270,Geschenk::N,подарунок,падарунак
271,Spiel::N,гра,гульня
272,Gesellschaft::N,товариство,таварыства
273,Hilfe::N,допомога,дапамога
274,Freund::N,друг,друг
275,Freund::N,друг,сябар
276,Freund::N,приятель,друг
277,Freund::N,приятель,сябар
278,Kamerad::N,товариш,прыяцель
279,Angelegenheit::N,справа,справа
280,Anzahl::N,число,колькасць
281,Art::N,рід,від
282,Stück::N,кусок,кусок
283,Stück::N,кусок,кавалак
284,Teil::N,частина,частка
285,Hälfte::N,половина,палова
286,Hälfte::N,половина,палавіна
287,Kreis::N,круг,круг
288,Kreis::N,коло,круг
289,Kreuz::N,хрест,крыж
290,Linie::N,лінія,лінія
291,Strich::N,штрих,рыса
292,Abstand::N,проміжок,прамежак
293,Entfernung::N,відстань,адлегласць
294,Gegend::N,місцевість,мясцовасць
295,Platz::N,площа,месца
296,Ort::N,місце,месца
297,Seite::N,сторона,бок
298,Mitte::N,середина,сярэдзіна
299,Gegenstand::N,предмет,прадмет
300,Sache::N,річ,рэч
301,Rand::N,край,край
302,Kante::N,ребро,руб
303,Kante::N,ребро,кант
304,Ecke::N,ріг,вугал
305,Spitze::N,кінчик,кончык
306,Ende::N,кінець,канец
307,Loch::N,діра,дзірка
308,Winkel::N,куток,вугал
309,Muster::N,узор,узор
310,Größe::N,розмір,памер
311,Länge::N,довжина,даўжыня
312,Höhe::N,висота,вышыня
313,Gewicht::N,вага,вага
314,Menge::N,кількість,колькасць
315,Haufen::N,купа,куча
316,Reihe::N,ряд,рад
317,Boot::N,човен,лодка
318,Ruder::N,весло,вясло
319,Schlitten::N,сани,сані
320,Ski::N,лижа,лыжа
321,Lagerfeuer::N,вогнище,вогнішча
322,Last::N,тягар,цяжар
323,Last::N,вантаж,цяжар
324,Gang::N,хід,ход
325,Schritt::N,крок,шаг
326,Schritt::N,крок,крок
327,Norden::N,північ,поўнач
328,Süden::N,південь,поўдзень
329,Westen::N,захід,захад
330,Osten::N,схід,усход
331,Holz::N,дрова,дрэва
332,Holz::N,дрова,драўніна
333,Brett::N,дошка,дошка
334,Platte::N,плита,пліта
335,Stütze::N,підпірка,падпорка
336,Stange::N,жердина,жэрдка
337,Stock::N,палиця,палка
338,Stab::N,палиця,шост
339,Rohr::N,труба,труба
340,Haus::N,дім,дом
341,Haus::N,хата,дом
342,Heim::N,житло,дом
343,Heim::N,житло,хата
344,Ofen::N,піч,печ
345,Fußboden::N,підлога,падлога
346,Tisch::N,стіл,стол
347,Stuhl::N,стілець,стул
348,Stuhl::N,стілець,крэсла
349,Wiege::N,колиска,калыска
350,Bett::N,ліжко,ложак
351,Bett::N,ліжко,пасцель
352,Bett::N,постіль,ложак
353,Bett::N,постіль,пасцель
354,Regal::N,полиця,паліца
355,Kiste::N,ящик,скрынка
356,Fenster::N,вікно,акно
357,Tür::N,двері,дзверы
358,Tor::N,ворота,вароты
359,Zaun::N,паркан,агароджа
360,Zaun::N,огорожа,агароджа
361,Dach::N,дах,дах
362,Leiter::N,драбина,лесвіца
363,Besen::N,мітла,мятла
364,Spaten::N,заступ,лапата
365,Spaten::N,заступ,жалязняк
366,Schaufel::N,совок,шуфлік
367,Schaufel::N,совок,лапатка
368,Schaufel::N,лопата,шуфлік
369,Schaufel::N,лопата,лапатка
370,Gabel::N,виделка,відэлец
371,Löffel::N,ложка,лыжка
372,Messer::N,ніж,нож
373,Nagel::N,цвях,цвік
374,Netz::N,сіть,сетка
375,Haken::N,крюк,крук
376,Griff::N,ручка,ручка
377,Griff::N,держак,ручка
378,Schloss::N,замок,замок
379,Bild::N,картина,карціна
380,Figur::N,фігура,фігура
381,Puppe::N,лялька,лялька
382,Beutel::N,мішечок,мяшок
383,Beutel::N,торбинка,мяшок
384,Bündel::N,в’язка,вязка
385,Tasche::N,сумка,торба
386,Eimer::N,відро,вядро
387,Deckel::N,кришка,накрыўка
388,Geschirr::N,посуд,пасуда
389,Sack::N,мішок,мех
390,Tasse::N,чашка,кубак
391,Topf::N,горщик,каструля
392,Kessel::N,котел,кацёл
393,Essen::N,їжа,ежа
394,Nahrung::N,харч,харч
395,Speise::N,страва,страва
396,Fleisch::N,м’ясо,мяса
397,Getreide::N,хліб,збожжа
398,Getreide::N,збіжжя,збожжа
399,Brei::N,каша,каша
400,Brot::N,хліб,хлеб
401,Scheibe::N,скибочка,луста
402,Scheibe::N,скибочка,скібка
403,Fett::N,жир,тлушч
404,Butter::N,масло,масла
405,Öl::N,олія,алей
406,Salz::N,сіль,соль
407,Suppe::N,суп,суп
408,Honig::N,мед,мёд
409,Milch::N,молоко,малако
410,Tee::N,чай,чай
411,Tee::N,чай,гарбата
412,Leder::N,шкіра,скура
413,Wolle::N,шерсть,воўна
414,Stoff::N,тканина,тканіна
415,Nadel::N,голка,іголка
416,Faden::N,нитка,нітка
417,Knopf::N,ґудзик,гузік
418,Knoten::N,вузол,вузел
419,Farbe::N,фарба,фарба
420,Kleidung::N,одяг,адзенне
421,Kleidung::N,убрання,адзенне
422,Hemd::N,сорочка,кашуля
423,Kragen::N,комір,каўнер
424,Ärmel::N,рукав,рукаў
425,Hose::N,брюки,штаны
426,Gürtel::N,пояс,пояс
427,Mütze::N,шапка,шапка
428,Schuh::N,ботинок,чаравік
429,Stiefel::N,чобіт,бот
430,Ring::N,кільце,кольца
431,Band::N,стрічка,стужка
432,Kamm::N,гребінець,расчоска
433,Spiegel::N,дзеркало,люстра
434,Riemen::N,ремінь,рэмень
435,Schnur::N,вірьовка,вяроўка
436,Leine::N,шворка,павадок
437,Decke::N,ковдра,коўдра
438,Kissen::N,подушка,падушка
439,Tuch::N,хустка,хустка
440,Handtuch::N,рушник,ручнік
441,Kraft::N,сила,сіла
442,Stärke::N,сила,моц
443,Gesundheit::N,здоров’я,здароўе
444,Krankheit::N,хвороба,хвароба
445,Schmerz::N,біль,боль
446,Wunde::N,рана,рана
447,Fieber::N,гарячка,гарачка
448,Fieber::N,гарячка,ліхаманка
449,Arznei::N,ліки,лекі
450,Brücke::N,міст,мост
451,Brunnen::N,колодязь,калодзеж
452,Weide::N,пасовище,паша
453,Pfad::N,стежка,сцежка
454,Weg::N,шлях,шлях
455,Weg::N,шлях,дарога
456,Weg::N,дорога,шлях
457,Weg::N,дорога,дарога
458,Straße::N,вулиця,вуліца
459,Dorf::N,село,вёска
460,Stadt::N,місто,горад
461,Brief::N,лист,ліст
462,Brief::N,лист,пісьмо
463,Buch::N,книга,кніга
464,Buch::N,книжка,кніга
465,Buchstabe::N,буква,літара
466,Buchstabe::N,літера,літара
467,Zeitung::N,газета,газета
468,Leben::N,життя,жыццё
469,Tod::N,смерть,смерць
470,Grab::N,могила,магіла
471,Kirche::N,церква,касцёл
472,Kirche::N,церква,царква
473,Sünde::N,гріх,грэх
474,Gott::N,бог,бог
475,Arbeiter::N,робітник,рабочы
476,Chef::N,хазяїн,начальнік
477,Meister::N,умілець,майстар
478,Arzt::N,лікар,урач
479,Lehrer::N,вчитель,настаўнік
480,Geld::N,гроші,грошы
481,Geschäft::N,заняття,заняцце
482,Laden::N,магазин,крама
483,Laden::N,магазин,магазін
484,Laden::N,крамниця,крама
485,Laden::N,крамниця,магазін
486,Preis::N,ціна,цана
487,Ware::N,товар,тавар
488,Nutzen::N,вигода,выгада
489,Nutzen::N,користь,выгада
490,Reichtum::N,багатство,багацце
491,Welt::N,світ,свет
492,Land::N,країна,краіна
493,Staat::N,держава,дзяржава
494,König::N,король,кароль
495,Macht::N,влада,улада
496,Grenze::N,кордон,граніца
497,Krieg::N,війна,вайна
498,Feind::N,ворог,вораг
499,Gewalt::N,насильство,насілле
500,Kampf::N,бій,барацьба
501,Kampf::N,боротьба,барацьба
502,Bogen[Waffe]::N,лук,лук
503,Pfeil::N,стріла,страла
504,Gewehr::N,рушниця,ружжо
505,Gewehr::N,гвинтівка,ружжо
506,Fehler::N,помилка,памылка
507,Lüge::N,брехня,хлусня
508,Schaden::N,шкода,шкода
509,Schaden::N,збиток,шкода
510,Unglück::N,нещастя,ліха
511,Unglück::N,нещастя,бядота
512,Schuld::N,провина,віна
513,Alter::N,вік,узрост
514,Alter::N,літа,узрост
515,Schluss::N,кінець,канец
516,Zeit::N,час,час
517,Tag::N,день,дзень
518,Morgen::N,ранок,ранак
519,Morgen::N,ранок,раніца
520,Mittag::N,південь,паўдня
521,Mittag::N,південь,поўдзень
522,Abend::N,вечір,вечар
523,Nacht::N,ніч,ноч
524,Woche::N,тиждень,тыдзень
525,Monat::N,місяць,месяц
526,Jahr::N,рік,год
527,Frühling::N,весна,вясна
528,Sommer::N,літо,лета
529,Herbst::N,осінь,восень
530,Winter::N,зима,зіма
531,Januar::N,січень,студзень
532,Februar::N,лютий,люты
533,März::N,березень,сакавік
534,April::N,квітень,красавік
535,Mai::N,травень,май
536,Mai::N,травень,травень
537,Juni::N,червень,чэрвень
538,Juli::N,липень,ліпень
539,August::N,серпень,жнівень
540,September::N,вересень,верасень
541,Oktober::N,жовтень,кастрычнік
542,November::N,листопад,лістапад
543,Dezember::N,грудень,снежань
544,Montag::N,понеділок,панядзелак
545,Dienstag::N,вівторок,аўторак
546,Mittwoch::N,середа,серада
547,Donnerstag::N,четвер,чацвер
548,Freitag::N,п’ятниця,пятніца
549,Samstag::N,субота,субота
550,Sonntag::N,неділя,нядзеля
551,groß::A,великий,вялікі
552,klein::A,малий,маленькі
553,klein::A,маленький,маленькі
554,lang::A,довгий,доўгі
555,kurz::A,короткий,кароткі
556,breit::A,широкий,шырокі
557,schmal::A,вузький,вузкі
558,dicht::A,густий,густы
559,dick[Gegenstand]::A,товстий,тоўсты
560,dünn::A,тонкий,тонкі
561,fein::A,дрібний,тонкі
562,fest::A,міцний,моцны
563,flach::A,плоский,плоскі
564,glatt::A,рівний,гладкі
565,glatt::A,гладенький,гладкі
566,hart::A,твердий,цвёрды
567,weich::A,м’який,мяккі
568,rund::A,круглий,круглы
569,spitz::A,гострокінцевий,спічасты
570,spitz::A,гострокінцевий,востраканцовы
571,scharf::A,гострий,востры
572,stumpf::A,тупий,тупы
573,schwer::A,важкий,цяжкі
574,schön::A,вродливий,прыгожы
575,heiß::A,жаркий,гарачы
576,heiß::A,гарячий,гарачы
577,warm::A,теплий,цёплы
578,kalt::A,холодний,холадны
579,kühl::A,прохолодний,халаднаваты
580,frisch::A,свіжий,свежы
581,feucht::A,вогкий,вільготны
582,nass::A,мокрий,мокры
583,trocken::A,сухий,сухі
584,voll::A,повний,поўны
585,leer::A,пустий,пусты
586,offen::A,відкритий,адкрыты
587,offen::A,відкритий,адчынены
588,geschlossen::A,закритий,закрыты
589,geschlossen::A,закритий,зачынены
590,geschlossen::A,зачинений,закрыты
591,geschlossen::A,зачинений,зачынены
592,sauber::A,чистий,чысты
593,sauber::A,охайний,чысты
594,schmutzig::A,брудний,брудны
595,roh::A,сирий,сыры
596,reif::A,зрілий,спелы
597,lecker::A,смачний,смачны
598,süß::A,солодкий,салодкі
599,bitter::A,гіркий,горкі
600,sauer::A,кислий,кіслы
601,hell::A,світлий,светлы
602,dunkel::A,темний,цёмны
603,schwarz::A,чорний,чорны
604,weiß::A,сивий,белы
605,rot::A,червоний,чырвоны
606,gelb::A,жовтий,жоўты
607,blau::A,синій,сіні
608,grün::A,зелений,зялёны
609,grau::A,сірий,шэры
610,bunt::A,барвистий,пяресты
611,billig::A,дешевий,танны
612,teuer::A,дорогий,дарагі
613,wertvoll::A,цінний,цэнны
614,wertvoll::A,цінний,каштоўны
615,blind::A,сліпий,сляпы
616,taub::A,глухий,глухі
617,kräftig::A,могутній,магутны
618,stark::A,сильний,сільны
619,schwach::A,слабкий,слабы
620,fett::A,жирний,тлусты
621,fett::A,товстий,тлусты
622,schlank::A,тонкий,стройны
623,schlank::A,стрункий,стройны
624,hübsch::A,чарівний,чароўны
625,böse::A,злий,злы
626,böse::A,лихий,злы
627,dumm::A,дурний,дурны
628,faul::A,ледачий,лянівы
629,fleißig::A,старанний,руплівы
630,geizig::A,скупий,прагны
631,klug::A,мудрий,разумны
632,klug::A,розумний,разумны
633,geschickt::A,умілий,умелы
634,lieb::A,милий,мілы
635,lustig::A,веселий,вясёлы
636,sanft::A,лагідний,ласкавы
637,hungrig::A,голодний,галодны
638,krank::A,слабий,хворы
639,nackt::A,голий,голы
640,traurig::A,сумний,сумны
641,lebendig::A,живий,жывы
642,gut::A,добрий,добры
643,schlecht::A,поганий,кепскі
644,schlecht::A,кепський,кепскі
645,richtig::A,правильний,правільны
646,schlimm::A,бридкий,агідны
647,wahr::A,справжній,сапраўдны
648,alt::A,старий,стары
649,neu::A,новий,новы
650,ehemalig::A,колишній,былы
651,alt[Lebewesen]::A,старий,стары
652,jung::A,молодий,малады
653,arm::A,бідний,бедны
654,reich::A,багатий,багаты
655,bekannt::A,знайомий,знаёмы
656,berühmt::A,славетний,славуты
657,fremd::A,чужий,чужы
658,verschieden::A,різний,розны
659,nah::A,близький,блізкі
660,fern::A,далекий,далёкі
661,linker::A,лівий,левы
662,rechter::A,правий,правы
663,anderer::A,інакший,іншы
664,anderer::A,інакший,другі
665,erster::A,перший,першы
666,zweiter::A,другий,другі
667,dritter::A,третій,трэці
668,letzter::A,останній,апошні
669,allein::ADV,сам,сам
670,allein::ADV,сам,адзін
671,allein::ADV,один,сам
672,allein::ADV,один,адзін
673,auf einmal::ADV,відразу,адразу
674,zusammen::ADV,разом,разам
675,zusammen::ADV,спільно,разам
676,lange::ADV,довго,доўга
677,plötzlich::ADV,раптом,раптам
678,sofort::ADV,зараз,зараз
679,später::ADV,пізніше,пазней
680,jetzt::ADV,тепер,цяпер
681,heute::ADV,сьогодні,сёння
682,morgen::ADV,завтра,заўтра
683,bald::ADV,незабаром,хутка
684,bald::ADV,незабаром,неўзабаве
685,dann::ADV,потім,потым
686,gestern::ADV,вчора,учора
687,einst::ADV,колись,аднойчы
688,damals::ADV,тоді,тады
689,danach::ADV,згодом,затым
690,vorher::ADV,раніше,раней
691,zuerst::ADV,спершу,спярша
692,zuerst::ADV,спершу,спачатку
693,zuerst::ADV,спочатку,спярша
694,zuerst::ADV,спочатку,спачатку
695,einmal::ADV,один раз,адзін раз
696,manchmal::ADV,іноді,часам
697,manchmal::ADV,інколи,часам
698,oft::ADV,часто,часта
699,immer::ADV,завжди,заўсёды
700,niemals::ADV,ніколи,ніколі
701,hier::ADV,тут,тут
702,hierhin::ADV,сюди,сюды
703,von hier::ADV,звідси,адсюль
704,von hier::ADV,звідси,адгэтуль
705,dort::ADV,там,там
706,dorthin::ADV,туди,туды
707,geradeaus::ADV,прямо,прама
708,vorwärts::ADV,вперед,наперад
709,rückwärts::ADV,назад,назад
710,zurück::ADV,назад,назад
711,unten::ADV,внизу,унізе
712,hinab::ADV,вниз,уніз
713,oben::ADV,вгорі,угары
714,oben::ADV,вгорі,наверсе
715,hinauf::ADV,вгору,угару
716,überall::ADV,скрізь,усюды
717,nicht::ADV,не,не
718,ein wenig::ADV,трохи,трошкі
719,ein wenig::ADV,небагато,трошкі
720,kaum::ADV,ледве,ледзьве
721,sehr::ADV,дуже,вельмі
722,so::ADV,так,так
723,noch::ADV,ще,яшчэ
724,nur::ADV,лише,толькі
725,nur::ADV,тільки,толькі
726,schon::ADV,вже,ужо
727,wieder::ADV,знову,зноў
728,vergebens::ADV,дарма,дарма
729,vergebens::ADV,дарма,дарэмна
730,vor::PRP,перед,перад
731,hinter::PRP,ззаду,за
732,hinter::PRP,ззаду,ззаду
733,hinter::PRP,позаду,за
734,hinter::PRP,позаду,ззаду
735,unter::PRP,під,пад
736,durch::PRP,крізь,праз
737,neben::PRP,біля,каля
738,zwischen::PRP,між,між
739,zwischen::PRP,між,паміж
740,wegen::PRP,з-за,з-за
741,wegen::PRP,через,з-за
742,dies::PRN,це,гэта
743,das::PRN,то,тое
744,alles::PRN,все,усё
745,ich::PRN,я,я
746,du::PRN,ти,ты
747,er::PRN,він,ён
748,wir::PRN,ми,мы
749,ihr::PRN,ви,вы
750,sie::PRN,вони,яны
751,was::FPRN,що,што
752,wer::FPRN,хто,хто
753,wo::FADV,де,дзе
754,wohin::FADV,куди,куды
755,wie::FADV,як,як
756,warum::FADV,чому,чаму
757,wieviel::FNUM,скільки,колькі
758,eins::NUM,один,адзін
759,zwei::NUM,два,два
760,drei::NUM,три,тры
761,vier::NUM,чотири,чатыры
762,fünf::NUM,п’ять,пяць
763,sechs::NUM,шість,шесць
764,sieben::NUM,сім,сем
765,acht::NUM,вісім,восем
766,neun::NUM,дев’ять,дзевяць
767,zehn::NUM,десять,дзесяць
768,elf::NUM,одинадцять,адзінаццаць
769,zwölf::NUM,дванадцять,дванаццаць
770,zwanzig::NUM,двадцять,дваццаць
771,dreißig::NUM,тридцять,трыццаць
772,vierzig::NUM,сорок,сорак
773,fünfzig::NUM,п’ятдесят,пядзесят
774,sechzig::NUM,шістдесят,шесдзесят
775,siebzig::NUM,сімдесят,семдзесят
776,achtzig::NUM,вісімдесят,восемдзесят
777,neunzig::NUM,дев’яносто,дзевяноста
778,hundert::NUM,сто,сто
779,tausend::NUM,тисяча,тысяча
780,und::CNJ,і,і
781,und::CNJ,і,ды
782,oder::CNJ,або,або
783,stehen::V,стояти,стаяць
784,sitzen::V,сидіти,сядзець
785,liegen::V,лежати,ляжаць
786,hängen::V,висіти,вісець
787,werden::V,стати,стаць
788,werden::V,стати,зрабіцца
789,werden::V,робитися,стаць
790,werden::V,робитися,зрабіцца
791,passieren::V,трапитися,трапіцца
792,beginnen::V,початися,пачацца
793,enden::V,кінчитися,кончыцца
794,wechseln::V,мінятися,мяняцца
795,aufgehen[Sonne]::V,зійти,узысці
796,untergehen[Sonne]::V,зайти,зайсці
797,scheinen[Sonne]::V,світити,свяціць
798,donnern::V,гриміти,грымець
799,wehen::V,віяти,дзьмуць
800,strömen::V,литися,ліцца
801,fließen::V,текти,цячы
802,sich drehen::V,обертатися,круціцца
803,sich drehen::V,обертатися,варочацца
804,schwanken::V,коливатися,хістацца
805,schwingen::V,хитатися,гайдацца
806,schwingen::V,хитатися,калыхацца
807,schwingen::V,гойдатися,гайдацца
808,schwingen::V,гойдатися,калыхацца
809,fallen::V,падати,падаць
810,brennen::V,горіти,гарэць
811,rauchen::V,диміти,дымець
812,regnen::V,дощити,дажджыць
813,gefrieren::V,змерзнути,замерзнуць
814,tauen::V,танути,раставаць
815,schmelzen::V,плавитися,плавіцца
816,trocknen::V,сохнути,сохнуць
817,sieden::V,кипіти,кіпець
818,faulen::V,гнити,гнісці
819,verfaulen::V,згнити,згнісці
820,reißen::V,рватися,ірвацца
821,versinken::V,тонути,тануць
822,vergehen::V,проходити,праходзіць
823,erscheinen::V,з’явитися,зʼявіцца
824,verschwinden::V,щезнути,знікнуць
825,verschwinden::V,зникнути,знікнуць
