,Concept_ID,vep,os
598,Nacht::N,ö,ӕхсӕв
599,Woche::N,nedal',къуыри
600,Monat::N,ku,мӕй
601,Jahr::N,voz',аз
602,Jahr::N,voz',афӕдз
603,Frühling::N,keväz',уалдзæг
604,Sommer::N,keza,сӕрд
605,Herbst::N,sügüz',фæззæг
606,Winter::N,tal'v,зымӕг
607,Januar::N,viluku,январь
608,Februar::N,uhoku,февраль
609,März::N,keväz'ku,мартъи
610,April::N,sulaku,апрель
611,Mai::N,semendku,май
612,Juni::N,kezaku,июнь
613,Juli::N,heinku,июль
614,August::N,eloku,август
615,September::N,sügüz'ku,сентябрь
616,Oktober::N,reduku,октябрь
617,November::N,kül'mku,ноябрь
618,Dezember::N,tal'vku,декабрь
619,Montag::N,ezmärg,къуырисæр
620,Dienstag::N,tožnarg,дыццæг
621,Mittwoch::N,koumanz'päiv,æртыццæг
622,Donnerstag::N,nellänz'päiv,цыппæрæм
623,Freitag::N,pätnič,майрæмбон
624,Freitag::N,videnz'päiv,майрæмбон
625,Samstag::N,sobat,сабат
626,Sonntag::N,pühäpäiv,хуыцаубон
627,groß::A,sur',дынджыр
628,groß::A,järed,дынджыр
629,klein::A,pen',гыццыл
630,klein::A,pičuine,гыццыл
631,lang::A,pit'k,даргъ
632,kurz::A,lühüd,цыбыр
633,breit::A,leved,фӕтӕн
634,schmal::A,kaid,нарӕг
635,schmal::A,kaid,уынгӕг
636,dicht::A,tihed,бæзджын
637,dicht::A,tihed,тар
638,dick[Gegenstand]::A,paks,сӕвджын
639,dünn::A,hoik,тæнæг
640,fein::A,hen,лыстӕг
641,fest::A,luja,фидар
642,fest::A,luja,хъӕддых
643,fest::A,ninev,фидар
644,fest::A,ninev,хъӕддых
645,flach::A,lapak,тъӕпӕн
646,glatt::A,siled,лӕгъз
647,hart::A,kova,хъӕбӕр
648,weich::A,pehmed,фӕлмӕн
649,rund::A,kehker,тымбыл
650,spitz::A,nügu,цыргъбырынкъ
651,spitz::A,nügu,цыргъфындз
652,spitz::A,terav,цыргъбырынкъ
653,spitz::A,terav,цыргъфындз
654,scharf::A,terav,цыргъ
655,stumpf::A,tül'c,къуымых
656,schwer::A,jüged,уӕззау
657,schön::A,čoma,аив
658,schön::A,čoma,рӕсугъд
659,heiß::A,räk,тӕвд
660,warm::A,läm',хъарм
661,kalt::A,vilu,уазал
662,kühl::A,raibak,сатæг
663,kühl::A,raibak,уазалгомау
664,kühl::A,viluhk,сатæг
