,Concept_ID,ml,ml
169,Kuckuck::N,കുയിൽ,കുയിൽ
170,Schwan::N,അരയന്നം,അരയന്നം
171,Fisch::N,മത്സ്യം,മത്സ്യം
172,Barsch::N,ഒരിനം മത്സ്യം,ഒരിനം മത്സ്യം
173,Hecht::N,ഒരു മത്സ്യം,ഒരു മത്സ്യം
174,Schlange[Tier]::N,പാമ്പ്,പാമ്പ്
175,Wurm::N,വിര,വിര
176,Spinne::N,ചിലന്തി,ചിലന്തി
177,Ameise::N,ഉറുമ്പ്,ഉറുമ്പ്
178,Laus::N,പേന്,പേന്
179,Mücke::N,മശകം,മശകം
180,Fliege::N,ഈച്ച,ഈച്ച
181,Schmetterling::N,ചിത്രശലഭം,ചിത്രശലഭം
182,Beere::N,ബെറി,ബെറി
183,Apfel::N,ആപ്പിൾ,ആപ്പിൾ
184,Pilz::N,കൂൺ,കൂൺ
185,Zwiebel::N,സവാള,സവാള
186,Saat::N,വിത്ത്,വിത്ത്
187,Korn::N,ധാന്യം,ധാന്യം
188,Heu::N,വയ്ക്കോൽ,വയ്ക്കോൽ
189,Schale::N,തൊലി,തൊലി
190,Grube::N,കുഴി,കുഴി
191,Falle::N,കെണി,കെണി
192,Schlinge::N,കുടുക്ക്,കുടുക്ക്
193,Spur::N,ചുവട്,ചുവട്
194,Asche::N,ചാരം,ചാരം
195,Dreck::N,അഴുക്ക്,അഴുക്ക്
196,Eisen::N,ഇരുമ്പ്,ഇരുമ്പ്
197,Gold::N,സ്വർണ്ണം,സ്വർണ്ണം
198,Silber::N,വെള്ളി,വെള്ളി
199,Kohle::N,കൽക്കരി,കൽക്കരി
200,Glas::N,ഗ്ലാസ്,ഗ്ലാസ്
201,Lehm::N,കളിമണ്ണ്,കളിമണ്ണ്
202,Sand::N,മണൽ,മണൽ
203,Mensch::N,മനുഷ്യർ,മനുഷ്യർ
204,Mann::N,പുരുഷൻ,പുരുഷൻ
205,Frau::N,സ്ത്രീ,സ്ത്രീ
206,Kind::N,കുഞ്ഞ്,കുഞ്ഞ്
207,Junge::N,ആൺകുട്ടി,ആൺകുട്ടി
208,Mädchen::N,പെൺകുട്ടി,പെൺകുട്ടി
209,Familie::N,കുടുംബം,കുടുംബം
210,Großvater::N,അപ്പൂപ്പൻ,അപ്പൂപ്പൻ
211,Großmutter::N,അമ്മുമ്മ,അമ്മുമ്മ
212,Eltern::N,മാതാപിതാക്കള്,മാതാപിതാക്കള്
213,Vater::N,അച്ഛൻ,അച്ഛൻ
214,Mutter::N,അമ്മ,അമ്മ
215,Sohn::N,മകൻ,മകൻ
216,Tochter::N,മകൾ,മകൾ
217,Bruder::N,ചേട്ടൻ,ചേട്ടൻ
218,Bruder::N,ചേട്ടൻ,അനിയൻ
219,Bruder::N,അനിയൻ,ചേട്ടൻ
220,Bruder::N,അനിയൻ,അനിയൻ
221,Schwester::N,ചേച്ചി,ചേച്ചി
222,Schwester::N,ചേച്ചി,അനിയത്തി
223,Schwester::N,അനിയത്തി,ചേച്ചി
224,Schwester::N,അനിയത്തി,അനിയത്തി
225,Onkel::N,അമ്മാവൻ,അമ്മാവൻ
226,Tante::N,മാമി,മാമി
227,Ehemann::N,ഭർത്താവ്,ഭർത്താവ്
228,Ehefrau::N,ഭാര്യ,ഭാര്യ
229,Freude::N,ആഹ്ലാദം,ആഹ്ലാദം
230,Gelächter::N,ചിരിയുടെ ശബ്ദം,ചിരിയുടെ ശബ്ദം
231,Glück::N,സന്തോഷം,സന്തോഷം
232,Glück::N,സന്തോഷം,സന്തുഷ്ടി
233,Glück::N,സന്തുഷ്ടി,സന്തോഷം
234,Glück::N,സന്തുഷ്ടി,സന്തുഷ്ടി
235,Kummer::N,ശോകം,ശോകം
236,Wunsch::N,ആഗ്രഹം,ആഗ്രഹം
237,Lust::N,ആഗ്രഹം,ആഗ്രഹം
238,Geist::N,ചുറുചുറുക്ക്,ചുറുചുറുക്ക്
239,Gedanke::N,ചിന്ത,ചിന്ത
240,Gedächtnis::N,ഓർമ്മശക്തി,ഓർമ്മശക്തി
241,Verstand::N,മനസ്സ്,മനസ്സ്
242,Sinn::N,അർത്ഥം,അർത്ഥം
243,Grund::N,കാരണം,കാരണം
244,Wahrheit::N,സത്യം,സത്യം
245,Gespräch::N,സല്ലാപം,സല്ലാപം
246,Märchen::N,യക്ഷിക്കഥ,യക്ഷിക്കഥ
247,Erzählung::N,കഥ,കഥ
248,Nachricht::N,സന്ദേശം,സന്ദേശം
249,Neuigkeit::N,വാർത്ത,വാർത്ത
250,Name::N,പേര്,പേര്
251,Rätsel::N,പ്രഹേളിക,പ്രഹേളിക
252,Rede::N,സംസാരം,സംസാരം
253,Sprache::N,ഭാഷ,ഭാഷ
254,Stimme::N,സ്വരം,സ്വരം
255,Wort::N,വാക്ക്,വാക്ക്
256,Zeichen::N,സംജ്ഞ,സംജ്ഞ
257,Ruf::N,വിളി,വിളി
258,Lärm::N,ആരവം,ആരവം
259,Laut::N,ശബ്ദം,ശബ്ദം
260,Ton::N,സ്വരഭേദം,സ്വരഭേദം
261,Lied::N,പാട്ട്,പാട്ട്
262,Ruhe::N,നിശ്ചലത,നിശ്ചലത
263,Leute::N,ജനങ്ങൾ,ജനങ്ങൾ
264,Volk::N,രാഷ്ടം,രാഷ്ടം
265,Arbeit::N,ജോലി,ജോലി
266,Gast::N,അതിലി,അതിലി
267,Geschenk::N,സമ്മാനം,സമ്മാനം
268,Spiel::N,കളി,കളി
269,Gesellschaft::N,കൂട്ടായ്മ,കൂട്ടായ്മ
270,Hilfe::N,സഹായം,സഹായം
271,Freund::N,സുഹൃത്ത്,സുഹൃത്ത്
272,Kamerad::N,കൂട്ടാളി,കൂട്ടാളി
273,Angelegenheit::N,കാര്യം,കാര്യം
274,Anzahl::N,എണ്ണം,എണ്ണം
275,Art::N,തരം,തരം
276,Stück::N,കഷണം,കഷണം
277,Teil::N,ഭാഗം,ഭാഗം
278,Hälfte::N,പകുതി,പകുതി
279,Kreis::N,വൃത്തം,വൃത്തം
280,Kreuz::N,കുരിശടയാളം,കുരിശടയാളം
281,Linie::N,വര,വര
282,Linie::N,വര,രേഖ
283,Linie::N,രേഖ,വര
284,Linie::N,രേഖ,രേഖ
285,Strich::N,പക്ഷാഘാതം,പക്ഷാഘാതം
286,Abstand::N,വിടവ്,വിടവ്
287,Entfernung::N,അകലം,അകലം
288,Gegend::N,പ്രദേശം,പ്രദേശം
289,Platz::N,ഇടം,ഇടം
290,Ort::N,സ്ഥലം,സ്ഥലം
291,Seite::N,വശം,വശം
292,Mitte::N,മധ്യസ്ഥാനം,മധ്യസ്ഥാനം
293,Gegenstand::N,സാധനം,സാധനം
294,Sache::N,വസ്തു,വസ്തു
295,Rand::N,തൊങ്ങൽ,തൊങ്ങൽ
296,Kante::N,അറ്റം,അറ്റം
297,Ecke::N,മൂല,മൂല
298,Spitze::N,അഗ്രം,അഗ്രം
299,Ende::N,അവസാനം,അവസാനം
300,Loch::N,ദ്വാരം,ദ്വാരം
301,Winkel::N,കോൺ,കോൺ
302,Muster::N,ക്രമം,ക്രമം
303,Größe::N,വലുപ്പം,വലുപ്പം
304,Länge::N,നീളം,നീളം
305,Höhe::N,ഉയരം,ഉയരം
306,Gewicht::N,കട്ടി,കട്ടി
307,Menge::N,അളവ്,അളവ്
308,Haufen::N,കൂമ്പാരം,കൂമ്പാരം
309,Reihe::N,വരി,വരി
310,Boot::N,ബോട്ട്,ബോട്ട്
311,Ruder::N,പങ്കായം,പങ്കായം
312,Schlitten::N,ഉരുളില്ലാവണ്ടി,ഉരുളില്ലാവണ്ടി
313,Ski::N,ഹിമപാദുകം,ഹിമപാദുകം
314,Lagerfeuer::N,തീ,തീ
315,Last::N,ഭാരം,ഭാരം
316,Gang::N,നടത്തം,നടത്തം
317,Schritt::N,ചുവട്,ചുവട്
318,Norden::N,വടക്ക്,വടക്ക്
319,Süden::N,തെക്ക്,തെക്ക്
320,Westen::N,പടിഞ്ഞാറ്,പടിഞ്ഞാറ്
321,Osten::N,കിഴക്ക്,കിഴക്ക്
322,Holz::N,തടി,തടി
323,Brett::N,ബോർഡ്,ബോർഡ്
324,Platte::N,തകിട്,തകിട്
325,Stütze::N,താങ്ങ്,താങ്ങ്
326,Stange::N,കമ്പ്,കമ്പ്
327,Stock::N,വടി,വടി
328,Stab::N,കുറുവടി,കുറുവടി
329,Rohr::N,കുഴൽ,കുഴൽ
330,Haus::N,വീട്,വീട്
331,Heim::N,വീട്,വീട്
332,Ofen::N,സ്റ്റൌ,സ്റ്റൌ
333,Fußboden::N,തറ,തറ
334,Tisch::N,മേശ,മേശ
335,Stuhl::N,കസേര,കസേര
336,Wiege::N,തൊട്ടിൽ,തൊട്ടിൽ
337,Bett::N,കിടക്ക,കിടക്ക
338,Regal::N,ഷെൽഫ്,ഷെൽഫ്
339,Kiste::N,പെട്ടി,പെട്ടി
340,Fenster::N,ജനൽ,ജനൽ
341,Tür::N,വാതിൽ,വാതിൽ
342,Tor::N,കവാടം,കവാടം
343,Zaun::N,വേലി,വേലി
344,Dach::N,മേൽക്കുര,മേൽക്കുര
345,Leiter::N,ഏണി,ഏണി
346,Besen::N,ചൂല്,ചൂല്
347,Spaten::N,തൂമ്പ,തൂമ്പ
348,Schaufel::N,തൂമ്പ,തൂമ്പ
349,Gabel::N,മുൾക്കത്തി,മുൾക്കത്തി
350,Löffel::N,സ്പൂൺ,സ്പൂൺ
351,Messer::N,കത്തി,കത്തി
352,Nagel::N,ആണി,ആണി
353,Netz::N,വല,വല
354,Haken::N,കൊളുത്ത്,കൊളുത്ത്
355,Griff::N,കൈപ്പിടി,കൈപ്പിടി
356,Schloss::N,പൂട്ട്,പൂട്ട്
357,Bild::N,ചിത്രം,ചിത്രം
358,Figur::N,കണക്ക്,കണക്ക്
359,Puppe::N,പാവ,പാവ
360,Beutel::N,ബാഗ്,ബാഗ്
361,Bündel::N,കെട്ട്,കെട്ട്
362,Tasche::N,ബാഗ്,ബാഗ്
363,Eimer::N,ബക്കറ്റ്,ബക്കറ്റ്
364,Deckel::N,ഉറ,ഉറ
365,Geschirr::N,പിഞ്ഞാണം,പിഞ്ഞാണം
366,Sack::N,ചാക്ക്,ചാക്ക്
367,Tasse::N,കപ്പ്,കപ്പ്
368,Topf::N,പാത്രം,പാത്രം
369,Kessel::N,കെറ്റ്ല്,കെറ്റ്ല്
370,Essen::N,ആഹാരസമയം,ആഹാരസമയം
371,Nahrung::N,ഭക്ഷണം,ഭക്ഷണം
372,Speise::N,ഡിഷ്,ഡിഷ്
373,Fleisch::N,മാംസം,മാംസം
374,Getreide::N,ചോളം,ചോളം
375,Brei::N,കഞ്ഞി,കഞ്ഞി
376,Brot::N,റോട്ടി,റോട്ടി
377,Scheibe::N,തുണ്ട്,തുണ്ട്
378,Fett::N,കൊഴുപ്പ്,കൊഴുപ്പ്
379,Butter::N,വെണ്ണ,വെണ്ണ
380,Öl::N,എണ്ണ,എണ്ണ
381,Salz::N,ഉപ്പ്,ഉപ്പ്
382,Suppe::N,സൂപ്പ്,സൂപ്പ്
383,Honig::N,തേൻ,തേൻ
384,Milch::N,പാൽ,പാൽ
385,Tee::N,ചായ,ചായ
386,Leder::N,തുകൽ,തുകൽ
387,Wolle::N,കമ്പിളി,കമ്പിളി
388,Stoff::N,തുണി,തുണി
389,Nadel::N,സൂചി,സൂചി
390,Faden::N,നൂല്,നൂല്
391,Knopf::N,ബട്ടൺ,ബട്ടൺ
392,Knoten::N,കുരുക്ക്,കുരുക്ക്
393,Farbe::N,പെയിൻറ്,പെയിൻറ്
394,Kleidung::N,വസ്ത്രങ്ങൾ,വസ്ത്രങ്ങൾ
395,Hemd::N,ഷർട്ട്,ഷർട്ട്
396,Kragen::N,കുപ്പായക്കഴുത്ത്,കുപ്പായക്കഴുത്ത്
397,Ärmel::N,കുപ്പായക്കൈ,കുപ്പായക്കൈ
398,Hose::N,ട്രൌസർ,ട്രൌസർ
399,Gürtel::N,ബെൽറ്റ്,ബെൽറ്റ്
400,Mütze::N,തൊപ്പി,തൊപ്പി
401,Schuh::N,ഷൂ,ഷൂ
402,Stiefel::N,ബൂട്ട്,ബൂട്ട്
403,Ring::N,മോതിരം,മോതിരം
404,Band::N,റിബൺ,റിബൺ
405,Kamm::N,ചീപ്പ്,ചീപ്പ്
406,Spiegel::N,കണ്ണാടി,കണ്ണാടി
407,Riemen::N,സ്ട്രാപ്പ്,സ്ട്രാപ്പ്
408,Schnur::N,ചരട്,ചരട്
409,Leine::N,കെട്ടാനുള്ള തോൽവാർ,കെട്ടാനുള്ള തോൽവാർ
410,Decke::N,പുതപ്പ്,പുതപ്പ്
411,Kissen::N,തലയിണ,തലയിണ
412,Tuch::N,സ്കാർഫ്,സ്കാർഫ്
413,Handtuch::N,തോർത്ത്,തോർത്ത്
414,Kraft::N,ശക്തി,ശക്തി
415,Stärke::N,ശക്തി,ശക്തി
416,Gesundheit::N,ആരോഗ്യം,ആരോഗ്യം
417,Krankheit::N,അസുഖം,അസുഖം
418,Schmerz::N,വേദന,വേദന
419,Wunde::N,മുറിവ്,മുറിവ്
420,Fieber::N,പനി,പനി
421,Arznei::N,മരുന്ന്,മരുന്ന്
422,Brücke::N,പാലം,പാലം
423,Brunnen::N,കിണർ,കിണർ
424,Weide::N,മേച്ചൽ,മേച്ചൽ
425,Pfad::N,വഴി,വഴി
426,Weg::N,വഴി,വഴി
427,Straße::N,റോഡ്,റോഡ്
428,Dorf::N,ഗ്രാമം,ഗ്രാമം
429,Stadt::N,നഗരം,നഗരം
430,Brief::N,കത്ത്,കത്ത്
431,Buch::N,പുസ്തകം,പുസ്തകം
432,Buchstabe::N,അക്ഷരം,അക്ഷരം
433,Zeitung::N,വർത്തമാനപത്രം,വർത്തമാനപത്രം
434,Leben::N,ജീവൻ,ജീവൻ
435,Tod::N,മരണം,മരണം
436,Grab::N,ശവക്കുഴി,ശവക്കുഴി
437,Kirche::N,പള്ളി,പള്ളി
438,Sünde::N,പാപം,പാപം
439,Gott::N,ദൈവം,ദൈവം
440,Arbeiter::N,ജോലിക്കാരൻ,ജോലിക്കാരൻ
441,Chef::N,മേധാവി,മേധാവി
442,Meister::N,യജമാനൻ,യജമാനൻ
443,Arzt::N,ഡോക്ടർ,ഡോക്ടർ
444,Lehrer::N,അധ്യാപകൻ,അധ്യാപകൻ
445,Geld::N,പണം,പണം
446,Geschäft::N,ബിസിനസ്,ബിസിനസ്
447,Laden::N,കട,കട
448,Preis::N,വില,വില
449,Ware::N,ചരക്ക്,ചരക്ക്
450,Nutzen::N,ലാഭം,ലാഭം
451,Reichtum::N,ധനം,ധനം
452,Welt::N,ലോകം,ലോകം
453,Land::N,രാജ്യം,രാജ്യം
454,Staat::N,രാജ്യം,രാജ്യം
455,König::N,രാജാവ്,രാജാവ്
456,Macht::N,അധികാരം,അധികാരം
457,Grenze::N,അതിർത്തി,അതിർത്തി
458,Krieg::N,യുദ്ധം,യുദ്ധം
459,Feind::N,ശത്രു,ശത്രു
460,Gewalt::N,അക്രമം,അക്രമം
461,Kampf::N,പോരാട്ടം,പോരാട്ടം
462,Bogen[Waffe]::N,വില്ല്,വില്ല്
463,Pfeil::N,അമ്പ്,അമ്പ്
464,Gewehr::N,തോക്ക്,തോക്ക്
465,Fehler::N,പിശക്,പിശക്
466,Lüge::N,കള്ളം,കള്ളം
467,Schaden::N,കേടുപാട്,കേടുപാട്
468,Unglück::N,ദൌർഭാഗ്യം,ദൌർഭാഗ്യം
469,Schuld::N,തെറ്റ്,തെറ്റ്
470,Alter::N,വയസ്സ്,വയസ്സ്
471,Schluss::N,നിഗമനം,നിഗമനം
472,Zeit::N,സമയം,സമയം
473,Tag::N,ദിവസം,ദിവസം
474,Morgen::N,പ്രഭാതം,പ്രഭാതം
475,Mittag::N,ഉച്ച,ഉച്ച
476,Abend::N,സായാഹ്നം,സായാഹ്നം
477,Nacht::N,രാത്രി,രാത്രി
478,Woche::N,ആഴ്ച,ആഴ്ച
479,Monat::N,മാസം,മാസം
480,Jahr::N,വർഷം,വർഷം
481,Frühling::N,വസന്തം,വസന്തം
482,Sommer::N,വേനൽ,വേനൽ
483,Herbst::N,ശരത്കാലം,ശരത്കാലം
484,Winter::N,ശൈത്യം,ശൈത്യം
485,Januar::N,ജനുവരി,ജനുവരി
486,Februar::N,ഫെബ്രുവരി,ഫെബ്രുവരി
487,März::N,മാർച്ച്,മാർച്ച്
488,April::N,ഏപ്രിൾ മാസം,ഏപ്രിൾ മാസം
489,Mai::N,മെയ് മാസം,മെയ് മാസം
490,Juni::N,ജൂൺ,ജൂൺ
491,Juli::N,ജൂലൈ,ജൂലൈ
492,August::N,ആഗസ്റ്റ്,ആഗസ്റ്റ്
493,September::N,സെപ്തംബർ,സെപ്തംബർ
494,Oktober::N,ഒക്ടോബർ,ഒക്ടോബർ
495,November::N,നവംബർ,നവംബർ
496,Dezember::N,ഡിസംബർ,ഡിസംബർ
497,Montag::N,തിങ്കളാഴ്ച,തിങ്കളാഴ്ച
498,Dienstag::N,ചൊവ്വ,ചൊവ്വ
499,Mittwoch::N,ബുധനാഴ്ച,ബുധനാഴ്ച
500,Donnerstag::N,വ്യാഴാഴ്ച,വ്യാഴാഴ്ച
501,Freitag::N,വെള്ളിയാഴ്ച,വെള്ളിയാഴ്ച
502,Samstag::N,ശനിയാഴ്ച,ശനിയാഴ്ച
503,Sonntag::N,ഞായറാഴ്ച,ഞായറാഴ്ച
504,groß::A,വലിയ,വലിയ
505,klein::A,ചെറിയ,ചെറിയ
506,lang::A,നീണ്ട,നീണ്ട
507,kurz::A,ഹ്രസ്വമായ,ഹ്രസ്വമായ
508,breit::A,വിശാലമായ,വിശാലമായ
509,schmal::A,ഇടുങ്ങിയ,ഇടുങ്ങിയ
510,dicht::A,നിബിഡമായ,നിബിഡമായ
511,dick[Gegenstand]::A,തടിച്ച,തടിച്ച
512,dünn::A,മെലിഞ്ഞ,മെലിഞ്ഞ
513,fein::A,നേർത്ത,നേർത്ത
514,fest::A,ഉറപ്പുള്ള,ഉറപ്പുള്ള
515,flach::A,പരന്ന,പരന്ന
516,glatt::A,മിനുസമുള്ള,മിനുസമുള്ള
517,hart::A,കട്ടിയുള്ള,കട്ടിയുള്ള
518,weich::A,മൃദുവായ,മൃദുവായ
519,rund::A,വട്ടത്തിലുള്ള,വട്ടത്തിലുള്ള
520,spitz::A,മുനയുള്ള,മുനയുള്ള
521,scharf::A,മൂർച്ചയുള്ള,മൂർച്ചയുള്ള
522,stumpf::A,തുറന്നടിക്കുന്ന,തുറന്നടിക്കുന്ന
523,schwer::A,ഭാരമുള്ള,ഭാരമുള്ള
524,schön::A,മനോഹരമായ,മനോഹരമായ
525,heiß::A,ചൂടുള്ള,ചൂടുള്ള
526,warm::A,ചൂടുള്ള,ചൂടുള്ള
527,kalt::A,തണുത്ത,തണുത്ത
528,kühl::A,തണുപ്പുള്ള,തണുപ്പുള്ള
529,frisch::A,ശുദ്ധമായ,ശുദ്ധമായ
530,feucht::A,ഈറനുള്ള,ഈറനുള്ള
531,nass::A,നനഞ്ഞ,നനഞ്ഞ
532,trocken::A,വരണ്ട,വരണ്ട
533,voll::A,നിറയെ,നിറയെ
534,leer::A,ഒഴിഞ്ഞ,ഒഴിഞ്ഞ
535,offen::A,തുറന്ന,തുറന്ന
536,geschlossen::A,അടച്ച,അടച്ച
