,Concept_ID,no,ru
473,Geld::N,penger,деньги
474,Geschäft::N,forretning,занятие
475,Laden::N,butikk,магазин
476,Preis::N,pris,цена
477,Ware::N,vare,товар
478,Nutzen::N,nytte,выгода
479,Reichtum::N,rikdom,богатство
480,Welt::N,verden,мир
481,Land::N,land,страна
482,Staat::N,stat,государство
483,König::N,konge,король
484,Macht::N,makt,власть
485,Grenze::N,grense,граница
486,Krieg::N,krig,война
487,Feind::N,fiende,враг
488,Gewalt::N,vold,насилие
489,Kampf::N,kamp,борьба
490,Bogen[Waffe]::N,bue,лук
491,Pfeil::N,pil,стрела
492,Gewehr::N,gevær,ружье
493,Fehler::N,feil,ошибка
494,Lüge::N,løgn,ложь
495,Schaden::N,skade,вред
496,Unglück::N,uhell,беда
497,Schuld::N,skyld,вина
498,Alter::N,alder,возраст
499,Schluss::N,slutt,окончание
500,Zeit::N,tid,время
501,Tag::N,dag,день
502,Morgen::N,morgen,утро
503,Mittag::N,middag,полдень
504,Abend::N,aften,вечер
505,Nacht::N,natt,ночь
506,Woche::N,uke,неделя
507,Monat::N,måned,месяц
508,Jahr::N,år,год
509,Frühling::N,vår,весна
510,Sommer::N,sommer,лето
511,Herbst::N,høst,осень
512,Winter::N,vinter,зима
513,Januar::N,januar,январь
514,Februar::N,februar,февраль
515,März::N,mars,март
516,April::N,april,апрель
517,Mai::N,mai,май
518,Juni::N,juni,июнь
519,Juli::N,juli,июль
520,August::N,august,август
521,September::N,september,сентябрь
522,Oktober::N,oktober,октябрь
523,November::N,november,ноябрь
524,Dezember::N,desember,декабрь
525,Montag::N,mandag,понедельник
526,Dienstag::N,tirsdag,вторник
527,Mittwoch::N,onsdag,среда
528,Donnerstag::N,torsdag,четверг
529,Freitag::N,fredag,пятница
530,Samstag::N,lørdag,суббота
531,Sonntag::N,søndag,воскресенье
532,groß::A,stor,большой
533,klein::A,liten,маленький
534,lang::A,lang,длинный
535,kurz::A,kort,короткий
536,breit::A,bred,широкий
537,schmal::A,smal,узкий
538,dicht::A,tett,густой
539,dick[Gegenstand]::A,tykk,толстый
540,dünn::A,tynn,тонкий
541,fein::A,fin,тонкий
542,fest::A,fast,крепкий
543,flach::A,flat,плоский
544,glatt::A,glatt,гладкий
545,hart::A,hard,твердый
546,weich::A,myk,мягкий
547,weich::A,bløt,мягкий
548,rund::A,rund,круглый
549,spitz::A,spiss,остроконечный
550,scharf::A,kvass,острый
551,stumpf::A,stubb,тупой
552,schwer::A,tung,тяжелый
553,schön::A,pen,красивый
554,schön::A,vakker,красивый
555,heiß::A,het,жаркий
556,warm::A,varm,теплый
557,kalt::A,kald,холодный
558,kühl::A,kjølig,прохладный
559,frisch::A,fersk,свежий
560,feucht::A,fuktig,влажный
561,nass::A,våt,мокрый
562,trocken::A,tørr,сухой
563,voll::A,full,полный
564,voll::A,full,наполненный
565,leer::A,tom,пустой
566,offen::A,åpen,открытый
567,geschlossen::A,lukket,закрытый
568,sauber::A,ren,чистый
569,schmutzig::A,skitten,грязный
570,roh::A,rå,сырой
571,reif::A,moden,зрелый
572,lecker::A,lekker,вкусный
573,süß::A,søt,сладкий
574,bitter::A,besk,горький
575,bitter::A,bitter,горький
576,sauer::A,sur,кислый
577,hell::A,lys,светлый
578,dunkel::A,mørk,темный
579,schwarz::A,svart,черный
580,weiß::A,hvit,белый
581,rot::A,rød,красный
582,gelb::A,gul,желтый
583,blau::A,blå,синий
584,grün::A,grønn,зеленый
585,grau::A,grå,серый
586,bunt::A,broket,пестрый
587,billig::A,billig,дешевый
588,teuer::A,dyr,дорогой
589,wertvoll::A,verdifull,ценный
590,blind::A,blind,слепой
591,taub::A,døv,глухой
592,kräftig::A,kraftig,могучий
593,stark::A,sterk,сильный
594,schwach::A,svak,слабый
595,fett::A,fet,жирный
596,schlank::A,slank,стройный
597,hübsch::A,pen,прелестный
598,böse::A,slem,злой
599,dumm::A,dum,глупый
600,faul::A,lat,ленивый
601,faul::A,doven,ленивый
602,fleißig::A,flittig,прилежный
603,geizig::A,gjerrig,жадный
604,klug::A,klok,умный
605,geschickt::A,hendig,искусный
606,geschickt::A,skikket,искусный
607,lieb::A,kjær,милый
608,lieb::A,snill,милый
609,lustig::A,morsom,веселый
