,Concept_ID,ru,zh
61,Traum::N,сновидение,梦
62,Himmel::N,небо,天空
63,Sonne::N,солнце,太阳
64,Mond::N,луна,月亮
65,Stern::N,звезда,星
66,Luft::N,воздух,空气
67,Wind::N,ветер,风
68,Welle::N,волна,波
69,Wasser::N,вода,水
70,Stein::N,камень,石头
71,Boden::N,почва,地面
72,Erde::N,земля,地
73,Staub::N,пыль,灰尘
74,Rauch::N,дым,烟
75,Funke::N,искра,火花
76,Feuer::N,огонь,火
77,Licht::N,свет,光
78,Schatten::N,тень,影子
79,Wetter::N,погода,天气
80,Nebel::N,туман,雾
81,Wolke::N,облако,云
82,Regen::N,дождь,雨
83,Schnee::N,снег,雪
84,Eis::N,лед,冰
85,Frost::N,мороз,霜冻
86,Kälte::N,холод,寒冷
87,Hitze::N,жара,炎热
88,Raureif::N,иней,霜
89,Regenbogen::N,радуга,虹
90,Donner::N,гром,雷
91,Strömung::N,течение,水流
92,Tropfen::N,капля,滴
93,Schaum::N,пена,泡沫
94,Schmutz::N,грязь,赃物
95,See::N,озеро,湖
96,Sumpf::N,топь,沼泽
97,Moor::N,болото,沼泽
98,Wiese::N,луг,草地
99,Wald::N,лес,森林
100,Hügel::N,холм,丘陵
101,Anhöhe::N,возвышенность,山丘
102,Berg::N,гора,山
103,Gipfel::N,вершина,峰
104,Höhle::N,пещера,洞穴
105,Abhang::N,склон,斜坡
106,Quelle::N,источник,泉
107,Bach::N,ручей,溪
108,Fluss::N,река,河流
109,Ufer::N,берег,岸
110,Küste::N,побережье,海岸
111,Festland::N,суша,大陆
112,Meer::N,море,海
113,Bucht::N,бухта,海湾
114,Insel::N,остров,岛
115,Blume::N,цветок,花
116,Gras::N,трава,草
117,Wurzel::N,корень,根
118,Baum::N,дерево,树
119,Stamm::N,ствол,树干
120,Rinde::N,кора,树皮
121,Ast::N,сук,树枝
122,Zweig::N,ветвь,树枝
123,Blatt::N,лист,叶子
124,Birke::N,береза,桦木
125,Kiefer[Baum]::N,сосна,松树
126,Weide[Baum]::N,ива,柳树
127,Tanne::N,ель,冷杉
128,Horn::N,рог,角
129,Feder::N,перо,羽毛
130,Fell::N,шкура,皮毛
131,Flügel::N,крыло,翅膀
132,Klaue::N,коготь,爪子
133,Kralle::N,лапа,爪子
134,Schwanz::N,хвост,尾巴
135,Ei::N,яйцо,蛋
136,Nest::N,гнездо,巢
137,Bau::N,нора,穴
138,Tier::N,животное,动物
139,Herde::N,стадо,群
140,Kuh::N,корова,母牛
141,Bulle::N,бык,公牛
142,Pferd::N,лошадь,马
143,Schaf::N,овца,羊
144,Schwein::N,свинья,猪
145,Hund::N,собака,狗
146,Katze::N,кошка,猫
147,Bär::N,медведь,熊
148,Eichhörnchen::N,белка,松鼠
149,Elch::N,лось,麋鹿
150,Fuchs::N,лиса,狐狸
151,Hase::N,заяц,兔子
152,Maus::N,мышь,老鼠
153,Wolf::N,волк,狼
154,Vogel::N,птица,鸟
155,Schwarm::N,стая,群
156,Huhn::N,курица,鸡
157,Hahn::N,петух,公鸡
158,Gans::N,гусь,鹅
159,Adler::N,орел,鹰
160,Ente::N,утка,鸭
161,Eule::N,сова,猫头鹰
162,Kranich::N,журавль,鹤
163,Krähe::N,ворона,乌鸦
164,Kuckuck::N,кукушка,布谷鸟
165,Schwan::N,лебедь,天鹅
166,Fisch::N,рыба,鱼
167,Barsch::N,окунь,鲈鱼
168,Hecht::N,щука,狗鱼
169,Schlange[Tier]::N,змея,蛇
170,Wurm::N,червяк,蠕虫
171,Spinne::N,паук,蜘蛛
172,Ameise::N,муравей,蚂蚁
173,Laus::N,вошь,虱子
174,Mücke::N,комар,蚊子
175,Fliege::N,муха,苍蝇
176,Schmetterling::N,бабочка,蝴蝶
177,Beere::N,ягода,将果
178,Apfel::N,яблоко,苹果
179,Pilz::N,гриб,蘑菇
180,Zwiebel::N,луковица,洋葱
181,Saat::N,семя,种子
182,Korn::N,зерно,谷粒
183,Heu::N,сено,干草
184,Schale::N,шелуха,壳
185,Grube::N,яма,坑
186,Falle::N,ловушка,圈套
187,Schlinge::N,силок,活扣
188,Spur::N,след,踪迹
189,Asche::N,зола,灰烬
190,Asche::N,пепел,灰烬
191,Dreck::N,грязь,污垢
192,Eisen::N,железо,铁
193,Gold::N,золото,金子
194,Silber::N,серебро,银
195,Kohle::N,уголь,煤
196,Glas::N,стекло,玻璃
197,Lehm::N,глина,粘土
198,Sand::N,песок,沙
199,Mensch::N,человек,人
200,Mann::N,мужчина,男子
201,Frau::N,женщина,妇女
202,Kind::N,ребенок,小孩
203,Junge::N,мальчик,男孩
204,Mädchen::N,девочка,女孩
205,Familie::N,семья,家庭
206,Großvater::N,дедушка,祖父
207,Großmutter::N,бабушка,祖母
208,Eltern::N,родители,父母
209,Vater::N,отец,父亲
210,Mutter::N,мать,母亲
211,Sohn::N,сын,儿子
212,Tochter::N,дочь,女儿
213,Bruder::N,брат,兄弟
214,Schwester::N,сестра,姐妹
215,Onkel::N,дядя,伯父
216,Tante::N,тетя,阿姨
217,Ehemann::N,муж,丈夫
218,Ehefrau::N,жена,妻子
219,Freude::N,радость,愉快
220,Gelächter::N,смех,大笑
221,Glück::N,счастье,运气
222,Kummer::N,горе,苦恼
223,Wunsch::N,желание,愿望
224,Lust::N,влечение,乐趣
225,Geist::N,дух,精神
226,Gedanke::N,мысль,思想
227,Gedächtnis::N,память,记性
228,Verstand::N,ум,理智
229,Sinn::N,смысл,感觉
230,Grund::N,повод,理由
231,Wahrheit::N,правда,真理
232,Gespräch::N,беседа,谈话
233,Märchen::N,сказка,童话
234,Erzählung::N,рассказ,故事
235,Nachricht::N,сообщение,消息
236,Neuigkeit::N,новость,新闻
237,Name::N,имя,名字
238,Rätsel::N,загадка,谜语
239,Rede::N,речь,讲话
240,Sprache::N,язык,语言
241,Stimme::N,голос,声音
242,Wort::N,слово,词
243,Zeichen::N,знак,标记
244,Ruf::N,зов,呼喊
245,Lärm::N,шум,噪音
246,Laut::N,звук,响声
247,Ton::N,звучание,声音
248,Lied::N,песня,歌曲
249,Ruhe::N,покой,安静
250,Leute::N,люди,人们
251,Volk::N,народ,人民
252,Arbeit::N,работа,劳动
253,Gast::N,гость,客人
254,Geschenk::N,подарок,礼物
255,Spiel::N,игра,游戏
256,Gesellschaft::N,общество,陪同
257,Hilfe::N,помощь,帮助
258,Freund::N,друг,朋友
259,Kamerad::N,приятель,同志
260,Angelegenheit::N,дело,事情
261,Anzahl::N,количество,数目
262,Art::N,вид,种类
263,Stück::N,кусок,块
264,Teil::N,часть,部分
265,Hälfte::N,половина,一半
266,Kreis::N,круг,圆
267,Kreuz::N,крест,十字架
268,Linie::N,линия,线条
269,Strich::N,черта,划
270,Abstand::N,промежуток,距离
271,Entfernung::N,расстояние,距离
272,Gegend::N,местность,地区
273,Platz::N,пространство,场所
274,Ort::N,место,地点
275,Seite::N,сторона,面
276,Mitte::N,середина,中间
277,Gegenstand::N,предмет,物品
278,Sache::N,вещь,物
279,Rand::N,край,边
280,Kante::N,ребро,棱
281,Ecke::N,угол,角
282,Spitze::N,кончик,尖
283,Ende::N,конец,结尾
284,Loch::N,дыра,洞
285,Winkel::N,угол,角度
286,Muster::N,узор,模型
287,Größe::N,размер,大小
288,Länge::N,длина,长度
289,Höhe::N,высота,高度
290,Gewicht::N,вес,重量
291,Menge::N,количество,数量
292,Haufen::N,куча,堆
293,Reihe::N,ряд,行
294,Boot::N,лодка,小船
295,Ruder::N,весло,奖
296,Schlitten::N,сани,雪橇
297,Ski::N,лыжа,雪板
298,Lagerfeuer::N,костер,营火
299,Last::N,тяжесть,负担
300,Gang::N,ход,行走
301,Schritt::N,шаг,步伐
302,Norden::N,север,北
303,Süden::N,юг,南
304,Westen::N,запад,西
305,Osten::N,восток,东
306,Holz::N,древесина,木材
307,Brett::N,доска,木板
308,Platte::N,плита,平板
309,Stütze::N,подпорка,支架
310,Stange::N,жердь,杆
311,Stock::N,палка,棒
312,Stab::N,шест,棍
313,Rohr::N,труба,管子
314,Haus::N,дом,房屋
315,Heim::N,дом,家
316,Ofen::N,печь,炉子
317,Fußboden::N,пол,地板
318,Tisch::N,стол,桌子
319,Stuhl::N,стул,椅子
320,Wiege::N,колыбель,摇蓝
321,Bett::N,постель,床
322,Regal::N,полка,架子
323,Kiste::N,ящик,箱子
324,Fenster::N,окно,窗户
325,Tür::N,дверь,门
326,Tor::N,ворота,大门
327,Zaun::N,забор,篱笆
328,Dach::N,крыша,屋顶
329,Leiter::N,лестница,梯子
330,Besen::N,метла,扫帚
331,Spaten::N,лопата,铁锹
332,Schaufel::N,совок,铁锹
333,Gabel::N,вилка,叉
334,Löffel::N,ложка,食匙
335,Messer::N,нож,刀
336,Nagel::N,гвоздь,钉子
337,Netz::N,сеть,网
338,Haken::N,крюк,钩子
339,Griff::N,ручка,把柄
340,Schloss::N,замок,锁
341,Bild::N,картина,图画
342,Figur::N,фигура,人像
343,Puppe::N,кукла,娃娃
344,Beutel::N,мешок,袋子
345,Bündel::N,связка,捆
346,Tasche::N,сумка,手提包
347,Eimer::N,ведро,桶
348,Deckel::N,крышка,盖子
349,Geschirr::N,посуда,餐具
350,Sack::N,мешок,袋子
351,Tasse::N,чашка,杯子
352,Topf::N,кастрюля,锅
353,Kessel::N,котел,水壶
354,Essen::N,еда,进餐
355,Nahrung::N,пища,食物
356,Speise::N,блюдо,菜肴
357,Speise::N,кушанье,菜肴
358,Fleisch::N,мясо,肉
359,Getreide::N,хлеб,谷物
360,Brei::N,каша,粥
361,Brot::N,хлеб,面包
362,Scheibe::N,ломоть,片
363,Fett::N,жир,脂肪
364,Butter::N,масло,黄油
365,Öl::N,масло,油
366,Salz::N,соль,盐
367,Suppe::N,суп,汤
368,Honig::N,мед,蜂蜜
369,Milch::N,молоко,奶
370,Tee::N,чай,茶
371,Leder::N,кожа,皮革
372,Wolle::N,шерсть,毛线
373,Stoff::N,ткань,织物
374,Nadel::N,игла,针
375,Faden::N,нитка,线
376,Knopf::N,пуговица,纽扣
377,Knoten::N,узел,结
378,Farbe::N,краска,颜色
379,Kleidung::N,одежда,衣服
380,Hemd::N,рубашка,衬衫
381,Kragen::N,воротник,领子
382,Ärmel::N,рукав,袖子
383,Hose::N,брюки,裤子
384,Gürtel::N,пояс,腰带
385,Mütze::N,шапка,帽子
386,Schuh::N,ботинок,鞋
387,Stiefel::N,сапог,靴子
388,Ring::N,кольцо,戒指
389,Band::N,лента,带子
390,Kamm::N,расческа,梳子
391,Spiegel::N,зеркало,镜子
392,Riemen::N,ремень,皮带
393,Schnur::N,веревка,绳子
394,Leine::N,поводок,皮带
395,Decke::N,одеяло,被子
396,Kissen::N,подушка,软垫
397,Tuch::N,платок,巾
398,Handtuch::N,полотенце,手巾
399,Kraft::N,сила,力
400,Stärke::N,крепость,力量
401,Gesundheit::N,здоровье,健康
402,Krankheit::N,болезнь,病
403,Schmerz::N,боль,痛
404,Wunde::N,рана,伤口
405,Fieber::N,лихорадка,发烧
406,Fieber::N,температура,发烧
407,Arznei::N,лекарство,药
408,Brücke::N,мост,桥
409,Brunnen::N,колодец,井
410,Weide::N,пастбище,牧场
411,Pfad::N,тропа,小路
412,Weg::N,путь,路
413,Weg::N,дорога,路
414,Straße::N,улица,街
415,Straße::N,дорога,街
416,Dorf::N,деревня,村庄
417,Stadt::N,город,城市
418,Brief::N,письмо,信
419,Buch::N,книга,书
420,Buchstabe::N,буква,字母
421,Zeitung::N,газета,报纸
422,Leben::N,жизнь,生命
423,Tod::N,смерть,死亡
424,Grab::N,могила,坟墓
425,Kirche::N,церковь,教堂
426,Sünde::N,грех,罪
427,Gott::N,бог,上帝
428,Arbeiter::N,рабочий,工人
429,Chef::N,начальник,上司
430,Meister::N,мастер,师傅
431,Arzt::N,врач,医生
432,Lehrer::N,учитель,教师
433,Geld::N,деньги,钱
434,Geschäft::N,занятие,交易
435,Laden::N,магазин,商店
436,Preis::N,цена,价格
437,Ware::N,товар,商品
438,Nutzen::N,выгода,好处
439,Reichtum::N,богатство,财富
440,Welt::N,мир,世界
441,Land::N,страна,国家
442,Staat::N,государство,国家
443,König::N,король,国王
444,Macht::N,власть,权力
445,Grenze::N,граница,边界
446,Krieg::N,война,战争
447,Feind::N,враг,敌人
448,Gewalt::N,насилие,暴力
449,Kampf::N,борьба,战斗
450,Bogen[Waffe]::N,лук,弓
451,Pfeil::N,стрела,箭
452,Gewehr::N,ружье,枪
453,Fehler::N,ошибка,错误
454,Lüge::N,ложь,谎话
455,Schaden::N,вред,损失
456,Unglück::N,беда,不幸
457,Schuld::N,вина,过错
458,Alter::N,возраст,年龄
459,Schluss::N,окончание,结束
460,Zeit::N,время,时间
461,Tag::N,день,天
462,Morgen::N,утро,早晨
463,Mittag::N,полдень,中午
464,Abend::N,вечер,晚上
465,Nacht::N,ночь,夜
466,Woche::N,неделя,星期
467,Monat::N,месяц,月
468,Jahr::N,год,年
469,Frühling::N,весна,春天
470,Sommer::N,лето,夏天
471,Herbst::N,осень,秋天
472,Winter::N,зима,冬天
473,Januar::N,январь,一月
474,Februar::N,февраль,二月
475,März::N,март,三月
476,April::N,апрель,四月
477,Mai::N,май,五月
478,Juni::N,июнь,六月
479,Juli::N,июль,七月
480,August::N,август,八月
481,September::N,сентябрь,九月
482,Oktober::N,октябрь,十月
483,November::N,ноябрь,十一月
484,Dezember::N,декабрь,十二月
485,Montag::N,понедельник,星期一
486,Dienstag::N,вторник,星期二
487,Mittwoch::N,среда,星期三
488,Donnerstag::N,четверг,星期四
489,Freitag::N,пятница,星期五
490,Samstag::N,суббота,星期六
491,Sonntag::N,воскресенье,星期日
492,groß::A,большой,大
493,klein::A,маленький,小
494,lang::A,длинный,长
495,kurz::A,короткий,短
496,breit::A,широкий,宽
497,schmal::A,узкий,细长的
498,dicht::A,густой,密
499,dick[Gegenstand]::A,толстый,厚
500,dünn::A,тонкий,薄
501,fein::A,тонкий,细小
502,fest::A,крепкий,固体
503,flach::A,плоский,平坦
504,glatt::A,гладкий,光滑
505,hart::A,твердый,硬
506,weich::A,мягкий,软
507,rund::A,круглый,圆
508,spitz::A,остроконечный,尖
509,scharf::A,острый,锋利
510,stumpf::A,тупой,钝
511,schwer::A,тяжелый,重
512,schön::A,красивый,美丽
513,heiß::A,жаркий,烫
514,warm::A,теплый,暖和
515,kalt::A,холодный,冷
516,kühl::A,прохладный,凉
517,frisch::A,свежий,新鲜
518,feucht::A,влажный,潮湿
519,nass::A,мокрый,湿
520,trocken::A,сухой,干
521,voll::A,полный,满
522,voll::A,наполненный,满
523,leer::A,пустой,空
524,offen::A,открытый,敞开
525,geschlossen::A,закрытый,关闭
526,sauber::A,чистый,干净
527,schmutzig::A,грязный,肮脏
528,roh::A,сырой,生
529,reif::A,зрелый,成熟
530,lecker::A,вкусный,好吃
531,süß::A,сладкий,甜
532,bitter::A,горький,苦
533,sauer::A,кислый,酸
534,hell::A,светлый,亮
535,dunkel::A,темный,阴暗
536,schwarz::A,черный,黑
537,weiß::A,белый,白
538,rot::A,красный,红
539,gelb::A,желтый,黄
540,blau::A,синий,蓝
541,grün::A,зеленый,绿
542,grau::A,серый,灰色
543,bunt::A,пестрый,五彩
544,billig::A,дешевый,便宜
545,teuer::A,дорогой,贵
546,wertvoll::A,ценный,贵重
547,blind::A,слепой,瞎
548,taub::A,глухой,聋
549,kräftig::A,могучий,强壮
550,stark::A,сильный,强壮
551,schwach::A,слабый,弱
552,fett::A,жирный,胖
553,schlank::A,стройный,苗条
554,hübsch::A,прелестный,漂亮
555,böse::A,злой,邪恶
556,dumm::A,глупый,笨
557,faul::A,ленивый,懒惰
558,fleißig::A,прилежный,勤奋
559,geizig::A,жадный,吝啬
560,klug::A,умный,聪明
561,geschickt::A,искусный,灵巧
562,lieb::A,милый,可爱
563,lustig::A,веселый,快乐
564,sanft::A,нежный,柔和
565,hungrig::A,голодный,饥饿
566,krank::A,больной,患病
567,nackt::A,голый,裸体
568,traurig::A,грустный,悲哀
569,lebendig::A,живой,活
570,gut::A,хороший,好
571,schlecht::A,плохой,坏
572,richtig::A,правильный,正确
573,schlimm::A,отвратительный,糟糕
574,schlimm::A,мерзкий,糟糕
575,wahr::A,настоящий,真
576,alt::A,старый,旧
577,neu::A,новый,新
578,ehemalig::A,бывший,以前
579,alt[Lebewesen]::A,пожилой,老
580,jung::A,молодой,年轻
581,arm::A,бедный,贫穷
582,reich::A,богатый,富裕
583,bekannt::A,знакомый,出名
584,berühmt::A,знаменитый,著名
585,fremd::A,чужой,陌生
586,verschieden::A,разный,不同
587,nah::A,близкий,近
588,fern::A,далекий,遥远
589,linker::A,левый,左
590,rechter::A,правый,右
591,anderer::A,другой,别的
592,erster::A,первый,第一
593,zweiter::A,второй,第二
594,dritter::A,третий,第三
595,letzter::A,последний,最后
596,allein::ADV,один,单独
597,auf einmal::ADV,сразу,同时
598,zusammen::ADV,вместе,一起
599,lange::ADV,долго,许久
600,plötzlich::ADV,вдруг,忽然
601,sofort::ADV,тотчас,立刻
602,später::ADV,позже,以后
603,jetzt::ADV,сейчас,现在
604,heute::ADV,сегодня,今天
605,morgen::ADV,завтра,明天
606,bald::ADV,скоро,即将
607,dann::ADV,потом,然后
608,gestern::ADV,вчера,昨天
609,einst::ADV,однажды,曾经
610,damals::ADV,тогда,当时
611,danach::ADV,затем,随后
612,vorher::ADV,раньше,事先
613,zuerst::ADV,сперва,首先
614,einmal::ADV,раз,一次
615,manchmal::ADV,иногда,有时
616,oft::ADV,часто,时常
617,immer::ADV,всегда,总是
618,niemals::ADV,никогда,从未
619,hier::ADV,здесь,这里
620,hierhin::ADV,сюда,到这里
621,von hier::ADV,отсюда,由此
622,dort::ADV,там,那里
623,dorthin::ADV,туда,到那里
624,geradeaus::ADV,прямо,一直往前
625,vorwärts::ADV,вперед,向前
626,rückwärts::ADV,назад,向后
627,zurück::ADV,обратно,退后
628,unten::ADV,внизу,下面
629,hinab::ADV,вниз,向下
630,oben::ADV,наверху,上面
631,hinauf::ADV,вверх,向上
632,überall::ADV,везде,到处
633,nicht::ADV,не,不
634,ein wenig::ADV,немного,一点儿
635,kaum::ADV,едва,几乎不
636,sehr::ADV,очень,很
637,so::ADV,так,如此
638,noch::ADV,еще,还
639,nur::ADV,только,只
640,schon::ADV,уже,已经
641,wieder::ADV,опять,又
642,vergebens::ADV,напрасно,
643,vor::PRP,перед,在...面前
644,hinter::PRP,за,在...背后
645,hinter::PRP,позади,在...背后
646,unter::PRP,под,在...下面
647,durch::PRP,сквозь,穿过
648,neben::PRP,возле,在...旁
649,zwischen::PRP,между,在...之间
650,wegen::PRP,из-за,由于
651,dies::PRN,это,这
652,das::PRN,то,那
653,alles::PRN,все,一切
654,ich::PRN,я,我
655,du::PRN,ты,你
656,er::PRN,он,他
657,wir::PRN,мы,我们
658,ihr::PRN,вы,你们
659,sie::PRN,они,她
660,was::FPRN,что,什么
661,wer::FPRN,кто,谁
662,wo::FADV,где,哪里
663,wohin::FADV,куда,去哪里
664,wie::FADV,как,怎么
665,warum::FADV,почему,为什么
666,wieviel::FNUM,сколько,多少
667,eins::NUM,один,一
668,zwei::NUM,два,二
669,drei::NUM,три,三
670,vier::NUM,четыре,四
671,fünf::NUM,пять,五
672,sechs::NUM,шесть,六
673,sieben::NUM,семь,七
674,acht::NUM,восемь,八
675,neun::NUM,девять,九
676,zehn::NUM,десять,十
677,elf::NUM,одиннадцать,十一
678,zwölf::NUM,двенадцать,十二
679,zwanzig::NUM,двадцать,二十
680,dreißig::NUM,тридцать,三十
681,vierzig::NUM,сорок,四十
682,fünfzig::NUM,пятьдесят,五十
683,sechzig::NUM,шестьдесят,六十
684,siebzig::NUM,семьдесят,七十
685,achtzig::NUM,восемьдесят,八十
686,neunzig::NUM,девяносто,九十
687,hundert::NUM,сто,百
688,tausend::NUM,тысяча,千
689,und::CNJ,и,和
690,oder::CNJ,или,或者
691,oder::CNJ,либо,或者
692,stehen::V,стоять,站
693,sitzen::V,сидеть,坐
694,liegen::V,лежать,躺着
695,hängen::V,висеть,挂着
696,werden::V,стать,成为
697,passieren::V,случиться,发生
698,beginnen::V,начаться,开始
699,enden::V,кончиться,终止
700,wechseln::V,меняться,变迁
701,aufgehen[Sonne]::V,взойти,升起
702,untergehen[Sonne]::V,зайти,下落
703,scheinen[Sonne]::V,светить,照射
704,donnern::V,греметь,打雷
705,wehen::V,дуть,飘扬
706,strömen::V,литься,流
707,fließen::V,течь,流动
708,sich drehen::V,вращаться,转动
709,schwanken::V,колебаться,摇摆
710,schwingen::V,качаться,摇
711,fallen::V,падать,坠落
712,brennen::V,гореть,燃烧
713,rauchen::V,дымить,冒烟
714,regnen::V,дождить,下雨
715,gefrieren::V,замерзнуть,结冰
716,tauen::V,таять,融化
717,schmelzen::V,плавиться,溶化
718,trocknen::V,сохнуть,变干
719,sieden::V,кипеть,煮
720,faulen::V,гнить,腐烂
721,verfaulen::V,сгнить,腐烂
722,reißen::V,рваться,撕
723,versinken::V,тонуть,下沉
724,vergehen::V,проходить,流逝
725,erscheinen::V,появиться,出现
726,verschwinden::V,исчезнуть,消失
727,sinken::V,спадать,下降
728,abnehmen::V,уменьшиться,减少
729,zunehmen::V,увеличиваться,增加
730,steigen::V,подниматься,上升
731,wachsen::V,расти,生长
732,glänzen::V,блестеть,发光
733,funkeln::V,сверкать,闪烁
734,lärmen::V,шуметь,吵闹
735,läuten::V,звонить,响
736,klingeln::V,звонить,按铃
737,klirren::V,звякать,
738,brausen::V,бушевать,疾驶
739,rauschen::V,шелестеть,
740,klingen::V,звучать,听起来
741,bellen::V,лаять,吠
742,heulen::V,выть,嗥
743,blasen::V,дунуть,吹
744,pfeifen::V,свистеть,吹口哨
745,schreien::V,кричать,叫喊
746,stöhnen::V,стонать,呻吟
747,zittern::V,дрожать,颤抖
748,leben::V,жить,生存
749,geboren werden::V,родиться,出生
750,atmen::V,дышать,呼吸
751,trinken::V,пить,喝
752,essen::V,есть,吃
753,essen::V,кушать,吃
754,schlucken::V,глотать,咽
755,müde werden::V,устать,疲倦
756,einschlafen::V,заснуть,入睡
757,schlafen::V,спать,睡觉
758,aufwachen::V,проснуться,睡醒
759,aufstehen::V,встать,起床
760,sich erholen::V,отдыхать,休养
761,krank werden::V,заболеть,生病
762,krank sein::V,болеть,生病
763,schmerzen::V,болеть,疼痛
764,husten::V,кашлять,咳
765,genesen::V,поправиться,痊愈
766,sterben::V,умереть,死
767,umkommen::V,погибнуть,丧命
768,sich bewegen::V,двигаться,移动
769,sich rühren::V,шевельнуться,动弹
770,sich erheben::V,встать,站起
771,sich setzen::V,сесть,坐
772,hinfallen::V,упасть,跌倒
773,laufen::V,ходить,步行
774,schreiten::V,шагать,迈步
775,spazierengehen::V,гулять,散步
776,eilen::V,спешить,急忙
777,sich beeilen::V,торопиться,赶快
778,sausen::V,мчаться,疾驰
779,rennen::V,бегать,奔跑
780,springen::V,прыгать,跳
781,klettern::V,лазать,攀缘
782,schaukeln::V,раскачиваться,荡秋千
783,kriechen::V,ползать,爬行
784,schwimmen::V,плавать,游泳
785,tauchen::V,нырять,潜水
786,rudern::V,грести,划船
787,fahren::V,ехать,行驶
788,fliegen::V,летать,飞
789,gehen::V,идти,走
790,weggehen::V,уйти,离去
791,abfahren::V,отправиться,出发
792,anhalten::V,остановиться,停住
793,hineingehen::V,входить,进去
794,eintreten::V,войти,进入
795,kommen::V,прийти,来
796,ankommen::V,прибыть,到达
797,zurückkommen::V,возвратиться,回来
798,bleiben::V,остаться,停留
799,warten::V,ждать,等
800,erwarten::V,ожидать,等候
801,suchen::V,искать,找
802,finden::V,найти,找到
803,versuchen::V,пытаться,尝试
804,vorbereiten::V,подготовить,预备
805,lieben::V,любить,爱
806,mögen::V,любить,喜欢
807,lachen::V,смеяться,笑
808,rühren::V,растрогать,
809,weinen::V,плакать,哭
810,schimpfen::V,ругаться,骂
811,sich ärgern::V,сердиться,生气
812,sich fürchten::V,бояться,害怕
813,fürchten::V,бояться,害怕
814,fliehen::V,убегать,逃走
815,flüchten::V,убежать,逃跑
816,sehen::V,видеть,看
817,anschauen::V,посмотреть,注视
818,ansehen::V,смотреть,注视
819,hören::V,слышать,听
820,zuhören::V,слушать,倾听
821,probieren::V,пробовать,尝
822,riechen::V,нюхать,闻
823,fühlen::V,чувствовать,感到
824,scheinen::V,казаться,照耀
825,zu sehen sein::V,виднеться,可以看到
826,vernehmen::V,услышать,审讯
827,frieren::V,мерзнуть,觉得冷
828,tun::V,делать,作
829,können::V,мочь,能
830,können::V,уметь,能
831,wollen::V,хотеть,要
832,anfangen::V,начать,开始
833,beenden::V,закончить,结束
834,aufhören::V,перестать,停止
835,gelingen::V,удаться,成功
836,geraten::V,оказаться,陷于
837,öffnen::V,открыть,打开
838,schließen::V,закрыть,关
839,stellen::V,поставить,放
840,setzen::V,посадить,放
841,legen::V,класть,摆
842,berühren::V,трогать,触
843,verbinden::V,связать,联结
844,bedecken::V,покрыть,覆盖
845,aufhängen::V,повесить,挂
846,anzünden::V,зажечь,点
847,aufheben::V,поднять,拾起
848,zurücklassen::V,оставить,遗留
849,verlieren::V,потерять,丧失
850,fallen lassen::V,уронить,让掉下
851,machen::V,сделать,做
852,herstellen::V,изготовить,生产
853,bauen::V,строить,建造
854,reparieren::V,чинить,修理
855,verbessern::V,улучшить,改进
856,ändern::V,изменить,改变
857,graben::V,копать,挖
858,beugen::V,согнуть,弯下
859,biegen::V,погнуть,弯
860,drehen::V,вертеть,转动
861,wenden::V,повернуть,转动
862,umdrehen::V,перевернуть,转动
863,heben::V,поднимать,举起
864,hochheben::V,поднять,抬高
865,ergreifen::V,схватить,抓住
866,halten::V,держать,拿着
867,drücken::V,нажимать,压
868,schieben::V,толкать,推
