,Concept_ID,lez,et
606,leer::A,буш,tühi
607,leer::A,ичӏи,tühi
608,offen::A,ахъа,avatud
609,offen::A,ахъа,lahtine
610,geschlossen::A,кӏеви,suletud
611,sauber::A,михьи,puhas
612,schmutzig::A,чиркин,räpane
613,schmutzig::A,чиркин,määrdunud
614,schmutzig::A,кьацӏай,räpane
615,schmutzig::A,кьацӏай,määrdunud
616,roh::A,чиг,toores
617,roh::A,ицӏи,toores
618,reif::A,дигмиш хьайи,küps
619,lecker::A,дадлу,hõrk
620,lecker::A,дадлу,maitsev
621,süß::A,ширин,magus
622,bitter::A,туькьуьл,mõru
623,sauer::A,цуру,hapu
624,hell::A,экуь,hele
625,dunkel::A,мичӏи,pime
626,schwarz::A,чӏулав,must
627,weiß::A,лацу,valge
628,rot::A,яру,punane
629,gelb::A,хъипи,kollane
630,blau::A,вили,sinine
631,grün::A,къацу,roheline
632,grau::A,рехи,hall
633,bunt::A,цӏару,kirju
634,bunt::A,цӏару,värviline
635,bunt::A,яру-цӏару,kirju
636,bunt::A,яру-цӏару,värviline
637,billig::A,ужуз,odav
638,teuer::A,багьа,kallis
639,wertvoll::A,масан,väärtuslik
640,blind::A,буьркьуь,pime
641,taub::A,биши,kurt
642,kräftig::A,гужлу,jõuline
643,stark::A,къуватлу,tugev
644,schwach::A,такьатсуз,nõrk
645,schwach::A,такьатсуз,jõuetu
646,fett::A,куьк,rasvane
647,schlank::A,шумал,sale
648,hübsch::A,гуьрчег,kena
649,böse::A,пис,tige
650,dumm::A,ахмакь,juhm
651,dumm::A,ахмакь,rumal
652,faul::A,тенпел,laisk
653,fleißig::A,сяй ийидай,virk
654,fleißig::A,сяй ийидай,hoolas
655,fleißig::A,сяйи ийидай,virk
656,fleißig::A,сяйи ийидай,hoolas
657,geizig::A,мискьи,ihne
658,klug::A,акьуллу,tark
659,klug::A,акьуллу,arukas
660,klug::A,акьуллу,mõistlik
661,geschickt::A,магьир,osav
662,lieb::A,играми,armas
663,lustig::A,шад,lõbus
664,sanft::A,назик,õrn
665,sanft::A,милайим,õrn
666,hungrig::A,гишин,näljane
667,krank::A,кефсуз,haige
668,nackt::A,кьецӏил,alasti
669,traurig::A,пашман,kurb
670,lebendig::A,ччан алай,elus
671,gut::A,хъсан,hea
672,gut::A,вижевай,hea
673,schlecht::A,пис,halb
674,richtig::A,дуьз,õige
675,schlimm::A,нифретлу,paha
676,wahr::A,гьакъикъи,tõene
677,alt::A,эски,vana
678,alt::A,куьгьне,vana
679,neu::A,цӏийи,uus
680,ehemalig::A,виликан,endine
681,alt[Lebewesen]::A,кьуьзуь,vana
682,jung::A,жегьил,noor
683,arm::A,кесиб,vaene
684,reich::A,девлетлу,rikas
685,bekannt::A,чидай,teada
686,bekannt::A,чидай,tuttav
687,berühmt::A,машгьур,tuntud
688,fremd::A,ччара,võõras
689,verschieden::A,жуьреба-жуьре,erinev
690,nah::A,мукьвал,lähedane
691,fern::A,яргъал,kauge
692,linker::A,чапла,vasak
693,rechter::A,эрчӏи,parem
694,anderer::A,маса,muu
695,anderer::A,маса,teine
696,anderer::A,муькуь,muu
697,anderer::A,муькуь,teine
698,erster::A,сад лагьай,esimene
699,zweiter::A,кьвед лагьай,teine
700,dritter::A,пуд лагьай,kolmas
701,letzter::A,эхиримжи,viimane
702,allein::ADV,кьилди,üksi
703,zusammen::ADV,санал,koos
704,zusammen::ADV,санал,üheskoos
705,lange::ADV,яргъалди,kaua
706,plötzlich::ADV,садлагьана,äkki
707,plötzlich::ADV,садлагьана,järsku
708,sofort::ADV,гьасятда,kohe
709,später::ADV,гуьгъуьнлай,hiljem
710,jetzt::ADV,гила,nüüd
711,heute::ADV,къе,täna
712,morgen::ADV,пака,homme
713,bald::ADV,мукьва,pea
714,bald::ADV,мукьва,varsti
715,bald::ADV,мукьвара,pea
716,bald::ADV,мукьвара,varsti
717,dann::ADV,ахпа,siis
718,gestern::ADV,накь,eile
719,einst::ADV,садра,vanasti
720,damals::ADV,а чӏавуз,tookord
721,danach::ADV,ахпа,seejärel
722,vorher::ADV,вилик,enne
723,zuerst::ADV,сифте,enne
724,zuerst::ADV,сифте,esmalt
725,einmal::ADV,садра,kord
726,einmal::ADV,садра,üks kord
727,manchmal::ADV,гагь-гагь,mõnikord
728,oft::ADV,гзаф вахтара,tihti
729,oft::ADV,гзаф вахтара,sageli
730,immer::ADV,гьамиша,ikka
731,immer::ADV,гьамиша,alati
732,niemals::ADV,са чӏавузни,mitte kunagi
733,niemals::ADV,са вахтундани,mitte kunagi
734,hier::ADV,ина,siin
735,hierhin::ADV,иниз,siia
736,von hier::ADV,инай,siit
737,dort::ADV,ана,seal
738,dorthin::ADV,аниз,sinna
739,geradeaus::ADV,дуьз,otse edasi
740,vorwärts::ADV,вилик,edasi
741,vorwärts::ADV,виликди,edasi
742,rückwärts::ADV,кьулухъ,tagurpidi
743,unten::ADV,агъада,all
744,unten::ADV,агъада,allpool
745,hinab::ADV,агъуз,alla
746,oben::ADV,винел,ülal
747,hinauf::ADV,виниз,üles
748,überall::ADV,вирина,kõikjal
749,nicht::ADV,ваъ,ei
750,nicht::ADV,ваъ,mitte
751,ein wenig::ADV,са тӏимил,veidi
752,ein wenig::ADV,са тӏимил,natuke
753,kaum::ADV,жизви,vaevalt
754,sehr::ADV,лап,väga
755,so::ADV,икӏ,nii
756,noch::ADV,гьеле,veel
757,nur::ADV,анжах,ainult
758,schon::ADV,хъувуна,juba
759,schon::ADV,мадни дардиз,juba
760,schon::ADV,мадни гуьтӏуьз,juba
761,schon::ADV,мадни гуьтӏуь я,juba
762,vergebens::ADV,нагьакь,asjata
763,vergebens::ADV,нагьакьа,asjata
764,vor::PRP,вилик,ees
765,hinter::PRP,кьулухъ,taha
766,unter::PRP,кӏаник,all
767,durch::PRP,арадай,läbi
768,durch::PRP,арадай,kaudu
769,durch::PRP,-кай хкатна,läbi
770,durch::PRP,-кай хкатна,kaudu
771,neben::PRP,патав,kõrval
772,neben::PRP,мукьув,kõrval
773,zwischen::PRP,ара,vahel
774,zwischen::PRP,арада,vahel
775,wegen::PRP,гъиляй,tõttu
776,wegen::PRP,гъиляй,pärast
777,dies::PRN,и,see
778,dies::PRN,им,see
779,das::PRN,а,see
780,das::PRN,ам,see
781,alles::PRN,вири,kõik
782,alles::PRN,михьиз,kõik
783,ich::PRN,за,mina
784,ich::PRN,зун,mina
785,du::PRN,вун,sina
786,er::PRN,ам,tema
787,er::PRN,гьа,tema
788,wir::PRN,чун,me
789,ihr::PRN,куьн,te
790,sie::PRN,абур,nad
791,was::FPRN,вуч,mis
792,wer::FPRN,вуж,kes
793,wo::FADV,гьина,kus
794,wohin::FADV,гьиниз,kuhu
795,wie::FADV,гьикӏ,kuidas
796,warum::FADV,вучиз,miks
797,wieviel::FNUM,шумуд,mitu
798,wieviel::FNUM,шумуд,kui palju
799,eins::NUM,са,üks
800,zwei::NUM,кьвед,kaks
801,drei::NUM,пуд,kolm
802,vier::NUM,кьуд,neli
803,fünf::NUM,вад,viis
