,Concept_ID,br,da
142,Schwein::N,pemoc'h,gris
143,Hund::N,ki,hund
144,Katze::N,kazh,kat
145,Bär::N,arzh,bjørn
146,Eichhörnchen::N,gwiñver,egern
147,Elch::N,karv-dour,elg
148,Fuchs::N,louarn,ræv
149,Hase::N,gad,hare
150,Maus::N,logodenn,mus
151,Wolf::N,bleiz,ulv
152,Vogel::N,labous,fugl
153,Schwarm::N,nijad,sværm
154,Huhn::N,yar,høne
155,Hahn::N,kilhog,hane
156,Gans::N,gwazenn,gås
157,Adler::N,erer,ørn
158,Ente::N,houad,and
159,Eule::N,toud,ugle
160,Kranich::N,garan,trane
161,Krähe::N,bran,krage
162,Kuckuck::N,koukoug,gøg
163,Schwan::N,alarc'h,svane
164,Fisch::N,pesk,fisk
165,Barsch::N,brell,aborre
166,Hecht::N,beked,gedde
167,Schlange[Tier]::N,naer,slange
168,Wurm::N,preñv,orm
169,Spinne::N,kevnidenn,edderkop
170,Ameise::N,merion,myre
171,Laus::N,laouenn,lus
172,Mücke::N,moustik,myg
173,Fliege::N,kelienenn,flue
174,Schmetterling::N,balafenn,sommerfugl
175,Beere::N,hog,bær
176,Apfel::N,aval,æble
177,Pilz::N,kabell-touseg,svamp
178,Zwiebel::N,ognonenn,løg
179,Saat::N,had,sæd
180,Korn::N,ed,korn
181,Heu::N,foenn,hø
182,Schale::N,peliadur,skræl
183,Falle::N,pech,fælde
184,Schlinge::N,krouglas,snare
185,Asche::N,ludu,aske
186,Dreck::N,fank,snavs
187,Eisen::N,houarn,jern
188,Gold::N,aour,guld
189,Silber::N,arc'hant,sølv
190,Kohle::N,glaou,kul
191,Glas::N,gwer,glas
192,Sand::N,traezh,sand
193,Mensch::N,den,mennesge
194,Mann::N,den,mand
195,Frau::N,maouez,kvinde
196,Kind::N,bugel,barn
197,Junge::N,paotr,dreng
198,Mädchen::N,plac'h,pige
199,Familie::N,familh,familie
200,Großvater::N,tad-kozh,bedstefar
201,Großmutter::N,mamm-gozh,bedstemor
202,Eltern::N,kerent,forældre
203,Vater::N,tad,far
204,Mutter::N,mamm,mor
205,Sohn::N,mab,søn
206,Tochter::N,merc'h,datter
207,Bruder::N,breur,bror
208,Schwester::N,c'hoar,søster
209,Onkel::N,eontr,onkel
210,Tante::N,moereb,tante
211,Ehemann::N,gwaz,ægtemand
212,Ehefrau::N,gwreg,hustru
213,Freude::N,levenez,glæde
214,Gelächter::N,c'hoarzherezh,latter
215,Glück::N,chañs,lykke
216,Kummer::N,doan,sorg
217,Wunsch::N,c'hoant,ønske
218,Lust::N,c'hoant,lyst
219,Geist::N,spered,ånd
220,Gedanke::N,soñj,tanke
221,Gedächtnis::N,eñvor,hukommelse
222,Verstand::N,skiant,forstand
223,Sinn::N,ster,mening
224,Sinn::N,ster,betydning
225,Grund::N,kaoz,grund
226,Wahrheit::N,gwirionez,sandhed
227,Gespräch::N,kaozeadenn,samtale
228,Märchen::N,kaoz korriganez,eventyr
229,Erzählung::N,kontadenn,fortælling
230,Nachricht::N,keloù,efterretning
231,Neuigkeit::N,kelaouenn,nyhed
232,Name::N,anv,navn
233,Rätsel::N,divinatez,gåde
234,Rede::N,diskour,tale
235,Sprache::N,yezh,sprog
236,Stimme::N,mouezh,stemme
237,Wort::N,ger,ord
238,Zeichen::N,sin,tegn
239,Ruf::N,galv,råb
240,Lärm::N,trouz,larm
241,Ton::N,ton,tone
242,Lied::N,kanaouenn,sang
243,Ruhe::N,sioulded,ro
244,Ruhe::N,sioulded,hvile
245,Leute::N,tud,folk
246,Leute::N,tud,mennesker
247,Volk::N,pobl,folk
248,Arbeit::N,labour,arbejde
249,Gast::N,kouviad,gæst
250,Geschenk::N,prof,gave
251,Spiel::N,c'hoari,leg
252,Gesellschaft::N,kompagnunezh,selskab
253,Gesellschaft::N,kavandad,selskab
254,Hilfe::N,sikour,hjælp
255,Freund::N,mignon,ven
256,Kamerad::N,kamarad,kammerat
257,Angelegenheit::N,afer,sag
258,Angelegenheit::N,afer,anliggende
259,Anzahl::N,niver,antal
260,Art::N,sort,art
261,Stück::N,tamm,stykke
262,Teil::N,pezh,del
263,Hälfte::N,hanterenn,halvdel
264,Kreis::N,kelc'h,cirkel
265,Kreuz::N,kroaz,kors
266,Kreuz::N,kroaz,kryds
267,Linie::N,linenn,linie
268,Strich::N,tenn,streg
269,Abstand::N,distok,afstand
270,Entfernung::N,keid,afstand
271,Entfernung::N,kehid,afstand
272,Gegend::N,korn-bro,egn
273,Platz::N,plasenn,plads
274,Ort::N,lec'h,sted
275,Seite::N,tu,side
276,Mitte::N,kreiz,midte
277,Gegenstand::N,tra,genstand
278,Sache::N,tra,sag
279,Rand::N,kantenn,rand
280,Kante::N,kantenn,kant
281,Ecke::N,korn,hjørne
282,Spitze::N,begell,spids
283,Ende::N,dibenn,ende
284,Loch::N,toull,hul
285,Muster::N,tresadenn,mønster
286,Größe::N,ment,størrelse
287,Länge::N,hirder,længde
288,Höhe::N,uhelder,højde
289,Gewicht::N,pouez,vægt
290,Menge::N,bern,mængde
291,Haufen::N,bern,bunke
292,Reihe::N,steud,række
293,Boot::N,bag,båd
294,Ruder::N,roeñv,åre
295,Schlitten::N,trainell,kælk
296,Schlitten::N,trainell,slæde
297,Ski::N,ski,ski
298,Last::N,karg,last
299,Last::N,karg,byrde
300,Gang::N,kerzh,gang
301,Schritt::N,paz,skridt
302,Norden::N,norzh,nord
303,Norden::N,hanternoz,nord
304,Süden::N,su,syd
305,Süden::N,kreisteiz,syd
306,Westen::N,kuzh-heol,vest
307,Osten::N,reter,øst
308,Osten::N,sav-heol,øst
309,Holz::N,koad,træ
310,Brett::N,plankenn,bræt
311,Platte::N,plakenn,plade
312,Stütze::N,harp,støtte
313,Stange::N,sparl,stang
314,Stock::N,bazh,stok
315,Stab::N,bazh,stav
316,Rohr::N,tub,rør
317,Rohr::N,korz,rør
318,Haus::N,ti,hus
319,Heim::N,kêr,hjem
320,Ofen::N,forn,ovn
321,Fußboden::N,plañchod,gulv
322,Tisch::N,taol,bord
323,Stuhl::N,kador,stol
324,Wiege::N,kavell,vugge
325,Bett::N,gwele,seng
326,Regal::N,estajerenn,reol
327,Kiste::N,kased,kasse
328,Fenster::N,prenestr,vindue
329,Tür::N,dor,dør
330,Tor::N,portal,port
331,Zaun::N,sklotur,stakit
332,Dach::N,toenn,tag
333,Leiter::N,skeul,stige
334,Besen::N,skubell,kost
335,Spaten::N,pal,spade
336,Schaufel::N,pal,skovl
337,Gabel::N,fourchetez,gaffel
338,Löffel::N,loa,ske
339,Messer::N,kontell,kniv
340,Nagel::N,tach,søm
341,Netz::N,roued,net
342,Haken::N,krog,krog
343,Griff::N,kemer,tag
344,Griff::N,kemer,håndtag
345,Schloss::N,potenn,lås
346,Bild::N,skeudenn,billede
347,Figur::N,skeud,figur
348,Figur::N,figur,figur
349,Puppe::N,merc'hodenn,dukke
350,Beutel::N,sac'h,pose
351,Bündel::N,feskenn,bylt
352,Bündel::N,feskenn,bundt
353,Tasche::N,sac'h,taske
354,Eimer::N,sailh,spand
355,Deckel::N,pallenn,låg
356,Geschirr::N,listriaj,husgeråd
357,Sack::N,sac'h,sæk
358,Tasse::N,tas,kop
359,Topf::N,pod,gryde
360,Kessel::N,chaodouron,kedel
361,Essen::N,pred,måltid
362,Nahrung::N,boued,mad
363,Nahrung::N,boued,næring
364,Speise::N,meuz,ret
365,Fleisch::N,kig,kød
366,Getreide::N,ed,korn
367,Brei::N,yod,grød
368,Brot::N,bara,brød
369,Scheibe::N,tailhenn,skive
370,Fett::N,lard,fedt
371,Butter::N,amann,smør
372,Öl::N,eoul,olie
373,Salz::N,holen,salt
374,Suppe::N,soubenn,suppe
375,Honig::N,mel,honning
376,Milch::N,laezh,mælk
377,Tee::N,te,te
378,Leder::N,lêr,skind
379,Wolle::N,gloan,uld
380,Stoff::N,danvez,stof
381,Nadel::N,nadoz,nål
382,Faden::N,neudenn,tråd
383,Knopf::N,bouton,knap
384,Knoten::N,skoulm,knude
385,Farbe::N,liv,farve
386,Kleidung::N,dilhad,påklædning
387,Hemd::N,roc'hed,skjorte
388,Kragen::N,gouzoug,krave
389,Ärmel::N,milgin,ærme
390,Hose::N,bragoù,bukser
391,Gürtel::N,gouriz,bælte
392,Mütze::N,boned,hue
393,Schuh::N,botez,sko
394,Stiefel::N,botez,støvle
395,Ring::N,gwalenn,ring
396,Band::N,bagad,bånd
397,Kamm::N,krib,kam
398,Spiegel::N,melezour,spejl
399,Riemen::N,lerenn,rem
400,Schnur::N,kordenn,snor
401,Leine::N,roll,snor
402,Decke::N,golo,tæppe
403,Kissen::N,goubenner,pude
404,Tuch::N,mezher,sjaltørklæde
405,Handtuch::N,toailhon,håndklæde
406,Kraft::N,nerzh,kraft
407,Stärke::N,nerzhder,styrke
408,Gesundheit::N,yec'hed,sundhed
409,Krankheit::N,klañved,sygdom
410,Schmerz::N,poan,smerte
411,Schmerz::N,droug,smerte
412,Wunde::N,gloazadenn,sår
413,Fieber::N,terzhienn,feber
414,Arznei::N,louzoù,medicin
415,Arznei::N,louzoù,lægemiddel
416,Brücke::N,pont,bro
417,Brunnen::N,puñs,brønd
418,Weide::N,prad,græsgang
419,Pfad::N,gwenodenn,sti
420,Weg::N,hent,vej
421,Straße::N,ru,gade
422,Straße::N,hent,gade
423,Dorf::N,kêr,landsby
424,Dorf::N,kêriadenn,landsby
425,Stadt::N,kêr,by
426,Brief::N,lizher,brev
427,Buch::N,levr,bog
428,Buchstabe::N,lizherenn,bogstav
429,Zeitung::N,kazetenn,avis
430,Leben::N,buhez,liv
431,Tod::N,marv,død
432,Grab::N,bez,grav
433,Kirche::N,iliz,kirke
434,Sünde::N,pec'hed,synd
435,Gott::N,doue,gud
436,Arbeiter::N,labourer,arbejder
437,Arbeiter::N,micherour,arbejder
438,Chef::N,penn,chef
439,Meister::N,mestr,mester
440,Arzt::N,mezeg,læge
441,Arzt::N,medisin,læge
442,Lehrer::N,skolaer,lærer
443,Lehrer::N,kelenner,lærer
444,Geld::N,arc'hant,penge
445,Geschäft::N,stal,forretning
446,Laden::N,stal,butik
447,Laden::N,stal,forretning
448,Preis::N,priz,pris
449,Ware::N,marc'hadourezh,vare
450,Nutzen::N,gounidegezh,nytte
451,Nutzen::N,lañs,nytte
452,Nutzen::N,profit,nytte
453,Nutzen::N,spleit,nytte
454,Reichtum::N,pinvidigezh,rigdom
455,Welt::N,douar,verden
456,Land::N,bro,land
457,Staat::N,stad,stat
458,König::N,roue,konge
459,Macht::N,galloud,magt
460,Grenze::N,harzoù,grænse
461,Krieg::N,brezel,krig
462,Feind::N,eneber,fjende
463,Gewalt::N,tâerder,vold
464,Kampf::N,kann,kamp
465,Bogen[Waffe]::N,gwareg,bue
466,Pfeil::N,saezh,pil
467,Gewehr::N,fuzuilh,gevær
468,Fehler::N,fazi,fejl
469,Lüge::N,gaou,løgn
470,Schaden::N,gwall,skade
471,Unglück::N,gwalleur,uheld
472,Unglück::N,gwalleur,ulykke
473,Schuld::N,kablusted,skyld
474,Schuld::N,pec'hedigezh,skyld
475,Alter::N,oad,alder
476,Schluss::N,diwezh,slut
477,Schluss::N,diwezh,slutning
478,Zeit::N,amzer,tid
479,Tag::N,deizh,dag
480,Morgen::N,beure,morgen
481,Morgen::N,mintin,morgen
482,Mittag::N,kreisteiz,middag
483,Abend::N,abardaez,aften
484,Nacht::N,noz,nat
485,Woche::N,sizhun,uge
486,Monat::N,miz,måned
487,Jahr::N,bloaz,år
488,Frühling::N,nevezamzer,forår
489,Sommer::N,hañv,sommer
490,Herbst::N,diskaramzer,efterår
491,Winter::N,goañv,vinter
492,Januar::N,Genver,januar
493,Februar::N,C'hwevrer,februar
494,März::N,Meurzh,marts
495,April::N,Ebrel,april
496,Mai::N,Mae,maj
497,Juni::N,Mezheven,juni
498,Juli::N,Gouhere,juli
499,August::N,Eost,august
500,September::N,Gwengolo,september
501,Oktober::N,Here,oktober
502,November::N,Du,november
503,Dezember::N,Kerzu,december
504,Montag::N,Lun,mandag
505,Dienstag::N,Meurzh,tirsdag
506,Mittwoch::N,Merc'her,onsdag
507,Donnerstag::N,Yaou,torsdag
508,Freitag::N,Gwener,fredag
509,Samstag::N,Sadorn,lørdag
510,Sonntag::N,Sul,søndag
511,groß::A,bras,stor
512,klein::A,bihan,lille
513,lang::A,hir,lang
514,kurz::A,berr,kort
515,breit::A,ledan,bred
516,schmal::A,strizh,smal
517,dicht::A,stank,tæt
518,dick[Gegenstand]::A,tev,tyk
519,dünn::A,moan,tynd
520,fein::A,munut,fin
521,fest::A,start,fast
522,flach::A,plaen,flad
523,glatt::A,lintr,glat
524,glatt::A,levn,glat
525,hart::A,kalet,hård
526,weich::A,blot,blød
527,rund::A,ront,rund
528,spitz::A,poentet,spids
529,scharf::A,dremm,skarp
530,stumpf::A,talsoc'h,sløv
531,stumpf::A,talsoc'h,stump
532,schwer::A,pounner,tung
533,schön::A,kaer,skøn
534,heiß::A,tomm,hed
535,warm::A,tomm,varm
536,kalt::A,yen,kold
537,kühl::A,yen,kølig
538,frisch::A,fresk,frisk
539,feucht::A,gleb,fugtig
540,nass::A,gleb,våd
541,trocken::A,sec'h,tør
542,voll::A,leun,fuld
543,leer::A,goullo,tom
544,offen::A,digor,åben
545,geschlossen::A,serr,lukket
546,sauber::A,naet,ren
547,schmutzig::A,lous,snavset
548,roh::A,kriz,rå
549,reif::A,darev,moden
550,lecker::A,lipous,lækker
551,lecker::A,saourus,lækker
552,süß::A,dous,sød
553,bitter::A,c'hwerv,bitter
554,sauer::A,trenk,sur
555,hell::A,sklaer,lys
556,dunkel::A,teñval,mørk
557,schwarz::A,du,sort
558,weiß::A,gwenn,hvid
559,rot::A,ruz,rød
560,gelb::A,melen,gul
561,blau::A,glas,blå
562,grün::A,gwer,grøn
563,grau::A,louet,grå
564,bunt::A,liesliv,broget
565,billig::A,marc'had-mat,billig
566,teuer::A,ker,dyr
567,wertvoll::A,prizius,værdifuld
568,blind::A,dall,blind
569,taub::A,bouzar,døv
570,kräftig::A,start,kraftig
571,stark::A,kreñv,stærk
572,schwach::A,gwan,svag
573,fett::A,lard,fed
574,schlank::A,sinkl,slank
575,hübsch::A,koant,køn
576,böse::A,gwall,ond
577,böse::A,gwall,slem
578,dumm::A,glep,dum
579,faul::A,lezirek,doven
580,fleißig::A,studius,flittig
581,geizig::A,tost,gerrig
582,klug::A,speredek,klog
583,geschickt::A,dornet,dygtig
584,geschickt::A,dornet,behændig
585,lieb::A,koant,rar
586,lustig::A,laouen,lystig
587,sanft::A,flour,blid
588,hungrig::A,marnaon,sulten
589,krank::A,klañv,syg
590,nackt::A,noazh,nøgen
591,traurig::A,trist,bedrøvet
592,lebendig::A,bev,levende
593,gut::A,mad,god
594,schlecht::A,fall,dårlig
595,schlecht::A,gwall,dårlig
596,richtig::A,reizh,rigtig
597,schlimm::A,gwall,slem
598,wahr::A,gwir,sand
599,alt::A,kozh,gammel
600,neu::A,nevez,ny
601,ehemalig::A,kozh,forhenværende
602,alt[Lebewesen]::A,kozh,gammel
603,jung::A,yaouank,ung
604,arm::A,paour,fattig
605,reich::A,pinvidik,rig
606,bekannt::A,anavezet,kendt
607,berühmt::A,brudet,berømt
608,fremd::A,dizanav,fremmed
609,verschieden::A,disheñel,forskellig
610,nah::A,nes,nær
611,fern::A,diabell,fjern
612,linker::A,kleiz,venstre
613,rechter::A,dehoù,højre
614,anderer::A,all,anden
615,erster::A,kentañ,første
616,zweiter::A,eil,anden
617,dritter::A,trede,tredje
618,letzter::A,diwezhañ,sidste
619,allein::ADV,e-unan,alene
620,auf einmal::ADV,ar un dro,på én gang
621,zusammen::ADV,asambles,sammen
622,lange::ADV,pell,længe
623,plötzlich::ADV,en un taol,pludselig
624,sofort::ADV,diouzhtu,straks
625,später::ADV,diwezhatoc'h,senere
626,jetzt::ADV,bremañ,nu
627,heute::ADV,hiziv,i dag
628,morgen::ADV,arc'hoazh,i morgen
629,bald::ADV,hepdale,snart
630,dann::ADV,a-c'houde,så
631,gestern::ADV,dec'h,i går
632,einst::ADV,gwechall,engang
633,damals::ADV,neuze,dengang
634,danach::ADV,goude,derefter
635,vorher::ADV,diagent,før
636,vorher::ADV,diagent,forud
637,zuerst::ADV,da gentañ,først
638,einmal::ADV,ur wech,en gang
639,manchmal::ADV,a-wechoù,sommetider
640,oft::ADV,alies,ofte
641,immer::ADV,atav,altid
642,immer::ADV,bepred,altid
643,niemals::ADV,gwech ebet,aldrig
644,hier::ADV,amañ,her
645,hierhin::ADV,dre amañ,hid
646,hierhin::ADV,dre amañ,herhen
647,von hier::ADV,alemañ,herfra
648,dort::ADV,aze,der
649,dort::ADV,ahont,der
650,dorthin::ADV,di,derhen
651,dorthin::ADV,aze,derhen
652,dorthin::ADV,ahont,derhen
653,geradeaus::ADV,war-eeun,lige ud
654,vorwärts::ADV,war-raok,fremad
655,rückwärts::ADV,war-lerc'h,baglæns
656,zurück::ADV,war-dreñv,tilbage
657,unten::ADV,en traoñ,nede
658,unten::ADV,en traoñ,forneden
659,hinab::ADV,a-izel,ned
660,hinab::ADV,a-izel,nedad
661,oben::ADV,en nec'h,oppe
662,oben::ADV,en nec'h,ovenpå
663,hinauf::ADV,e-krec'h,op
664,hinauf::ADV,e-krec'h,opad
665,überall::ADV,dre-holl,overalt
666,nicht::ADV,ne ... ket,ikke
667,ein wenig::ADV,un tammig,lidt
668,kaum::ADV,a-boan,knap
669,kaum::ADV,a-boan,næppe
670,sehr::ADV,-tre,meget
671,sehr::ADV,-kenañ,meget
672,so::ADV,evel-se,så
673,noch::ADV,c'hoazh,endnu
674,nur::ADV,hepken,kun
675,nur::ADV,hepken,bare
676,schon::ADV,dija,alt
677,schon::ADV,dija,allerede
678,wieder::ADV,adarre,igen
679,vor::PRP,dirak,foran
680,vor::PRP,dirak,uden for
681,hinter::PRP,a-drek,bag
682,hinter::PRP,a-drek,bagved
683,hinter::PRP,a-dreñv,bag
684,hinter::PRP,a-dreñv,bagved
685,unter::PRP,dindan,under
686,durch::PRP,dre,gennem
687,durch::PRP,dre,igennem
688,neben::PRP,e-kichen,ved siden af
689,zwischen::PRP,etre,mellem
690,wegen::PRP,abalamour da,på grund af
691,dies::PRN,hemañ,dette
692,das::PRN,se,det
693,das::PRN,hennezh,det
694,alles::PRN,pep tra,alt
695,ich::PRN,me,jeg
696,du::PRN,te,du
697,er::PRN,eñ,han
698,wir::PRN,ni,vi
699,ihr::PRN,c'hwi,I
700,sie::PRN,int,de
701,was::FPRN,petra,hvad
702,wer::FPRN,piv,hvem
703,wo::FADV,pelec'h,hvor
704,wohin::FADV,da belec'h,hvorhen
705,wie::FADV,penaos,hvordan
706,warum::FADV,perak,hvorfor
707,wieviel::FNUM,pet,hvor meget
708,eins::NUM,unan,én
709,zwei::NUM,daou,to
710,drei::NUM,tri,tre
711,vier::NUM,pevar,fire
712,fünf::NUM,pemp,fem
713,sechs::NUM,c'hwec'h,seks
714,sieben::NUM,seizh,syv
715,acht::NUM,eizh,otte
716,neun::NUM,nav,ni
717,zehn::NUM,dek,ti
718,elf::NUM,unnek,elleve
719,zwölf::NUM,daouzek,tolv
720,zwanzig::NUM,ugent,tyve
721,dreißig::NUM,tregont,tredive
722,vierzig::NUM,daou-ugent,fyrre
723,vierzig::NUM,daou-ugent,fyrretyve
724,fünfzig::NUM,hanter-kant,halvtreds
725,sechzig::NUM,tri-ugent,tres
726,siebzig::NUM,dek ha tri-ugent,halvfjerds
727,achtzig::NUM,pevar-ugent,firs
728,neunzig::NUM,dek ha pevar-ugent,halvfems
729,hundert::NUM,kant,hundrede
730,tausend::NUM,mil,tusind
731,und::CNJ,ha,og
732,oder::CNJ,pe,eller
733,stehen::V,bezañ a-sav,stå
734,sitzen::V,azezañ,sidde
735,sitzen::V,bezañ en e goazez,sidde
736,liegen::V,bezañ en e c'hourvez,ligge
737,hängen::V,krougañ,hænge
738,werden::V,dazonet,blive
739,passieren::V,c'hoarvezout,ske
740,passieren::V,c'hoarvezout,hænde
741,beginnen::V,stagañ,begynde
742,enden::V,achuiñ,ende
743,wechseln::V,cheñch,veksle
744,aufgehen[Sonne]::V,dirouzañ,gå op
745,aufgehen[Sonne]::V,dirouzañ,stå op
746,scheinen[Sonne]::V,lugernañ,skinne
747,donnern::V,taranal,tordne
748,wehen::V,c'hwezhañ,blæse
749,strömen::V,deredek,strømme
750,fließen::V,redek,flyde
751,sich drehen::V,troiñ,dreje sig
752,schwanken::V,trantellat,vakle
753,schwingen::V,froumal,svinge
754,fallen::V,kouezhañ,falde
755,brennen::V,deviñ,brænde
756,rauchen::V,divogedañ,ryge
757,regnen::V,glavañ,regne
758,gefrieren::V,reviñ,fryse
759,tauen::V,diskornañ,tø
760,schmelzen::V,teuziñ,smelte
761,trocknen::V,sec'hañ,tørre
762,sieden::V,berviñ,koge
763,faulen::V,breinañ,rådne
764,verfaulen::V,breinañ,rådne
765,reißen::V,darnaouiñ,briste
766,versinken::V,sodellañ,synke
767,versinken::V,sodellañ,synke ned
768,vergehen::V,tremen,forløbe
769,erscheinen::V,donet war-wel,vise sig
770,verschwinden::V,monet diwar wel,forsvinde
771,sinken::V,en em izelat,synke
772,abnehmen::V,nebeutaat,aftage
773,zunehmen::V,kreskiñ,tiltage
774,steigen::V,sevel,stige
775,wachsen::V,kreskiñ,gro
776,wachsen::V,kreskiñ,vokse
777,glänzen::V,lugernañ,glinse
778,funkeln::V,elieniñ,tindre
779,lärmen::V,rabotat,larme
780,klirren::V,diridignat,klirre
781,klirren::V,sterlinkañ,klirre
782,brausen::V,gwegal,bruse
783,rauschen::V,trouzal,suse
784,klingen::V,seniñ,lyde
785,klingen::V,seniñ,klinge
786,bellen::V,harzhal,gø
787,heulen::V,yudal,hyle
788,blasen::V,c'hwezhañ,blæse
789,pfeifen::V,c'hwitellat,fløjte
790,schreien::V,huchal,skrige
791,stöhnen::V,hirvoudiñ,stønne
792,zittern::V,krenañ,dirre
793,zittern::V,krenañ,skælve
794,leben::V,bevañ,leve
795,geboren werden::V,genel,fødes
796,atmen::V,tennañ e anal,ånde
797,trinken::V,evañ,drikke
798,essen::V,debriñ,spise
799,schlucken::V,lonkañ,synke
800,müde werden::V,skuizhañ,blive træt
801,einschlafen::V,menel kousket,falde i søvn
802,schlafen::V,kousket,sove
803,aufwachen::V,dihuniñ,vågne
804,aufstehen::V,sevel,stå op
805,sich erholen::V,diskuizhañ,komme sig
806,krank werden::V,klañviñ,blive syg
807,krank sein::V,bezañ klañv,være syg
808,schmerzen::V,skourjezañ,smerte
809,husten::V,pasaat,hoste
810,husten::V,peudal,hoste
811,genesen::V,pareañ,komme sig
812,sterben::V,mervel,dø
813,umkommen::V,perisañ,omkomme
814,sich bewegen::V,bouljal,bevæge sig
815,sich rühren::V,fiñval,røre på sig
816,sich erheben::V,sevel,rejse sig
817,sich setzen::V,azezañ,sætte sig
818,sich setzen::V,mont en e goazez,sætte sig
819,hinfallen::V,kouezhañ,
820,laufen::V,redek,løbe
821,schreiten::V,kerzhet,skride
822,spazierengehen::V,pourmen,gå en tur
