,Concept_ID,he,te
72,Schatten::N,צל,నీడ
73,Wetter::N,מזג אויר,వాతావరణ స్థితి
74,Nebel::N,ערפל,పొగమంచు
75,Wolke::N,ענן,మేఘము
76,Regen::N,גשם,వాన
77,Schnee::N,שלג,హిమము
78,Eis::N,קרח,మంచుగడ్డ
79,Frost::N,צנה,పేరిన మంచు
80,Kälte::N,קר,చలి
81,Hitze::N,חם,వేడిమి
82,Raureif::N,כפור,మంచు
83,Regenbogen::N,קשת,ఇంద్రధనుస్సు
84,Donner::N,רעם,ఉరుము
85,Strömung::N,זרימה,ప్రవాహము
86,Tropfen::N,טפה,చుక్క
87,Schaum::N,קצף,నురుగు
88,Schmutz::N,לכלוך,మైల
89,See::N,אגם,సరస్సు
90,Sumpf::N,בצה,చిత్తడినేల
91,Moor::N,בצה,చిత్తడినేల
92,Wiese::N,מרעה,పచ్చిక బయలు
93,Wald::N,יער,అడవి
94,Hügel::N,תל,చివ్నకొండ
95,Anhöhe::N,מעלה,కొండ
96,Berg::N,הר,పర్వతము
97,Gipfel::N,פסגה,శిఖరము
98,Höhle::N,מערה,గుహ
99,Abhang::N,מדרון,ఏటవాలు
100,Abhang::N,שפוע,ఏటవాలు
101,Quelle::N,מעין,మూలము
102,Bach::N,נחל,కాలువ
103,Fluss::N,נהר,నది
104,Ufer::N,גדה,తీరము
105,Küste::N,חוף,తీరము
106,Festland::N,יבשה,భూమి
107,Meer::N,ים,సముద్రము
108,Bucht::N,מפרץ,మరుగు
109,Insel::N,אי,దీవి
110,Blume::N,פרח,పుష్పము
111,Gras::N,דשא,పచ్చగడ్డి
112,Wurzel::N,שרש,వేరు
113,Baum::N,עץ,చెట్టు
114,Stamm::N,גזע,చెట్టుబోదె
115,Rinde::N,קלפת עץ,చెట్టుపట్ట
116,Ast::N,ענף,కొమ్మ
117,Zweig::N,ענף,చివుకు
118,Blatt::N,עלה,ఆకు
119,Birke::N,שדר,తరహా చెట్టు
120,Kiefer[Baum]::N,ארן,దేవదారు చెట్టు
121,Weide[Baum]::N,ערבה,జాతిచెట్టు
122,Tanne::N,אשוח,దేవదారుచెట్టు
123,Horn::N,קרן,కొమ్ము
124,Feder::N,נוצה,ఈక
125,Fell::N,פרוה,తోలు
126,Flügel::N,כנף,ఱెక్క
127,Klaue::N,טלף,వంకరగోరు
128,Kralle::N,טפר,వంకరగోరు
129,Schwanz::N,זנב,తోక
130,Ei::N,ביצה,గ్రుడ్డు
131,Nest::N,קן,పక్షిగూడు
132,Bau::N,מחלה,గుహ
133,Tier::N,חיה,జంతువు
134,Herde::N,עדר,మంద
135,Kuh::N,פרה,ఆవు
136,Bulle::N,פר,గిత్త
137,Pferd::N,סוס,గుఱ్ఱము
138,Schaf::N,כבשה,గొఱ్ఱె
139,Schwein::N,חזיר,పంది
140,Hund::N,כלב,కుక్క
141,Katze::N,חתול,పిల్లి
142,Bär::N,דב,ఎలుగుబంటి
143,Eichhörnchen::N,סנאי,ఉడుత
144,Elch::N,דישון,కణంజు
145,Fuchs::N,שועל,గుంటనక్క
146,Hase::N,ארנב,కుందేలు
147,Maus::N,עכבר,చిట్టెలుక
148,Wolf::N,זאב,తోడేలు
149,Vogel::N,צפור,పక్షి
150,Schwarm::N,נחיל,గుంపు
151,Schwarm::N,להקה,గుంపు
152,Huhn::N,תרנגלת,కోడిపిల్ల
153,Hahn::N,תרנגול,కోడివుంజు
154,Gans::N,אוז,ఆడుబాతు
155,Adler::N,עיט,గ్రద్ద
156,Ente::N,ברוז,పాట్టిబాతు
157,Eule::N,ינשוף,గ్రుడ్లగూబ
158,Kranich::N,עגור,కొంగ
159,Kranich::N,כרוכיה,కొంగ
160,Krähe::N,עורב,కాకి
161,Kuckuck::N,קוקיה,కోయల
162,Schwan::N,ברבור,హంస
163,Fisch::N,דג,చేప
164,Barsch::N,אוקונוס,ఒకచేఁప
165,Hecht::N,זאב הים,గండుమీను
166,Schlange[Tier]::N,נחש,పాము
167,Wurm::N,תולעת,పురుగు
168,Spinne::N,עכביש,సాలె పురుగు
169,Ameise::N,נמלה,చీమ
170,Laus::N,כנה,పేను
171,Mücke::N,יתוש,చీకటీగ
172,Fliege::N,זבוב,ఈగ
173,Schmetterling::N,פרפר,సీతాకోకచిలుక
174,Beere::N,ענבה,కాయ
175,Apfel::N,תפוח,ఆపిల్ పండు
176,Pilz::N,פטריה,కుక్కగొడుగు
177,Zwiebel::N,בצל,నీరుల్లి
178,Saat::N,זרעים,విత్తనము
179,Korn::N,גרעין,గింజ
180,Heu::N,חציר,ఎండుగడ్డి
181,Schale::N,קלפה,పొట్టు
182,Grube::N,בור,గొయ్యి
183,Grube::N,שוחה,గొయ్యి
184,Falle::N,מלכדת,బోను
185,Schlinge::N,לולאה,ఉరి
186,Spur::N,עקבה,జాడ
187,Asche::N,אפר,బూడిద
188,Dreck::N,זהמה,ముఱికి
189,Eisen::N,ברזל,ఇనుము
190,Gold::N,זהב,బంగారము
191,Silber::N,כסף,వెండి
192,Kohle::N,פחם,నేలబొగ్గు
193,Glas::N,זכוכית,గాజు
194,Lehm::N,חרסית,బంకమన్ను
195,Sand::N,חול,ఇసుక
196,Mensch::N,אדם,నరుడు
197,Mann::N,איש,పురుమడు
198,Mann::N,גבר,పురుమడు
199,Frau::N,אשה,ఆడుది
200,Frau::N,גברת,ఆడుది
201,Kind::N,ילד,బిడ్డ
202,Junge::N,ילד,బాలుడు
203,Mädchen::N,נערה,బాలిక
204,Familie::N,משפחה,కుటుంబము
205,Großvater::N,סבא,తాత
206,Großmutter::N,סבתא,అయ్యమ్మ
207,Eltern::N,הורים,తల్లితండ్రులు
208,Vater::N,אב,తండ్రి
209,Mutter::N,אם,తల్లి
210,Sohn::N,בן,కొడుకు
211,Tochter::N,בת,కూతురు
212,Bruder::N,אח,పోదరుడు
213,Schwester::N,אחות,సోదరి
214,Onkel::N,דוד,మేనమామ
215,Tante::N,דודה,మేనత్త
216,Tante::N,דודה,పినతల్లి
217,Ehemann::N,איש,భర్త
218,Ehemann::N,בעל,భర్త
219,Ehefrau::N,אשה,భార్య
220,Freude::N,שמחה,సంతోషము
221,Gelächter::N,צחוק,నవ్వు
222,Glück::N,אשר,సంతోషము
223,Kummer::N,יגון,దుఃఖము
224,Kummer::N,עגמה,దుఃఖము
225,Wunsch::N,אחול,కోరిక
226,Wunsch::N,משאלה,కోరిక
227,Lust::N,חשק,కోరిక
228,Lust::N,תשוקה,కోరిక
229,Geist::N,רוח,ఆత్మ
230,Gedanke::N,מחשבה,ఆలోచన
231,Gedächtnis::N,זכרון,జ్ఞాపకము
232,Verstand::N,שכל,మనస్సు
233,Sinn::N,מובן,అర్థము
234,Sinn::N,משמעות,అర్థము
235,Grund::N,סבה,కారణము
236,Wahrheit::N,אמת,సత్యము
237,Gespräch::N,דיון,పంభాషణ
238,Märchen::N,אגדה,అద్భుతకథ
239,Erzählung::N,ספור,కథ
240,Nachricht::N,ידיעה,వార్త
241,Neuigkeit::N,חדשה,వార్త
242,Name::N,שם,పేరు
243,Rätsel::N,תעלומה,చిక్కు
244,Rede::N,נאום,ఉపన్యాసము
245,Sprache::N,לשון,భాష
246,Stimme::N,קול,కంరథ్సని
247,Wort::N,מלה,మాట
248,Zeichen::N,סימן,గుర్తు
249,Ruf::N,קריאה,పిలువు
250,Lärm::N,רעש,సందడి
251,Laut::N,הגה,ధ్వని
252,Ton::N,צליל,స్వరము
253,Lied::N,שיר,పాట
254,Ruhe::N,שלוה,గాలిలేమి
255,Leute::N,אנשים,జనులు
256,Volk::N,עם,జాతి
257,Arbeit::N,עבודה,పని
258,Gast::N,אורח,అతిధి
259,Geschenk::N,מתנה,దానము
260,Spiel::N,משחק,ఆట
261,Gesellschaft::N,חברה,జట్టు
262,Hilfe::N,עזרה,సాహాయ్యము
263,Freund::N,חבר,స్నేహితుడు
264,Freund::N,ידיד,స్నేహితుడు
265,Kamerad::N,רע,చెలికాడు
266,Angelegenheit::N,ענין,విషయము
267,Anzahl::N,מספר,లెక్క
268,Art::N,סוג,జాతి
269,Stück::N,חתיכה,తునుక
270,Teil::N,פרק,భాగము
271,Hälfte::N,חצי,సగము
272,Kreis::N,מעגל,వృత్తము
273,Kreuz::N,צלב,సిలువ
274,Linie::N,קו,గీత
275,Strich::N,קו קצר,గీత
276,Abstand::N,מרחק,సందు
277,Entfernung::N,מרחק,దూరము
278,Gegend::N,נוף,విస్తీర్ణము
279,Platz::N,שטח,ఎడము
280,Ort::N,אתר,స్థలము
281,Ort::N,מקום,స్థలము
282,Seite::N,צד,ప్రక్క
283,Mitte::N,אמצע,నడిమి
284,Gegenstand::N,אוביקט,పద్దు
285,Sache::N,דבר,వస్తువు
286,Rand::N,פרור,అంచు
287,Kante::N,קצה,అంచు
288,Ecke::N,פנה,మూల
289,Spitze::N,קצה,మొన
290,Ende::N,סוף,కొన
291,Loch::N,חר,రంధ్రము
292,Winkel::N,פנה,కోణము
293,Muster::N,תבנית,మాదిరి
294,Größe::N,גדל,పరిమాణము
295,Länge::N,ארך,పొడుగు
296,Höhe::N,קומה,పొడుగు
297,Höhe::N,גבה,పొడుగు
298,Gewicht::N,משקל,భారము
299,Menge::N,כמות,మొత్తము
300,Haufen::N,ערמה,రాశి
301,Reihe::N,רצף,వరుస
302,Boot::N,סירה,పడవ
303,Ruder::N,משוט,అడక
304,Schlitten::N,מזחלת,సరవండ్లు
305,Ski::N,מגלשים,స్కీ
306,Lagerfeuer::N,מדורה,నెగడు
307,Last::N,משא,బరువు
308,Gang::N,הליכה,నడక
309,Schritt::N,צעד,అడుగు
310,Norden::N,צפון,ఉత్తరదిక్కు
311,Süden::N,דרום,దక్షిణము
312,Westen::N,מערב,పడమర
313,Osten::N,מזרח,తూర్పు
314,Holz::N,עץ,కొయ్య
315,Brett::N,קרש,పలక
316,Platte::N,לוח,పలక
317,Stütze::N,משען,వాల్సేడ్లు
318,Stange::N,מוט,స్తంభము
319,Stock::N,מקל,కఱ్ఱ
320,Stab::N,מוט,కఱ్ఱ
321,Rohr::N,צנור,గొట్టము
322,Haus::N,בית,ఇల్లు
323,Heim::N,בית,స్వగృహము
324,Ofen::N,תנור,పొయ్యి
325,Fußboden::N,רצפה,నేల
326,Tisch::N,שלחן,మేజా
327,Stuhl::N,כסא,కుర్చీ
328,Wiege::N,ערש,ఉయ్యాల
329,Bett::N,מטה,పడక
330,Bett::N,מטה,మంచం
331,Regal::N,מדף,అటక
332,Kiste::N,תבה,వెట్టె
333,Kiste::N,ארגז,వెట్టె
334,Fenster::N,חלון,కిటికి
335,Tür::N,דלת,ద్వారము
336,Tor::N,שער,ద్వారము
337,Zaun::N,גדר,కంచె
338,Dach::N,גג,ఇంటివైకప్పు
339,Leiter::N,סלם,నిచ్చెన
340,Besen::N,מטאטא,చీపురుకట్ట
341,Spaten::N,את,పాఱ
342,Schaufel::N,את,పాఱ
343,Gabel::N,מזלג,ముండ్లగరిటె
344,Löffel::N,כף,గరిటె
345,Messer::N,סכין,కత్తి
346,Nagel::N,מסמר,మేకు
347,Netz::N,רשת,వల
348,Haken::N,וו,కొక్కెము
349,Haken::N,קרס,కొక్కెము
350,Griff::N,ידית,పిడి
351,Schloss::N,מנעול,తాళము
352,Bild::N,תמונה,చిత్రము
353,Figur::N,פסל,రూపము
354,Puppe::N,בבה,బొమ్మ
355,Beutel::N,שק,సంచి
356,Bündel::N,צרור,మూట
357,Tasche::N,שקית,సంచి
358,Eimer::N,דלי,చేద
359,Deckel::N,מכסה,మూత
360,Geschirr::N,כלים,వంటకాలు
361,Sack::N,שק,గోనెసంచి
362,Tasse::N,ספל,గిన్నె
363,Topf::N,סיר,కుండ
364,Kessel::N,קנקן,నీరుకాచుపాత్ర
365,Essen::N,אכל,ఆహారము
366,Essen::N,ארוחה,ఆహారము
367,Nahrung::N,הזנה,ఆహారము
368,Nahrung::N,תזונה,ఆహారము
369,Speise::N,מאכל,ఆహారము
370,Speise::N,ארוחה,ఆహారము
371,Fleisch::N,בשר,మాంసము
372,Getreide::N,דגן,ధాన్యము
373,Brei::N,מחית,గుజ్జు
374,Brot::N,לחם,రొట్టె
375,Scheibe::N,עגול,బద్ద
376,Scheibe::N,פרוסה,బద్ద
377,Fett::N,שמן,క్రొవ్వు
378,Butter::N,חמאה,వెన్న
379,Öl::N,שמן,నూనె
380,Salz::N,מלח,ఉప్పు
381,Suppe::N,מרק,చారు
382,Honig::N,דבש,తెనె
383,Milch::N,חלב,పాలు
384,Tee::N,תה,తేనీరు
385,Leder::N,עור,బాగుచేసివతోలు
386,Wolle::N,צמר,ఉన్ని
387,Stoff::N,בד,బట్ట
388,Stoff::N,אריג,బట్ట
389,Nadel::N,מחט,సూది
390,Faden::N,חוט,దారము
391,Knopf::N,כפתור,బొత్తాము
392,Knoten::N,קשר,ముడి
393,Farbe::N,צבע,రంగు
394,Kleidung::N,בגדים,బట్టలు
395,Hemd::N,חלצה,చొక్కాయ
396,Kragen::N,צוארון,మాల
397,Ärmel::N,שרוול,చొక్కాయచెయ్యి
398,Hose::N,מכנסים,ఇజారు
399,Gürtel::N,חגורה,పటకా
400,Mütze::N,כובע,టోపి
401,Schuh::N,נעל,పాదరక్ష
402,Stiefel::N,מגף,బూటు
403,Ring::N,טבעת,ఉంగరము
404,Band::N,סרט,నాడా
405,Kamm::N,מסרק,దువ్వెన
406,Spiegel::N,מראה,అద్దము
407,Riemen::N,רצועה,వాడా
408,Schnur::N,חבל,దారము
409,Leine::N,מושכות,వారు
410,Decke::N,שמיכה,కంబళి
411,Kissen::N,כרית,తలగడ
412,Tuch::N,צעיף,బట్ట
413,Handtuch::N,מגבת,తువాలు
414,Kraft::N,כוח,బలము
415,Stärke::N,און,శక్తి
416,Gesundheit::N,בריאות,ఆరోగ్యము
417,Krankheit::N,מחלה,రోగము
418,Schmerz::N,כאב,నొప్పి
419,Wunde::N,פציעה,గాయము
420,Fieber::N,חם,జ్వరము
421,Arznei::N,תרופה,మందు
422,Brücke::N,גשר,వంతెన
423,Brunnen::N,באר,బావి
424,Brunnen::N,באר,కూపము
425,Brunnen::N,באר,నుయ్యి
426,Weide::N,אחו,పచ్చికబయలు
427,Weide::N,מרעה,పచ్చికబయలు
428,Pfad::N,שביל,కాలిత్రోవ
429,Pfad::N,מדרכה,కాలిత్రోవ
430,Weg::N,דרך,మార్గము
431,Straße::N,כביש,బాట
432,Dorf::N,כפר,గ్రామము
433,Stadt::N,עיר,పట్టణము
434,Brief::N,מכתב,జాబు
435,Buch::N,ספר,పుస్తకము
436,Buchstabe::N,אות,అక్షరము
437,Zeitung::N,עתון,వార్తాపత్రిక
438,Leben::N,חיים,ప్రాణము
439,Tod::N,מות,మరణము
440,Grab::N,קבר,సమాధి
441,Kirche::N,כנסיה,క్రెస్తవులగుడి
442,Sünde::N,חטא,పాపము
443,Gott::N,אל,దేవుడు
444,Arbeiter::N,פועל,పనిపాటుచేశేవాడు
445,Chef::N,ראש,యజమానుడు
446,Chef::N,מנהל,యజమానుడు
447,Meister::N,ממחה,కళాకారుడు
448,Arzt::N,רופא,వైద్యుడు
449,Lehrer::N,מורה,ఉపాధ్యాయుడు
450,Geld::N,כסף,ద్రవ్యము
451,Geschäft::N,עסקה,వ్యాపారము
452,Laden::N,חנות,అంగడి
453,Preis::N,מחיר,వెల
454,Ware::N,סחורה,సరకులు
455,Nutzen::N,תועלת,ప్రయోజనము
456,Reichtum::N,עשר,ధనము
457,Welt::N,עולם,ప్రపంచము
458,Land::N,ארץ,దేశము
459,Staat::N,מדינה,రాజ్యము
460,König::N,מלך,రాజు
461,Macht::N,כוח,అధికారము
462,Grenze::N,גבול,సరిహద్దు
463,Krieg::N,מלחמה,యుద్ధము
464,Feind::N,אויב,శత్రువు
465,Gewalt::N,אלימות,దౌర్జన్యము
466,Kampf::N,קרב,పోట్లాట
467,Kampf::N,לחימה,పోట్లాట
468,Bogen[Waffe]::N,קשת,విల్లు
469,Pfeil::N,חץ,బాణము
470,Gewehr::N,רובה,తుపాకి
471,Fehler::N,טעות,తప్ప
472,Lüge::N,שקר,అసత్యము
473,Schaden::N,נזק,నష్టము
474,Unglück::N,מזל רע,దురదృష్టము
475,Schuld::N,אשמה,తప్పు
476,Alter::N,גיל,వయస్సు
477,Schluss::N,סיום,ముగింపు
478,Zeit::N,זמן,కాలము
479,Tag::N,יום,దినము
480,Morgen::N,בקר,ఉదయము
481,Mittag::N,צהרים,మధ్యాహ్నము
482,Abend::N,ערב,సాయంకాలము
483,Nacht::N,לילה,రత్రి
484,Woche::N,שבוע,వారము
485,Monat::N,חדש,నెల
486,Jahr::N,שנה,సంవత్సరము
487,Frühling::N,אביב,వసంతకాలము
488,Sommer::N,קיץ,వేసవికాము
489,Herbst::N,סתו,ఆకురాలుకాలము
490,Winter::N,חרף,శీతకాలము
491,Januar::N,ינואר,జనవరి
492,Februar::N,פברואר,ఫిబ్రవరి
493,März::N,מרץ,మార్చి
494,April::N,אפריל,ఏప్రిలు
495,Mai::N,מאי,మే
496,Juni::N,יוני,జూన్
497,Juli::N,יולי,జూలై
498,August::N,אוגוסט,ఆగస్టు
499,September::N,ספטמבר,సెప్ఠెంబరు
500,Oktober::N,אוקטובר,అక్టోబరు
501,November::N,נובמבר,నవంబరు
502,Dezember::N,דצמבר,డిసెంబర్
503,Montag::N,יום שני,సోమవారము
504,Dienstag::N,יום שלישי,మంగళవారము
505,Mittwoch::N,יום רביעי,బుధవారము
506,Donnerstag::N,יום חמישי,గురువారము
507,Freitag::N,יום ששי,శుక్రవారము
508,Samstag::N,יום שבת,శనివారము
509,Sonntag::N,יום ראשון,ఆదివారము
510,groß::A,גדול,గొప్పైన
511,klein::A,קטן,చిన్న
512,lang::A,ארך,పొడుగాటి
513,kurz::A,קצר,పొట్టి
514,breit::A,רחב,వెడల్పైన
515,schmal::A,צר,ఇఱుకైన
516,dicht::A,צפוף,దట్టమైన
517,dick[Gegenstand]::A,עבה,దట్టమైన
518,dünn::A,דק,పలుచని
519,fein::A,מעדן,నాజాకైన
520,fest::A,מוצק,దృడమైవ
521,flach::A,שטוח,చదువైన
522,glatt::A,חלק,నున్నని
523,hart::A,קשיח,కఠినమైన
524,weich::A,רך,మృదువైన
525,rund::A,עגל,గుండ్రని
526,spitz::A,חד,మొనగల
527,scharf::A,חד,పదనైన
528,stumpf::A,קהה,వాడిలేని
529,schwer::A,כבד,బరువ్తెన
530,schön::A,יפה,సుందరమైన
531,heiß::A,חם,వేడియైన
532,warm::A,חם,వెచ్చని
533,kalt::A,קר,చల్లని
534,kühl::A,צונן,చల్లని
535,frisch::A,טרי,తాజాయైన
536,feucht::A,לח,చెమ్మగానున్న
537,nass::A,רטוב,తడిగామన్న
538,trocken::A,יבש,ఎండిన
539,voll::A,מלא,నిండు
540,leer::A,ריק,శూన్యమైన
541,offen::A,פתוח,తెఱచియున్న
542,geschlossen::A,סגור,మూసిన
543,sauber::A,נקי,పరిశుద్ధమైన
544,schmutzig::A,מלכלך,ముఱికియైన
545,roh::A,חי,పచ్చి
546,reif::A,בשל,పండివ
547,lecker::A,טעים,రుచి గల
548,süß::A,מתוק,తియ్యని
549,bitter::A,מר,చేదైన
550,sauer::A,חמוץ,పుల్లని
551,hell::A,בהיר,కాంతిగల
552,dunkel::A,עמום,చీకటియైన
553,schwarz::A,שחר,నల్లని
554,weiß::A,לבן,తెలుపు
555,rot::A,אדם,ఎఱ్ఱని
556,gelb::A,צהב,పసుపు పచ్చ
557,blau::A,כחל,నీలవర్ణము
558,grün::A,ירק,ఆకుపచ్చని
559,grau::A,אפר,నెరిసిన
560,bunt::A,צבעוני,రంగేలీ
561,billig::A,זול,చౌకయైన
562,teuer::A,יקר,వెలపొడుగైన
563,wertvoll::A,יקר ערך,విలుప్తెన
564,blind::A,עור,గ్రుడ్డి
565,taub::A,חרש,చెవిటి
566,kräftig::A,חסן,శక్తి గల
567,stark::A,חזק,బలమైన
568,schwach::A,חלש,బలహీనమైన
569,fett::A,שמן,క్రొవ్విన
570,schlank::A,רזה,సన్నని
571,hübsch::A,יפה תאר,సాగప్తెన
572,böse::A,רשע,చెడ్డ
573,dumm::A,טפש,తెలివిలేని
574,faul::A,עצלן,సోమరియైన
575,fleißig::A,חרוץ,శ్రద్దగల
576,geizig::A,קמצן,పిసినారియైన
577,klug::A,נבון,తెలివిగల
578,klug::A,פקח,తెలివిగల
579,geschickt::A,מימן,నిపుణతగల
580,lieb::A,יקר,ప్రియమైన
581,lieb::A,אהוב,ప్రియమైన
582,lustig::A,עליז,ఉల్లాసము గల
583,sanft::A,עדין,సాధువైన
584,hungrig::A,רעב,ఆకలిగొనిన
585,krank::A,חולה,వ్యాధిగల
586,nackt::A,ערום,దిగంబరమైన
587,traurig::A,עצוב,విచారముగల
588,lebendig::A,חי,ప్రాణముతో నున్న
589,gut::A,טוב,మంచి
590,schlecht::A,גרוע,చెడ్డ
591,richtig::A,נכון,సరియైన
592,schlimm::A,רע,అసహ్యమైన
593,wahr::A,אמתי,నిజమైన
594,alt::A,ישן,ముసలి
595,neu::A,חדש,క్రొత్త
596,ehemalig::A,לשעבר,పూర్వపు
597,alt[Lebewesen]::A,זקן,ముసలి
598,jung::A,צעיר,పసి
599,arm::A,עני,బీద
600,reich::A,עשיר,ధనవంతుడైన
601,bekannt::A,ידוע,తెలిసిన
602,berühmt::A,מפרסם,ప్రపిద్దికెక్కివ
603,fremd::A,זר,అన్యమైన
604,verschieden::A,שונה,భేదమైన
605,nah::A,קרוב,దగ్గఱనున్న
606,fern::A,רחוק,దూరమందున్న
607,linker::A,שמאלי,ఎడమప్రక్కగ
608,rechter::A,ימין,కుడి
609,anderer::A,אחר,వేఱ్తెన
610,erster::A,ראשון,మొదటి
611,zweiter::A,שני,రెండన
612,dritter::A,שלישי,మూడో
613,letzter::A,אחרון,కడపటి
614,allein::ADV,לבד,ఒంటిగా
615,auf einmal::ADV,בו-זמנית,హరాత్తుగ
616,zusammen::ADV,ביחד,కలిసి
617,lange::ADV,הרבה זמן,బహుకాలము
618,plötzlich::ADV,לפתע,హరాత్తుగ
619,plötzlich::ADV,פתאום,హరాత్తుగ
620,sofort::ADV,מיד,తక్షణము
621,später::ADV,לאחר זמן,ఇటీవలి
622,später::ADV,יותר מאחר,ఇటీవలి
623,jetzt::ADV,עכשיו,ఇప్పుడు
624,heute::ADV,היום,నేడు
625,morgen::ADV,מחר,ఱేపు
626,bald::ADV,בקרוב,శీఘ్రముగ
627,dann::ADV,אחר-כך,అప్పుడు
628,gestern::ADV,אתמול,నిన్నటి దినము
629,einst::ADV,לפנים,పూర్వమొకప్పుడు
630,damals::ADV,אז,అప్పుడు
631,danach::ADV,אחר-כך,అప్పుడు
632,vorher::ADV,לפני זה,ఎదుట
633,zuerst::ADV,קדם,మొదటిలో
634,einmal::ADV,פעם,ఒకసారి
635,manchmal::ADV,לפעמים,అప్పటప్పటికి
636,oft::ADV,לעתים קרובות,తఱచుగా
637,immer::ADV,תמיד,ఎల్లప్పుడు
638,niemals::ADV,אף פעם,ఎప్పుడునులేదు
639,hier::ADV,כאן,ఇక్కడ
640,hierhin::ADV,פה,ఇక్కడకు
641,von hier::ADV,מפה,ఇక్కడనుండి
642,dort::ADV,שם,అక్కడ
643,dorthin::ADV,שם,అక్కడికి
644,geradeaus::ADV,ישר,సూటిగా
645,vorwärts::ADV,קדימה,ముందుకు
646,rückwärts::ADV,לאחור,వెనుకకు
647,zurück::ADV,בחזרה,వెనుకభాగము
648,zurück::ADV,אחורנית,వెనుకభాగము
649,unten::ADV,למטה,క్రింద
650,hinab::ADV,למטה,కిందికి
651,oben::ADV,מעל,మీద
652,oben::ADV,למעלה,మీద
653,hinauf::ADV,למעלה,పైకి
654,überall::ADV,בכל מקום,అంతటా
655,nicht::ADV,לא,కాదు
656,ein wenig::ADV,קצת,కొంచెము
657,kaum::ADV,בקשי,చాలిచాలక
658,sehr::ADV,מאוד,చాల
659,so::ADV,כך,ఆలాగున
660,so::ADV,ככה,ఆలాగున
661,noch::ADV,עוד,ఇప్పటికిని
662,noch::ADV,עדין,ఇప్పటికిని
663,nur::ADV,רק,మాత్రము
664,schon::ADV,כבר,ఇదివఱకే
665,wieder::ADV,שוב,తిరిగి
666,vergebens::ADV,לריק,నిష్ఫలముగా
667,vergebens::ADV,לשוא,నిష్ఫలముగా
668,vor::PRP,מול,ముందు
669,hinter::PRP,מאחורי,వెనుక
670,unter::PRP,מתחת,క్రింద
671,durch::PRP,דרך,ద్వారా
672,neben::PRP,ליד,దగ్గెర
673,neben::PRP,על-יד,దగ్గెర
674,zwischen::PRP,בין,మధ్య
675,wegen::PRP,בשל,కారణంగా
676,wegen::PRP,בגלל,కారణంగా
677,dies::PRN,זה,ఇది
678,das::PRN,זה,అది
679,alles::PRN,הכל,సకలము
680,ich::PRN,אני,నేను
681,du::PRN,את,నీవు
682,du::PRN,אתה,నీవు
683,er::PRN,הוא,అతడు
684,wir::PRN,אנחנו,మనము
