,Concept_ID,sv,ab
63,Sonne::N,sol,амра
64,Mond::N,måne,амза
65,Stern::N,stjärna,аеҵəа
66,Luft::N,luft,аҳаир
67,Wind::N,vind,аҧша
68,Welle::N,våg,ацəқəырҧа
69,Welle::N,bölja,ацəқəырҧа
70,Wasser::N,vatten,аӡы
71,Stein::N,sten,ахаҳə
72,Boden::N,mark,адгьыл
73,Erde::N,jord,адгьыл
74,Staub::N,damm,асаба
75,Rauch::N,rök,алҩа
76,Funke::N,gnista,акəиц
77,Funke::N,gnista,ацҧхь
78,Feuer::N,eld,амца
79,Licht::N,ljus,алашара
80,Schatten::N,skugga,ашəшьыра
81,Wetter::N,väder,амш
82,Nebel::N,dimma,анаҟəа
83,Nebel::N,töcken,анаҟəа
84,Wolke::N,sky,аҧсҭҳəа
85,Wolke::N,moln,аҧсҭҳəа
86,Regen::N,regn,ақəа
87,Schnee::N,snö,асы
88,Eis::N,is,аҵаа
89,Frost::N,frost,аҵаа
90,Kälte::N,köld,ахьҭа
91,Hitze::N,hetta,ашоура
92,Raureif::N,rimfrost,аҵааҧшқа
93,Regenbogen::N,regnbåge,ацəаҟəа
94,Donner::N,åska,адыд
95,Donner::N,dunder,адыд
96,Strömung::N,strömning,аиасра
97,Strömung::N,strömning,амҩасра
98,Tropfen::N,dropper,ацəыкəбар
99,Schaum::N,skum,ашəах
100,Schmutz::N,lort,алымт
101,Schmutz::N,smuts,алымт
102,See::N,sjö,аӡиа
103,Sumpf::N,träsk,аӡмах
104,Moor::N,myr,
105,Moor::N,mosse,
106,Wiese::N,äng,адəы
107,Wald::N,skog,абна
108,Hügel::N,höjd,ахəы
109,Hügel::N,kulle,ахəы
110,Anhöhe::N,höjd,аҳаракыра
111,Anhöhe::N,backe,аҳаракыра
112,Berg::N,berg,ашьха
113,Berg::N,fjäll,ашьха
114,Gipfel::N,topp,ацəқəа
115,Höhle::N,håla,аҳаҧы
116,Höhle::N,grotta,аҳаҧы
117,Abhang::N,slänt,анаара
118,Abhang::N,sluttning,анаара
119,Quelle::N,källa,аҵҵырҭа
120,Bach::N,bäck,акəараҷҷа
121,Fluss::N,älv,аӡиас
122,Fluss::N,flod,аӡиас
123,Ufer::N,strand,ахықə
124,Küste::N,kust,ахықə
125,Festland::N,fastland,абарра
126,Meer::N,hav,амшын
127,Bucht::N,vik,аӡбжьахала
128,Bucht::N,bukt,аӡбжьахала
129,Insel::N,ö,адгьылбжьаха
130,Blume::N,blomma,ашəҭ
131,Blume::N,blomster,ашəҭ
132,Gras::N,gräs,аҳасакьын
133,Wurzel::N,rot,адац
134,Baum::N,träd,аҵла
135,Stamm::N,stam,ашьапы
136,Rinde::N,bark,ацəа
137,Ast::N,gren,амахə
138,Ast::N,gren,амахəҭа
139,Zweig::N,kvist,амахə
140,Zweig::N,kvist,амахəҭа
141,Blatt::N,löv,абҕьы
142,Blatt::N,blad,абҕьы
143,Birke::N,björk,аҵааҵла
144,Kiefer[Baum]::N,tall,амза
145,Weide[Baum]::N,pil,аҧслыш
146,Weide[Baum]::N,vide,аҧслыш
147,Tanne::N,gran,аҧсаӡ
148,Horn::N,horn,атəыҩа
149,Feder::N,fjäder,ахӡы
150,Fell::N,fäll,ацəа
151,Fell::N,skinn,ацəа
152,Flügel::N,vinge,амҵəыжəа
153,Klaue::N,klöv,ашьапхыц
154,Kralle::N,klo,
155,Schwanz::N,svans,аҵыхəа
156,Schwanz::N,stjärt,аҵыхəа
157,Ei::N,ägg,акəтаӷь
158,Nest::N,rede,аҭра
159,Nest::N,rede,аҵысҭра
160,Nest::N,näste,аҭра
161,Nest::N,näste,аҵысҭра
162,Bau::N,bo,аҭыҩра
163,Tier::N,djur,аҧстəы
164,Tier::N,djur,агыгшəыг
165,Herde::N,flock,агəарҭа
166,Kuh::N,ko,ажə
167,Bulle::N,tjur,ацə
168,Pferd::N,häst,аҽы
169,Schaf::N,får,ауаса
170,Schwein::N,svin,аҳəа
171,Hund::N,hund,ала
172,Katze::N,katt,ацгəы
173,Bär::N,björn,амшə
174,Eichhörnchen::N,ekorre,аеш
175,Elch::N,älg,аҽаҩа
176,Fuchs::N,räv,абгахəыҷы
177,Hase::N,hare,ажьа
178,Maus::N,mus,аҳəынаҧ
179,Wolf::N,varg,абгаду
180,Vogel::N,fågel,аҧсаатə
181,Schwarm::N,svärm,
182,Huhn::N,höns,акəты
183,Hahn::N,tupp,арбаҕь
184,Gans::N,gås,аҟыз
185,Adler::N,örn,ауарба
186,Ente::N,anka,акəата
187,Eule::N,uggla,аты
188,Kranich::N,trana,апҟа
189,Krähe::N,kråka,аҟəараан
190,Kuckuck::N,gök,акəыкəу
191,Schwan::N,svan,агьад
192,Fisch::N,fisk,аҧсыӡ
193,Barsch::N,abborre,ацəыбла
194,Hecht::N,gädda,ахиаала
195,Schlange[Tier]::N,orm,амаҭ
196,Wurm::N,mask,ахəа
197,Wurm::N,mask,ахəац
198,Spinne::N,spindel,абызкаҭаҳа
199,Ameise::N,myra,ашышкамс
200,Laus::N,lus,аҵа
201,Mücke::N,mygga,акəыбры
202,Fliege::N,fluga,амҵ
203,Schmetterling::N,fjäril,аҧарҧалыкь
204,Beere::N,bär,аргуц
205,Apfel::N,äpple,аҵəа
206,Pilz::N,svamp,акəкəбаа
207,Zwiebel::N,lök,аџьымшьы
208,Zwiebel::N,lök,аџьымшьхы
209,Saat::N,sådd,ажəла
210,Korn::N,korn,арыц
211,Heu::N,hö,аҭəа
212,Schale::N,skal,ацəа
213,Grube::N,grop,ажра
214,Grube::N,grop,атыша
215,Falle::N,fälla,арыҧҟьа
216,Schlinge::N,snara,аҟəараҟəантə
217,Spur::N,spår,ашьҭа
218,Asche::N,aska,ахəа
219,Dreck::N,lort,аҳəынҵəа
220,Dreck::N,lort,аҟьамсар
221,Eisen::N,järn,аиха
222,Gold::N,guld,ахьы
223,Silber::N,silver,аразны
224,Kohle::N,kol,арацəа
225,Glas::N,glas,асаркьа
226,Lehm::N,lera,анышəаҧшь
227,Sand::N,sand,аҧслымӡ
228,Mensch::N,människa,ауаҩы
229,Mann::N,man,ахаҵа
230,Frau::N,kvinna,аҧҳəыс
231,Kind::N,barn,ахəыҷы
232,Junge::N,pojke,аҷкəын
233,Junge::N,pojke,ахаҵарҧыс
234,Mädchen::N,flicka,аӡӷаб
235,Familie::N,familj,аҭаацəа
236,Großvater::N,morfar,абду
237,Großmutter::N,farmor,анду
238,Eltern::N,föräldrar,ани аби
239,Vater::N,far,аб
240,Mutter::N,mor,ан
241,Sohn::N,son,аҧа
242,Tochter::N,dotter,аҧҳа
243,Bruder::N,bror,аиашьа
244,Schwester::N,syster,Аҳəшьа
245,Onkel::N,morbror,абиашьа
246,Onkel::N,morbror,аншьа
247,Tante::N,tant,абиаҳəшьа
248,Ehemann::N,äkta man,ахаҵа
249,Ehemann::N,äkta man,аҧшəма
250,Ehefrau::N,hustru,аҧҳəыс
251,Freude::N,fröjd,агəырӷьара
252,Freude::N,glädje,агəырӷьара
253,Gelächter::N,åtlöje,ачча
254,Gelächter::N,åtlöje,аччара
255,Glück::N,lycka,аразҟы
256,Kummer::N,sorg,агəырҩа
257,Wunsch::N,önskan,агəхəтəы
258,Wunsch::N,önskan,аҭахра
259,Lust::N,lust,агəазыҳəара
260,Geist::N,ande,аҧсы
261,Gedanke::N,tanke,ахəыцырҭа
262,Gedächtnis::N,minne,агəынкылара
263,Verstand::N,förstånd,ахшыҩ
264,Sinn::N,mening,аҵакы
265,Sinn::N,betydelse,аҵакы
266,Grund::N,skäl,амзыз
267,Grund::N,grund,амзыз
268,Wahrheit::N,sanning,аиаша
269,Gespräch::N,samtal,аиҿцәажәара
270,Märchen::N,saga,алакə
271,Erzählung::N,berättelse,ажәабжь
272,Nachricht::N,meddelande,адырраҭара
273,Neuigkeit::N,nyhet,ажәабжь ҿыц
274,Name::N,namn,ахьӡ
275,Rätsel::N,gåta,ацуфара
276,Rede::N,tal,ажәа
277,Sprache::N,språk,абызшəа
278,Stimme::N,stämma,абжьы
279,Wort::N,ord,ажәа
280,Zeichen::N,tecken,адырга
281,Ruf::N,rop,аҿҭы
282,Lärm::N,bråk,ашьҭыбжь
283,Lärm::N,oväsen,ашьҭыбжь
284,Laut::N,ljud,ашьҭыбжь
285,Ton::N,ton,атон
286,Lied::N,sång,ашəа
287,Ruhe::N,ro,аҭынчра
288,Ruhe::N,lugn,аҭынчра
289,Leute::N,folk,ауаа
290,Volk::N,folk,ажəлар
291,Arbeit::N,arbete,аусура
292,Gast::N,gäst,асас
293,Geschenk::N,gåva,аҳамҭа
294,Geschenk::N,gåva,аҿанҵа
295,Geschenk::N,present,аҳамҭа
296,Geschenk::N,present,аҿанҵа
297,Spiel::N,lek,ахəмарра
298,Spiel::N,spel,ахəмарра
299,Gesellschaft::N,sällskap,агəыҧ
300,Hilfe::N,hjälp,ацхыраара
301,Freund::N,vän,аҩыза
302,Kamerad::N,kamrat,Аҧхнагьла
303,Angelegenheit::N,ärende,аус
304,Angelegenheit::N,angelägenhet,аус
305,Anzahl::N,antal,ахыҧхьаӡара
306,Art::N,art,ахкы
307,Art::N,slag,ахкы
308,Stück::N,stycke,аҽыҭ
309,Teil::N,del,ахəҭа
310,Hälfte::N,halva,абжа
311,Kreis::N,krets,агьагьа
312,Kreis::N,cirkel,агьагьа
313,Kreuz::N,kors,аџьар
314,Kreuz::N,kryss,аџьар
315,Linie::N,linje,аицтәар
316,Strich::N,streck,ацəаҳəа
317,Abstand::N,avstånd,абжьара
318,Entfernung::N,avstånd,абжьара
319,Gegend::N,trakt,аҭыҧ
320,Platz::N,plats,аҭыҧ
321,Ort::N,plats,аҭыҧ
322,Ort::N,ställe,аҭыҧ
323,Seite::N,sida,аган
324,Mitte::N,mitt,агəҭа
325,Gegenstand::N,föremål,амаҭəар
326,Sache::N,sak,
327,Rand::N,rand,аҵкар
328,Kante::N,kant,авардым
329,Ecke::N,vrå,акəакь
330,Ecke::N,hörn,акəакь
331,Spitze::N,spets,аҧынҵа
332,Ende::N,ända,анаӡара
333,Loch::N,hål,акылҵəара
334,Winkel::N,vinkel,агҿаҩра
335,Winkel::N,vinkel,акəындхə
336,Winkel::N,vinkel,акəакь
337,Muster::N,mönster,аҟҟа
338,Größe::N,storlek,изаҟароу
339,Länge::N,längd,аура
340,Höhe::N,höjd,агылара
341,Gewicht::N,tyngd,акапан
342,Menge::N,mängd,
343,Haufen::N,hög,ачаҟəа
344,Reihe::N,rad,ацəаҳəа
345,Boot::N,båt,анышь
346,Ruder::N,åra,ажəҩа
347,Schlitten::N,släde,ашəаҩауардын
348,Ski::N,skida,ашəаҩа
349,Ski::N,skida,ашьахаха
350,Lagerfeuer::N,lägereld,еиқуу амца
351,Last::N,last,ахьанҭара
352,Last::N,börda,ахьанҭара
353,Gang::N,gång,аныҟəара
354,Schritt::N,steg,ашьаҿа
355,Norden::N,norr,аҩада
356,Süden::N,söder,алада
357,Westen::N,väster,амраҭашəара
358,Osten::N,öster,амрагылара
359,Holz::N,trä,амҿымаҭəахə
360,Brett::N,bräda,аӷəы
361,Platte::N,platta,ахаҳәцәы
362,Stütze::N,stöd,аҵаргəа
363,Stütze::N,stöd,агəышьаҟа
364,Stütze::N,stötta,аҵаргəа
365,Stütze::N,stötta,агəышьаҟа
366,Stange::N,stång,акьат
367,Stock::N,käpp,алаба
368,Stock::N,pinne,алаба
369,Stab::N,stav,акьат
370,Rohr::N,rör,абыкь
371,Haus::N,hus,аҩны
372,Heim::N,hem,аҭаацəа
373,Ofen::N,ugn,аҳақə
374,Ofen::N,ugn,ауаџьаҟ
375,Ofen::N,ugn,афрына
376,Fußboden::N,golv,адашьма
377,Tisch::N,bord,аишәа
378,Stuhl::N,stol,аҟəардə
379,Wiege::N,vagga,агара
380,Bett::N,säng,акаруаҭ
381,Regal::N,hylla,акыӷəра
382,Kiste::N,låda,аидчаҧала
383,Fenster::N,fönster,аҧенџьыр
384,Tür::N,dörr,ашə
385,Tor::N,port,агəашə
386,Zaun::N,staket,аанда
387,Zaun::N,stängsel,аанда
388,Dach::N,tak,ахыб
389,Leiter::N,stege,амардуан
390,Besen::N,kvast,аҧссага
391,Spaten::N,spade,ажыга
392,Schaufel::N,skovel,аҭəарӷəы
393,Schaufel::N,skyffel,аҭəарӷəы
394,Gabel::N,gaffel,ачқьыҧ
395,Löffel::N,sked,амҳаҵə
396,Messer::N,kniv,аҳəызба
397,Nagel::N,spik,аҵəымӷ
398,Netz::N,nät,акаҭа
399,Haken::N,krok,аҵəаҳə
400,Griff::N,tag,амаа
401,Griff::N,handtag,амаа
402,Schloss::N,las,асаҧаҭ
403,Bild::N,bild,асахьа
404,Figur::N,figur,афигура
405,Puppe::N,docka,акьанџьа
406,Beutel::N,påse,асакь
407,Bündel::N,bunt,аҿаҳəара
408,Bündel::N,knippa,аҿаҳəара
409,Tasche::N,väska,арҭмаҟ
410,Eimer::N,hink,аведра
411,Eimer::N,ämbar,аведра
412,Deckel::N,lock,ахҩа
413,Geschirr::N,servis,ачысмаҭəа
414,Geschirr::N,porslin,ачысмаҭəа
415,Sack::N,säck,асакь
416,Tasse::N,kopp,аҵəца
417,Topf::N,gryta,акаструлиа
418,Topf::N,kastrull,акаструлиа
419,Kessel::N,kittel,ачуан
420,Essen::N,mål,
421,Nahrung::N,näring,афатə
422,Speise::N,maträtt,афатə
423,Fleisch::N,kött,акəац
424,Getreide::N,säd,ачакуа
425,Getreide::N,spannmål,ачакуа
426,Brei::N,gröt,ақашь
427,Brot::N,bröd,ача
428,Scheibe::N,skiva,аҽыҭ
429,Scheibe::N,skiva,аҿаҵа
430,Fett::N,fett,ашша
431,Butter::N,smör,ахəша
432,Öl::N,olja,азеҭ
433,Salz::N,salt,аџьыка
434,Suppe::N,soppa,асуҧ
435,Honig::N,honung,ацха
436,Milch::N,mjölk,ахш
437,Tee::N,te,ачаи
438,Leder::N,läder,ацəа
439,Wolle::N,ull,аласа
440,Wolle::N,ylle,аласа
441,Stoff::N,tyg,Аба
442,Stoff::N,stoff,Аба
443,Nadel::N,nål,агəыр
444,Faden::N,tråd,арахəыц
445,Knopf::N,knapp,аҳəынҵəра
446,Knoten::N,knut,аиқəҳəала
447,Farbe::N,färg,ашəыга
448,Kleidung::N,klädsel,амаҭəа
449,Hemd::N,skjorta,акьаҿ
450,Kragen::N,krage,ахəда
451,Ärmel::N,ärm,амаӷра
452,Hose::N,byxor,аиқəа
453,Gürtel::N,bälte,амаҟа
454,Mütze::N,mössa,ахылҧа
455,Schuh::N,sko,аимаа
456,Stiefel::N,stövel,амагə
457,Ring::N,ring,амацəаз
458,Band::N,band,алента
459,Kamm::N,kam,ахҳəа
460,Spiegel::N,spegel,асаркьа
461,Riemen::N,rem,аа
462,Schnur::N,snöre,ашаха
463,Leine::N,lina,аҕура
464,Decke::N,täcke,ахыза
465,Kissen::N,dyna,ахчы
466,Kissen::N,kudde,ахчы
467,Tuch::N,sjal,акасы
468,Handtuch::N,handduk,ампахьшьы
469,Kraft::N,kraft,амч
470,Stärke::N,styrka,амч
471,Gesundheit::N,hälsa,агəабзиара
472,Krankheit::N,sjukdom,ачымазара
473,Schmerz::N,smärta,ахьаа
474,Wunde::N,sår,ахəра
475,Fieber::N,feber,ашоура
476,Arznei::N,medicin,ахəшə
477,Arznei::N,läkemedel,ахəшə
478,Brücke::N,bro,ацҳа
479,Brunnen::N,brunn,аҵыџь
480,Weide::N,bete,аҳəырҭа
481,Pfad::N,stig,амхəасҭа
482,Weg::N,väg,амҩа
483,Straße::N,gata,амҩа
484,Dorf::N,by,ақыҭа
485,Stadt::N,stad,ақалақь
486,Brief::N,brev,ашəҟəы
487,Buch::N,bok,ашəҟəы
488,Buchstabe::N,bokstav,анбан
489,Zeitung::N,tidning,агазеҭ
490,Leben::N,liv,аҧсҭазаара
491,Tod::N,död,аҧсра
492,Grab::N,grav,анышəынҭра
493,Kirche::N,kyrka,ауахəама
494,Sünde::N,synd,агəнаҳа
495,Gott::N,gud,анцəа
496,Arbeiter::N,arbetare,аусуҩ
497,Chef::N,chef,Аиҳабы
498,Meister::N,mästare,аҟаза
499,Arzt::N,läkare,аҳақьым
500,Lehrer::N,lärare,арҵаҩы
501,Geld::N,pengar,аҧара
502,Geschäft::N,rörelse,
503,Laden::N,affär,амагазин
504,Preis::N,pris,ахə
505,Ware::N,vara,атауар
506,Nutzen::N,gagn,ақьар
507,Nutzen::N,nytta,ақьар
508,Reichtum::N,rikedom,абеиара
509,Welt::N,värld,адунеи
510,Land::N,land,атəыла
511,Staat::N,stat,аҳəынҭқарра
512,König::N,kung,акрал
513,König::N,konung,акрал
514,Macht::N,makt,амчра
515,Grenze::N,gräns,аҳəаа
516,Krieg::N,krig,аибашьра
517,Feind::N,fiende,Аҕа
518,Gewalt::N,våld,ақəымчра
519,Kampf::N,kamp,ақəҧара
520,Kampf::N,strid,ақəҧара
521,Bogen[Waffe]::N,båge,ахыц
522,Pfeil::N,pil,ахəымпал
523,Gewehr::N,gevär,ашəақь
524,Fehler::N,fel,агха
525,Lüge::N,lögn,амц
526,Schaden::N,skada,аҧырхага
527,Unglück::N,otur,арыцҳара
528,Unglück::N,olycka,арыцҳара
529,Schuld::N,skuld,ахара
530,Alter::N,ålder,ақəра
531,Schluss::N,slut,анҵəамҭа
532,Zeit::N,tid,аамта
533,Tag::N,dag,амш
534,Morgen::N,morgon,ашара
535,Morgen::N,morgon,ашьыбжь
536,Mittag::N,middag,шьыбжьон
537,Abend::N,kväll,ахəылҧаз
538,Abend::N,kväll,ахəлбыҽха
539,Nacht::N,natt,аҵх
540,Woche::N,vecka,амчыбжь
541,Monat::N,månad,
542,Jahr::N,år,
543,Frühling::N,vår,ааҕын
544,Sommer::N,sommar,аҧхын
545,Herbst::N,höst,ҭагалан
546,Herbst::N,höst,хкаарачан
547,Winter::N,vinter,аӡын
548,Januar::N,januari,ианвар
549,Februar::N,februari,февраль
550,März::N,mars,март
551,April::N,april,апрель
552,Mai::N,maj,маи
553,Juni::N,juni,иуун
554,Juli::N,juli,иууль
555,August::N,augusti,август
556,September::N,september,сентиабр
557,Oktober::N,oktober,октиабр
558,November::N,november,ноиабр
559,Dezember::N,december,декабр
560,Montag::N,måndag,ашəахьа
561,Dienstag::N,tisdag,аҩаша
562,Mittwoch::N,onsdag,ахаша
563,Donnerstag::N,torsdag,аҧшьаша
564,Freitag::N,fredag,ахəаша
565,Samstag::N,lördag,асабша
566,Sonntag::N,söndag,амҽыша
567,groß::A,stor,аду
568,klein::A,liten,амаҷ
569,lang::A,lång,ахəхəа
570,kurz::A,kort,акьаҿ
571,breit::A,bred,аиужь
572,breit::A,bred,аиҵых
573,schmal::A,smal,аҭшəа
574,dicht::A,tät,аилач
575,dick[Gegenstand]::A,tjock,ажəпа
576,dünn::A,tunn,
577,fein::A,fin,апа
578,fein::A,fin,аҵаӷа
579,fein::A,fin,аӡа
580,fest::A,fast,аҟаца
581,fest::A,fast,аӷəӷəаҟаца
582,flach::A,platt,ақəаҟьа
583,flach::A,platt,аҧаҟьа
584,glatt::A,glatt,аимаҩзы
585,hart::A,hård,акьакьа
586,weich::A,mjuk,атата
587,rund::A,rund,акəмпыл
588,spitz::A,toppig,аҵар
589,spitz::A,spetsig,аҵар
590,scharf::A,vass,аҵар
591,scharf::A,skarp,аҵар
592,stumpf::A,slö,ацагə
593,schwer::A,tung,ахьанҭа
594,schön::A,skön,аҧшӡа
595,schön::A,vacker,аҧшӡа
596,heiß::A,het,ашы
597,warm::A,varm,аҧха
598,kalt::A,kall,ахьшəашəа
599,kühl::A,sval,ахьшəашəа
600,kühl::A,sval,ицәыхьшәашәоу
601,kühl::A,kylig,ахьшəашəа
602,kühl::A,kylig,ицәыхьшәашәоу
603,frisch::A,färsk,цқьа
604,feucht::A,fuktig,ацəаак
605,nass::A,våt,абааӡа
606,trocken::A,torr,Аба
607,trocken::A,torr,аҩа
608,voll::A,full,азна
609,leer::A,tom,аҭацəы
610,offen::A,öppen,аарта
611,geschlossen::A,stängd,ихҩоу
612,geschlossen::A,stängd,иаркыу
613,sauber::A,ren,ацқьа
614,schmutzig::A,snuskig,аҟьашь
615,roh::A,rå,
616,reif::A,mogen,Арҭ
617,reif::A,mogen,аҟала
618,reif::A,mogen,иҟалахьоу
619,lecker::A,läcker,ахаа
620,süß::A,söt,азла
621,bitter::A,besk,аша
622,bitter::A,bitter,аша
623,sauer::A,sur,аҵəҵəы
624,hell::A,ljus,алаша
625,dunkel::A,mörk,алашьца
626,schwarz::A,svart,аиқуаҵәа
627,weiß::A,vit,ашкəакəа
628,rot::A,röd,аҟаҧшь
629,gelb::A,gul,аҩеижь
630,blau::A,blå,аҽҵәа
631,grün::A,grön,ашьацҧшҭəала
632,grün::A,grön,аеҵəа
633,grau::A,grå,ацəыш
634,bunt::A,brokig,Аилыҕраа
635,bunt::A,brokig,аҕраҷкəын
636,billig::A,billig,амариа
637,teuer::A,dyr,амҩан
638,wertvoll::A,värdefull,кыр иаҕсоу
639,wertvoll::A,värdefull,акыр иаҕсоу
640,blind::A,blind,алашə
641,taub::A,döv,адагəа
642,kräftig::A,kraftig,аӷəӷəа
643,stark::A,stark,абаҟа
644,schwach::A,svag,акəада
645,fett::A,fet,аҧсыла
646,schlank::A,slank,акала
647,schlank::A,slank,акьалантар
648,schlank::A,slank,аиҿартə
649,hübsch::A,snygg,аҧшӡа
650,hübsch::A,vacker,аҧшӡа
651,böse::A,ond,абааҧсы
652,böse::A,elak,абааҧсы
653,dumm::A,dum,агаӡа
654,faul::A,lat,аашьа
655,fleißig::A,flitig,иҟубҷоу
656,geizig::A,snål,акы
657,geizig::A,snål,акаҷбеи
658,geizig::A,snål,аҟəџьыр
659,geizig::A,girig,акы
660,geizig::A,girig,акаҷбеи
661,geizig::A,girig,аҟəџьыр
662,klug::A,klok,аҟəыш
663,klug::A,klok,аҟəыӷа
664,geschickt::A,händig,напҟазала
665,geschickt::A,skicklig,напҟазала
666,lieb::A,kär,алашара
667,lieb::A,snäll,алашара
668,lustig::A,rolig,алах-ҿых
669,lustig::A,rolig,игурҕьаччо
670,lustig::A,rolig,агурҕьа
671,lustig::A,rolig,агурҿыхага
672,lustig::A,lustig,алах-ҿых
673,lustig::A,lustig,игурҕьаччо
674,lustig::A,lustig,агурҕьа
675,lustig::A,lustig,агурҿыхага
676,sanft::A,mild,атата
677,sanft::A,mild,аҟəымшəышə
678,sanft::A,mild,ақьыҧш
679,hungrig::A,hungrig,амлашь
680,krank::A,sjuk,ачымазаҩ
681,nackt::A,naken,аҟьантаз
682,traurig::A,ledsen,алахьеиқəҵага
683,traurig::A,sorgsen,алахьеиқəҵага
684,lebendig::A,levande,абза
685,gut::A,bra,абзиа
686,schlecht::A,dålig,-хəарҭам
687,richtig::A,riktig,иашоу
688,schlimm::A,illa,абааҧсы
689,wahr::A,sann,агəҭылса
690,wahr::A,sann,абзиаҵəҟьа
691,alt::A,gammal,Ажə
692,neu::A,ny,аҿыц
693,ehemalig::A,forn,анкьатәи
694,ehemalig::A,tidigare,анкьатәи
695,alt[Lebewesen]::A,gammal,абырг
696,alt[Lebewesen]::A,gammal,ақабада
697,alt[Lebewesen]::A,gammal,Ажə
698,jung::A,ung,аҟата
699,arm::A,fattig,ананамга
700,reich::A,rik,абеиа
701,bekannt::A,känd,адыр
702,berühmt::A,berömd,адыр
703,fremd::A,främmande,атəым
704,verschieden::A,åtskillig,Еиуа-еиҧшым
705,nah::A,nära,ааигəа
706,fern::A,fjärran,ахара
707,linker::A,vänster,арма
708,rechter::A,höger,арҕьа
709,anderer::A,annan,даҽа
710,anderer::A,annan,даҽакы
711,erster::A,första,актәи
712,zweiter::A,andra,аҩбатəи
713,dritter::A,tredje,ахҕатәи
714,letzter::A,sist,аҵыхəтəантəи
715,allein::ADV,allena,мацара
716,auf einmal::ADV,på en gång,зныкала
717,auf einmal::ADV,på en gång,зныкҟьара
718,zusammen::ADV,tillsammans,аиц...
719,lange::ADV,länge,акыраамҭа
720,plötzlich::ADV,plötsligt,иаалырҟьаны
721,sofort::ADV,strax,иаразнакҵәҟьа
722,sofort::ADV,genast,иаразнакҵәҟьа
723,später::ADV,senare,уажəшьҭаншəа
724,jetzt::ADV,nu,уажәы
725,heute::ADV,i dag,иахьа
726,morgen::ADV,i morgon,уаҵәы
727,bald::ADV,snart,иласны
728,dann::ADV,då,нас
729,gestern::ADV,i går,иацы
730,einst::ADV,en gång,зны
731,damals::ADV,då,усҟан
732,damals::ADV,den gången,усҟан
733,danach::ADV,därefter,нас
734,vorher::ADV,före,уаанӡа
735,vorher::ADV,förut,уаанӡа
736,zuerst::ADV,först,азнаказы
737,zuerst::ADV,först,аҧхьа
738,einmal::ADV,en gång,зны
739,manchmal::ADV,ibland,зны-зынла
740,oft::ADV,ofta,лассы-лассы
741,immer::ADV,alltid,енагь
742,immer::ADV,alltid,еснагь
743,niemals::ADV,aldrig,ианакəызаалак
744,hier::ADV,här,ара
745,hier::ADV,här,абра
746,hier::ADV,här,араҟа
747,hierhin::ADV,hit,ара
748,hierhin::ADV,hit,араҟа
749,von hier::ADV,härifrån,арантә
750,dort::ADV,där,уа
751,dorthin::ADV,dit,уахь
752,dorthin::ADV,dit,анахь
753,geradeaus::ADV,rätt fram,ишиашоу
754,vorwärts::ADV,fram,ҕхьаҟа
