,Concept_ID,mn,mn
194,Flügel::N,жигүүр,далавч
195,Flügel::N,далавч,жигүүр
196,Flügel::N,далавч,далавч
197,Klaue::N,савар,савар
198,Klaue::N,савар,хумс
199,Klaue::N,хумс,савар
200,Klaue::N,хумс,хумс
201,Kralle::N,савар,савар
202,Schwanz::N,сүүл,сүүл
203,Ei::N,өндөг,өндөг
204,Nest::N,үүр,үүр
205,Bau::N,нүх,нүх
206,Bau::N,нүх,элүү
207,Bau::N,элүү,нүх
208,Bau::N,элүү,элүү
209,Tier::N,амьтан,амьтан
210,Tier::N,амьтан,адгуус
211,Tier::N,адгуус,амьтан
212,Tier::N,адгуус,адгуус
213,Herde::N,сүрэг,сүрэг
214,Kuh::N,үнээ,үнээ
215,Bulle::N,бух,бух
216,Pferd::N,морь,морь
217,Pferd::N,морь,адуу
218,Pferd::N,адуу,морь
219,Pferd::N,адуу,адуу
220,Schaf::N,хонь,хонь
221,Schwein::N,гахай,гахай
222,Hund::N,нохой,нохой
223,Katze::N,муур,муур
224,Katze::N,муур,мигуй
225,Katze::N,мигуй,муур
226,Katze::N,мигуй,мигуй
227,Bär::N,баавгай,баавгай
228,Eichhörnchen::N,хэрэм,хэрэм
229,Elch::N,хандгай,хандгай
230,Fuchs::N,үнэг,үнэг
231,Hase::N,туулай,туулай
232,Maus::N,хулгана,хулгана
233,Wolf::N,чоно,чоно
234,Vogel::N,шувуу,шувуу
235,Schwarm::N,сүрэг,сүрэг
236,Huhn::N,тахиа,тахиа
237,Hahn::N,эр тахиа,эр тахиа
238,Gans::N,галуу,галуу
239,Adler::N,бүргэд,бүргэд
240,Ente::N,нугас,нугас
241,Eule::N,ууль,ууль
242,Kranich::N,тогоруу,тогоруу
243,Krähe::N,хэрээ,хэрээ
244,Kuckuck::N,хөхөө,хөхөө
245,Schwan::N,хун,хун
246,Fisch::N,загас,загас
247,Barsch::N,алгана,алгана
248,Hecht::N,цурхай,цурхай
249,Schlange[Tier]::N,могой,могой
250,Wurm::N,өт,өт
251,Wurm::N,өт,хорхой
252,Wurm::N,хорхой,өт
253,Wurm::N,хорхой,хорхой
254,Spinne::N,аалз,аалз
255,Ameise::N,шоргоолж,шоргоолж
256,Laus::N,бөөс,бөөс
257,Mücke::N,шумуул,шумуул
258,Fliege::N,ялаа,ялаа
259,Schmetterling::N,эрвээхэй,эрвээхэй
260,Beere::N,жимсгэнэ,жимсгэнэ
261,Apfel::N,алим,алим
262,Pilz::N,мөөг,мөөг
263,Zwiebel::N,сонгино,сонгино
264,Saat::N,тариа,тариа
265,Korn::N,үр,үр
266,Korn::N,үр,мөхлөг
267,Korn::N,мөхлөг,үр
268,Korn::N,мөхлөг,мөхлөг
269,Heu::N,өвс,өвс
270,Schale::N,хальс,хальс
271,Grube::N,алам,алам
272,Grube::N,алам,нүх
273,Grube::N,нүх,алам
274,Grube::N,нүх,нүх
275,Falle::N,хавх,хавх
276,Falle::N,хавх,занга
277,Falle::N,занга,хавх
278,Falle::N,занга,занга
279,Schlinge::N,урхи,урхи
280,Spur::N,мөр,мөр
281,Asche::N,үнс,үнс
282,Dreck::N,хир,хир
283,Eisen::N,төмөр,төмөр
284,Gold::N,алт,алт
285,Silber::N,мөнгө,мөнгө
286,Kohle::N,нүүрс,нүүрс
287,Glas::N,шил,шил
288,Lehm::N,шавар,шавар
289,Sand::N,элс,элс
290,Mensch::N,хүн,хүн
291,Mann::N,эр,эр
292,Mann::N,эр,эрэгтэй
293,Mann::N,эрэгтэй,эр
294,Mann::N,эрэгтэй,эрэгтэй
295,Frau::N,эмэгтэй,эмэгтэй
296,Frau::N,эмэгтэй,хатагтай
297,Frau::N,хатагтай,эмэгтэй
298,Frau::N,хатагтай,хатагтай
299,Kind::N,хүүхэд,хүүхэд
300,Junge::N,хүү,хүү
301,Mädchen::N,охин,охин
302,Mädchen::N,охин,бүсгүй
303,Mädchen::N,бүсгүй,охин
304,Mädchen::N,бүсгүй,бүсгүй
305,Familie::N,айл,айл
306,Großvater::N,өвгөн аав,өвгөн аав
307,Großmutter::N,эмэг эх,эмэг эх
308,Großmutter::N,эмэг эх,эмгээ
309,Großmutter::N,эмгээ,эмэг эх
310,Großmutter::N,эмгээ,эмгээ
311,Eltern::N,эцэг эх,эцэг эх
312,Vater::N,аав,аав
313,Vater::N,аав,эцэг
314,Vater::N,эцэг,аав
315,Vater::N,эцэг,эцэг
316,Mutter::N,эх,эх
317,Mutter::N,эх,ээж
318,Mutter::N,ээж,эх
319,Mutter::N,ээж,ээж
320,Sohn::N,хүү,хүү
321,Tochter::N,охин,охин
322,Bruder::N,ах,ах
323,Bruder::N,ах,дүү
324,Bruder::N,дүү,ах
325,Bruder::N,дүү,дүү
326,Schwester::N,эгч,эгч
327,Schwester::N,эгч,охин дүү
328,Schwester::N,охин дүү,эгч
329,Schwester::N,охин дүү,охин дүү
330,Onkel::N,авга ах,авга ах
331,Onkel::N,авга ах,нагац ах
332,Onkel::N,нагац ах,авга ах
333,Onkel::N,нагац ах,нагац ах
334,Tante::N,авга эгч,авга эгч
335,Tante::N,авга эгч,нагац эгч
336,Tante::N,нагац эгч,авга эгч
337,Tante::N,нагац эгч,нагац эгч
338,Ehemann::N,нөхөр,нөхөр
339,Ehefrau::N,эхнэр,эхнэр
340,Ehefrau::N,эхнэр,гэргий
341,Ehefrau::N,гэргий,эхнэр
342,Ehefrau::N,гэргий,гэргий
343,Freude::N,баяр,баяр
344,Freude::N,баяр,баясгалан
345,Freude::N,баясгалан,баяр
346,Freude::N,баясгалан,баясгалан
347,Gelächter::N,инээдэм,инээдэм
348,Glück::N,жаргалан,жаргалан
349,Kummer::N,гаслан,гаслан
350,Wunsch::N,ерөөл,ерөөл
351,Lust::N,дур,дур
352,Lust::N,дур,хүсэл
353,Lust::N,хүсэл,дур
354,Lust::N,хүсэл,хүсэл
355,Geist::N,оюун,оюун
356,Gedanke::N,сэтгэл,сэтгэл
357,Gedächtnis::N,ой,ой
358,Gedächtnis::N,ой,цээж
359,Gedächtnis::N,цээж,ой
360,Gedächtnis::N,цээж,цээж
361,Verstand::N,ухаан,ухаан
362,Sinn::N,утга,утга
363,Grund::N,учир,учир
364,Wahrheit::N,үнэн,үнэн
365,Gespräch::N,яриа,яриа
366,Märchen::N,явган үлгэр,явган үлгэр
367,Erzählung::N,тууж,тууж
368,Nachricht::N,мэдээ,мэдээ
369,Neuigkeit::N,сонин,сонин
370,Name::N,нэр,нэр
371,Rätsel::N,оньсого,оньсого
372,Rede::N,хэлсэн үг,хэлсэн үг
373,Sprache::N,хэл,хэл
374,Stimme::N,дуу,дуу
375,Wort::N,үг,үг
376,Zeichen::N,тамга,тамга
377,Zeichen::N,тамга,тэмдэг
378,Zeichen::N,тэмдэг,тамга
379,Zeichen::N,тэмдэг,тэмдэг
380,Ruf::N,дуудлага,дуудлага
381,Lärm::N,шуугиан,шуугиан
382,Lärm::N,шуугиан,чимээ
383,Lärm::N,чимээ,шуугиан
384,Lärm::N,чимээ,чимээ
385,Laut::N,анир,анир
386,Laut::N,анир,дуу
387,Laut::N,дуу,анир
388,Laut::N,дуу,дуу
389,Ton::N,авиа,авиа
390,Ton::N,авиа,аялгуу
391,Ton::N,аялгуу,авиа
392,Ton::N,аялгуу,аялгуу
393,Lied::N,дуу,дуу
394,Ruhe::N,энх,энх
395,Ruhe::N,энх,тайван
396,Ruhe::N,тайван,энх
397,Ruhe::N,тайван,тайван
398,Leute::N,хүмүүс,хүмүүс
399,Volk::N,улс,улс
400,Arbeit::N,ажил,ажил
401,Arbeit::N,ажил,хөдөлмөр
402,Arbeit::N,хөдөлмөр,ажил
403,Arbeit::N,хөдөлмөр,хөдөлмөр
404,Gast::N,зочин,зочин
405,Gast::N,зочин,айлчин
406,Gast::N,айлчин,зочин
407,Gast::N,айлчин,айлчин
408,Geschenk::N,бэлэг,бэлэг
409,Spiel::N,наадам,наадам
410,Spiel::N,наадам,тоглоом
411,Spiel::N,тоглоом,наадам
412,Spiel::N,тоглоом,тоглоом
413,Gesellschaft::N,хамт байх,хамт байх
414,Hilfe::N,тусламж,тусламж
415,Freund::N,найз,найз
416,Freund::N,найз,нөхөр
417,Freund::N,нөхөр,найз
418,Freund::N,нөхөр,нөхөр
419,Kamerad::N,хань,хань
420,Kamerad::N,хань,нөхөр
421,Kamerad::N,нөхөр,хань
422,Kamerad::N,нөхөр,нөхөр
423,Angelegenheit::N,хэрэг,хэрэг
424,Anzahl::N,тоо,тоо
425,Art::N,төрөл,төрөл
426,Art::N,төрөл,янз
427,Art::N,янз,төрөл
428,Art::N,янз,янз
429,Stück::N,хэсэг,хэсэг
430,Teil::N,хувь,хувь
431,Teil::N,хувь,хэсэг
432,Teil::N,хэсэг,хувь
433,Teil::N,хэсэг,хэсэг
434,Hälfte::N,хагас,хагас
435,Kreis::N,тойрог,тойрог
436,Kreis::N,тойрог,хүрээ
437,Kreis::N,хүрээ,тойрог
438,Kreis::N,хүрээ,хүрээ
439,Kreuz::N,загалмай,загалмай
440,Linie::N,шугам,шугам
441,Strich::N,зураас,зураас
442,Abstand::N,зай,зай
443,Entfernung::N,зай,зай
444,Entfernung::N,зай,хол ойр
445,Entfernung::N,хол ойр,зай
446,Entfernung::N,хол ойр,хол ойр
447,Gegend::N,хавь,хавь
448,Gegend::N,хавь,газар
449,Gegend::N,газар,хавь
450,Gegend::N,газар,газар
451,Platz::N,зай,зай
452,Platz::N,зай,завсар
453,Platz::N,завсар,зай
454,Platz::N,завсар,завсар
455,Ort::N,газар,газар
456,Ort::N,газар,байр
457,Ort::N,байр,газар
458,Ort::N,байр,байр
459,Seite::N,тал,тал
460,Seite::N,тал,этгээд
461,Seite::N,этгээд,тал
462,Seite::N,этгээд,этгээд
463,Mitte::N,төв,төв
464,Mitte::N,төв,дунд
465,Mitte::N,дунд,төв
466,Mitte::N,дунд,дунд
467,Gegenstand::N,юм,юм
468,Sache::N,үйл,үйл
469,Sache::N,үйл,хэрэг
470,Sache::N,хэрэг,үйл
471,Sache::N,хэрэг,хэрэг
472,Rand::N,зах,зах
473,Rand::N,зах,хөвөө
474,Rand::N,хөвөө,зах
475,Rand::N,хөвөө,хөвөө
476,Kante::N,ирмэг,ирмэг
477,Ecke::N,өнцөг,өнцөг
478,Spitze::N,үзүүр,үзүүр
479,Ende::N,зах,зах
480,Ende::N,зах,үзүүр
481,Ende::N,үзүүр,зах
482,Ende::N,үзүүр,үзүүр
483,Loch::N,цоорхой,цоорхой
484,Loch::N,цоорхой,онгорхой
485,Loch::N,онгорхой,цоорхой
486,Loch::N,онгорхой,онгорхой
487,Winkel::N,өнцөг,өнцөг
488,Muster::N,хээ,хээ
489,Muster::N,хээ,угалз
490,Muster::N,угалз,хээ
491,Muster::N,угалз,угалз
492,Größe::N,хэмжээ,хэмжээ
493,Länge::N,урт,урт
494,Höhe::N,өндөр,өндөр
495,Gewicht::N,жин,жин
496,Menge::N,тоо,тоо
497,Haufen::N,бөөн,бөөн
498,Reihe::N,эгнээ,эгнээ
499,Boot::N,завь,завь
500,Ruder::N,сэлүүр,сэлүүр
501,Schlitten::N,чарга,чарга
502,Ski::N,цана,цана
503,Lagerfeuer::N,түүдэг,түүдэг
504,Last::N,ачаа,ачаа
505,Gang::N,явдал,явдал
506,Schritt::N,алхам,алхам
507,Norden::N,умар,умар
508,Süden::N,урд,урд
509,Süden::N,урд,өмнө
510,Süden::N,өмнө,урд
511,Süden::N,өмнө,өмнө
512,Westen::N,өрнө,өрнө
513,Westen::N,өрнө,баруун
514,Westen::N,баруун,өрнө
515,Westen::N,баруун,баруун
516,Osten::N,зүүн,зүүн
517,Osten::N,зүүн,дорно
518,Osten::N,дорно,зүүн
519,Osten::N,дорно,дорно
520,Holz::N,мод,мод
521,Brett::N,банз,банз
522,Platte::N,хавтан,хавтан
523,Stütze::N,тулгуур,тулгуур
524,Stütze::N,тулгуур,тулга
525,Stütze::N,тулга,тулгуур
526,Stütze::N,тулга,тулга
527,Stange::N,сургааг,сургааг
528,Stock::N,саваа,саваа
529,Stab::N,таяг,таяг
530,Rohr::N,хоолой,хоолой
531,Haus::N,гэр,гэр
532,Haus::N,гэр,байшин
533,Haus::N,байшин,гэр
534,Haus::N,байшин,байшин
535,Heim::N,гэр,гэр
536,Ofen::N,зуух,зуух
537,Ofen::N,зуух,пийшин
538,Ofen::N,пийшин,зуух
539,Ofen::N,пийшин,пийшин
540,Fußboden::N,шал,шал
541,Tisch::N,ширээ,ширээ
542,Stuhl::N,сандал,сандал
543,Wiege::N,өлгий,өлгий
544,Bett::N,ор,ор
545,Regal::N,тавиур,тавиур
546,Kiste::N,авдар,авдар
547,Kiste::N,авдар,хайрцаг
548,Kiste::N,хайрцаг,авдар
549,Kiste::N,хайрцаг,хайрцаг
550,Fenster::N,гэгээвч,гэгээвч
551,Tür::N,үүд,үүд
552,Tür::N,үүд,хаалга
553,Tür::N,хаалга,үүд
554,Tür::N,хаалга,хаалга
555,Tor::N,хаалга,хаалга
556,Zaun::N,хашаа,хашаа
557,Dach::N,дээвэр,дээвэр
558,Leiter::N,шат,шат
559,Besen::N,хамуур,хамуур
560,Besen::N,хамуур,туужуу
561,Besen::N,туужуу,хамуур
562,Besen::N,туужуу,туужуу
563,Spaten::N,хүрз,хүрз
564,Schaufel::N,хүрз,хүрз
565,Gabel::N,сэрээ,сэрээ
566,Löffel::N,халбага,халбага
567,Messer::N,хутга,хутга
568,Nagel::N,хадаас,хадаас
569,Netz::N,өөш,өөш
570,Netz::N,өөш,тор
571,Netz::N,тор,өөш
572,Netz::N,тор,тор
573,Haken::N,гох,гох
574,Griff::N,иш,иш
575,Griff::N,иш,сэнж
576,Griff::N,сэнж,иш
577,Griff::N,сэнж,сэнж
578,Schloss::N,цуурга,цуурга
579,Schloss::N,цуурга,цоож
580,Schloss::N,цоож,цуурга
581,Schloss::N,цоож,цоож
582,Bild::N,зураг,зураг
583,Figur::N,баримал,баримал
584,Puppe::N,хүүхэлдэй,хүүхэлдэй
585,Beutel::N,агсаа,агсаа
586,Beutel::N,агсаа,уут
587,Beutel::N,уут,агсаа
588,Beutel::N,уут,уут
589,Bündel::N,боодол,боодол
590,Tasche::N,цүнх,цүнх
591,Eimer::N,хөнөг,хөнөг
592,Eimer::N,хөнөг,хувин
593,Eimer::N,хувин,хөнөг
594,Eimer::N,хувин,хувин
595,Deckel::N,таг,таг
596,Deckel::N,таг,хавхаг
597,Deckel::N,хавхаг,таг
598,Deckel::N,хавхаг,хавхаг
599,Geschirr::N,сав суулга,сав суулга
600,Sack::N,шуудай,шуудай
601,Tasse::N,аяга,аяга
602,Topf::N,тогоо,тогоо
603,Kessel::N,тогоо,тогоо
604,Essen::N,идээ,идээ
605,Nahrung::N,хүнс,хүнс
606,Speise::N,идээ,идээ
607,Fleisch::N,мах,мах
608,Getreide::N,будаа,будаа
609,Brei::N,богшмол,богшмол
610,Brei::N,богшмол,будаа
611,Brei::N,будаа,богшмол
612,Brei::N,будаа,будаа
613,Brot::N,талх,талх
614,Scheibe::N,зүсэм,зүсэм
615,Scheibe::N,зүсэм,хэрчим
616,Scheibe::N,хэрчим,зүсэм
617,Scheibe::N,хэрчим,хэрчим
618,Fett::N,өөх,өөх
619,Butter::N,тос,тос
620,Öl::N,тос,тос
621,Salz::N,давс,давс
622,Suppe::N,шөл,шөл
623,Honig::N,бал,бал
624,Milch::N,сүү,сүү
625,Tee::N,цай,цай
626,Leder::N,арьс,арьс
627,Leder::N,арьс,савхи
628,Leder::N,савхи,арьс
629,Leder::N,савхи,савхи
630,Wolle::N,ноос,ноос
631,Wolle::N,ноос,унгас
632,Wolle::N,унгас,ноос
633,Wolle::N,унгас,унгас
634,Stoff::N,бөс,бөс
635,Nadel::N,зүү,зүү
636,Faden::N,боолт,боолт
637,Faden::N,боолт,утас
638,Faden::N,утас,боолт
639,Faden::N,утас,утас
640,Knopf::N,товч,товч
641,Knoten::N,зангилаа,зангилаа
642,Farbe::N,будаг,будаг
643,Kleidung::N,хувцас,хувцас
644,Hemd::N,цамц,цамц
645,Kragen::N,зах заам,зах заам
646,Ärmel::N,ханцуй,ханцуй
647,Hose::N,өмд,өмд
648,Gürtel::N,бүс,бүс
649,Mütze::N,малгай,малгай
650,Mütze::N,малгай,бүрх
651,Mütze::N,бүрх,малгай
652,Mütze::N,бүрх,бүрх
653,Schuh::N,туфли,туфли
654,Stiefel::N,гутал,гутал
655,Ring::N,бөгж,бөгж
656,Band::N,тууз,тууз
657,Kamm::N,сам,сам
658,Spiegel::N,толь,толь
659,Riemen::N,тасам,тасам
660,Riemen::N,тасам,сур
661,Riemen::N,сур,тасам
662,Riemen::N,сур,сур
663,Schnur::N,татлага,татлага
664,Leine::N,оосор,оосор
665,Decke::N,хөнжил,хөнжил
666,Decke::N,хөнжил,хучлага
667,Decke::N,хучлага,хөнжил
668,Decke::N,хучлага,хучлага
669,Kissen::N,дэр,дэр
670,Tuch::N,алчуур,алчуур
671,Tuch::N,алчуур,даавуу
672,Tuch::N,даавуу,алчуур
673,Tuch::N,даавуу,даавуу
674,Handtuch::N,алчуур,алчуур
675,Kraft::N,чадал,чадал
676,Kraft::N,чадал,хүч
677,Kraft::N,хүч,чадал
678,Kraft::N,хүч,хүч
679,Stärke::N,эрч,эрч
680,Stärke::N,эрч,тэнхээ
681,Stärke::N,тэнхээ,эрч
682,Stärke::N,тэнхээ,тэнхээ
683,Gesundheit::N,бие,бие
684,Gesundheit::N,бие,эрүүл мэнд
685,Gesundheit::N,эрүүл мэнд,бие
686,Gesundheit::N,эрүүл мэнд,эрүүл мэнд
687,Krankheit::N,эмгэг,эмгэг
688,Schmerz::N,өвчин,өвчин
689,Wunde::N,шарх,шарх
690,Fieber::N,халуун,халуун
691,Arznei::N,эм,эм
692,Brücke::N,гүүр,гүүр
693,Brunnen::N,худаг,худаг
694,Weide::N,бэлчээр,бэлчээр
695,Pfad::N,жим,жим
696,Pfad::N,жим,зөрөг
697,Pfad::N,зөрөг,жим
698,Pfad::N,зөрөг,зөрөг
699,Weg::N,зам,зам
700,Weg::N,зам,харгуй
701,Weg::N,харгуй,зам
702,Weg::N,харгуй,харгуй
703,Straße::N,зам,зам
704,Straße::N,зам,харгуй
705,Straße::N,харгуй,зам
706,Straße::N,харгуй,харгуй
707,Dorf::N,тосгон,тосгон
708,Dorf::N,тосгон,гацаа
709,Dorf::N,гацаа,тосгон
710,Dorf::N,гацаа,гацаа
711,Stadt::N,хот,хот
712,Brief::N,захидал,захидал
713,Brief::N,захидал,захиа
714,Brief::N,захиа,захидал
715,Brief::N,захиа,захиа
716,Buch::N,ном,ном
717,Buch::N,ном,бичиг
718,Buch::N,бичиг,ном
719,Buch::N,бичиг,бичиг
720,Buchstabe::N,үсэг,үсэг
721,Zeitung::N,сонин,сонин
722,Leben::N,амь,амь
723,Leben::N,амь,амьдрал
724,Leben::N,амьдрал,амь
725,Leben::N,амьдрал,амьдрал
726,Tod::N,үхэл,үхэл
727,Grab::N,булш,булш
728,Kirche::N,сүм,сүм
729,Sünde::N,нүгэл,нүгэл
730,Sünde::N,нүгэл,хилэнц
731,Sünde::N,хилэнц,нүгэл
732,Sünde::N,хилэнц,хилэнц
733,Gott::N,бурхан,бурхан
734,Arbeiter::N,ажилчин,ажилчин
735,Arbeiter::N,ажилчин,хөдөлмөрчин
736,Arbeiter::N,хөдөлмөрчин,ажилчин
737,Arbeiter::N,хөдөлмөрчин,хөдөлмөрчин
738,Chef::N,дарга,дарга
739,Meister::N,дархан,дархан
740,Arzt::N,эмч,эмч
741,Lehrer::N,багш,багш
742,Geld::N,цаас,цаас
743,Geld::N,цаас,мөнгө
744,Geld::N,мөнгө,цаас
745,Geld::N,мөнгө,мөнгө
746,Geschäft::N,наймаа,наймаа
747,Laden::N,дэлгүүр,дэлгүүр
748,Preis::N,үнэ,үнэ
749,Ware::N,таваар,таваар
750,Ware::N,таваар,бараа
751,Ware::N,бараа,таваар
752,Ware::N,бараа,бараа
753,Nutzen::N,ашиг,ашиг
754,Reichtum::N,баялаг,баялаг
755,Welt::N,дэлхий,дэлхий
756,Welt::N,дэлхий,орчлон
757,Welt::N,орчлон,дэлхий
758,Welt::N,орчлон,орчлон
759,Land::N,улс,улс
760,Land::N,улс,орон
761,Land::N,орон,улс
762,Land::N,орон,орон
763,Staat::N,төр,төр
764,Staat::N,төр,гүрэн
765,Staat::N,гүрэн,төр
766,Staat::N,гүрэн,гүрэн
767,König::N,ван,ван
768,Macht::N,засаг,засаг
769,Grenze::N,хил,хил
770,Krieg::N,дайн,дайн
771,Feind::N,дайсан,дайсан
772,Gewalt::N,хүчирхэх,хүчирхэх
773,Kampf::N,тэмцэл,тэмцэл
774,Kampf::N,тэмцэл,байлдаан
775,Kampf::N,байлдаан,тэмцэл
