,Concept_ID,ba,sah
59,Geruch::N,еҫ,сыт
60,Schlaf::N,йоҡлау,утуйуу
61,Traum::N,төш,түүл
62,Himmel::N,күк,халлаан
63,Sonne::N,ҡояш,күн
64,Mond::N,ай,ый
65,Stern::N,йондоҙ,сулус
66,Luft::N,һауа,салгын
67,Wind::N,ел,тыал
68,Welle::N,тулҡын,долгун
69,Welle::N,тулҡын,балхаан
70,Wasser::N,һыу,уу
71,Stein::N,таш,таас
72,Boden::N,тупраҡ,сир
73,Erde::N,балсҡ,буор
74,Staub::N,туҙан,быыл
75,Rauch::N,төтөн,буруо
76,Funke::N,осҡон,кыым
77,Feuer::N,ут,уот
78,Licht::N,яҡтылыҡ,уот
79,Schatten::N,күләгә,күлүк
80,Wetter::N,һауа торошо,күн-дьыл
81,Nebel::N,төман,туман
82,Wolke::N,болот,былыт
83,Regen::N,ямғыр,самыыр
84,Schnee::N,ҡар,хаар
85,Eis::N,боҙ,муус
86,Frost::N,һалҡын,тымныы
87,Kälte::N,һыуыҡ,тымныы
88,Hitze::N,томра,куйаас
89,Hitze::N,эҫелек,куйаас
90,Raureif::N,ҡырау,кырыа
91,Regenbogen::N,йәйғор,кустук
92,Donner::N,күк күкрәү,этиҥ
93,Strömung::N,ағым,сүүрүк
94,Tropfen::N,тамсы,таммах
95,Tropfen::N,тамсы,хааппыла
96,Schaum::N,күбек,күүгэн
97,Schmutz::N,батҡаҡ,кир
98,See::N,күл,күөл
99,Sumpf::N,һаҙлык,бадараан
100,Moor::N,һаҙ,дьэбэрэ
101,Wiese::N,болон,ходуһа
102,Wald::N,урман,ойуур
103,Hügel::N,түбә,булгунньах
104,Anhöhe::N,түбә,үрдэл
105,Anhöhe::N,ҡалҡыулыҡ,үрдэл
106,Berg::N,тау,хайа
107,Gipfel::N,түбә,чыпчаал
108,Höhle::N,мәмерйә,хайа_хаспаҕа
109,Höhle::N,мәмерйә,көҥүс
110,Abhang::N,ипкен,эниэ
111,Quelle::N,шишмә,дьүүктэ
112,Bach::N,шишмә,үрүйэ
113,Fluss::N,йылға,өрүс
114,Ufer::N,яр,биэрэк
115,Küste::N,яр буйы,кытыл
116,Festland::N,ҡоро ер,кураанах сир
117,Meer::N,диңгез,муора
118,Bucht::N,бухта,хомо
119,Bucht::N,бухта,бухта
120,Insel::N,үтрау,арыы
121,Blume::N,сәскә,сибэкки
122,Gras::N,үлән,от
123,Wurzel::N,тамыр,силис
124,Baum::N,ағас,мас
125,Stamm::N,олон,умнас
126,Stamm::N,көбәк,умнас
127,Rinde::N,ҡабыҡ,хатырык
128,Ast::N,ботаҡ,мутук
129,Zweig::N,ботаҡ,лабаа
130,Zweig::N,тармаҡ,лабаа
131,Blatt::N,япраҡ,сэбирдэх
132,Birke::N,ҡайын,хатыҥ
133,Kiefer[Baum]::N,ҡарғай,бэс
134,Weide[Baum]::N,тал,үөт
135,Weide[Baum]::N,тал,талах
136,Tanne::N,шыршы,харыйа
137,Horn::N,мөғөҙ,муос
138,Feder::N,ҡауырһын,куорсун
139,Fell::N,тире,тирии
140,Flügel::N,ҡанат,кынат
141,Klaue::N,тырнаҡ,тыҥырах
142,Kralle::N,аяҡ,баппаҕай
143,Schwanz::N,ҡойроҡ,кутурук
144,Ei::N,йомортҡа,сымыыт
145,Nest::N,оя,уйа
146,Bau::N,оң,хороон
147,Tier::N,жайуан,кыыл
148,Tier::N,жайуан,харамай
149,Tier::N,йыртҡыс,кыыл
150,Tier::N,йыртҡыс,харамай
151,Herde::N,көтөү,үөр
152,Kuh::N,һыйыр,ынах
153,Bulle::N,үгеҙ,оҕус
154,Pferd::N,ат,сылгы
155,Schaf::N,һарыҡ,овца
156,Schwein::N,сусҡа,сибиинньэ
157,Hund::N,эт,ыт
158,Katze::N,бесәй,куоска
159,Bär::N,айыу,эһэ
160,Eichhörnchen::N,тейен,тииҥ
161,Elch::N,мышы,тайах
162,Fuchs::N,төлкө,саһыл
163,Hase::N,ҡуян,куобах
164,Maus::N,сысҡан,кутуйах
165,Wolf::N,бүре,бөрө
166,Vogel::N,ҡош,көтөр
167,Schwarm::N,көтөү,бөлөх
168,Huhn::N,тауыҡ,куурусса
169,Hahn::N,әтәс,бөтүүк
170,Gans::N,ҡаҙ,хаас
171,Adler::N,бөркөт,хотой
172,Ente::N,өйрәк,кус
173,Eule::N,өкө,мэкчиргэ
174,Eule::N,ябалаҡ,мэкчиргэ
175,Kranich::N,торна,туруйа
176,Krähe::N,ҡарға,тураах
177,Kuckuck::N,кәкүк,кэҕэ
178,Schwan::N,аҡҡош,куба
179,Fisch::N,балыҡ,балык
180,Barsch::N,алабуға,алыһар
181,Hecht::N,суртан,сордон
182,Schlange[Tier]::N,йылан,моҕой
183,Schlange[Tier]::N,йылан,эриэн үөн
184,Wurm::N,селяүсен,үөн
185,Spinne::N,үрмәксе,ооҕуй
186,Ameise::N,ҡырмыҫҡа,кымырдаҕас
187,Laus::N,бет,быт
188,Mücke::N,серәкәй,кумаар
189,Fliege::N,себен,сахсырҕа
190,Schmetterling::N,күбәләк,лыах
191,Schmetterling::N,күбәләк,үрүмэччи
192,Beere::N,еләк,отон
193,Apfel::N,алма,яблоко
194,Pilz::N,бәшмәк,тэллэй
195,Zwiebel::N,һуган,луук
196,Saat::N,орлоҡ,сиэмэ
197,Korn::N,иген,сиэмэ
198,Heu::N,бесән,от
199,Schale::N,ҡабыҡ,хах
200,Grube::N,соҡор,дьаама
201,Falle::N,тоҙак,сохсо
202,Falle::N,ҡапҡан,сохсо
203,Schlinge::N,тоҙак,уктаа
204,Spur::N,әҫер,суол
205,Asche::N,көл,күл
206,Dreck::N,батҡаҡ,бадараан
207,Eisen::N,тимер,тимир
208,Gold::N,алтын,көмүс
209,Gold::N,алтын,кыһыл көмүс
210,Silber::N,көмөш,көмүс
211,Silber::N,көмөш,үрүҥ көмүс
212,Kohle::N,күмер,чох
213,Glas::N,быяла,өстүөкүлэ
214,Lehm::N,балсыҡ,туой
215,Sand::N,ҡом,кумах
216,Mensch::N,кеше,киһи
217,Mann::N,ир,эр
218,Frau::N,ҡатын,дьахтар
219,Kind::N,бала,оҕо
220,Junge::N,малай,уол
221,Mädchen::N,ҡыҙ,кыыс оҕо
222,Mädchen::N,ҡыҙыҡай,кыыс оҕо
223,Familie::N,ғаилә,кэргэн
224,Großvater::N,олатай,эһэ
225,Großmutter::N,әбәй,эбэ
226,Eltern::N,ата-әсә,аҕа-ийэ
227,Vater::N,атай,аҕа
228,Mutter::N,әсә,ийэ
229,Sohn::N,ул,уол
230,Tochter::N,ҡыҙ,кыыс
231,Bruder::N,агай,убай
232,Bruder::N,агай,быраат
233,Schwester::N,алай,аҕас
234,Schwester::N,алай,балыс
235,Schwester::N,һеңле,аҕас
236,Schwester::N,һеңле,балыс
237,Onkel::N,ағай,таай
238,Onkel::N,ағай,абаҕа
239,Tante::N,апай,эдьиий
240,Ehemann::N,ир,эр
241,Ehefrau::N,ҡатын,ойох
242,Freude::N,шатлыҡ,үөрүү
243,Freude::N,ҡыуаныс,үөрүү
244,Gelächter::N,көлөү,күлүү
245,Glück::N,бәхет,дьол
246,Glück::N,бәхет,соргу
247,Kummer::N,ҡайғы,кутурҕан
248,Wunsch::N,теләк,баҕарыы
249,Lust::N,әүәҫлек,баҕа
250,Geist::N,аң,тыын
251,Geist::N,рух,тыын
252,Gedanke::N,уй,санаа
253,Gedanke::N,фекер,санаа
254,Gedächtnis::N,хәтер,өй
255,Verstand::N,аҡыл,өй
256,Sinn::N,мәғәня,суолта
257,Grund::N,сәбәп,төрүөт
258,Wahrheit::N,дөрөҫлөк,кырдьык
259,Gespräch::N,әңгәмә,бэсиэдэ
260,Gespräch::N,әңгәмә,кэпсэтии
261,Märchen::N,әкиәт,остуоруйа
262,Erzählung::N,хикәйә,кэпсээн
263,Nachricht::N,хәбәр,биллэриллии
264,Neuigkeit::N,яңылыҡ,сонун
265,Name::N,исем,аат
266,Rätsel::N,йомаҡ,таабырын
267,Rede::N,телмәр,этии
268,Sprache::N,тел,тыл
269,Sprache::N,телмәр,тыл
270,Stimme::N,тауыш,куолас
271,Wort::N,һүҙ,тыл
272,Zeichen::N,билдә,бэлиэ
273,Ruf::N,саҡырыу,ыҥырыы
274,Lärm::N,шаулау,айдаан
275,Laut::N,тауыш,тыас
276,Ton::N,яңғырау,дорҕоон
277,Lied::N,йыр,ырыа
278,Ruhe::N,ял,уу чуумпу
279,Ruhe::N,тыныслыҡ,уу чуумпу
280,Leute::N,кешеләр,дьон
281,Volk::N,халҡ,дьон
282,Volk::N,халҡ,норуот
283,Arbeit::N,эш,үлэ
284,Gast::N,ҡунаҡ,ыалдьыт
285,Geschenk::N,бүләк,бэлэх
286,Spiel::N,уйын,оонньуу
287,Gesellschaft::N,йәмғиәт,общество
288,Hilfe::N,ярҙам,көмө
289,Freund::N,дуҫ,доҕор
290,Kamerad::N,иптәш,атас
291,Angelegenheit::N,әш,дьыала
292,Anzahl::N,һан,ахсаан
293,Art::N,төр,биис
294,Stück::N,киҫәк,кырбас
295,Teil::N,өлөш,ирээт
296,Hälfte::N,ярты,аҥар
297,Kreis::N,түңәрәк,төгүрүк
298,Kreis::N,түңәрәк,төгүрүмтэ
299,Kreuz::N,тәре,кириэс
300,Linie::N,һыҙыҡ,сурааһын
301,Strich::N,һыҙат,сурааһын
302,Abstand::N,ара,арыт
303,Entfernung::N,алыҫлыҡ,ыраах
304,Gegend::N,урын,сир
305,Platz::N,арауыҡ,арыт
306,Ort::N,ерҙәр,сир
307,Ort::N,урындар,сир
308,Ort::N,эш урыны,сир
309,Seite::N,яҡ,өрүт
310,Seite::N,яҡ,сирэй
311,Mitte::N,урталыҡ,орто
312,Gegenstand::N,нәмә,предмет
313,Sache::N,нәмә,мал
314,Sache::N,әйбер,мал
315,Rand::N,сит,кытыы
316,Rand::N,сит,ойоҕос
317,Kante::N,ҡабырға,кырыы
318,Kante::N,ян,кырыы
319,Ecke::N,мөйөш,муннук
320,Spitze::N,ос,чыпчаал
321,Ende::N,аҙаҡ,төбө
322,Loch::N,тишек,тэһэҕэс
323,Loch::N,тишек,дьөлөҕөс
324,Winkel::N,мөйөш,муннук
325,Muster::N,биҙәк,оһуор
326,Größe::N,ҙурлыҡ,кээмэй
327,Länge::N,оҙонлоҡ,уста
328,Höhe::N,бейеклек,үрдүк
329,Gewicht::N,үлсәү,ыйааһын
330,Menge::N,һан,ахсаан
331,Haufen::N,өйөм,чөмчөх
332,Reihe::N,рәт,кэккэ
333,Boot::N,кәмә,оҥочо
334,Ruder::N,ишкәк,эрдии
335,Schlitten::N,сана,сыарҕа
336,Ski::N,саңгы,хайыһар
337,Lagerfeuer::N,костер,кутаа
338,Last::N,ауырлыҡ,ыарахан
339,Gang::N,барыу,хаамыы
340,Schritt::N,аҙым,хардыы
341,Norden::N,төньяҡ,хоту
342,Süden::N,көньяҡ,соҕуруу
343,Westen::N,көнбайыш,арҕаа
344,Osten::N,көнсығыш,илин
345,Holz::N,үағас,мас
346,Brett::N,таҡта,дуоска
347,Brett::N,таҡта,хаптаһын
348,Platte::N,плита,билиитэ
349,Stütze::N,терәк,тулааһын
350,Stange::N,кәртә,ураҕас
351,Stock::N,таяҡ,мас
352,Stock::N,таяҡ,баалкы
353,Stab::N,ҡолға,ураҕас
354,Rohr::N,торба,турба
355,Haus::N,өй,дьиэ
356,Haus::N,йорт,дьиэ
357,Heim::N,өй,дьиэ
358,Ofen::N,мейес,оһох
359,Fußboden::N,енес,муоста
360,Tisch::N,өҫтәл,остуол
361,Stuhl::N,ултырғыс,устуул
362,Wiege::N,бишек,биһик
363,Bett::N,карауат,кырабаат
364,Regal::N,кәштә,долбуур
365,Kiste::N,йәшинк,дьааһык
366,Fenster::N,тәҙрә,түннүк
367,Tür::N,ишек,аан
368,Tor::N,ҡапҡа,аан
369,Zaun::N,ҡойма,соппулуот
370,Dach::N,түбә,кырыыса
371,Dach::N,ҡыйыҡ,кырыыса
372,Leiter::N,баҫҡыс,кирилиэс
373,Besen::N,һепертке,миинньик
374,Spaten::N,көрәк,күрдьэх
375,Schaufel::N,көрәк,күрдьэх
376,Gabel::N,сәнске,биилкэ
377,Löffel::N,ҡалаҡ,луоска
378,Messer::N,бысаҡ,быһах
379,Nagel::N,сөй,тоһоҕо
380,Netz::N,ау,илим
381,Haken::N,ыргаҡ,көхө
382,Griff::N,тотҡа,ук
383,Griff::N,тотҡа,тутаах
384,Schloss::N,йоҙаҡ,күлүүс
385,Bild::N,картина,хартыына
386,Figur::N,һын,фигура
387,Puppe::N,ҡурсаҡ,куукула
388,Beutel::N,тоҡ,мөһөөччук
389,Bündel::N,төргәк,баайыы
390,Tasche::N,сумка,суумка
391,Eimer::N,биҙрә,биэдэрэ
392,Deckel::N,ҡапҡас,хаппах
393,Geschirr::N,һауыт-һаба,иһит
394,Sack::N,тоҡ,куул
395,Tasse::N,сынаяҡ,сэлиэнэй
396,Topf::N,кәстрүл,көстүрүүҥкэ
397,Kessel::N,ҡаҙан,хочуол
398,Essen::N,ашау,аһылык
399,Nahrung::N,аҙыҡ,ас
400,Speise::N,аш,аһылык
401,Fleisch::N,ит,эт
402,Getreide::N,иген,злактар
403,Getreide::N,ашлыҡ,злактар
404,Brei::N,бутҡа,хааһы
405,Brot::N,икмәк,килиэп
406,Scheibe::N,телем,куһуок
407,Fett::N,май,сыа
408,Butter::N,май,арыы
409,Öl::N,май буяуы,арыы
410,Salz::N,тоҙ,туус
411,Suppe::N,һурпа,мин
412,Honig::N,бал,мүөт
413,Milch::N,һөт,үүт
414,Tee::N,сәй,чэй
415,Leder::N,күн,тирии
416,Wolle::N,йөн,түү
417,Stoff::N,туҡыма,таҥас
418,Nadel::N,энә,иннэ
419,Faden::N,еп,сап
420,Knopf::N,төймә,тимэх
421,Knoten::N,төйөн,түмүк
422,Farbe::N,буяу,кырааска
423,Kleidung::N,кейем,таҥас
424,Hemd::N,күлдәк,ырбаахы
425,Kragen::N,яға,саҕа
426,Ärmel::N,ең,сиэх
427,Hose::N,салбар,ыстаан
428,Hose::N,салбар,бүрүүкэ
429,Gürtel::N,ҡайыш,кур
430,Mütze::N,бүрк,бэргэһэ
431,Schuh::N,туфли,бачыыҥка
432,Stiefel::N,итек,саппыкы
433,Ring::N,йөҙөк,биһилэх
434,Ring::N,балдаҡ,биһилэх
435,Band::N,таҫма,лиэнтэ
436,Kamm::N,тараҡ,тараах
437,Spiegel::N,көзгө,сиэркилэ
438,Riemen::N,ҡайыш,кур
439,Schnur::N,бау,быа
440,Leine::N,бау,тэһиин
441,Decke::N,одеяд,суорҕан
442,Kissen::N,мендәр,сыттык
443,Tuch::N,яулыҡ,былаат
444,Handtuch::N,таҫтамал,соттор
445,Kraft::N,көс,сыра
446,Stärke::N,көс,күүс
447,Gesundheit::N,һаулыҡ,доруобуйа
448,Krankheit::N,сир,ыарыы
449,Krankheit::N,ауырыу,ыарыы
450,Schmerz::N,һыҙлау,ыарыы
451,Schmerz::N,әрнеү,ыарыы
452,Wunde::N,йәрәхәт,баас
453,Fieber::N,тапма,түрүлгэн
454,Fieber::N,тапма,лихорадка
455,Fieber::N,тапма,температура
456,Fieber::N,биҙгәк,түрүлгэн
457,Fieber::N,биҙгәк,лихорадка
458,Fieber::N,биҙгәк,температура
459,Arznei::N,дарыу,эмп
460,Brücke::N,күпер,күргэ
461,Brunnen::N,ҡоҙоҡ,холуодьас
462,Weide::N,көтөүлек,мэччирэҥ
463,Pfad::N,һуҡмаҡ,ыллык
464,Weg::N,юл,суол
465,Straße::N,урам,суол
466,Dorf::N,ауыл,дэриэбинэ
467,Stadt::N,ҡала,куорат
468,Brief::N,хат,сурук
469,Buch::N,китап,кинигэ
470,Buch::N,кенәгә,кинигэ
471,Buchstabe::N,хәреф,буква
472,Zeitung::N,гәзит,хаһыат
473,Leben::N,йәшәү,тыын
474,Tod::N,үлем,өлүү
475,Grab::N,ҡәбер,иин
476,Kirche::N,сиркәү,таҥара дьиэтэ
477,Sünde::N,гөнаһ,айыы
478,Gott::N,алла,тангара
479,Gott::N,хоҙай,тангара
480,Arbeiter::N,эшсе,үлэһит
481,Chef::N,башлыҡ,баһылык
482,Chef::N,башлыҡ,начальник
483,Meister::N,оҫта,уус
484,Meister::N,оҫта,маастар
485,Arzt::N,врач,врач
486,Lehrer::N,уҡытыусы,учуутал
487,Geld::N,аҡса,харчы
488,Geschäft::N,эш,идэ
489,Laden::N,магазин,маҕаһыын
490,Preis::N,хаҡ,сыана
491,Ware::N,тауар,табаар
492,Nutzen::N,файҙа,туһа
493,Reichtum::N,байлыҡ,баай
494,Welt::N,донъя,аан дойду
495,Land::N,ил,дойду
496,Staat::N,дәүләт,государство
497,König::N,король,король
498,Macht::N,власть,былаас
499,Grenze::N,сик,кыраныысса
500,Krieg::N,һуғыш,сэрии
501,Feind::N,йылан,өстөөх
502,Gewalt::N,көслөк,күүһүлээһин
503,Kampf::N,көрәш,охсуһуу
504,Bogen[Waffe]::N,йәйә,ох
505,Pfeil::N,уҡ,ох
506,Gewehr::N,мылтыҡ,саа
507,Fehler::N,хата,сыыһа
508,Lüge::N,ялған,сымыйа
509,Schaden::N,зыян,хоромньу
510,Schaden::N,зарар,хоромньу
511,Unglück::N,ҡаза,алдьархай
512,Schuld::N,ғәйеп,буруй
513,Alter::N,йәш,саас
514,Schluss::N,һуң,тиһэх
515,Schluss::N,аҙаҡ,тиһэх
516,Zeit::N,мәл,бириэмэ
517,Zeit::N,заман,бириэмэ
518,Tag::N,көн,күн
519,Morgen::N,иртә,сарсыарда
520,Morgen::N,иртәнсәк,сарсыарда
521,Mittag::N,төш,күн ортото
522,Abend::N,кис,киэһэ
523,Nacht::N,төн,түүн
524,Woche::N,аҙна,нэдиэлэ
525,Monat::N,ай,ый
526,Jahr::N,йыл,сыл
527,Jahr::N,йыл,дьыл
528,Frühling::N,яҙ,саас
529,Sommer::N,йәй,сайын
530,Herbst::N,көз,күһүн
531,Winter::N,ҡыш,кыһын
532,Januar::N,ғинуар,тохсунньу
533,Februar::N,февраль,олунньу
534,März::N,март,кулун тутар
535,April::N,апрель,муус устар ый
536,Mai::N,май,ыам ыйа
537,Juni::N,июнь,бэс ыйа
538,Juli::N,июль,от ыйа
539,August::N,август,атырдьах ыйа
540,September::N,сентябрь,балаҕан ыйа
541,Oktober::N,октябрь,алтынньы
542,November::N,ноябрь,сэтинньи
543,Dezember::N,декабрь,ахсынньы
544,Montag::N,дүшәмбе,бэнидиэнньик
545,Dienstag::N,шишәмбе,оптуорунньук
546,Mittwoch::N,шаршамбы,сэрэдэ
547,Donnerstag::N,кесаҙна,чэппиэр
548,Freitag::N,йома,бээтинсэ
549,Samstag::N,шәмбе,субуота
550,Sonntag::N,йәкшәмбе,баскыһыанньа
551,groß::A,ҙур,бөдөҥ
552,groß::A,ҙур,улахан
553,klein::A,бәләкәс,кыр
554,lang::A,оҙон,уһун
555,kurz::A,ҡыҫҡа,кылгас
556,breit::A,киң,кэтит
557,schmal::A,тар,кыараҕас
558,dicht::A,йыш,хойуу
559,dicht::A,ҡуйы,хойуу
560,dick[Gegenstand]::A,ҡалын,суон
561,dick[Gegenstand]::A,ҡалын,хойуу
562,dünn::A,йоҡа,чараас
563,dünn::A,нәҙек,чараас
564,fein::A,нескә,бытархай
565,fein::A,нескә,синньигес
566,fest::A,ныҡ,бөҕө
567,fest::A,ныҡ,кытаанах
568,flach::A,яҫы,хаптаҕай
569,flach::A,ялпаҡ,хаптаҕай
570,glatt::A,шыма,кылааккай
571,hart::A,ҡаты,хатан
572,hart::A,ҡаты,кытаанах
573,weich::A,йомшаҡ,сымнаҕас
574,rund::A,түңәрәк,төгүрүк
575,spitz::A,осло түбәле,сытыы
576,spitz::A,осло түбәле,уһуктаах
577,scharf::A,үткер,сытыы
578,stumpf::A,утмәҫ,сыппах
579,schwer::A,ауыр,ыарахан
580,schön::A,матур,кыраһыабай
581,heiß::A,эҫе,итии
582,warm::A,йылы,ичигэс
583,kalt::A,һыуыҡ,тымныы
584,kühl::A,һалҡынса,сөрүүн
585,frisch::A,һалҡынса,ыраас
586,frisch::A,һалҡынса,сөрүүн
587,frisch::A,һалҡынса,тымныы
588,feucht::A,еүеш,сииктээх
589,feucht::A,дымлы,сииктээх
590,nass::A,еүеш,инчэҕэй
591,trocken::A,кипкән,кураан
592,voll::A,тулы,толору
593,leer::A,буш,иччитэх
594,offen::A,асыҡ,аһаҕас
595,geschlossen::A,ябыҡ,бүтэй
596,sauber::A,таҙа,сэбэр
597,schmutzig::A,бысраҡ,кирдээх
598,roh::A,сей,сиикэй
599,reif::A,өлгөрғән,буспут
600,reif::A,өлгөрғән,сиппит-хоппут
601,lecker::A,тәмле,минньигэс
602,süß::A,тямле,минньигэс
603,süß::A,тәм-том,минньигэс
604,bitter::A,әсе,аһыы
605,sauer::A,әсе,аһыы
606,hell::A,яҡты,сырдык
607,dunkel::A,ҡараңғы,хараҥа
608,schwarz::A,ҡара,хара
609,weiß::A,аҡ,үрүҥ
610,weiß::A,аҡ,маҥан
611,rot::A,матур,кыһыл
612,rot::A,һылыу,кыһыл
613,rot::A,сибәр,кыһыл
614,gelb::A,һары,саһархай
615,blau::A,күк,күөх
616,grün::A,йәшел,күөх
617,grün::A,йәшел,от күөҕэ
618,grau::A,буҙ,сиэрэй
619,bunt::A,сыбар,эриэн
620,bunt::A,ала-ҡола,эриэн
621,billig::A,арзан,чэпчэки
622,teuer::A,ҡыйбатлы,сыаналаах
623,wertvoll::A,ҡиммәтле,сыаналаах
624,blind::A,һуҡыр,хараҕа суох
625,taub::A,һаңғырау,дьүлэй
626,kräftig::A,көслө,модун
627,kräftig::A,ҡеүәтле,модун
628,stark::A,көслө,күүстээх
629,stark::A,ҡеүәтле,күүстээх
630,schwach::A,көсһөҙ,мөлтөх
631,fett::A,һимеҙ,эмис
632,schlank::A,зифа,дьылҕан
633,schlank::A,зифа,дьыпсаҕай
634,hübsch::A,матур,олус кэрэ
635,hübsch::A,матур,көрүөхтэн үчүгэй
636,böse::A,асыулы,өһүөннээх
637,dumm::A,иҫәр,акаары
638,faul::A,иренсәк,нэс
639,fleißig::A,тырыш,кыһамньылаах
640,geizig::A,һаран,иҥсэлээх
641,klug::A,аҡыллы,өйдөөх
642,geschickt::A,оҫта,наһаа дьоҕурдаах
643,lieb::A,яғымлы,тапталлаах
644,lustig::A,күңелле,көрдөөх
645,sanft::A,йыуаш,намчы
646,sanft::A,йыуаш,сымнаҕас
647,hungrig::A,ас,аччык
648,krank::A,сирле,ыалдьар
649,krank::A,ауырыу,ыалдьар
650,nackt::A,яланғас,сыгынньах
651,traurig::A,яманһыу,санаарҕабыллаах
652,lebendig::A,тере,тыыннаах
653,lebendig::A,йәнле,тыыннаах
654,gut::A,яҡшы,үтүө
655,gut::A,яҡшы,үчүгэй
656,schlecht::A,хөрт,куһаҕан
657,schlecht::A,алама,куһаҕан
658,richtig::A,дөрөҫ,сөп
659,schlimm::A,хөрт,сидьиҥ
660,schlimm::A,хөрт,быдьар
661,schlimm::A,алама,сидьиҥ
662,schlimm::A,алама,быдьар
663,wahr::A,дөрөҫ,кырдьык
664,alt::A,иҫке,былыргы
665,alt::A,боронғо,былыргы
666,neu::A,яңы,саҥа
667,ehemalig::A,элекке,урукку
668,alt[Lebewesen]::A,ҡарт,кырдьаҕас
669,jung::A,йәш,эдэр
670,arm::A,фәҡир,дьадаҥы
671,reich::A,бай,баай
672,bekannt::A,таныш,билэр
673,berühmt::A,атаҡлы,аатырбыт
674,berühmt::A,данлыҡлы,аатырбыт
675,fremd::A,ят,атын
676,fremd::A,сит,атын
677,verschieden::A,төрлө,араас
678,nah::A,яҡын,чугас
679,fern::A,алыҫ,ыраах
680,fern::A,йыраҡ,ыраах
681,linker::A,һул,хаҥас
682,rechter::A,уң,уҥа
683,anderer::A,бутән,атын
684,erster::A,тәүге,маҥнайгы
685,zweiter::A,икенсе,иккис
686,dritter::A,өсөнсө,үһүс
687,letzter::A,һуңғы,тиһэх
688,allein::ADV,бер үҙе,соҕотох
689,allein::ADV,яңғыҙ,соҕотох
690,auf einmal::ADV,бер юлы,биирдэ
691,zusammen::ADV,бергә,холбуу
692,lange::ADV,оҙаҡ,уһуннук
693,plötzlich::ADV,ҡапыл,эмискэ
694,sofort::ADV,шунда уҡ,тута
695,später::ADV,һуңыраҡ,хойут
696,jetzt::ADV,хәҙер,билигин
697,heute::ADV,бөгөн,бүгүн
698,morgen::ADV,иртәгә,сарсын
699,bald::ADV,тиҙҙән,өтөр
700,dann::ADV,һуңынан,кэнна
701,gestern::ADV,кисә,бэҕэһээ
702,einst::ADV,ҡасандыр,биир төгүл
703,einst::ADV,ҡасандыр,арай биирдэ
704,einst::ADV,бер баҡыт,биир төгүл
705,einst::ADV,бер баҡыт,арай биирдэ
706,damals::ADV,ул саҡта,оччоҕо
707,danach::ADV,һуңынан,аары
708,danach::ADV,һуңынан,ол кэнниттэн
709,vorher::ADV,элек,урут
710,zuerst::ADV,башта,маҥнай
711,einmal::ADV,бер,биирдэ
712,manchmal::ADV,ҡайһы берҙә,арыт
713,oft::ADV,йыш,чаастатык
714,immer::ADV,һәр ҡасан,мэлдьи
715,niemals::ADV,бер ҡасан да,хаһан да
716,niemals::ADV,бер ваҡытта ла,хаһан да
717,hier::ADV,бында,маныаха
718,hierhin::ADV,бында,бэттэх
719,von hier::ADV,бынан,мантан
