,Concept_ID,bn,mrj
89,Raureif::N,তুহিন,пöрш
90,Regenbogen::N,রামধনু,шанавӹл
91,Donner::N,বজ্রধ্বনি,хӹдӹртӹш
92,Strömung::N,স্রোত,йогы
93,Tropfen::N,ফোঁটা,капльы
94,Tropfen::N,ফোঁটা,капльык
95,Schaum::N,ফেনা,шонг
96,Schmutz::N,ধুলা,лявӹрӓ
97,See::N,হ্রদ,йӓр
98,Sumpf::N,জলা,лӱкӹ
99,Moor::N,মাঠ,куп
100,Wiese::N,তৃণভূমি,алык
101,Wald::N,বন,шӹргӹ
102,Hügel::N,পাহাড়,пӱгӹрикӓ
103,Anhöhe::N,টিলা,кӱкшикӓ
104,Berg::N,পর্বত,кырык
105,Gipfel::N,শীর্ষ,неркӓ
106,Höhle::N,গুহা,ы́раж
107,Abhang::N,ঢাল,полом
108,Quelle::N,উৎস,вӹдсӹнзӓ
109,Bach::N,ক্ষুদ্র নদী,ӓнгӹр
110,Fluss::N,নদী,вӹд
111,Ufer::N,উপকূল,сир
112,Küste::N,তীর,сир
113,Festland::N,ভূমি,мӱлӓндӹ
114,Meer::N,সমুদ্র,тангыж
115,Bucht::N,উপসাগর,вӹдъял
116,Insel::N,দ্বীপ,острок
117,Blume::N,ফুল,пеледӹш
118,Gras::N,ঘাস,шуды
119,Wurzel::N,শিকড়,важ
120,Baum::N,গাছ,пушӓнгӹ
121,Stamm::N,স্কন্ধ,пушӓнгӹ тӹнг
122,Rinde::N,বল্কল,каргыж
123,Ast::N,শাখা,укш
124,Zweig::N,ডাল,укш
125,Blatt::N,পর্ণ,листӹ
126,Birke::N,ভুর্জ,куги
127,Kiefer[Baum]::N,পাইন গাছ,йӓктӹ
128,Weide[Baum]::N,উইলো,уа
129,Tanne::N,দেবদারূ গাছ,кож
130,Horn::N,শিং,шур
131,Feder::N,পালক,пын
132,Fell::N,রোম,кавашты
133,Flügel::N,ডানা,шылдыр
134,Klaue::N,নখর,кӹч
135,Kralle::N,নখর,лапа
136,Schwanz::N,লেজ,пач
137,Ei::N,ডিম,мыны
138,Nest::N,কুলায়,пӹжӓш
139,Bau::N,ডেরা,ыраж
140,Tier::N,জন্তু,во́льык
141,Herde::N,ঝাঁক,кӹтö
142,Kuh::N,গোরু,ышкал
143,Bulle::N,বৃষ,ӱшкӱж
144,Pferd::N,ঘোড়া,имни
145,Schaf::N,ভেড়া,шарык
146,Schwein::N,শূকর,сасна
147,Hund::N,কুকুর,пи
148,Katze::N,বেড়াল,коти
149,Bär::N,ভল্লুক,мöскӓ
150,Eichhörnchen::N,কাঠবিড়াল,ур
151,Elch::N,হরিণবিশেষ,шарды
152,Fuchs::N,পাঁতিশিয়াল,рӹвӹж
153,Hase::N,শশক,морен
154,Maus::N,নেংটি ইঁদুর,каля
155,Wolf::N,নেকড়ে,пирӹ
156,Vogel::N,পক্ষী,кек
157,Schwarm::N,ঝাঁক,цуца
158,Huhn::N,মোরগ,цӹвӹ
159,Hahn::N,কুক্কুট,ӓптӓн
160,Gans::N,হংসী,комбы
161,Adler::N,ইগল,кучкыж
162,Ente::N,হংসী,лыды
163,Eule::N,পেচক,тымана
164,Kranich::N,সারস,тырня
165,Kranich::N,সারস,тыртня
166,Krähe::N,কাক,лудыгарак
167,Kuckuck::N,কোকিল,куку
168,Schwan::N,মরাল,йӱксӹ
169,Fisch::N,মাছ,кол
170,Barsch::N,মৎন্যবিশেষ,алангы
171,Hecht::N,বানমাছ,нуж
172,Hecht::N,বানমাছ,нужгол
173,Schlange[Tier]::N,সর্প,кӹшкы
174,Wurm::N,কীট,шукш
175,Spinne::N,মাকড়সা,ӓнгӹремшӹ
176,Ameise::N,পিপীলিকা,кыткы
177,Laus::N,উকুন,ти
178,Mücke::N,মশা,кужнер
179,Mücke::N,মশা,кужынер
180,Fliege::N,মাছি,шӹнгӓ
181,Schmetterling::N,প্রজাপতি,лӹпӹ
182,Beere::N,বেরি,мöр
183,Apfel::N,আপেল,олма
184,Pilz::N,ছত্রক,понгы
185,Zwiebel::N,পিয়াজ,охыра
186,Saat::N,বীজ,нӱшмӹ
187,Saat::N,বীজ,нӱшмӱ
188,Korn::N,শস্য,пӹрцӹ
189,Heu::N,খড়,шуды
190,Schale::N,খোসা,аваха
191,Schale::N,খোসা,карлангы
192,Grube::N,গর্ত,йӓм
193,Falle::N,ফাঁদ,лӱдӹ
194,Falle::N,ফাঁদ,лӱдӹш
195,Schlinge::N,পাশ,онгы
196,Spur::N,চিহ্ন,кишӓ
197,Asche::N,ভস্ম,ломых
198,Asche::N,ভস্ম,ломпыж
199,Dreck::N,ময়লা,лявӹрӓ
200,Eisen::N,লোহা,кӹртни
201,Gold::N,স্বর্ণ,шöртни
202,Gold::N,স্বর্ণ,шöртньӹ
203,Silber::N,রৌপ্য,ши
204,Kohle::N,অঙ্গার,шӱ
205,Glas::N,কাচ,охоница
206,Lehm::N,মৃত্তিকা,шун
207,Sand::N,বালি,ошма
208,Mensch::N,নর,эдем
209,Mensch::N,মানুষ,эдем
210,Mann::N,মানুষ,пӱэргӹ
211,Frau::N,নারী,ӹдӹрӓмӓш
212,Kind::N,বাচ্চা,ӓзӓ
213,Kind::N,বাচ্চা,шачшы
214,Junge::N,ছেলে,рвезӹ
215,Junge::N,ছেলে,ӹрвезӹ
216,Mädchen::N,মেয়ে,ӹдӹрӓш
217,Familie::N,পরিবার,йиш
218,Familie::N,পরিবার,семня
219,Großvater::N,মাতামহ,тьоти
220,Großmutter::N,মাতামহী,папа
221,Eltern::N,মাতাপিতা,ӓтя-ӓвӓ
222,Vater::N,পিতা,ӓтя
223,Mutter::N,মাতা,ӓвӓ
224,Sohn::N,ছেলে,эргӹ
225,Tochter::N,মেয়ে,ӹдӹр
226,Bruder::N,দাদা,ӹза
227,Schwester::N,বোন,ӓкӓ
228,Schwester::N,দিদি,ӓкӓ
229,Onkel::N,মামা,кугуза
230,Tante::N,মাসী,куака
231,Ehemann::N,স্বামী,мары
232,Ehefrau::N,পত্নী,вӓтӹ
233,Freude::N,উল্লাস,ӹвӹртӹмӓш
234,Gelächter::N,হাসি,ваштылмаш
235,Glück::N,সুখ,пиӓл
236,Kummer::N,দুঃখ,ясы
237,Wunsch::N,আকাঙ্ক্ষা,охата
238,Wunsch::N,আকাঙ্ক্ষা,шанымаш
239,Lust::N,বাসনা,шӓр
240,Lust::N,বাসনা,охата
241,Lust::N,বাসনা,шанымаш
242,Geist::N,আত্না,тух
243,Gedanke::N,চিন্তা,шанымаш
244,Gedächtnis::N,স্মরণশক্তি,ӓш
245,Verstand::N,মন,ыш
246,Sinn::N,পদার্থ,кын
247,Grund::N,কারণ,вир
248,Wahrheit::N,সত্য,тöр
249,Gespräch::N,কথাবার্তা,хытырымаш
250,Märchen::N,রূপকথা,ямак
251,Erzählung::N,গল্প,шайыштмаш
252,Nachricht::N,তথ্য,увертӓрӹмӓш
253,Neuigkeit::N,খবরাখবর,увер
254,Name::N,নাম,лӹм
255,Rätsel::N,ধাঁধা,тышты
256,Rede::N,বক্তৃতা,шая
257,Rede::N,বক্তৃতা,шамак
258,Sprache::N,ভাষা,йӹлмӹ
259,Stimme::N,স্বর,юк
260,Wort::N,শব্দ,шамак
261,Zeichen::N,প্রতীক,палӹ
262,Ruf::N,ডাক,сӹгӹрӹмӓш
263,Lärm::N,হৈচৈ,юкланымащ
264,Laut::N,ধ্বনি,юк
265,Ton::N,স্বর,юк
266,Lied::N,গান,мыры
267,Ruhe::N,শান্তি,тыр
268,Leute::N,প্রজাপুঞ্জ,эдемвлӓ
269,Volk::N,জাতি,халык
270,Arbeit::N,চাকরি,пӓшӓ
271,Gast::N,অতিথি,хына
272,Geschenk::N,উপহার,подарка
273,Spiel::N,খেলা,мадыш
274,Gesellschaft::N,সঙ্গিগণ,йӓл
275,Gesellschaft::N,সঙ্গিগণ,йӓлвлӓ
276,Hilfe::N,সাহায্য,палшык
277,Freund::N,বন্ধু,тӓнг
278,Kamerad::N,সঙ্গী,тос
279,Angelegenheit::N,বিষয়,дела
280,Angelegenheit::N,বিষয়,йела
281,Angelegenheit::N,বিষয়,йыла
282,Angelegenheit::N,বিষয়,пӓшӓ
283,Anzahl::N,পরিমাণ,шот
284,Art::N,রকম,цӹре
285,Stück::N,টুকরো,лаштык
286,Teil::N,অংশ,пай
287,Teil::N,অংশ,часть
288,Hälfte::N,অর্ধেক,пел
289,Kreis::N,বৃত্ত,тӹртӹш
290,Kreuz::N,ক্রুশ,крестӹ
291,Linie::N,রেখা,
292,Strich::N,কষি,
293,Abstand::N,ফাঁক,ло
294,Entfernung::N,ব্যবধান,ло
295,Gegend::N,ক্ষেত্র,вӓр
296,Platz::N,জায়গা,вӓр
297,Ort::N,স্থান,вӓр
298,Seite::N,পার্শ্ব,öрдӹж
299,Mitte::N,মধ্য,ло
300,Gegenstand::N,জিনিস,хӓдӹр
301,Sache::N,বস্তু,хӓдӹр
302,Rand::N,কানা,шöр
303,Kante::N,ধার,шöр
304,Ecke::N,কোণ,лык
305,Spitze::N,ডগা,вуй
306,Ende::N,প্রান্ত,вуй
307,Ende::N,প্রান্ত,мычаш
308,Loch::N,গর্ত,ыраж
309,Winkel::N,কোণ,лык
310,Muster::N,নমুন্,тӹрлец
311,Größe::N,আয়তন,кӱкшӹц
312,Länge::N,দৈর্ঘ্য,кыт
313,Höhe::N,উচ্চতা,кӱкшӹц
314,Gewicht::N,ওজন,нелӹц
315,Menge::N,পরিমাণ,шот
316,Haufen::N,পুঞ্জ,ара
317,Reihe::N,শ্রেণী,ряд
318,Boot::N,নৌকা,пыш
319,Ruder::N,দাঁড়,вешлӓ
320,Schlitten::N,স্নেজ্-গাড়ি,тир
321,Ski::N,শী,ечӹ
322,Lagerfeuer::N,অগ্নি,тыл
323,Last::N,বোঝা,нелӹц
324,Gang::N,হণ্টন,ход
325,Schritt::N,পদ,ашкыл
326,Norden::N,উত্তরদিক্,йыдпелвел
327,Süden::N,দক্ষিণদিক,кечӹвӓлвел
328,Westen::N,পশ্চিমদিক্,кечӹ шӹцмӹ
329,Osten::N,পূর্বদিক,ирвел
330,Osten::N,পূর্বদিক,кечӹ лӱлтмӹ
331,Holz::N,কাঠ,пушӓнгӹ
332,Brett::N,তক্তা,ханга
333,Platte::N,ফলক,плитӓ
334,Stütze::N,নাগদণ্ড,цӓрӓк
335,Stange::N,দণ্ড,равы
336,Stange::N,দণ্ড,намаш
337,Stock::N,ছড়ি,панды
338,Stab::N,যষ্টি,равы
339,Rohr::N,নল,пыч
340,Haus::N,ঘর,пöрт
341,Heim::N,বাসা,пöрт
342,Ofen::N,স্টোভ্,камака
343,Fußboden::N,গহতল,седӹрӓ
344,Tisch::N,মেজ,стöл
345,Tisch::N,টেবিল,стöл
346,Stuhl::N,চেয়ার,пöкен
347,Stuhl::N,কেদারা,пöкен
348,Wiege::N,দোলনা,шипкӓ
349,Bett::N,শয্যা,койка
350,Bett::N,শয্যা,кравать
351,Regal::N,তাক,полицӓ
352,Kiste::N,বাক্স,шӱ́ндӹк
353,Fenster::N,জানালা,окня
354,Tür::N,দ্বার,амаса
355,Tor::N,দ্বার,хапка
356,Zaun::N,বেড়া,забор
357,Dach::N,ছাদ,левӓш
358,Leiter::N,মই,ташкалтыш
359,Besen::N,গুল্মবিশেষ,сало
360,Besen::N,গুল্মবিশেষ,салко
361,Spaten::N,কোদাল,кольмы
362,Schaufel::N,বেলচা,лоток
363,Gabel::N,কাঁটা,ви́лка
364,Löffel::N,চামচ,савала
365,Messer::N,ছুরি,кӹзӹ
366,Nagel::N,পেরেক,пыда
367,Netz::N,জাল,вӓпш
368,Haken::N,কাচি,крӱк
369,Haken::N,কাচি,кагак
370,Griff::N,হাতল,кычем
371,Schloss::N,তালা,замок
372,Schloss::N,তালা,сыравач
373,Bild::N,ছবি,картин
374,Bild::N,চিত্র,картин
375,Figur::N,আকার,кӓн
376,Puppe::N,পুতুল,поханя
377,Beutel::N,বটুয়া,мешӓк
378,Bündel::N,আঁটি,топ
379,Bündel::N,আঁটি,пидӹш
380,Bündel::N,আঁটি,кӹлдӹш
381,Tasche::N,থলি,сумкы
382,Eimer::N,বাল্তি,ведӹрӓ
383,Deckel::N,আবরণ,комдыш
384,Geschirr::N,থালা-বাসন,ӓтӹ
385,Sack::N,বস্তা,мешӓк
386,Tasse::N,কাপ,цӓшкӓ
387,Topf::N,পাত্র,ми́ска
388,Kessel::N,কেটলি,пад
389,Essen::N,আহার,качкыш
390,Essen::N,আহার,качкыш-йӱш
391,Nahrung::N,খাদ্য,качкыш
392,Nahrung::N,খাদ্য,качкыш-йӱш
393,Speise::N,খাদ্য,няня
394,Fleisch::N,মাংস,пай
395,Getreide::N,শস্য,киндӹ
396,Brei::N,মণ্ড,шӹрӓш
397,Brot::N,রুটি,сыкыр
398,Scheibe::N,ফালি,ламыт
399,Scheibe::N,ফালি,лаштык
400,Fett::N,মেদ,кая
401,Butter::N,মাখন,ӱ
402,Öl::N,তৈল,ӱ
403,Salz::N,নুন,санзал
404,Suppe::N,শুরুয়া,лем
405,Honig::N,মধু,мӱ
406,Milch::N,দুধ,шӹшер
407,Tee::N,চা,чӓй
408,Leder::N,পাকা চামড়া,шарга
409,Leder::N,পাকা চামড়া,кавашты
410,Wolle::N,পশম,миж
411,Stoff::N,বস্ত্র,матер
412,Stoff::N,বস্ত্র,матери
413,Nadel::N,সুচ,им
414,Faden::N,সূত্র,шӹртӹ
415,Knopf::N,বোতাম,полдыш
416,Knoten::N,গিঁট,пӱкшем
417,Farbe::N,রং,чиӓ
418,Farbe::N,রং,крӓскӓ
419,Kleidung::N,কাপড়,выргем
420,Hemd::N,শার্ট,тыгыр
421,Kragen::N,গলবন্ধ,шӱ
422,Ärmel::N,আস্তিন্,шокш
423,Hose::N,ট্রাউজার,ялаш
424,Gürtel::N,কটিবন্ধ,ӹштӹ
425,Mütze::N,টুপি,упш
426,Schuh::N,জুতো,ту́фльы
427,Stiefel::N,বুট,кем
428,Ring::N,আংটি,шӓргӓш
429,Band::N,ফিতা,лемтӓ
430,Kamm::N,চিরুনি,шерге
431,Spiegel::N,আয়না,тӹгӹр
432,Riemen::N,চাবুক,прӓжӓ
433,Schnur::N,দড়ি,кӓндӹра
434,Leine::N,শিকল,керем
435,Decke::N,কম্বল,одеял
436,Kissen::N,উপাধান,кӹпцӹк
437,Tuch::N,বস্ত্র,савыц
438,Handtuch::N,তোয়ালে,шӹргӹсавыц
439,Handtuch::N,তোয়ালে,шӹргӹмсавыц
440,Kraft::N,জোর,ви
441,Stärke::N,শক্তি,ви
442,Gesundheit::N,স্বাস্থ্য,шу
443,Gesundheit::N,স্বাস্থ্য,шулык
444,Krankheit::N,অসুখ,мыж
445,Krankheit::N,ব্যামো,мыж
446,Schmerz::N,যন্ত্রণা,карштыш
447,Wunde::N,ক্ষত,шушыр
448,Fieber::N,জ্বর,ӱштӹмыж
449,Arznei::N,ঔষধ,лекӓрцӹ
450,Brücke::N,সেতু,кӹвер
451,Brunnen::N,কূপ,вӹдсӹнзӓ
452,Weide::N,পশুচারণভূমি,ныр
453,Pfad::N,পথ,ялгорны
454,Weg::N,পথ,корны
455,Straße::N,রাস্তা,корны
456,Dorf::N,গ্রাম,сола
457,Stadt::N,শহর,города
458,Brief::N,চিঠি,сирмӓш
459,Buch::N,বই,книгӓ
460,Buchstabe::N,অক্ষর,буква́
461,Zeitung::N,সংবাদপত্র,газет
462,Zeitung::N,সংবাদপত্র,кайзет
463,Leben::N,জীবন,житя
464,Tod::N,মৃত্যু,смöрт
465,Grab::N,কবর,шӹгер
466,Grab::N,কবর,мыгилӓ
467,Grab::N,কবর,шӹгерлӓ
468,Kirche::N,গির্জা,церкӹ
469,Sünde::N,পাপ,сулык
470,Gott::N,দেবতা,йымы
471,Arbeiter::N,শ্রমিক,пӓшӓзӹ
472,Chef::N,নেতা,вуй
473,Meister::N,ব্যক্তি,мастар
474,Arzt::N,চিকিৎসক,доктор
475,Lehrer::N,অধ্যাপক,тымдышы
476,Geld::N,মুদ্রা,окса
477,Geld::N,টাকাপয়সা,окса
478,Geschäft::N,ব্যস্ততা,торге́йӹмӓш
479,Laden::N,দোকান,лапка
480,Laden::N,দোকান,магазин
481,Preis::N,মূল্য,ӓк
482,Ware::N,পণ্যদ্রব্য,товар
483,Nutzen::N,সুবিধা,пайда
484,Reichtum::N,ধনদৌলত,перке
485,Welt::N,জগৎ,сӓндӓлӹк
486,Welt::N,জগৎ,свет
487,Land::N,খেত,сӓндӓлӹк
488,Staat::N,রাষ্ট্র,кугижӓншӹ
489,König::N,রাজা,король
490,Macht::N,প্রভাব,власть
491,Grenze::N,সীমা,пӹсмӓн
492,Krieg::N,যুদ্ধ,вырсы
493,Feind::N,শত্রু,тышман
494,Gewalt::N,জোর,ви
495,Kampf::N,লড়াই,кредӓлмӓш
496,Bogen[Waffe]::N,ধনুক,янгеж
497,Pfeil::N,বাণ,пикш
498,Gewehr::N,বন্দুক,пичӓл
499,Fehler::N,ভুল,самынь
500,Lüge::N,মিথ্যা,шая
501,Schaden::N,ক্ষতি,вре́дӓ
502,Unglück::N,দুর্ভাগ্য,пёда
503,Unglück::N,দুর্ভাগ্য,тымаша
504,Schuld::N,অপরাধ,вуйнамат
505,Alter::N,আয়ু,иӓш
506,Alter::N,আয়ু,игечӹ
507,Schluss::N,শেষ,пӹтӓртӹш
508,Zeit::N,সময়,веремӓ
509,Tag::N,দিন,кечӹ
510,Morgen::N,সকাল,ир
511,Morgen::N,সকাল,ирок
512,Mittag::N,মধ্যাহু,кечӹвӓл
513,Abend::N,সন্ধ্যা,вады
514,Nacht::N,রাত্রি,йыд
515,Woche::N,সপ্তাহ,ӓрня
516,Monat::N,মাস,тӹ́лзӹ
517,Jahr::N,সৌরবর্ষ,год
518,Frühling::N,বসন্তকাল,шошым
519,Sommer::N,গ্রীষ্মকাল,кӓнгӹж
520,Herbst::N,শরংঋতু,шӹжӹ
521,Winter::N,শীতকাল,тел
522,Winter::N,শীতকাল,телӹ
523,Januar::N,জানুয়ারী,январ
524,Januar::N,জানুয়ারী,январь
525,Februar::N,ফেব্রুয়ারী,февраль
526,März::N,মার্চ,март
527,April::N,এপ্রিল,апрель
528,Mai::N,মে,май
529,Juni::N,জুন,июнь
530,Juli::N,জুলাই,июль
531,August::N,অগাস্ট,август
532,September::N,সেপ্টেম্বর,сентябрь
533,Oktober::N,অক্টোবর,октябрь
534,November::N,নভেম্বর,ноябрь
535,Dezember::N,ডিসেম্বর,декавыр
536,Montag::N,সোমবার,шачмы
537,Dienstag::N,মঙ্গলবার,кышкыжмы
538,Mittwoch::N,বুধবার,вӹрчегӹ
539,Donnerstag::N,বৃহম্পতিবার,изӓрня
540,Freitag::N,শুক্রবার,когарня
541,Samstag::N,শনিবার,кукшыгечӹ
542,Sonntag::N,রবিবার,рушӓрня
543,groß::A,বৃহৎ,кого
544,klein::A,ছোট,изи
545,lang::A,দীর্ঘ,кужы
546,kurz::A,খর্ব,кӹтӹк
547,kurz::A,হ্রস্ব,кӹтӹк
548,breit::A,চওড়া,кымда
549,schmal::A,সরু,ӓнгӹсӹр
550,dicht::A,ঘন,шӹре
551,dick[Gegenstand]::A,পুরু,кӹжгӹ
552,dünn::A,কৃশ,вӹцкӹж
553,fein::A,সূক্ষ্ম,пыльга
554,fest::A,দৃঢ়,цаткыды
555,flach::A,সমতল,тӓлякӓ
556,glatt::A,মসৃণ,ягылгы
557,hart::A,শক্ত,пингӹдӹ
558,weich::A,নরম,пышкыды
559,rund::A,গোলাকার,тӹртӹш
560,spitz::A,তীক্ষ্ন,кашар
561,scharf::A,শাণিত,кашар
562,stumpf::A,ভোঁতা,нӹшкӹ
563,schwer::A,ভারী,нелӹ
564,schön::A,সুন্দর,цевер
565,schön::A,সুন্দর,олмыдшы
566,heiß::A,গরম,шокшы
567,warm::A,ঈষদুষ্ণ,шокшы
568,kalt::A,ঠাণ্ডা,ӱштӹ
569,kühl::A,শীতল,юалгы
570,kühl::A,শীতল,йонгата
571,frisch::A,তাজা,йонгата
572,feucht::A,ভিজা,ӹлӹкшӹ
573,feucht::A,ভিজা,вӹдӹжгӹ
574,nass::A,ভিজা,начкы
575,trocken::A,শুষ্ক,кукшы
576,voll::A,পূর্ণ,темшӹ
577,voll::A,পূর্ণ,темыман
578,leer::A,খালি,йӓрӓ
579,offen::A,খোলা,виш
580,geschlossen::A,বন্ধ,чӱчмӹ
581,geschlossen::A,বন্ধ,тӹкӹлӓлтшӹ
582,sauber::A,নির্মল,ире
583,schmutzig::A,নোংরা,шоран
584,schmutzig::A,নোংরা,лявӹрӓн
585,schmutzig::A,নোংরা,шорангшы
586,roh::A,কাঁচা,пеле кӱшӹ
587,reif::A,পাকা,кӱшӹ
588,lecker::A,সুস্বাদ,тотан
589,süß::A,মিষ্ট,мӱӓн
590,bitter::A,তিক্ত,качы
591,sauer::A,টক,шапы
592,hell::A,উজ্জ্বল,соты
593,hell::A,উজ্জ্বল,валгыды
594,dunkel::A,অন্ধকারময়,пӹц
595,dunkel::A,অন্ধকারময়,пӹцкемӹш
596,schwarz::A,কালো,шим
597,weiß::A,সাদা,ош
598,weiß::A,সাদা,ошы
599,rot::A,লাল,якшаргы
600,gelb::A,হলদে,сар
601,gelb::A,হলদে,сары
602,blau::A,নীল,симсӹ
603,grün::A,সবুজ,ыжар
604,grau::A,ছাই-রঙা,луды
605,bunt::A,রঙিন,ала
606,billig::A,সস্তা,шулдаш
607,teuer::A,আক্রা,шергӹ
608,teuer::A,আক্রা,шергӓкӓн
609,wertvoll::A,মহার্ঘ,ӓкӓн
610,blind::A,কানা,слöпöй
611,blind::A,কানা,сльöпöй
612,taub::A,বধির,тӱтӱк
613,kräftig::A,বিশাল,виӓн
614,stark::A,শক্তিশালী,виӓн
615,schwach::A,দুর্বল,шава
616,schwach::A,দুর্বল,лӹпкӓ
617,schwach::A,দুর্বল,слабка
618,fett::A,মোটা,таза
619,schlank::A,কৃশ,яштака
620,hübsch::A,সুন্দর,сӹлнӹ
621,hübsch::A,সুন্দর,олмыдшы
622,böse::A,খারাপ,шӹдӓн
623,dumm::A,মূর্খ,окмак
624,faul::A,শ্রমবিমুখ,ялахай
625,fleißig::A,পরিশ্রমী,пӓшам яратышы
626,geizig::A,ব্যয়কুণ্ঠ,шык
627,klug::A,দক্ষ,ышан
628,geschickt::A,পটু,мастар
629,lieb::A,প্রেয়,тыри
630,lustig::A,প্রফুল্ল,мындыр
631,lustig::A,প্রফুল্ল,сусу
632,sanft::A,নম্র,йӹвӹжӓ
633,hungrig::A,ক্ষুধার্ত,шужышы
634,krank::A,অসুস্থ,церлӹ
635,krank::A,অসুস্থ,хворой
636,nackt::A,উলঙ্গ,цӓрӓ
637,traurig::A,দুঃখিত,сы́лыкан
638,traurig::A,দুঃখিত,кымы́лдымы
639,lebendig::A,জীবিত,живой
640,gut::A,ভালো,яжо
641,schlecht::A,মন্দ,уда
642,schlecht::A,মন্দ,худа
643,richtig::A,ঠিক,вургамла
644,schlimm::A,কদর্য,йӹрнык
645,wahr::A,বাস্তব,настоящий
646,wahr::A,বাস্তব,настояшый
647,alt::A,পুরাতন,шонгы
648,neu::A,নব,у
649,neu::A,নূতন,у
650,ehemalig::A,পূর্বকালীন,тошты
651,alt[Lebewesen]::A,বৃদ্ধ,ӹлалшӹ
652,jung::A,তরুণ,нöргӹ
653,jung::A,তরুণ,молода
654,arm::A,ক্ষুদ্র,укеӓн
655,reich::A,ধনবান্,паян
656,reich::A,ধনবান্,пурлыкан
657,bekannt::A,সুপরিচিত,палӹмӹ
658,berühmt::A,বিখ্যাত,лӹмлы
659,fremd::A,বিদেশি,эдемӹн
660,verschieden::A,বিসদৃশ,тӹрлӹ
661,nah::A,নিকটবতী,лишӹл
662,fern::A,দুরবতী,мӹндӹр
663,linker::A,বাম,шалахай
664,rechter::A,ডান,вургамла
665,rechter::A,ডাইন,вургамла
666,anderer::A,অন্যতর,вес
667,anderer::A,অন্যতর,весӹ
