,Concept_ID,br,ta
82,Regenbogen::N,gwareg-ar-glav,வானவில்
83,Donner::N,kurun,இடி
84,Strömung::N,red,நீரோட்டம்
85,Tropfen::N,bannac'h,துளி
86,Tropfen::N,takenn,துளி
87,Schaum::N,spoum,நுரை
88,Schmutz::N,fank,அழுக்கு
89,See::N,lenn,ஏரி
90,Sumpf::N,gwern,சதுப்பு நிலம்
91,Moor::N,taouarc'heg,முட்புதற்காடு
92,Wiese::N,prad,பசும் புல்தரை
93,Wald::N,koad,காடு
94,Hügel::N,torgenn,குன்று
95,Anhöhe::N,run,பதுக்கை
96,Berg::N,menez,மலை
97,Gipfel::N,barr,உச்சி மாநாடு
98,Höhle::N,kav,குகை
99,Abhang::N,naou,சரிவு
100,Quelle::N,feunteun,மூலம்
101,Bach::N,gwazh,ஓடை
102,Fluss::N,stêr,ஆறு
103,Ufer::N,ribl,நீர்க்கரை
104,Küste::N,aod,கடற்கரை
105,Festland::N,douar,நிலம்
106,Meer::N,mor,கடல்
107,Bucht::N,mor-bihan,சிறுகுடா
108,Insel::N,enez,தீவு
109,Blume::N,bleunienn,பூ
110,Gras::N,geot,புல்தரை
111,Wurzel::N,gwrizienn,வேர்
112,Baum::N,gwezenn,மரம்
113,Stamm::N,kef,அடிமரம்
114,Rinde::N,rusk,பட்டை
115,Rinde::N,rusk,மரப்பட்டை
116,Ast::N,barr,கினை
117,Zweig::N,bod,குச்சி
118,Blatt::N,delienn,இலை
119,Birke::N,bezvenn,பிர்ச் மரம்
120,Kiefer[Baum]::N,pinenn,தேவதாரு மரம்
121,Weide[Baum]::N,halegenn,மர வகைகளுள் ஒன்று
122,Tanne::N,sapenn,சாதிக்கய்
123,Horn::N,korn,கொம்பு
124,Feder::N,pluñv,இறகு
125,Fell::N,kreoñ,மென்முடி
126,Flügel::N,askell,இறக்கை
127,Klaue::N,skilf,நகம்
128,Kralle::N,skilf,நகம்
129,Schwanz::N,lost,வால்
130,Ei::N,vi,முட்டை
131,Nest::N,neizh,கூடு
132,Bau::N,douarenn,குகை
133,Tier::N,loen,விலங்கு
134,Herde::N,tropell,கூட்டம்
135,Kuh::N,buoc'h,பசு
136,Bulle::N,tarv,காளை
137,Pferd::N,marc'h,குதிரை
138,Schaf::N,dañvad,செம்மறிஆடு
139,Schwein::N,pemoc'h,பன்றி
140,Hund::N,ki,நாய்
141,Katze::N,kazh,பூனை
142,Bär::N,arzh,கரடி
143,Eichhörnchen::N,gwiñver,அணில்
144,Elch::N,karv-dour,கடம்பை
145,Fuchs::N,louarn,நரி
146,Hase::N,gad,முயல்
147,Maus::N,logodenn,எலி
148,Wolf::N,bleiz,ஓநாய்
149,Vogel::N,labous,பறவை
150,Schwarm::N,nijad,தொகுதி
151,Huhn::N,yar,கோழிக்குஞசு
152,Hahn::N,kilhog,சேவல்
153,Gans::N,gwazenn,பெண் வாத்து
154,Adler::N,erer,பருநது
155,Ente::N,houad,வாத்து
156,Eule::N,toud,ஆந்தை
157,Kranich::N,garan,நாரை
158,Krähe::N,bran,காகம்
159,Kuckuck::N,koukoug,குயில்
160,Schwan::N,alarc'h,அன்னம்
161,Fisch::N,pesk,மீன்
162,Barsch::N,brell,பேர்ச்
163,Hecht::N,beked,கோலாச்சி மீன்
164,Schlange[Tier]::N,naer,பாம்பு
165,Wurm::N,preñv,புழு
166,Spinne::N,kevnidenn,சிலந்தி
167,Ameise::N,merion,எறும்பு
168,Laus::N,laouenn,பேன்
169,Mücke::N,moustik,கொசுவினப்பூச்சி
170,Fliege::N,kelienenn,ஈ
171,Schmetterling::N,balafenn,வண்ணத்துப்பூச்சி
172,Beere::N,hog,சதைப்பழம்
173,Apfel::N,aval,ஆப்பிள பழம்
174,Pilz::N,kabell-touseg,காளான்
175,Zwiebel::N,ognonenn,வெங்காயம்
176,Saat::N,had,விதை
177,Korn::N,ed,தானியம்
178,Heu::N,foenn,வைக்கோல்
179,Schale::N,peliadur,தோல்
180,Falle::N,pech,பொறி
181,Schlinge::N,krouglas,கண்ணி
182,Asche::N,ludu,சாம்பல்
183,Dreck::N,fank,அழுக்கு
184,Eisen::N,houarn,இரும்பு
185,Gold::N,aour,தங்கம்
186,Silber::N,arc'hant,வெள்ளி
187,Kohle::N,glaou,நிலக்கரி
188,Glas::N,gwer,கண்ணாடி
189,Sand::N,traezh,மணல்
190,Mensch::N,den,மனிதர்கள்
191,Mann::N,den,மனிதன்
192,Frau::N,maouez,பெண்
193,Kind::N,bugel,குழந்தை
194,Junge::N,paotr,பையன்
195,Mädchen::N,plac'h,சிறுமி
196,Familie::N,familh,குடும்பம்
197,Großvater::N,tad-kozh,தாத்தா
198,Großmutter::N,mamm-gozh,பாட்டி
199,Eltern::N,kerent,பெற்றோர்
200,Vater::N,tad,தந்தை
201,Mutter::N,mamm,தாய்
202,Sohn::N,mab,மகன்
203,Tochter::N,merc'h,மகள்
204,Bruder::N,breur,சகோதரன்
205,Schwester::N,c'hoar,அக்கா
206,Onkel::N,eontr,தாய் மாமன்
207,Tante::N,moereb,அத்தை
208,Ehemann::N,gwaz,கணவன்
209,Ehefrau::N,gwreg,மனைவி
210,Freude::N,levenez,கொண்டாட்டம்
211,Gelächter::N,c'hoarzherezh,சிரிப்பு
212,Glück::N,chañs,மகிழ்ச்சி
213,Kummer::N,doan,துயரம்
214,Wunsch::N,c'hoant,விருப்பம்
215,Lust::N,c'hoant,விருப்பம்
216,Geist::N,spered,ஆன்மா
217,Gedanke::N,soñj,எண்ணம்
218,Gedächtnis::N,eñvor,ஞாபகம்
219,Verstand::N,skiant,மனம்
220,Sinn::N,ster,அர்த்தம்
221,Grund::N,kaoz,காரணம்
222,Wahrheit::N,gwirionez,உண்நை
223,Gespräch::N,kaozeadenn,பெசு
224,Märchen::N,kaoz korriganez,நம்பத்தகாத கதை
225,Erzählung::N,kontadenn,கதை
226,Nachricht::N,keloù,செய்தி
227,Neuigkeit::N,kelaouenn,செய்தி
228,Name::N,anv,பெயர்
229,Rätsel::N,divinatez,புதிர்
230,Rede::N,diskour,பேச்சு
231,Sprache::N,yezh,மொழி
232,Stimme::N,mouezh,குரல்
233,Wort::N,ger,வார்த்தை
234,Zeichen::N,sin,குறி
235,Ruf::N,galv,அழைப்பு
236,Lärm::N,trouz,சத்தம்
237,Ton::N,ton,குரல்
238,Lied::N,kanaouenn,பாட்டு
239,Ruhe::N,sioulded,அமைதி
240,Leute::N,tud,மக்கள்
241,Volk::N,pobl,மக்கள்
242,Arbeit::N,labour,வேலை
243,Gast::N,kouviad,விருந்தாளி
244,Geschenk::N,prof,பரிசுப் பொருள்
245,Spiel::N,c'hoari,விளையாட்டு
246,Gesellschaft::N,kompagnunezh,சமுதாயம்
247,Gesellschaft::N,kavandad,சமுதாயம்
248,Hilfe::N,sikour,உதவி
249,Freund::N,mignon,நண்பன்
250,Kamerad::N,kamarad,உடனிருப்பவன்
251,Angelegenheit::N,afer,செய்தி
252,Anzahl::N,niver,எண்ணிக்கை
253,Art::N,sort,வகை
254,Stück::N,tamm,துண்டம்
255,Teil::N,pezh,பகுதி
256,Hälfte::N,hanterenn,பாதி
257,Kreis::N,kelc'h,வட்டம்
258,Kreuz::N,kroaz,சிலுவை
259,Linie::N,linenn,கோடு
260,Strich::N,tenn,வாத நோய்
261,Abstand::N,distok,இடைவெளி
262,Entfernung::N,keid,தூரம்
263,Entfernung::N,kehid,தூரம்
264,Gegend::N,korn-bro,வட்டாரம்
265,Platz::N,plasenn,வெற்றிடம்
266,Ort::N,lec'h,இடம்
267,Seite::N,tu,பக்கம்
268,Mitte::N,kreiz,இடைப்பகுதி
269,Gegenstand::N,tra,உருப்படி
270,Sache::N,tra,பொருள்
271,Rand::N,kantenn,தொங்கு
272,Kante::N,kantenn,விளிம்பு
273,Ecke::N,korn,மூலை
274,Spitze::N,begell,முனை
275,Ende::N,dibenn,முடிவு
276,Loch::N,toull,துளை
277,Muster::N,tresadenn,பாங்கு
278,Größe::N,ment,அளவு
279,Länge::N,hirder,நீளம்
280,Höhe::N,uhelder,உயரம்
281,Gewicht::N,pouez,எடை
282,Menge::N,bern,தொகை
283,Haufen::N,bern,குவியல்
284,Reihe::N,steud,வரிசை
285,Boot::N,bag,படகு
286,Ruder::N,roeñv,துடுப்பு
287,Schlitten::N,trainell,சகடையிலா வண்டி
288,Ski::N,ski,பனிச் சறுக்கல்
289,Last::N,karg,பாரம்
290,Gang::N,kerzh,நடை
291,Schritt::N,paz,காலடி
292,Norden::N,norzh,வடக்கு
293,Norden::N,hanternoz,வடக்கு
294,Süden::N,su,தெற்கு
295,Süden::N,kreisteiz,தெற்கு
296,Westen::N,kuzh-heol,மேற்கு திசை
297,Osten::N,reter,கிழக்கு
298,Osten::N,sav-heol,கிழக்கு
299,Holz::N,koad,மரக்கட்டை
300,Brett::N,plankenn,பலகை
301,Platte::N,plakenn,பலகம்
302,Stütze::N,harp,அடைப்புகன்
303,Stange::N,sparl,கம்பம்
304,Stock::N,bazh,குச்சி
305,Stab::N,bazh,கம்பு
306,Rohr::N,tub,குழாய்
307,Rohr::N,korz,குழாய்
308,Haus::N,ti,வீடு
309,Heim::N,kêr,வீடு
310,Ofen::N,forn,அடுப்பு
311,Fußboden::N,plañchod,தரை
312,Tisch::N,taol,மேசை
313,Stuhl::N,kador,நாற்காலி
314,Wiege::N,kavell,தொட்டில்
315,Bett::N,gwele,படுக்கை
316,Regal::N,estajerenn,அலமாரி
317,Kiste::N,kased,பெட்டி
318,Fenster::N,prenestr,சாளரம்
319,Tür::N,dor,கதவு
320,Tor::N,portal,வாசற்கதவு
321,Zaun::N,sklotur,வேலி
322,Dach::N,toenn,கூரை
323,Leiter::N,skeul,ஏணி
324,Besen::N,skubell,விளக்குமாறு
325,Spaten::N,pal,மண்வெட்டி
326,Schaufel::N,pal,அடிதண்டா
327,Gabel::N,fourchetez,முட்கரண்டி
328,Löffel::N,loa,கரண்டி
329,Messer::N,kontell,கத்தி
330,Nagel::N,tach,ஆணி
331,Netz::N,roued,வலை
332,Haken::N,krog,கொக்கி
333,Griff::N,kemer,கைப்பிடி
334,Schloss::N,potenn,பூட்டு
335,Bild::N,skeudenn,படம்
336,Figur::N,skeud,எண்ணிக்கை
337,Figur::N,figur,எண்ணிக்கை
338,Puppe::N,merc'hodenn,பொம்மை
339,Beutel::N,sac'h,பை
340,Bündel::N,feskenn,பொதி
341,Tasche::N,sac'h,பை
342,Eimer::N,sailh,வாளி
343,Deckel::N,pallenn,உறை
344,Geschirr::N,listriaj,பாத்திரம்
345,Sack::N,sac'h,பை
346,Tasse::N,tas,கிண்ணம்
347,Topf::N,pod,பானை
348,Kessel::N,chaodouron,கெண்டி
349,Essen::N,pred,உணவருந்துதல்
350,Nahrung::N,boued,உணவு
351,Speise::N,meuz,உணவு வகை
352,Fleisch::N,kig,இறைச்சி
353,Getreide::N,ed,மக்காச்சோளம்
354,Brei::N,yod,கஞ்சி
355,Brot::N,bara,ரொட்டி
356,Scheibe::N,tailhenn,துண்டு
357,Fett::N,lard,கொழுப்பு
358,Butter::N,amann,வெண்ணெய்
359,Öl::N,eoul,எண்ணெய்
360,Salz::N,holen,உப்பு
361,Suppe::N,soubenn,ரசம்
362,Honig::N,mel,தேன்
363,Milch::N,laezh,பால்
364,Tee::N,te,தெனீர்
365,Leder::N,lêr,பதம் செய்யப்பட்ட தோல்
366,Wolle::N,gloan,கம்பளி
367,Stoff::N,danvez,துணி
368,Nadel::N,nadoz,ஊசி
369,Faden::N,neudenn,நூல்
370,Knopf::N,bouton,பொத்தான்
371,Knoten::N,skoulm,முடிச்சு
372,Farbe::N,liv,வண்ணக் குழம்பு
373,Kleidung::N,dilhad,ஆடைகள்
374,Hemd::N,roc'hed,சட்டை
375,Kragen::N,gouzoug,கழுத்துப் பட்டை
376,Ärmel::N,milgin,சட்டைக்கை
377,Hose::N,bragoù,கால்சட்டை
378,Gürtel::N,gouriz,பெல்ட்
379,Mütze::N,boned,தொப்பி
380,Schuh::N,botez,காலணி
381,Stiefel::N,botez,காலணி
382,Ring::N,gwalenn,மோதிரம்
383,Band::N,bagad,நாடா
384,Kamm::N,krib,கீப்பு
385,Spiegel::N,melezour,ஆடி
386,Spiegel::N,melezour,கண்ணாடி
387,Riemen::N,lerenn,வார்
388,Schnur::N,kordenn,கயிறு
389,Leine::N,roll,தோல்வார்
390,Decke::N,golo,போர்வை
391,Kissen::N,goubenner,தலையணை
392,Tuch::N,mezher,துணி
393,Handtuch::N,toailhon,தண்டு
394,Kraft::N,nerzh,நிர்பந்தம்
395,Stärke::N,nerzhder,பலம்
396,Gesundheit::N,yec'hed,ஆரோக்கியம்
397,Krankheit::N,klañved,நோய்
398,Schmerz::N,poan,வலி
399,Schmerz::N,droug,வலி
400,Wunde::N,gloazadenn,காயம்
401,Fieber::N,terzhienn,காய்ச்சல்
402,Arznei::N,louzoù,மருந்து
403,Brücke::N,pont,பாலம்
404,Brunnen::N,puñs,கேணி
405,Weide::N,prad,மேய்ச்சல் நிலம்
406,Pfad::N,gwenodenn,நடை வழி
407,Weg::N,hent,வழி
408,Straße::N,ru,சாலை
409,Straße::N,hent,சாலை
410,Dorf::N,kêr,கிராமம்
411,Dorf::N,kêriadenn,கிராமம்
412,Stadt::N,kêr,நகரம்
413,Brief::N,lizher,கடிதம்
414,Buch::N,levr,புத்தகம்
415,Buchstabe::N,lizherenn,எழத்து
416,Zeitung::N,kazetenn,செய்தித்தாள்
417,Leben::N,buhez,வாழ்க்கை
418,Tod::N,marv,மரணம்
419,Grab::N,bez,சமாதி
420,Kirche::N,iliz,தேவாலயம்
421,Sünde::N,pec'hed,பாவம்
422,Gott::N,doue,கடவுள்
423,Arbeiter::N,labourer,தொழிலாளி
424,Arbeiter::N,micherour,தொழிலாளி
425,Chef::N,penn,மேலாளர்
426,Meister::N,mestr,தலைவன்
427,Arzt::N,mezeg,மருத்துவர்
428,Arzt::N,medisin,மருத்துவர்
429,Lehrer::N,skolaer,ஆசிரியர்
430,Lehrer::N,kelenner,ஆசிரியர்
431,Geld::N,arc'hant,பணம்
432,Geschäft::N,stal,வாணிபம்
433,Laden::N,stal,கடை
434,Preis::N,priz,விலை
435,Ware::N,marc'hadourezh,சாமன்கள்
436,Nutzen::N,gounidegezh,இலாபம்
437,Nutzen::N,lañs,இலாபம்
438,Nutzen::N,profit,இலாபம்
439,Nutzen::N,spleit,இலாபம்
440,Reichtum::N,pinvidigezh,சொத்து
441,Welt::N,douar,உலகம்
442,Land::N,bro,நாடு
443,Staat::N,stad,நாடு
444,König::N,roue,அரசன்
445,Macht::N,galloud,அதிகாரம்
446,Grenze::N,harzoù,எல்லை
447,Krieg::N,brezel,போர்
448,Feind::N,eneber,எதிரி
449,Gewalt::N,tâerder,வன்முறை
450,Kampf::N,kann,போராட்டம்
451,Bogen[Waffe]::N,gwareg,வில்
452,Pfeil::N,saezh,அம்பு
453,Gewehr::N,fuzuilh,துப்பாக்கி
454,Fehler::N,fazi,தவறு
455,Lüge::N,gaou,பொய்
456,Schaden::N,gwall,சேதாரம்
457,Unglück::N,gwalleur,இடையூறு
458,Schuld::N,kablusted,குற்றம்
459,Schuld::N,pec'hedigezh,குற்றம்
460,Alter::N,oad,வயது
461,Schluss::N,diwezh,முடிவு
462,Zeit::N,amzer,காலம்
463,Tag::N,deizh,நாள்
464,Morgen::N,beure,காலை நேரம்
465,Morgen::N,mintin,காலை நேரம்
466,Mittag::N,kreisteiz,மதியம்
467,Abend::N,abardaez,மாலைப் பொழுது
468,Nacht::N,noz,இரவு
469,Woche::N,sizhun,வாரம்
470,Monat::N,miz,மாதம்
471,Jahr::N,bloaz,வருடம்
472,Frühling::N,nevezamzer,வசந்தம்
473,Sommer::N,hañv,கோடை
474,Herbst::N,diskaramzer,இலையுதிர் காலம்
475,Winter::N,goañv,குளிர்காலம்
476,Januar::N,Genver,ஜனவரி
477,Februar::N,C'hwevrer,பிபரவரி மாதம்
478,März::N,Meurzh,மார்ச் மாதம்
479,April::N,Ebrel,ஏப்ரல் மாதம்
480,Mai::N,Mae,மே மாதம்
481,Juni::N,Mezheven,ஜூன் மாதம்
482,Juli::N,Gouhere,ஜூலை மாதம்
483,August::N,Eost,ஆகஸ்ட் மாதம்
484,September::N,Gwengolo,செப்டம்பர் மாதம்
485,Oktober::N,Here,அக்டோபர் மாதம்
486,November::N,Du,நவம்பர் மாதம்
487,Dezember::N,Kerzu,டிசம்பர்
488,Montag::N,Lun,திங்கட் கிழமை
489,Dienstag::N,Meurzh,செவ்வாய்க்கிழமை
490,Mittwoch::N,Merc'her,புதன் கிழமை
491,Donnerstag::N,Yaou,வியாழக் கிழமை
492,Freitag::N,Gwener,வெள்ளிக்கிழமை
493,Samstag::N,Sadorn,சனிக்கிழமை
494,Sonntag::N,Sul,ஞாயிறுக் கிழமை
495,groß::A,bras,பெரிய
496,klein::A,bihan,சிறிய
497,lang::A,hir,நீண்ட
498,kurz::A,berr,குட்டையான
499,breit::A,ledan,அகலமான
500,schmal::A,strizh,குறுகலான
501,dicht::A,stank,அடர்த்தியான
502,dick[Gegenstand]::A,tev,தடித்த
503,dünn::A,moan,சன்னமான
504,fein::A,munut,மெல்லிய
505,fest::A,start,உறுதியாள
506,flach::A,plaen,தட்டையான
507,glatt::A,lintr,வழுவழுப்பான
508,glatt::A,levn,வழுவழுப்பான
509,hart::A,kalet,கடினமான
510,weich::A,blot,மென்மையான
511,rund::A,ront,உருண்டையான
512,spitz::A,poentet,திகந்தமாக
513,scharf::A,dremm,கூரான
514,stumpf::A,talsoc'h,உளம் திறந்த
515,schwer::A,pounner,கனமான
516,schön::A,kaer,அழகான
517,heiß::A,tomm,சூடான
518,warm::A,tomm,இதமான
519,kalt::A,yen,குளிர்ச்சியான
520,kühl::A,yen,குளிர்ச்சியான
521,frisch::A,fresk,சுத்தமான
522,feucht::A,gleb,ஈரமான
523,nass::A,gleb,ஈரமான
524,trocken::A,sec'h,உலர்ந்த
525,voll::A,leun,நிரம்பிய
526,leer::A,goullo,காலியான
527,offen::A,digor,திறந்த
528,geschlossen::A,serr,மூடப்பட்ட
529,sauber::A,naet,சுத்தமான
530,schmutzig::A,lous,அழக்கான
531,roh::A,kriz,கச்சா
532,reif::A,darev,பழுத்த
533,lecker::A,lipous,சுவைமிக்க
534,lecker::A,saourus,சுவைமிக்க
535,süß::A,dous,இனிப்பான
536,bitter::A,c'hwerv,கசப்பான
537,sauer::A,trenk,புளிப்பாக
538,hell::A,sklaer,பளபளப்பான
539,dunkel::A,teñval,கருமையான
540,schwarz::A,du,கருப்பு வண்ண
541,weiß::A,gwenn,வெண்மையன
542,rot::A,ruz,சிவப்பு
543,gelb::A,melen,மஞ்சள் வண்ணம்
544,blau::A,glas,நீல வண்ண
545,grün::A,gwer,பச்சை வண்ண
546,grau::A,louet,சாம்பல் நிற
547,bunt::A,liesliv,வண்ண மயமான
548,billig::A,marc'had-mat,மலிவான
549,teuer::A,ker,விலை அதிகமான
550,wertvoll::A,prizius,மதிப்புள்ள
551,blind::A,dall,பார்வையற்ற
552,taub::A,bouzar,செவிடான
553,kräftig::A,start,வலிமையான
554,stark::A,kreñv,பலமான
555,schwach::A,gwan,பலவீனமான
556,fett::A,lard,பருமனாக
557,schlank::A,sinkl,ஒல்லியான
558,hübsch::A,koant,அழகிய
559,böse::A,gwall,கேடு விளைவிக்கும்
560,dumm::A,glep,முட்டாள்தனமான
561,faul::A,lezirek,சோம்பலான
562,fleißig::A,studius,ஊக்கந்தளராத
563,geizig::A,tost,கஞேசத்தனமான
564,klug::A,speredek,சாதுரியமான
565,geschickt::A,dornet,திறமையள்ள
566,lieb::A,koant,அன்புக்குரிய
567,lustig::A,laouen,களிப்புமிக்க
568,sanft::A,flour,சாதுவான
569,hungrig::A,marnaon,பசியுடன்
570,krank::A,klañv,நோயுற்று
571,nackt::A,noazh,ஆடையற்ற
572,traurig::A,trist,சோகமான
573,lebendig::A,bev,பிழைப்பு
574,gut::A,mad,நல்ல
575,schlecht::A,fall,கெட்ட
576,schlecht::A,gwall,கெட்ட
577,richtig::A,reizh,சரியான
578,schlimm::A,gwall,அருவருப்பான
579,wahr::A,gwir,உண்மையான
580,alt::A,kozh,பழைய
581,neu::A,nevez,புதிய
582,ehemalig::A,kozh,முன்நாள்
583,alt[Lebewesen]::A,kozh,வயதான
584,jung::A,yaouank,இளமையான
585,arm::A,paour,ஏழ்மையான
586,reich::A,pinvidik,செல்வம் படைத்த
587,bekannt::A,anavezet,பழக்கப்பட்ட
588,berühmt::A,brudet,புகழ்பெற்ற
589,fremd::A,dizanav,அயல் நாட்டு
590,verschieden::A,disheñel,வித்தியாசமான
591,nah::A,nes,பக்கத்தில் உள்ள
592,fern::A,diabell,தொலை தூரத்தில்
593,linker::A,kleiz,மீந்திருக்கும்
594,rechter::A,dehoù,வலதுபக்கம்
595,anderer::A,all,மற்ற
596,erster::A,kentañ,முதனமையான
597,zweiter::A,eil,இரண்டாவது
598,dritter::A,trede,மூன்றாவது
599,letzter::A,diwezhañ,கடைசி
600,allein::ADV,e-unan,தனியாக
601,auf einmal::ADV,ar un dro,தடீரென்று
602,zusammen::ADV,asambles,சேர்ந்து
603,lange::ADV,pell,அதிக நோம்
604,plötzlich::ADV,en un taol,தடீரென்று
605,sofort::ADV,diouzhtu,உடனடியாக
606,später::ADV,diwezhatoc'h,பிறகு
607,jetzt::ADV,bremañ,இப்பொழது
608,heute::ADV,hiziv,இன்று
609,morgen::ADV,arc'hoazh,நாளைக்கு
610,bald::ADV,hepdale,சீக்கிரம்
611,dann::ADV,a-c'houde,அப்பொழுது
612,gestern::ADV,dec'h,நேற்று
613,einst::ADV,gwechall,ஒரே முறை
614,damals::ADV,neuze,அப்பொழுது
615,danach::ADV,goude,பிற்பாடு
616,vorher::ADV,diagent,முன்பாக
617,zuerst::ADV,da gentañ,முதலில்
618,einmal::ADV,ur wech,ஒரே முறை
619,manchmal::ADV,a-wechoù,சில நேரங்களில்
620,oft::ADV,alies,அடிக்கடி
621,immer::ADV,atav,எப்பொழுதும்
622,immer::ADV,bepred,எப்பொழுதும்
623,niemals::ADV,gwech ebet,ஒருபோதும் இல்லை
624,hier::ADV,amañ,இங்கே
625,hierhin::ADV,dre amañ,இவ்விடத்திற்கு
626,von hier::ADV,alemañ,இனி
627,dort::ADV,aze,அங்கே
628,dort::ADV,ahont,அங்கே
629,dorthin::ADV,di,அவ்விடத்திற்கு
630,dorthin::ADV,aze,அவ்விடத்திற்கு
631,dorthin::ADV,ahont,அவ்விடத்திற்கு
632,geradeaus::ADV,war-eeun,முன்னாலிருக்கும்
633,vorwärts::ADV,war-raok,முன்புறமாக
634,rückwärts::ADV,war-lerc'h,பின்னோக்கி
635,zurück::ADV,war-dreñv,பின்பக்கம்
636,unten::ADV,en traoñ,கீழாக
637,hinab::ADV,a-izel,கீழ் நோக்கி
638,oben::ADV,en nec'h,மேலே
639,hinauf::ADV,e-krec'h,மேலே
640,überall::ADV,dre-holl,எல்லா இடத்திலும்
641,nicht::ADV,ne ... ket,இல்லை
642,ein wenig::ADV,un tammig,கொஞ்சம்
643,kaum::ADV,a-boan,அரிதாக
644,sehr::ADV,-tre,மிக்க
645,sehr::ADV,-kenañ,மிக்க
646,so::ADV,evel-se,மிகவும்
647,noch::ADV,c'hoazh,இப்பொழுதும்
648,nur::ADV,hepken,மட்டும்
649,schon::ADV,dija,ஏற்கனவே
650,wieder::ADV,adarre,மறுபடியும்
651,vor::PRP,dirak,முன்
652,hinter::PRP,a-drek,பின்பக்கம்
653,hinter::PRP,a-dreñv,பின்பக்கம்
654,unter::PRP,dindan,கீழே
655,durch::PRP,dre,ஊடே
656,neben::PRP,e-kichen,அடுத்து
657,zwischen::PRP,etre,இடையில்
658,wegen::PRP,abalamour da,ஏனெனில்
659,dies::PRN,hemañ,இது
660,das::PRN,se,அது
661,das::PRN,hennezh,அது
662,alles::PRN,pep tra,ஒவ்வொன்றும்
663,ich::PRN,me,நான்
664,du::PRN,te,நீ
665,er::PRN,eñ,அவன்
666,wir::PRN,ni,நாம்
667,wir::PRN,ni,நாங்கள்
668,ihr::PRN,c'hwi,நீங்கள்
669,sie::PRN,int,அவர்கள்
670,was::FPRN,petra,என்ன
671,wer::FPRN,piv,யார்
672,wo::FADV,pelec'h,எங்கே
673,wohin::FADV,da belec'h,எதற்கு
674,wie::FADV,penaos,எப்படி
675,warum::FADV,perak,ஏன்
676,wieviel::FNUM,pet,எவ்வளவு
677,eins::NUM,unan,ஒன்று
678,zwei::NUM,daou,இரண்டு
679,drei::NUM,tri,மூன்று
680,vier::NUM,pevar,நான்கு
