,Concept_ID,ta,cs
328,Last::N,பாரம்,náklad
329,Last::N,பாரம்,břemeno
330,Gang::N,நடை,chůze
331,Gang::N,நடை,chodba
332,Schritt::N,காலடி,krok
333,Norden::N,வடக்கு,sever
334,Süden::N,தெற்கு,jih
335,Westen::N,மேற்கு திசை,západ
336,Osten::N,கிழக்கு,východ
337,Holz::N,மரக்கட்டை,dřevo
338,Brett::N,பலகை,prkno
339,Platte::N,பலகம்,deska
340,Stütze::N,அடைப்புகன்,opěra
341,Stange::N,கம்பம்,tyč
342,Stange::N,கம்பம்,tyčka
343,Stock::N,குச்சி,hůlka
344,Stab::N,கம்பு,hůl
345,Rohr::N,குழாய்,trubka
346,Haus::N,வீடு,dům
347,Heim::N,வீடு,domov
348,Ofen::N,அடுப்பு,kamna
349,Fußboden::N,தரை,podlaha
350,Tisch::N,மேசை,stůl
351,Stuhl::N,நாற்காலி,židle
352,Wiege::N,தொட்டில்,kolébka
353,Bett::N,படுக்கை,postel
354,Regal::N,அலமாரி,regál
355,Regal::N,அலமாரி,police
356,Kiste::N,பெட்டி,bedna
357,Fenster::N,சாளரம்,okno
358,Tür::N,கதவு,dveře
359,Tor::N,வாசற்கதவு,vrata
360,Zaun::N,வேலி,plot
361,Dach::N,கூரை,střecha
362,Leiter::N,ஏணி,žebřík
363,Besen::N,விளக்குமாறு,koště
364,Besen::N,விளக்குமாறு,smeták
365,Spaten::N,மண்வெட்டி,rýč
366,Schaufel::N,அடிதண்டா,lopata
367,Gabel::N,முட்கரண்டி,vidlička
368,Löffel::N,கரண்டி,lžíce
369,Messer::N,கத்தி,nůž
370,Nagel::N,ஆணி,hřebík
371,Netz::N,வலை,síť
372,Haken::N,கொக்கி,hák
373,Griff::N,கைப்பிடி,držadlo
374,Schloss::N,பூட்டு,zámek
375,Bild::N,படம்,obraz
376,Figur::N,எண்ணிக்கை,figura
377,Puppe::N,பொம்மை,panenka
378,Beutel::N,பை,pytlík
379,Bündel::N,பொதி,svazek
380,Tasche::N,பை,taška
381,Tasche::N,பை,brašna
382,Eimer::N,வாளி,kýbl
383,Eimer::N,வாளி,vědro
384,Deckel::N,உறை,víko
385,Deckel::N,உறை,příklop
386,Geschirr::N,பாத்திரம்,nádobí
387,Sack::N,பை,pytel
388,Tasse::N,கிண்ணம்,šálek
389,Topf::N,பானை,hrnec
390,Kessel::N,கெண்டி,kotel
391,Essen::N,உணவருந்துதல்,jídlo
392,Nahrung::N,உணவு,strava
393,Nahrung::N,உணவு,potrava
394,Speise::N,உணவு வகை,jídlo
395,Fleisch::N,இறைச்சி,maso
396,Getreide::N,மக்காச்சோளம்,obilí
397,Brei::N,கஞ்சி,kaše
398,Brot::N,ரொட்டி,chléb
399,Scheibe::N,துண்டு,krajíc
400,Fett::N,கொழுப்பு,tuk
401,Fett::N,கொழுப்பு,omastek
402,Butter::N,வெண்ணெய்,máslo
403,Öl::N,எண்ணெய்,olej
404,Salz::N,உப்பு,sůl
405,Suppe::N,ரசம்,polévka
406,Honig::N,தேன்,med
407,Milch::N,பால்,mléko
408,Tee::N,தெனீர்,čaj
409,Leder::N,பதம் செய்யப்பட்ட தோல்,kůže
410,Wolle::N,கம்பளி,vlna
411,Stoff::N,துணி,látka
412,Nadel::N,ஊசி,jehla
413,Faden::N,நூல்,nit
414,Knopf::N,பொத்தான்,knoflík
415,Knoten::N,முடிச்சு,uzel
416,Farbe::N,வண்ணக் குழம்பு,barva
417,Kleidung::N,ஆடைகள்,šaty
418,Kleidung::N,ஆடைகள்,šatstvo
419,Hemd::N,சட்டை,košile
420,Kragen::N,கழுத்துப் பட்டை,límec
421,Ärmel::N,சட்டைக்கை,rukáv
422,Hose::N,கால்சட்டை,kalhoty
423,Gürtel::N,பெல்ட்,pás
424,Gürtel::N,பெல்ட்,opasek
425,Mütze::N,தொப்பி,čepice
426,Schuh::N,காலணி,bota
427,Stiefel::N,காலணி,holínka
428,Ring::N,மோதிரம்,prsten
429,Band::N,நாடா,pásek
430,Kamm::N,கீப்பு,hřeben
431,Spiegel::N,ஆடி,zrcadlo
432,Spiegel::N,கண்ணாடி,zrcadlo
433,Riemen::N,வார்,řemen
434,Schnur::N,கயிறு,šňůra
435,Leine::N,தோல்வார்,vodítko
436,Decke::N,போர்வை,pokrývka
437,Decke::N,போர்வை,přikrývka
438,Kissen::N,தலையணை,polštář
439,Tuch::N,துணி,šátek
440,Handtuch::N,தண்டு,ručník
441,Kraft::N,நிர்பந்தம்,síla
442,Stärke::N,பலம்,síla
443,Gesundheit::N,ஆரோக்கியம்,zdraví
444,Krankheit::N,நோய்,nemoc
445,Krankheit::N,நோய்,choroba
446,Schmerz::N,வலி,bolest
447,Wunde::N,காயம்,rána
448,Fieber::N,காய்ச்சல்,horečka
449,Arznei::N,மருந்து,lék
450,Brücke::N,பாலம்,most
451,Brunnen::N,கேணி,studna
452,Weide::N,மேய்ச்சல் நிலம்,pastva
453,Weide::N,மேய்ச்சல் நிலம்,pastvina
454,Pfad::N,நடை வழி,pěšina
455,Weg::N,வழி,cesta
456,Straße::N,சாலை,silnice
457,Dorf::N,கிராமம்,vesnice
458,Stadt::N,நகரம்,město
459,Brief::N,கடிதம்,dopis
460,Buch::N,புத்தகம்,kniha
461,Buchstabe::N,எழத்து,písmeno
462,Zeitung::N,செய்தித்தாள்,noviny
463,Leben::N,வாழ்க்கை,život
464,Tod::N,மரணம்,smrt
465,Grab::N,சமாதி,hrob
466,Kirche::N,தேவாலயம்,kostel
467,Sünde::N,பாவம்,hřích
468,Gott::N,கடவுள்,bůh
469,Arbeiter::N,தொழிலாளி,dělník
470,Arbeiter::N,தொழிலாளி,pracovník
471,Chef::N,மேலாளர்,šéf
472,Chef::N,மேலாளர்,vedoucí
473,Meister::N,தலைவன்,mistr
474,Arzt::N,மருத்துவர்,lékař
475,Lehrer::N,ஆசிரியர்,učitel
476,Geld::N,பணம்,peníze
477,Geschäft::N,வாணிபம்,obchod
478,Laden::N,கடை,krám
479,Preis::N,விலை,cena
480,Ware::N,சாமன்கள்,zboží
481,Nutzen::N,இலாபம்,užitek
482,Reichtum::N,சொத்து,bohatství
483,Welt::N,உலகம்,svět
484,Land::N,நாடு,země
485,Staat::N,நாடு,stát
486,König::N,அரசன்,král
487,Macht::N,அதிகாரம்,moc
488,Macht::N,அதிகாரம்,mocnost
489,Grenze::N,எல்லை,hranice
490,Krieg::N,போர்,válka
491,Feind::N,எதிரி,nepřítel
492,Gewalt::N,வன்முறை,násilí
493,Kampf::N,போராட்டம்,boj
494,Bogen[Waffe]::N,வில்,luk
495,Pfeil::N,அம்பு,šíp
496,Gewehr::N,துப்பாக்கி,puška
497,Gewehr::N,துப்பாக்கி,ručnice
498,Fehler::N,தவறு,chyba
499,Lüge::N,பொய்,lež
500,Schaden::N,சேதாரம்,škoda
501,Unglück::N,இடையூறு,neštěstí
502,Schuld::N,குற்றம்,vina
503,Alter::N,வயது,věk
504,Schluss::N,முடிவு,konec
505,Zeit::N,காலம்,čas
506,Tag::N,நாள்,den
507,Morgen::N,காலை நேரம்,ráno
508,Morgen::N,காலை நேரம்,jitro
509,Mittag::N,மதியம்,poledne
510,Abend::N,மாலைப் பொழுது,večer
511,Nacht::N,இரவு,noc
512,Woche::N,வாரம்,týden
513,Monat::N,மாதம்,měsíc
