,Concept_ID,br,sv
86,Frost::N,rev,frost
87,Kälte::N,yen,köld
88,Hitze::N,tommder,hetta
89,Raureif::N,frim,rimfrost
90,Regenbogen::N,gwareg-ar-glav,regnbåge
91,Donner::N,kurun,åska
92,Donner::N,kurun,dunder
93,Strömung::N,red,strömning
94,Tropfen::N,bannac'h,dropper
95,Tropfen::N,takenn,dropper
96,Schaum::N,spoum,skum
97,Schmutz::N,fank,lort
98,Schmutz::N,fank,smuts
99,See::N,lenn,sjö
100,Sumpf::N,gwern,träsk
101,Moor::N,taouarc'heg,myr
102,Moor::N,taouarc'heg,mosse
103,Wiese::N,prad,äng
104,Wald::N,koad,skog
105,Hügel::N,torgenn,höjd
106,Hügel::N,torgenn,kulle
107,Anhöhe::N,run,höjd
108,Anhöhe::N,run,backe
109,Berg::N,menez,berg
110,Berg::N,menez,fjäll
111,Gipfel::N,barr,topp
112,Höhle::N,kav,håla
113,Höhle::N,kav,grotta
114,Abhang::N,naou,slänt
115,Abhang::N,naou,sluttning
116,Quelle::N,feunteun,källa
117,Bach::N,gwazh,bäck
118,Fluss::N,stêr,älv
119,Fluss::N,stêr,flod
120,Ufer::N,ribl,strand
121,Küste::N,aod,kust
122,Festland::N,douar,fastland
123,Meer::N,mor,hav
124,Bucht::N,mor-bihan,vik
125,Bucht::N,mor-bihan,bukt
126,Insel::N,enez,ö
127,Blume::N,bleunienn,blomma
128,Blume::N,bleunienn,blomster
129,Gras::N,geot,gräs
130,Wurzel::N,gwrizienn,rot
131,Baum::N,gwezenn,träd
132,Stamm::N,kef,stam
133,Rinde::N,rusk,bark
134,Ast::N,barr,gren
135,Zweig::N,bod,kvist
136,Blatt::N,delienn,löv
137,Blatt::N,delienn,blad
138,Birke::N,bezvenn,björk
139,Kiefer[Baum]::N,pinenn,tall
140,Weide[Baum]::N,halegenn,pil
141,Weide[Baum]::N,halegenn,vide
142,Tanne::N,sapenn,gran
143,Horn::N,korn,horn
144,Feder::N,pluñv,fjäder
145,Fell::N,kreoñ,fäll
146,Fell::N,kreoñ,skinn
147,Flügel::N,askell,vinge
148,Klaue::N,skilf,klöv
149,Kralle::N,skilf,klo
150,Schwanz::N,lost,svans
151,Schwanz::N,lost,stjärt
152,Ei::N,vi,ägg
153,Nest::N,neizh,rede
154,Nest::N,neizh,näste
155,Bau::N,douarenn,bo
156,Tier::N,loen,djur
157,Herde::N,tropell,flock
158,Kuh::N,buoc'h,ko
159,Bulle::N,tarv,tjur
160,Pferd::N,marc'h,häst
161,Schaf::N,dañvad,får
162,Schwein::N,pemoc'h,svin
163,Hund::N,ki,hund
164,Katze::N,kazh,katt
165,Bär::N,arzh,björn
166,Eichhörnchen::N,gwiñver,ekorre
167,Elch::N,karv-dour,älg
168,Fuchs::N,louarn,räv
169,Hase::N,gad,hare
170,Maus::N,logodenn,mus
171,Wolf::N,bleiz,varg
172,Vogel::N,labous,fågel
173,Schwarm::N,nijad,svärm
174,Huhn::N,yar,höns
175,Hahn::N,kilhog,tupp
176,Gans::N,gwazenn,gås
177,Adler::N,erer,örn
178,Ente::N,houad,anka
179,Eule::N,toud,uggla
180,Kranich::N,garan,trana
181,Krähe::N,bran,kråka
182,Kuckuck::N,koukoug,gök
183,Schwan::N,alarc'h,svan
184,Fisch::N,pesk,fisk
185,Barsch::N,brell,abborre
186,Hecht::N,beked,gädda
187,Schlange[Tier]::N,naer,orm
188,Wurm::N,preñv,mask
189,Spinne::N,kevnidenn,spindel
190,Ameise::N,merion,myra
191,Laus::N,laouenn,lus
192,Mücke::N,moustik,mygga
193,Fliege::N,kelienenn,fluga
194,Schmetterling::N,balafenn,fjäril
195,Beere::N,hog,bär
196,Apfel::N,aval,äpple
197,Pilz::N,kabell-touseg,svamp
198,Zwiebel::N,ognonenn,lök
199,Saat::N,had,sådd
200,Korn::N,ed,korn
201,Heu::N,foenn,hö
202,Schale::N,peliadur,skal
203,Falle::N,pech,fälla
204,Schlinge::N,krouglas,snara
205,Asche::N,ludu,aska
206,Dreck::N,fank,lort
207,Eisen::N,houarn,järn
208,Gold::N,aour,guld
209,Silber::N,arc'hant,silver
210,Kohle::N,glaou,kol
211,Glas::N,gwer,glas
212,Sand::N,traezh,sand
213,Mensch::N,den,människa
214,Mann::N,den,man
215,Frau::N,maouez,kvinna
216,Kind::N,bugel,barn
217,Junge::N,paotr,pojke
218,Mädchen::N,plac'h,flicka
219,Familie::N,familh,familj
220,Großvater::N,tad-kozh,morfar
221,Großmutter::N,mamm-gozh,farmor
222,Eltern::N,kerent,föräldrar
223,Vater::N,tad,far
224,Mutter::N,mamm,mor
225,Sohn::N,mab,son
226,Tochter::N,merc'h,dotter
227,Bruder::N,breur,bror
228,Schwester::N,c'hoar,syster
229,Onkel::N,eontr,morbror
230,Tante::N,moereb,tant
231,Ehemann::N,gwaz,äkta man
232,Ehefrau::N,gwreg,hustru
233,Freude::N,levenez,fröjd
234,Freude::N,levenez,glädje
235,Gelächter::N,c'hoarzherezh,åtlöje
236,Glück::N,chañs,lycka
237,Kummer::N,doan,sorg
238,Wunsch::N,c'hoant,önskan
239,Lust::N,c'hoant,lust
240,Geist::N,spered,ande
241,Gedanke::N,soñj,tanke
242,Gedächtnis::N,eñvor,minne
243,Verstand::N,skiant,förstånd
244,Sinn::N,ster,mening
245,Sinn::N,ster,betydelse
246,Grund::N,kaoz,skäl
247,Grund::N,kaoz,grund
248,Wahrheit::N,gwirionez,sanning
249,Gespräch::N,kaozeadenn,samtal
250,Märchen::N,kaoz korriganez,saga
251,Erzählung::N,kontadenn,berättelse
252,Nachricht::N,keloù,meddelande
253,Neuigkeit::N,kelaouenn,nyhet
254,Name::N,anv,namn
255,Rätsel::N,divinatez,gåta
256,Rede::N,diskour,tal
257,Sprache::N,yezh,språk
258,Stimme::N,mouezh,stämma
259,Wort::N,ger,ord
260,Zeichen::N,sin,tecken
261,Ruf::N,galv,rop
262,Lärm::N,trouz,bråk
263,Lärm::N,trouz,oväsen
264,Ton::N,ton,ton
265,Lied::N,kanaouenn,sång
266,Ruhe::N,sioulded,ro
267,Ruhe::N,sioulded,lugn
268,Leute::N,tud,folk
269,Volk::N,pobl,folk
270,Arbeit::N,labour,arbete
271,Gast::N,kouviad,gäst
272,Geschenk::N,prof,gåva
273,Geschenk::N,prof,present
274,Spiel::N,c'hoari,lek
275,Spiel::N,c'hoari,spel
276,Gesellschaft::N,kompagnunezh,sällskap
277,Gesellschaft::N,kavandad,sällskap
278,Hilfe::N,sikour,hjälp
279,Freund::N,mignon,vän
280,Kamerad::N,kamarad,kamrat
281,Angelegenheit::N,afer,ärende
282,Angelegenheit::N,afer,angelägenhet
283,Anzahl::N,niver,antal
284,Art::N,sort,art
285,Art::N,sort,slag
286,Stück::N,tamm,stycke
287,Teil::N,pezh,del
288,Hälfte::N,hanterenn,halva
289,Kreis::N,kelc'h,krets
290,Kreis::N,kelc'h,cirkel
291,Kreuz::N,kroaz,kors
292,Kreuz::N,kroaz,kryss
293,Linie::N,linenn,linje
294,Strich::N,tenn,streck
295,Abstand::N,distok,avstånd
296,Entfernung::N,keid,avstånd
297,Entfernung::N,kehid,avstånd
298,Gegend::N,korn-bro,trakt
299,Platz::N,plasenn,plats
300,Ort::N,lec'h,plats
301,Ort::N,lec'h,ställe
302,Seite::N,tu,sida
303,Mitte::N,kreiz,mitt
304,Gegenstand::N,tra,föremål
305,Sache::N,tra,sak
306,Rand::N,kantenn,rand
307,Kante::N,kantenn,kant
308,Ecke::N,korn,vrå
309,Ecke::N,korn,hörn
310,Spitze::N,begell,spets
311,Ende::N,dibenn,ända
312,Loch::N,toull,hål
313,Muster::N,tresadenn,mönster
314,Größe::N,ment,storlek
315,Länge::N,hirder,längd
316,Höhe::N,uhelder,höjd
317,Gewicht::N,pouez,tyngd
318,Menge::N,bern,mängd
319,Haufen::N,bern,hög
320,Reihe::N,steud,rad
321,Boot::N,bag,båt
322,Ruder::N,roeñv,åra
323,Schlitten::N,trainell,släde
324,Ski::N,ski,skida
325,Last::N,karg,last
326,Last::N,karg,börda
327,Gang::N,kerzh,gång
328,Schritt::N,paz,steg
329,Norden::N,norzh,norr
330,Norden::N,hanternoz,norr
331,Süden::N,su,söder
332,Süden::N,kreisteiz,söder
333,Westen::N,kuzh-heol,väster
334,Osten::N,reter,öster
335,Osten::N,sav-heol,öster
336,Holz::N,koad,trä
337,Brett::N,plankenn,bräda
338,Platte::N,plakenn,platta
339,Stütze::N,harp,stöd
340,Stütze::N,harp,stötta
341,Stange::N,sparl,stång
342,Stock::N,bazh,käpp
343,Stock::N,bazh,pinne
344,Stab::N,bazh,stav
345,Rohr::N,tub,rör
346,Rohr::N,korz,rör
347,Haus::N,ti,hus
348,Heim::N,kêr,hem
349,Ofen::N,forn,ugn
350,Fußboden::N,plañchod,golv
351,Tisch::N,taol,bord
352,Stuhl::N,kador,stol
353,Wiege::N,kavell,vagga
354,Bett::N,gwele,säng
355,Regal::N,estajerenn,hylla
356,Kiste::N,kased,låda
357,Fenster::N,prenestr,fönster
358,Tür::N,dor,dörr
359,Tor::N,portal,port
360,Zaun::N,sklotur,staket
361,Zaun::N,sklotur,stängsel
362,Dach::N,toenn,tak
363,Leiter::N,skeul,stege
364,Besen::N,skubell,kvast
365,Spaten::N,pal,spade
366,Schaufel::N,pal,skovel
367,Schaufel::N,pal,skyffel
368,Gabel::N,fourchetez,gaffel
369,Löffel::N,loa,sked
370,Messer::N,kontell,kniv
371,Nagel::N,tach,spik
372,Netz::N,roued,nät
373,Haken::N,krog,krok
374,Griff::N,kemer,tag
375,Griff::N,kemer,handtag
376,Schloss::N,potenn,las
377,Bild::N,skeudenn,bild
378,Figur::N,skeud,figur
379,Figur::N,figur,figur
380,Puppe::N,merc'hodenn,docka
381,Beutel::N,sac'h,påse
382,Bündel::N,feskenn,bunt
383,Bündel::N,feskenn,knippa
384,Tasche::N,sac'h,väska
385,Eimer::N,sailh,hink
386,Eimer::N,sailh,ämbar
387,Deckel::N,pallenn,lock
388,Geschirr::N,listriaj,servis
389,Geschirr::N,listriaj,porslin
390,Sack::N,sac'h,säck
391,Tasse::N,tas,kopp
392,Topf::N,pod,gryta
393,Topf::N,pod,kastrull
394,Kessel::N,chaodouron,kittel
395,Essen::N,pred,mål
396,Nahrung::N,boued,näring
397,Speise::N,meuz,maträtt
398,Fleisch::N,kig,kött
399,Getreide::N,ed,säd
400,Getreide::N,ed,spannmål
401,Brei::N,yod,gröt
402,Brot::N,bara,bröd
403,Scheibe::N,tailhenn,skiva
404,Fett::N,lard,fett
405,Butter::N,amann,smör
406,Öl::N,eoul,olja
407,Salz::N,holen,salt
408,Suppe::N,soubenn,soppa
409,Honig::N,mel,honung
410,Milch::N,laezh,mjölk
411,Tee::N,te,te
412,Leder::N,lêr,läder
413,Wolle::N,gloan,ull
414,Wolle::N,gloan,ylle
415,Stoff::N,danvez,tyg
416,Stoff::N,danvez,stoff
417,Nadel::N,nadoz,nål
418,Faden::N,neudenn,tråd
419,Knopf::N,bouton,knapp
420,Knoten::N,skoulm,knut
421,Farbe::N,liv,färg
422,Kleidung::N,dilhad,klädsel
423,Hemd::N,roc'hed,skjorta
424,Kragen::N,gouzoug,krage
425,Ärmel::N,milgin,ärm
426,Hose::N,bragoù,byxor
427,Gürtel::N,gouriz,bälte
428,Mütze::N,boned,mössa
429,Schuh::N,botez,sko
430,Stiefel::N,botez,stövel
431,Ring::N,gwalenn,ring
432,Band::N,bagad,band
433,Kamm::N,krib,kam
434,Spiegel::N,melezour,spegel
435,Riemen::N,lerenn,rem
436,Schnur::N,kordenn,snöre
437,Leine::N,roll,lina
438,Decke::N,golo,täcke
439,Kissen::N,goubenner,dyna
440,Kissen::N,goubenner,kudde
441,Tuch::N,mezher,sjal
442,Handtuch::N,toailhon,handduk
443,Kraft::N,nerzh,kraft
444,Stärke::N,nerzhder,styrka
445,Gesundheit::N,yec'hed,hälsa
446,Krankheit::N,klañved,sjukdom
447,Schmerz::N,poan,smärta
448,Schmerz::N,droug,smärta
449,Wunde::N,gloazadenn,sår
450,Fieber::N,terzhienn,feber
451,Arznei::N,louzoù,medicin
452,Arznei::N,louzoù,läkemedel
453,Brücke::N,pont,bro
454,Brunnen::N,puñs,brunn
455,Weide::N,prad,bete
456,Pfad::N,gwenodenn,stig
457,Weg::N,hent,väg
458,Straße::N,ru,gata
459,Straße::N,hent,gata
460,Dorf::N,kêr,by
461,Dorf::N,kêriadenn,by
462,Stadt::N,kêr,stad
463,Brief::N,lizher,brev
464,Buch::N,levr,bok
465,Buchstabe::N,lizherenn,bokstav
466,Zeitung::N,kazetenn,tidning
467,Leben::N,buhez,liv
468,Tod::N,marv,död
469,Grab::N,bez,grav
470,Kirche::N,iliz,kyrka
471,Sünde::N,pec'hed,synd
472,Gott::N,doue,gud
473,Arbeiter::N,labourer,arbetare
474,Arbeiter::N,micherour,arbetare
475,Chef::N,penn,chef
476,Meister::N,mestr,mästare
477,Arzt::N,mezeg,läkare
478,Arzt::N,medisin,läkare
479,Lehrer::N,skolaer,lärare
480,Lehrer::N,kelenner,lärare
481,Geld::N,arc'hant,pengar
482,Geschäft::N,stal,rörelse
483,Laden::N,stal,affär
484,Preis::N,priz,pris
485,Ware::N,marc'hadourezh,vara
486,Nutzen::N,gounidegezh,gagn
487,Nutzen::N,gounidegezh,nytta
488,Nutzen::N,lañs,gagn
489,Nutzen::N,lañs,nytta
490,Nutzen::N,profit,gagn
491,Nutzen::N,profit,nytta
492,Nutzen::N,spleit,gagn
493,Nutzen::N,spleit,nytta
494,Reichtum::N,pinvidigezh,rikedom
495,Welt::N,douar,värld
496,Land::N,bro,land
497,Staat::N,stad,stat
498,König::N,roue,kung
499,König::N,roue,konung
500,Macht::N,galloud,makt
501,Grenze::N,harzoù,gräns
502,Krieg::N,brezel,krig
503,Feind::N,eneber,fiende
504,Gewalt::N,tâerder,våld
505,Kampf::N,kann,kamp
506,Kampf::N,kann,strid
507,Bogen[Waffe]::N,gwareg,båge
508,Pfeil::N,saezh,pil
509,Gewehr::N,fuzuilh,gevär
510,Fehler::N,fazi,fel
511,Lüge::N,gaou,lögn
512,Schaden::N,gwall,skada
513,Unglück::N,gwalleur,otur
514,Unglück::N,gwalleur,olycka
515,Schuld::N,kablusted,skuld
516,Schuld::N,pec'hedigezh,skuld
517,Alter::N,oad,ålder
518,Schluss::N,diwezh,slut
519,Zeit::N,amzer,tid
520,Tag::N,deizh,dag
521,Morgen::N,beure,morgon
522,Morgen::N,mintin,morgon
523,Mittag::N,kreisteiz,middag
524,Abend::N,abardaez,kväll
525,Nacht::N,noz,natt
526,Woche::N,sizhun,vecka
527,Monat::N,miz,månad
528,Jahr::N,bloaz,år
529,Frühling::N,nevezamzer,vår
530,Sommer::N,hañv,sommar
531,Herbst::N,diskaramzer,höst
532,Winter::N,goañv,vinter
533,Januar::N,Genver,januari
534,Februar::N,C'hwevrer,februari
535,März::N,Meurzh,mars
536,April::N,Ebrel,april
537,Mai::N,Mae,maj
538,Juni::N,Mezheven,juni
539,Juli::N,Gouhere,juli
540,August::N,Eost,augusti
541,September::N,Gwengolo,september
542,Oktober::N,Here,oktober
543,November::N,Du,november
544,Dezember::N,Kerzu,december
545,Montag::N,Lun,måndag
546,Dienstag::N,Meurzh,tisdag
547,Mittwoch::N,Merc'her,onsdag
548,Donnerstag::N,Yaou,torsdag
549,Freitag::N,Gwener,fredag
550,Samstag::N,Sadorn,lördag
551,Sonntag::N,Sul,söndag
552,groß::A,bras,stor
553,klein::A,bihan,liten
554,lang::A,hir,lång
555,kurz::A,berr,kort
556,breit::A,ledan,bred
557,schmal::A,strizh,smal
558,dicht::A,stank,tät
559,dick[Gegenstand]::A,tev,tjock
560,dünn::A,moan,tunn
561,fein::A,munut,fin
562,fest::A,start,fast
563,flach::A,plaen,platt
564,glatt::A,lintr,glatt
565,glatt::A,levn,glatt
566,hart::A,kalet,hård
567,weich::A,blot,mjuk
568,rund::A,ront,rund
569,spitz::A,poentet,toppig
570,spitz::A,poentet,spetsig
571,scharf::A,dremm,vass
572,scharf::A,dremm,skarp
573,stumpf::A,talsoc'h,slö
574,schwer::A,pounner,tung
575,schön::A,kaer,skön
576,schön::A,kaer,vacker
577,heiß::A,tomm,het
578,warm::A,tomm,varm
579,kalt::A,yen,kall
580,kühl::A,yen,sval
581,kühl::A,yen,kylig
582,frisch::A,fresk,färsk
583,feucht::A,gleb,fuktig
584,nass::A,gleb,våt
585,trocken::A,sec'h,torr
586,voll::A,leun,full
587,leer::A,goullo,tom
588,offen::A,digor,öppen
589,geschlossen::A,serr,stängd
590,sauber::A,naet,ren
591,schmutzig::A,lous,snuskig
592,roh::A,kriz,rå
593,reif::A,darev,mogen
594,lecker::A,lipous,läcker
595,lecker::A,saourus,läcker
596,süß::A,dous,söt
597,bitter::A,c'hwerv,besk
598,bitter::A,c'hwerv,bitter
599,sauer::A,trenk,sur
600,hell::A,sklaer,ljus
601,dunkel::A,teñval,mörk
602,schwarz::A,du,svart
603,weiß::A,gwenn,vit
604,rot::A,ruz,röd
605,gelb::A,melen,gul
606,blau::A,glas,blå
607,grün::A,gwer,grön
608,grau::A,louet,grå
609,bunt::A,liesliv,brokig
610,billig::A,marc'had-mat,billig
611,teuer::A,ker,dyr
612,wertvoll::A,prizius,värdefull
613,blind::A,dall,blind
614,taub::A,bouzar,döv
615,kräftig::A,start,kraftig
616,stark::A,kreñv,stark
617,schwach::A,gwan,svag
618,fett::A,lard,fet
619,schlank::A,sinkl,slank
620,hübsch::A,koant,snygg
621,hübsch::A,koant,vacker
622,böse::A,gwall,ond
623,böse::A,gwall,elak
624,dumm::A,glep,dum
625,faul::A,lezirek,lat
626,fleißig::A,studius,flitig
627,geizig::A,tost,snål
628,geizig::A,tost,girig
629,klug::A,speredek,klok
630,geschickt::A,dornet,händig
631,geschickt::A,dornet,skicklig
632,lieb::A,koant,kär
633,lieb::A,koant,snäll
634,lustig::A,laouen,rolig
635,lustig::A,laouen,lustig
636,sanft::A,flour,mild
637,hungrig::A,marnaon,hungrig
638,krank::A,klañv,sjuk
639,nackt::A,noazh,naken
640,traurig::A,trist,ledsen
641,traurig::A,trist,sorgsen
642,lebendig::A,bev,levande
643,gut::A,mad,bra
644,schlecht::A,fall,dålig
645,schlecht::A,gwall,dålig
646,richtig::A,reizh,riktig
647,schlimm::A,gwall,illa
648,wahr::A,gwir,sann
649,alt::A,kozh,gammal
650,neu::A,nevez,ny
651,ehemalig::A,kozh,forn
652,ehemalig::A,kozh,tidigare
653,alt[Lebewesen]::A,kozh,gammal
654,jung::A,yaouank,ung
655,arm::A,paour,fattig
656,reich::A,pinvidik,rik
657,bekannt::A,anavezet,känd
658,berühmt::A,brudet,berömd
659,fremd::A,dizanav,främmande
660,verschieden::A,disheñel,åtskillig
661,nah::A,nes,nära
662,fern::A,diabell,fjärran
663,linker::A,kleiz,vänster
664,rechter::A,dehoù,höger
665,anderer::A,all,annan
666,erster::A,kentañ,första
667,zweiter::A,eil,andra
668,dritter::A,trede,tredje
669,letzter::A,diwezhañ,sist
670,allein::ADV,e-unan,allena
671,auf einmal::ADV,ar un dro,på en gång
672,zusammen::ADV,asambles,tillsammans
673,lange::ADV,pell,länge
674,plötzlich::ADV,en un taol,plötsligt
675,sofort::ADV,diouzhtu,strax
676,sofort::ADV,diouzhtu,genast
677,später::ADV,diwezhatoc'h,senare
678,jetzt::ADV,bremañ,nu
679,heute::ADV,hiziv,i dag
680,morgen::ADV,arc'hoazh,i morgon
681,bald::ADV,hepdale,snart
682,dann::ADV,a-c'houde,då
683,gestern::ADV,dec'h,i går
684,einst::ADV,gwechall,en gång
685,damals::ADV,neuze,då
686,damals::ADV,neuze,den gången
687,danach::ADV,goude,därefter
688,vorher::ADV,diagent,före
689,vorher::ADV,diagent,förut
690,zuerst::ADV,da gentañ,först
691,einmal::ADV,ur wech,en gång
692,manchmal::ADV,a-wechoù,ibland
693,oft::ADV,alies,ofta
694,immer::ADV,atav,alltid
695,immer::ADV,bepred,alltid
696,niemals::ADV,gwech ebet,aldrig
697,hier::ADV,amañ,här
698,hierhin::ADV,dre amañ,hit
699,von hier::ADV,alemañ,härifrån
700,dort::ADV,aze,där
701,dort::ADV,ahont,där
702,dorthin::ADV,di,dit
703,dorthin::ADV,aze,dit
704,dorthin::ADV,ahont,dit
705,geradeaus::ADV,war-eeun,rätt fram
706,vorwärts::ADV,war-raok,fram
707,vorwärts::ADV,war-raok,framåt
708,rückwärts::ADV,war-lerc'h,baklänges
709,zurück::ADV,war-dreñv,tillbaka
710,unten::ADV,en traoñ,nere
711,unten::ADV,en traoñ,nedanför
712,hinab::ADV,a-izel,ned
713,hinab::ADV,a-izel,nedåt
714,oben::ADV,en nec'h,ovan
715,oben::ADV,en nec'h,ovanpå
716,hinauf::ADV,e-krec'h,upp
717,hinauf::ADV,e-krec'h,uppåt
718,überall::ADV,dre-holl,överallt
719,nicht::ADV,ne ... ket,ej
720,nicht::ADV,ne ... ket,inte
721,ein wenig::ADV,un tammig,litet
722,kaum::ADV,a-boan,knappt
723,kaum::ADV,a-boan,knappast
724,sehr::ADV,-tre,mycket
725,sehr::ADV,-kenañ,mycket
726,so::ADV,evel-se,så
727,noch::ADV,c'hoazh,än
728,noch::ADV,c'hoazh,ännu
729,nur::ADV,hepken,bara
730,nur::ADV,hepken,endast
731,schon::ADV,dija,redan
732,wieder::ADV,adarre,åter
733,vor::PRP,dirak,utanför
734,hinter::PRP,a-drek,bakom
735,hinter::PRP,a-dreñv,bakom
736,unter::PRP,dindan,under
737,durch::PRP,dre,genom
738,durch::PRP,dre,igenom
739,neben::PRP,e-kichen,bredvid
740,neben::PRP,e-kichen,vid sidan av
741,zwischen::PRP,etre,mellan
742,wegen::PRP,abalamour da,på grund av
743,dies::PRN,hemañ,detta
744,das::PRN,se,det
745,das::PRN,hennezh,det
746,alles::PRN,pep tra,allt
747,ich::PRN,me,jag
748,du::PRN,te,du
749,er::PRN,eñ,han
750,wir::PRN,ni,vi
751,ihr::PRN,c'hwi,ni
752,sie::PRN,int,de
753,was::FPRN,petra,vad
754,wer::FPRN,piv,vem
755,wo::FADV,pelec'h,var
756,wohin::FADV,da belec'h,vart
757,wie::FADV,penaos,hur
758,warum::FADV,perak,varför
759,wieviel::FNUM,pet,hur mycket
760,eins::NUM,unan,en
761,eins::NUM,unan,ett
762,zwei::NUM,daou,två
763,drei::NUM,tri,tre
764,vier::NUM,pevar,fyra
765,fünf::NUM,pemp,fem
766,sechs::NUM,c'hwec'h,sex
767,sieben::NUM,seizh,sju
768,acht::NUM,eizh,åtta
769,neun::NUM,nav,nio
770,zehn::NUM,dek,tio
771,elf::NUM,unnek,elva
772,zwölf::NUM,daouzek,tolv
773,zwanzig::NUM,ugent,tjugo
774,dreißig::NUM,tregont,trettio
775,vierzig::NUM,daou-ugent,fyrtio
776,fünfzig::NUM,hanter-kant,femtio
777,sechzig::NUM,tri-ugent,sextio
778,siebzig::NUM,dek ha tri-ugent,sjuttio
779,achtzig::NUM,pevar-ugent,åttio
780,neunzig::NUM,dek ha pevar-ugent,nittio
781,hundert::NUM,kant,hundra
782,tausend::NUM,mil,tusen
783,und::CNJ,ha,och
784,oder::CNJ,pe,eller
785,stehen::V,bezañ a-sav,stå
786,sitzen::V,azezañ,sitta
787,sitzen::V,bezañ en e goazez,sitta
788,liegen::V,bezañ en e c'hourvez,ligga
789,hängen::V,krougañ,hänga
790,werden::V,dazonet,bli
791,passieren::V,c'hoarvezout,ske
792,passieren::V,c'hoarvezout,hända
793,beginnen::V,stagañ,börja
794,enden::V,achuiñ,ända
795,wechseln::V,cheñch,växla
796,aufgehen[Sonne]::V,dirouzañ,gå upp
797,scheinen[Sonne]::V,lugernañ,skina
798,donnern::V,taranal,dundra
799,wehen::V,c'hwezhañ,blåsa
800,strömen::V,deredek,forsa
801,strömen::V,deredek,strömma
802,fließen::V,redek,flyta
803,sich drehen::V,troiñ,snurra
804,schwanken::V,trantellat,vackla
805,schwingen::V,froumal,svinga
806,fallen::V,kouezhañ,falla
807,brennen::V,deviñ,brinna
808,rauchen::V,divogedañ,ryka
809,regnen::V,glavañ,regna
810,gefrieren::V,reviñ,frysa
811,tauen::V,diskornañ,töa
812,schmelzen::V,teuziñ,smälta
813,trocknen::V,sec'hañ,torka
814,sieden::V,berviñ,koka
815,sieden::V,berviñ,sjuda
816,faulen::V,breinañ,ruttna
817,verfaulen::V,breinañ,ruttna
818,reißen::V,darnaouiñ,brista
819,versinken::V,sodellañ,sjunka
820,vergehen::V,tremen,förgå
821,erscheinen::V,donet war-wel,synas
822,erscheinen::V,donet war-wel,visa sig
823,verschwinden::V,monet diwar wel,försvinna
824,sinken::V,en em izelat,sjunka
825,abnehmen::V,nebeutaat,avta
826,abnehmen::V,nebeutaat,minskas
827,zunehmen::V,kreskiñ,tilltaga
828,steigen::V,sevel,stiga
829,wachsen::V,kreskiñ,växa
