,Concept_ID,mrj,da
144,Bulle::N,ӱшкӱж,tyr
145,Pferd::N,имни,hest
146,Schaf::N,шарык,får
147,Schwein::N,сасна,gris
148,Hund::N,пи,hund
149,Katze::N,коти,kat
150,Bär::N,мöскӓ,bjørn
151,Eichhörnchen::N,ур,egern
152,Elch::N,шарды,elg
153,Fuchs::N,рӹвӹж,ræv
154,Hase::N,морен,hare
155,Maus::N,каля,mus
156,Wolf::N,пирӹ,ulv
157,Vogel::N,кек,fugl
158,Schwarm::N,цуца,sværm
159,Huhn::N,цӹвӹ,høne
160,Hahn::N,ӓптӓн,hane
161,Gans::N,комбы,gås
162,Adler::N,кучкыж,ørn
163,Ente::N,лыды,and
164,Eule::N,тымана,ugle
165,Kranich::N,тырня,trane
166,Kranich::N,тыртня,trane
167,Krähe::N,лудыгарак,krage
168,Kuckuck::N,куку,gøg
169,Schwan::N,йӱксӹ,svane
170,Fisch::N,кол,fisk
171,Barsch::N,алангы,aborre
172,Hecht::N,нуж,gedde
173,Hecht::N,нужгол,gedde
174,Schlange[Tier]::N,кӹшкы,slange
175,Wurm::N,шукш,orm
176,Spinne::N,ӓнгӹремшӹ,edderkop
177,Ameise::N,кыткы,myre
178,Laus::N,ти,lus
179,Mücke::N,кужнер,myg
180,Mücke::N,кужынер,myg
181,Fliege::N,шӹнгӓ,flue
182,Schmetterling::N,лӹпӹ,sommerfugl
183,Beere::N,мöр,bær
184,Apfel::N,олма,æble
185,Pilz::N,понгы,svamp
186,Zwiebel::N,охыра,løg
187,Saat::N,нӱшмӹ,sæd
188,Saat::N,нӱшмӱ,sæd
189,Korn::N,пӹрцӹ,korn
190,Heu::N,шуды,hø
191,Schale::N,аваха,skræl
192,Schale::N,карлангы,skræl
193,Grube::N,йӓм,grav
194,Falle::N,лӱдӹ,fælde
195,Falle::N,лӱдӹш,fælde
196,Schlinge::N,онгы,snare
197,Spur::N,кишӓ,spor
198,Asche::N,ломых,aske
199,Asche::N,ломпыж,aske
200,Dreck::N,лявӹрӓ,snavs
201,Eisen::N,кӹртни,jern
202,Gold::N,шöртни,guld
203,Gold::N,шöртньӹ,guld
204,Silber::N,ши,sølv
205,Kohle::N,шӱ,kul
206,Glas::N,охоница,glas
207,Lehm::N,шун,ler
208,Sand::N,ошма,sand
209,Mensch::N,эдем,mennesge
210,Mann::N,пӱэргӹ,mand
211,Frau::N,ӹдӹрӓмӓш,kvinde
212,Kind::N,ӓзӓ,barn
213,Kind::N,шачшы,barn
214,Junge::N,рвезӹ,dreng
215,Junge::N,ӹрвезӹ,dreng
216,Mädchen::N,ӹдӹрӓш,pige
217,Familie::N,йиш,familie
218,Familie::N,семня,familie
219,Großvater::N,тьоти,bedstefar
220,Großmutter::N,папа,bedstemor
221,Eltern::N,ӓтя-ӓвӓ,forældre
222,Vater::N,ӓтя,far
223,Mutter::N,ӓвӓ,mor
224,Sohn::N,эргӹ,søn
225,Tochter::N,ӹдӹр,datter
226,Bruder::N,ӹза,bror
227,Schwester::N,ӓкӓ,søster
228,Onkel::N,кугуза,onkel
229,Tante::N,куака,tante
230,Ehemann::N,мары,ægtemand
231,Ehefrau::N,вӓтӹ,hustru
232,Freude::N,ӹвӹртӹмӓш,glæde
233,Gelächter::N,ваштылмаш,latter
234,Glück::N,пиӓл,lykke
235,Kummer::N,ясы,sorg
236,Wunsch::N,охата,ønske
237,Wunsch::N,шанымаш,ønske
238,Lust::N,шӓр,lyst
239,Lust::N,охата,lyst
240,Lust::N,шанымаш,lyst
241,Geist::N,тух,ånd
242,Gedanke::N,шанымаш,tanke
243,Gedächtnis::N,ӓш,hukommelse
244,Verstand::N,ыш,forstand
245,Sinn::N,кын,mening
246,Sinn::N,кын,betydning
247,Grund::N,вир,grund
248,Wahrheit::N,тöр,sandhed
249,Gespräch::N,хытырымаш,samtale
250,Märchen::N,ямак,eventyr
251,Erzählung::N,шайыштмаш,fortælling
252,Nachricht::N,увертӓрӹмӓш,efterretning
253,Neuigkeit::N,увер,nyhed
254,Name::N,лӹм,navn
255,Rätsel::N,тышты,gåde
256,Rede::N,шая,tale
257,Rede::N,шамак,tale
258,Sprache::N,йӹлмӹ,sprog
259,Stimme::N,юк,stemme
260,Wort::N,шамак,ord
261,Zeichen::N,палӹ,tegn
262,Ruf::N,сӹгӹрӹмӓш,råb
263,Lärm::N,юкланымащ,larm
264,Laut::N,юк,lyd
265,Ton::N,юк,tone
266,Lied::N,мыры,sang
267,Ruhe::N,тыр,ro
268,Ruhe::N,тыр,hvile
269,Leute::N,эдемвлӓ,folk
270,Leute::N,эдемвлӓ,mennesker
271,Volk::N,халык,folk
272,Arbeit::N,пӓшӓ,arbejde
273,Gast::N,хына,gæst
274,Geschenk::N,подарка,gave
275,Spiel::N,мадыш,leg
276,Gesellschaft::N,йӓл,selskab
277,Gesellschaft::N,йӓлвлӓ,selskab
278,Hilfe::N,палшык,hjælp
279,Freund::N,тӓнг,ven
280,Kamerad::N,тос,kammerat
281,Angelegenheit::N,дела,sag
282,Angelegenheit::N,дела,anliggende
283,Angelegenheit::N,йела,sag
284,Angelegenheit::N,йела,anliggende
285,Angelegenheit::N,йыла,sag
286,Angelegenheit::N,йыла,anliggende
287,Angelegenheit::N,пӓшӓ,sag
288,Angelegenheit::N,пӓшӓ,anliggende
289,Anzahl::N,шот,antal
290,Art::N,цӹре,art
291,Stück::N,лаштык,stykke
292,Teil::N,пай,del
293,Teil::N,часть,del
294,Hälfte::N,пел,halvdel
295,Kreis::N,тӹртӹш,cirkel
296,Kreuz::N,крестӹ,kors
297,Kreuz::N,крестӹ,kryds
298,Abstand::N,ло,afstand
299,Entfernung::N,ло,afstand
300,Gegend::N,вӓр,egn
301,Platz::N,вӓр,plads
302,Ort::N,вӓр,sted
303,Seite::N,öрдӹж,side
304,Mitte::N,ло,midte
305,Gegenstand::N,хӓдӹр,genstand
306,Sache::N,хӓдӹр,sag
307,Rand::N,шöр,rand
308,Kante::N,шöр,kant
309,Ecke::N,лык,hjørne
310,Spitze::N,вуй,spids
311,Ende::N,вуй,ende
312,Ende::N,мычаш,ende
313,Loch::N,ыраж,hul
314,Winkel::N,лык,vinkel
315,Muster::N,тӹрлец,mønster
316,Größe::N,кӱкшӹц,størrelse
317,Länge::N,кыт,længde
318,Höhe::N,кӱкшӹц,højde
319,Gewicht::N,нелӹц,vægt
320,Menge::N,шот,mængde
321,Haufen::N,ара,bunke
322,Reihe::N,ряд,række
323,Boot::N,пыш,båd
324,Ruder::N,вешлӓ,åre
325,Schlitten::N,тир,kælk
326,Schlitten::N,тир,slæde
327,Ski::N,ечӹ,ski
328,Lagerfeuer::N,тыл,lejrbål
329,Last::N,нелӹц,last
330,Last::N,нелӹц,byrde
331,Gang::N,ход,gang
332,Schritt::N,ашкыл,skridt
333,Norden::N,йыдпелвел,nord
334,Süden::N,кечӹвӓлвел,syd
335,Westen::N,кечӹ шӹцмӹ,vest
336,Osten::N,ирвел,øst
337,Osten::N,кечӹ лӱлтмӹ,øst
338,Holz::N,пушӓнгӹ,træ
339,Brett::N,ханга,bræt
340,Platte::N,плитӓ,plade
341,Stütze::N,цӓрӓк,støtte
342,Stange::N,равы,stang
343,Stange::N,намаш,stang
344,Stock::N,панды,stok
345,Stab::N,равы,stav
346,Rohr::N,пыч,rør
347,Haus::N,пöрт,hus
348,Heim::N,пöрт,hjem
349,Ofen::N,камака,ovn
350,Fußboden::N,седӹрӓ,gulv
351,Tisch::N,стöл,bord
352,Stuhl::N,пöкен,stol
353,Wiege::N,шипкӓ,vugge
354,Bett::N,койка,seng
355,Bett::N,кравать,seng
356,Regal::N,полицӓ,reol
357,Kiste::N,шӱ́ндӹк,kasse
358,Fenster::N,окня,vindue
359,Tür::N,амаса,dør
360,Tor::N,хапка,port
361,Zaun::N,забор,stakit
362,Dach::N,левӓш,tag
363,Leiter::N,ташкалтыш,stige
364,Besen::N,сало,kost
365,Besen::N,салко,kost
366,Spaten::N,кольмы,spade
367,Schaufel::N,лоток,skovl
368,Gabel::N,ви́лка,gaffel
369,Löffel::N,савала,ske
370,Messer::N,кӹзӹ,kniv
371,Nagel::N,пыда,søm
372,Netz::N,вӓпш,net
373,Haken::N,крӱк,krog
374,Haken::N,кагак,krog
375,Griff::N,кычем,tag
376,Griff::N,кычем,håndtag
377,Schloss::N,замок,lås
378,Schloss::N,сыравач,lås
379,Bild::N,картин,billede
380,Figur::N,кӓн,figur
381,Puppe::N,поханя,dukke
382,Beutel::N,мешӓк,pose
383,Bündel::N,топ,bylt
384,Bündel::N,топ,bundt
385,Bündel::N,пидӹш,bylt
386,Bündel::N,пидӹш,bundt
387,Bündel::N,кӹлдӹш,bylt
388,Bündel::N,кӹлдӹш,bundt
389,Tasche::N,сумкы,taske
390,Eimer::N,ведӹрӓ,spand
391,Deckel::N,комдыш,låg
392,Geschirr::N,ӓтӹ,husgeråd
393,Sack::N,мешӓк,sæk
394,Tasse::N,цӓшкӓ,kop
395,Topf::N,ми́ска,gryde
396,Kessel::N,пад,kedel
397,Essen::N,качкыш,måltid
398,Essen::N,качкыш-йӱш,måltid
399,Nahrung::N,качкыш,mad
400,Nahrung::N,качкыш,næring
401,Nahrung::N,качкыш-йӱш,mad
402,Nahrung::N,качкыш-йӱш,næring
403,Speise::N,няня,ret
404,Fleisch::N,пай,kød
405,Getreide::N,киндӹ,korn
406,Brei::N,шӹрӓш,grød
407,Brot::N,сыкыр,brød
408,Scheibe::N,ламыт,skive
409,Scheibe::N,лаштык,skive
410,Fett::N,кая,fedt
411,Butter::N,ӱ,smør
412,Öl::N,ӱ,olie
413,Salz::N,санзал,salt
414,Suppe::N,лем,suppe
415,Honig::N,мӱ,honning
416,Milch::N,шӹшер,mælk
417,Tee::N,чӓй,te
418,Leder::N,шарга,skind
419,Leder::N,кавашты,skind
420,Wolle::N,миж,uld
421,Stoff::N,матер,stof
422,Stoff::N,матери,stof
423,Nadel::N,им,nål
424,Faden::N,шӹртӹ,tråd
425,Knopf::N,полдыш,knap
426,Knoten::N,пӱкшем,knude
427,Farbe::N,чиӓ,farve
428,Farbe::N,крӓскӓ,farve
429,Kleidung::N,выргем,påklædning
430,Hemd::N,тыгыр,skjorte
431,Kragen::N,шӱ,krave
432,Ärmel::N,шокш,ærme
433,Hose::N,ялаш,bukser
434,Gürtel::N,ӹштӹ,bælte
435,Mütze::N,упш,hue
436,Schuh::N,ту́фльы,sko
437,Stiefel::N,кем,støvle
438,Ring::N,шӓргӓш,ring
439,Band::N,лемтӓ,bånd
440,Kamm::N,шерге,kam
441,Spiegel::N,тӹгӹр,spejl
442,Riemen::N,прӓжӓ,rem
443,Schnur::N,кӓндӹра,snor
444,Leine::N,керем,snor
445,Decke::N,одеял,tæppe
446,Kissen::N,кӹпцӹк,pude
447,Tuch::N,савыц,sjaltørklæde
448,Handtuch::N,шӹргӹсавыц,håndklæde
449,Handtuch::N,шӹргӹмсавыц,håndklæde
450,Kraft::N,ви,kraft
451,Stärke::N,ви,styrke
452,Gesundheit::N,шу,sundhed
453,Gesundheit::N,шулык,sundhed
454,Krankheit::N,мыж,sygdom
455,Schmerz::N,карштыш,smerte
456,Wunde::N,шушыр,sår
457,Fieber::N,ӱштӹмыж,feber
458,Arznei::N,лекӓрцӹ,medicin
459,Arznei::N,лекӓрцӹ,lægemiddel
460,Brücke::N,кӹвер,bro
461,Brunnen::N,вӹдсӹнзӓ,brønd
462,Weide::N,ныр,græsgang
463,Pfad::N,ялгорны,sti
464,Weg::N,корны,vej
465,Straße::N,корны,gade
466,Dorf::N,сола,landsby
467,Stadt::N,города,by
468,Brief::N,сирмӓш,brev
469,Buch::N,книгӓ,bog
470,Buchstabe::N,буква́,bogstav
471,Zeitung::N,газет,avis
472,Zeitung::N,кайзет,avis
473,Leben::N,житя,liv
474,Tod::N,смöрт,død
475,Grab::N,шӹгер,grav
476,Grab::N,мыгилӓ,grav
477,Grab::N,шӹгерлӓ,grav
478,Kirche::N,церкӹ,kirke
479,Sünde::N,сулык,synd
480,Gott::N,йымы,gud
481,Arbeiter::N,пӓшӓзӹ,arbejder
482,Chef::N,вуй,chef
483,Meister::N,мастар,mester
484,Arzt::N,доктор,læge
485,Lehrer::N,тымдышы,lærer
486,Geld::N,окса,penge
487,Geschäft::N,торге́йӹмӓш,forretning
488,Laden::N,лапка,butik
489,Laden::N,лапка,forretning
490,Laden::N,магазин,butik
491,Laden::N,магазин,forretning
492,Preis::N,ӓк,pris
493,Ware::N,товар,vare
494,Nutzen::N,пайда,nytte
495,Reichtum::N,перке,rigdom
496,Welt::N,сӓндӓлӹк,verden
497,Welt::N,свет,verden
498,Land::N,сӓндӓлӹк,land
499,Staat::N,кугижӓншӹ,stat
500,König::N,король,konge
501,Macht::N,власть,magt
502,Grenze::N,пӹсмӓн,grænse
503,Krieg::N,вырсы,krig
504,Feind::N,тышман,fjende
505,Gewalt::N,ви,vold
506,Kampf::N,кредӓлмӓш,kamp
507,Bogen[Waffe]::N,янгеж,bue
508,Pfeil::N,пикш,pil
509,Gewehr::N,пичӓл,gevær
510,Fehler::N,самынь,fejl
511,Lüge::N,шая,løgn
512,Schaden::N,вре́дӓ,skade
513,Unglück::N,пёда,uheld
514,Unglück::N,пёда,ulykke
515,Unglück::N,тымаша,uheld
516,Unglück::N,тымаша,ulykke
517,Schuld::N,вуйнамат,skyld
518,Alter::N,иӓш,alder
519,Alter::N,игечӹ,alder
520,Schluss::N,пӹтӓртӹш,slut
521,Schluss::N,пӹтӓртӹш,slutning
522,Zeit::N,веремӓ,tid
523,Tag::N,кечӹ,dag
524,Morgen::N,ир,morgen
525,Morgen::N,ирок,morgen
526,Mittag::N,кечӹвӓл,middag
527,Abend::N,вады,aften
528,Nacht::N,йыд,nat
529,Woche::N,ӓрня,uge
530,Monat::N,тӹ́лзӹ,måned
531,Jahr::N,год,år
532,Frühling::N,шошым,forår
533,Sommer::N,кӓнгӹж,sommer
534,Herbst::N,шӹжӹ,efterår
535,Winter::N,тел,vinter
536,Winter::N,телӹ,vinter
537,Januar::N,январ,januar
538,Januar::N,январь,januar
539,Februar::N,февраль,februar
540,März::N,март,marts
541,April::N,апрель,april
542,Mai::N,май,maj
543,Juni::N,июнь,juni
544,Juli::N,июль,juli
545,August::N,август,august
546,September::N,сентябрь,september
547,Oktober::N,октябрь,oktober
548,November::N,ноябрь,november
549,Dezember::N,декавыр,december
550,Montag::N,шачмы,mandag
551,Dienstag::N,кышкыжмы,tirsdag
552,Mittwoch::N,вӹрчегӹ,onsdag
553,Donnerstag::N,изӓрня,torsdag
554,Freitag::N,когарня,fredag
555,Samstag::N,кукшыгечӹ,lørdag
556,Sonntag::N,рушӓрня,søndag
557,groß::A,кого,stor
558,klein::A,изи,lille
559,lang::A,кужы,lang
560,kurz::A,кӹтӹк,kort
561,breit::A,кымда,bred
562,schmal::A,ӓнгӹсӹр,smal
563,dicht::A,шӹре,tæt
564,dick[Gegenstand]::A,кӹжгӹ,tyk
565,dünn::A,вӹцкӹж,tynd
566,fein::A,пыльга,fin
567,fest::A,цаткыды,fast
568,flach::A,тӓлякӓ,flad
569,glatt::A,ягылгы,glat
570,hart::A,пингӹдӹ,hård
571,weich::A,пышкыды,blød
572,rund::A,тӹртӹш,rund
573,spitz::A,кашар,spids
574,scharf::A,кашар,skarp
575,stumpf::A,нӹшкӹ,sløv
576,stumpf::A,нӹшкӹ,stump
577,schwer::A,нелӹ,tung
578,schön::A,цевер,skøn
579,schön::A,олмыдшы,skøn
580,heiß::A,шокшы,hed
581,warm::A,шокшы,varm
582,kalt::A,ӱштӹ,kold
583,kühl::A,юалгы,kølig
584,kühl::A,йонгата,kølig
585,frisch::A,йонгата,frisk
586,feucht::A,ӹлӹкшӹ,fugtig
587,feucht::A,вӹдӹжгӹ,fugtig
588,nass::A,начкы,våd
589,trocken::A,кукшы,tør
590,voll::A,темшӹ,fuld
591,voll::A,темыман,fuld
592,leer::A,йӓрӓ,tom
593,offen::A,виш,åben
594,geschlossen::A,чӱчмӹ,lukket
595,geschlossen::A,тӹкӹлӓлтшӹ,lukket
596,sauber::A,ире,ren
597,schmutzig::A,шоран,snavset
598,schmutzig::A,лявӹрӓн,snavset
599,schmutzig::A,шорангшы,snavset
600,roh::A,пеле кӱшӹ,rå
601,reif::A,кӱшӹ,moden
602,lecker::A,тотан,lækker
603,süß::A,мӱӓн,sød
604,bitter::A,качы,bitter
605,sauer::A,шапы,sur
606,hell::A,соты,lys
607,hell::A,валгыды,lys
608,dunkel::A,пӹц,mørk
609,dunkel::A,пӹцкемӹш,mørk
610,schwarz::A,шим,sort
611,weiß::A,ош,hvid
612,weiß::A,ошы,hvid
613,rot::A,якшаргы,rød
614,gelb::A,сар,gul
615,gelb::A,сары,gul
616,blau::A,симсӹ,blå
617,grün::A,ыжар,grøn
618,grau::A,луды,grå
619,bunt::A,ала,broget
620,billig::A,шулдаш,billig
621,teuer::A,шергӹ,dyr
622,teuer::A,шергӓкӓн,dyr
623,wertvoll::A,ӓкӓн,værdifuld
624,blind::A,слöпöй,blind
625,blind::A,сльöпöй,blind
626,taub::A,тӱтӱк,døv
627,kräftig::A,виӓн,kraftig
628,stark::A,виӓн,stærk
629,schwach::A,шава,svag
630,schwach::A,лӹпкӓ,svag
631,schwach::A,слабка,svag
632,fett::A,таза,fed
633,schlank::A,яштака,slank
634,hübsch::A,сӹлнӹ,køn
635,hübsch::A,олмыдшы,køn
636,böse::A,шӹдӓн,ond
637,böse::A,шӹдӓн,slem
638,dumm::A,окмак,dum
639,faul::A,ялахай,doven
640,fleißig::A,пӓшам яратышы,flittig
641,geizig::A,шык,gerrig
642,klug::A,ышан,klog
643,geschickt::A,мастар,dygtig
644,geschickt::A,мастар,behændig
645,lieb::A,тыри,rar
646,lustig::A,мындыр,lystig
647,lustig::A,сусу,lystig
648,sanft::A,йӹвӹжӓ,blid
649,hungrig::A,шужышы,sulten
650,krank::A,церлӹ,syg
651,krank::A,хворой,syg
652,nackt::A,цӓрӓ,nøgen
653,traurig::A,сы́лыкан,bedrøvet
654,traurig::A,кымы́лдымы,bedrøvet
655,lebendig::A,живой,levende
656,gut::A,яжо,god
657,schlecht::A,уда,dårlig
658,schlecht::A,худа,dårlig
659,richtig::A,вургамла,rigtig
660,schlimm::A,йӹрнык,slem
661,wahr::A,настоящий,sand
662,wahr::A,настояшый,sand
663,alt::A,шонгы,gammel
664,neu::A,у,ny
665,ehemalig::A,тошты,forhenværende
666,alt[Lebewesen]::A,ӹлалшӹ,gammel
667,jung::A,нöргӹ,ung
668,jung::A,молода,ung
669,arm::A,укеӓн,fattig
670,reich::A,паян,rig
671,reich::A,пурлыкан,rig
672,bekannt::A,палӹмӹ,kendt
673,berühmt::A,лӹмлы,berømt
674,fremd::A,эдемӹн,fremmed
675,verschieden::A,тӹрлӹ,forskellig
676,nah::A,лишӹл,nær
677,fern::A,мӹндӹр,fjern
678,linker::A,шалахай,venstre
679,rechter::A,вургамла,højre
680,anderer::A,вес,anden
681,anderer::A,весӹ,anden
682,erster::A,икшӹ,første
683,erster::A,икӹмшӹ,første
684,zweiter::A,кокшы,anden
685,dritter::A,кымшы,tredje
686,letzter::A,остатка,sidste
687,allein::ADV,иктӹ,alene
688,allein::ADV,иктӹт,alene
689,auf einmal::ADV,тöрöк,på én gang
690,zusammen::ADV,икараш,sammen
691,zusammen::ADV,цымырын,sammen
692,lange::ADV,кужын,længe
693,plötzlich::ADV,трӱк,pludselig
694,sofort::ADV,полт,straks
695,sofort::ADV,тöрöк,straks
696,sofort::ADV,тӹшӓкок,straks
697,später::ADV,вара,senere
698,heute::ADV,тагачы,i dag
699,morgen::ADV,иргод,i morgen
700,morgen::ADV,иргодым,i morgen
701,bald::ADV,чӹнь,snart
702,bald::ADV,вӓшке,snart
703,bald::ADV,выртышты,snart
704,dann::ADV,пакыла,så
705,gestern::ADV,тенгечӹ,i går
706,einst::ADV,икӓнӓ,engang
707,damals::ADV,тӹнӓм,dengang
708,danach::ADV,пакыла,derefter
709,vorher::ADV,перви,før
710,vorher::ADV,перви,forud
711,zuerst::ADV,андак,først
712,einmal::ADV,гӓнӓк,en gang
713,einmal::ADV,гӓнӓ,en gang
714,manchmal::ADV,кынамжы,sommetider
715,oft::ADV,чӹчкӹдӹн,ofte
716,immer::ADV,со,altid
717,immer::ADV,соок,altid
718,niemals::ADV,нинам,aldrig
719,niemals::ADV,нигынам,aldrig
720,niemals::ADV,нигынамат,aldrig
721,hier::ADV,тиштӹ,her
722,hierhin::ADV,тишкӹ,hid
723,hierhin::ADV,тишкӹ,herhen
724,von hier::ADV,тишец,herfra
725,von hier::ADV,тишецӹн,herfra
726,dort::ADV,тӹштӹ,der
727,dorthin::ADV,тӹшкӹ,derhen
728,dorthin::ADV,тӹшкӹлӓ,derhen
729,geradeaus::ADV,вик,lige ud
730,geradeaus::ADV,тура,lige ud
731,vorwärts::ADV,анзыкы,fremad
732,rückwärts::ADV,мӹнгеш,baglæns
733,zurück::ADV,мӹнгеш,tilbage
734,unten::ADV,ӱлнӹ,nede
735,unten::ADV,ӱлнӹ,forneden
736,unten::ADV,лӹвӓлнӹ,nede
737,unten::ADV,лӹвӓлнӹ,forneden
738,hinab::ADV,ӱлӹкӹ,ned
739,hinab::ADV,ӱлӹкӹ,nedad
740,hinab::ADV,лӹвӓкӹ,ned
741,hinab::ADV,лӹвӓкӹ,nedad
742,oben::ADV,вӹлнӹ,oppe
743,oben::ADV,вӹлнӹ,ovenpå
744,hinauf::ADV,кӱшкӹлӓ,op
745,hinauf::ADV,кӱшкӹлӓ,opad
746,hinauf::ADV,кӱш,op
747,hinauf::ADV,кӱш,opad
748,überall::ADV,йӹлт,overalt
749,überall::ADV,цилӓ вӓре,overalt
750,nicht::ADV,уке,ikke
751,ein wenig::ADV,изиш,lidt
752,ein wenig::ADV,иклаштык,lidt
753,kaum::ADV,цылик,knap
754,kaum::ADV,цылик,næppe
755,kaum::ADV,чучок-чучок,knap
756,kaum::ADV,чучок-чучок,næppe
757,sehr::ADV,чоте,meget
758,so::ADV,тенге,så
759,so::ADV,тенгелӓ,så
760,noch::ADV,мол,endnu
761,noch::ADV,моло,endnu
762,nur::ADV,веле,kun
763,nur::ADV,веле,bare
764,schon::ADV,уже,alt
765,schon::ADV,уже,allerede
766,schon::ADV,ӹнде,alt
767,schon::ADV,ӹнде,allerede
768,wieder::ADV,уэш,igen
769,vergebens::ADV,зря,forgæves
770,vergebens::ADV,ӹзрӓ,forgæves
771,vergebens::ADV,ӹзӹрӓ,forgæves
772,vor::PRP,анзыц,foran
