,Concept_ID,ar,kv
64,Luft::N,هواء,ру
65,Wind::N,ريح,тӧв
66,Welle::N,موجة,гы
67,Wasser::N,ماء,ва
68,Stein::N,حجر,из
69,Boden::N,تراب,му
70,Erde::N,أرض,му
71,Staub::N,غبار,бус
72,Rauch::N,دخان,тшын
73,Funke::N,شرارة,бичир
74,Feuer::N,نار,би
75,Licht::N,نور,би
76,Licht::N,ضوء,би
77,Schatten::N,ظل,вуджӧр
78,Schatten::N,فيء,вуджӧр
79,Wetter::N,جو,погоддя
80,Wetter::N,طقس,погоддя
81,Nebel::N,ضباب,туман
82,Wolke::N,غيمة,кымӧр
83,Wolke::N,سحابة,кымӧр
84,Regen::N,مطر,зэр
85,Schnee::N,ثلج,лым
86,Eis::N,جليد,йы
87,Frost::N,صقيع,мороз
88,Kälte::N,برد,кӧдзыт
89,Hitze::N,حر,ӧд
90,Hitze::N,حرارة,ӧд
91,Raureif::N,صقيع,кижа
92,Regenbogen::N,قوس قزح,енӧшка
93,Donner::N,رعد,гым
94,Strömung::N,تيار,визывтӧм
95,Tropfen::N,قطرة,тёп
96,Schaum::N,زبد,быг
97,Schaum::N,رغوة,быг
98,Schmutz::N,وسخ,нять
99,See::N,بحيرة,ты
100,Sumpf::N,مستنقع,арай
101,Moor::N,مستنقع,нюр
102,Wiese::N,مرج,видз
103,Wald::N,غابة,вӧр
104,Hügel::N,تل,мыльк
105,Anhöhe::N,تل,вывтас
106,Anhöhe::N,تل,вылынін
107,Berg::N,جبل,керӧс
108,Gipfel::N,قمة,йыв
109,Höhle::N,كهف,нора
110,Abhang::N,منحدر,покат
111,Quelle::N,منبع,больган
112,Bach::N,مجرى,шор
113,Fluss::N,نهر,ю
114,Ufer::N,ضفة,берег
115,Küste::N,ساحل,берег
116,Festland::N,بر,му
117,Meer::N,بحر,море
118,Bucht::N,خليج,курья
119,Insel::N,جزيرة,
120,Blume::N,زهرة,цветок
121,Gras::N,حشيش,турун
122,Wurzel::N,أصل,вуж
123,Baum::N,شجرة,пу
124,Stamm::N,جذع,мыр
125,Stamm::N,جذع,кер
126,Rinde::N,قشرة,кач
127,Ast::N,فرع,ув
128,Zweig::N,غصن,ув
129,Blatt::N,ورقة,лист
130,Birke::N,قضبان,кыдз
131,Kiefer[Baum]::N,صنوبرة,пожум
132,Weide[Baum]::N,صفصاف,бадь
133,Tanne::N,شوح,кӧз
134,Tanne::N,تبوب,кӧз
135,Horn::N,قرن,сюр
136,Feder::N,ريشة,гӧн
137,Fell::N,فرو,кучик
138,Flügel::N,جناح,борд
139,Klaue::N,مخلب,гыж
140,Kralle::N,مخلب,кабыр
141,Schwanz::N,ذيل,бӧж
142,Ei::N,بيض,кольть
143,Nest::N,عش,поз
144,Bau::N,جحر,осьта
145,Bau::N,جحر,нора
146,Tier::N,حيوان,зверь
147,Herde::N,قطيع,гурт
148,Kuh::N,بقرة,мӧс
149,Bulle::N,ثور,ӧшка
150,Pferd::N,خيل,вӧв
151,Schaf::N,شاة,баля
152,Schwein::N,خنزير,порсь
153,Hund::N,كلب,пон
154,Katze::N,قطة,кань
155,Bär::N,دب,ош
156,Eichhörnchen::N,سنجاب,ур
157,Elch::N,موظ,вӧр мӧс
158,Fuchs::N,ثعلب,руч
159,Hase::N,أرنب,кӧч
160,Maus::N,فأرة,шыр
161,Wolf::N,ذئب,кӧин
162,Vogel::N,طير,кай
163,Schwarm::N,سرب,стая
164,Schwarm::N,سرب,чукӧр
165,Huhn::N,دجاجة,курӧг
166,Hahn::N,ديك,петух
167,Hahn::N,ديك,ай курӧг
168,Gans::N,وزة,дзодзог
169,Adler::N,نسر,куч
170,Adler::N,نسر,кутш
171,Ente::N,بطة,утка
172,Eule::N,بوم,тупка
173,Kranich::N,كركي,тури
174,Krähe::N,غراب,рака
175,Kuckuck::N,وقواق,кӧк
176,Schwan::N,إوز عراقي,юсь
177,Fisch::N,سمك,чери
178,Barsch::N,فرخ أوربي,ёкыш
179,Hecht::N,سمك الكراكي,сирпинь
180,Schlange[Tier]::N,حية,змей
181,Schlange[Tier]::N,ثعبان,змей
182,Wurm::N,دودة,номыр
183,Spinne::N,عنكبوت,черань
184,Ameise::N,نملة,кӧдзывкар
185,Laus::N,قملة,ляпа той
186,Mücke::N,ناموسة,ном
187,Fliege::N,ذبابة,гут
188,Schmetterling::N,فراشة,бабыв
189,Beere::N,حبة,ягӧд
190,Apfel::N,تفاح,яблоко
191,Pilz::N,فطر,тшак
192,Zwiebel::N,بصل,грез
193,Saat::N,زرع,кӧдзыс
194,Korn::N,حبة,сю
195,Heu::N,دريس,турун
196,Schale::N,قشرة,кыш
197,Schale::N,قشرة,киль
198,Grube::N,نقرة,яма
199,Falle::N,فخ,нальк
200,Falle::N,فخ,кляпча
201,Falle::N,مصيدة,нальк
202,Falle::N,مصيدة,кляпча
203,Schlinge::N,عروة,лӧч
204,Spur::N,أثر,туй
205,Asche::N,رماد,пӧим
206,Dreck::N,قذر,нять
207,Eisen::N,حديد,кӧрт
208,Gold::N,ذهب,зарни
209,Silber::N,فضة,язісь
210,Kohle::N,فحم,шом
211,Kohle::N,فحم,уголь
212,Glas::N,زجاج,стекло
213,Lehm::N,طين,сёй
214,Sand::N,رمل,лыа
215,Mensch::N,إنسان,морт
216,Mann::N,رجل,мужик
217,Frau::N,امرأة,инька
218,Kind::N,طفل,кага
219,Junge::N,ولد,зонка
220,Mädchen::N,بنت,нывкаок
221,Familie::N,عائلة,семья
222,Großvater::N,جد,дед
223,Großmutter::N,جدة,баб
224,Eltern::N,أبوان,ай-мам
225,Eltern::N,والدان,ай-мам
226,Vater::N,أب,ай
227,Mutter::N,أم,мам
228,Sohn::N,إبن,зон
229,Tochter::N,بنت,ныв
230,Tochter::N,إبنة,ныв
231,Bruder::N,أخ,вон
232,Bruder::N,شقيق,вон
233,Schwester::N,أخت,сой
234,Onkel::N,عم,дядь
235,Tante::N,عمة,айӧлӧн сой
236,Tante::N,عمة,ичинь
237,Ehemann::N,زوج,жӧник
238,Ehefrau::N,زوجة,инь
239,Freude::N,فرح,гаж
240,Freude::N,فرح,радъялӧм
241,Freude::N,سرور,гаж
242,Freude::N,سرور,радъялӧм
243,Gelächter::N,قهقهة,сералӧм
244,Glück::N,سعادة,мичлун
245,Kummer::N,غم,шог
246,Wunsch::N,منية,мӧдӧм
247,Wunsch::N,منية,охотитӧм
248,Lust::N,شهوة,охота
249,Geist::N,روح,лов
250,Gedanke::N,فكرة,дума
251,Gedächtnis::N,ذاكرة,тӧдвыв
252,Verstand::N,عقل,вежӧр
253,Sinn::N,معنى,ылӧс
254,Grund::N,سبب,мог
255,Wahrheit::N,حقيقة,правда
256,Gespräch::N,محادثة,сёрни
257,Märchen::N,خرافة,сказка
258,Erzählung::N,قصة,висьт
259,Erzählung::N,حكاية,висьт
260,Nachricht::N,خبر,юӧр
261,Nachricht::N,خبر,висьталӧм
262,Neuigkeit::N,خبر جديد,новость
263,Name::N,اسم,ним
264,Rätsel::N,لغز,загадка
265,Rede::N,خطبة,сёрни
266,Sprache::N,لغة,кыв
267,Stimme::N,صوت,голос
268,Wort::N,كلمة,кыв
269,Zeichen::N,رمز,пас
270,Zeichen::N,إشارة,пас
271,Ruf::N,نداء,чуксӧм
272,Ruf::N,نداء,чукӧстӧм
273,Lärm::N,صخب,шум
274,Lärm::N,ضجة,шум
275,Laut::N,صوت,шы
276,Ton::N,نغمة,гор
277,Lied::N,أغنية,сьыланкыв
278,Ruhe::N,هدوء,спокой
279,Leute::N,ناس,йӧз
280,Volk::N,شعب,йӧз
281,Volk::N,شعب,народ
282,Arbeit::N,عمل,удж
283,Gast::N,ضيف,гӧсь
284,Geschenk::N,هدية,гӧснеч
285,Geschenk::N,هدية,подарок
286,Spiel::N,لعب,орсӧм
287,Gesellschaft::N,صحبة,компания
288,Hilfe::N,عون,отсӧт
289,Hilfe::N,مساعدة,отсӧт
290,Freund::N,صديق,модз
291,Freund::N,صديق,дружок
292,Kamerad::N,زميل,тӧдса
293,Angelegenheit::N,أمر,дело
294,Angelegenheit::N,شأن,дело
295,Anzahl::N,عدد,лыд
296,Art::N,نوع,пӧлӧс
297,Stück::N,قطعة,тор
298,Teil::N,قسم,юкӧм
299,Hälfte::N,نصف,джын
300,Kreis::N,دائرة,круг
301,Kreuz::N,صليب,перна
302,Linie::N,خط,визь
303,Strich::N,شرطة,кырӧв
304,Abstand::N,مسافة,колас
305,Entfernung::N,بعد,ылына
306,Gegend::N,ناحية,места
307,Platz::N,فراغ,места
308,Ort::N,مكان,места
309,Seite::N,جانب,ладор
310,Mitte::N,وسط,шӧр
311,Gegenstand::N,موضوع,тор
312,Sache::N,شيء,тор
313,Rand::N,حافة,дор
314,Kante::N,حافة,ордлы
315,Ecke::N,ركن,пельӧс
316,Spitze::N,سن,йыв
317,Ende::N,طرف,йыв
318,Loch::N,ثقب,осьта
319,Winkel::N,زاوية,пельӧс
320,Muster::N,عينة,сер
321,Größe::N,حجم,ыжда
322,Länge::N,طول,кузя
323,Höhe::N,علو,сувда
324,Höhe::N,علو,вылына
325,Höhe::N,ارتفاع,сувда
326,Höhe::N,ارتفاع,вылына
327,Gewicht::N,وزن,сьӧкта
328,Menge::N,كمية,
329,Haufen::N,كوم,куча
330,Reihe::N,صف,лёдз
331,Boot::N,قارب,пыж
332,Boot::N,زورق,пыж
333,Ruder::N,مجذاف,пелыс
334,Schlitten::N,مزلقة,додь
335,Ski::N,زلاجة,лямпа
336,Lagerfeuer::N,نار المخيم,бипур
337,Last::N,حمل,тягота
338,Gang::N,مشية,мунӧм
339,Schritt::N,خطوة,вожмӧв
340,Norden::N,شمال,ой
341,Süden::N,جنوب,лун
342,Westen::N,غرب,рытвыв
343,Osten::N,شرق,асыв
344,Holz::N,خشب,пу
345,Brett::N,لوح,пӧв
346,Platte::N,صفيحة,плита
347,Stütze::N,سند,пика
348,Stütze::N,دعامة,пика
349,Stange::N,عود,зор
350,Stange::N,عود,потш
351,Stock::N,عصا,бедь
352,Stab::N,قضيب,шест
353,Rohr::N,أنبوبة,труба
354,Haus::N,دار,керку
355,Haus::N,بيت,керку
356,Heim::N,بيت,керку
357,Heim::N,مسكن,керку
358,Ofen::N,مدفأة,пӧжавны
359,Fußboden::N,أرضية,джодж
360,Tisch::N,مائدة,пызан
361,Stuhl::N,كرسي,стул
362,Wiege::N,مهد,зыбка
363,Bett::N,سرير,кровать
364,Regal::N,رف,джадж
365,Kiste::N,صندوق,ящик
366,Fenster::N,شباك,ӧшын
367,Fenster::N,نافذة,ӧшын
368,Tür::N,باب,ыбӧс
369,Tor::N,بوابة,ворота
370,Zaun::N,سياج,забор
371,Dach::N,سطح,крыша
372,Leiter::N,سلم,лиснич
373,Besen::N,مكنسة,рос
374,Spaten::N,مسحاة,зыр
375,Schaufel::N,مجرفة,зыр
376,Gabel::N,شوكة,вила
377,Löffel::N,ملعقة,пань
378,Messer::N,سكين,пурт
379,Nagel::N,مسمار,кӧрттув
380,Netz::N,شبكة,кыйӧт
381,Haken::N,خطاف,ем
382,Haken::N,صنارة,ем
383,Griff::N,قبضة,пу
384,Schloss::N,قفل,замок
385,Bild::N,صورة,картина
386,Figur::N,تمثال,мыгӧр
387,Puppe::N,دمية,акань
388,Beutel::N,كيس,мешӧк
389,Bündel::N,ربطة,нин
390,Tasche::N,شنطة,сумка
391,Tasche::N,محفظة,сумка
392,Eimer::N,سطل,ведра
393,Eimer::N,جردل,ведра
394,Deckel::N,سداد,вевт
395,Geschirr::N,أوان,доз
396,Geschirr::N,أوان,бекӧрпань
397,Sack::N,زكيبة,мешӧк
398,Tasse::N,فنجان,бекӧр
399,Topf::N,قدر,кастрюля
400,Topf::N,طنجرة,кастрюля
401,Kessel::N,قدر,пӧрт
402,Kessel::N,غلاية,пӧрт
403,Essen::N,طعام,сёйӧм
404,Nahrung::N,غذاء,вердан
405,Speise::N,أكل,сёян
406,Fleisch::N,لحم,яй
407,Getreide::N,حبوب,сю
408,Brei::N,عصيدة,каша
409,Brot::N,خبز,нянь
410,Scheibe::N,شريحة,шӧрӧм
411,Fett::N,سمن,гос
412,Butter::N,زبدة,ви
413,Öl::N,زيت,ви
414,Salz::N,ملح,сов
415,Suppe::N,حساء,шыд
416,Suppe::N,شربة,шыд
417,Honig::N,عسل,ма
418,Milch::N,حليب,йӧв
419,Tee::N,شاي,чай
420,Leder::N,جلد,кучик
421,Wolle::N,صوف,гӧн
422,Stoff::N,قماش,дӧра
423,Nadel::N,إبرة,ем
424,Faden::N,خيط,сунис
425,Knopf::N,زر,кизь
426,Knoten::N,عقدة,узӧв
427,Knoten::N,عقدة,гӧрӧд
428,Farbe::N,صبغة,краска
429,Kleidung::N,ملابس,паськӧм
430,Hemd::N,قميص,йӧрнӧс
431,Kragen::N,ياقة,воротник
432,Ärmel::N,كم,сос
433,Hose::N,سروال,вешьян
434,Hose::N,بنطلون,вешьян
435,Gürtel::N,حزام,йи
436,Mütze::N,طاقية,шапка
437,Schuh::N,حذاء,ботинки
438,Stiefel::N,جزمة,сапог
439,Stiefel::N,حذاء طويل,сапог
440,Ring::N,حلقة,чунькытш
441,Band::N,شريط,ленточка
442,Kamm::N,مشط,сынан
443,Spiegel::N,مرآة,зеркало
444,Riemen::N,سير,ремень
445,Schnur::N,حبل,гез
446,Schnur::N,دوبارة,гез
447,Leine::N,قيد,повод
448,Decke::N,بطانية,одеяло
449,Kissen::N,وسادة,подушка
450,Tuch::N,منديل,чышьян
451,Handtuch::N,فوطة,чышкӧт
452,Handtuch::N,منشفة,чышкӧт
453,Kraft::N,قدرة,прак
454,Stärke::N,قوة,вын
455,Gesundheit::N,صحة,здоровье
456,Krankheit::N,مرض,шог
457,Schmerz::N,ألم,зубыт
458,Schmerz::N,وجع,зубыт
459,Wunde::N,جرح,рана
460,Fieber::N,حمى,лёк тресся
461,Fieber::N,حمى,кынтан шогӧт
462,Arznei::N,دواء,лекарство
463,Brücke::N,جسر,пос
464,Brunnen::N,بئر,колодец 
465,Weide::N,مرعى,пода йирсян
466,Pfad::N,درب,туй
467,Weg::N,سكة,туй
468,Straße::N,طريق,туй
469,Dorf::N,قرية,деревня
470,Stadt::N,مدينة,город
471,Brief::N,خطاب,гижӧт
472,Brief::N,مكتوب,гижӧт
473,Buch::N,كتاب,книга
474,Buchstabe::N,حرف,буква
475,Zeitung::N,جريدة,газета
476,Leben::N,عيش,олан
477,Leben::N,حياة,олан
478,Tod::N,موت,кулӧм
479,Tod::N,وفاة,кулӧм
480,Grab::N,قبر,гу
481,Kirche::N,كنيسة,вичку
482,Sünde::N,خطيئة,грек
483,Gott::N,إله,ен
484,Arbeiter::N,عامل,уджалiсь
485,Chef::N,رئيس,начальник
486,Meister::N,أسطى,мастер
487,Arzt::N,طبيب,врач
488,Lehrer::N,مدرس,велӧтісь
489,Geld::N,نقود,деньга
490,Geschäft::N,صفقة,удж
491,Laden::N,دكان,магазин
492,Preis::N,سعر,дон
493,Ware::N,بضاعة,товар
494,Nutzen::N,فائدة,путь
495,Reichtum::N,غنى,богатство
496,Reichtum::N,ثروة,богатство
497,Welt::N,عالم,му
498,Welt::N,دنيا,му
499,Land::N,بلد,страна
500,Staat::N,دولة,государство
501,König::N,ملك,кан
502,Macht::N,سلطة,власть
503,Grenze::N,حدود,граница
504,Krieg::N,حرب,война
505,Feind::N,عدو,враг
506,Gewalt::N,عنف,
507,Kampf::N,قتال,нярасьӧм
508,Kampf::N,قتال,вермасьӧм
509,Bogen[Waffe]::N,قوس,лук
510,Pfeil::N,سهم,ньӧв
511,Gewehr::N,بندقية,ружьё
512,Fehler::N,خطأ,ошибка
513,Lüge::N,كذب,ылӧтӧм
514,Lüge::N,كذب,пӧрьялӧм
515,Schaden::N,تلف,лёк
516,Unglück::N,نحس,пик
517,Unglück::N,نحس,оказзё
518,Schuld::N,ذنب,вина
519,Alter::N,سن,
520,Alter::N,عمر,
521,Schluss::N,ختام,ком
522,Schluss::N,نهاية,ком
523,Zeit::N,وقت,кад
524,Tag::N,يوم,лун
525,Morgen::N,صباح,асыв
526,Mittag::N,ظهر,луншӧр кад
527,Abend::N,مساء,рыт
528,Nacht::N,ليلة,ой
529,Woche::N,أسبوع,неделя
530,Monat::N,شهر,тӧлicь
531,Jahr::N,عام,год
532,Jahr::N,سنة,год
533,Frühling::N,ربيع,тулыс
534,Sommer::N,صيف,гожум
535,Herbst::N,خريف,ар
536,Winter::N,شتاء,тӧв
537,Januar::N,يناير,январ
538,Januar::N,كانون الثاني,январ
539,Februar::N,شباط,февраль
540,Februar::N,فبراير,февраль
541,März::N,آذار,март
542,März::N,مارس,март
543,April::N,نيسان,апрель
544,Mai::N,مايو,май
545,Juni::N,يونيو,юнь
546,Juni::N,حزيران,юнь
547,Juli::N,تموز,юль
548,Juli::N,يوليو,юль
549,August::N,آب,август
550,August::N,أغسطس,август
551,September::N,أيلول,сентяб
552,September::N,سبتمبر,сентяб
553,Oktober::N,أكتوبر,октяб
554,Oktober::N,تشرين الأول,октяб
555,November::N,نوفمبر,нояб
556,November::N,تشرين الثاني,нояб
557,Dezember::N,ديسمبر,декаб
558,Dezember::N,كانون الأول,декаб
559,Montag::N,يوم الاثنين,вильлун
560,Dienstag::N,يوم الثلاثاء,мӧдӧдзлун
561,Mittwoch::N,يوم الأربعاء,шӧрлун
562,Donnerstag::N,يوم الخميس,нёльӧдзлун
563,Freitag::N,يوم الجمعة,витӧдзлун
564,Samstag::N,يوم السبت,пывсянлун
565,Sonntag::N,يوم الأحد,кресення
566,groß::A,كبير,ыджыт
567,klein::A,صغير,учӧтик
568,lang::A,طويل,кузь
569,kurz::A,قصير,дженыт
570,breit::A,واسع,ота
571,schmal::A,ضيق,векнит
572,dicht::A,كث,тшӧк
573,dicht::A,كثيف,тшӧк
574,dick[Gegenstand]::A,غليظ,кыз
575,dünn::A,رفيع,вӧснит
576,fein::A,رقيق,вӧснит
577,fest::A,متين,крепыт
578,flach::A,سهل,лапкӧса
579,flach::A,منبسط,лапкӧса
580,glatt::A,ناعم,волькыт
581,hart::A,صلب,чӧрыт
582,hart::A,جامد,чӧрыт
583,weich::A,لين,небыт
584,rund::A,مستدير,гӧгрӧса
585,spitz::A,مدبب,ёся
586,scharf::A,حاد,лэчыт
587,stumpf::A,ثالم,ныж
588,schwer::A,ثقيل,сьӧкыт
589,schön::A,جميل,басӧк
590,heiß::A,حار,жар
591,heiß::A,ساخن,жар
592,warm::A,دافئ,шоныт
593,kalt::A,بارد,кӧдзыт
594,kühl::A,قر,сайкыт
595,frisch::A,طازج,виль
596,feucht::A,رطب,вакодь
597,nass::A,مبلول,ва
598,trocken::A,جاف,кӧс
599,voll::A,ملء,тыра
600,leer::A,خال,тыртӧм
601,leer::A,فارغ,тыртӧм
602,offen::A,مفتوح,оссьӧм
603,geschlossen::A,مغلق,игана
604,geschlossen::A,مغلق,пӧдана
605,sauber::A,نظيف,сӧдз
606,sauber::A,نظيف,сӧстӧм
607,schmutzig::A,قذر,нятьӧсь
608,roh::A,نيء,путӧм
609,reif::A,ناضج,кисьмалӧм
610,lecker::A,لذيذ,кӧра 
611,süß::A,حلو,чӧскыт
612,bitter::A,مر,курыт
613,sauer::A,حامض,шӧма 
614,hell::A,نير,югыт
615,dunkel::A,مظلم,пемыт
616,schwarz::A,أسود,сьӧд
617,weiß::A,أبيض,чочком
618,rot::A,أحمر,гӧрд
619,gelb::A,أصفر,веж
620,blau::A,أزرق,лӧз
621,grün::A,أخضر,веж
622,grau::A,رمادي,руд
623,grau::A,رمادي,бусӧй
624,bunt::A,ملوب,быдрӧма
625,billig::A,رخيص,донтӧм
626,teuer::A,غال,дона
627,wertvoll::A,ثمين,дона
628,blind::A,أعمى,синтӧм
629,taub::A,أصم,пельтӧм
630,taub::A,أطرش,пельтӧм
631,kräftig::A,قوي,вына
632,stark::A,قوي,вына
633,schwach::A,ضعيف,некодя
634,fett::A,سمين,госа
635,schlank::A,أهيف,статя
636,hübsch::A,جميل,басӧк
637,böse::A,رديء,лёк
638,dumm::A,أبله,бӧбӧв
639,dumm::A,أبله,вежӧртӧм
640,dumm::A,أحمق,бӧбӧв
641,dumm::A,أحمق,вежӧртӧм
642,faul::A,كسلان,дыш
643,fleißig::A,مجتهد,уджалicь
644,geizig::A,بخيل,жикмӧра
645,geizig::A,بخيل,горшаліcь
646,klug::A,ذكي,авья
647,klug::A,ذكي,вежӧра
648,klug::A,عاقل,авья
649,klug::A,عاقل,вежӧра
650,geschickt::A,ماهر,кипода
651,lieb::A,عزيز,муса
652,lieb::A,عزيز,дзулиньӧй
653,lustig::A,مرح,гажа
654,sanft::A,حليم,лебезнӧй
655,hungrig::A,جائع,тшыг
656,krank::A,مريض,шогалiсь
657,nackt::A,عار,куш
658,traurig::A,حزين,жугыль
659,lebendig::A,حي,ловья
660,gut::A,جيد,бур
661,schlecht::A,سيء,умӧль
662,richtig::A,صحيح,
663,schlimm::A,خبيث,нештӧм
664,wahr::A,حق,
665,alt::A,قديم,важ
666,neu::A,جديد,виль
667,ehemalig::A,سابق,вӧвлӧм
668,alt[Lebewesen]::A,مسن,года
669,alt[Lebewesen]::A,مسن,годдэза
670,jung::A,شاب,том
671,jung::A,صغير,том
672,arm::A,فقير,гов
673,arm::A,فقير,беднӧй
674,reich::A,غني,эма
675,bekannt::A,معلوم,тӧдса
676,berühmt::A,مشهور,
677,fremd::A,أجنبي,чужӧй
678,verschieden::A,مختلف,быдкодь
679,nah::A,قريب,матiсь
680,fern::A,بعيد,ылicь
681,linker::A,يسار,шульга
682,rechter::A,يمين,веськытланись
683,anderer::A,آخر,мукӧд
684,erster::A,أول,медодзза
685,zweiter::A,ثان,кыкӧт
686,dritter::A,ثالث,куимӧт
687,dritter::A,ثالث,куимӧдз
688,letzter::A,أخير,бӧрья
689,letzter::A,أخير,мёдбӧрья
690,allein::ADV,وحده,
691,auf einmal::ADV,بالمرة,тшӧтш
692,zusammen::ADV,معا,ӧтлаын
693,lange::ADV,مدة طويلة,дыр
694,plötzlich::ADV,فجأة,друг
695,sofort::ADV,حالا,тшӧтш
696,sofort::ADV,فورا,тшӧтш
697,später::ADV,فيما بعد,медбӧрын
698,jetzt::ADV,الآن,ӧні
699,jetzt::ADV,حاليا,ӧні
700,heute::ADV,اليوم,талун
701,morgen::ADV,غدا,ашын
702,bald::ADV,قريبا,чожа
703,dann::ADV,ثم,сыбӧрын
704,gestern::ADV,أمس,тӧн
705,gestern::ADV,البارحة,тӧн
706,einst::ADV,قديما,ӧтпыр
707,damals::ADV,حينئذ,сэк
708,damals::ADV,حينئذ,сэки
709,danach::ADV,ثم,сэсся
710,danach::ADV,بعد ذلك,сэсся
711,vorher::ADV,من قبل,одзжык
712,vorher::ADV,قبل ذلك,одзжык
713,zuerst::ADV,أولا,наперво
714,einmal::ADV,مرة,ӧтпыр
715,manchmal::ADV,أحيانا,мукӧдпыр
716,oft::ADV,كثيرا,-лы-
717,immer::ADV,دائما,быдпыр
718,immer::ADV,دائما,быдпырся
719,niemals::ADV,لا أبدا,некӧр
720,hier::ADV,هنا,татӧн
721,hierhin::ADV,إلى هنا,татчӧ
722,von hier::ADV,من هنا,тасянь
723,dort::ADV,هناك,сэтӧн
724,dorthin::ADV,إلى هناك,сэтчин
725,geradeaus::ADV,إلى الأمام,веськыта
726,vorwärts::ADV,إلى الأمام,одзӧ
727,rückwärts::ADV,إلى الوراء,бӧр
728,zurück::ADV,عودا,бӧр
729,zurück::ADV,إلى الخلف,бӧр
730,unten::ADV,تحت,увтын
731,unten::ADV,في الأسفل,увтын
732,hinab::ADV,إلى تحت,увтас
733,oben::ADV,فوق,вевдӧрас
734,oben::ADV,في الأعلى,вевдӧрас
735,hinauf::ADV,إلى فوق,вывлань
736,hinauf::ADV,إلى فوق,вывланьӧ
737,hinauf::ADV,إلى الأعلى,вывлань
738,hinauf::ADV,إلى الأعلى,вывланьӧ
739,überall::ADV,في كل مكان,быдлан
740,nicht::ADV,لا,ог
741,nicht::ADV,لم,ог
742,ein wenig::ADV,قليلا,-ышт
743,ein wenig::ADV,قليلا,невна
744,kaum::ADV,كاد لا,ӧдва
745,sehr::ADV,جدا,вывтi
746,sehr::ADV,كثيرا,вывтi
747,so::ADV,كذا,сiдз
748,so::ADV,كذلك,сiдз
749,noch::ADV,ما زال,эшӧ
750,nur::ADV,فقط,только
751,schon::ADV,قد,ни
752,wieder::ADV,من جديد,бӧра
753,wieder::ADV,مرة أخرى,бӧра
754,vergebens::ADV,عبثا,весись
755,vor::PRP,أمام,одзас
756,hinter::PRP,خلف,бӧрӧ
757,hinter::PRP,وراء,бӧрӧ
758,unter::PRP,تحت,увтын
759,durch::PRP,عبر,пыр
760,durch::PRP,خلال,пыр
761,neben::PRP,جنب,бокам
762,neben::PRP,جنب,боксиным
763,neben::PRP,بجانب,бокам
764,neben::PRP,بجانب,боксиным
765,zwischen::PRP,بين,коласас
766,wegen::PRP,بسبب,понда
767,dies::PRN,هذا,эта
768,das::PRN,ذلك,сiя
769,alles::PRN,الكل,быдӧс
770,ich::PRN,أنا,ме
771,du::PRN,أنت,тэ
772,er::PRN,هو,сiя
773,wir::PRN,نحن,мийӧ
774,ihr::PRN,أنتم,ті
775,ihr::PRN,أنتن,ті
776,sie::PRN,هم,нія
777,sie::PRN,هن,нія
778,was::FPRN,ما,мый
779,wer::FPRN,من,кин
780,wo::FADV,أين,кытӧн
781,wohin::FADV,إلى أين,кытчӧ
782,wie::FADV,كيف,дзик
