,Concept_ID,no,ta
109,Abhang::N,li,சரிவு
110,Abhang::N,skråning,சரிவு
111,Quelle::N,kilde,மூலம்
112,Bach::N,bekk,ஓடை
113,Fluss::N,elv,ஆறு
114,Ufer::N,bredd,நீர்க்கரை
115,Küste::N,kyst,கடற்கரை
116,Festland::N,fastland,நிலம்
117,Meer::N,hav,கடல்
118,Bucht::N,bukt,சிறுகுடா
119,Insel::N,øy,தீவு
120,Blume::N,blomst,பூ
121,Gras::N,gress,புல்தரை
122,Wurzel::N,rot,வேர்
123,Baum::N,tre,மரம்
124,Stamm::N,stamme,அடிமரம்
125,Rinde::N,bark,பட்டை
126,Rinde::N,bark,மரப்பட்டை
127,Ast::N,gren,கினை
128,Zweig::N,kvist,குச்சி
129,Blatt::N,blad,இலை
130,Birke::N,bjørk,பிர்ச் மரம்
131,Kiefer[Baum]::N,furu,தேவதாரு மரம்
132,Weide[Baum]::N,selje,மர வகைகளுள் ஒன்று
133,Weide[Baum]::N,piletre,மர வகைகளுள் ஒன்று
134,Tanne::N,gran,சாதிக்கய்
135,Horn::N,horn,கொம்பு
136,Feder::N,fjær,இறகு
137,Fell::N,skinn,மென்முடி
138,Flügel::N,vinge,இறக்கை
139,Klaue::N,klauv,நகம்
140,Kralle::N,klo,நகம்
141,Schwanz::N,hale,வால்
142,Ei::N,egg,முட்டை
143,Nest::N,rede,கூடு
144,Bau::N,hi,குகை
145,Tier::N,dyr,விலங்கு
146,Herde::N,flokk,கூட்டம்
147,Kuh::N,ku,பசு
148,Bulle::N,tyr,காளை
149,Pferd::N,hest,குதிரை
150,Schaf::N,får,செம்மறிஆடு
151,Schwein::N,gris,பன்றி
152,Hund::N,hund,நாய்
153,Katze::N,katt,பூனை
154,Bär::N,bjørn,கரடி
155,Eichhörnchen::N,ekorn,அணில்
156,Elch::N,elg,கடம்பை
157,Fuchs::N,rev,நரி
158,Hase::N,hare,முயல்
159,Maus::N,mus,எலி
160,Wolf::N,ulv,ஓநாய்
161,Wolf::N,varg,ஓநாய்
162,Vogel::N,fugl,பறவை
163,Schwarm::N,sverm,தொகுதி
164,Huhn::N,høne,கோழிக்குஞசு
165,Hahn::N,hane,சேவல்
166,Gans::N,gås,பெண் வாத்து
167,Adler::N,ørn,பருநது
168,Ente::N,and,வாத்து
169,Eule::N,ugle,ஆந்தை
170,Kranich::N,trane,நாரை
171,Krähe::N,kråke,காகம்
172,Kuckuck::N,gjøk,குயில்
173,Schwan::N,svane,அன்னம்
174,Fisch::N,fisk,மீன்
175,Barsch::N,abbor,பேர்ச்
176,Hecht::N,gjedde,கோலாச்சி மீன்
177,Schlange[Tier]::N,orm,பாம்பு
178,Schlange[Tier]::N,slange,பாம்பு
179,Wurm::N,orm,புழு
180,Wurm::N,mark,புழு
181,Spinne::N,edderkopp,சிலந்தி
182,Ameise::N,maur,எறும்பு
183,Laus::N,lus,பேன்
184,Mücke::N,mygg,கொசுவினப்பூச்சி
185,Fliege::N,flue,ஈ
186,Schmetterling::N,sommerfugl,வண்ணத்துப்பூச்சி
187,Beere::N,bær,சதைப்பழம்
188,Apfel::N,eple,ஆப்பிள பழம்
189,Pilz::N,sopp,காளான்
190,Zwiebel::N,løk,வெங்காயம்
191,Saat::N,sæd,விதை
192,Korn::N,korn,தானியம்
193,Heu::N,høy,வைக்கோல்
194,Schale::N,skall,தோல்
195,Grube::N,grop,குழி
196,Falle::N,felle,பொறி
197,Schlinge::N,snare,கண்ணி
198,Spur::N,spor,சுவடு
199,Asche::N,aske,சாம்பல்
200,Dreck::N,møkk,அழுக்கு
201,Dreck::N,skitt,அழுக்கு
202,Eisen::N,jern,இரும்பு
203,Gold::N,gull,தங்கம்
204,Silber::N,sølv,வெள்ளி
205,Kohle::N,kol,நிலக்கரி
206,Kohle::N,kull,நிலக்கரி
207,Glas::N,glass,கண்ணாடி
208,Lehm::N,leire,களிமண்
209,Sand::N,sand,மணல்
210,Mensch::N,menneske,மனிதர்கள்
211,Mann::N,mann,மனிதன்
212,Frau::N,kvinne,பெண்
213,Kind::N,barn,குழந்தை
214,Junge::N,gutt,பையன்
215,Mädchen::N,pike,சிறுமி
216,Mädchen::N,jente,சிறுமி
217,Familie::N,familie,குடும்பம்
218,Großvater::N,bestefar,தாத்தா
219,Großmutter::N,bestemor,பாட்டி
220,Eltern::N,foreldre,பெற்றோர்
221,Vater::N,far,தந்தை
222,Mutter::N,mor,தாய்
223,Sohn::N,sønn,மகன்
224,Tochter::N,datter,மகள்
225,Bruder::N,bror,சகோதரன்
226,Schwester::N,søster,அக்கா
227,Onkel::N,onkel,தாய் மாமன்
228,Tante::N,tante,அத்தை
229,Ehemann::N,ektemann,கணவன்
230,Ehefrau::N,hustru,மனைவி
231,Freude::N,glede,கொண்டாட்டம்
232,Gelächter::N,latter,சிரிப்பு
233,Glück::N,lykke,மகிழ்ச்சி
234,Kummer::N,sorg,துயரம்
235,Wunsch::N,ønske,விருப்பம்
236,Lust::N,lyst,விருப்பம்
237,Geist::N,ånd,ஆன்மா
238,Gedanke::N,tanke,எண்ணம்
239,Gedächtnis::N,minne,ஞாபகம்
240,Gedächtnis::N,hukommelse,ஞாபகம்
241,Verstand::N,forstand,மனம்
242,Sinn::N,mening,அர்த்தம்
243,Sinn::N,betydning,அர்த்தம்
244,Grund::N,grunn,காரணம்
245,Wahrheit::N,sannhet,உண்நை
246,Gespräch::N,samtale,பெசு
247,Märchen::N,eventyr,நம்பத்தகாத கதை
248,Erzählung::N,fortelling,கதை
249,Nachricht::N,melding,செய்தி
250,Neuigkeit::N,nyhet,செய்தி
251,Name::N,navn,பெயர்
252,Rätsel::N,gåte,புதிர்
253,Rede::N,tale,பேச்சு
254,Sprache::N,språk,மொழி
255,Stimme::N,stemme,குரல்
256,Wort::N,ord,வார்த்தை
257,Zeichen::N,tegn,குறி
258,Ruf::N,rop,அழைப்பு
259,Lärm::N,bråk,சத்தம்
260,Laut::N,lyd,ஒலி
261,Ton::N,tone,குரல்
262,Lied::N,vise,பாட்டு
263,Ruhe::N,ro,அமைதி
264,Leute::N,folk,மக்கள்
265,Volk::N,folk,மக்கள்
266,Arbeit::N,arbeid,வேலை
267,Gast::N,gjest,விருந்தாளி
268,Geschenk::N,gave,பரிசுப் பொருள்
269,Spiel::N,lek,விளையாட்டு
270,Spiel::N,spill,விளையாட்டு
271,Gesellschaft::N,selskap,சமுதாயம்
272,Hilfe::N,hjelp,உதவி
273,Freund::N,venn,நண்பன்
274,Kamerad::N,kamerat,உடனிருப்பவன்
275,Angelegenheit::N,sak,செய்தி
276,Angelegenheit::N,anliggende,செய்தி
277,Anzahl::N,antall,எண்ணிக்கை
278,Art::N,art,வகை
279,Art::N,slag,வகை
280,Stück::N,stykke,துண்டம்
281,Teil::N,del,பகுதி
282,Hälfte::N,halvdel,பாதி
283,Kreis::N,ring,வட்டம்
284,Kreis::N,sirkel,வட்டம்
285,Kreuz::N,kors,சிலுவை
286,Kreuz::N,kryss,சிலுவை
287,Linie::N,linje,கோடு
288,Strich::N,strek,வாத நோய்
289,Abstand::N,avstand,இடைவெளி
290,Entfernung::N,avstand,தூரம்
291,Gegend::N,strøk,வட்டாரம்
292,Platz::N,plass,வெற்றிடம்
293,Ort::N,sted,இடம்
294,Seite::N,side,பக்கம்
295,Mitte::N,midte,இடைப்பகுதி
296,Gegenstand::N,gjenstand,உருப்படி
297,Sache::N,sak,பொருள்
298,Rand::N,rand,தொங்கு
299,Kante::N,kant,விளிம்பு
300,Ecke::N,hjørne,மூலை
301,Spitze::N,spiss,முனை
302,Ende::N,ende,முடிவு
303,Loch::N,hull,துளை
304,Winkel::N,vinkel,கோணம்
305,Muster::N,mønster,பாங்கு
306,Größe::N,størrelse,அளவு
307,Länge::N,lengde,நீளம்
308,Höhe::N,høyde,உயரம்
309,Gewicht::N,vekt,எடை
310,Menge::N,mengde,தொகை
311,Haufen::N,haug,குவியல்
312,Haufen::N,bunke,குவியல்
313,Reihe::N,rekke,வரிசை
314,Boot::N,båt,படகு
315,Ruder::N,åre,துடுப்பு
316,Schlitten::N,slede,சகடையிலா வண்டி
317,Schlitten::N,kjelke,சகடையிலா வண்டி
318,Ski::N,ski,பனிச் சறுக்கல்
319,Lagerfeuer::N,leirbål,மூட்டம்
320,Last::N,bør,பாரம்
321,Last::N,last,பாரம்
322,Gang::N,gang,நடை
323,Schritt::N,steg,காலடி
324,Schritt::N,skritt,காலடி
325,Norden::N,nord,வடக்கு
326,Süden::N,sør,தெற்கு
327,Westen::N,vest,மேற்கு திசை
328,Osten::N,øst,கிழக்கு
329,Holz::N,tre,மரக்கட்டை
330,Brett::N,fjøl,பலகை
331,Brett::N,brett,பலகை
332,Platte::N,plate,பலகம்
333,Stütze::N,støtte,அடைப்புகன்
334,Stange::N,stang,கம்பம்
335,Stock::N,pinne,குச்சி
336,Stab::N,stav,கம்பு
337,Stab::N,kjepp,கம்பு
338,Rohr::N,rør,குழாய்
339,Haus::N,hus,வீடு
340,Heim::N,hjem,வீடு
341,Ofen::N,ovn,அடுப்பு
342,Fußboden::N,gulv,தரை
343,Tisch::N,bord,மேசை
344,Stuhl::N,stol,நாற்காலி
345,Wiege::N,vogge,தொட்டில்
346,Bett::N,seng,படுக்கை
347,Regal::N,reol,அலமாரி
348,Regal::N,hylle,அலமாரி
349,Kiste::N,kasse,பெட்டி
350,Fenster::N,vindu,சாளரம்
351,Tür::N,dør,கதவு
352,Tor::N,port,வாசற்கதவு
353,Zaun::N,gjerde,வேலி
354,Dach::N,tak,கூரை
355,Leiter::N,stige,ஏணி
356,Besen::N,kost,விளக்குமாறு
357,Spaten::N,spade,மண்வெட்டி
358,Schaufel::N,skuffe,அடிதண்டா
359,Gabel::N,gaffel,முட்கரண்டி
360,Löffel::N,skje,கரண்டி
361,Messer::N,kniv,கத்தி
362,Nagel::N,spiker,ஆணி
363,Netz::N,nett,வலை
364,Haken::N,krok,கொக்கி
365,Griff::N,tak,கைப்பிடி
366,Griff::N,håndtak,கைப்பிடி
367,Schloss::N,lås,பூட்டு
368,Bild::N,bilde,படம்
369,Figur::N,figur,எண்ணிக்கை
370,Puppe::N,dukke,பொம்மை
371,Beutel::N,pose,பை
372,Bündel::N,bylt,பொதி
373,Tasche::N,veske,பை
374,Eimer::N,bøtte,வாளி
375,Deckel::N,lokk,உறை
376,Geschirr::N,kjøkkentøy,பாத்திரம்
377,Sack::N,sekk,பை
378,Tasse::N,kopp,கிண்ணம்
379,Topf::N,gryte,பானை
380,Kessel::N,kjele,கெண்டி
381,Essen::N,mål,உணவருந்துதல்
382,Nahrung::N,mat,உணவு
383,Nahrung::N,næring,உணவு
384,Speise::N,matrett,உணவு வகை
385,Fleisch::N,kjøtt,இறைச்சி
386,Getreide::N,korn,மக்காச்சோளம்
387,Brei::N,grøt,கஞ்சி
388,Brot::N,brød,ரொட்டி
389,Scheibe::N,skive,துண்டு
390,Fett::N,fett,கொழுப்பு
391,Butter::N,smør,வெண்ணெய்
392,Öl::N,olje,எண்ணெய்
393,Salz::N,salt,உப்பு
394,Suppe::N,suppe,ரசம்
395,Honig::N,honning,தேன்
396,Milch::N,melk,பால்
397,Tee::N,te,தெனீர்
398,Leder::N,lær,பதம் செய்யப்பட்ட தோல்
399,Leder::N,skinn,பதம் செய்யப்பட்ட தோல்
400,Wolle::N,ull,கம்பளி
401,Stoff::N,tøy,துணி
402,Stoff::N,stoff,துணி
403,Nadel::N,nål,ஊசி
404,Faden::N,tråd,நூல்
405,Knopf::N,knapp,பொத்தான்
406,Knoten::N,knute,முடிச்சு
407,Farbe::N,farge,வண்ணக் குழம்பு
408,Kleidung::N,påkledning,ஆடைகள்
409,Hemd::N,skjorte,சட்டை
410,Kragen::N,krage,கழுத்துப் பட்டை
411,Ärmel::N,erme,சட்டைக்கை
412,Hose::N,bukse,கால்சட்டை
413,Gürtel::N,belte,பெல்ட்
414,Mütze::N,lue,தொப்பி
415,Schuh::N,sko,காலணி
416,Stiefel::N,støvel,காலணி
417,Ring::N,ring,மோதிரம்
418,Band::N,band,நாடா
419,Kamm::N,kam,கீப்பு
420,Spiegel::N,speil,ஆடி
421,Spiegel::N,speil,கண்ணாடி
422,Riemen::N,rem,வார்
423,Schnur::N,snor,கயிறு
424,Leine::N,line,தோல்வார்
425,Decke::N,teppe,போர்வை
426,Kissen::N,pute,தலையணை
427,Tuch::N,tøy,துணி
428,Handtuch::N,håndkle,தண்டு
429,Kraft::N,kraft,நிர்பந்தம்
430,Stärke::N,styrke,பலம்
431,Gesundheit::N,helse,ஆரோக்கியம்
432,Gesundheit::N,sunnhet,ஆரோக்கியம்
433,Krankheit::N,syke,நோய்
434,Krankheit::N,sykdom,நோய்
435,Schmerz::N,smerte,வலி
436,Wunde::N,sår,காயம்
437,Fieber::N,feber,காய்ச்சல்
438,Arznei::N,medisin,மருந்து
439,Arznei::N,legemiddel,மருந்து
440,Brücke::N,bro,பாலம்
441,Brunnen::N,brønn,கேணி
442,Weide::N,beite,மேய்ச்சல் நிலம்
443,Pfad::N,sti,நடை வழி
444,Weg::N,vei,வழி
445,Straße::N,gate,சாலை
446,Dorf::N,landsby,கிராமம்
447,Stadt::N,by,நகரம்
448,Brief::N,brev,கடிதம்
449,Buch::N,bok,புத்தகம்
450,Buchstabe::N,bokstav,எழத்து
451,Zeitung::N,avis,செய்தித்தாள்
452,Leben::N,liv,வாழ்க்கை
453,Tod::N,død,மரணம்
454,Grab::N,grav,சமாதி
455,Kirche::N,kirke,தேவாலயம்
456,Sünde::N,synd,பாவம்
457,Gott::N,gud,கடவுள்
458,Arbeiter::N,arbeider,தொழிலாளி
459,Chef::N,sjef,மேலாளர்
460,Meister::N,mester,தலைவன்
461,Arzt::N,lege,மருத்துவர்
462,Lehrer::N,lærer,ஆசிரியர்
463,Geld::N,penger,பணம்
464,Geschäft::N,forretning,வாணிபம்
465,Laden::N,butikk,கடை
466,Preis::N,pris,விலை
467,Ware::N,vare,சாமன்கள்
468,Nutzen::N,nytte,இலாபம்
469,Reichtum::N,rikdom,சொத்து
470,Welt::N,verden,உலகம்
471,Land::N,land,நாடு
472,Staat::N,stat,நாடு
473,König::N,konge,அரசன்
474,Macht::N,makt,அதிகாரம்
475,Grenze::N,grense,எல்லை
476,Krieg::N,krig,போர்
477,Feind::N,fiende,எதிரி
478,Gewalt::N,vold,வன்முறை
479,Kampf::N,kamp,போராட்டம்
480,Bogen[Waffe]::N,bue,வில்
481,Pfeil::N,pil,அம்பு
482,Gewehr::N,gevær,துப்பாக்கி
483,Fehler::N,feil,தவறு
484,Lüge::N,løgn,பொய்
485,Schaden::N,skade,சேதாரம்
486,Unglück::N,uhell,இடையூறு
487,Schuld::N,skyld,குற்றம்
488,Alter::N,alder,வயது
489,Schluss::N,slutt,முடிவு
490,Zeit::N,tid,காலம்
491,Tag::N,dag,நாள்
492,Morgen::N,morgen,காலை நேரம்
493,Mittag::N,middag,மதியம்
494,Abend::N,aften,மாலைப் பொழுது
495,Nacht::N,natt,இரவு
496,Woche::N,uke,வாரம்
497,Monat::N,måned,மாதம்
498,Jahr::N,år,வருடம்
499,Frühling::N,vår,வசந்தம்
500,Sommer::N,sommer,கோடை
501,Herbst::N,høst,இலையுதிர் காலம்
502,Winter::N,vinter,குளிர்காலம்
503,Januar::N,januar,ஜனவரி
504,Februar::N,februar,பிபரவரி மாதம்
505,März::N,mars,மார்ச் மாதம்
506,April::N,april,ஏப்ரல் மாதம்
507,Mai::N,mai,மே மாதம்
508,Juni::N,juni,ஜூன் மாதம்
509,Juli::N,juli,ஜூலை மாதம்
510,August::N,august,ஆகஸ்ட் மாதம்
511,September::N,september,செப்டம்பர் மாதம்
512,Oktober::N,oktober,அக்டோபர் மாதம்
513,November::N,november,நவம்பர் மாதம்
514,Dezember::N,desember,டிசம்பர்
515,Montag::N,mandag,திங்கட் கிழமை
516,Dienstag::N,tirsdag,செவ்வாய்க்கிழமை
517,Mittwoch::N,onsdag,புதன் கிழமை
518,Donnerstag::N,torsdag,வியாழக் கிழமை
519,Freitag::N,fredag,வெள்ளிக்கிழமை
520,Samstag::N,lørdag,சனிக்கிழமை
521,Sonntag::N,søndag,ஞாயிறுக் கிழமை
522,groß::A,stor,பெரிய
523,klein::A,liten,சிறிய
524,lang::A,lang,நீண்ட
525,kurz::A,kort,குட்டையான
526,breit::A,bred,அகலமான
527,schmal::A,smal,குறுகலான
528,dicht::A,tett,அடர்த்தியான
529,dick[Gegenstand]::A,tykk,தடித்த
530,dünn::A,tynn,சன்னமான
531,fein::A,fin,மெல்லிய
532,fest::A,fast,உறுதியாள
533,flach::A,flat,தட்டையான
534,glatt::A,glatt,வழுவழுப்பான
535,hart::A,hard,கடினமான
536,weich::A,myk,மென்மையான
537,weich::A,bløt,மென்மையான
538,rund::A,rund,உருண்டையான
539,spitz::A,spiss,திகந்தமாக
540,scharf::A,kvass,கூரான
541,stumpf::A,stubb,உளம் திறந்த
542,schwer::A,tung,கனமான
543,schön::A,pen,அழகான
544,schön::A,vakker,அழகான
545,heiß::A,het,சூடான
546,warm::A,varm,இதமான
547,kalt::A,kald,குளிர்ச்சியான
548,kühl::A,kjølig,குளிர்ச்சியான
549,frisch::A,fersk,சுத்தமான
550,feucht::A,fuktig,ஈரமான
551,nass::A,våt,ஈரமான
552,trocken::A,tørr,உலர்ந்த
553,voll::A,full,நிரம்பிய
554,leer::A,tom,காலியான
555,offen::A,åpen,திறந்த
556,geschlossen::A,lukket,மூடப்பட்ட
557,sauber::A,ren,சுத்தமான
558,schmutzig::A,skitten,அழக்கான
559,roh::A,rå,கச்சா
560,reif::A,moden,பழுத்த
561,lecker::A,lekker,சுவைமிக்க
562,süß::A,søt,இனிப்பான
563,bitter::A,besk,கசப்பான
564,bitter::A,bitter,கசப்பான
565,sauer::A,sur,புளிப்பாக
566,hell::A,lys,பளபளப்பான
567,dunkel::A,mørk,கருமையான
568,schwarz::A,svart,கருப்பு வண்ண
569,weiß::A,hvit,வெண்மையன
570,rot::A,rød,சிவப்பு
571,gelb::A,gul,மஞ்சள் வண்ணம்
572,blau::A,blå,நீல வண்ண
573,grün::A,grønn,பச்சை வண்ண
574,grau::A,grå,சாம்பல் நிற
575,bunt::A,broket,வண்ண மயமான
576,billig::A,billig,மலிவான
577,teuer::A,dyr,விலை அதிகமான
578,wertvoll::A,verdifull,மதிப்புள்ள
579,blind::A,blind,பார்வையற்ற
580,taub::A,døv,செவிடான
581,kräftig::A,kraftig,வலிமையான
582,stark::A,sterk,பலமான
583,schwach::A,svak,பலவீனமான
584,fett::A,fet,பருமனாக
585,schlank::A,slank,ஒல்லியான
586,hübsch::A,pen,அழகிய
587,böse::A,slem,கேடு விளைவிக்கும்
588,dumm::A,dum,முட்டாள்தனமான
589,faul::A,lat,சோம்பலான
590,faul::A,doven,சோம்பலான
591,fleißig::A,flittig,ஊக்கந்தளராத
592,geizig::A,gjerrig,கஞேசத்தனமான
593,klug::A,klok,சாதுரியமான
594,geschickt::A,hendig,திறமையள்ள
595,geschickt::A,skikket,திறமையள்ள
596,lieb::A,kjær,அன்புக்குரிய
597,lieb::A,snill,அன்புக்குரிய
598,lustig::A,morsom,களிப்புமிக்க
599,sanft::A,blid,சாதுவான
600,hungrig::A,sulten,பசியுடன்
601,krank::A,syk,நோயுற்று
602,nackt::A,naken,ஆடையற்ற
603,traurig::A,sørgmodig,சோகமான
604,lebendig::A,levende,பிழைப்பு
605,gut::A,god,நல்ல
606,schlecht::A,dårlig,கெட்ட
607,richtig::A,riktig,சரியான
608,schlimm::A,slem,அருவருப்பான
609,wahr::A,sann,உண்மையான
610,alt::A,gammel,பழைய
611,neu::A,ny,புதிய
612,ehemalig::A,forhenværende,முன்நாள்
613,alt[Lebewesen]::A,gammel,வயதான
614,jung::A,ung,இளமையான
615,arm::A,fattig,ஏழ்மையான
616,reich::A,rik,செல்வம் படைத்த
617,bekannt::A,kjent,பழக்கப்பட்ட
618,berühmt::A,berømt,புகழ்பெற்ற
619,fremd::A,fremmed,அயல் நாட்டு
620,verschieden::A,forskjellig,வித்தியாசமான
621,nah::A,nær,பக்கத்தில் உள்ள
622,fern::A,fjern,தொலை தூரத்தில்
623,linker::A,venstre,மீந்திருக்கும்
624,rechter::A,høyre,வலதுபக்கம்
625,anderer::A,annen,மற்ற
626,erster::A,første,முதனமையான
627,zweiter::A,annen,இரண்டாவது
628,dritter::A,tredje,மூன்றாவது
629,letzter::A,sist,கடைசி
630,allein::ADV,alene,தனியாக
631,auf einmal::ADV,med ett,தடீரென்று
632,zusammen::ADV,sammen,சேர்ந்து
633,lange::ADV,lenge,அதிக நோம்
634,plötzlich::ADV,plutselig,தடீரென்று
635,sofort::ADV,straks,உடனடியாக
636,später::ADV,senere,பிறகு
637,jetzt::ADV,nå,இப்பொழது
638,heute::ADV,i dag,இன்று
639,morgen::ADV,i morgen,நாளைக்கு
640,bald::ADV,snart,சீக்கிரம்
641,dann::ADV,så,அப்பொழுது
642,gestern::ADV,i går,நேற்று
643,einst::ADV,engang,ஒரே முறை
644,damals::ADV,den gang,அப்பொழுது
645,danach::ADV,deretter,பிற்பாடு
646,vorher::ADV,før,முன்பாக
647,vorher::ADV,i forveien,முன்பாக
648,zuerst::ADV,først,முதலில்
649,einmal::ADV,en gang,ஒரே முறை
650,manchmal::ADV,somme tider,சில நேரங்களில்
651,oft::ADV,ofte,அடிக்கடி
652,immer::ADV,alltid,எப்பொழுதும்
653,niemals::ADV,aldri,ஒருபோதும் இல்லை
654,hier::ADV,her,இங்கே
655,hierhin::ADV,hit,இவ்விடத்திற்கு
656,von hier::ADV,herfra,இனி
657,dort::ADV,der,அங்கே
658,dorthin::ADV,dit,அவ்விடத்திற்கு
659,geradeaus::ADV,rett fram,முன்னாலிருக்கும்
660,vorwärts::ADV,fram,முன்புறமாக
661,vorwärts::ADV,framover,முன்புறமாக
662,rückwärts::ADV,baklengs,பின்னோக்கி
663,zurück::ADV,tilbake,பின்பக்கம்
664,unten::ADV,nede,கீழாக
665,hinab::ADV,ned,கீழ் நோக்கி
666,hinab::ADV,nedover,கீழ் நோக்கி
667,oben::ADV,oppe,மேலே
668,oben::ADV,ovenpå,மேலே
669,hinauf::ADV,opp,மேலே
670,hinauf::ADV,oppover,மேலே
671,überall::ADV,overalt,எல்லா இடத்திலும்
672,nicht::ADV,ikke,இல்லை
673,ein wenig::ADV,litt,கொஞ்சம்
674,kaum::ADV,neppe,அரிதாக
675,sehr::ADV,svært,மிக்க
676,so::ADV,så,மிகவும்
677,noch::ADV,enda,இப்பொழுதும்
678,nur::ADV,bare,மட்டும்
679,schon::ADV,alt,ஏற்கனவே
680,schon::ADV,allerede,ஏற்கனவே
681,wieder::ADV,igjen,மறுபடியும்
682,vergebens::ADV,forgjeves,வீண்
683,vor::PRP,foran,முன்
684,vor::PRP,utenfor,முன்
685,hinter::PRP,bak,பின்பக்கம்
686,hinter::PRP,bakom,பின்பக்கம்
687,unter::PRP,under,கீழே
688,durch::PRP,gjennom,ஊடே
689,durch::PRP,igjennom,ஊடே
690,neben::PRP,ved siden av,அடுத்து
691,zwischen::PRP,mellom,இடையில்
692,wegen::PRP,på grunn av,ஏனெனில்
693,dies::PRN,dette,இது
694,das::PRN,det,அது
695,alles::PRN,alt,ஒவ்வொன்றும்
696,ich::PRN,jeg,நான்
697,du::PRN,du,நீ
698,er::PRN,han,அவன்
699,wir::PRN,vi,நாம்
700,wir::PRN,vi,நாங்கள்
701,ihr::PRN,dere,நீங்கள்
702,sie::PRN,de,அவர்கள்
703,was::FPRN,hva,என்ன
704,wer::FPRN,hvem,யார்
