,Concept_ID,ba,ba
83,Eis::N,боҙ,боҙ
84,Frost::N,һалҡын,һалҡын
85,Kälte::N,һыуыҡ,һыуыҡ
86,Hitze::N,томра,томра
87,Hitze::N,томра,эҫелек
88,Hitze::N,эҫелек,томра
89,Hitze::N,эҫелек,эҫелек
90,Raureif::N,ҡырау,ҡырау
91,Regenbogen::N,йәйғор,йәйғор
92,Donner::N,күк күкрәү,күк күкрәү
93,Strömung::N,ағым,ағым
94,Tropfen::N,тамсы,тамсы
95,Schaum::N,күбек,күбек
96,Schmutz::N,батҡаҡ,батҡаҡ
97,See::N,күл,күл
98,Sumpf::N,һаҙлык,һаҙлык
99,Moor::N,һаҙ,һаҙ
100,Wiese::N,болон,болон
101,Wald::N,урман,урман
102,Hügel::N,түбә,түбә
103,Anhöhe::N,түбә,түбә
104,Anhöhe::N,түбә,ҡалҡыулыҡ
105,Anhöhe::N,ҡалҡыулыҡ,түбә
106,Anhöhe::N,ҡалҡыулыҡ,ҡалҡыулыҡ
107,Berg::N,тау,тау
108,Gipfel::N,түбә,түбә
109,Höhle::N,мәмерйә,мәмерйә
110,Abhang::N,ипкен,ипкен
111,Quelle::N,шишмә,шишмә
112,Bach::N,шишмә,шишмә
113,Fluss::N,йылға,йылға
114,Ufer::N,яр,яр
115,Küste::N,яр буйы,яр буйы
116,Festland::N,ҡоро ер,ҡоро ер
117,Meer::N,диңгез,диңгез
118,Bucht::N,бухта,бухта
119,Insel::N,үтрау,үтрау
120,Blume::N,сәскә,сәскә
121,Gras::N,үлән,үлән
122,Wurzel::N,тамыр,тамыр
123,Baum::N,ағас,ағас
124,Stamm::N,олон,олон
125,Stamm::N,олон,көбәк
126,Stamm::N,көбәк,олон
127,Stamm::N,көбәк,көбәк
128,Rinde::N,ҡабыҡ,ҡабыҡ
129,Ast::N,ботаҡ,ботаҡ
130,Zweig::N,ботаҡ,ботаҡ
131,Zweig::N,ботаҡ,тармаҡ
132,Zweig::N,тармаҡ,ботаҡ
133,Zweig::N,тармаҡ,тармаҡ
134,Blatt::N,япраҡ,япраҡ
135,Birke::N,ҡайын,ҡайын
136,Kiefer[Baum]::N,ҡарғай,ҡарғай
137,Weide[Baum]::N,тал,тал
138,Tanne::N,шыршы,шыршы
139,Horn::N,мөғөҙ,мөғөҙ
140,Feder::N,ҡауырһын,ҡауырһын
141,Fell::N,тире,тире
142,Flügel::N,ҡанат,ҡанат
143,Klaue::N,тырнаҡ,тырнаҡ
144,Kralle::N,аяҡ,аяҡ
145,Schwanz::N,ҡойроҡ,ҡойроҡ
146,Ei::N,йомортҡа,йомортҡа
147,Nest::N,оя,оя
148,Bau::N,оң,оң
149,Tier::N,жайуан,жайуан
150,Tier::N,жайуан,йыртҡыс
151,Tier::N,йыртҡыс,жайуан
152,Tier::N,йыртҡыс,йыртҡыс
153,Herde::N,көтөү,көтөү
154,Kuh::N,һыйыр,һыйыр
155,Bulle::N,үгеҙ,үгеҙ
156,Pferd::N,ат,ат
157,Schaf::N,һарыҡ,һарыҡ
158,Schwein::N,сусҡа,сусҡа
159,Hund::N,эт,эт
160,Katze::N,бесәй,бесәй
161,Bär::N,айыу,айыу
162,Eichhörnchen::N,тейен,тейен
163,Elch::N,мышы,мышы
164,Fuchs::N,төлкө,төлкө
165,Hase::N,ҡуян,ҡуян
166,Maus::N,сысҡан,сысҡан
167,Wolf::N,бүре,бүре
168,Vogel::N,ҡош,ҡош
169,Schwarm::N,көтөү,көтөү
170,Huhn::N,тауыҡ,тауыҡ
171,Hahn::N,әтәс,әтәс
172,Gans::N,ҡаҙ,ҡаҙ
173,Adler::N,бөркөт,бөркөт
174,Ente::N,өйрәк,өйрәк
175,Eule::N,өкө,өкө
176,Eule::N,өкө,ябалаҡ
177,Eule::N,ябалаҡ,өкө
178,Eule::N,ябалаҡ,ябалаҡ
179,Kranich::N,торна,торна
180,Krähe::N,ҡарға,ҡарға
181,Kuckuck::N,кәкүк,кәкүк
182,Schwan::N,аҡҡош,аҡҡош
183,Fisch::N,балыҡ,балыҡ
184,Barsch::N,алабуға,алабуға
185,Hecht::N,суртан,суртан
186,Schlange[Tier]::N,йылан,йылан
187,Wurm::N,селяүсен,селяүсен
188,Spinne::N,үрмәксе,үрмәксе
189,Ameise::N,ҡырмыҫҡа,ҡырмыҫҡа
190,Laus::N,бет,бет
191,Mücke::N,серәкәй,серәкәй
192,Fliege::N,себен,себен
193,Schmetterling::N,күбәләк,күбәләк
194,Beere::N,еләк,еләк
195,Apfel::N,алма,алма
196,Pilz::N,бәшмәк,бәшмәк
197,Zwiebel::N,һуган,һуган
198,Saat::N,орлоҡ,орлоҡ
199,Korn::N,иген,иген
200,Heu::N,бесән,бесән
201,Schale::N,ҡабыҡ,ҡабыҡ
202,Grube::N,соҡор,соҡор
203,Falle::N,тоҙак,тоҙак
204,Falle::N,тоҙак,ҡапҡан
205,Falle::N,ҡапҡан,тоҙак
206,Falle::N,ҡапҡан,ҡапҡан
207,Schlinge::N,тоҙак,тоҙак
208,Spur::N,әҫер,әҫер
209,Asche::N,көл,көл
210,Dreck::N,батҡаҡ,батҡаҡ
211,Eisen::N,тимер,тимер
212,Gold::N,алтын,алтын
213,Silber::N,көмөш,көмөш
214,Kohle::N,күмер,күмер
215,Glas::N,быяла,быяла
216,Lehm::N,балсыҡ,балсыҡ
217,Sand::N,ҡом,ҡом
218,Mensch::N,кеше,кеше
219,Mann::N,ир,ир
220,Frau::N,ҡатын,ҡатын
221,Kind::N,бала,бала
222,Junge::N,малай,малай
223,Mädchen::N,ҡыҙ,ҡыҙ
224,Mädchen::N,ҡыҙ,ҡыҙыҡай
225,Mädchen::N,ҡыҙыҡай,ҡыҙ
226,Mädchen::N,ҡыҙыҡай,ҡыҙыҡай
227,Familie::N,ғаилә,ғаилә
228,Großvater::N,олатай,олатай
229,Großmutter::N,әбәй,әбәй
230,Eltern::N,ата-әсә,ата-әсә
231,Vater::N,атай,атай
232,Mutter::N,әсә,әсә
233,Sohn::N,ул,ул
234,Tochter::N,ҡыҙ,ҡыҙ
235,Bruder::N,агай,агай
236,Schwester::N,алай,алай
237,Schwester::N,алай,һеңле
238,Schwester::N,һеңле,алай
239,Schwester::N,һеңле,һеңле
240,Onkel::N,ағай,ағай
241,Tante::N,апай,апай
242,Ehemann::N,ир,ир
243,Ehefrau::N,ҡатын,ҡатын
244,Freude::N,шатлыҡ,шатлыҡ
245,Freude::N,шатлыҡ,ҡыуаныс
246,Freude::N,ҡыуаныс,шатлыҡ
247,Freude::N,ҡыуаныс,ҡыуаныс
248,Gelächter::N,көлөү,көлөү
249,Glück::N,бәхет,бәхет
250,Kummer::N,ҡайғы,ҡайғы
251,Wunsch::N,теләк,теләк
252,Lust::N,әүәҫлек,әүәҫлек
253,Geist::N,аң,аң
254,Geist::N,аң,рух
255,Geist::N,рух,аң
256,Geist::N,рух,рух
257,Gedanke::N,уй,уй
258,Gedanke::N,уй,фекер
259,Gedanke::N,фекер,уй
260,Gedanke::N,фекер,фекер
261,Gedächtnis::N,хәтер,хәтер
262,Verstand::N,аҡыл,аҡыл
263,Sinn::N,мәғәня,мәғәня
264,Grund::N,сәбәп,сәбәп
265,Wahrheit::N,дөрөҫлөк,дөрөҫлөк
266,Gespräch::N,әңгәмә,әңгәмә
267,Märchen::N,әкиәт,әкиәт
268,Erzählung::N,хикәйә,хикәйә
269,Nachricht::N,хәбәр,хәбәр
270,Neuigkeit::N,яңылыҡ,яңылыҡ
271,Name::N,исем,исем
272,Rätsel::N,йомаҡ,йомаҡ
273,Rede::N,телмәр,телмәр
274,Sprache::N,тел,тел
275,Sprache::N,тел,телмәр
276,Sprache::N,телмәр,тел
277,Sprache::N,телмәр,телмәр
278,Stimme::N,тауыш,тауыш
279,Wort::N,һүҙ,һүҙ
280,Zeichen::N,билдә,билдә
281,Ruf::N,саҡырыу,саҡырыу
282,Lärm::N,шаулау,шаулау
283,Laut::N,тауыш,тауыш
284,Ton::N,яңғырау,яңғырау
285,Lied::N,йыр,йыр
286,Ruhe::N,ял,ял
287,Ruhe::N,ял,тыныслыҡ
288,Ruhe::N,тыныслыҡ,ял
289,Ruhe::N,тыныслыҡ,тыныслыҡ
290,Leute::N,кешеләр,кешеләр
291,Volk::N,халҡ,халҡ
292,Arbeit::N,эш,эш
293,Gast::N,ҡунаҡ,ҡунаҡ
294,Geschenk::N,бүләк,бүләк
295,Spiel::N,уйын,уйын
296,Gesellschaft::N,йәмғиәт,йәмғиәт
297,Hilfe::N,ярҙам,ярҙам
298,Freund::N,дуҫ,дуҫ
299,Kamerad::N,иптәш,иптәш
300,Angelegenheit::N,әш,әш
301,Anzahl::N,һан,һан
302,Art::N,төр,төр
303,Stück::N,киҫәк,киҫәк
304,Teil::N,өлөш,өлөш
305,Hälfte::N,ярты,ярты
306,Kreis::N,түңәрәк,түңәрәк
307,Kreuz::N,тәре,тәре
308,Linie::N,һыҙыҡ,һыҙыҡ
309,Strich::N,һыҙат,һыҙат
310,Abstand::N,ара,ара
311,Entfernung::N,алыҫлыҡ,алыҫлыҡ
312,Gegend::N,урын,урын
313,Platz::N,арауыҡ,арауыҡ
314,Ort::N,ерҙәр,ерҙәр
315,Ort::N,ерҙәр,урындар
316,Ort::N,ерҙәр,эш урыны
317,Ort::N,урындар,ерҙәр
318,Ort::N,урындар,урындар
319,Ort::N,урындар,эш урыны
320,Ort::N,эш урыны,ерҙәр
321,Ort::N,эш урыны,урындар
322,Ort::N,эш урыны,эш урыны
323,Seite::N,яҡ,яҡ
324,Mitte::N,урталыҡ,урталыҡ
325,Gegenstand::N,нәмә,нәмә
326,Sache::N,нәмә,нәмә
327,Sache::N,нәмә,әйбер
328,Sache::N,әйбер,нәмә
329,Sache::N,әйбер,әйбер
330,Rand::N,сит,сит
331,Kante::N,ҡабырға,ҡабырға
332,Kante::N,ҡабырға,ян
333,Kante::N,ян,ҡабырға
334,Kante::N,ян,ян
335,Ecke::N,мөйөш,мөйөш
336,Spitze::N,ос,ос
337,Ende::N,аҙаҡ,аҙаҡ
338,Loch::N,тишек,тишек
339,Winkel::N,мөйөш,мөйөш
340,Muster::N,биҙәк,биҙәк
341,Größe::N,ҙурлыҡ,ҙурлыҡ
342,Länge::N,оҙонлоҡ,оҙонлоҡ
343,Höhe::N,бейеклек,бейеклек
344,Gewicht::N,үлсәү,үлсәү
345,Menge::N,һан,һан
346,Haufen::N,өйөм,өйөм
347,Reihe::N,рәт,рәт
348,Boot::N,кәмә,кәмә
349,Ruder::N,ишкәк,ишкәк
350,Schlitten::N,сана,сана
351,Ski::N,саңгы,саңгы
352,Lagerfeuer::N,костер,костер
353,Last::N,ауырлыҡ,ауырлыҡ
354,Gang::N,барыу,барыу
355,Schritt::N,аҙым,аҙым
356,Norden::N,төньяҡ,төньяҡ
357,Süden::N,көньяҡ,көньяҡ
358,Westen::N,көнбайыш,көнбайыш
359,Osten::N,көнсығыш,көнсығыш
360,Holz::N,үағас,үағас
361,Brett::N,таҡта,таҡта
362,Platte::N,плита,плита
363,Stütze::N,терәк,терәк
364,Stange::N,кәртә,кәртә
365,Stock::N,таяҡ,таяҡ
366,Stab::N,ҡолға,ҡолға
367,Rohr::N,торба,торба
368,Haus::N,өй,өй
369,Haus::N,өй,йорт
370,Haus::N,йорт,өй
371,Haus::N,йорт,йорт
372,Heim::N,өй,өй
373,Ofen::N,мейес,мейес
374,Fußboden::N,енес,енес
375,Tisch::N,өҫтәл,өҫтәл
376,Stuhl::N,ултырғыс,ултырғыс
377,Wiege::N,бишек,бишек
378,Bett::N,карауат,карауат
379,Regal::N,кәштә,кәштә
380,Kiste::N,йәшинк,йәшинк
381,Fenster::N,тәҙрә,тәҙрә
382,Tür::N,ишек,ишек
383,Tor::N,ҡапҡа,ҡапҡа
384,Zaun::N,ҡойма,ҡойма
385,Dach::N,түбә,түбә
386,Dach::N,түбә,ҡыйыҡ
387,Dach::N,ҡыйыҡ,түбә
388,Dach::N,ҡыйыҡ,ҡыйыҡ
389,Leiter::N,баҫҡыс,баҫҡыс
390,Besen::N,һепертке,һепертке
391,Spaten::N,көрәк,көрәк
392,Schaufel::N,көрәк,көрәк
393,Gabel::N,сәнске,сәнске
394,Löffel::N,ҡалаҡ,ҡалаҡ
395,Messer::N,бысаҡ,бысаҡ
396,Nagel::N,сөй,сөй
397,Netz::N,ау,ау
398,Haken::N,ыргаҡ,ыргаҡ
399,Griff::N,тотҡа,тотҡа
400,Schloss::N,йоҙаҡ,йоҙаҡ
401,Bild::N,картина,картина
402,Figur::N,һын,һын
403,Puppe::N,ҡурсаҡ,ҡурсаҡ
404,Beutel::N,тоҡ,тоҡ
405,Bündel::N,төргәк,төргәк
406,Tasche::N,сумка,сумка
407,Eimer::N,биҙрә,биҙрә
408,Deckel::N,ҡапҡас,ҡапҡас
409,Geschirr::N,һауыт-һаба,һауыт-һаба
410,Sack::N,тоҡ,тоҡ
411,Tasse::N,сынаяҡ,сынаяҡ
412,Topf::N,кәстрүл,кәстрүл
413,Kessel::N,ҡаҙан,ҡаҙан
414,Essen::N,ашау,ашау
415,Nahrung::N,аҙыҡ,аҙыҡ
416,Speise::N,аш,аш
417,Fleisch::N,ит,ит
418,Getreide::N,иген,иген
419,Getreide::N,иген,ашлыҡ
420,Getreide::N,ашлыҡ,иген
421,Getreide::N,ашлыҡ,ашлыҡ
422,Brei::N,бутҡа,бутҡа
423,Brot::N,икмәк,икмәк
424,Scheibe::N,телем,телем
425,Fett::N,май,май
426,Butter::N,май,май
427,Öl::N,май буяуы,май буяуы
428,Salz::N,тоҙ,тоҙ
429,Suppe::N,һурпа,һурпа
430,Honig::N,бал,бал
431,Milch::N,һөт,һөт
432,Tee::N,сәй,сәй
433,Leder::N,күн,күн
434,Wolle::N,йөн,йөн
435,Stoff::N,туҡыма,туҡыма
436,Nadel::N,энә,энә
437,Faden::N,еп,еп
438,Knopf::N,төймә,төймә
439,Knoten::N,төйөн,төйөн
440,Farbe::N,буяу,буяу
441,Kleidung::N,кейем,кейем
442,Hemd::N,күлдәк,күлдәк
443,Kragen::N,яға,яға
444,Ärmel::N,ең,ең
445,Hose::N,салбар,салбар
446,Gürtel::N,ҡайыш,ҡайыш
447,Mütze::N,бүрк,бүрк
448,Schuh::N,туфли,туфли
449,Stiefel::N,итек,итек
450,Ring::N,йөҙөк,йөҙөк
451,Ring::N,йөҙөк,балдаҡ
452,Ring::N,балдаҡ,йөҙөк
453,Ring::N,балдаҡ,балдаҡ
454,Band::N,таҫма,таҫма
455,Kamm::N,тараҡ,тараҡ
456,Spiegel::N,көзгө,көзгө
457,Riemen::N,ҡайыш,ҡайыш
458,Schnur::N,бау,бау
459,Leine::N,бау,бау
460,Decke::N,одеяд,одеяд
461,Kissen::N,мендәр,мендәр
462,Tuch::N,яулыҡ,яулыҡ
463,Handtuch::N,таҫтамал,таҫтамал
464,Kraft::N,көс,көс
465,Stärke::N,көс,көс
466,Gesundheit::N,һаулыҡ,һаулыҡ
467,Krankheit::N,сир,сир
468,Krankheit::N,сир,ауырыу
469,Krankheit::N,ауырыу,сир
470,Krankheit::N,ауырыу,ауырыу
471,Schmerz::N,һыҙлау,һыҙлау
472,Schmerz::N,һыҙлау,әрнеү
473,Schmerz::N,әрнеү,һыҙлау
474,Schmerz::N,әрнеү,әрнеү
475,Wunde::N,йәрәхәт,йәрәхәт
476,Fieber::N,тапма,тапма
477,Fieber::N,тапма,биҙгәк
478,Fieber::N,биҙгәк,тапма
479,Fieber::N,биҙгәк,биҙгәк
480,Arznei::N,дарыу,дарыу
481,Brücke::N,күпер,күпер
482,Brunnen::N,ҡоҙоҡ,ҡоҙоҡ
483,Weide::N,көтөүлек,көтөүлек
484,Pfad::N,һуҡмаҡ,һуҡмаҡ
485,Weg::N,юл,юл
486,Straße::N,урам,урам
487,Dorf::N,ауыл,ауыл
488,Stadt::N,ҡала,ҡала
489,Brief::N,хат,хат
490,Buch::N,китап,китап
491,Buch::N,китап,кенәгә
492,Buch::N,кенәгә,китап
493,Buch::N,кенәгә,кенәгә
494,Buchstabe::N,хәреф,хәреф
495,Zeitung::N,гәзит,гәзит
496,Leben::N,йәшәү,йәшәү
497,Tod::N,үлем,үлем
498,Grab::N,ҡәбер,ҡәбер
499,Kirche::N,сиркәү,сиркәү
500,Sünde::N,гөнаһ,гөнаһ
501,Gott::N,алла,алла
502,Gott::N,алла,хоҙай
503,Gott::N,хоҙай,алла
504,Gott::N,хоҙай,хоҙай
505,Arbeiter::N,эшсе,эшсе
506,Chef::N,башлыҡ,башлыҡ
507,Meister::N,оҫта,оҫта
508,Arzt::N,врач,врач
509,Lehrer::N,уҡытыусы,уҡытыусы
510,Geld::N,аҡса,аҡса
511,Geschäft::N,эш,эш
512,Laden::N,магазин,магазин
513,Preis::N,хаҡ,хаҡ
514,Ware::N,тауар,тауар
515,Nutzen::N,файҙа,файҙа
516,Reichtum::N,байлыҡ,байлыҡ
517,Welt::N,донъя,донъя
518,Land::N,ил,ил
519,Staat::N,дәүләт,дәүләт
520,König::N,король,король
521,Macht::N,власть,власть
522,Grenze::N,сик,сик
523,Krieg::N,һуғыш,һуғыш
524,Feind::N,йылан,йылан
525,Gewalt::N,көслөк,көслөк
526,Kampf::N,көрәш,көрәш
527,Bogen[Waffe]::N,йәйә,йәйә
528,Pfeil::N,уҡ,уҡ
529,Gewehr::N,мылтыҡ,мылтыҡ
530,Fehler::N,хата,хата
531,Lüge::N,ялған,ялған
532,Schaden::N,зыян,зыян
533,Schaden::N,зыян,зарар
534,Schaden::N,зарар,зыян
535,Schaden::N,зарар,зарар
536,Unglück::N,ҡаза,ҡаза
537,Schuld::N,ғәйеп,ғәйеп
538,Alter::N,йәш,йәш
539,Schluss::N,һуң,һуң
540,Schluss::N,һуң,аҙаҡ
541,Schluss::N,аҙаҡ,һуң
542,Schluss::N,аҙаҡ,аҙаҡ
543,Zeit::N,мәл,мәл
544,Zeit::N,мәл,заман
545,Zeit::N,заман,мәл
546,Zeit::N,заман,заман
547,Tag::N,көн,көн
548,Morgen::N,иртә,иртә
549,Morgen::N,иртә,иртәнсәк
550,Morgen::N,иртәнсәк,иртә
551,Morgen::N,иртәнсәк,иртәнсәк
552,Mittag::N,төш,төш
553,Abend::N,кис,кис
554,Nacht::N,төн,төн
555,Woche::N,аҙна,аҙна
556,Monat::N,ай,ай
557,Jahr::N,йыл,йыл
558,Frühling::N,яҙ,яҙ
559,Sommer::N,йәй,йәй
560,Herbst::N,көз,көз
561,Winter::N,ҡыш,ҡыш
562,Januar::N,ғинуар,ғинуар
563,Februar::N,февраль,февраль
564,März::N,март,март
565,April::N,апрель,апрель
566,Mai::N,май,май
567,Juni::N,июнь,июнь
568,Juli::N,июль,июль
569,August::N,август,август
570,September::N,сентябрь,сентябрь
571,Oktober::N,октябрь,октябрь
572,November::N,ноябрь,ноябрь
573,Dezember::N,декабрь,декабрь
574,Montag::N,дүшәмбе,дүшәмбе
575,Dienstag::N,шишәмбе,шишәмбе
576,Mittwoch::N,шаршамбы,шаршамбы
577,Donnerstag::N,кесаҙна,кесаҙна
578,Freitag::N,йома,йома
579,Samstag::N,шәмбе,шәмбе
580,Sonntag::N,йәкшәмбе,йәкшәмбе
581,groß::A,ҙур,ҙур
582,klein::A,бәләкәс,бәләкәс
583,lang::A,оҙон,оҙон
584,kurz::A,ҡыҫҡа,ҡыҫҡа
585,breit::A,киң,киң
586,schmal::A,тар,тар
587,dicht::A,йыш,йыш
588,dicht::A,йыш,ҡуйы
589,dicht::A,ҡуйы,йыш
590,dicht::A,ҡуйы,ҡуйы
591,dick[Gegenstand]::A,ҡалын,ҡалын
592,dünn::A,йоҡа,йоҡа
593,dünn::A,йоҡа,нәҙек
594,dünn::A,нәҙек,йоҡа
595,dünn::A,нәҙек,нәҙек
596,fein::A,нескә,нескә
597,fest::A,ныҡ,ныҡ
598,flach::A,яҫы,яҫы
599,flach::A,яҫы,ялпаҡ
600,flach::A,ялпаҡ,яҫы
601,flach::A,ялпаҡ,ялпаҡ
602,glatt::A,шыма,шыма
603,hart::A,ҡаты,ҡаты
604,weich::A,йомшаҡ,йомшаҡ
605,rund::A,түңәрәк,түңәрәк
606,spitz::A,осло түбәле,осло түбәле
607,scharf::A,үткер,үткер
608,stumpf::A,утмәҫ,утмәҫ
609,schwer::A,ауыр,ауыр
610,schön::A,матур,матур
611,heiß::A,эҫе,эҫе
612,warm::A,йылы,йылы
613,kalt::A,һыуыҡ,һыуыҡ
614,kühl::A,һалҡынса,һалҡынса
615,frisch::A,һалҡынса,һалҡынса
616,feucht::A,еүеш,еүеш
617,feucht::A,еүеш,дымлы
618,feucht::A,дымлы,еүеш
619,feucht::A,дымлы,дымлы
620,nass::A,еүеш,еүеш
621,trocken::A,кипкән,кипкән
622,voll::A,тулы,тулы
623,leer::A,буш,буш
624,offen::A,асыҡ,асыҡ
625,geschlossen::A,ябыҡ,ябыҡ
626,sauber::A,таҙа,таҙа
627,schmutzig::A,бысраҡ,бысраҡ
628,roh::A,сей,сей
629,reif::A,өлгөрғән,өлгөрғән
630,lecker::A,тәмле,тәмле
631,süß::A,тямле,тямле
632,süß::A,тямле,тәм-том
633,süß::A,тәм-том,тямле
634,süß::A,тәм-том,тәм-том
635,bitter::A,әсе,әсе
636,sauer::A,әсе,әсе
637,hell::A,яҡты,яҡты
638,dunkel::A,ҡараңғы,ҡараңғы
639,schwarz::A,ҡара,ҡара
640,weiß::A,аҡ,аҡ
641,rot::A,матур,матур
642,rot::A,матур,һылыу
643,rot::A,матур,сибәр
644,rot::A,һылыу,матур
645,rot::A,һылыу,һылыу
646,rot::A,һылыу,сибәр
647,rot::A,сибәр,матур
648,rot::A,сибәр,һылыу
649,rot::A,сибәр,сибәр
650,gelb::A,һары,һары
651,blau::A,күк,күк
652,grün::A,йәшел,йәшел
653,grau::A,буҙ,буҙ
654,bunt::A,сыбар,сыбар
655,bunt::A,сыбар,ала-ҡола
656,bunt::A,ала-ҡола,сыбар
657,bunt::A,ала-ҡола,ала-ҡола
658,billig::A,арзан,арзан
659,teuer::A,ҡыйбатлы,ҡыйбатлы
660,wertvoll::A,ҡиммәтле,ҡиммәтле
661,blind::A,һуҡыр,һуҡыр
662,taub::A,һаңғырау,һаңғырау
663,kräftig::A,көслө,көслө
664,kräftig::A,көслө,ҡеүәтле
665,kräftig::A,ҡеүәтле,көслө
666,kräftig::A,ҡеүәтле,ҡеүәтле
667,stark::A,көслө,көслө
668,stark::A,көслө,ҡеүәтле
669,stark::A,ҡеүәтле,көслө
670,stark::A,ҡеүәтле,ҡеүәтле
671,schwach::A,көсһөҙ,көсһөҙ
672,fett::A,һимеҙ,һимеҙ
673,schlank::A,зифа,зифа
674,hübsch::A,матур,матур
675,böse::A,асыулы,асыулы
676,dumm::A,иҫәр,иҫәр
677,faul::A,иренсәк,иренсәк
678,fleißig::A,тырыш,тырыш
679,geizig::A,һаран,һаран
680,klug::A,аҡыллы,аҡыллы
681,geschickt::A,оҫта,оҫта
682,lieb::A,яғымлы,яғымлы
683,lustig::A,күңелле,күңелле
684,sanft::A,йыуаш,йыуаш
685,hungrig::A,ас,ас
686,krank::A,сирле,сирле
687,krank::A,сирле,ауырыу
688,krank::A,ауырыу,сирле
689,krank::A,ауырыу,ауырыу
690,nackt::A,яланғас,яланғас
691,traurig::A,яманһыу,яманһыу
692,lebendig::A,тере,тере
693,lebendig::A,тере,йәнле
694,lebendig::A,йәнле,тере
695,lebendig::A,йәнле,йәнле
696,gut::A,яҡшы,яҡшы
697,schlecht::A,хөрт,хөрт
698,schlecht::A,хөрт,алама
699,schlecht::A,алама,хөрт
700,schlecht::A,алама,алама
701,richtig::A,дөрөҫ,дөрөҫ
702,schlimm::A,хөрт,хөрт
703,schlimm::A,хөрт,алама
704,schlimm::A,алама,хөрт
705,schlimm::A,алама,алама
706,wahr::A,дөрөҫ,дөрөҫ
707,alt::A,иҫке,иҫке
708,alt::A,иҫке,боронғо
709,alt::A,боронғо,иҫке
710,alt::A,боронғо,боронғо
711,neu::A,яңы,яңы
712,ehemalig::A,элекке,элекке
713,alt[Lebewesen]::A,ҡарт,ҡарт
714,jung::A,йәш,йәш
715,arm::A,фәҡир,фәҡир
716,reich::A,бай,бай
717,bekannt::A,таныш,таныш
718,berühmt::A,атаҡлы,атаҡлы
719,berühmt::A,атаҡлы,данлыҡлы
720,berühmt::A,данлыҡлы,атаҡлы
721,berühmt::A,данлыҡлы,данлыҡлы
722,fremd::A,ят,ят
