,Concept_ID,la,ko
78,Licht::N,lumen,불
79,Schatten::N,umbra,어스레함
80,Wetter::N,caelum,기상
81,Wetter::N,tempestas,기상
82,Nebel::N,nebula,안개
83,Wolke::N,nubes,구름
84,Regen::N,imber,비
85,Regen::N,pluvia,비
86,Schnee::N,nix,눈
87,Eis::N,glacies,얼음
88,Frost::N,gelu,혹한
89,Kälte::N,frigus,추위
90,Kälte::N,frigus,차가움
91,Hitze::N,calor,고온
92,Hitze::N,calor,더위
93,Hitze::N,aestus,고온
94,Hitze::N,aestus,더위
95,Raureif::N,pruina,
96,Regenbogen::N,arcus,무지개
97,Donner::N,tonitrus,뇌명
98,Strömung::N,fluctus,유동
99,Tropfen::N,gutta,물방울
100,Schaum::N,spuma,포말
101,Schmutz::N,sordes,때
102,Schmutz::N,squalor,때
103,See::N,lacus,호수
104,Sumpf::N,palus,습지
105,Moor::N,palus,저습지
106,Wiese::N,pratum,목초지
107,Wald::N,silva,숲
108,Hügel::N,collis,언덕
109,Anhöhe::N,specula,언덕
110,Berg::N,mons,산
111,Gipfel::N,vertex,졀졍
112,Höhle::N,caverna,공동
113,Höhle::N,spelunca,공동
114,Abhang::N,declivum,몰매
115,Quelle::N,fons,근원
116,Bach::N,rivus,내
117,Fluss::N,flumen,강
118,Ufer::N,ripa,강변
119,Ufer::N,ripa,바닷가
120,Küste::N,litus,해변
121,Küste::N,litus,해변가
122,Festland::N,continens,본토
123,Meer::N,mare,바다
124,Bucht::N,sinus,협만
125,Insel::N,insula,섬
126,Blume::N,flos,꽃
127,Gras::N,herba,풀
128,Gras::N,gramen,풀
129,Wurzel::N,radix,뿌리
130,Baum::N,arbor,나무
131,Stamm::N,truncus,대
132,Rinde::N,cortex,나무껍질
133,Ast::N,ramus,가지
134,Zweig::N,ramus,가지
135,Blatt::N,folium,잎
136,Birke::N,betulla,자작나무
137,Kiefer[Baum]::N,pinus,소나무
138,Weide[Baum]::N,salix,쉬양버들
139,Tanne::N,abies,전나무
140,Horn::N,cornu,뿔
141,Feder::N,penna,깃털
142,Fell::N,pellis,피혁모피
143,Flügel::N,ala,날개
144,Klaue::N,unguis,갈고리 발톺
145,Kralle::N,unguis,발툭
146,Schwanz::N,cauda,꼬리
147,Ei::N,ovum,알
148,Nest::N,nidus,보금자리
149,Bau::N,cavum,굴
150,Bau::N,latibulum,굴
151,Tier::N,bestia,짐승
152,Herde::N,grex,가축의떼
153,Kuh::N,vacca,암소
154,Bulle::N,taurus,황소
155,Pferd::N,equus,말
156,Schaf::N,ovis,양
157,Schwein::N,sus,돼지
158,Schwein::N,porcus,돼지
159,Hund::N,canis,개
160,Katze::N,felis,고양이
161,Bär::N,ursus,콤
162,Eichhörnchen::N,sciurus,다람쥐
163,Elch::N,alces,고라니
164,Fuchs::N,vulpes,여우
165,Hase::N,lepus,토끼
166,Maus::N,mus,쥐
167,Wolf::N,lupus,늑대
168,Vogel::N,avis,새
169,Schwarm::N,examen,뗴
170,Huhn::N,gallina,암탉
171,Hahn::N,gallus,수탉
172,Gans::N,anser,거위
173,Adler::N,aquila,수리
174,Ente::N,anas,오리
175,Eule::N,ulula,부엉이
176,Eule::N,noctua,부엉이
177,Kranich::N,grus,두루미
178,Krähe::N,cornix,까마귀
179,Kuckuck::N,cuculus,뻐꾸기
180,Schwan::N,olor,배조
181,Schwan::N,cycnus,배조
182,Fisch::N,piscis,물고기
183,Barsch::N,perca,농어
184,Hecht::N,esox,에속스
185,Schlange[Tier]::N,serpens,뱀
186,Wurm::N,vermis,벌레
187,Spinne::N,aranea,거미
188,Ameise::N,formica,개미
189,Laus::N,pediculus,이
190,Mücke::N,culex,모기
191,Fliege::N,musca,날기
192,Schmetterling::N,papilio,나비
193,Beere::N,baca,장과
194,Apfel::N,malum,사과
195,Pilz::N,fungus,고방이
196,Zwiebel::N,cepa,양파
197,Saat::N,seges,씨
198,Korn::N,granum,알맹이
199,Heu::N,faenum,건초
200,Schale::N,putamen,피상
201,Grube::N,fovea,
202,Falle::N,pedica,함정
203,Schlinge::N,laqueus,올가미
204,Schlinge::N,laqueus,멜빵붕대
205,Spur::N,vestigium,발지국
206,Asche::N,cinis,재
207,Dreck::N,lutum,똥
208,Dreck::N,lutum,오물
209,Eisen::N,ferrum,쇠
210,Eisen::N,ferrum,철
211,Gold::N,aurum,항금
212,Silber::N,argentum,은
213,Kohle::N,carbo,슻
214,Glas::N,vitrum,유리
215,Lehm::N,lutum,찰흙
216,Sand::N,arena,모래
217,Mensch::N,homo,사람
218,Mann::N,vir,남자
219,Frau::N,mulier,여자
220,Kind::N,puer,아이
221,Kind::N,infans,아이
222,Junge::N,puer,소녁
223,Mädchen::N,puella,소녀
224,Familie::N,familia,가족
225,Großvater::N,avus,할아버지
226,Großmutter::N,avia,할머니
227,Eltern::N,parentes,어버오
228,Vater::N,pater,아버지
229,Mutter::N,mater,어머니
230,Sohn::N,filius,아들
231,Tochter::N,filia,딸기
232,Bruder::N,frater,형제
233,Schwester::N,soror,누이
234,Onkel::N,patruus,백부
235,Onkel::N,avunculus,백부
236,Tante::N,amita,아주머니
237,Ehemann::N,maritus,남편
238,Ehefrau::N,uxor,아내
239,Freude::N,gaudium,기쁨
240,Freude::N,laetitia,기쁨
241,Gelächter::N,risus,웃음
242,Glück::N,felicitas,즐거움
243,Kummer::N,aegritudo,슬픔
244,Wunsch::N,voluntas,소망
245,Wunsch::N,desiderium,소망
246,Lust::N,libido,
247,Lust::N,voluptas,
248,Geist::N,mens,할기
249,Geist::N,animus,할기
250,Gedanke::N,sententia,상념
251,Gedächtnis::N,memoria,기억
252,Verstand::N,ratio,분별
253,Verstand::N,ratio,지능
254,Verstand::N,ingenium,분별
255,Verstand::N,ingenium,지능
256,Sinn::N,sensus,센스
257,Grund::N,causa,까닭
258,Wahrheit::N,veritas,참
259,Wahrheit::N,veritas,진실
260,Gespräch::N,sermo,대화
261,Märchen::N,fabula,동화
262,Erzählung::N,fabula,이야기
263,Erzählung::N,narratio,이야기
264,Nachricht::N,nuntius,
265,Neuigkeit::N,novitas,뉴스
266,Name::N,nomen,이름
267,Rätsel::N,aenigma,수수께끼
268,Rede::N,oratio,연설
269,Sprache::N,lingua,말
270,Stimme::N,vox,목소리
271,Wort::N,verbum,낱말
272,Wort::N,vocabulum,낱말
273,Zeichen::N,signum,신호
274,Ruf::N,clamor,부름
275,Lärm::N,strepitus,소동
276,Laut::N,sonus,음성
277,Ton::N,sonus,목소리
278,Lied::N,carmen,노래
279,Ruhe::N,quies,쉼
280,Leute::N,homines,사람들
281,Volk::N,populus,국중
282,Arbeit::N,labor,근로
283,Arbeit::N,labor,너무
284,Gast::N,hospes,손님
285,Gast::N,conviva,손님
286,Geschenk::N,munus,행하
287,Spiel::N,ludus,무리
288,Gesellschaft::N,societas,교제
289,Hilfe::N,auxilium,거들음
290,Hilfe::N,auxilium,보좌
291,Hilfe::N,subsidium,거들음
292,Hilfe::N,subsidium,보좌
293,Freund::N,amicus,친구
294,Kamerad::N,socius,동실자
295,Angelegenheit::N,res,용무
296,Anzahl::N,numerus,어떤
297,Anzahl::N,numerus,수
298,Art::N,genus,정류
299,Stück::N,frustum,일부분
300,Stück::N,fragmentum,일부분
301,Teil::N,pars,몱
302,Teil::N,pars,구훠
303,Hälfte::N,dimidium,2분의
304,Kreis::N,orbis,고리
305,Kreis::N,circus,고리
306,Kreuz::N,crux,열십자
307,Linie::N,linea,선
308,Strich::N,lineamentum,스침
309,Abstand::N,intervallum,거리
310,Entfernung::N,spatium,거리
311,Gegend::N,loca,곳
312,Gegend::N,loca,부금
313,Gegend::N,regio,곳
314,Gegend::N,regio,부금
315,Platz::N,locus,장소
316,Ort::N,locus,장소
317,Seite::N,latus,옆면
318,Mitte::N,medium,궁간
319,Gegenstand::N,res,항목
320,Sache::N,res,뭉에
321,Rand::N,margo,가
322,Kante::N,angulus,귀퉁
323,Ecke::N,angulus,구석
324,Spitze::N,cacumen,끝
325,Spitze::N,cacumen,참단
326,Ende::N,caput,말당
327,Loch::N,foramen,빙옷
328,Winkel::N,angulus,각도
329,Muster::N,exemplum,본
330,Muster::N,exemplum,견복
331,Größe::N,magnitudo,신장
332,Länge::N,longitudo,길이긺
333,Höhe::N,altitudo,높이
334,Gewicht::N,pondus,추
335,Menge::N,copia,수양
336,Haufen::N,acervus,퇴적
337,Reihe::N,ordo,열
338,Boot::N,navicula,보트
339,Ruder::N,remus,노
340,Schlitten::N,sclodia,썰매
341,Ski::N,narta,스키
342,Lagerfeuer::N,ignis,캠프의 모닥불
343,Last::N,onus,무거운짐
344,Gang::N,cursus,걸음
345,Schritt::N,gradus,보조
346,Norden::N,septentriones,북쪽 
347,Süden::N,meridies,남쪽
348,Westen::N,occidens,서쪽
349,Osten::N,oriens,동쪽
350,Holz::N,lignum,목재
351,Brett::N,tabula,마루널
352,Platte::N,lamina,탤
353,Platte::N,lamina,금속판
354,Stütze::N,adminiculum,버팀목
355,Stange::N,pertica,장대
356,Stock::N,baculum,막대기
357,Stab::N,scipio,작대기
358,Rohr::N,tubus,갈대
359,Haus::N,aedes,집
360,Heim::N,domicilium,집
361,Ofen::N,fornax,아궁이
362,Fußboden::N,solum,마루
363,Tisch::N,mensa,탁자
364,Stuhl::N,sella,의자
365,Wiege::N,cunae,발상지
366,Bett::N,lectus,침대
367,Regal::N,foruli,서가
368,Kiste::N,cista,짐궤
369,Fenster::N,fenestra,눔
370,Tür::N,ianua,문
371,Tor::N,porta,대문
372,Zaun::N,saepes,담장
373,Dach::N,tectum,지붕
374,Leiter::N,scalae,사닥다리
375,Besen::N,scopae,비
376,Spaten::N,pala,가래
377,Schaufel::N,pala,삽
378,Gabel::N,fuscinula,갈래
379,Löffel::N,coclear,숟가락
380,Messer::N,culter,나이프
381,Nagel::N,clavus,발툽
382,Netz::N,rete,그물
383,Haken::N,hamus,갈고리
384,Griff::N,manubrium,움켜쥠
385,Schloss::N,claustra,자물쇠
386,Bild::N,tabula,그림
387,Bild::N,pictura,그림
388,Figur::N,statunculum,몸메
389,Puppe::N,pupa,인형
390,Beutel::N,sacculus,클
391,Bündel::N,fascis,자근다발
392,Tasche::N,sacculus,가방
393,Eimer::N,situla,동이
394,Deckel::N,operculum,뚜껑
395,Geschirr::N,vasa,식시
396,Sack::N,saccus,조갑
397,Tasse::N,pocillum,차잔
398,Topf::N,olla,단지
399,Kessel::N,aenum,주전자
400,Essen::N,cena,먹기
401,Nahrung::N,cibus,식료
402,Nahrung::N,alimenta,식료
403,Speise::N,cibus,음식물
404,Fleisch::N,caro,고기
405,Getreide::N,frumentum,곡물
406,Brei::N,puls,젤리
407,Brot::N,panis,빵
408,Scheibe::N,frustum,원반
409,Fett::N,pingue,기름
410,Butter::N,butȳrum,버터
411,Öl::N,oleum,올리브유
412,Salz::N,sal,소금
413,Suppe::N,ius,국
414,Suppe::N,ius,수프
415,Honig::N,mel,감미
416,Milch::N,lac,유즙
417,Tee::N,thea,차
418,Leder::N,corium,가죽
419,Wolle::N,lana,양털
420,Stoff::N,textum,패료
421,Nadel::N,acus,바늘
422,Faden::N,filum,콘실
423,Knopf::N,bulla,단추
424,Knoten::N,nodus,곁절
425,Farbe::N,pigmentum,색
426,Kleidung::N,vestimenta,옷입기
427,Hemd::N,tunica,속옷
428,Kragen::N,collare,깃
429,Ärmel::N,manica,소매
430,Hose::N,bracae,바지
431,Gürtel::N,cingulum,밴드
432,Mütze::N,pilleus,모자
433,Schuh::N,calceus,구두
434,Stiefel::N,pero,장화
435,Stiefel::N,caliga,장화
436,Ring::N,anulus,고리
437,Band::N,redimiculum,리본
438,Kamm::N,pecten,빗
439,Spiegel::N,speculum,거울
440,Riemen::N,lorum,가죽끈
441,Schnur::N,linum,밧줄
442,Leine::N,retinaculum,고삐줄
443,Decke::N,lodix,이부자리
444,Kissen::N,pulvinus,깔개
445,Tuch::N,velum,천
446,Handtuch::N,mantele,수건
447,Kraft::N,vis,세력
448,Stärke::N,robur,힘
449,Gesundheit::N,valetudo,위생
450,Krankheit::N,morbus,병
451,Schmerz::N,dolor,아픔고통
452,Wunde::N,vulnus,상처
453,Fieber::N,febris,열별
454,Arznei::N,remedium,약
455,Brücke::N,pons,교량
456,Brunnen::N,puteus,원천
457,Weide::N,pascua,목장
458,Pfad::N,semita,좁은길
459,Weg::N,iter,길
460,Straße::N,via,길
461,Dorf::N,vicus,촌
462,Dorf::N,vicus,촌락
463,Stadt::N,urbs,도시
464,Stadt::N,oppidum,도시
465,Brief::N,epistula,서한
466,Buch::N,liber,책
467,Buchstabe::N,littera,문자
468,Zeitung::N,diurnum,신문
469,Leben::N,vita,삶
470,Tod::N,mors,죽음
471,Grab::N,sepulcrum,무덤
472,Kirche::N,ecclesia,교회
473,Sünde::N,peccatum,부정
474,Gott::N,deus,하느님
475,Arbeiter::N,operarius,일하는사람
476,Chef::N,praefectus,사장
477,Meister::N,magister,명인
478,Meister::N,magister,대가
479,Arzt::N,medicus,의사
480,Lehrer::N,magister,교사
481,Geld::N,aes,돈
482,Geld::N,pecunia,돈
483,Geschäft::N,negotium,일
484,Laden::N,taberna,가게
485,Preis::N,pretium,가격
486,Ware::N,merx,상품
487,Nutzen::N,utilitas,이익
488,Reichtum::N,opes,많음
489,Reichtum::N,divitiae,많음
490,Welt::N,mundus,세상
491,Land::N,terra,지방
492,Staat::N,res publica,국가
493,König::N,rex,국왕
494,Macht::N,potestas,힘
495,Grenze::N,limes,국경
496,Krieg::N,bellum,전쟁
497,Feind::N,inimicus,적
498,Gewalt::N,vis,권력
499,Kampf::N,pugna,전투
500,Bogen[Waffe]::N,arcus,활
501,Pfeil::N,sagitta,화살
502,Gewehr::N,sclopetum,무기
503,Fehler::N,error,오류
504,Lüge::N,mendacium,거짓말
505,Schaden::N,damnum,손상
506,Schaden::N,detrimentum,손상
507,Unglück::N,miseria,불행
508,Unglück::N,calamitas,불행
509,Schuld::N,culpa,부채
510,Alter::N,aetas,연령
511,Schluss::N,finis,마감
512,Zeit::N,tempus,때
513,Zeit::N,tempus,시간
514,Tag::N,dies,하루
515,Morgen::N,mane,이침
516,Mittag::N,meridies,대낮
517,Abend::N,vesper,저녁
518,Nacht::N,nox,밤
519,Woche::N,septimana,근무일
520,Monat::N,mensis,달
521,Jahr::N,annus,해
522,Frühling::N,ver,봄
523,Sommer::N,aestas,여름
524,Herbst::N,autumnus,가을
525,Winter::N,hiems,겨울
526,Januar::N,Ianuarius,일월
527,Februar::N,Februarius,이월
528,März::N,Martius,삼월
529,April::N,Aprilis,사월
530,Mai::N,Maius,오월
531,Juni::N,Iunius,유월
532,Juli::N,Iulius,칠월
533,August::N,Augustus,팔월
534,September::N,September,구월
535,Oktober::N,Octobris,시월
536,November::N,Novembris,십일월
537,Dezember::N,December,십이월
538,Montag::N,dies lunae,월요일
539,Dienstag::N,dies Martis ,화요일
540,Mittwoch::N,dies Mercurii,수요일
541,Donnerstag::N,dies Iovis,모교일
542,Freitag::N,dies Veneris,그묘일
543,Samstag::N,dies Saturni,토요일
544,Sonntag::N,dominicus,일요일
545,Sonntag::N,dies solis,일요일
546,groß::A,magnus,큰
547,klein::A,parvus,자근
548,lang::A,longus,긴
549,kurz::A,brevis,짧은
550,breit::A,latus,넓은
551,schmal::A,angustus,좁은
552,dicht::A,densus,농밀한
553,dick[Gegenstand]::A,crassus,두꺼운
554,dünn::A,tenuis,얇은
555,fein::A,subtilis,미세한
556,fest::A,solidus,굳은
557,fest::A,stabilis,굳은
558,flach::A,planus,얕은
559,glatt::A,levis,반들반들한
560,hart::A,durus,굳은
561,weich::A,mollis,연한
562,rund::A,rotundus,둥근
563,spitz::A,acutus,뾰족한
564,scharf::A,acer,날카로운
565,stumpf::A,hebes,무딘
566,schwer::A,gravis,무거운
567,schön::A,pulcher,멋진
568,schön::A,formosus,멋진
569,heiß::A,fervidus,뜨거운
570,warm::A,calidus,따뜻한
571,kalt::A,frigidus,찬
572,kühl::A,frigidus,서늘한
573,frisch::A,recens,신선한
574,feucht::A,umidus,축축한
575,nass::A,madidus,젖은
576,trocken::A,aridus,마른
577,voll::A,plenus,완전한
578,leer::A,vacuus,빈
579,offen::A,apertus,열린
580,geschlossen::A,clausus,닫힌
581,sauber::A,lautus,깨끗한
582,schmutzig::A,sordidus,더러운
583,roh::A,crudus,날게잇의
584,reif::A,maturus,이근
585,lecker::A,delicatus,맛있는
586,süß::A,dulcis,단
587,bitter::A,amarus,찌르는듯한
588,bitter::A,acerbus,찌르는듯한
589,sauer::A,acidus,산성의
590,hell::A,clarus,밝은
591,dunkel::A,obscurus,어두운
592,schwarz::A,niger,검은
593,weiß::A,albus,하얀
594,rot::A,ruber,붉은
595,gelb::A,flavus,황색
596,blau::A,caeruleus,푸른
597,grün::A,viridis,녹색의
598,grau::A,canus,회색의
599,bunt::A,varius,알록달록한
600,billig::A,vilis,싼
601,teuer::A,carus,값비산
602,wertvoll::A,pretiosus,가치가많은
603,blind::A,caecus,눈먼
604,taub::A,surdus,무감간한
605,kräftig::A,robustus,강장한
606,stark::A,firmus,강한
607,stark::A,validus,강한
608,schwach::A,debilis,약한
609,schwach::A,infirmus,약한
610,fett::A,crassus,실찐
611,schlank::A,procerus,호리호리한
612,hübsch::A,pulcher,예쁜
613,böse::A,improbus,나쁜
614,dumm::A,stultus,어리석은
615,dumm::A,stupidus,어리석은
616,faul::A,piger,너덜너덜한
617,fleißig::A,sedulus,근면한
618,geizig::A,avarus,인색한
619,klug::A,prudens,
620,geschickt::A,sollers,교묘한
621,lieb::A,carus,친애하는
622,lustig::A,iocosus,유쾌한
623,sanft::A,clemens,온화한
624,hungrig::A,impastus,배고픈
625,krank::A,aeger,병든
626,nackt::A,nudus,벌거벗은
627,traurig::A,maestus,슬픈
628,lebendig::A,vivus,살아있는
629,gut::A,bonus,좋은
630,schlecht::A,malus,나쁜
631,richtig::A,rectus,바른
632,schlimm::A,malus,못된
633,wahr::A,verus,참된
634,alt::A,antiquus,늙은
635,neu::A,novus,새
636,ehemalig::A,pristinus,전의
637,alt[Lebewesen]::A,vetus,낡은
638,jung::A,iuvenis,젊은
639,arm::A,pauper,가난한
640,reich::A,dives,풍부한
641,bekannt::A,notus,저명한
642,berühmt::A,celeber,유명한
643,berühmt::A,illustris,유명한
644,fremd::A,peregrinus,타처이
645,verschieden::A,varius,따른
646,nah::A,propinquus,가까운
647,fern::A,longinquus,먼
648,linker::A,sinister,왼쭉의
649,rechter::A,dexter,오른쪽의
650,anderer::A,alius,다른
651,erster::A,primus,첫째
652,zweiter::A,secundus,둘째
653,dritter::A,tertius,셋째
654,letzter::A,ultimus,의후자의
655,allein::ADV,solum,훌로
656,auf einmal::ADV,simul,갑자기
657,zusammen::ADV,una,모아서
658,lange::ADV,diu,오래
659,plötzlich::ADV,subito,둘연한
660,plötzlich::ADV,repente,둘연한
661,sofort::ADV,statim,즉시
662,später::ADV,postea,보다늦은
663,jetzt::ADV,nunc,목하
664,heute::ADV,hodie,오늘
665,morgen::ADV,cras,내일
666,bald::ADV,mox,곱
667,dann::ADV,deinde,그경우에
668,gestern::ADV,heri,어제
669,einst::ADV,olim,옛날에
670,damals::ADV,tum,그때에
671,danach::ADV,postea,그 뒤에
672,vorher::ADV,antea,미리
673,zuerst::ADV,primo,최초로
674,einmal::ADV,semel,한번
675,manchmal::ADV,interdum,땓대로
676,oft::ADV,saepe,땓대로
677,immer::ADV,semper,늘
678,niemals::ADV,numquam,결코...(하지)않다
679,hier::ADV,hic,여기
680,hierhin::ADV,huc,여기로
681,von hier::ADV,hinc,
682,dort::ADV,ibi,거기
683,dorthin::ADV,eo,저기예
684,geradeaus::ADV,recte,곧장
685,vorwärts::ADV,porro,앞으로
686,rückwärts::ADV,retro,뒤로
687,zurück::ADV,retro,제자리로
688,unten::ADV,infra,아래에
689,hinab::ADV,pessum,아래쪽으로
690,oben::ADV,supra,위에
691,hinauf::ADV,sursum,위쪽으로
692,überall::ADV,ubique,도처에
693,nicht::ADV,non,안
694,ein wenig::ADV,paulum,적음
695,kaum::ADV,vix,가의
696,kaum::ADV,aegre,가의
697,sehr::ADV,valde,자주
698,sehr::ADV,magnopere,자주
699,so::ADV,ita,그와같이
700,noch::ADV,etiam,아직
701,nur::ADV,solum,다만
702,nur::ADV,tantum,다만
703,schon::ADV,iam,이미
704,wieder::ADV,rursus,다시
705,vergebens::ADV,frustra,헛되이
706,vor::PRP,ante,앞에
707,hinter::PRP,post,뒤에
708,unter::PRP,sub,잍에
709,durch::PRP,per,통고하여
710,neben::PRP,iuxta,와나란히
711,zwischen::PRP,inter,의사이로
712,wegen::PRP,propter,때문에
713,dies::PRN,hoc,이
714,das::PRN,id,저
715,alles::PRN,omnia,모든것
716,ich::PRN,ego,나
717,du::PRN,tu,너
718,er::PRN,is,그
719,er::PRN,ille,그
720,wir::PRN,nos,우리
721,ihr::PRN,vos,너희들
722,sie::PRN,ii,그들
723,sie::PRN,illi,그들
724,was::FPRN,quid,뭣
725,wer::FPRN,quis,누구
726,wo::FADV,ubi,어디
727,wohin::FADV,quo,어디로
728,wie::FADV,quomodo,어떻게
729,warum::FADV,cur,왜
730,wieviel::FNUM,quantum,얼마만큰
731,eins::NUM,unus,하나
732,zwei::NUM,duo,둘
733,drei::NUM,tres,셋
734,vier::NUM,quattuor,넷
735,fünf::NUM,quinque,다섯
736,sechs::NUM,sex,여섯
737,sieben::NUM,septem,일곱
738,acht::NUM,octo,여덟
739,neun::NUM,novem,아홉
740,zehn::NUM,decem,열
741,elf::NUM,undecim,열하나
742,zwölf::NUM,duodecim,열둘
743,zwanzig::NUM,viginti,스물
744,dreißig::NUM,triginta,서름
745,vierzig::NUM,quadraginta,마흔
746,fünfzig::NUM,quinquaginta,숸
747,sechzig::NUM,sexaginta,에순
748,siebzig::NUM,septuaginta,일흔
749,achtzig::NUM,octoginta,여든
750,neunzig::NUM,nonaginta,아흔
751,hundert::NUM,centum,백
752,tausend::NUM,mille,천
753,und::CNJ,et,와
754,und::CNJ,-que,와
755,oder::CNJ,vel,아니면
756,stehen::V,stare,서다
757,sitzen::V,sedere,앉다
758,liegen::V,iacere,눕다
759,hängen::V,pendere,달다
760,werden::V,fieri,되다
761,passieren::V,accidere,지장옶다
762,beginnen::V,incipere,시작되다
763,enden::V,finem habere,큳내다
764,wechseln::V,mutari,병경하다
765,aufgehen[Sonne]::V,oriri,뜨다
766,untergehen[Sonne]::V,occidere,지다
767,scheinen[Sonne]::V,lucere,빛나다
768,donnern::V,tonare,천둥치다
769,wehen::V,flare,풀다
770,strömen::V,fluere,흐르다
771,fließen::V,manare,흐르다
772,sich drehen::V,torqueri,돌다
773,schwanken::V,vacillare,동요하다
774,schwingen::V,vibrare,흔들다
775,fallen::V,cadere,떨어지다
776,brennen::V,ardere,타다
777,rauchen::V,fumare,김이나다
778,regnen::V,pluere,비가오다
779,gefrieren::V,congelari,얼다
780,tauen::V,rorare,녹다
781,schmelzen::V,liquescere,녹다
782,trocknen::V,arescere,홈치다
783,sieden::V,fervere,끓다
784,faulen::V,putescere,부패하다
785,verfaulen::V,putescere,썩다
786,reißen::V,scindi,지바찢다
787,versinken::V,mergi,가라앉다
788,vergehen::V,praeterire,지나가다
789,erscheinen::V,apparere,나타나다
790,verschwinden::V,discedere,사라지다
791,sinken::V,labi,가라앉다
792,abnehmen::V,deminui,떼어내다
793,zunehmen::V,augeri,증가하다
794,steigen::V,augescere,상승하다
795,wachsen::V,crescere,생기하다
796,glänzen::V,splendere,뛰오나다
797,funkeln::V,micare,불티가잍어나다
798,lärmen::V,strepere,떠들다
799,läuten::V,sonare,울시다
800,klingeln::V,tinnire,초닌총을울리다
801,klirren::V,crepare,탁탁울리다
802,brausen::V,saevire,쏴쏴소리내다
803,rauschen::V,crepare,솨솨
804,klingen::V,sonare,반향하다
805,bellen::V,latrare,짖다
806,heulen::V,ululare,포효하다
807,blasen::V,flare,불다
808,pfeifen::V,sibilare,피리를불다
809,schreien::V,clamare,절규하다
810,stöhnen::V,gemere,신음하다
811,zittern::V,tremere,저뉼하다
812,zittern::V,trepidare,저뉼하다
813,leben::V,vivere,살다
814,geboren werden::V,nasci,태어난
815,atmen::V,spirare,숨쉬다
816,trinken::V,bibere,마시다
817,essen::V,edere,먹다
818,schlucken::V,devorare,들이켜다
819,müde werden::V,fatigari,
820,einschlafen::V,obdormiscere,잠들다
821,schlafen::V,dormire,자다
822,aufwachen::V,expergisci,눈트다
823,aufstehen::V,exsurgere,서다
824,sich erholen::V,se reficere,회복하다
825,krank werden::V,aegrescere,
826,krank sein::V,aegrotare,
827,schmerzen::V,dolere,아프다
828,husten::V,tussire,잔기침하다
829,genesen::V,convalescere,낫다
830,sterben::V,mori,죽다
831,umkommen::V,perire,못쓰게되다
832,sich bewegen::V,se movere,움직이다
833,sich rühren::V,micare,움직이다
834,sich erheben::V,surgere,이러서다
835,sich setzen::V,considere,앉히다
836,hinfallen::V,cadere,넘어지다
837,laufen::V,vadere,걷다
838,schreiten::V,gradi,보행하다
839,spazierengehen::V,ambulare,산보하다
840,eilen::V,properare,서둘다
841,sich beeilen::V,festinare,서둘게하다
842,sausen::V,currere,서들러 떠나다
843,rennen::V,currere,달리다
844,springen::V,salire,도약하다
