,Concept_ID,fr,sv
211,Schwan::N,cygne,svan
212,Fisch::N,poisson,fisk
213,Barsch::N,perche,abborre
214,Hecht::N,brochet,gädda
215,Schlange[Tier]::N,serpent,orm
216,Wurm::N,ver,mask
217,Spinne::N,araignée,spindel
218,Ameise::N,fourmi,myra
219,Laus::N,pou,lus
220,Mücke::N,moucheron,mygga
221,Fliege::N,mouche,fluga
222,Schmetterling::N,papillon,fjäril
223,Beere::N,baie,bär
224,Apfel::N,pomme,äpple
225,Pilz::N,champignon,svamp
226,Zwiebel::N,oignon,lök
227,Saat::N,semence,sådd
228,Korn::N,grain,korn
229,Heu::N,foin,hö
230,Schale::N,pelure,skal
231,Grube::N,fosse,grop
232,Falle::N,piège,fälla
233,Schlinge::N,lacs,snara
234,Spur::N,trace,spår
235,Asche::N,cendre,aska
236,Dreck::N,crotte,lort
237,Eisen::N,fer,järn
238,Gold::N,or,guld
239,Silber::N,argent,silver
240,Kohle::N,charbon,kol
241,Glas::N,verre,glas
242,Lehm::N,glaise,lera
243,Sand::N,sable,sand
244,Mensch::N,homme,människa
245,Mann::N,homme,man
246,Frau::N,femme,kvinna
247,Kind::N,enfant,barn
248,Junge::N,garçon,pojke
249,Mädchen::N,fille,flicka
250,Mädchen::N,jeune fille,flicka
251,Familie::N,famille,familj
252,Großvater::N,grand-père,morfar
253,Großmutter::N,grand-mère,farmor
254,Eltern::N,parents,föräldrar
255,Vater::N,père,far
256,Mutter::N,mère,mor
257,Sohn::N,fils,son
258,Tochter::N,fille,dotter
259,Bruder::N,frère,bror
260,Schwester::N,sœur,syster
261,Onkel::N,oncle,morbror
262,Tante::N,tante,tant
263,Ehemann::N,mari,äkta man
264,Ehemann::N,époux,äkta man
265,Ehefrau::N,femme,hustru
266,Ehefrau::N,épouse,hustru
267,Freude::N,joie,fröjd
268,Freude::N,joie,glädje
269,Freude::N,plaisir,fröjd
270,Freude::N,plaisir,glädje
271,Gelächter::N,rires,åtlöje
272,Glück::N,bonheur,lycka
273,Kummer::N,peine,sorg
274,Kummer::N,chagrin,sorg
275,Wunsch::N,désir,önskan
276,Lust::N,envie,lust
277,Geist::N,esprit,ande
278,Gedanke::N,idée,tanke
279,Gedanke::N,pensée,tanke
280,Gedächtnis::N,mémoire,minne
281,Verstand::N,raison,förstånd
282,Sinn::N,sens,mening
283,Sinn::N,sens,betydelse
284,Grund::N,cause,skäl
285,Grund::N,cause,grund
286,Grund::N,raison,skäl
287,Grund::N,raison,grund
288,Wahrheit::N,vérité,sanning
289,Gespräch::N,conversation,samtal
290,Märchen::N,conte,saga
291,Märchen::N,conte de fées,saga
292,Erzählung::N,conte,berättelse
293,Erzählung::N,narration,berättelse
294,Nachricht::N,message,meddelande
295,Neuigkeit::N,nouvelle,nyhet
296,Name::N,nom,namn
297,Rätsel::N,énigme,gåta
298,Rätsel::N,devinette,gåta
299,Rede::N,parole,tal
300,Rede::N,discours,tal
301,Sprache::N,langue,språk
302,Sprache::N,langage,språk
303,Stimme::N,voix,stämma
304,Wort::N,mot,ord
305,Zeichen::N,signe,tecken
306,Ruf::N,cri,rop
307,Ruf::N,appel,rop
308,Lärm::N,bruit,bråk
309,Lärm::N,bruit,oväsen
310,Laut::N,son,ljud
311,Ton::N,ton,ton
312,Lied::N,chant,sång
313,Lied::N,chanson,sång
314,Ruhe::N,calme,ro
315,Ruhe::N,calme,lugn
316,Ruhe::N,tranquillité,ro
317,Ruhe::N,tranquillité,lugn
318,Leute::N,gens,folk
319,Volk::N,peuple,folk
320,Arbeit::N,travail,arbete
321,Gast::N,hôte,gäst
322,Gast::N,invité,gäst
323,Geschenk::N,cadeau,gåva
324,Geschenk::N,cadeau,present
325,Geschenk::N,présent,gåva
326,Geschenk::N,présent,present
327,Spiel::N,jeu,lek
328,Spiel::N,jeu,spel
329,Gesellschaft::N,compagnie,sällskap
330,Hilfe::N,aide,hjälp
331,Hilfe::N,secours,hjälp
332,Freund::N,ami,vän
333,Kamerad::N,copain,kamrat
334,Kamerad::N,camarade,kamrat
335,Angelegenheit::N,affaire,ärende
336,Angelegenheit::N,affaire,angelägenhet
337,Anzahl::N,nombre,antal
338,Art::N,sorte,art
339,Art::N,sorte,slag
340,Art::N,espèce,art
341,Art::N,espèce,slag
342,Stück::N,morceau,stycke
343,Teil::N,part,del
344,Teil::N,partie,del
345,Hälfte::N,moitié,halva
346,Kreis::N,cercle,krets
347,Kreis::N,cercle,cirkel
348,Kreuz::N,croix,kors
349,Kreuz::N,croix,kryss
350,Linie::N,ligne,linje
351,Strich::N,trait,streck
352,Abstand::N,écart,avstånd
353,Entfernung::N,distance,avstånd
354,Gegend::N,région,trakt
355,Gegend::N,contrée,trakt
356,Platz::N,place,plats
357,Ort::N,lieu,plats
358,Ort::N,lieu,ställe
359,Ort::N,endroit,plats
360,Ort::N,endroit,ställe
361,Seite::N,côté,sida
362,Mitte::N,milieu,mitt
363,Gegenstand::N,objet,föremål
364,Sache::N,chose,sak
365,Rand::N,bord,rand
366,Kante::N,arête,kant
367,Ecke::N,coin,vrå
368,Ecke::N,coin,hörn
369,Ecke::N,tournant,vrå
370,Ecke::N,tournant,hörn
371,Spitze::N,cime,spets
372,Spitze::N,pointe,spets
373,Ende::N,bout,ända
374,Loch::N,trou,hål
375,Winkel::N,coin,vinkel
376,Winkel::N,réduit,vinkel
377,Muster::N,dessin,mönster
378,Größe::N,grandeur,storlek
379,Länge::N,longueur,längd
380,Höhe::N,hauteur,höjd
381,Höhe::N,altitude,höjd
382,Gewicht::N,poids,tyngd
383,Menge::N,quantité,mängd
384,Haufen::N,tas,hög
385,Reihe::N,file,rad
386,Reihe::N,rangée,rad
387,Boot::N,canot,båt
388,Boot::N,bateau,båt
389,Ruder::N,rame,åra
390,Ruder::N,aviron,åra
391,Schlitten::N,traîneau,släde
392,Ski::N,ski,skida
393,Lagerfeuer::N,feu de camp,lägereld
394,Last::N,charge,last
395,Last::N,charge,börda
396,Last::N,fardeau,last
397,Last::N,fardeau,börda
398,Gang::N,tour,gång
399,Gang::N,marche,gång
400,Schritt::N,pas,steg
401,Norden::N,nord,norr
402,Süden::N,sud,söder
403,Westen::N,ouest,väster
404,Westen::N,occident,väster
405,Osten::N,est,öster
406,Osten::N,orient,öster
407,Holz::N,bois,trä
408,Brett::N,planche,bräda
409,Platte::N,plaque,platta
410,Stütze::N,appui,stöd
411,Stütze::N,appui,stötta
412,Stütze::N,soutien,stöd
413,Stütze::N,soutien,stötta
414,Stange::N,barre,stång
415,Stange::N,perche,stång
