,Concept_ID,cv,te
400,Essen::N,апат,ఆహారము
401,Nahrung::N,апат-ҫимӗс,ఆహారము
402,Speise::N,апат,ఆహారము
403,Speise::N,ҫимӗҫ,ఆహారము
404,Fleisch::N,аш,మాంసము
405,Fleisch::N,какай,మాంసము
406,Getreide::N,тырӑ,ధాన్యము
407,Brei::N,пӑтӑ,గుజ్జు
408,Brot::N,ҫӑкӑр,రొట్టె
409,Scheibe::N,чӗлӗ,బద్ద
410,Scheibe::N,касӑк,బద్ద
411,Fett::N,ҫу,క్రొవ్వు
412,Butter::N,ҫу,వెన్న
413,Öl::N,ҫу,నూనె
414,Salz::N,тӑвар,ఉప్పు
415,Suppe::N,яшка,చారు
416,Honig::N,пыл,తెనె
417,Milch::N,сӗт,పాలు
418,Tee::N,чей,తేనీరు
419,Leder::N,сӑран,బాగుచేసివతోలు
420,Wolle::N,ҫӑм,ఉన్ని
421,Stoff::N,тӗртӗм,బట్ట
422,Nadel::N,йӗп,సూది
423,Faden::N,ҫип,దారము
424,Knopf::N,тӳме,బొత్తాము
425,Knoten::N,йӑлӑ,ముడి
426,Farbe::N,сӑрӑ,రంగు
427,Kleidung::N,тум,బట్టలు
428,Kleidung::N,ҫипуҫ,బట్టలు
429,Kleidung::N,тум-тир,బట్టలు
430,Hemd::N,кӗпе,చొక్కాయ
431,Kragen::N,ҫуха,మాల
432,Ärmel::N,ҫанӑ,చొక్కాయచెయ్యి
433,Hose::N,шӑлавар,ఇజారు
434,Gürtel::N,пиҫиххи,పటకా
435,Mütze::N,ҫӗлӗк,టోపి
436,Schuh::N,пушмак,పాదరక్ష
437,Schuh::N,ботинок,పాదరక్ష
438,Stiefel::N,атӑ,బూటు
439,Ring::N,ҫӗрӗ,ఉంగరము
440,Band::N,хаю,నాడా
441,Band::N,йӗсме,నాడా
442,Kamm::N,тура,దువ్వెన
443,Spiegel::N,тӗкӗр,అద్దము
444,Spiegel::N,куҫ кӗски,అద్దము
445,Riemen::N,чӗн,వాడా
446,Schnur::N,кантра,దారము
447,Leine::N,касмӑк,వారు
448,Decke::N,утиял,కంబళి
449,Kissen::N,ҫытар,తలగడ
450,Kissen::N,минтер,తలగడ
451,Tuch::N,тутӑр,బట్ట
452,Handtuch::N,ал шӑлли,తువాలు
453,Kraft::N,вӑй,బలము
454,Kraft::N,хӑват,బలము
455,Stärke::N,хал,శక్తి
456,Stärke::N,хӑват,శక్తి
457,Gesundheit::N,хал,ఆరోగ్యము
458,Gesundheit::N,сывлӑх,ఆరోగ్యము
459,Krankheit::N,чир,రోగము
460,Schmerz::N,ырату,నొప్పి
461,Wunde::N,суран,గాయము
462,Fieber::N,сив чир,జ్వరము
463,Arznei::N,эмел,మందు
464,Brücke::N,кӗпер,వంతెన
465,Brunnen::N,ҫӑл,బావి
466,Brunnen::N,ҫӑл,కూపము
467,Brunnen::N,ҫӑл,నుయ్యి
468,Brunnen::N,пусӑ,బావి
469,Brunnen::N,пусӑ,కూపము
470,Brunnen::N,пусӑ,నుయ్యి
471,Weide::N,ҫаран,పచ్చికబయలు
472,Pfad::N,йӗр,కాలిత్రోవ
473,Pfad::N,сукмак,కాలిత్రోవ
474,Weg::N,ҫул,మార్గము
475,Weg::N,ҫул-йӗр,మార్గము
476,Straße::N,ҫӳрев,బాట
477,Straße::N,ҫул ҫӳрени,బాట
478,Dorf::N,ял,గ్రామము
479,Stadt::N,хула,పట్టణము
480,Brief::N,ҫыру,జాబు
481,Buch::N,кӗнеке,పుస్తకము
482,Buchstabe::N,сас палли,అక్షరము
483,Zeitung::N,хаҫат,వార్తాపత్రిక
484,Leben::N,пурнӑҫ,ప్రాణము
485,Tod::N,вилӗм,మరణము
486,Grab::N,масар шӑтӑкӗ,సమాధి
487,Kirche::N,чиркӳ,క్రెస్తవులగుడి
488,Sünde::N,ҫылӑх,పాపము
489,Gott::N,турӑ,దేవుడు
490,Arbeiter::N,рабочи,పనిపాటుచేశేవాడు
491,Chef::N,пуҫлӑх,యజమానుడు
492,Meister::N,ӑста,కళాకారుడు
493,Meister::N,мастер,కళాకారుడు
494,Arzt::N,врач,వైద్యుడు
495,Arzt::N,тухтӑр,వైద్యుడు
496,Lehrer::N,учитель,ఉపాధ్యాయుడు
497,Lehrer::N,вӗрентекен,ఉపాధ్యాయుడు
498,Geld::N,укҫа,ద్రవ్యము
499,Geschäft::N,бизнес,వ్యాపారము
500,Laden::N,магазин,అంగడి
501,Preis::N,хак,వెల
502,Ware::N,тавар,సరకులు
503,Nutzen::N,пайта,ప్రయోజనము
504,Reichtum::N,мул,ధనము
