,Concept_ID,da,br
128,Fell::N,skind,kreoñ
129,Flügel::N,vinge,askell
130,Klaue::N,klov,skilf
131,Kralle::N,klo,skilf
132,Schwanz::N,hale,lost
133,Ei::N,æg,vi
134,Nest::N,rede,neizh
135,Bau::N,bo,douarenn
136,Tier::N,dyr,loen
137,Herde::N,flok,tropell
138,Kuh::N,ko,buoc'h
139,Bulle::N,tyr,tarv
140,Pferd::N,hest,marc'h
141,Schaf::N,får,dañvad
142,Schwein::N,gris,pemoc'h
143,Hund::N,hund,ki
144,Katze::N,kat,kazh
145,Bär::N,bjørn,arzh
146,Eichhörnchen::N,egern,gwiñver
147,Elch::N,elg,karv-dour
148,Fuchs::N,ræv,louarn
149,Hase::N,hare,gad
150,Maus::N,mus,logodenn
151,Wolf::N,ulv,bleiz
152,Vogel::N,fugl,labous
153,Schwarm::N,sværm,nijad
154,Huhn::N,høne,yar
155,Hahn::N,hane,kilhog
156,Gans::N,gås,gwazenn
157,Adler::N,ørn,erer
158,Ente::N,and,houad
159,Eule::N,ugle,toud
160,Kranich::N,trane,garan
161,Krähe::N,krage,bran
162,Kuckuck::N,gøg,koukoug
163,Schwan::N,svane,alarc'h
164,Fisch::N,fisk,pesk
165,Barsch::N,aborre,brell
166,Hecht::N,gedde,beked
167,Schlange[Tier]::N,slange,naer
168,Wurm::N,orm,preñv
169,Spinne::N,edderkop,kevnidenn
170,Ameise::N,myre,merion
171,Laus::N,lus,laouenn
172,Mücke::N,myg,moustik
173,Fliege::N,flue,kelienenn
174,Schmetterling::N,sommerfugl,balafenn
175,Beere::N,bær,hog
176,Apfel::N,æble,aval
177,Pilz::N,svamp,kabell-touseg
178,Zwiebel::N,løg,ognonenn
179,Saat::N,sæd,had
180,Korn::N,korn,ed
181,Heu::N,hø,foenn
182,Schale::N,skræl,peliadur
183,Grube::N,grav,
184,Falle::N,fælde,pech
185,Schlinge::N,snare,krouglas
186,Spur::N,spor,
187,Asche::N,aske,ludu
188,Dreck::N,snavs,fank
189,Eisen::N,jern,houarn
190,Gold::N,guld,aour
191,Silber::N,sølv,arc'hant
192,Kohle::N,kul,glaou
193,Glas::N,glas,gwer
194,Lehm::N,ler,
195,Sand::N,sand,traezh
196,Mensch::N,mennesge,den
197,Mann::N,mand,den
198,Frau::N,kvinde,maouez
199,Kind::N,barn,bugel
200,Junge::N,dreng,paotr
201,Mädchen::N,pige,plac'h
202,Familie::N,familie,familh
203,Großvater::N,bedstefar,tad-kozh
204,Großmutter::N,bedstemor,mamm-gozh
205,Eltern::N,forældre,kerent
206,Vater::N,far,tad
207,Mutter::N,mor,mamm
208,Sohn::N,søn,mab
209,Tochter::N,datter,merc'h
210,Bruder::N,bror,breur
211,Schwester::N,søster,c'hoar
212,Onkel::N,onkel,eontr
213,Tante::N,tante,moereb
214,Ehemann::N,ægtemand,gwaz
215,Ehefrau::N,hustru,gwreg
216,Freude::N,glæde,levenez
217,Gelächter::N,latter,c'hoarzherezh
218,Glück::N,lykke,chañs
219,Kummer::N,sorg,doan
220,Wunsch::N,ønske,c'hoant
221,Lust::N,lyst,c'hoant
222,Geist::N,ånd,spered
223,Gedanke::N,tanke,soñj
224,Gedächtnis::N,hukommelse,eñvor
225,Verstand::N,forstand,skiant
226,Sinn::N,mening,ster
227,Sinn::N,betydning,ster
228,Grund::N,grund,kaoz
229,Wahrheit::N,sandhed,gwirionez
230,Gespräch::N,samtale,kaozeadenn
231,Märchen::N,eventyr,kaoz korriganez
232,Erzählung::N,fortælling,kontadenn
233,Nachricht::N,efterretning,keloù
234,Neuigkeit::N,nyhed,kelaouenn
235,Name::N,navn,anv
236,Rätsel::N,gåde,divinatez
237,Rede::N,tale,diskour
238,Sprache::N,sprog,yezh
239,Stimme::N,stemme,mouezh
240,Wort::N,ord,ger
241,Zeichen::N,tegn,sin
242,Ruf::N,råb,galv
243,Lärm::N,larm,trouz
244,Laut::N,lyd,
245,Ton::N,tone,ton
246,Lied::N,sang,kanaouenn
247,Ruhe::N,ro,sioulded
248,Ruhe::N,hvile,sioulded
249,Leute::N,folk,tud
250,Leute::N,mennesker,tud
251,Volk::N,folk,pobl
252,Arbeit::N,arbejde,labour
253,Gast::N,gæst,kouviad
254,Geschenk::N,gave,prof
255,Spiel::N,leg,c'hoari
256,Gesellschaft::N,selskab,kompagnunezh
257,Gesellschaft::N,selskab,kavandad
258,Hilfe::N,hjælp,sikour
259,Freund::N,ven,mignon
260,Kamerad::N,kammerat,kamarad
261,Angelegenheit::N,sag,afer
262,Angelegenheit::N,anliggende,afer
263,Anzahl::N,antal,niver
264,Art::N,art,sort
265,Stück::N,stykke,tamm
266,Teil::N,del,pezh
267,Hälfte::N,halvdel,hanterenn
268,Kreis::N,cirkel,kelc'h
269,Kreuz::N,kors,kroaz
270,Kreuz::N,kryds,kroaz
271,Linie::N,linie,linenn
272,Strich::N,streg,tenn
273,Abstand::N,afstand,distok
274,Entfernung::N,afstand,keid
275,Entfernung::N,afstand,kehid
276,Gegend::N,egn,korn-bro
277,Platz::N,plads,plasenn
278,Ort::N,sted,lec'h
279,Seite::N,side,tu
280,Mitte::N,midte,kreiz
281,Gegenstand::N,genstand,tra
282,Sache::N,sag,tra
283,Rand::N,rand,kantenn
284,Kante::N,kant,kantenn
285,Ecke::N,hjørne,korn
286,Spitze::N,spids,begell
287,Ende::N,ende,dibenn
288,Loch::N,hul,toull
289,Winkel::N,vinkel,
290,Muster::N,mønster,tresadenn
291,Größe::N,størrelse,ment
292,Länge::N,længde,hirder
293,Höhe::N,højde,uhelder
294,Gewicht::N,vægt,pouez
295,Menge::N,mængde,bern
296,Haufen::N,bunke,bern
297,Reihe::N,række,steud
298,Boot::N,båd,bag
299,Ruder::N,åre,roeñv
300,Schlitten::N,kælk,trainell
301,Schlitten::N,slæde,trainell
302,Ski::N,ski,ski
303,Lagerfeuer::N,lejrbål,
304,Last::N,last,karg
305,Last::N,byrde,karg
306,Gang::N,gang,kerzh
307,Schritt::N,skridt,paz
308,Norden::N,nord,norzh
309,Norden::N,nord,hanternoz
310,Süden::N,syd,su
311,Süden::N,syd,kreisteiz
312,Westen::N,vest,kuzh-heol
313,Osten::N,øst,reter
314,Osten::N,øst,sav-heol
315,Holz::N,træ,koad
316,Brett::N,bræt,plankenn
317,Platte::N,plade,plakenn
318,Stütze::N,støtte,harp
319,Stange::N,stang,sparl
320,Stock::N,stok,bazh
321,Stab::N,stav,bazh
322,Rohr::N,rør,tub
323,Rohr::N,rør,korz
324,Haus::N,hus,ti
325,Heim::N,hjem,kêr
326,Ofen::N,ovn,forn
327,Fußboden::N,gulv,plañchod
328,Tisch::N,bord,taol
329,Stuhl::N,stol,kador
330,Wiege::N,vugge,kavell
331,Bett::N,seng,gwele
332,Regal::N,reol,estajerenn
333,Kiste::N,kasse,kased
334,Fenster::N,vindue,prenestr
335,Tür::N,dør,dor
336,Tor::N,port,portal
337,Zaun::N,stakit,sklotur
338,Dach::N,tag,toenn
339,Leiter::N,stige,skeul
340,Besen::N,kost,skubell
341,Spaten::N,spade,pal
342,Schaufel::N,skovl,pal
343,Gabel::N,gaffel,fourchetez
344,Löffel::N,ske,loa
345,Messer::N,kniv,kontell
346,Nagel::N,søm,tach
347,Netz::N,net,roued
348,Haken::N,krog,krog
349,Griff::N,tag,kemer
350,Griff::N,håndtag,kemer
351,Schloss::N,lås,potenn
352,Bild::N,billede,skeudenn
353,Figur::N,figur,skeud
354,Figur::N,figur,figur
355,Puppe::N,dukke,merc'hodenn
356,Beutel::N,pose,sac'h
357,Bündel::N,bylt,feskenn
358,Bündel::N,bundt,feskenn
359,Tasche::N,taske,sac'h
360,Eimer::N,spand,sailh
361,Deckel::N,låg,pallenn
362,Geschirr::N,husgeråd,listriaj
363,Sack::N,sæk,sac'h
364,Tasse::N,kop,tas
365,Topf::N,gryde,pod
366,Kessel::N,kedel,chaodouron
367,Essen::N,måltid,pred
368,Nahrung::N,mad,boued
369,Nahrung::N,næring,boued
370,Speise::N,ret,meuz
371,Fleisch::N,kød,kig
372,Getreide::N,korn,ed
373,Brei::N,grød,yod
374,Brot::N,brød,bara
375,Scheibe::N,skive,tailhenn
376,Fett::N,fedt,lard
377,Butter::N,smør,amann
378,Öl::N,olie,eoul
379,Salz::N,salt,holen
380,Suppe::N,suppe,soubenn
381,Honig::N,honning,mel
382,Milch::N,mælk,laezh
383,Tee::N,te,te
384,Leder::N,skind,lêr
385,Wolle::N,uld,gloan
386,Stoff::N,stof,danvez
387,Nadel::N,nål,nadoz
388,Faden::N,tråd,neudenn
389,Knopf::N,knap,bouton
390,Knoten::N,knude,skoulm
391,Farbe::N,farve,liv
392,Kleidung::N,påklædning,dilhad
393,Hemd::N,skjorte,roc'hed
394,Kragen::N,krave,gouzoug
395,Ärmel::N,ærme,milgin
396,Hose::N,bukser,bragoù
397,Gürtel::N,bælte,gouriz
398,Mütze::N,hue,boned
399,Schuh::N,sko,botez
400,Stiefel::N,støvle,botez
401,Ring::N,ring,gwalenn
402,Band::N,bånd,bagad
403,Kamm::N,kam,krib
404,Spiegel::N,spejl,melezour
405,Riemen::N,rem,lerenn
406,Schnur::N,snor,kordenn
407,Leine::N,snor,roll
408,Decke::N,tæppe,golo
409,Kissen::N,pude,goubenner
410,Tuch::N,sjaltørklæde,mezher
411,Handtuch::N,håndklæde,toailhon
412,Kraft::N,kraft,nerzh
413,Stärke::N,styrke,nerzhder
414,Gesundheit::N,sundhed,yec'hed
415,Krankheit::N,sygdom,klañved
416,Schmerz::N,smerte,poan
417,Schmerz::N,smerte,droug
418,Wunde::N,sår,gloazadenn
419,Fieber::N,feber,terzhienn
420,Arznei::N,medicin,louzoù
421,Arznei::N,lægemiddel,louzoù
422,Brücke::N,bro,pont
423,Brunnen::N,brønd,puñs
424,Weide::N,græsgang,prad
425,Pfad::N,sti,gwenodenn
426,Weg::N,vej,hent
427,Straße::N,gade,ru
428,Straße::N,gade,hent
429,Dorf::N,landsby,kêr
430,Dorf::N,landsby,kêriadenn
431,Stadt::N,by,kêr
432,Brief::N,brev,lizher
433,Buch::N,bog,levr
434,Buchstabe::N,bogstav,lizherenn
435,Zeitung::N,avis,kazetenn
436,Leben::N,liv,buhez
437,Tod::N,død,marv
438,Grab::N,grav,bez
439,Kirche::N,kirke,iliz
440,Sünde::N,synd,pec'hed
441,Gott::N,gud,doue
442,Arbeiter::N,arbejder,labourer
443,Arbeiter::N,arbejder,micherour
444,Chef::N,chef,penn
445,Meister::N,mester,mestr
446,Arzt::N,læge,mezeg
447,Arzt::N,læge,medisin
448,Lehrer::N,lærer,skolaer
449,Lehrer::N,lærer,kelenner
450,Geld::N,penge,arc'hant
451,Geschäft::N,forretning,stal
452,Laden::N,butik,stal
453,Laden::N,forretning,stal
454,Preis::N,pris,priz
455,Ware::N,vare,marc'hadourezh
456,Nutzen::N,nytte,gounidegezh
457,Nutzen::N,nytte,lañs
458,Nutzen::N,nytte,profit
459,Nutzen::N,nytte,spleit
460,Reichtum::N,rigdom,pinvidigezh
461,Welt::N,verden,douar
462,Land::N,land,bro
463,Staat::N,stat,stad
464,König::N,konge,roue
465,Macht::N,magt,galloud
466,Grenze::N,grænse,harzoù
467,Krieg::N,krig,brezel
468,Feind::N,fjende,eneber
469,Gewalt::N,vold,tâerder
470,Kampf::N,kamp,kann
471,Bogen[Waffe]::N,bue,gwareg
472,Pfeil::N,pil,saezh
473,Gewehr::N,gevær,fuzuilh
474,Fehler::N,fejl,fazi
475,Lüge::N,løgn,gaou
476,Schaden::N,skade,gwall
477,Unglück::N,uheld,gwalleur
478,Unglück::N,ulykke,gwalleur
479,Schuld::N,skyld,kablusted
480,Schuld::N,skyld,pec'hedigezh
481,Alter::N,alder,oad
482,Schluss::N,slut,diwezh
483,Schluss::N,slutning,diwezh
484,Zeit::N,tid,amzer
485,Tag::N,dag,deizh
486,Morgen::N,morgen,beure
487,Morgen::N,morgen,mintin
488,Mittag::N,middag,kreisteiz
489,Abend::N,aften,abardaez
490,Nacht::N,nat,noz
491,Woche::N,uge,sizhun
492,Monat::N,måned,miz
493,Jahr::N,år,bloaz
494,Frühling::N,forår,nevezamzer
495,Sommer::N,sommer,hañv
496,Herbst::N,efterår,diskaramzer
497,Winter::N,vinter,goañv
498,Januar::N,januar,Genver
499,Februar::N,februar,C'hwevrer
500,März::N,marts,Meurzh
501,April::N,april,Ebrel
502,Mai::N,maj,Mae
503,Juni::N,juni,Mezheven
504,Juli::N,juli,Gouhere
505,August::N,august,Eost
506,September::N,september,Gwengolo
507,Oktober::N,oktober,Here
508,November::N,november,Du
509,Dezember::N,december,Kerzu
510,Montag::N,mandag,Lun
511,Dienstag::N,tirsdag,Meurzh
512,Mittwoch::N,onsdag,Merc'her
513,Donnerstag::N,torsdag,Yaou
514,Freitag::N,fredag,Gwener
515,Samstag::N,lørdag,Sadorn
516,Sonntag::N,søndag,Sul
517,groß::A,stor,bras
518,klein::A,lille,bihan
519,lang::A,lang,hir
520,kurz::A,kort,berr
521,breit::A,bred,ledan
522,schmal::A,smal,strizh
523,dicht::A,tæt,stank
524,dick[Gegenstand]::A,tyk,tev
525,dünn::A,tynd,moan
526,fein::A,fin,munut
527,fest::A,fast,start
528,flach::A,flad,plaen
529,glatt::A,glat,lintr
530,glatt::A,glat,levn
531,hart::A,hård,kalet
532,weich::A,blød,blot
533,rund::A,rund,ront
534,spitz::A,spids,poentet
535,scharf::A,skarp,dremm
536,stumpf::A,sløv,talsoc'h
537,stumpf::A,stump,talsoc'h
538,schwer::A,tung,pounner
539,schön::A,skøn,kaer
540,heiß::A,hed,tomm
541,warm::A,varm,tomm
542,kalt::A,kold,yen
543,kühl::A,kølig,yen
544,frisch::A,frisk,fresk
545,feucht::A,fugtig,gleb
546,nass::A,våd,gleb
547,trocken::A,tør,sec'h
548,voll::A,fuld,leun
549,leer::A,tom,goullo
550,offen::A,åben,digor
551,geschlossen::A,lukket,serr
552,sauber::A,ren,naet
553,schmutzig::A,snavset,lous
554,roh::A,rå,kriz
555,reif::A,moden,darev
556,lecker::A,lækker,lipous
557,lecker::A,lækker,saourus
558,süß::A,sød,dous
559,bitter::A,bitter,c'hwerv
560,sauer::A,sur,trenk
561,hell::A,lys,sklaer
562,dunkel::A,mørk,teñval
563,schwarz::A,sort,du
564,weiß::A,hvid,gwenn
565,rot::A,rød,ruz
566,gelb::A,gul,melen
567,blau::A,blå,glas
568,grün::A,grøn,gwer
569,grau::A,grå,louet
570,bunt::A,broget,liesliv
571,billig::A,billig,marc'had-mat
572,teuer::A,dyr,ker
573,wertvoll::A,værdifuld,prizius
574,blind::A,blind,dall
575,taub::A,døv,bouzar
576,kräftig::A,kraftig,start
577,stark::A,stærk,kreñv
578,schwach::A,svag,gwan
579,fett::A,fed,lard
580,schlank::A,slank,sinkl
581,hübsch::A,køn,koant
582,böse::A,ond,gwall
583,böse::A,slem,gwall
584,dumm::A,dum,glep
585,faul::A,doven,lezirek
586,fleißig::A,flittig,studius
587,geizig::A,gerrig,tost
588,klug::A,klog,speredek
589,geschickt::A,dygtig,dornet
590,geschickt::A,behændig,dornet
591,lieb::A,rar,koant
592,lustig::A,lystig,laouen
593,sanft::A,blid,flour
594,hungrig::A,sulten,marnaon
595,krank::A,syg,klañv
596,nackt::A,nøgen,noazh
597,traurig::A,bedrøvet,trist
598,lebendig::A,levende,bev
599,gut::A,god,mad
600,schlecht::A,dårlig,fall
601,schlecht::A,dårlig,gwall
602,richtig::A,rigtig,reizh
603,schlimm::A,slem,gwall
604,wahr::A,sand,gwir
605,alt::A,gammel,kozh
606,neu::A,ny,nevez
607,ehemalig::A,forhenværende,kozh
608,alt[Lebewesen]::A,gammel,kozh
609,jung::A,ung,yaouank
610,arm::A,fattig,paour
611,reich::A,rig,pinvidik
612,bekannt::A,kendt,anavezet
613,berühmt::A,berømt,brudet
614,fremd::A,fremmed,dizanav
615,verschieden::A,forskellig,disheñel
616,nah::A,nær,nes
617,fern::A,fjern,diabell
618,linker::A,venstre,kleiz
619,rechter::A,højre,dehoù
620,anderer::A,anden,all
621,erster::A,første,kentañ
622,zweiter::A,anden,eil
623,dritter::A,tredje,trede
624,letzter::A,sidste,diwezhañ
625,allein::ADV,alene,e-unan
626,auf einmal::ADV,på én gang,ar un dro
627,zusammen::ADV,sammen,asambles
628,lange::ADV,længe,pell
629,plötzlich::ADV,pludselig,en un taol
630,sofort::ADV,straks,diouzhtu
631,später::ADV,senere,diwezhatoc'h
632,jetzt::ADV,nu,bremañ
633,heute::ADV,i dag,hiziv
634,morgen::ADV,i morgen,arc'hoazh
635,bald::ADV,snart,hepdale
636,dann::ADV,så,a-c'houde
637,gestern::ADV,i går,dec'h
638,einst::ADV,engang,gwechall
639,damals::ADV,dengang,neuze
640,danach::ADV,derefter,goude
641,vorher::ADV,før,diagent
642,vorher::ADV,forud,diagent
643,zuerst::ADV,først,da gentañ
644,einmal::ADV,en gang,ur wech
645,manchmal::ADV,sommetider,a-wechoù
646,oft::ADV,ofte,alies
647,immer::ADV,altid,atav
648,immer::ADV,altid,bepred
649,niemals::ADV,aldrig,gwech ebet
650,hier::ADV,her,amañ
651,hierhin::ADV,hid,dre amañ
652,hierhin::ADV,herhen,dre amañ
653,von hier::ADV,herfra,alemañ
654,dort::ADV,der,aze
655,dort::ADV,der,ahont
656,dorthin::ADV,derhen,di
657,dorthin::ADV,derhen,aze
658,dorthin::ADV,derhen,ahont
659,geradeaus::ADV,lige ud,war-eeun
660,vorwärts::ADV,fremad,war-raok
661,rückwärts::ADV,baglæns,war-lerc'h
662,zurück::ADV,tilbage,war-dreñv
663,unten::ADV,nede,en traoñ
664,unten::ADV,forneden,en traoñ
665,hinab::ADV,ned,a-izel
666,hinab::ADV,nedad,a-izel
667,oben::ADV,oppe,en nec'h
668,oben::ADV,ovenpå,en nec'h
669,hinauf::ADV,op,e-krec'h
670,hinauf::ADV,opad,e-krec'h
671,überall::ADV,overalt,dre-holl
672,nicht::ADV,ikke,ne ... ket
673,ein wenig::ADV,lidt,un tammig
674,kaum::ADV,knap,a-boan
675,kaum::ADV,næppe,a-boan
676,sehr::ADV,meget,-tre
677,sehr::ADV,meget,-kenañ
678,so::ADV,så,evel-se
679,noch::ADV,endnu,c'hoazh
680,nur::ADV,kun,hepken
681,nur::ADV,bare,hepken
682,schon::ADV,alt,dija
683,schon::ADV,allerede,dija
684,wieder::ADV,igen,adarre
685,vergebens::ADV,forgæves,
686,vor::PRP,foran,dirak
687,vor::PRP,uden for,dirak
688,hinter::PRP,bag,a-drek
689,hinter::PRP,bag,a-dreñv
690,hinter::PRP,bagved,a-drek
691,hinter::PRP,bagved,a-dreñv
692,unter::PRP,under,dindan
693,durch::PRP,gennem,dre
694,durch::PRP,igennem,dre
695,neben::PRP,ved siden af,e-kichen
696,zwischen::PRP,mellem,etre
697,wegen::PRP,på grund af,abalamour da
698,dies::PRN,dette,hemañ
699,das::PRN,det,se
700,das::PRN,det,hennezh
701,alles::PRN,alt,pep tra
702,ich::PRN,jeg,me
703,du::PRN,du,te
704,er::PRN,han,eñ
705,wir::PRN,vi,ni
706,ihr::PRN,I,c'hwi
707,sie::PRN,de,int
708,was::FPRN,hvad,petra
709,wer::FPRN,hvem,piv
710,wo::FADV,hvor,pelec'h
711,wohin::FADV,hvorhen,da belec'h
712,wie::FADV,hvordan,penaos
713,warum::FADV,hvorfor,perak
714,wieviel::FNUM,hvor meget,pet
715,eins::NUM,én,unan
716,zwei::NUM,to,daou
717,drei::NUM,tre,tri
718,vier::NUM,fire,pevar
719,fünf::NUM,fem,pemp
720,sechs::NUM,seks,c'hwec'h
721,sieben::NUM,syv,seizh
722,acht::NUM,otte,eizh
723,neun::NUM,ni,nav
724,zehn::NUM,ti,dek
725,elf::NUM,elleve,unnek
726,zwölf::NUM,tolv,daouzek
727,zwanzig::NUM,tyve,ugent
728,dreißig::NUM,tredive,tregont
729,vierzig::NUM,fyrre,daou-ugent
730,vierzig::NUM,fyrretyve,daou-ugent
731,fünfzig::NUM,halvtreds,hanter-kant
732,sechzig::NUM,tres,tri-ugent
733,siebzig::NUM,halvfjerds,dek ha tri-ugent
734,achtzig::NUM,firs,pevar-ugent
735,neunzig::NUM,halvfems,dek ha pevar-ugent
736,hundert::NUM,hundrede,kant
737,tausend::NUM,tusind,mil
738,und::CNJ,og,ha
739,oder::CNJ,eller,pe
740,stehen::V,stå,bezañ a-sav
741,sitzen::V,sidde,azezañ
742,sitzen::V,sidde,bezañ en e goazez
743,liegen::V,ligge,bezañ en e c'hourvez
744,hängen::V,hænge,krougañ
745,werden::V,blive,dazonet
746,passieren::V,ske,c'hoarvezout
747,passieren::V,hænde,c'hoarvezout
748,beginnen::V,begynde,stagañ
749,enden::V,ende,achuiñ
750,wechseln::V,veksle,cheñch
751,aufgehen[Sonne]::V,gå op,dirouzañ
752,aufgehen[Sonne]::V,stå op,dirouzañ
753,untergehen[Sonne]::V,gå ned,
754,scheinen[Sonne]::V,skinne,lugernañ
755,donnern::V,tordne,taranal
756,wehen::V,blæse,c'hwezhañ
757,strömen::V,strømme,deredek
758,fließen::V,flyde,redek
759,sich drehen::V,dreje sig,troiñ
760,schwanken::V,vakle,trantellat
761,schwingen::V,svinge,froumal
762,fallen::V,falde,kouezhañ
763,brennen::V,brænde,deviñ
764,rauchen::V,ryge,divogedañ
765,regnen::V,regne,glavañ
766,gefrieren::V,fryse,reviñ
767,tauen::V,tø,diskornañ
768,schmelzen::V,smelte,teuziñ
769,trocknen::V,tørre,sec'hañ
770,sieden::V,koge,berviñ
771,faulen::V,rådne,breinañ
772,verfaulen::V,rådne,breinañ
773,reißen::V,briste,darnaouiñ
774,versinken::V,synke,sodellañ
775,versinken::V,synke ned,sodellañ
776,vergehen::V,forløbe,tremen
777,erscheinen::V,vise sig,donet war-wel
778,verschwinden::V,forsvinde,monet diwar wel
779,sinken::V,synke,en em izelat
780,abnehmen::V,aftage,nebeutaat
781,zunehmen::V,tiltage,kreskiñ
782,steigen::V,stige,sevel
783,wachsen::V,gro,kreskiñ
784,wachsen::V,vokse,kreskiñ
785,glänzen::V,glinse,lugernañ
786,funkeln::V,tindre,elieniñ
787,lärmen::V,larme,rabotat
788,läuten::V,ringe,
789,klingeln::V,ringe,
790,klirren::V,klirre,diridignat
791,klirren::V,klirre,sterlinkañ
792,brausen::V,bruse,gwegal
793,rauschen::V,suse,trouzal
794,klingen::V,lyde,seniñ
795,klingen::V,klinge,seniñ
796,bellen::V,gø,harzhal
797,heulen::V,hyle,yudal
798,blasen::V,blæse,c'hwezhañ
799,pfeifen::V,fløjte,c'hwitellat
800,schreien::V,skrige,huchal
801,stöhnen::V,stønne,hirvoudiñ
802,zittern::V,dirre,krenañ
803,zittern::V,skælve,krenañ
804,leben::V,leve,bevañ
805,geboren werden::V,fødes,genel
806,atmen::V,ånde,tennañ e anal
807,trinken::V,drikke,evañ
808,essen::V,spise,debriñ
809,schlucken::V,synke,lonkañ
810,müde werden::V,blive træt,skuizhañ
811,einschlafen::V,falde i søvn,menel kousket
812,schlafen::V,sove,kousket
813,aufwachen::V,vågne,dihuniñ
814,aufstehen::V,stå op,sevel
815,sich erholen::V,komme sig,diskuizhañ
816,krank werden::V,blive syg,klañviñ
817,krank sein::V,være syg,bezañ klañv
818,schmerzen::V,smerte,skourjezañ
819,husten::V,hoste,pasaat
820,husten::V,hoste,peudal
821,genesen::V,komme sig,pareañ
822,sterben::V,dø,mervel
823,umkommen::V,omkomme,perisañ
824,sich bewegen::V,bevæge sig,bouljal
825,sich rühren::V,røre på sig,fiñval
