,Concept_ID,fi,ba
82,Schatten::N,varjo,күләгә
83,Wetter::N,sää,һауа торошо
84,Nebel::N,sumu,төман
85,Wolke::N,pilvi,болот
86,Regen::N,sade,ямғыр
87,Schnee::N,lumi,ҡар
88,Eis::N,jää,боҙ
89,Frost::N,halla,һалҡын
90,Frost::N,pakkanen,һалҡын
91,Kälte::N,vilu,һыуыҡ
92,Kälte::N,kylmyys,һыуыҡ
93,Hitze::N,helle,томра
94,Hitze::N,helle,эҫелек
95,Hitze::N,kuumuus,томра
96,Hitze::N,kuumuus,эҫелек
97,Raureif::N,huurre,ҡырау
98,Regenbogen::N,sateenkaari,йәйғор
99,Donner::N,jyrinä,күк күкрәү
100,Strömung::N,virtaus,ағым
101,Tropfen::N,tippa,тамсы
102,Tropfen::N,pisara,тамсы
103,Schaum::N,vaahto,күбек
104,Schmutz::N,loka,батҡаҡ
105,See::N,järvi,күл
106,Sumpf::N,suo,һаҙлык
107,Moor::N,räme,һаҙ
108,Wiese::N,niitty,болон
109,Wald::N,metsä,урман
110,Hügel::N,mäki,түбә
111,Hügel::N,kumpu,түбә
112,Hügel::N,kukkula,түбә
113,Anhöhe::N,mäki,түбә
114,Anhöhe::N,mäki,ҡалҡыулыҡ
115,Anhöhe::N,kumpare,түбә
116,Anhöhe::N,kumpare,ҡалҡыулыҡ
117,Berg::N,mäki,тау
118,Berg::N,vuori,тау
119,Gipfel::N,laki,түбә
120,Gipfel::N,huippu,түбә
121,Höhle::N,luola,мәмерйә
122,Abhang::N,rinne,ипкен
123,Quelle::N,lähde,шишмә
124,Bach::N,puro,шишмә
125,Fluss::N,joki,йылға
126,Ufer::N,ranta,яр
127,Küste::N,rannikko,яр буйы
128,Festland::N,manner,ҡоро ер
129,Meer::N,meri,диңгез
130,Bucht::N,lahti,бухта
131,Insel::N,saari,үтрау
132,Blume::N,kukka,сәскә
133,Gras::N,ruoho,үлән
134,Wurzel::N,juuri,тамыр
135,Baum::N,puu,ағас
136,Stamm::N,runko,олон
137,Stamm::N,runko,көбәк
138,Rinde::N,kuori,ҡабыҡ
139,Rinde::N,parkki,ҡабыҡ
140,Ast::N,oksa,ботаҡ
141,Zweig::N,haara,ботаҡ
142,Zweig::N,haara,тармаҡ
143,Blatt::N,lehti,япраҡ
144,Birke::N,koivu,ҡайын
145,Kiefer[Baum]::N,mänty,ҡарғай
146,Kiefer[Baum]::N,petäjä,ҡарғай
147,Weide[Baum]::N,paju,тал
148,Tanne::N,kuusi,шыршы
149,Horn::N,sarvi,мөғөҙ
150,Feder::N,sulka,ҡауырһын
151,Feder::N,höyhen,ҡауырһын
152,Fell::N,talja,тире
153,Flügel::N,siipi,ҡанат
154,Klaue::N,kynsi,тырнаҡ
155,Kralle::N,kynsi,аяҡ
156,Schwanz::N,häntä,ҡойроҡ
157,Schwanz::N,pyrstö,ҡойроҡ
158,Ei::N,muna,йомортҡа
159,Nest::N,pesä,оя
160,Bau::N,pesä,оң
161,Tier::N,eläin,жайуан
162,Tier::N,eläin,йыртҡыс
163,Herde::N,lauma,көтөү
164,Kuh::N,lehmä,һыйыр
165,Bulle::N,sonni,үгеҙ
166,Pferd::N,hevonen,ат
167,Schaf::N,lammas,һарыҡ
168,Schwein::N,sika,сусҡа
169,Hund::N,koira,эт
170,Katze::N,kissa,бесәй
171,Bär::N,karhu,айыу
172,Eichhörnchen::N,orava,тейен
173,Elch::N,hirvi,мышы
174,Fuchs::N,kettu,төлкө
175,Hase::N,jänis,ҡуян
176,Maus::N,hiiri,сысҡан
177,Wolf::N,susi,бүре
178,Vogel::N,lintu,ҡош
179,Schwarm::N,parvi,көтөү
180,Huhn::N,kana,тауыҡ
181,Hahn::N,kukko,әтәс
182,Gans::N,hanhi,ҡаҙ
183,Adler::N,kotka,бөркөт
184,Ente::N,ankka,өйрәк
185,Eule::N,pöllö,өкө
186,Eule::N,pöllö,ябалаҡ
187,Kranich::N,kurki,торна
188,Krähe::N,varis,ҡарға
189,Kuckuck::N,käki,кәкүк
190,Schwan::N,joutsen,аҡҡош
191,Fisch::N,kala,балыҡ
192,Barsch::N,ahven,алабуға
193,Hecht::N,hauki,суртан
194,Schlange[Tier]::N,käärme,йылан
195,Wurm::N,mato,селяүсен
196,Spinne::N,hämähäkki,үрмәксе
197,Ameise::N,muurahainen,ҡырмыҫҡа
198,Laus::N,täi,бет
199,Mücke::N,sääski,серәкәй
200,Mücke::N,hyttynen,серәкәй
201,Fliege::N,kärpänen,себен
202,Schmetterling::N,perhonen,күбәләк
203,Beere::N,marja,еләк
204,Apfel::N,omena,алма
205,Pilz::N,sieni,бәшмәк
206,Zwiebel::N,sipuli,һуган
207,Saat::N,siemenet,орлоҡ
208,Korn::N,jyvä,иген
209,Korn::N,vilja,иген
210,Heu::N,heinä,бесән
211,Schale::N,kuori,ҡабыҡ
212,Grube::N,kuoppa,соҡор
213,Falle::N,loukku,тоҙак
214,Falle::N,loukku,ҡапҡан
215,Schlinge::N,ansa,тоҙак
216,Spur::N,jälki,әҫер
217,Asche::N,tuhka,көл
218,Dreck::N,lika,батҡаҡ
219,Eisen::N,rauta,тимер
220,Gold::N,kulta,алтын
221,Silber::N,hopea,көмөш
222,Kohle::N,hiili,күмер
223,Glas::N,lasi,быяла
224,Lehm::N,savi,балсыҡ
225,Sand::N,hiekka,ҡом
226,Mensch::N,ihminen,кеше
227,Mann::N,mies,ир
228,Frau::N,nainen,ҡатын
229,Kind::N,lapsi,бала
230,Junge::N,poika,малай
231,Mädchen::N,tyttö,ҡыҙ
232,Mädchen::N,tyttö,ҡыҙыҡай
233,Familie::N,perhe,ғаилә
234,Großvater::N,isoisä,олатай
235,Großmutter::N,isoäiti,әбәй
236,Eltern::N,vanhemmat,ата-әсә
237,Vater::N,isä,атай
238,Mutter::N,äiti,әсә
239,Sohn::N,poika,ул
240,Tochter::N,tytär,ҡыҙ
241,Bruder::N,veli,агай
242,Schwester::N,sisko,алай
243,Schwester::N,sisko,һеңле
244,Onkel::N,eno,ағай
245,Onkel::N,setä,ағай
246,Tante::N,täti,апай
247,Ehemann::N,mies,ир
248,Ehemann::N,aviomies,ир
249,Ehefrau::N,vaimo,ҡатын
250,Ehefrau::N,aviovaimo,ҡатын
251,Freude::N,ilo,шатлыҡ
252,Freude::N,ilo,ҡыуаныс
253,Freude::N,riemu,шатлыҡ
254,Freude::N,riemu,ҡыуаныс
255,Gelächter::N,nauru,көлөү
256,Glück::N,onni,бәхет
257,Kummer::N,suru,ҡайғы
258,Kummer::N,murhe,ҡайғы
259,Wunsch::N,toive,теләк
260,Wunsch::N,toivomus,теләк
261,Lust::N,himo,әүәҫлек
262,Geist::N,henki,аң
263,Geist::N,henki,рух
264,Gedanke::N,aate,уй
265,Gedanke::N,aate,фекер
266,Gedanke::N,ajatus,уй
267,Gedanke::N,ajatus,фекер
268,Gedächtnis::N,muisti,хәтер
269,Verstand::N,äly,аҡыл
270,Verstand::N,järki,аҡыл
271,Verstand::N,ymmärrys,аҡыл
272,Sinn::N,merkitys,мәғәня
273,Grund::N,syy,сәбәп
274,Grund::N,peruste,сәбәп
275,Wahrheit::N,tosi,дөрөҫлөк
276,Wahrheit::N,totuus,дөрөҫлөк
277,Gespräch::N,puhelu,әңгәмә
278,Gespräch::N,keskustelu,әңгәмә
279,Märchen::N,satu,әкиәт
280,Erzählung::N,tarina,хикәйә
281,Erzählung::N,kertomus,хикәйә
282,Nachricht::N,tieto,хәбәр
283,Nachricht::N,ilmoitus,хәбәр
284,Neuigkeit::N,uutinen,яңылыҡ
285,Name::N,nimi,исем
286,Rätsel::N,arvoitus,йомаҡ
287,Rede::N,puhe,телмәр
288,Sprache::N,kieli,тел
289,Sprache::N,kieli,телмәр
290,Stimme::N,ääni,тауыш
291,Wort::N,sana,һүҙ
292,Zeichen::N,merkki,билдә
293,Ruf::N,kutsu,саҡырыу
294,Lärm::N,melu,шаулау
295,Lärm::N,hälinä,шаулау
296,Laut::N,ääni,тауыш
297,Ton::N,sävel,яңғырау
298,Lied::N,laulu,йыр
299,Ruhe::N,lepo,ял
300,Ruhe::N,lepo,тыныслыҡ
301,Ruhe::N,rauha,ял
302,Ruhe::N,rauha,тыныслыҡ
303,Leute::N,väki,кешеләр
304,Leute::N,ihmiset,кешеләр
305,Volk::N,kansa,халҡ
306,Arbeit::N,työ,эш
307,Gast::N,vieras,ҡунаҡ
308,Geschenk::N,lahja,бүләк
309,Spiel::N,peli,уйын
310,Spiel::N,leikki,уйын
311,Gesellschaft::N,seura,йәмғиәт
312,Hilfe::N,apu,ярҙам
313,Freund::N,ystävä,дуҫ
314,Kamerad::N,toveri,иптәш
315,Angelegenheit::N,asia,әш
316,Anzahl::N,lukumäärä,һан
317,Art::N,laji,төр
318,Stück::N,pala,киҫәк
319,Stück::N,kappale,киҫәк
320,Teil::N,osa,өлөш
321,Hälfte::N,puoli,ярты
322,Kreis::N,ympyrä,түңәрәк
323,Kreuz::N,risti,тәре
324,Linie::N,viiva,һыҙыҡ
325,Strich::N,piirto,һыҙат
326,Abstand::N,väli,ара
327,Abstand::N,väljyys,ара
328,Entfernung::N,etäisyys,алыҫлыҡ
329,Gegend::N,seutu,урын
330,Platz::N,tila,арауыҡ
331,Ort::N,kohta,ерҙәр
332,Ort::N,kohta,урындар
333,Ort::N,kohta,эш урыны
334,Ort::N,paikka,ерҙәр
335,Ort::N,paikka,урындар
336,Ort::N,paikka,эш урыны
337,Seite::N,sivu,яҡ
338,Seite::N,kylki,яҡ
339,Mitte::N,keskus,урталыҡ
340,Mitte::N,puoliväli,урталыҡ
341,Gegenstand::N,kalu,нәмә
342,Gegenstand::N,esine,нәмә
343,Sache::N,asia,нәмә
344,Sache::N,asia,әйбер
345,Rand::N,ääri,сит
346,Rand::N,syrjä,сит
347,Kante::N,särmä,ҡабырға
348,Kante::N,särmä,ян
349,Ecke::N,nurkka,мөйөш
350,Spitze::N,terä,ос
351,Spitze::N,kärki,ос
352,Ende::N,pää,аҙаҡ
353,Ende::N,perä,аҙаҡ
354,Loch::N,kolo,тишек
355,Loch::N,reikä,тишек
356,Winkel::N,kulma,мөйөш
357,Muster::N,kuvio,биҙәк
358,Größe::N,koko,ҙурлыҡ
359,Größe::N,suuruus,ҙурлыҡ
360,Länge::N,pituus,оҙонлоҡ
361,Höhe::N,korkeus,бейеклек
362,Gewicht::N,paino,үлсәү
363,Menge::N,määrä,һан
364,Haufen::N,kasa,өйөм
365,Reihe::N,rivi,рәт
366,Boot::N,vene,кәмә
367,Ruder::N,airo,ишкәк
368,Schlitten::N,reki,сана
369,Schlitten::N,kelkka,сана
370,Ski::N,suksi,саңгы
371,Lagerfeuer::N,nuotio,костер
372,Last::N,kuorma,ауырлыҡ
373,Gang::N,kulku,барыу
374,Gang::N,käynti,барыу
375,Schritt::N,askel,аҙым
376,Norden::N,pohjoinen,төньяҡ
377,Süden::N,etelä,көньяҡ
378,Westen::N,länsi,көнбайыш
379,Osten::N,itä,көнсығыш
380,Holz::N,puu,үағас
381,Brett::N,lauta,таҡта
382,Platte::N,levy,плита
383,Stütze::N,noja,терәк
384,Stange::N,tanko,кәртә
385,Stock::N,keppi,таяҡ
386,Stab::N,sauva,ҡолға
387,Stab::N,seiväs,ҡолға
388,Rohr::N,putki,торба
389,Haus::N,talo,өй
390,Haus::N,talo,йорт
391,Heim::N,koti,өй
392,Ofen::N,uuni,мейес
393,Fußboden::N,lattia,енес
394,Tisch::N,pöytä,өҫтәл
395,Stuhl::N,tuoli,ултырғыс
396,Wiege::N,kehto,бишек
397,Bett::N,sänky,карауат
398,Regal::N,hylly,кәштә
399,Kiste::N,arkku,йәшинк
400,Kiste::N,kirstu,йәшинк
401,Kiste::N,laatikko,йәшинк
402,Fenster::N,ikkuna,тәҙрә
403,Tür::N,ovi,ишек
404,Tor::N,portti,ҡапҡа
405,Zaun::N,aita,ҡойма
406,Dach::N,katto,түбә
407,Dach::N,katto,ҡыйыҡ
408,Leiter::N,tikkaat,баҫҡыс
409,Leiter::N,tikapuut,баҫҡыс
410,Besen::N,luuta,һепертке
411,Spaten::N,lapio,көрәк
412,Schaufel::N,lapio,көрәк
413,Gabel::N,haarukka,сәнске
414,Löffel::N,lusikka,ҡалаҡ
415,Messer::N,veitsi,бысаҡ
416,Nagel::N,naula,сөй
417,Netz::N,verkko,ау
418,Haken::N,haka,ыргаҡ
419,Haken::N,koukku,ыргаҡ
420,Griff::N,ripa,тотҡа
421,Griff::N,kahva,тотҡа
422,Schloss::N,lukko,йоҙаҡ
423,Bild::N,kuva,картина
424,Figur::N,kuvio,һын
425,Puppe::N,nukke,ҡурсаҡ
426,Beutel::N,pussi,тоҡ
427,Bündel::N,nippu,төргәк
428,Bündel::N,kimppu,төргәк
429,Tasche::N,laukku,сумка
430,Eimer::N,sanko,биҙрә
431,Eimer::N,ämpäri,биҙрә
432,Deckel::N,kansi,ҡапҡас
433,Geschirr::N,astia,һауыт-һаба
434,Sack::N,säkki,тоҡ
435,Tasse::N,kuppi,сынаяҡ
436,Topf::N,pata,кәстрүл
437,Kessel::N,kattila,ҡаҙан
438,Essen::N,syönti,ашау
439,Nahrung::N,ruoka,аҙыҡ
440,Nahrung::N,ravinto,аҙыҡ
441,Speise::N,ruoka,аш
442,Fleisch::N,liha,ит
443,Getreide::N,vilja,иген
444,Getreide::N,vilja,ашлыҡ
445,Brei::N,puuro,бутҡа
446,Brot::N,leipä,икмәк
447,Scheibe::N,viipale,телем
448,Fett::N,rasva,май
449,Butter::N,voi,май
450,Öl::N,öljy,май буяуы
451,Salz::N,suola,тоҙ
452,Suppe::N,keitto,һурпа
453,Honig::N,hunaja,бал
454,Milch::N,maito,һөт
455,Tee::N,tee,сәй
456,Leder::N,nahka,күн
457,Wolle::N,villa,йөн
458,Stoff::N,kangas,туҡыма
459,Nadel::N,neula,энә
460,Faden::N,lanka,еп
461,Knopf::N,nappi,төймә
462,Knoten::N,solmu,төйөн
463,Farbe::N,maali,буяу
464,Kleidung::N,vaatteet,кейем
465,Hemd::N,paita,күлдәк
466,Kragen::N,kaulus,яға
467,Ärmel::N,hiha,ең
468,Hose::N,housut,салбар
469,Gürtel::N,vyö,ҡайыш
470,Mütze::N,lakki,бүрк
471,Schuh::N,kenkä,туфли
472,Stiefel::N,saapas,итек
473,Ring::N,sormus,йөҙөк
474,Ring::N,sormus,балдаҡ
475,Band::N,nauha,таҫма
476,Kamm::N,kampa,тараҡ
477,Spiegel::N,peili,көзгө
478,Riemen::N,hihna,ҡайыш
479,Schnur::N,naru,бау
480,Schnur::N,nuora,бау
481,Leine::N,talutushihna,бау
482,Decke::N,peite,одеяд
483,Kissen::N,tyyny,мендәр
484,Kissen::N,pielus,мендәр
485,Tuch::N,huivi,яулыҡ
486,Handtuch::N,pyyheliina,таҫтамал
487,Kraft::N,väki,көс
488,Kraft::N,voima,көс
489,Stärke::N,vahvuus,көс
490,Gesundheit::N,terveys,һаулыҡ
491,Krankheit::N,tauti,сир
492,Krankheit::N,tauti,ауырыу
493,Krankheit::N,sairaus,сир
494,Krankheit::N,sairaus,ауырыу
495,Schmerz::N,kipu,һыҙлау
496,Schmerz::N,kipu,әрнеү
497,Schmerz::N,särky,һыҙлау
498,Schmerz::N,särky,әрнеү
499,Wunde::N,haava,йәрәхәт
500,Fieber::N,kuume,тапма
501,Fieber::N,kuume,биҙгәк
502,Arznei::N,lääke,дарыу
503,Brücke::N,silta,күпер
504,Brunnen::N,kaivo,ҡоҙоҡ
505,Weide::N,laidun,көтөүлек
506,Pfad::N,polku,һуҡмаҡ
507,Weg::N,tie,юл
508,Straße::N,katu,урам
509,Dorf::N,kylä,ауыл
510,Stadt::N,kaupunki,ҡала
511,Brief::N,kirje,хат
512,Buch::N,kirja,китап
513,Buch::N,kirja,кенәгә
514,Buchstabe::N,kirjain,хәреф
515,Zeitung::N,lehti,гәзит
516,Zeitung::N,sanomalehti,гәзит
517,Leben::N,elo,йәшәү
518,Leben::N,elämä,йәшәү
519,Tod::N,kuolema,үлем
520,Grab::N,hauta,ҡәбер
521,Kirche::N,kirkko,сиркәү
522,Sünde::N,synti,гөнаһ
523,Gott::N,jumala,алла
524,Gott::N,jumala,хоҙай
525,Arbeiter::N,työläinen,эшсе
526,Chef::N,päällikkö,башлыҡ
527,Meister::N,mestari,оҫта
528,Arzt::N,lääkäri,врач
529,Lehrer::N,opettaja,уҡытыусы
530,Geld::N,raha,аҡса
531,Geschäft::N,liike,эш
532,Laden::N,puoti,магазин
533,Laden::N,kauppa,магазин
534,Preis::N,hinta,хаҡ
535,Ware::N,tavara,тауар
536,Nutzen::N,hyöty,файҙа
537,Reichtum::N,rikkaus,байлыҡ
538,Welt::N,maailma,донъя
539,Land::N,maa,ил
540,Staat::N,valtio,дәүләт
541,König::N,kuningas,король
542,Macht::N,mahti,власть
543,Grenze::N,raja,сик
544,Krieg::N,sota,һуғыш
545,Feind::N,vihollinen,йылан
546,Gewalt::N,väkivalta,көслөк
547,Kampf::N,taistelu,көрәш
548,Bogen[Waffe]::N,jousi,йәйә
549,Pfeil::N,nuoli,уҡ
550,Gewehr::N,kivääri,мылтыҡ
551,Fehler::N,vika,хата
552,Fehler::N,virhe,хата
553,Lüge::N,valhe,ялған
554,Schaden::N,vaurio,зыян
555,Schaden::N,vaurio,зарар
556,Schaden::N,vahinko,зыян
557,Schaden::N,vahinko,зарар
558,Unglück::N,vahinko,ҡаза
559,Unglück::N,onnettomuus,ҡаза
560,Schuld::N,syy,ғәйеп
561,Alter::N,ikä,йәш
562,Schluss::N,loppu,һуң
563,Schluss::N,loppu,аҙаҡ
564,Zeit::N,aika,мәл
565,Zeit::N,aika,заман
566,Tag::N,päivä,көн
567,Morgen::N,aamu,иртә
568,Morgen::N,aamu,иртәнсәк
569,Morgen::N,huomen,иртә
570,Morgen::N,huomen,иртәнсәк
571,Mittag::N,keskipäivä,төш
572,Abend::N,ilta,кис
573,Nacht::N,yö,төн
574,Woche::N,viikko,аҙна
575,Monat::N,kuukausi,ай
576,Jahr::N,vuosi,йыл
577,Frühling::N,kevät,яҙ
578,Sommer::N,kesä,йәй
579,Herbst::N,syksy,көз
580,Winter::N,talvi,ҡыш
581,Januar::N,tammikuu,ғинуар
582,Februar::N,helmikuu,февраль
583,März::N,maaliskuu,март
584,April::N,huhtikuu,апрель
585,Mai::N,toukokuu,май
586,Juni::N,kesäkuu,июнь
587,Juli::N,heinäkuu,июль
588,August::N,elokuu,август
589,September::N,syyskuu,сентябрь
590,Oktober::N,lokakuu,октябрь
591,November::N,marraskuu,ноябрь
592,Dezember::N,joulukuu,декабрь
593,Montag::N,maanantai,дүшәмбе
594,Dienstag::N,tiistai,шишәмбе
595,Mittwoch::N,keskiviikko,шаршамбы
596,Donnerstag::N,torstai,кесаҙна
597,Freitag::N,perjantai,йома
598,Samstag::N,lauantai,шәмбе
599,Sonntag::N,sunnuntai,йәкшәмбе
600,groß::A,iso,ҙур
601,groß::A,suuri,ҙур
602,klein::A,pieni,бәләкәс
603,lang::A,pitkä,оҙон
604,kurz::A,lyhyt,ҡыҫҡа
605,breit::A,leveä,киң
606,schmal::A,kapea,тар
607,dicht::A,taaja,йыш
608,dicht::A,taaja,ҡуйы
609,dick[Gegenstand]::A,paksu,ҡалын
610,dünn::A,ohut,йоҡа
611,dünn::A,ohut,нәҙек
612,fein::A,hieno,нескә
613,fest::A,luja,ныҡ
614,flach::A,litteä,яҫы
615,flach::A,litteä,ялпаҡ
616,flach::A,tasainen,яҫы
617,flach::A,tasainen,ялпаҡ
618,glatt::A,sileä,шыма
619,glatt::A,siloinen,шыма
620,hart::A,kova,ҡаты
621,weich::A,pehmeä,йомшаҡ
622,rund::A,pyöreä,түңәрәк
623,spitz::A,terävä,осло түбәле
624,scharf::A,terävä,үткер
625,stumpf::A,tylsä,утмәҫ
626,schwer::A,raskas,ауыр
627,schwer::A,painava,ауыр
628,schön::A,kaunis,матур
629,heiß::A,kuuma,эҫе
630,warm::A,lämmin,йылы
631,kalt::A,kylmä,һыуыҡ
632,kalt::A,viluinen,һыуыҡ
633,kühl::A,viileä,һалҡынса
634,frisch::A,tuore,һалҡынса
635,feucht::A,kostea,еүеш
636,feucht::A,kostea,дымлы
637,nass::A,märkä,еүеш
638,trocken::A,kuiva,кипкән
639,voll::A,täysi,тулы
640,leer::A,tyhjä,буш
641,offen::A,avonainen,асыҡ
642,geschlossen::A,suljettu,ябыҡ
643,sauber::A,puhdas,таҙа
644,schmutzig::A,likainen,бысраҡ
645,roh::A,raaka,сей
646,reif::A,kypsä,өлгөрғән
647,lecker::A,herkullinen,тәмле
648,süß::A,makea,тямле
649,süß::A,makea,тәм-том
650,bitter::A,karvas,әсе
651,bitter::A,kitkerä,әсе
652,sauer::A,hapan,әсе
653,hell::A,kirkas,яҡты
654,hell::A,valoisa,яҡты
655,dunkel::A,pimeä,ҡараңғы
656,schwarz::A,musta,ҡара
657,weiß::A,valkea,аҡ
658,rot::A,punainen,матур
659,rot::A,punainen,һылыу
660,rot::A,punainen,сибәр
661,gelb::A,keltainen,һары
662,blau::A,sininen,күк
663,grün::A,vihreä,йәшел
664,grau::A,harmaa,буҙ
665,bunt::A,kirjava,сыбар
666,bunt::A,kirjava,ала-ҡола
667,billig::A,halpa,арзан
668,billig::A,huokea,арзан
669,teuer::A,kallis,ҡыйбатлы
670,wertvoll::A,arvokas,ҡиммәтле
671,blind::A,sokea,һуҡыр
672,taub::A,kuuro,һаңғырау
673,kräftig::A,väkevä,көслө
674,kräftig::A,väkevä,ҡеүәтле
675,kräftig::A,voimakas,көслө
676,kräftig::A,voimakas,ҡеүәтле
677,stark::A,vahva,көслө
678,stark::A,vahva,ҡеүәтле
679,schwach::A,heikko,көсһөҙ
680,fett::A,lihava,һимеҙ
681,schlank::A,hoikka,зифа
682,schlank::A,solakka,зифа
683,hübsch::A,soma,матур
684,hübsch::A,sievä,матур
685,böse::A,paha,асыулы
686,böse::A,häijy,асыулы
687,dumm::A,tyhmä,иҫәр
688,dumm::A,typerä,иҫәр
689,faul::A,laiska,иренсәк
690,fleißig::A,ahkera,тырыш
691,geizig::A,saita,һаран
692,klug::A,älykäs,аҡыллы
693,geschickt::A,taitava,оҫта
694,lieb::A,rakas,яғымлы
695,lustig::A,hauska,күңелле
696,lustig::A,iloinen,күңелле
697,sanft::A,lauha,йыуаш
698,sanft::A,lempeä,йыуаш
699,hungrig::A,nälkäinen,ас
700,krank::A,sairas,сирле
701,krank::A,sairas,ауырыу
702,nackt::A,alaston,яланғас
703,traurig::A,surullinen,яманһыу
704,traurig::A,murheellinen,яманһыу
705,lebendig::A,elävä,тере
706,lebendig::A,elävä,йәнле
707,gut::A,hyvä,яҡшы
708,schlecht::A,paha,хөрт
709,schlecht::A,paha,алама
710,schlecht::A,huono,хөрт
711,schlecht::A,huono,алама
712,richtig::A,oikea,дөрөҫ
713,schlimm::A,paha,хөрт
714,schlimm::A,paha,алама
715,wahr::A,tosi,дөрөҫ
716,alt::A,vanha,иҫке
717,alt::A,vanha,боронғо
718,neu::A,uusi,яңы
719,ehemalig::A,entinen,элекке
720,ehemalig::A,muinainen,элекке
721,alt[Lebewesen]::A,vanha,ҡарт
722,jung::A,nuori,йәш
723,arm::A,köyhä,фәҡир
724,reich::A,rikas,бай
725,bekannt::A,tuttu,таныш
726,bekannt::A,tunnettu,таныш
727,berühmt::A,kuuluisa,атаҡлы
728,berühmt::A,kuuluisa,данлыҡлы
729,fremd::A,vieras,ят
730,fremd::A,vieras,сит
731,verschieden::A,eri,төрлө
732,verschieden::A,erilainen,төрлө
733,nah::A,läheinen,яҡын
734,fern::A,etäinen,алыҫ
735,fern::A,etäinen,йыраҡ
736,linker::A,vasen,һул
737,rechter::A,oikea,уң
738,anderer::A,muu,бутән
739,anderer::A,toinen,бутән
740,erster::A,ensimmäinen,тәүге
741,zweiter::A,toinen,икенсе
742,dritter::A,kolmas,өсөнсө
743,letzter::A,viimeinen,һуңғы
744,allein::ADV,yksin,бер үҙе
745,allein::ADV,yksin,яңғыҙ
746,auf einmal::ADV,yhdellä kertaa,бер юлы
747,zusammen::ADV,yhdessä,бергә
748,lange::ADV,kauan,оҙаҡ
749,lange::ADV,pitkään,оҙаҡ
750,plötzlich::ADV,äkkiä,ҡапыл
751,sofort::ADV,heti,шунда уҡ
752,später::ADV,myöhemmin,һуңыраҡ
753,jetzt::ADV,nyt,хәҙер
754,heute::ADV,tänään,бөгөн
755,morgen::ADV,huomenna,иртәгә
756,bald::ADV,pian,тиҙҙән
757,dann::ADV,sitten,һуңынан
758,gestern::ADV,eilen,кисә
759,einst::ADV,aikanaan,ҡасандыр
760,einst::ADV,aikanaan,бер баҡыт
761,damals::ADV,silloin,ул саҡта
