,Concept_ID,he,ja
119,Ast::N,ענף,枝
120,Zweig::N,ענף,小枝
121,Blatt::N,עלה,葉
122,Birke::N,שדר,樺
123,Kiefer[Baum]::N,ארן,松
124,Weide[Baum]::N,ערבה,柳
125,Tanne::N,אשוח,樅
126,Horn::N,קרן,角
127,Feder::N,נוצה,羽根
128,Fell::N,פרוה,毛皮
129,Flügel::N,כנף,羽
130,Klaue::N,טלף,鉤爪
131,Kralle::N,טפר,爪
132,Schwanz::N,זנב,尻尾
133,Ei::N,ביצה,卵
134,Nest::N,קן,巣
135,Bau::N,מחלה,穴
136,Tier::N,חיה,動物
137,Herde::N,עדר,群れ
138,Kuh::N,פרה,牛
139,Bulle::N,פר,雄牛
140,Pferd::N,סוס,馬
141,Schaf::N,כבשה,羊
142,Schwein::N,חזיר,豚
143,Hund::N,כלב,犬
144,Katze::N,חתול,猫
145,Bär::N,דב,熊
146,Eichhörnchen::N,סנאי,栗鼠
147,Elch::N,דישון,ヘラジカ
148,Fuchs::N,שועל,狐
149,Hase::N,ארנב,兎
150,Maus::N,עכבר,鼠
151,Wolf::N,זאב,狼
152,Vogel::N,צפור,鳥
153,Schwarm::N,נחיל,群れ
154,Schwarm::N,להקה,群れ
155,Huhn::N,תרנגלת,鶏
156,Hahn::N,תרנגול,雄鶏
157,Gans::N,אוז,ガチョウ
158,Adler::N,עיט,鷲
159,Ente::N,ברוז,鴨
160,Eule::N,ינשוף,フクロウ
161,Kranich::N,עגור,鶴
162,Kranich::N,כרוכיה,鶴
163,Krähe::N,עורב,烏
164,Kuckuck::N,קוקיה,郭公
165,Schwan::N,ברבור,白鳥
166,Fisch::N,דג,魚
167,Barsch::N,אוקונוס,鱸
168,Hecht::N,זאב הים,川魳
169,Schlange[Tier]::N,נחש,蛇
170,Wurm::N,תולעת,虫
171,Spinne::N,עכביש,蜘蛛
172,Ameise::N,נמלה,蟻
173,Laus::N,כנה,虱
174,Mücke::N,יתוש,蚊
175,Fliege::N,זבוב,蝿
176,Schmetterling::N,פרפר,蝶
177,Beere::N,ענבה,漿果
178,Apfel::N,תפוח,林檎
179,Pilz::N,פטריה,茸
180,Zwiebel::N,בצל,玉葱
181,Saat::N,זרעים,種
182,Korn::N,גרעין,粒
183,Heu::N,חציר,干し草
184,Schale::N,קלפה,皮
185,Grube::N,בור,穴
186,Grube::N,שוחה,穴
187,Falle::N,מלכדת,わな
188,Schlinge::N,לולאה,輪
189,Spur::N,עקבה,跡
190,Asche::N,אפר,灰
191,Dreck::N,זהמה,泥
192,Eisen::N,ברזל,鉄
193,Gold::N,זהב,金
194,Silber::N,כסף,銀
195,Kohle::N,פחם,炭
196,Glas::N,זכוכית,ガラス
197,Lehm::N,חרסית,ローム
198,Sand::N,חול,砂
199,Mensch::N,אדם,人
200,Mann::N,איש,男
201,Mann::N,איש,男性
202,Mann::N,גבר,男
203,Mann::N,גבר,男性
204,Frau::N,אשה,女
205,Frau::N,אשה,女性
206,Frau::N,גברת,女
207,Frau::N,גברת,女性
208,Kind::N,ילד,子
209,Kind::N,ילד,子供
210,Junge::N,ילד,男の子
211,Mädchen::N,נערה,女の子
212,Familie::N,משפחה,家族
213,Großvater::N,סבא,祖父
214,Großvater::N,סבא,おじいさん
215,Großmutter::N,סבתא,祖母
216,Großmutter::N,סבתא,おばあさん
217,Eltern::N,הורים,親
218,Eltern::N,הורים,両親
219,Vater::N,אב,父
220,Vater::N,אב,お父さん
221,Mutter::N,אם,母
222,Mutter::N,אם,お母さん
223,Sohn::N,בן,息子
224,Sohn::N,בן,息子さん
225,Tochter::N,בת,娘
226,Tochter::N,בת,お嬢さん
227,Bruder::N,אח,弟
228,Schwester::N,אחות,妹
229,Onkel::N,דוד,伯父
230,Onkel::N,דוד,伯父さん
231,Tante::N,דודה,叔母
232,Tante::N,דודה,叔母さん
233,Ehemann::N,איש,夫
234,Ehemann::N,איש,主人
235,Ehemann::N,בעל,夫
236,Ehemann::N,בעל,主人
237,Ehefrau::N,אשה,妻
238,Ehefrau::N,אשה,奥さん
239,Freude::N,שמחה,喜び
240,Gelächter::N,צחוק,笑い
241,Glück::N,אשר,幸せ
242,Kummer::N,יגון,悩み
243,Kummer::N,עגמה,悩み
244,Wunsch::N,אחול,希望
245,Wunsch::N,משאלה,希望
246,Lust::N,חשק,気
247,Lust::N,תשוקה,気
248,Geist::N,רוח,精神
249,Gedanke::N,מחשבה,考え
250,Gedächtnis::N,זכרון,記憶
251,Verstand::N,שכל,理解力
252,Sinn::N,מובן,意味
253,Sinn::N,משמעות,意味
254,Grund::N,סבה,理由
255,Wahrheit::N,אמת,真実
256,Gespräch::N,דיון,会話
257,Märchen::N,אגדה,童話
258,Erzählung::N,ספור,物語
259,Nachricht::N,ידיעה,報告
260,Neuigkeit::N,חדשה,ニュース
261,Name::N,שם,名前
262,Rätsel::N,תעלומה,謎
263,Rede::N,נאום,演説
264,Sprache::N,לשון,言語
265,Stimme::N,קול,声
266,Wort::N,מלה,言葉
267,Zeichen::N,סימן,記号
268,Ruf::N,קריאה,呼び声
269,Lärm::N,רעש,騒音
270,Laut::N,הגה,音
271,Ton::N,צליל,音
272,Lied::N,שיר,歌
273,Ruhe::N,שלוה,静けさ
274,Leute::N,אנשים,人々
275,Volk::N,עם,民族
276,Arbeit::N,עבודה,仕事
277,Gast::N,אורח,客
278,Geschenk::N,מתנה,贈り物
279,Spiel::N,משחק,遊び
280,Gesellschaft::N,חברה,社会
281,Hilfe::N,עזרה,援助
282,Freund::N,חבר,友達
283,Freund::N,ידיד,友達
284,Kamerad::N,רע,同志
285,Angelegenheit::N,ענין,件
286,Anzahl::N,מספר,数
287,Art::N,סוג,種類
288,Stück::N,חתיכה,部分
289,Teil::N,פרק,部分
290,Hälfte::N,חצי,半分
291,Kreis::N,מעגל,円
292,Kreuz::N,צלב,十字
293,Linie::N,קו,線
294,Strich::N,קו קצר,線
295,Abstand::N,מרחק,距離
296,Entfernung::N,מרחק,距離
297,Gegend::N,נוף,辺
298,Gegend::N,נוף,地域
299,Platz::N,שטח,ゆとり
300,Ort::N,אתר,所
301,Ort::N,אתר,場所
302,Ort::N,מקום,所
303,Ort::N,מקום,場所
304,Seite::N,צד,横
305,Mitte::N,אמצע,真ん中
306,Gegenstand::N,אוביקט,物件
307,Sache::N,דבר,物
308,Rand::N,פרור,端
309,Kante::N,קצה,縁
310,Ecke::N,פנה,角
311,Spitze::N,קצה,先頭
312,Ende::N,סוף,端
313,Loch::N,חר,穴
314,Winkel::N,פנה,片隅
315,Muster::N,תבנית,模様
316,Größe::N,גדל,大きさ
317,Länge::N,ארך,長さ
318,Höhe::N,קומה,高さ
319,Höhe::N,גבה,高さ
320,Gewicht::N,משקל,重さ
321,Menge::N,כמות,量
322,Haufen::N,ערמה,堆積
323,Reihe::N,רצף,並び
324,Boot::N,סירה,ボート
325,Ruder::N,משוט,オール
326,Schlitten::N,מזחלת,そり
327,Ski::N,מגלשים,スキー
328,Lagerfeuer::N,מדורה,篝火
329,Last::N,משא,荷物
330,Gang::N,הליכה,歩み
331,Schritt::N,צעד,歩
332,Norden::N,צפון,北
333,Süden::N,דרום,南
334,Westen::N,מערב,西
335,Osten::N,מזרח,東
336,Holz::N,עץ,木
337,Holz::N,עץ,木材
338,Brett::N,קרש,板
339,Platte::N,לוח,盤
340,Stütze::N,משען,支柱
341,Stange::N,מוט,棒
342,Stock::N,מקל,杖
343,Stab::N,מוט,棒
344,Rohr::N,צנור,管
345,Haus::N,בית,家
346,Heim::N,בית,家
347,Ofen::N,תנור,ストーブ
348,Fußboden::N,רצפה,床
349,Tisch::N,שלחן,机
350,Stuhl::N,כסא,椅子
351,Wiege::N,ערש,揺籃
352,Bett::N,מטה,ベッド
353,Regal::N,מדף,棚
354,Kiste::N,תבה,箱
355,Kiste::N,ארגז,箱
356,Fenster::N,חלון,窓
357,Tür::N,דלת,戸
358,Tür::N,דלת,ドア
359,Tor::N,שער,門
360,Zaun::N,גדר,垣根
361,Dach::N,גג,屋根
362,Leiter::N,סלם,梯子
363,Besen::N,מטאטא,ほうき
364,Spaten::N,את,スコップ
365,Schaufel::N,את,シャベル
366,Gabel::N,מזלג,フォーク
367,Löffel::N,כף,スプーン
368,Messer::N,סכין,ナイフ
369,Nagel::N,מסמר,釘
370,Netz::N,רשת,網
371,Haken::N,וו,鉤
372,Haken::N,וו,フック
373,Haken::N,קרס,鉤
374,Haken::N,קרס,フック
375,Griff::N,ידית,取っ手
376,Schloss::N,מנעול,錠
377,Bild::N,תמונה,絵
378,Figur::N,פסל,像
379,Puppe::N,בבה,人形
380,Beutel::N,שק,袋
381,Bündel::N,צרור,束
382,Bündel::N,צרור,包み
383,Tasche::N,שקית,かばん
384,Eimer::N,דלי,バケツ
385,Deckel::N,מכסה,蓋
386,Geschirr::N,כלים,食器
387,Sack::N,שק,袋
388,Tasse::N,ספל,カップ
389,Topf::N,סיר,鍋
390,Kessel::N,קנקן,釜
391,Essen::N,אכל,食事
392,Essen::N,ארוחה,食事
393,Nahrung::N,הזנה,食物
394,Nahrung::N,תזונה,食物
395,Speise::N,מאכל,料理
396,Speise::N,ארוחה,料理
397,Fleisch::N,בשר,肉
398,Getreide::N,דגן,麦
399,Getreide::N,דגן,穀物
400,Brei::N,מחית,粥
401,Brot::N,לחם,パン
402,Scheibe::N,עגול,枚
403,Scheibe::N,עגול,切れ
404,Scheibe::N,פרוסה,枚
405,Scheibe::N,פרוסה,切れ
406,Fett::N,שמן,脂肪
407,Butter::N,חמאה,バター
408,Öl::N,שמן,油
409,Salz::N,מלח,塩
410,Suppe::N,מרק,スープ
411,Honig::N,דבש,蜂蜜
412,Milch::N,חלב,牛乳
413,Tee::N,תה,茶
414,Tee::N,תה,お茶
415,Leder::N,עור,革
416,Wolle::N,צמר,毛糸
417,Stoff::N,בד,布
418,Stoff::N,אריג,布
419,Nadel::N,מחט,針
420,Faden::N,חוט,糸
421,Knopf::N,כפתור,ボタン
422,Knoten::N,קשר,結び目
423,Farbe::N,צבע,ペンキ
424,Kleidung::N,בגדים,衣服
425,Hemd::N,חלצה,シャツ
426,Kragen::N,צוארון,襟
427,Ärmel::N,שרוול,袖
428,Hose::N,מכנסים,ズボン
429,Gürtel::N,חגורה,帯
430,Gürtel::N,חגורה,ベルト
431,Mütze::N,כובע,帽子
432,Schuh::N,נעל,靴
433,Stiefel::N,מגף,ブーツ
434,Ring::N,טבעת,輪
435,Band::N,סרט,リボン
436,Kamm::N,מסרק,櫛
437,Spiegel::N,מראה,鏡
438,Riemen::N,רצועה,緒
439,Schnur::N,חבל,紐
440,Leine::N,מושכות,綱
441,Decke::N,שמיכה,掛け布団
442,Kissen::N,כרית,枕
443,Tuch::N,צעיף,スカーフ
444,Handtuch::N,מגבת,タオル
445,Kraft::N,כוח,力
446,Stärke::N,און,強さ
447,Gesundheit::N,בריאות,健康
448,Krankheit::N,מחלה,病気
449,Schmerz::N,כאב,痛み
450,Wunde::N,פציעה,傷
451,Fieber::N,חם,熱
452,Arznei::N,תרופה,薬
453,Brücke::N,גשר,橋
454,Brunnen::N,באר,井戸
455,Weide::N,אחו,牧場
456,Weide::N,מרעה,牧場
457,Pfad::N,שביל,小路
458,Pfad::N,מדרכה,小路
459,Weg::N,דרך,道
460,Straße::N,כביש,街道
461,Dorf::N,כפר,村
462,Stadt::N,עיר,町
463,Stadt::N,עיר,都市
464,Brief::N,מכתב,手紙
465,Buch::N,ספר,本
466,Buchstabe::N,אות,文字
467,Zeitung::N,עתון,新聞
468,Leben::N,חיים,生活
469,Tod::N,מות,死
470,Grab::N,קבר,墓
471,Kirche::N,כנסיה,教会
472,Sünde::N,חטא,罪
473,Gott::N,אל,神
474,Arbeiter::N,פועל,労働者
475,Chef::N,ראש,上司
476,Chef::N,מנהל,上司
477,Meister::N,ממחה,達人
478,Meister::N,ממחה,マイスター
479,Arzt::N,רופא,医者
480,Lehrer::N,מורה,先生
481,Geld::N,כסף,金
482,Geschäft::N,עסקה,取り引き
483,Laden::N,חנות,店
484,Preis::N,מחיר,値段
485,Ware::N,סחורה,商品
486,Nutzen::N,תועלת,利益
487,Reichtum::N,עשר,豊かさ
488,Welt::N,עולם,世界
489,Land::N,ארץ,国
490,Staat::N,מדינה,国家
491,König::N,מלך,国王
492,Macht::N,כוח,権力
493,Grenze::N,גבול,国境
494,Krieg::N,מלחמה,戦争
495,Feind::N,אויב,敵
496,Gewalt::N,אלימות,暴力
497,Kampf::N,קרב,戦い
498,Kampf::N,לחימה,戦い
499,Bogen[Waffe]::N,קשת,弓
500,Pfeil::N,חץ,矢
501,Gewehr::N,רובה,銃
502,Fehler::N,טעות,間違い
503,Lüge::N,שקר,嘘
504,Schaden::N,נזק,損害
505,Unglück::N,מזל רע,不幸
506,Schuld::N,אשמה,罪
507,Alter::N,גיל,年
508,Alter::N,גיל,年齢
509,Schluss::N,סיום,終わり
510,Zeit::N,זמן,時
511,Zeit::N,זמן,時間
512,Tag::N,יום,日
513,Morgen::N,בקר,朝
514,Mittag::N,צהרים,昼
515,Abend::N,ערב,晩
516,Abend::N,ערב,夕方
517,Nacht::N,לילה,夜
518,Woche::N,שבוע,週
519,Monat::N,חדש,月
520,Jahr::N,שנה,年
521,Frühling::N,אביב,春
522,Sommer::N,קיץ,夏
523,Herbst::N,סתו,秋
524,Winter::N,חרף,冬
525,Januar::N,ינואר,一月
526,Februar::N,פברואר,二月
527,März::N,מרץ,三月
528,April::N,אפריל,四月
529,Mai::N,מאי,五月
530,Juni::N,יוני,六月
531,Juli::N,יולי,七月
532,August::N,אוגוסט,八月
533,September::N,ספטמבר,九月
534,Oktober::N,אוקטובר,十月
535,November::N,נובמבר,十一月
536,Dezember::N,דצמבר,十二月
537,Montag::N,יום שני,月曜日
538,Dienstag::N,יום שלישי,火曜日
539,Mittwoch::N,יום רביעי,水曜日
540,Donnerstag::N,יום חמישי,木曜日
541,Freitag::N,יום ששי,金曜日
542,Samstag::N,יום שבת,土曜日
543,Sonntag::N,יום ראשון,日曜日
544,groß::A,גדול,大きい
545,klein::A,קטן,小さい
546,lang::A,ארך,長い
547,kurz::A,קצר,短い
548,breit::A,רחב,広い
549,schmal::A,צר,狭い
550,dicht::A,צפוף,密な
551,dick[Gegenstand]::A,עבה,厚い
552,dünn::A,דק,薄い
553,fein::A,מעדן,細い
554,fest::A,מוצק,硬い
555,flach::A,שטוח,平らな
556,glatt::A,חלק,滑らかな
557,hart::A,קשיח,堅い
558,weich::A,רך,柔らかい
559,rund::A,עגל,丸い
560,spitz::A,חד,尖った
561,scharf::A,חד,鋭い
562,stumpf::A,קהה,鈍い
563,schwer::A,כבד,重い
564,schön::A,יפה,綺麗な
565,heiß::A,חם,熱い
566,warm::A,חם,温かい
567,kalt::A,קר,寒い
568,kalt::A,קר,冷たい
569,kühl::A,צונן,涼しい
570,frisch::A,טרי,ひんやりした
571,feucht::A,לח,湿った
572,nass::A,רטוב,濡れた
573,trocken::A,יבש,乾いた
574,voll::A,מלא,いっぱいの
575,leer::A,ריק,空の
576,offen::A,פתוח,開いた
577,geschlossen::A,סגור,閉まった
578,sauber::A,נקי,清潔な
579,schmutzig::A,מלכלך,汚い
580,roh::A,חי,生の
581,reif::A,בשל,熟した
582,lecker::A,טעים,美味しい
583,süß::A,מתוק,甘い
584,bitter::A,מר,苦い
585,sauer::A,חמוץ,酸っぱい
586,hell::A,בהיר,明るい
587,dunkel::A,עמום,暗い
588,schwarz::A,שחר,黒い
589,weiß::A,לבן,白い
590,rot::A,אדם,赤い
591,gelb::A,צהב,黄色い
592,blau::A,כחל,青い
593,grün::A,ירק,緑の
594,grau::A,אפר,灰色の
595,bunt::A,צבעוני,色取り取りの
596,billig::A,זול,安い
597,teuer::A,יקר,高い
598,wertvoll::A,יקר ערך,貴重な
599,blind::A,עור,盲目の
600,taub::A,חרש,耳が聞こえない
601,kräftig::A,חסן,強力な
602,stark::A,חזק,強い
603,schwach::A,חלש,弱い
604,fett::A,שמן,太った
605,schlank::A,רזה,ほっそりした
606,hübsch::A,יפה תאר,素敵な
607,böse::A,רשע,悪い
608,dumm::A,טפש,馬鹿な
609,faul::A,עצלן,怠惰な
610,fleißig::A,חרוץ,勤勉な
611,geizig::A,קמצן,けちな
612,klug::A,נבון,賢い
613,klug::A,נבון,頭のいい
614,klug::A,פקח,賢い
615,klug::A,פקח,頭のいい
616,geschickt::A,מימן,器用な
617,lieb::A,יקר,愛らしい
618,lieb::A,אהוב,愛らしい
619,lustig::A,עליז,楽しい
620,sanft::A,עדין,温和な
621,hungrig::A,רעב,空腹の
622,krank::A,חולה,病気の
623,nackt::A,ערום,裸の
624,traurig::A,עצוב,悲しい
625,lebendig::A,חי,生きた
626,gut::A,טוב,良い
627,schlecht::A,גרוע,悪い
628,schlecht::A,גרוע,駄目な
629,richtig::A,נכון,正しい
630,schlimm::A,רע,ひどい
631,wahr::A,אמתי,本当の
632,alt::A,ישן,古い
633,neu::A,חדש,新しい
634,ehemalig::A,לשעבר,以前の
635,alt[Lebewesen]::A,זקן,年を取った
636,jung::A,צעיר,若い
637,arm::A,עני,貧乏な
638,reich::A,עשיר,裕福な
639,bekannt::A,ידוע,有名な
640,berühmt::A,מפרסם,有名な
641,fremd::A,זר,見知らぬ
642,verschieden::A,שונה,色々な
643,nah::A,קרוב,近い
644,fern::A,רחוק,遠い
645,linker::A,שמאלי,左の
646,rechter::A,ימין,右の
647,anderer::A,אחר,別の
648,erster::A,ראשון,一番目
649,zweiter::A,שני,二番目
650,dritter::A,שלישי,三番目
651,letzter::A,אחרון,最後の
652,allein::ADV,לבד,一人で
653,auf einmal::ADV,בו-זמנית,同時に
654,zusammen::ADV,ביחד,一緒に
655,lange::ADV,הרבה זמן,長い間
656,plötzlich::ADV,לפתע,急に
657,plötzlich::ADV,פתאום,急に
658,sofort::ADV,מיד,すぐに
659,später::ADV,לאחר זמן,後で
660,später::ADV,יותר מאחר,後で
661,jetzt::ADV,עכשיו,今
662,heute::ADV,היום,今日
663,morgen::ADV,מחר,明日
664,bald::ADV,בקרוב,間もなく
665,dann::ADV,אחר-כך,それから
666,gestern::ADV,אתמול,昨日
667,einst::ADV,לפנים,過去に
668,damals::ADV,אז,あの時
669,danach::ADV,אחר-כך,その後で
670,vorher::ADV,לפני זה,以前に
671,zuerst::ADV,קדם,まず
672,zuerst::ADV,קדם,最初に
673,einmal::ADV,פעם,一回
674,manchmal::ADV,לפעמים,時々
675,oft::ADV,לעתים קרובות,よく
676,immer::ADV,תמיד,いつも
677,niemals::ADV,אף פעם,一度も...ない
678,hier::ADV,כאן,こちら
679,hierhin::ADV,פה,ここへ
680,hierhin::ADV,פה,こちらへ
681,von hier::ADV,מפה,ここから
682,dort::ADV,שם,そちら
683,dorthin::ADV,שם,そこへ
684,dorthin::ADV,שם,そちらへ
685,geradeaus::ADV,ישר,真っ直ぐに
686,vorwärts::ADV,קדימה,前へ
687,rückwärts::ADV,לאחור,後ろへ
688,zurück::ADV,בחזרה,後ろへ
689,zurück::ADV,אחורנית,後ろへ
690,unten::ADV,למטה,下に
691,hinab::ADV,למטה,下へ
692,oben::ADV,מעל,上に
693,oben::ADV,למעלה,上に
694,hinauf::ADV,למעלה,上へ
695,überall::ADV,בכל מקום,どこでも
696,nicht::ADV,לא,ない
697,ein wenig::ADV,קצת,少し
698,ein wenig::ADV,קצת,ちょっと
699,kaum::ADV,בקשי,ほとんど～ない
700,sehr::ADV,מאוד,とても
701,so::ADV,כך,こう
702,so::ADV,ככה,こう
703,noch::ADV,עוד,まだ
704,noch::ADV,עדין,まだ
705,nur::ADV,רק,～だけ
706,schon::ADV,כבר,もう
707,wieder::ADV,שוב,再び
708,vergebens::ADV,לריק,無駄に
709,vergebens::ADV,לשוא,無駄に
710,vor::PRP,מול,前に
711,hinter::PRP,מאחורי,後ろに
712,unter::PRP,מתחת,下に
713,durch::PRP,דרך,通して
714,neben::PRP,ליד,横に
715,neben::PRP,על-יד,横に
716,zwischen::PRP,בין,間に
717,wegen::PRP,בשל,為に
718,wegen::PRP,בשל,せいで
719,wegen::PRP,בגלל,為に
720,wegen::PRP,בגלל,せいで
721,dies::PRN,זה,これ
722,das::PRN,זה,それ
723,alles::PRN,הכל,全部
724,ich::PRN,אני,私
725,du::PRN,את,あなた
726,du::PRN,אתה,あなた
727,er::PRN,הוא,彼
728,wir::PRN,אנחנו,私達
729,ihr::PRN,לה,あなた達
730,sie::PRN,הם,彼ら
731,was::FPRN,מה,何
732,wer::FPRN,מי,誰
733,wer::FPRN,מי,どなた
734,wo::FADV,איפה,どこ
735,wo::FADV,איפה,どこに
736,wohin::FADV,לאן,どこへ
737,wie::FADV,איך,どう
738,warum::FADV,למה,何故
739,warum::FADV,למה,どうして
740,wieviel::FNUM,כמה,どのくらい
741,eins::NUM,אחד,一
742,zwei::NUM,שתים,二
743,zwei::NUM,שתים,二つ
744,drei::NUM,שלושה,三
745,drei::NUM,שלושה,三つ
746,vier::NUM,ארבעה,四
747,vier::NUM,ארבעה,四つ
748,fünf::NUM,חמשה,五
749,fünf::NUM,חמשה,五つ
750,sechs::NUM,ששה,六
751,sechs::NUM,ששה,六つ
752,sieben::NUM,שבעה,七
753,sieben::NUM,שבעה,七つ
754,acht::NUM,שמונה,八
755,acht::NUM,שמונה,八つ
756,neun::NUM,תשעה,九
757,neun::NUM,תשעה,九つ
758,zehn::NUM,עשרה,十
759,elf::NUM,אחת עשרה,十一
760,zwölf::NUM,שתים עשרה,十二
761,zwanzig::NUM,עשרים,二十
762,dreißig::NUM,שלושים,三十
763,vierzig::NUM,ארבעים,四十
764,fünfzig::NUM,חמשים,五十
765,sechzig::NUM,ששים,六十
766,siebzig::NUM,שבעים,七十
767,achtzig::NUM,שמונים,八十
768,neunzig::NUM,תשעים,九十
769,hundert::NUM,מאה,百
770,tausend::NUM,אלף,千
771,und::CNJ,ו,-と
772,und::CNJ,ו,そして
773,oder::CNJ,או,或いは
774,stehen::V,עמד,立っている
775,sitzen::V,ישב,座っている
776,liegen::V,שכב,横になっている
777,hängen::V,היה תלוי,掛かっている
778,werden::V,הפך ל,なる
779,passieren::V,קרה,起こる
780,beginnen::V,התחיל,始まる
781,enden::V,הסתים,終わる
782,wechseln::V,השתנה,変わる
783,aufgehen[Sonne]::V,זרח,出る
784,untergehen[Sonne]::V,שקע,沈む
785,scheinen[Sonne]::V,בהק,輝く
786,donnern::V,רעם,雷が鳴る
787,wehen::V,נשב,吹く
788,strömen::V,זרם,流れる
789,fließen::V,זרם,流れる
790,sich drehen::V,הסתובב,回転する
791,schwanken::V,התנודד,揺れる
792,schwingen::V,התנענע,振動する
793,fallen::V,נפל,落ちる
794,brennen::V,בער,燃える
795,rauchen::V,עשן,煙を出す
796,regnen::V,ירד גשם,雨が降る
797,gefrieren::V,קפא,凍る
798,tauen::V,נמס,溶ける
799,schmelzen::V,התיך,溶ける
800,trocknen::V,התיבש,乾く
801,sieden::V,רתח,沸く
802,faulen::V,רקב,腐る
803,verfaulen::V,רקב,朽ちる
804,reißen::V,נקרע,切れる
805,versinken::V,טבע,沈む
806,vergehen::V,עבר,経つ
807,erscheinen::V,נגלה,現れる
808,erscheinen::V,הופיע,現れる
809,verschwinden::V,נעלם,消える
810,sinken::V,ירד,下がる
811,abnehmen::V,הפחית,減る
812,zunehmen::V,רבה,増える
813,steigen::V,עלה,上がる
814,wachsen::V,גדל,伸びる
815,glänzen::V,נצץ,輝く
816,glänzen::V,בהק,輝く
817,funkeln::V,נצנץ,ぴかぴか光る
818,lärmen::V,רעש,騒ぐ
819,läuten::V,צלצל,鳴る
820,klingeln::V,צלצל,鳴る
821,klirren::V,קרקש,がらんがらんと鳴る
822,brausen::V,געש,逆巻く
823,rauschen::V,רשרש,戦ぐ
824,klingen::V,נשמע,鳴る
825,bellen::V,נבח,吠える
826,heulen::V,ילל,きゃんきゃん鳴く
827,blasen::V,נשף,吹く
828,pfeifen::V,שרק,口笛を吹く
