,Concept_ID,et,hy
122,Fluss::N,jõgi,գետ
123,Ufer::N,kallas,ծովափ
124,Küste::N,rannik,ափ
125,Küste::N,rannik,ծովափ
126,Festland::N,mander,ցամաք
127,Festland::N,maismaa,ցամաք
128,Meer::N,meri,ծով
129,Bucht::N,laht,հաչիւն
130,Insel::N,saar,վղզի
131,Blume::N,lill,ծաղիկ
132,Gras::N,rohi,խոտ
133,Wurzel::N,juur,արմատ
134,Baum::N,puu,ծառ
135,Stamm::N,tüvi,իրան
136,Rinde::N,koor,կեղեւ
137,Rinde::N,koor,հաչոց
138,Ast::N,oks,ճյուղ
139,Zweig::N,oks,ճյուղ
140,Blatt::N,leht,տերեւ
141,Birke::N,kask,ցարասի
142,Kiefer[Baum]::N,mänd,սոճի
143,Weide[Baum]::N,paju,ուռենի
144,Tanne::N,nulg,եղեւին
145,Horn::N,sarv,
146,Feder::N,sulg,փետուր
147,Fell::N,karvkate,մորթի
148,Fell::N,karusnahk,մորթի
149,Flügel::N,tiib,թեւ
150,Flügel::N,tiivik,թեւ
151,Klaue::N,küüs,չանչ
152,Kralle::N,küünis,ճանկ
153,Schwanz::N,saba,պոչ
154,Ei::N,muna,ձու
155,Nest::N,pesa,բույն
156,Bau::N,urg,որջ
157,Bau::N,urg,բայոց
158,Tier::N,loom,կենդանի
159,Herde::N,kari,հոտ
160,Kuh::N,lehm,կով
161,Bulle::N,pull,ցուլ
162,Pferd::N,hobune,ձի
163,Schaf::N,lammas,ոչխար
164,Schwein::N,siga,խոզ
165,Hund::N,koer,շուն
166,Katze::N,kass,կատու
167,Bär::N,karu,արջ
168,Eichhörnchen::N,orav,սկյուռ
169,Elch::N,põder,հիւսիսային եղջերու
170,Fuchs::N,rebane,աղվես
171,Hase::N,jänes,նապաստակ
172,Maus::N,hiir,մուկ
173,Wolf::N,hunt,գայլ
174,Vogel::N,lind,թռչուն
175,Schwarm::N,parv,երամ
176,Huhn::N,kana,հավ
177,Hahn::N,kukk,աքաղաղ
178,Gans::N,hani,սագ
179,Adler::N,kotkas,արծիվ
180,Ente::N,part,բադ
181,Eule::N,kakk,բու
182,Eule::N,öökull,բու
183,Kranich::N,kurg,կռունկ
184,Krähe::N,vares,ագռավ
185,Kuckuck::N,kägu,կուկու
186,Schwan::N,luik,կարապ
187,Fisch::N,kala,ձուկ
188,Barsch::N,ahven,պերկես
189,Hecht::N,haug,գայլաձուկ
190,Schlange[Tier]::N,uss,օձ
191,Wurm::N,uss,որդ
192,Wurm::N,uss,ճիճու
193,Wurm::N,vagel,որդ
194,Wurm::N,vagel,ճիճու
195,Spinne::N,ämblik,սարդ
196,Ameise::N,sipelgas,միջյուն
197,Laus::N,täi,ոջիլ
198,Mücke::N,sääsk,մժղուկ
199,Fliege::N,kärbes,ճանճ
200,Schmetterling::N,liblikas,թիթեռ
201,Beere::N,mari,հատապտուղ
202,Apfel::N,õun,խնձոր
203,Pilz::N,seen,սունկ
204,Zwiebel::N,sibul,սոխ
205,Saat::N,seeme,սերմ
206,Korn::N,iva,հատիկ
207,Korn::N,tera,հատիկ
208,Heu::N,hein,խոտ
209,Schale::N,koor,կեղեւ
210,Grube::N,kaevand,փոս
211,Falle::N,lõks,ծուղակ
212,Falle::N,püünis,ծուղակ
213,Schlinge::N,aas,խեղդան
214,Spur::N,jälg,հետք
215,Asche::N,tuhk,մոխիր
216,Dreck::N,saast,աղտ
217,Dreck::N,mustus,աղտ
218,Eisen::N,raud,երկաթ
219,Gold::N,kuld,ոսկի
220,Silber::N,hõbe,արծաթ
221,Kohle::N,süsi,քարածուխ
222,Glas::N,klaas,ապակի
223,Lehm::N,savi,կավ
224,Sand::N,liiv,ավազ
225,Mensch::N,inimene,մարդ
226,Mann::N,mees,մարդ
227,Mann::N,mees,տղամարդ
228,Frau::N,naine,կին
229,Kind::N,laps,զավակ
230,Junge::N,poiss,տղա
231,Mädchen::N,tüdruk,աղջիկ
232,Familie::N,perekond,ընտանիք
233,Großvater::N,vanaisa,պապ
234,Großmutter::N,vanaema,տատ
235,Eltern::N,vanemad,ծնողներ
236,Vater::N,isa,հայր
237,Mutter::N,ema,մայր
238,Sohn::N,poeg,որդի
239,Tochter::N,tütar,աղջիկ
240,Tochter::N,tütar,դուստր
241,Bruder::N,vend,եղբայր
242,Schwester::N,õde,քույր
243,Onkel::N,onu,քեռի
244,Onkel::N,onu,հորեղբայր
245,Tante::N,tädi,մորաքույր
246,Ehemann::N,mees,մարդ
247,Ehemann::N,mees,ամուսին
248,Ehemann::N,abikaasa,մարդ
249,Ehemann::N,abikaasa,ամուսին
250,Ehefrau::N,naine,կին ամուսին
251,Ehefrau::N,abikaasa,կին ամուսին
252,Freude::N,rõõm,ուրախություն
253,Gelächter::N,naer,ծիծաղ
254,Glück::N,õnn,երջանկություն
255,Kummer::N,mure,վիշտ
256,Kummer::N,kurbus,վիշտ
257,Wunsch::N,soov,ցանկություն
258,Lust::N,himu,փափագ
259,Lust::N,himu,իղձ
260,Geist::N,vaim,ոգի
261,Gedanke::N,mõte,միտք
262,Gedächtnis::N,mälu,հիշողություն
263,Verstand::N,aru,խելք
264,Verstand::N,mõistus,խելք
265,Sinn::N,tähendus,իմաստ
266,Grund::N,põhjus,պատճառ
267,Wahrheit::N,tõde,ճշմարտություն
268,Gespräch::N,kõne,զրույց
269,Gespräch::N,vestlus,զրույց
270,Märchen::N,muinasjutt,պայիկի պատմություն
271,Erzählung::N,jutustus,պատմվածք
272,Erzählung::N,jutustus,պատմություն
273,Nachricht::N,teade,հաղորդագրություն
274,Neuigkeit::N,uudis,լուր
275,Neuigkeit::N,uudis,նորություն
276,Name::N,nimi,անուն
277,Rätsel::N,mõistatus,բարդ խնդիր
278,Rede::N,kõne,ճառ
279,Rede::N,kõne,ելույթ
280,Sprache::N,keel,լեզու
281,Stimme::N,hääl,ձայն
282,Wort::N,sõna,բառ
283,Zeichen::N,märk,նշան
284,Ruf::N,hüüe,կոչ
285,Ruf::N,hüüe,կանչ
286,Lärm::N,müra,աղմուկ
287,Laut::N,hääl,հնչյուն
288,Laut::N,hääl,ձայն
289,Ton::N,toon,տոն
290,Lied::N,laul,երգ
291,Ruhe::N,rahu,անդորրություն
292,Ruhe::N,vaikus,անդորրություն
293,Leute::N,inimesed,մարդիկ
294,Volk::N,rahvas,ազգ
295,Arbeit::N,töö,գործ
296,Arbeit::N,töö,աշխատանք
297,Gast::N,külaline,հյուր
298,Geschenk::N,kingitus,նվեր
299,Spiel::N,mäng,խաղ
300,Gesellschaft::N,selts,ընկերություն
301,Hilfe::N,abi,օգնությթուն
302,Freund::N,sõber,ընկեր
303,Freund::N,sõber,բարեկամ
304,Kamerad::N,sõber,ուղեկից
305,Angelegenheit::N,asi,բան
306,Angelegenheit::N,asi,գործ
307,Anzahl::N,arv,քանակ
308,Anzahl::N,arv,գումար
309,Anzahl::N,hulk,քանակ
310,Anzahl::N,hulk,գումար
311,Art::N,liik,տեսակ
312,Stück::N,tükk,կտոր
313,Teil::N,osa,մաս
314,Hälfte::N,pool,կես
315,Kreis::N,ring,շիջանակ
316,Kreuz::N,rist,խաչ
317,Linie::N,joon,գիծ
318,Strich::N,joon,գիծ
319,Abstand::N,vahe,անջրպետ
320,Entfernung::N,kaugus,հեռավորություն
321,Entfernung::N,vahemaa,հեռավորություն
322,Gegend::N,ümbrus,շրջան
323,Platz::N,ruum,տարածություն
324,Ort::N,paik,տեղ
325,Ort::N,paik,վայր
326,Seite::N,pool,կողմ
327,Mitte::N,keskpaik,մեջտեղ
328,Gegenstand::N,ese,առարկա
329,Sache::N,ese,բան
330,Rand::N,äär,վերջք
331,Rand::N,serv,վերջք
332,Kante::N,kant,եզր
333,Ecke::N,nurk,անկյուն
334,Spitze::N,teravik,ծայր
335,Ende::N,ots,ծայր
336,Ende::N,jupp,ծայր
337,Loch::N,auk,անցք
338,Winkel::N,nurk,անկյուն
339,Muster::N,muster,օրինակ
340,Größe::N,suurus,մեծություն
341,Länge::N,pikkus,երկարություն
342,Höhe::N,kõrgus,բարձրություն
343,Gewicht::N,kaal,կշիռ
344,Gewicht::N,raskus,կշիռ
345,Menge::N,arv,քանակ
346,Menge::N,hulk,քանակ
347,Haufen::N,hunnik,դեզ
348,Haufen::N,hunnik,կույտ
349,Reihe::N,rivi,շարք
350,Reihe::N,rivi,կարգ
351,Boot::N,paat,նավակ
352,Ruder::N,aer,թի
353,Ruder::N,aer,թիակ
354,Schlitten::N,saan,բալխիր
355,Ski::N,suusk,դահուկ
356,Lagerfeuer::N,lõke,բացօդեայ կրակ
357,Last::N,koorem,բեռ
358,Gang::N,käik,զբոսանք
359,Schritt::N,samm,քայլ
360,Norden::N,põhi,հյուսիս
361,Süden::N,lõuna,հարավ
362,Westen::N,lääs,արեւմուտք
363,Osten::N,ida,արեւելք
364,Holz::N,puu,փայտ
365,Brett::N,saelaud,տախտակ
366,Platte::N,plaat,թիթեղ
367,Stütze::N,tugi,նեցուկ
368,Stange::N,latt,ձող
369,Stange::N,teivas,ձող
370,Stock::N,kepp,փայտ
371,Stab::N,varras,ցուպ
372,Stab::N,varras,գավազան
373,Rohr::N,toru,խողովակ
374,Haus::N,maja,տուն
375,Heim::N,kodu,տուն
376,Ofen::N,ahi,վառարան
377,Fußboden::N,põrand,հատակ
378,Tisch::N,laud,սեղան
379,Stuhl::N,tool,աթոռ
380,Wiege::N,häll,օրորոց
381,Wiege::N,kätki,օրորոց
382,Bett::N,voodi,անկողին
383,Regal::N,riiul,դարակ
384,Kiste::N,kast,տուփ
385,Fenster::N,aken,պատուհան
386,Tür::N,uks,դուռ
387,Tor::N,värav,դարպաս
388,Zaun::N,aed,ցանկապատ
389,Zaun::N,tara,ցանկապատ
390,Dach::N,katus,տանիք
391,Dach::N,katus,կտուր
392,Leiter::N,redel,սանդուղք
393,Besen::N,luud,ավել
394,Spaten::N,labidas,բահ
395,Schaufel::N,kühvel,թի
396,Gabel::N,kahvel,պատառաքաղ
397,Löffel::N,lusikas,գդալ
398,Messer::N,nuga,դանակ
399,Nagel::N,nael,մեխ
400,Netz::N,võrk,ցանց
401,Haken::N,haak,կարթ
402,Haken::N,konks,կարթ
403,Griff::N,sang,կոթ
404,Griff::N,sang,բռնակ
405,Griff::N,käepide,կոթ
406,Griff::N,käepide,բռնակ
407,Schloss::N,lukk,կողպեք
408,Bild::N,pilt,նկար
409,Bild::N,pilt,պատկեր
410,Figur::N,kuju,քանդակ
411,Figur::N,kuju,պատկեր
412,Figur::N,kujund,քանդակ
413,Figur::N,kujund,պատկեր
414,Puppe::N,nukk,տիկնիկ
415,Beutel::N,paun,տոպրակ
416,Bündel::N,kimp,կապոց
417,Tasche::N,kott,պայուսակ
418,Eimer::N,pang,դույլ
419,Eimer::N,ämber,դույլ
420,Deckel::N,kaas,կափարիչ
421,Geschirr::N,nõud,ամանեղեն
422,Sack::N,kott,պարկ
423,Sack::N,kott,տոպրակ
424,Tasse::N,tass,թաս
425,Tasse::N,tass,գավաթ
426,Topf::N,pada,անոթ
427,Kessel::N,pada,կաթսա
428,Essen::N,söök,կերակուր
429,Nahrung::N,toit,ուտելիք
430,Speise::N,roog,խորտիկ
431,Speise::N,roog,կերակուր
432,Fleisch::N,liha,միս
433,Getreide::N,teravili,հացահատիկ
434,Brei::N,puder,լանդակ
435,Brot::N,sai,հաց
436,Brot::N,leib,հաց
437,Scheibe::N,viil,կտոր
438,Scheibe::N,viil,պատառ
439,Scheibe::N,viilukas,կտոր
440,Scheibe::N,viilukas,պատառ
441,Fett::N,rasv,ճարպ
442,Butter::N,või,կարագ
443,Öl::N,õli,ձեթ
444,Salz::N,sool,աղ
445,Suppe::N,supp,սուպ
446,Suppe::N,supp,ապուր
447,Honig::N,mesi,մեղր
448,Milch::N,piim,կաթ
449,Tee::N,tee,թեյ
450,Leder::N,nahk,կաշի
451,Wolle::N,vill,բուրդ
452,Stoff::N,kangas,գործվածք
453,Nadel::N,nõel,ասեղ
454,Faden::N,niit,թել
455,Knopf::N,nööp,կոճակ
456,Knoten::N,sõlm,հանգույց
457,Farbe::N,värv,ներկ
458,Kleidung::N,riided,հագուստ
459,Kleidung::N,riietus,հագուստ
460,Hemd::N,särk,վերնաշապիկ
461,Kragen::N,krae,օձիք
462,Ärmel::N,varrukas,թեւք
463,Hose::N,püksid,շալվար
464,Gürtel::N,vöö,գոտի
465,Mütze::N,müts,կեպի
466,Schuh::N,king,կոշիկ
467,Stiefel::N,saabas,երկարաճիթ կոշիկ
468,Ring::N,sõrmus,զնգալ
469,Band::N,lint,ժապավեն
470,Kamm::N,kamm,սանր
471,Spiegel::N,peegel,հայելի
472,Riemen::N,rihm,փոկ
473,Schnur::N,nöör,լար
474,Leine::N,jalutusrihm,փոկ
475,Decke::N,tekk,վերմակ
476,Kissen::N,padi,բարձ
477,Tuch::N,kalev,թաշկինակ
478,Handtuch::N,käterätik,սրբիչ
479,Kraft::N,jõud,ուժ
480,Stärke::N,tugevus,պնդություն
481,Stärke::N,tugevus,ամրություն
482,Gesundheit::N,tervis,առողջություն
483,Krankheit::N,haigus,ախտ
484,Krankheit::N,haigus,հիվանդություն
485,Schmerz::N,valu,ցավ
486,Schmerz::N,valu,տանջանք
487,Wunde::N,haav,վերք
488,Fieber::N,palavik,տենդ
489,Arznei::N,ravim,դեղ
490,Brücke::N,sild,կամուրջ
491,Brunnen::N,kaev,հոր
492,Brunnen::N,kaev,ջրհոր
493,Weide::N,karjamaa,արոտավայր
494,Pfad::N,rada,արահետ
495,Weg::N,tee,ուղի
496,Straße::N,tee,ճանապարհ
497,Dorf::N,küla,գյուղ
498,Stadt::N,linn,քաղաք
499,Brief::N,kiri,նամակ
500,Buch::N,raamat,գիրք
501,Buchstabe::N,täht,տառ
502,Buchstabe::N,täht,գիր
503,Zeitung::N,ajaleht,լրագիր
504,Leben::N,elu,կյանք
505,Tod::N,surm,մահ
506,Grab::N,haud,գերեզման
507,Kirche::N,kirik,եկեղեցի
508,Sünde::N,patt,մեղք
509,Gott::N,jumal,աստված
510,Arbeiter::N,tööline,բանվոր
511,Arbeiter::N,tööline,աշխատող
512,Chef::N,ülemus,տեր
513,Chef::N,juhataja,տեր
514,Meister::N,meister,վարպետ
515,Arzt::N,arst,բժիշկ
516,Lehrer::N,õpetaja,ուսուցիչ
517,Geld::N,raha,փող
518,Geschäft::N,äri,գործ
519,Geschäft::N,äri,աշխատանք
520,Laden::N,pood,կրպակ
521,Laden::N,pood,խանութ
522,Laden::N,kauplus,կրպակ
523,Laden::N,kauplus,խանութ
524,Preis::N,hind,գին
525,Ware::N,kaup,ապրանք
526,Nutzen::N,tulu,օգուտ
527,Nutzen::N,kasulikkus,օգուտ
528,Reichtum::N,rikkus,հարստություն
529,Welt::N,maailm,աշխարհ
530,Land::N,maa,երկիր
531,Staat::N,riik,պետություն
532,König::N,kuningas,արքա
533,König::N,kuningas,թագավոր
534,Macht::N,võim,իշխանություն
535,Grenze::N,piir,սահման
536,Krieg::N,sõda,պատերազմ
537,Feind::N,vaenlane,թշնամի
538,Gewalt::N,väevõim,բռնություն
539,Gewalt::N,väevõim,սաստկություն
540,Kampf::N,võitlus,մարտ
541,Bogen[Waffe]::N,vibu,աղեղ
542,Pfeil::N,nool,նետ
543,Gewehr::N,püss,հրացան
544,Fehler::N,viga,սխալ
545,Lüge::N,vale,սուտ
546,Schaden::N,kahju,վնաս
547,Unglück::N,häda,դժբախտություն
548,Unglück::N,õnnetus,դժբախտություն
549,Schuld::N,süü,պակասություն
550,Alter::N,iga,հասակ
551,Schluss::N,lõpp,վերջ
552,Schluss::N,lõpp,վախճան
553,Zeit::N,aeg,ժամանակ
554,Tag::N,päev,օր
555,Morgen::N,hommik,առավոտ
556,Mittag::N,lõuna,կեսօր
557,Mittag::N,keskpäev,կեսօր
558,Abend::N,õhtu,երեկո
559,Nacht::N,öö,գիշեր
560,Woche::N,nädal,շաբաթ
561,Monat::N,kuu,ամիս
562,Jahr::N,aasta,տարի
563,Frühling::N,kevad,գարուն
564,Sommer::N,suvi,ամառ
565,Herbst::N,sügis,աշուն
566,Winter::N,talv,ձմեռ
567,Januar::N,jaanuar,հունվար
568,Februar::N,veebruar,փետրվար
569,März::N,märts,մարտ
570,April::N,aprill,ապրիլ
571,Mai::N,mai,մայիս
572,Juni::N,juuni,հունիս
573,Juli::N,juuli,հուլիս
574,August::N,august,օգոստոս
575,September::N,september,սեպտեմբեր
576,Oktober::N,oktoober,հոկտեմբեր
577,November::N,november,նոյեմբեր
578,Dezember::N,detsember,դեկտեմբեր
579,Montag::N,esmaspäev,երկուշաբթի
580,Dienstag::N,teisipäev,երեքշաբթի
581,Mittwoch::N,kesknädal,չորեքշաբթի
582,Donnerstag::N,neljapäev,հինգշաբթի
583,Freitag::N,reede,ուրբաթ
584,Samstag::N,laupäev,շաբաթ
585,Sonntag::N,pühapäev,կիրակի
586,groß::A,suur,մեծ
587,groß::A,suur,խոշոր
588,klein::A,väike,պստիկ
589,klein::A,väike,փոքրիկ
590,klein::A,pisike,պստիկ
591,klein::A,pisike,փոքրիկ
592,lang::A,pikk,երկար
593,kurz::A,lühike,կարճ
594,breit::A,lai,լայն
595,schmal::A,kitsas,նեղ
596,dicht::A,tihe,խիտ
597,dick[Gegenstand]::A,jäme,հաստ
598,dünn::A,õhuke,բարակ
599,dünn::A,peenike,բարակ
600,fein::A,peen,նուրբ
601,fein::A,õhuke,նուրբ
602,fest::A,püsiv,ամուր
603,fest::A,püsiv,պինդ
604,fest::A,kindel,ամուր
605,fest::A,kindel,պինդ
606,flach::A,lame,տափակ
607,flach::A,tasane,տափակ
608,glatt::A,sile,հարթ
609,hart::A,kõva,կարծր
610,weich::A,pehme,մեղմ
611,weich::A,pehme,փափուկ
612,rund::A,ümar,կլոր
613,spitz::A,torkav,սրածայր
614,scharf::A,terav,սուր
615,stumpf::A,nüri,գուլ
616,schwer::A,raske,ծանր
617,schön::A,kena,սիրուն
618,schön::A,kena,գեղեցիկ
619,heiß::A,kuum,թեժ
620,heiß::A,palav,թեժ
621,warm::A,soe,տաք
622,warm::A,soe,ջերմ
623,kalt::A,külm,ցուրտ
624,kühl::A,jahe,զով
625,frisch::A,värske,թարմ
626,feucht::A,niiske,ղոնավ
627,nass::A,märg,թաց
628,trocken::A,kuiv,ցամաք
629,voll::A,täis,լի
630,voll::A,täis,լիքը
631,leer::A,tühi,դատարկ
632,offen::A,avatud,բաց
633,offen::A,lahtine,բաց
634,geschlossen::A,suletud,գոց
635,sauber::A,puhas,մաքուր
636,schmutzig::A,räpane,կեղտոտ
637,schmutzig::A,määrdunud,կեղտոտ
638,roh::A,toores,հում
639,reif::A,küps,հասած
640,reif::A,küps,հասուն
641,lecker::A,hõrk,համեղ
642,lecker::A,maitsev,համեղ
643,süß::A,magus,անուշ
644,bitter::A,mõru,կծու
645,sauer::A,hapu,թթու
646,sauer::A,hapu,թթված
647,hell::A,hele,պայծառ
648,hell::A,hele,խելամիտ
649,dunkel::A,pime,մութ
650,schwarz::A,must,սեւ
651,weiß::A,valge,սպիտակ
652,rot::A,punane,կարմիր
653,gelb::A,kollane,դեղին
654,blau::A,sinine,կապույտ
655,grün::A,roheline,կանաչ
656,grau::A,hall,գորշ
657,bunt::A,kirju,գոյնզգոյն
658,bunt::A,värviline,գոյնզգոյն
659,billig::A,odav,էժան
660,teuer::A,kallis,թանկ
661,wertvoll::A,väärtuslik,թանկարժեք
662,blind::A,pime,կույր
663,taub::A,kurt,խուլ
664,kräftig::A,jõuline,հզոր
665,stark::A,tugev,ուժեղ
666,schwach::A,nõrk,տկար
667,schwach::A,nõrk,թույլ
668,schwach::A,jõuetu,տկար
669,schwach::A,jõuetu,թույլ
670,fett::A,rasvane,գեր
671,schlank::A,sale,նիհար
672,hübsch::A,kena,գրավիչ
673,hübsch::A,kena,սիրունիկ
674,böse::A,tige,չար
675,dumm::A,juhm,հիմար
676,dumm::A,rumal,հիմար
677,faul::A,laisk,ծույլ
678,fleißig::A,virk,ջանասեր
679,fleißig::A,virk,փութաջան
680,fleißig::A,hoolas,ջանասեր
681,fleißig::A,hoolas,փութաջան
682,geizig::A,ihne,ագահ
683,geizig::A,ihne,կծծի
684,klug::A,tark,խելոք
685,klug::A,tark,ընդունակ
686,klug::A,arukas,խելոք
687,klug::A,arukas,ընդունակ
688,klug::A,mõistlik,խելոք
689,klug::A,mõistlik,ընդունակ
690,geschickt::A,osav,ճարտար
691,lieb::A,armas,սիրելի
692,lustig::A,lõbus,զվարթ
693,sanft::A,õrn,հեզ
694,hungrig::A,näljane,քաղցած
695,krank::A,haige,հիվանդ
696,nackt::A,alasti,մերկ
697,traurig::A,kurb,տխուր
698,lebendig::A,elus,կենդանի
699,gut::A,hea,լավ
700,schlecht::A,halb,վատ
701,richtig::A,õige,ձիշտ
702,schlimm::A,paha,լղրճուկ
703,wahr::A,tõene,ճիշտ
704,wahr::A,tõene,իրական
705,alt::A,vana,հին
706,neu::A,uus,նոր
707,ehemalig::A,endine,նախկին
708,alt[Lebewesen]::A,vana,ծեր
709,alt[Lebewesen]::A,vana,պառավ
710,jung::A,noor,մատաղ
711,arm::A,vaene,աղքատ
712,reich::A,rikas,հարուստ
713,bekannt::A,teada,ծանոթ
714,bekannt::A,tuttav,ծանոթ
715,berühmt::A,tuntud,հայտնի
716,berühmt::A,tuntud,հռչակավոր
717,fremd::A,võõras,օտար
718,verschieden::A,erinev,տարբեր
719,nah::A,lähedane,մոտ
720,nah::A,lähedane,մերձ
721,fern::A,kauge,հեռավոր
722,linker::A,vasak,ձախ
723,rechter::A,parem,աջ
724,anderer::A,muu,այլ
725,anderer::A,muu,ուրիշ
726,anderer::A,teine,այլ
727,anderer::A,teine,ուրիշ
728,erster::A,esimene,առաջին
729,zweiter::A,teine,երկրորդ
730,dritter::A,kolmas,երրորդ
731,letzter::A,viimane,վերջին
732,allein::ADV,üksi,միայնակ
733,auf einmal::ADV,korraga,միասնաբար
734,auf einmal::ADV,ühekorraga,միասնաբար
735,zusammen::ADV,koos,միասին
736,zusammen::ADV,koos,իրար հետ
737,zusammen::ADV,üheskoos,միասին
738,zusammen::ADV,üheskoos,իրար հետ
739,lange::ADV,kaua,երկար ժամանակ
740,plötzlich::ADV,äkki,հանկարծ
741,plötzlich::ADV,järsku,հանկարծ
742,sofort::ADV,kohe,իսկույն
743,später::ADV,hiljem,ավելի ուշ
744,später::ADV,hiljem,հետո
745,jetzt::ADV,nüüd,այժմ
746,heute::ADV,täna,այսօր
747,morgen::ADV,homme,վաղը
748,bald::ADV,pea,շուտով
749,bald::ADV,varsti,շուտով
750,dann::ADV,siis,ապա
751,dann::ADV,siis,հետո
752,gestern::ADV,eile,երեկ
753,einst::ADV,vanasti,հին ատեն
754,damals::ADV,tookord,ատէնին
755,danach::ADV,seejärel,ապա
756,danach::ADV,seejärel,այն ժամանակ
757,vorher::ADV,enne,առաջ
758,zuerst::ADV,enne,նախ
759,zuerst::ADV,esmalt,նախ
760,einmal::ADV,kord,մի անգամ
761,einmal::ADV,üks kord,մի անգամ
762,manchmal::ADV,mõnikord,երբեմն
763,oft::ADV,tihti,հաճախ
764,oft::ADV,sageli,հաճախ
765,immer::ADV,ikka,միշտ
766,immer::ADV,alati,միշտ
767,niemals::ADV,mitte kunagi,երբեք
768,hier::ADV,siin,այստեղ
