,Concept_ID,uk,br
733,wieviel::FNUM,скільки,pet
734,eins::NUM,один,unan
735,zwei::NUM,два,daou
736,drei::NUM,три,tri
737,vier::NUM,чотири,pevar
738,fünf::NUM,п’ять,pemp
739,sechs::NUM,шість,c'hwec'h
740,sieben::NUM,сім,seizh
741,acht::NUM,вісім,eizh
742,neun::NUM,дев’ять,nav
743,zehn::NUM,десять,dek
744,elf::NUM,одинадцять,unnek
745,zwölf::NUM,дванадцять,daouzek
746,zwanzig::NUM,двадцять,ugent
747,dreißig::NUM,тридцять,tregont
748,vierzig::NUM,сорок,daou-ugent
749,fünfzig::NUM,п’ятдесят,hanter-kant
750,sechzig::NUM,шістдесят,tri-ugent
751,siebzig::NUM,сімдесят,dek ha tri-ugent
752,achtzig::NUM,вісімдесят,pevar-ugent
753,neunzig::NUM,дев’яносто,dek ha pevar-ugent
754,hundert::NUM,сто,kant
755,tausend::NUM,тисяча,mil
756,und::CNJ,і,ha
757,oder::CNJ,або,pe
758,stehen::V,стояти,bezañ a-sav
759,sitzen::V,сидіти,azezañ
760,sitzen::V,сидіти,bezañ en e goazez
761,liegen::V,лежати,bezañ en e c'hourvez
762,hängen::V,висіти,krougañ
763,werden::V,стати,dazonet
764,werden::V,робитися,dazonet
765,passieren::V,трапитися,c'hoarvezout
766,beginnen::V,початися,stagañ
767,enden::V,кінчитися,achuiñ
768,wechseln::V,мінятися,cheñch
769,aufgehen[Sonne]::V,зійти,dirouzañ
770,untergehen[Sonne]::V,зайти,
771,scheinen[Sonne]::V,світити,lugernañ
772,donnern::V,гриміти,taranal
773,wehen::V,віяти,c'hwezhañ
774,strömen::V,литися,deredek
775,fließen::V,текти,redek
776,sich drehen::V,обертатися,troiñ
777,schwanken::V,коливатися,trantellat
778,schwingen::V,хитатися,froumal
779,schwingen::V,гойдатися,froumal
780,fallen::V,падати,kouezhañ
781,brennen::V,горіти,deviñ
782,rauchen::V,диміти,divogedañ
783,regnen::V,дощити,glavañ
784,gefrieren::V,змерзнути,reviñ
785,tauen::V,танути,diskornañ
786,schmelzen::V,плавитися,teuziñ
787,trocknen::V,сохнути,sec'hañ
788,sieden::V,кипіти,berviñ
789,faulen::V,гнити,breinañ
790,verfaulen::V,згнити,breinañ
791,reißen::V,рватися,darnaouiñ
792,versinken::V,тонути,sodellañ
793,vergehen::V,проходити,tremen
794,erscheinen::V,з’явитися,donet war-wel
795,verschwinden::V,щезнути,monet diwar wel
796,verschwinden::V,зникнути,monet diwar wel
797,sinken::V,спадати,en em izelat
798,abnehmen::V,поменшитися,nebeutaat
799,zunehmen::V,збільшуватися,kreskiñ
800,steigen::V,підніматися,sevel
801,wachsen::V,рости,kreskiñ
802,glänzen::V,блищати,lugernañ
803,funkeln::V,блискати,elieniñ
804,lärmen::V,шуміти,rabotat
805,läuten::V,дзвонити,
806,klingeln::V,дзвонити,
807,klirren::V,дзвякати,diridignat
808,klirren::V,дзвякати,sterlinkañ
809,brausen::V,бушувати,gwegal
810,rauschen::V,шелестіти,trouzal
811,klingen::V,лунати,seniñ
812,klingen::V,звучати,seniñ
813,bellen::V,гавкати,harzhal
814,heulen::V,вити,yudal
815,blasen::V,дунути,c'hwezhañ
