,Concept_ID,ce,xal
114,Bucht::N,чож,цекә
115,Bucht::N,чож,теңгсин цекә
116,Insel::N,гӏайре,арл
117,Blume::N,зезаг,цецг
118,Gras::N,буц,ноһан
119,Wurzel::N,орам,уңг
120,Baum::N,дитт,модн
121,Stamm::N,гӏад,шилв
122,Stamm::N,гӏад,һол модн
123,Stamm::N,тайпа,шилв
124,Stamm::N,тайпа,һол модн
125,Rinde::N,кевстиг,көрсн
126,Ast::N,га,ац
127,Zweig::N,га,ац
128,Blatt::N,гӏа,хамтхасн
129,Birke::N,дакх,хусм модн
130,Kiefer[Baum]::N,бага,шар харһа
131,Weide[Baum]::N,дак,удн
132,Tanne::N,база,җөөлн цаһан модн
133,Horn::N,маӏа,өвр
134,Feder::N,пелаг,өрвлг
135,Fell::N,цӏока,арсн
136,Flügel::N,тӏам,җивр
137,Klaue::N,мӏара,хумсн
138,Kralle::N,тlод,тавг
139,Schwanz::N,цӏога,сүл
140,Ei::N,xӏoa,өндгн
141,Nest::N,бен,үр
142,Bau::N,lуьрг,нүкн
143,Tier::N,дийнат,мал
144,Herde::N,жа,сүрг мал
145,Kuh::N,етт,үкр
146,Bulle::N,сту,бух
147,Pferd::N,говр,мөрн
148,Schaf::N,жий,хөн
149,Schaf::N,уьстагӏ,хөн
150,Schwein::N,хьакха,һаха
151,Hund::N,жӏаьла,ноха
152,Katze::N,цициг,мис
153,Bär::N,ча,аю
154,Eichhörnchen::N,тарсал,кермн
155,Elch::N,сай,хандһа
156,Fuchs::N,цхьогал,арат
157,Hase::N,пхьагал,туула
158,Maus::N,дахка,хулһн
159,Wolf::N,борз,чон
160,Vogel::N,олхазар,шовун
161,Huhn::N,котам,така
162,Hahn::N,нӏаьна,эр така
163,Hahn::N,боргӏал,эр така
164,Gans::N,гӏаз,һалун
165,Adler::N,aьрзу,һәрд
166,Ente::N,бад,нуһсн
167,Eule::N,бухӏа,һурвлһ
168,Kranich::N,гӏаргӏули,тоһрун
169,Krähe::N,къиг,шаазһа
170,Kuckuck::N,aттйокх,эргин хуцдг
171,Schwan::N,гӏургӏаз,хун
172,Fisch::N,чӏара,заһсн
173,Barsch::N,окунь,шүрг
174,Hecht::N,гӏазкхийн чӏара,цурх
175,Schlange[Tier]::N,лаьхьа,моһа
176,Wurm::N,нӏаьна,өтн
177,Spinne::N,гезг,аралҗн
178,Ameise::N,зингат,шорһлҗн
179,Laus::N,меза,бөөсн
180,Laus::N,гӏениг,бөөсн
181,Mücke::N,чуьрк,бөкүн
182,Fliege::N,моза,батхн
183,Schmetterling::N,полла,эрвәкә
184,Beere::N,цӏазам,бөөлҗрһн
185,Apfel::N,ӏаж,альмн
186,Pilz::N,жӏаьлин нускал,теңгрин ки
187,Zwiebel::N,xох,мәңгрснә толһа
188,Saat::N,чlу,буудян экн
189,Korn::N,буьртиг,экн
190,Heu::N,йол,өвсн
191,Schale::N,пардо,хальсн
192,Grube::N,ор,нүкн
193,Falle::N,кӏело,урх
194,Falle::N,кӏело,хавх
195,Spur::N,лар,мөр
196,Asche::N,чим,үмсн
197,Dreck::N,мода,бальчг
198,Eisen::N,эчиг,төмр
199,Gold::N,деши,алтн
200,Silber::N,дети,мөңгн
201,Silber::N,дети,цаһан мөңгн
202,Kohle::N,кӏора,нүүрсн
203,Glas::N,aнгали,шил
204,Lehm::N,поппар,шавр
205,Sand::N,гӏум,элсн
206,Mensch::N,адам,күн
207,Mensch::N,адам,күмн
208,Mann::N,майра,эр
209,Frau::N,зуда,күүкд күн
210,Kind::N,бер,үрн
211,Junge::N,жимха,көвүн
212,Mädchen::N,жима йоӏ,бичкн күүкн
213,Familie::N,доьзал,бүл
214,Großvater::N,ненада,өвк эцк
215,Großvater::N,ненада,наһц эцк
216,Großmutter::N,денана,эмг эк
217,Großmutter::N,денана,наһц эк
218,Eltern::N,да-нана,эк эцк хойр
219,Vater::N,да,эцк
220,Mutter::N,нана,эк
221,Sohn::N,кӏант,көвүн
222,Tochter::N,йоӏ,күүкн
223,Bruder::N,ваша,дү көвүн
224,Schwester::N,йиша,эгч
225,Schwester::N,йиша,дү күүкн
226,Onkel::N,деваша,авһ
227,Onkel::N,деваша,наһцх
228,Tante::N,дейиша,наһц эгч
229,Ehemann::N,майра,залу
230,Ehefrau::N,зуда,гергн
231,Freude::N,самукъа,байр
232,Freude::N,хазахетар,байр
233,Gelächter::N,белам,инәдн
234,Glück::N,ирс,җирһл
235,Glück::N,ирс,сәәхн җирһл
236,Kummer::N,бала,зовлң
237,Wunsch::N,лаам,дурн
238,Lust::N,лаам,җилвтлһн
239,Geist::N,са,зөрг
240,Gedanke::N,ойла,ухан
241,Gedächtnis::N,диццадалар,чееҗин тодлвр
242,Verstand::N,хьекъал,ухан
243,Sinn::N,маьӏна,учр-утх
244,Grund::N,бахьана,учр
245,Grund::N,бахьана,шалтан
246,Wahrheit::N,бакъдерг,үнн
247,Gespräch::N,къамел,күүндвүр
248,Märchen::N,туьйра,тууль
249,Erzählung::N,дийцар,келвр
250,Nachricht::N,хаам,медүллһн
251,Neuigkeit::N,керланиг,зәңг
252,Name::N,цӏе,нерн
253,Rätsel::N,хӏетал-метал,тәәлвртә тууль
254,Rede::N,къамел,келлһн
255,Sprache::N,мотт,келн
256,Stimme::N,aз,дун
257,Wort::N,дош,үг
258,Zeichen::N,билгало,темдг
259,Ruf::N,кхайкхар,дуудлһн
260,Lärm::N,гӏовгӏа,шууган
261,Laut::N,аз,ә
262,Ton::N,aз,дун
263,Lied::N,илли,дун
264,Ruhe::N,тийналла,амулң
265,Leute::N,нах,әмтн
266,Volk::N,халкъ,улс
267,Arbeit::N,болх,көдлмш
268,Gast::N,хьаша,гиич
269,Geschenk::N,совгӏат,белг
270,Spiel::N,ловзар,наадн
271,Gesellschaft::N,юкъаралла,олн
272,Hilfe::N,гӏо,нөкд
273,Freund::N,доттагl,иньг
274,Kamerad::N,накъост,үр
275,Angelegenheit::N,гӏуллакх,керг
276,Anzahl::N,терахь,то
277,Stück::N,юьхк,хусг
278,Teil::N,дакъа,хүв
279,Hälfte::N,ах,өрәл
280,Kreis::N,го,төгрг
281,Kreuz::N,жӏара,кирс
282,Linie::N,сиз,зурасн
283,Strich::N,сиз,татасн
284,Abstand::N,юкъ,зә
285,Gegend::N,мeттиг,һазр
286,Platz::N,майда,зә
287,Ort::N,меттиг,бәәрн
288,Seite::N,aгӏo,тал
289,Seite::N,aгӏo,хаҗу
290,Seite::N,aгӏo,хәврһ
291,Mitte::N,юкъ,дунд
292,Gegenstand::N,хӏума,юмн
293,Sache::N,хӏума,юмн
294,Rand::N,йист,зах
295,Kante::N,йист,ирмәг
296,Ecke::N,са,өнцг
297,Spitze::N,ралла,үзүр
298,Ende::N,юьхьиг,үзүр
299,Loch::N,ӏуьрг,хаһрха
300,Winkel::N,са,булң
301,Muster::N,дагар,намч
302,Muster::N,тӏамар,намч
303,Größe::N,барам,кемҗән
304,Länge::N,йохалла,ут
305,Höhe::N,локхалла,өндр
306,Gewicht::N,йозалла,күнд
307,Gewicht::N,йозалла,чиңнүр
308,Menge::N,дукхалла,ик
309,Haufen::N,сал,ова
310,Haufen::N,оьла,ова
311,Reihe::N,рагӏ,зерг
312,Reihe::N,рагӏ,зерглән
313,Reihe::N,могӏа,зерг
314,Reihe::N,могӏа,зерглән
315,Boot::N,кема,оңһц
316,Ruder::N,пийсиг,хәәв
317,Schlitten::N,салаз,цан
318,Ski::N,когсалаз,лыҗ
319,Lagerfeuer::N,цӏе,костёр
320,Last::N,дукъ,күнд
321,Gang::N,лелар,йовлһн
322,Schritt::N,гӏулч,ишкм
323,Norden::N,къилбаседе,ар үзг
324,Süden::N,къилбе,өмн
325,Süden::N,къилбе,өмн үзг
326,Westen::N,малхбузе,барун
327,Westen::N,малхбузе,барун үзг
328,Osten::N,малхбале,зүн
329,Osten::N,малхбале,зүн үзг
330,Holz::N,дечиг,модн
331,Brett::N,у,харһа
332,Platte::N,у,хавтха чолун
333,Stütze::N,гӏopтоp,тулг
334,Stange::N,гӏуркх,уньн
335,Stock::N,ӏаса,модн
336,Stab::N,гӏаж,шуург
337,Rohr::N,биргӏа,турва
338,Haus::N,цӏа,гер
339,Heim::N,кхерч,гер-бул
340,Ofen::N,кхерч,беш
341,Fußboden::N,цӏенкъа,девскр
342,Tisch::N,шун,ширә
343,Stuhl::N,гӏант,стул
344,Wiege::N,ага,өлгә
345,Wiege::N,ага,дүүҗң
346,Bett::N,маьнга,орн
347,Bett::N,маьнга,орндг
348,Regal::N,терхи,таг
349,Regal::N,терхи,тәвц
350,Kiste::N,яьшка,яршг
351,Fenster::N,кор,терз
352,Tür::N,неӏ,үүдн
353,Tor::N,ков,үүдн
354,Tor::N,ков,өргн үүдн
355,Tor::N,ков,хашан үүдн
356,Zaun::N,керт,хаша
357,Dach::N,тхов,деевр
358,Leiter::N,лами,шат
359,Leiter::N,лами,давшур
360,Besen::N,нуй,сәвүр
361,Spaten::N,бел,күрз
362,Schaufel::N,аьшкал,совг
363,Gabel::N,мӏара,серә
364,Löffel::N,ӏайг,ухр
365,Messer::N,урс,утх
366,Nagel::N,хьостам,хадасн
367,Netz::N,бой,гөлм
368,Haken::N,мӏара,дегә
369,Schloss::N,чӏега,оньс
370,Bild::N,сурт,зург
371,Puppe::N,тайниг,наадһа
372,Beutel::N,гали,мишг
373,Bündel::N,кочар,багла
374,Bündel::N,кочар,боодһа
375,Tasche::N,тӏоьрмиг,сумк
376,Eimer::N,чийлик,суулһ
377,Deckel::N,негӏар,бүркәсн
378,Geschirr::N,пхьегӏа,сав
379,Geschirr::N,пхьегӏа,сав-сарх
380,Sack::N,гали,мишг
381,Tasse::N,кад,ааһ
382,Topf::N,яй,кастрюль
383,Kessel::N,яй,хәәсн
384,Essen::N,юург,зоогллһн
385,Nahrung::N,кхача,теҗәл
386,Speise::N,юург,хот
387,Fleisch::N,жижиг,махн
388,Getreide::N,буьртиг,хот болҗ эдлгддг цецгүдтә урһмл
389,Brei::N,xудар,хаш
390,Brot::N,бепиг,өдмг
391,Brot::N,кхаллар,өдмг
392,Scheibe::N,цастар,зүсм
393,Fett::N,мохь,өөкн
394,Butter::N,налха,тосн
395,Öl::N,даьтта,тосн
396,Salz::N,туьха,давсн
397,Suppe::N,чорпа,шөлн
398,Honig::N,моз,бал
399,Milch::N,шура,үсн
400,Tee::N,чай,цә
401,Leder::N,цӏока,арсн
402,Wolle::N,тӏapгӏa,утцн
403,Wolle::N,тӏapгӏa,эд
404,Stoff::N,кӏади,эд
405,Nadel::N,маха,зүн
406,Faden::N,тай,утцн
407,Knopf::N,нуьйда,товч
408,Knoten::N,шад,зәңгдә
409,Farbe::N,сир,будг
410,Farbe::N,басар,будг
411,Kleidung::N,бедар,хувцн
412,Kleidung::N,бедар,хувц-хунр
413,Hemd::N,коч,киилг
414,Kragen::N,кач,зах
415,Ärmel::N,пхьош,ханцн
416,Hose::N,хеча,шалвур
417,Gürtel::N,доьхка,бүс
418,Mütze::N,куй,махла
419,Schuh::N,мача,башмгуд
420,Stiefel::N,этка,һосн
421,Ring::N,чӏуг,билцг
422,Band::N,лента,лент
423,Kamm::N,ехк,сам
424,Spiegel::N,куьзга,толь
425,Riemen::N,доьхка,бүс
426,Schnur::N,муш,деесн
427,Leine::N,кочатосу доьхка,бурнтг
428,Leine::N,кочатосу доьхка,нохан көтлвр
429,Decke::N,юргӏа,көнҗл
430,Kissen::N,гIайба,дер
431,Tuch::N,исхар,альчур
432,Handtuch::N,гата,полотенц
433,Handtuch::N,гата,һар-нүүрин альчур
434,Kraft::N,гӏора,күчн
435,Stärke::N,гӏап,чидл
436,Gesundheit::N,могашалла,эрүл-менд
437,Krankheit::N,цамгар,өвчн
438,Schmerz::N,лазар,өвдлһн
439,Wunde::N,чов,шав
440,Fieber::N,xорша,безг
441,Arznei::N,молха,эм
442,Brücke::N,тӏай,тагт
443,Brunnen::N,гӏу,худг
444,Weide::N,дак,малын идг
445,Pfad::N,тача,цувг
446,Weg::N,некъ,хаалһ
447,Straße::N,урам,зам
448,Dorf::N,юрт,хотн
449,Stadt::N,гӏала,балһсн
450,Brief::N,кехат,бичг
451,Buch::N,жайна,дегтр
452,Buchstabe::N,элп,үзг
453,Zeitung::N,газет,газет
454,Leben::N,дахар,җирһл
455,Tod::N,далар,үкл
456,Tod::N,далар,өңгрлһн
457,Tod::N,ӏожалла,үкл
458,Tod::N,ӏожалла,өңгрлһн
459,Grab::N,каш,оршалһна нүкн
460,Kirche::N,килс,чонҗ
461,Sünde::N,къа,нүл
462,Sünde::N,къа,килнц
463,Gott::N,дела,бурхн
464,Arbeiter::N,белхало,көдлмшч
465,Chef::N,хьаькам,толһач
466,Meister::N,говзанча,урн
467,Arzt::N,лор,эмч
468,Lehrer::N,хьехархо,багш
469,Geld::N,aхча,мөңгн
470,Geschäft::N,туька,көдлмш
471,Laden::N,туька,лавк
472,Preis::N,мах,үн
473,Ware::N,хlума,эд-тавр
474,Nutzen::N,пайда,олз
475,Reichtum::N,хьал,зөөр
476,Welt::N,дуьне,орчлң
477,Welt::N,дуьне,делкә
478,Land::N,мохк,орн-нутг
479,Staat::N,пачхьалкх,государств
480,König::N,паччахь,хан
481,Macht::N,ӏедал,йосн
482,Grenze::N,доза,меҗә
483,Krieg::N,тӏом,дән
484,Feind::N,мостагӏ,дәәсн
485,Gewalt::N,гӏело,күч һарһлһн
486,Kampf::N,къийсам,ноолдан
487,Kampf::N,къийсам,бәрлдлһн
488,Pfeil::N,пха,сумн
489,Gewehr::N,топ,бу
490,Fehler::N,гӏалат,алдг
491,Lüge::N,аьшпаш,худл
492,Schaden::N,зен,хорлт
493,Unglück::N,бала,гүрм
494,Schuld::N,бехк,гем
495,Schuld::N,бехк,буру
496,Alter::N,хан,насн
497,Schluss::N,чакхе,чилгч
498,Zeit::N,хан,цаг
499,Tag::N,де,өдр
500,Morgen::N,ӏуьйре,өрүн
501,Mittag::N,делкъе,үд
502,Abend::N,суьйре,асхн
503,Nacht::N,буьйса,сө
504,Woche::N,кӏира,долан хонг
505,Monat::N,бутт,сар
506,Jahr::N,шо,җил
507,Frühling::N,бӏаьсте,хавр
508,Sommer::N,аьхке,зун
509,Herbst::N,гуьйре,намр
510,Winter::N,ӏа,үвл
511,Januar::N,январь,январь
512,Februar::N,февраль,февраль
513,März::N,март,март
514,März::N,март,моһа сар
515,April::N,апрель,апрель
516,Mai::N,май,май
517,Juni::N,июнь,июнь
518,Juni::N,июнь,мөчн сар
519,Juli::N,июль,июль
520,August::N,август,август
521,September::N,сентябрь,һаха сар
522,Oktober::N,октябрь,октябрь
523,November::N,ноябрь,ноябрь
524,November::N,ноябрь,үкр сар
525,Dezember::N,декабрь,бар сар
526,Montag::N,оршот,понедельник
527,Dienstag::N,шинара,вторник
528,Mittwoch::N,кхаара,среда
529,Mittwoch::N,кхаара,үлмҗ өдр
530,Donnerstag::N,еара,четверг
531,Donnerstag::N,еара,пүрвә өдр
532,Freitag::N,пӏераска,пятниц
533,Samstag::N,шот,суббот
534,Sonntag::N,кӏиранде,нарн өдр
535,Sonntag::N,кӏиранде,воскресень
536,groß::A,доккха,ик
537,klein::A,кегий,бичкн
538,lang::A,еха,ут
539,kurz::A,доца,оһтр
540,breit::A,шуьйра,өргн
541,schmal::A,готта,уутьхн
542,dicht::A,луьста,нигт
543,dick[Gegenstand]::A,стомма,зузан
544,dünn::A,дуткъа,нимгн
545,fein::A,ховха,нәрхн
546,fest::A,чӏогӏа,бат
547,flach::A,чӏапа,хавтха
548,glatt::A,шера,тегш
549,glatt::A,шера,тиньгр
550,hart::A,чӏогӏa,хату
551,weich::A,кӏеда,җөөлн
552,weich::A,кӏеда,җөөлкн
553,rund::A,горга,төгрг
554,spitz::A,ира,шовһр
555,scharf::A,ира,хурц
556,stumpf::A,аьртa,мука
557,schwer::A,деза,күнд
558,schön::A,хаза,сәәхн
559,heiß::A,довха,халун
560,warm::A,довха,дулан
561,kalt::A,шийла,киитн
562,kühl::A,шийла,серүн
563,frisch::A,керла,серүн
564,feucht::A,тӏуьна,чиигтә
565,nass::A,тӏеда,чиигтә
566,trocken::A,eкъа,хагсу
567,voll::A,дуьзна,дүүрң
568,leer::A,яьсса,сул
569,leer::A,яьсса,хоосн
570,offen::A,диллина,секәтә
571,geschlossen::A,дӏакъевлина,хаалһата
572,geschlossen::A,дӏачӏагӏдина,хаалһата
573,sauber::A,цӏена,цевр
574,schmutzig::A,боьха,киртә
575,roh::A,буьйда,түүкә
576,reif::A,хилла,болсн
577,lecker::A,чоме,әмтәхн
578,süß::A,мерза,әмтәхн
579,bitter::A,къаьхьа,һашун
580,bitter::A,къаьхьа,һашута
581,sauer::A,муьста,ишклң
582,hell::A,сирла,герлтә
583,dunkel::A,бодане,харңһу
584,schwarz::A,ӏаьржа,хар
585,weiß::A,кӏайн,цаһан
586,rot::A,цӏен,улан
587,gelb::A,можа,шар
588,blau::A,сийна,көк
589,grün::A,баьццара,көк
590,grau::A,cира,бор
591,grau::A,мокха,бор
592,bunt::A,къорза,алг
593,bunt::A,къорза,эрәтә
594,billig::A,дораха,кимд
595,teuer::A,деза,үнтә
596,wertvoll::A,мехала,үнтә
597,wertvoll::A,мехала,эрднь
598,blind::A,бӏаьрзе,сохр
599,taub::A,къора,дүлә
600,kräftig::A,нуьцкъала,күчтә
601,stark::A,зоьртала,чаңһ
602,stark::A,нуьцкъала,чаңһ
603,schwach::A,гӏорасиза,күчн тату
604,fett::A,дерстана,тарһн
605,schlank::A,куц долу,эццн
606,hübsch::A,хаза,көркхн
607,böse::A,вон,уурта
608,dumm::A,сонта,тенг
609,faul::A,мало ен,залху
610,fleißig::A,тӏера,кинән
611,fleißig::A,тӏера,кинмһә
612,geizig::A,пис,ховдг
613,geizig::A,сутара,ховдг
614,klug::A,хьекъале,ухата
615,geschickt::A,тӏахъаьлла,чадмг
616,lieb::A,хьоме,эңкр
617,lustig::A,самукъане,сергмҗтә
618,lustig::A,самукъане,җирһлтә
619,sanft::A,кlеда,номһн
620,hungrig::A,меца,өлн
621,hungrig::A,меца,харһнсн
622,krank::A,цомгуш долу,өвчтә
623,krank::A,цомгуш долу,шалтгта
624,nackt::A,дерзана,нүцкн
625,traurig::A,самукъане воцу,һундлта
626,lebendig::A,дийна,әмд
627,gut::A,дика,сән
628,schlecht::A,вон,му
629,richtig::A,нийса,зөвтә
630,schlimm::A,вон,җигшүртә
631,wahr::A,бакъдолу,үнн
632,wahr::A,бакъдолу,мөн
633,alt::A,къена,хуучн
634,neu::A,керла,шин
635,ehemalig::A,хилла,хуучн
636,alt[Lebewesen]::A,къена,көгшн
637,jung::A,къона,баһ
638,arm::A,къен,угатя
639,reich::A,хьоле,байн
640,bekannt::A,девзаш долу,таньл
641,bekannt::A,девзаш долу,таньдг
642,berühmt::A,цӏеяхана,туурсн
643,fremd::A,нехан,күүнә
644,verschieden::A,тайп-тайпанара,әдл биш
645,verschieden::A,тайп-тайпанара,йилһәтә
646,nah::A,гергара,өөрхн
647,fern::A,гена,хол
648,fern::A,генара,хол
649,linker::A,аьрру,зүн
650,rechter::A,аьтту,барун
651,anderer::A,кхин,талдан
652,erster::A,хьалхара,негдгч
653,zweiter::A,шолгIа,хойрдгч
654,dritter::A,кхоалгӏа,һурвдгч
655,letzter::A,тӏаьххьара,отхн
656,allein::ADV,цхьаъ,һанцарн
657,auf einmal::ADV,цу сохьтта,нег дәкҗ
658,zusammen::ADV,цхьана,хамдан
659,lange::ADV,дукха,удан
660,plötzlich::ADV,цIеххьана,генткн
661,sofort::ADV,цу сохьтта,дарунь
662,später::ADV,тӏаьхьо,сүүлд
663,jetzt::ADV,хӏинца,ода
664,heute::ADV,тахана,эндр
665,morgen::ADV,кхана,маңһдур
666,bald::ADV,кеста,дарунь
667,dann::ADV,тӏаккха,дәкәд
668,gestern::ADV,селхана,өцклдүр
669,einst::ADV,цкъа,нег саамд
670,damals::ADV,хӏетахьь,тиигхд
671,danach::ADV,тӏаккха,тегәд
672,vorher::ADV,хьалхa,урд
673,zuerst::ADV,хьалха,түрүләд
674,einmal::ADV,цкъа,нег дәкҗ
675,manchmal::ADV,цкъаццкъа,зәрмдән
676,oft::ADV,кест-кеста,хара биш
677,oft::ADV,кест-кеста,хатяр биш
678,oft::ADV,кест-кеста,дару-дарунь
679,immer::ADV,даим,оньдинд
680,niemals::ADV,цкъа а,кезә чмгн биш
681,hier::ADV,кхузахь,энд
682,hier::ADV,кхузахь,энүнд
683,hierhin::ADV,кхуза,нааран
684,von hier::ADV,кхузара,эндәс
685,dort::ADV,цигахь,тенд
686,dorthin::ADV,цига,тиигән
687,geradeaus::ADV,нийса дӏа,шуд
688,vorwärts::ADV,хьалха,уралан
689,rückwärts::ADV,юха,гедргән
690,zurück::ADV,юха,хәрү
691,unten::ADV,лахахь,дор
692,hinab::ADV,охьа,дор
693,hinab::ADV,охьа,доракшан
694,oben::ADV,лакхахь,деер
695,hinauf::ADV,хьала,өөдән
696,hinauf::ADV,хьала,деер
697,überall::ADV,массанхьа,альд болв чигн
698,nicht::ADV,ца,эс
699,nicht::ADV,ца,биш
700,nicht::ADV,ца,бичә
701,ein wenig::ADV,кӏеззиг,баахн
702,ein wenig::ADV,кӏеззиг,баахнар
703,kaum::ADV,халла,әрә
704,sehr::ADV,вуно,йир
705,noch::ADV,кхин,ода чигн
706,nur::ADV,бен ...ца,һанцхн
707,schon::ADV,хӏинцале,одх
708,wieder::ADV,юха а,бас
709,vergebens::ADV,эрна,киидән
710,vor::PRP,хьалха,урд
711,hinter::PRP,тӏехьа,ца
712,unter::PRP,кIелахь,дор
713,durch::PRP,чекх,ивт
714,durch::PRP,чекх,дундаһур
715,neben::PRP,юххе,хаҗуд
716,zwischen::PRP,юккъехь,хоорнд
717,wegen::PRP,дуьхьа,көлтә
718,wegen::PRP,дуьхьа,деерәс
719,dies::PRN,и,эн
720,dies::PRN,иза,эн
721,das::PRN,и,тер
722,das::PRN,иза,тер
723,alles::PRN,дерриг,цуһар
724,ich::PRN,cо,би
725,du::PRN,хьо,чи
726,er::PRN,и,тер
727,er::PRN,иза,тер
728,wir::PRN,тхо,мадн
729,wir::PRN,вай,мадн
730,ihr::PRN,шу,та
731,sie::PRN,уьш,тедн
732,was::FPRN,хӏун,юн
733,wer::FPRN,мила,кен
734,wo::FADV,мичaхь,хама
735,wohin::FADV,мича,хамаран
736,wie::FADV,муха,яһҗ
737,wie::FADV,муха,яһад
738,warum::FADV,хӏунда,юңгад
739,wieviel::FNUM,мел,кедү
740,wieviel::FNUM,маса,кедү
741,eins::NUM,цхьаъ,негн
742,zwei::NUM,шиъ,хойр
743,drei::NUM,кхоъ,һурвн
744,vier::NUM,диъ,дөрвн
745,fünf::NUM,пхиъ,тавн
746,sechs::NUM,ялх,зурһан
747,sieben::NUM,ворхӏ,долан
748,acht::NUM,бархӏ,нәәмн
749,neun::NUM,исс,йисн
750,zehn::NUM,итт,арвн
751,elf::NUM,цхьайтта,арвн негн
752,zwölf::NUM,шийтта,арвн хойр
753,zwanzig::NUM,ткъа,хөрн
754,dreißig::NUM,ткъе итт,һучн
755,vierzig::NUM,шовзткъа,дөчн
756,fünfzig::NUM,шовзткъе итт,тәвн
757,sechzig::NUM,кхузткъа,җирн
758,siebzig::NUM,кхузткъе итт,далн
759,achtzig::NUM,дезткъа,найн
760,neunzig::NUM,дезткъе итт,йирн
761,hundert::NUM,бӏе,зун
762,tausend::NUM,эзар,миңһн
763,und::CNJ,a,болн
764,oder::CNJ,я,эс гиҗ
765,oder::CNJ,я,эс гихлә
766,stehen::V,латта,зогсх
767,sitzen::V,хиъна ӏан,суух
