,Concept_ID,is,bg
304,Ruhe::N,kyrrð,тишина
305,Ruhe::N,kyrrð,спокойствие
306,Leute::N,fólk,хора
307,Volk::N,þjóð,народ
308,Arbeit::N,vinna,труд
309,Arbeit::N,vinna,работа
310,Gast::N,gestur,гост
311,Geschenk::N,gjöf,дар
312,Geschenk::N,gjöf,подарък
313,Spiel::N,leikur,игра
314,Gesellschaft::N,selskapur,общество
315,Hilfe::N,hjálp,помощ
316,Freund::N,vinur,приятел
317,Kamerad::N,félagi,другар
318,Angelegenheit::N,mál,работа
319,Angelegenheit::N,málefni,работа
320,Anzahl::N,tala,брой
321,Anzahl::N,tala,количество
322,Anzahl::N,fjöldi,брой
323,Anzahl::N,fjöldi,количество
324,Art::N,tegund,вид
325,Stück::N,biti,къс
326,Stück::N,biti,парче
327,Stück::N,stykki,къс
328,Stück::N,stykki,парче
329,Teil::N,hluti,дял
330,Teil::N,hluti,част
331,Teil::N,partur,дял
332,Teil::N,partur,част
333,Hälfte::N,helmingur,половина
334,Kreis::N,hringur,кръг
335,Kreuz::N,kross,кръст
336,Kreuz::N,krossmark,кръст
337,Linie::N,lína,черта
338,Strich::N,strik,щрих
339,Strich::N,strik,черта
340,Abstand::N,millibil,дистанция
341,Abstand::N,millibil,разстояние
342,Entfernung::N,fjarlægð,разстояние
343,Gegend::N,hérað,местност
344,Platz::N,pláss,място
345,Ort::N,staður,място
346,Seite::N,hlið,страна
347,Mitte::N,miðja,среда
348,Gegenstand::N,hlutur,предмет
349,Sache::N,mál,вещ
350,Rand::N,brún,ръб
351,Kante::N,rönd,ръб
352,Kante::N,rönd,кант
353,Ecke::N,horn,ъгъл
354,Spitze::N,oddur,връх
355,Spitze::N,oddur,острие
356,Ende::N,endi,край
357,Loch::N,gat,дупка
358,Loch::N,hola,дупка
359,Winkel::N,skot,кът
360,Winkel::N,skot,ъгъл
361,Winkel::N,krókur,кът
362,Winkel::N,krókur,ъгъл
363,Muster::N,munstur,десен
364,Muster::N,munstur,образец
365,Größe::N,stærð,големина
366,Länge::N,lengd,дължина
367,Höhe::N,hæð,висота
368,Höhe::N,hæð,височина
369,Gewicht::N,vigt,тегло
370,Gewicht::N,vigt,тежест
