,Concept_ID,sk,et
115,Anhöhe::N,vyvýšenina,küngas
116,Berg::N,hora,mägi
117,Gipfel::N,vrchol,mäetipp
118,Höhle::N,jaskyňa,koobas
119,Abhang::N,úbočie,nõlvak
120,Quelle::N,prameň,allikas
121,Bach::N,potok,oja
122,Fluss::N,rieka,jõgi
123,Ufer::N,breh,kallas
124,Küste::N,pobrežie,rannik
125,Festland::N,pevnina,mander
126,Festland::N,pevnina,maismaa
127,Meer::N,more,meri
128,Bucht::N,záliv,laht
129,Bucht::N,zátoka,laht
130,Insel::N,ostrov,saar
131,Blume::N,kvet,lill
132,Blume::N,kvetina,lill
133,Gras::N,tráva,rohi
134,Wurzel::N,koreň,juur
135,Baum::N,strom,puu
136,Stamm::N,kmeň,tüvi
137,Rinde::N,kôra,koor
138,Ast::N,konár,oks
139,Zweig::N,vetva,oks
140,Blatt::N,list,leht
141,Birke::N,breza,kask
142,Kiefer[Baum]::N,sosna,mänd
143,Kiefer[Baum]::N,borovica,mänd
144,Weide[Baum]::N,vŕba,paju
145,Tanne::N,jedľa,nulg
146,Horn::N,roh,sarv
147,Feder::N,pero,sulg
148,Fell::N,koža,karvkate
149,Fell::N,koža,karusnahk
150,Fell::N,kožušina,karvkate
151,Fell::N,kožušina,karusnahk
152,Flügel::N,krídlo,tiib
153,Flügel::N,krídlo,tiivik
154,Klaue::N,paznecht,küüs
155,Kralle::N,pazúr,küünis
156,Schwanz::N,chvost,saba
157,Ei::N,vajce,muna
158,Ei::N,vajíčko,muna
159,Nest::N,hniezdo,pesa
160,Bau::N,nora,urg
161,Tier::N,zviera,loom
162,Herde::N,stádo,kari
163,Kuh::N,krava,lehm
164,Bulle::N,býk,pull
165,Pferd::N,kôň,hobune
166,Schaf::N,ovca,lammas
167,Schwein::N,sviňa,siga
168,Hund::N,pes,koer
169,Katze::N,mačka,kass
170,Bär::N,medveď,karu
171,Eichhörnchen::N,veverička,orav
172,Elch::N,los,põder
173,Fuchs::N,líška,rebane
174,Hase::N,zajac,jänes
175,Maus::N,myš,hiir
176,Wolf::N,vlk,hunt
177,Vogel::N,vták,lind
178,Schwarm::N,roj,parv
179,Huhn::N,kurča,kana
180,Huhn::N,sliepka,kana
181,Hahn::N,kohút,kukk
182,Gans::N,hus,hani
183,Adler::N,orol,kotkas
184,Ente::N,kačka,part
185,Ente::N,kačica,part
186,Eule::N,sova,kakk
187,Eule::N,sova,öökull
188,Kranich::N,žeriav,kurg
189,Krähe::N,vrana,vares
190,Kuckuck::N,kukučka,kägu
191,Schwan::N,labuť,luik
192,Fisch::N,ryba,kala
193,Barsch::N,ostriež,ahven
194,Hecht::N,šťuka,haug
195,Schlange[Tier]::N,had,uss
196,Wurm::N,červ,uss
197,Wurm::N,červ,vagel
198,Spinne::N,pavúk,ämblik
199,Ameise::N,mravec,sipelgas
200,Laus::N,voš,täi
201,Mücke::N,komár,sääsk
202,Fliege::N,mucha,kärbes
203,Schmetterling::N,motýľ,liblikas
204,Beere::N,bobuľa,mari
205,Apfel::N,jablko,õun
206,Pilz::N,hríb,seen
207,Zwiebel::N,cibuľa,sibul
208,Saat::N,osivo,seeme
209,Korn::N,zrno,iva
210,Korn::N,zrno,tera
211,Heu::N,seno,hein
212,Schale::N,šupa,koor
213,Schale::N,škrupina,koor
214,Grube::N,jama,kaevand
215,Falle::N,pasca,lõks
216,Falle::N,pasca,püünis
217,Falle::N,klepec,lõks
218,Falle::N,klepec,püünis
219,Schlinge::N,slučka,aas
220,Spur::N,stopa,jälg
221,Asche::N,popol,tuhk
222,Dreck::N,kal,saast
223,Dreck::N,kal,mustus
224,Dreck::N,blato,saast
225,Dreck::N,blato,mustus
226,Eisen::N,železo,raud
227,Gold::N,zlato,kuld
228,Silber::N,striebro,hõbe
229,Kohle::N,uhlie,süsi
230,Glas::N,sklo,klaas
231,Lehm::N,íl,savi
232,Lehm::N,hlina,savi
233,Sand::N,piesok,liiv
234,Mensch::N,človek,inimene
235,Mann::N,muž,mees
236,Mann::N,chlap,mees
237,Frau::N,žena,naine
238,Kind::N,dieťa,laps
239,Junge::N,chlapec,poiss
240,Mädchen::N,dievka,tüdruk
241,Familie::N,rodina,perekond
242,Großvater::N,dedo,vanaisa
243,Großvater::N,starý otec,vanaisa
244,Großmutter::N,babička,vanaema
245,Großmutter::N,stará mať,vanaema
246,Eltern::N,rodičia,vanemad
247,Vater::N,otec,isa
248,Mutter::N,mať,ema
249,Mutter::N,matka,ema
250,Sohn::N,syn,poeg
251,Tochter::N,dcéra,tütar
252,Bruder::N,brat,vend
253,Schwester::N,sestra,õde
254,Onkel::N,ujo,onu
255,Onkel::N,strýko,onu
256,Tante::N,teta,tädi
257,Tante::N,tetka,tädi
258,Ehemann::N,muž,mees
259,Ehemann::N,muž,abikaasa
260,Ehemann::N,manžel,mees
261,Ehemann::N,manžel,abikaasa
262,Ehefrau::N,žena,naine
263,Ehefrau::N,žena,abikaasa
264,Ehefrau::N,manželka,naine
265,Ehefrau::N,manželka,abikaasa
266,Freude::N,radosť,rõõm
267,Gelächter::N,smiech,naer
268,Glück::N,šťastie,õnn
269,Kummer::N,žiaľ,mure
270,Kummer::N,žiaľ,kurbus
271,Kummer::N,zármutok,mure
272,Kummer::N,zármutok,kurbus
273,Wunsch::N,prianie,soov
274,Lust::N,chuť,himu
275,Geist::N,duch,vaim
276,Gedanke::N,myšlienka,mõte
277,Gedächtnis::N,pamäť,mälu
278,Verstand::N,rozum,aru
279,Verstand::N,rozum,mõistus
280,Sinn::N,zmysel,tähendus
281,Grund::N,dôvod,põhjus
282,Grund::N,príčina,põhjus
283,Wahrheit::N,pravda,tõde
284,Gespräch::N,reč,kõne
285,Gespräch::N,reč,vestlus
286,Gespräch::N,rozhovor,kõne
287,Gespräch::N,rozhovor,vestlus
288,Märchen::N,rozprávka,muinasjutt
289,Erzählung::N,poviedka,jutustus
290,Nachricht::N,správa,teade
291,Neuigkeit::N,novinka,uudis
292,Name::N,meno,nimi
293,Rätsel::N,záhada,mõistatus
294,Rätsel::N,hádanka,mõistatus
295,Rede::N,reč,kõne
296,Sprache::N,reč,keel
297,Sprache::N,jazyk,keel
298,Stimme::N,hlas,hääl
299,Wort::N,slovo,sõna
300,Zeichen::N,znak,märk
301,Ruf::N,volanie,hüüe
302,Ruf::N,zavolanie,hüüe
303,Lärm::N,hluk,müra
304,Lärm::N,hurhaj,müra
305,Laut::N,zvuk,hääl
306,Ton::N,tón,toon
307,Ton::N,zvuk,toon
308,Lied::N,pieseň,laul
309,Ruhe::N,pokoj,rahu
310,Ruhe::N,pokoj,vaikus
311,Leute::N,ľudia,inimesed
312,Volk::N,ľud,rahvas
313,Volk::N,národ,rahvas
314,Arbeit::N,práca,töö
315,Arbeit::N,robota,töö
316,Gast::N,hosť,külaline
317,Geschenk::N,dar,kingitus
318,Spiel::N,hra,mäng
319,Gesellschaft::N,spoločnosť,selts
320,Hilfe::N,pomoc,abi
321,Freund::N,priateľ,sõber
322,Kamerad::N,kamarát,sõber
323,Angelegenheit::N,vec,asi
324,Angelegenheit::N,záležitosť,asi
325,Anzahl::N,počet,arv
326,Anzahl::N,počet,hulk
327,Anzahl::N,množstvo,arv
328,Anzahl::N,množstvo,hulk
329,Art::N,druh,liik
330,Stück::N,kus,tükk
331,Stück::N,kúsok,tükk
332,Teil::N,časť,osa
333,Hälfte::N,polka,pool
334,Hälfte::N,polovica,pool
335,Kreis::N,kruh,ring
336,Kreuz::N,kríž,rist
337,Linie::N,línia,joon
338,Strich::N,čiara,joon
339,Abstand::N,vzdialenosť,vahe
340,Entfernung::N,vzdialenosť,kaugus
341,Entfernung::N,vzdialenosť,vahemaa
342,Gegend::N,kraj,ümbrus
343,Gegend::N,krajina,ümbrus
344,Platz::N,miesto,ruum
345,Ort::N,miesto,paik
346,Seite::N,bok,pool
347,Seite::N,strana,pool
348,Mitte::N,stred,keskpaik
349,Gegenstand::N,predmet,ese
350,Sache::N,vec,ese
351,Rand::N,kraj,äär
352,Rand::N,kraj,serv
353,Rand::N,okraj,äär
354,Rand::N,okraj,serv
355,Kante::N,hrana,kant
356,Ecke::N,roh,nurk
357,Spitze::N,hrot,teravik
358,Spitze::N,špička,teravik
359,Ende::N,koniec,ots
360,Ende::N,koniec,jupp
361,Loch::N,diera,auk
362,Winkel::N,kút,nurk
363,Muster::N,vzor,muster
364,Muster::N,vzorka,muster
365,Größe::N,veľkosť,suurus
366,Länge::N,dĺžka,pikkus
367,Höhe::N,výška,kõrgus
368,Gewicht::N,váha,kaal
369,Gewicht::N,váha,raskus
370,Menge::N,množstvo,arv
371,Menge::N,množstvo,hulk
372,Haufen::N,hŕba,hunnik
373,Reihe::N,rad,rivi
374,Boot::N,čln,paat
375,Ruder::N,veslo,aer
376,Schlitten::N,sane,saan
377,Ski::N,lyža,suusk
378,Lagerfeuer::N,táborák,lõke
379,Last::N,ťarcha,koorem
380,Last::N,bremeno,koorem
381,Gang::N,chôdza,käik
382,Schritt::N,krok,samm
383,Norden::N,sever,põhi
384,Süden::N,juh,lõuna
385,Westen::N,západ,lääs
386,Osten::N,východ,ida
387,Holz::N,drevo,puu
388,Brett::N,doska,saelaud
389,Platte::N,doska,plaat
390,Platte::N,platňa,plaat
391,Stütze::N,opora,tugi
392,Stange::N,tyč,latt
393,Stange::N,tyč,teivas
394,Stock::N,palica,kepp
395,Stab::N,palica,varras
396,Rohr::N,rúra,toru
397,Haus::N,dom,maja
398,Heim::N,domov,kodu
399,Ofen::N,pec,ahi
400,Ofen::N,kachle,ahi
401,Fußboden::N,dlážka,põrand
402,Fußboden::N,podlaha,põrand
403,Tisch::N,stôl,laud
404,Stuhl::N,stolička,tool
405,Wiege::N,kolíska,häll
406,Wiege::N,kolíska,kätki
407,Bett::N,lôžko,voodi
408,Bett::N,posteľ,voodi
409,Regal::N,regál,riiul
410,Regal::N,polica,riiul
411,Kiste::N,debna,kast
412,Fenster::N,okno,aken
413,Fenster::N,oblok,aken
414,Tür::N,dvere,uks
415,Tor::N,vráta,värav
416,Zaun::N,plot,aed
417,Zaun::N,plot,tara
418,Zaun::N,ohrada,aed
419,Zaun::N,ohrada,tara
420,Dach::N,krov,katus
421,Dach::N,strecha,katus
422,Leiter::N,rebrík,redel
423,Leiter::N,rebrina,redel
424,Besen::N,metla,luud
425,Spaten::N,rýľ,labidas
426,Schaufel::N,lopata,kühvel
427,Gabel::N,vidlička,kahvel
428,Löffel::N,lyžica,lusikas
429,Messer::N,nôž,nuga
430,Nagel::N,klinec,nael
431,Netz::N,sieť,võrk
432,Haken::N,hák,haak
433,Haken::N,hák,konks
434,Haken::N,háčik,haak
435,Haken::N,háčik,konks
436,Griff::N,rukoväť,sang
437,Griff::N,rukoväť,käepide
438,Schloss::N,zámka,lukk
439,Bild::N,obraz,pilt
440,Figur::N,figúra,kuju
441,Figur::N,figúra,kujund
442,Puppe::N,bábka,nukk
443,Puppe::N,bábika,nukk
444,Beutel::N,vrece,paun
445,Beutel::N,vrecko,paun
446,Bündel::N,uzlík,kimp
447,Bündel::N,zväzok,kimp
448,Tasche::N,taška,kott
449,Tasche::N,kabelka,kott
450,Eimer::N,vedro,pang
451,Eimer::N,vedro,ämber
452,Deckel::N,vrchnák,kaas
453,Deckel::N,pokrývka,kaas
454,Geschirr::N,nádoba,nõud
455,Sack::N,mech,kott
456,Sack::N,vrece,kott
457,Tasse::N,šálka,tass
458,Topf::N,hrniec,pada
459,Kessel::N,kotol,pada
460,Essen::N,jedlo,söök
461,Nahrung::N,strava,toit
462,Nahrung::N,potrava,toit
463,Speise::N,jedlo,roog
464,Fleisch::N,mäso,liha
465,Getreide::N,obilie,teravili
466,Brei::N,kaša,puder
467,Brot::N,chlieb,sai
468,Brot::N,chlieb,leib
469,Scheibe::N,kotúč,viil
470,Scheibe::N,kotúč,viilukas
471,Scheibe::N,krajec,viil
472,Scheibe::N,krajec,viilukas
473,Fett::N,tuk,rasv
474,Fett::N,masť,rasv
475,Butter::N,maslo,või
476,Öl::N,olej,õli
477,Salz::N,soľ,sool
478,Suppe::N,polievka,supp
479,Honig::N,med,mesi
480,Milch::N,mlieko,piim
481,Tee::N,čaj,tee
482,Leder::N,koža,nahk
483,Wolle::N,vlna,vill
484,Stoff::N,súkno,kangas
485,Nadel::N,ihla,nõel
486,Faden::N,niť,niit
487,Faden::N,vlákno,niit
488,Knopf::N,gombík,nööp
489,Knoten::N,uzol,sõlm
490,Farbe::N,farba,värv
491,Kleidung::N,šaty,riided
492,Kleidung::N,šaty,riietus
493,Kleidung::N,šatstvo,riided
494,Kleidung::N,šatstvo,riietus
495,Hemd::N,košeľa,särk
496,Kragen::N,golier,krae
497,Ärmel::N,rukáv,varrukas
498,Hose::N,nohavice,püksid
499,Gürtel::N,pás,vöö
500,Gürtel::N,opasok,vöö
501,Mütze::N,čiapka,müts
502,Schuh::N,obuv,king
503,Schuh::N,topánka,king
504,Stiefel::N,čižma,saabas
505,Ring::N,prsteň,sõrmus
506,Band::N,stuha,lint
507,Kamm::N,hrebeň,kamm
508,Spiegel::N,zrkadlo,peegel
509,Riemen::N,remeň,rihm
510,Schnur::N,šnúra,nöör
511,Leine::N,vodidlo,jalutusrihm
512,Decke::N,deka,tekk
513,Decke::N,prikrývka,tekk
514,Kissen::N,poduška,padi
515,Tuch::N,šatka,kalev
516,Handtuch::N,uterák,käterätik
517,Kraft::N,moc,jõud
518,Stärke::N,sila,tugevus
519,Gesundheit::N,zdravie,tervis
520,Krankheit::N,nemoc,haigus
521,Krankheit::N,choroba,haigus
522,Schmerz::N,bolesť,valu
523,Wunde::N,rana,haav
524,Fieber::N,horúčka,palavik
525,Arznei::N,liek,ravim
526,Brücke::N,most,sild
527,Brunnen::N,studňa,kaev
528,Weide::N,pastva,karjamaa
529,Pfad::N,chodník,rada
530,Weg::N,cesta,tee
531,Straße::N,hradská,tee
532,Dorf::N,dedina,küla
533,Stadt::N,mesto,linn
534,Brief::N,list,kiri
535,Buch::N,kniha,raamat
536,Buchstabe::N,litera,täht
537,Buchstabe::N,písmeno,täht
538,Zeitung::N,noviny,ajaleht
539,Leben::N,život,elu
540,Tod::N,smrť,surm
541,Grab::N,hrob,haud
542,Kirche::N,kostol,kirik
543,Sünde::N,hriech,patt
544,Gott::N,boh,jumal
545,Arbeiter::N,robotník,tööline
546,Arbeiter::N,pracnovík,tööline
547,Chef::N,šéf,ülemus
548,Chef::N,šéf,juhataja
549,Chef::N,riaditeľ,ülemus
550,Chef::N,riaditeľ,juhataja
551,Meister::N,majster,meister
552,Arzt::N,lekár,arst
553,Lehrer::N,učiteľ,õpetaja
554,Geld::N,peniaze,raha
555,Geschäft::N,obchod,äri
556,Laden::N,obchod,pood
557,Laden::N,obchod,kauplus
558,Preis::N,cena,hind
559,Ware::N,tovar,kaup
560,Nutzen::N,osoh,tulu
561,Nutzen::N,osoh,kasulikkus
562,Nutzen::N,úžitok,tulu
563,Nutzen::N,úžitok,kasulikkus
564,Reichtum::N,bohatstvo,rikkus
565,Welt::N,svet,maailm
566,Land::N,územie,maa
567,Land::N,krajina,maa
568,Staat::N,štát,riik
569,König::N,kráľ,kuningas
570,Macht::N,moc,võim
571,Macht::N,mocnosť,võim
572,Grenze::N,hranica,piir
573,Krieg::N,vojna,sõda
574,Feind::N,nepriateľ,vaenlane
575,Gewalt::N,násilie,väevõim
576,Kampf::N,boj,võitlus
577,Bogen[Waffe]::N,luk,vibu
578,Pfeil::N,šíp,nool
579,Pfeil::N,strela,nool
580,Gewehr::N,puška,püss
581,Fehler::N,omyl,viga
582,Fehler::N,chyba,viga
583,Lüge::N,lož,vale
584,Schaden::N,ujma,kahju
585,Schaden::N,škoda,kahju
586,Unglück::N,nešťastie,häda
587,Unglück::N,nešťastie,õnnetus
588,Schuld::N,vina,süü
589,Schuld::N,previnenie,süü
590,Alter::N,vek,iga
591,Schluss::N,záver,lõpp
592,Schluss::N,koniec,lõpp
593,Zeit::N,čas,aeg
594,Tag::N,deň,päev
595,Morgen::N,ráno,hommik
596,Mittag::N,poludnie,lõuna
597,Mittag::N,poludnie,keskpäev
598,Abend::N,večer,õhtu
599,Nacht::N,noc,öö
600,Woche::N,týždeň,nädal
601,Monat::N,mesiac,kuu
602,Jahr::N,rok,aasta
603,Frühling::N,jar,kevad
604,Sommer::N,leto,suvi
605,Herbst::N,jeseň,sügis
606,Winter::N,zima,talv
607,Januar::N,január,jaanuar
608,Februar::N,február,veebruar
609,März::N,marec,märts
610,April::N,apríl,aprill
611,Mai::N,máj,mai
612,Juni::N,jún,juuni
613,Juli::N,júl,juuli
614,August::N,august,august
615,September::N,september,september
616,Oktober::N,október,oktoober
617,November::N,november,november
618,Dezember::N,december,detsember
619,Montag::N,pondelok,esmaspäev
620,Dienstag::N,utorok,teisipäev
621,Mittwoch::N,streda,kesknädal
622,Donnerstag::N,štvrtok,neljapäev
623,Freitag::N,piatok,reede
624,Samstag::N,sobota,laupäev
625,Sonntag::N,nedeľa,pühapäev
626,groß::A,veľký,suur
627,klein::A,malý,väike
628,klein::A,malý,pisike
629,lang::A,dlhý,pikk
630,kurz::A,krátky,lühike
631,breit::A,široký,lai
632,schmal::A,úzky,kitsas
633,dicht::A,hustý,tihe
634,dick[Gegenstand]::A,tlstý,jäme
635,dünn::A,tenký,õhuke
636,dünn::A,tenký,peenike
637,fein::A,jemný,peen
638,fein::A,jemný,õhuke
639,fest::A,pevný,püsiv
640,fest::A,pevný,kindel
641,flach::A,rovný,lame
642,flach::A,rovný,tasane
643,flach::A,plochý,lame
644,flach::A,plochý,tasane
645,glatt::A,hladký,sile
646,hart::A,tvrdý,kõva
647,weich::A,mäkký,pehme
648,rund::A,guľatý,ümar
649,rund::A,okrúhly,ümar
650,spitz::A,končitý,torkav
651,scharf::A,ostrý,terav
652,stumpf::A,tupý,nüri
653,schwer::A,ťažký,raske
654,schön::A,pekný,kena
655,schön::A,krásny,kena
656,heiß::A,horúci,kuum
657,heiß::A,horúci,palav
658,warm::A,teplý,soe
659,kalt::A,studený,külm
660,kühl::A,chladný,jahe
661,frisch::A,svieži,värske
662,feucht::A,vlhký,niiske
663,feucht::A,zvlhnutý,niiske
664,nass::A,mokrý,märg
665,trocken::A,suchý,kuiv
666,voll::A,plný,täis
667,leer::A,prázdny,tühi
668,offen::A,otvorený,avatud
669,offen::A,otvorený,lahtine
670,geschlossen::A,zavretý,suletud
671,sauber::A,čistý,puhas
672,schmutzig::A,špinavý,räpane
673,schmutzig::A,špinavý,määrdunud
674,roh::A,surový,toores
675,reif::A,zrelý,küps
676,lecker::A,chutný,hõrk
677,lecker::A,chutný,maitsev
678,süß::A,sladký,magus
679,bitter::A,horký,mõru
680,sauer::A,kyslý,hapu
681,hell::A,jasný,hele
682,hell::A,svetlý,hele
683,dunkel::A,temný,pime
684,schwarz::A,čierny,must
685,weiß::A,biely,valge
686,rot::A,červený,punane
687,gelb::A,žltý,kollane
688,blau::A,modrý,sinine
689,blau::A,belasý,sinine
690,grün::A,zelený,roheline
691,grau::A,šedý,hall
692,bunt::A,pestrý,kirju
693,bunt::A,pestrý,värviline
694,billig::A,lacný,odav
695,teuer::A,drahý,kallis
696,wertvoll::A,cenný,väärtuslik
697,blind::A,slepý,pime
698,taub::A,hluchý,kurt
699,kräftig::A,silný,jõuline
700,stark::A,silný,tugev
701,schwach::A,slabý,nõrk
702,schwach::A,slabý,jõuetu
703,schwach::A,bezvládny,nõrk
704,schwach::A,bezvládny,jõuetu
705,fett::A,tučný,rasvane
706,schlank::A,štíhly,sale
707,hübsch::A,šumný,kena
708,hübsch::A,švárny,kena
709,böse::A,zlý,tige
710,dumm::A,hlúpy,juhm
711,dumm::A,hlúpy,rumal
712,faul::A,lenivý,laisk
713,fleißig::A,snaživý,virk
714,fleißig::A,snaživý,hoolas
715,fleißig::A,usilovný,virk
716,fleißig::A,usilovný,hoolas
717,geizig::A,skupý,ihne
718,geizig::A,lakomý,ihne
719,klug::A,múdry,tark
720,klug::A,múdry,arukas
721,klug::A,múdry,mõistlik
722,klug::A,bystrý,tark
723,klug::A,bystrý,arukas
724,klug::A,bystrý,mõistlik
725,geschickt::A,zručný,osav
726,geschickt::A,šikovný,osav
727,lieb::A,milý,armas
728,lustig::A,veselý,lõbus
729,sanft::A,nežný,õrn
730,hungrig::A,lačný,näljane
731,hungrig::A,hladný,näljane
732,krank::A,chorý,haige
733,krank::A,nemocný,haige
734,nackt::A,nahý,alasti
735,traurig::A,smutný,kurb
736,lebendig::A,živý,elus
737,gut::A,dobrý,hea
738,schlecht::A,zlý,halb
739,richtig::A,správny,õige
740,schlimm::A,zlý,paha
741,schlimm::A,nepríjemný,paha
742,wahr::A,pravý,tõene
743,wahr::A,pravdivý,tõene
744,alt::A,starý,vana
745,neu::A,nový,uus
746,ehemalig::A,bývalý,endine
747,alt[Lebewesen]::A,starý,vana
748,jung::A,mladý,noor
749,arm::A,chudobný,vaene
750,reich::A,bohatý,rikas
751,bekannt::A,známy,teada
752,bekannt::A,známy,tuttav
753,berühmt::A,slávny,tuntud
754,berühmt::A,povestný,tuntud
755,fremd::A,cudzí,võõras
756,verschieden::A,rôzny,erinev
757,verschieden::A,rozličný,erinev
758,nah::A,blízky,lähedane
759,fern::A,ďaleký,kauge
760,linker::A,ľavý,vasak
761,rechter::A,pravý,parem
762,anderer::A,iný,muu
763,anderer::A,iný,teine
764,anderer::A,druhý,muu
765,anderer::A,druhý,teine
766,erster::A,prvý,esimene
767,zweiter::A,druhý,teine
768,dritter::A,tretí,kolmas
769,letzter::A,ostatný,viimane
770,letzter::A,posledný,viimane
771,allein::ADV,sám,üksi
772,auf einmal::ADV,zároveň,korraga
773,auf einmal::ADV,zároveň,ühekorraga
774,zusammen::ADV,spolu,koos
775,zusammen::ADV,spolu,üheskoos
776,zusammen::ADV,spoločne,koos
777,zusammen::ADV,spoločne,üheskoos
778,lange::ADV,dlho,kaua
779,plötzlich::ADV,náhle,äkki
780,plötzlich::ADV,náhle,järsku
781,sofort::ADV,hneď,kohe
782,sofort::ADV,ihneď,kohe
783,später::ADV,neskoršie,hiljem
784,jetzt::ADV,teraz,nüüd
785,heute::ADV,dnes,täna
786,morgen::ADV,zajtra,homme
787,bald::ADV,skoro,pea
788,bald::ADV,skoro,varsti
789,dann::ADV,nato,siis
790,dann::ADV,potom,siis
791,gestern::ADV,včera,eile
792,einst::ADV,kedysi,vanasti
793,einst::ADV,niekedy,vanasti
794,damals::ADV,vtedy,tookord
795,danach::ADV,potom,seejärel
796,danach::ADV,podľa toho,seejärel
797,vorher::ADV,napred,enne
798,vorher::ADV,predtým,enne
799,zuerst::ADV,najprv,enne
800,zuerst::ADV,najprv,esmalt
801,einmal::ADV,raz,kord
802,einmal::ADV,raz,üks kord
803,einmal::ADV,jedenkrát,kord
804,einmal::ADV,jedenkrát,üks kord
805,manchmal::ADV,občas,mõnikord
806,manchmal::ADV,niekedy,mõnikord
807,oft::ADV,často,tihti
808,oft::ADV,často,sageli
809,immer::ADV,vždy,ikka
810,immer::ADV,vždy,alati
811,immer::ADV,ustavične,ikka
812,immer::ADV,ustavične,alati
813,niemals::ADV,nikdy,mitte kunagi
814,hier::ADV,tu,siin
815,hierhin::ADV,sem,siia
816,hierhin::ADV,tade,siia
817,von hier::ADV,odtiaľto,siit
818,dort::ADV,tam,seal
819,dorthin::ADV,ta,sinna
820,dorthin::ADV,tam,sinna
821,geradeaus::ADV,rovno,otse edasi
822,geradeaus::ADV,priamo,otse edasi
823,vorwärts::ADV,napred,edasi
824,rückwärts::ADV,nazad,tagurpidi
825,zurück::ADV,späť,tagasi
826,zurück::ADV,naspäť,tagasi
827,unten::ADV,dolu,all
828,unten::ADV,dolu,allpool
829,unten::ADV,naspodku,all
830,unten::ADV,naspodku,allpool
831,hinab::ADV,dolu,alla
832,oben::ADV,hore,ülal
833,oben::ADV,navrchu,ülal
834,hinauf::ADV,hore,üles
