,Concept_ID,kv,cv
195,Heu::N,турун,утӑ
196,Schale::N,кыш,хупӑ
197,Schale::N,киль,хупӑ
198,Grube::N,яма,шӑтӑк
199,Falle::N,нальк,тапӑ
200,Falle::N,нальк,капкӑн
201,Falle::N,кляпча,тапӑ
202,Falle::N,кляпча,капкӑн
203,Schlinge::N,лӧч,йӑлӑ
204,Spur::N,туй,йӗр
205,Asche::N,пӧим,кӗл
206,Dreck::N,нять,пылчӑк
207,Eisen::N,кӧрт,тимӗр
208,Gold::N,зарни,ылтӑн
209,Silber::N,язісь,кӗмӗл
210,Kohle::N,шом,кӑмрӑк
211,Kohle::N,уголь,кӑмрӑк
212,Glas::N,стекло,кӗленче
213,Lehm::N,сёй,тӑм
214,Sand::N,лыа,хӑйӑр
215,Mensch::N,морт,ҫын
216,Mensch::N,морт,этем
217,Mann::N,мужик,ар
218,Frau::N,инька,хӗрарӑм
219,Kind::N,кага,ача
220,Junge::N,зонка,ача
221,Junge::N,зонка,ар ҫын ача
222,Mädchen::N,нывкаок,хӗр ача
223,Familie::N,семья,ҫемье
224,Familie::N,семья,кил-йыш
225,Großvater::N,дед,кукаҫи
226,Großmutter::N,баб,кукамай
227,Eltern::N,ай-мам,аҫа-ама
228,Vater::N,ай,атте
229,Mutter::N,мам,анне
230,Sohn::N,зон,ывӑл
231,Tochter::N,ныв,хӗр
232,Bruder::N,вон,ар тӑван
233,Schwester::N,сой,аппа
234,Schwester::N,сой,йӑмӑк
235,Onkel::N,дядь,мучи
236,Onkel::N,дядь,пичче
237,Tante::N,айӧлӧн сой,аппа
238,Tante::N,ичинь,аппа
239,Ehemann::N,жӧник,упӑшка
240,Ehefrau::N,инь,арӑм
241,Freude::N,гаж,савӑнӑҫ
242,Freude::N,гаж,хаваслӑх
243,Freude::N,радъялӧм,савӑнӑҫ
244,Freude::N,радъялӧм,хаваслӑх
245,Gelächter::N,сералӧм,кулӑ
246,Glück::N,мичлун,телей
247,Glück::N,мичлун,ӑраскал
248,Kummer::N,шог,хурлӑх
249,Wunsch::N,мӧдӧм,ӗмӗт
250,Wunsch::N,мӧдӧм,кӑмӑл
251,Wunsch::N,охотитӧм,ӗмӗт
252,Wunsch::N,охотитӧм,кӑмӑл
253,Lust::N,охота,кӑмӑл
254,Geist::N,лов,чун-чӗм
255,Geist::N,лов,ыр-усал
256,Geist::N,лов,чун хавалӗ
257,Gedanke::N,дума,шухӑш
258,Gedächtnis::N,тӧдвыв,ас
259,Verstand::N,вежӧр,ӑс
260,Verstand::N,вежӧр,ӑс-тӑн
261,Verstand::N,вежӧр,ӑс-хакӑл
262,Sinn::N,ылӧс,тупсӑм
263,Sinn::N,ылӧс,пӗлтерӗш
264,Grund::N,мог,сӑлтав
265,Wahrheit::N,правда,чӑнлӑх
266,Gespräch::N,сёрни,калаҫу
267,Märchen::N,сказка,юмах
268,Erzählung::N,висьт,акалав
269,Erzählung::N,висьт,каласа пани
270,Nachricht::N,юӧр,хыпар
271,Nachricht::N,висьталӧм,хыпар
272,Neuigkeit::N,новость,ҫӗнӗ хыпар
273,Name::N,ним,ят
274,Rätsel::N,загадка,сутмалли юмах
275,Rede::N,сёрни,сӑмах
276,Sprache::N,кыв,чӗлхе
277,Stimme::N,голос,сасӑ
278,Wort::N,кыв,сӑмах
279,Zeichen::N,пас,паллӑ
280,Ruf::N,чуксӧм,йыхрав
281,Ruf::N,чуксӧм,чӗнӳ
282,Ruf::N,чукӧстӧм,йыхрав
283,Ruf::N,чукӧстӧм,чӗнӳ
284,Lärm::N,шум,шав
285,Laut::N,шы,сасӑ
286,Ton::N,гор,сасӑ
287,Lied::N,сьыланкыв,юрӑ
288,Ruhe::N,спокой,канӑҫлӑх
289,Ruhe::N,спокой,лӑпкӑлӑх
290,Leute::N,йӧз,ҫамрӑксем
291,Leute::N,йӧз,ҫамрӑк ҫынсем
292,Volk::N,йӧз,халӑх
293,Volk::N,народ,халӑх
294,Arbeit::N,удж,ӗҫхӗл
295,Arbeit::N,удж,ӗҫлев
296,Gast::N,гӧсь,хӑна
297,Geschenk::N,гӧснеч,парне
298,Geschenk::N,гӧснеч,кучченеҫ
299,Geschenk::N,подарок,парне
300,Geschenk::N,подарок,кучченеҫ
301,Spiel::N,орсӧм,вӑйӑ
302,Gesellschaft::N,компания,общество
303,Hilfe::N,отсӧт,пулӑшу
304,Freund::N,модз,тус
305,Freund::N,дружок,тус
306,Kamerad::N,тӧдса,юлташ
307,Kamerad::N,тӧдса,тус
308,Angelegenheit::N,дело,ӗҫ
309,Anzahl::N,лыд,йыш
310,Anzahl::N,лыд,хисеп
311,Art::N,пӧлӧс,тӗс
312,Stück::N,тор,татӑк
313,Teil::N,юкӧм,пай
314,Hälfte::N,джын,ҫурӑ
315,Kreis::N,круг,ункӑ
316,Kreis::N,круг,ҫавракӑш
317,Kreuz::N,перна,хӗрес
318,Linie::N,визь,йӗр
319,Strich::N,кырӧв,йӗр
320,Abstand::N,колас,хушӑ
321,Entfernung::N,ылына,хушӑ
322,Gegend::N,места,вырӑн
323,Platz::N,места,хутлӑх
324,Ort::N,места,вырӑн
325,Seite::N,ладор,ен
326,Seite::N,ладор,аяк
327,Seite::N,ладор,айӑк
328,Mitte::N,шӧр,варӑ
329,Gegenstand::N,тор,япала
330,Sache::N,тор,япала
331,Rand::N,дор,вӗҫ
332,Rand::N,дор,хӗрӗ
333,Rand::N,дор,хӗрри
334,Kante::N,ордлы,хайкача
335,Kante::N,ордлы,хысак
336,Ecke::N,пельӧс,кӗтес
337,Spitze::N,йыв,вӗҫ
338,Ende::N,йыв,вӗҫ
339,Loch::N,осьта,шӑтӑк
340,Winkel::N,пельӧс,кӗтес
341,Muster::N,сер,эреш
342,Größe::N,ыжда,пысӑкӑш
343,Länge::N,кузя,вӑрӑмӑш
344,Höhe::N,сувда,ҫӳллӗш
345,Höhe::N,вылына,ҫӳллӗш
346,Gewicht::N,сьӧкта,виҫе
347,Gewicht::N,сьӧкта,йывӑрӑш
348,Haufen::N,куча,купа
349,Reihe::N,лёдз,рет
350,Boot::N,пыж,кимӗ
351,Ruder::N,пелыс,кӗсмен
352,Schlitten::N,додь,ҫуна
353,Ski::N,лямпа,йӗлтӗр
354,Lagerfeuer::N,бипур,вут
355,Lagerfeuer::N,бипур,кӑвайт
356,Last::N,тягота,сулмаклӑх
357,Last::N,тягота,йывӑр япала
358,Gang::N,мунӧм,куҫӑм
359,Schritt::N,вожмӧв,утӑм
360,Schritt::N,вожмӧв,пусӑм
361,Norden::N,ой,ҫурҫӗр
362,Süden::N,лун,кӑнтӑр
363,Westen::N,рытвыв,анӑҫ
364,Westen::N,рытвыв,хӗвел анӑҫ
365,Osten::N,асыв,хӗвел тухӑҫ
366,Holz::N,пу,йывӑҫ
367,Brett::N,пӧв,хӑма
368,Platte::N,плита,плита
369,Stütze::N,пика,ура
370,Stange::N,зор,шерте
371,Stange::N,потш,шерте
372,Stock::N,бедь,патак
373,Stab::N,шест,шӑчӑ
374,Rohr::N,труба,пӑрӑх
375,Haus::N,керку,ҫурт
376,Heim::N,керку,кил
377,Ofen::N,пӧжавны,кӑмака
378,Fußboden::N,джодж,урай
379,Tisch::N,пызан,сӗтел
380,Stuhl::N,стул,пукан
381,Wiege::N,зыбка,сӑпка
382,Bett::N,кровать,кравать
383,Regal::N,джадж,ҫӳлӗк
384,Regal::N,джадж,сентре
385,Kiste::N,ящик,ещӗк
386,Kiste::N,ящик,сунтӑх
387,Fenster::N,ӧшын,чӳрече
388,Tür::N,ыбӧс,алӑк
389,Tor::N,ворота,хапха
390,Zaun::N,забор,хӳме
391,Dach::N,крыша,тӑрӑ
392,Leiter::N,лиснич,пусма
393,Besen::N,рос,шӑпӑр
394,Spaten::N,зыр,кӗреҫе
395,Schaufel::N,зыр,кӗреҫе
396,Gabel::N,вила,вилка
397,Löffel::N,пань,кашӑк
398,Messer::N,пурт,ҫӗҫӗ
399,Nagel::N,кӧрттув,пӑта
400,Netz::N,кыйӧт,тетел
401,Haken::N,ем,йӑрхах
402,Haken::N,ем,ҫекӗл
403,Griff::N,пу,хӑлӑп
404,Schloss::N,замок,ҫӑра
405,Bild::N,картина,сӑн
406,Bild::N,картина,сӑнлӑх
407,Bild::N,картина,картина
408,Figur::N,мыгӧр,кӗлетке
409,Puppe::N,акань,пукане
410,Beutel::N,мешӧк,михӗ
411,Bündel::N,нин,ҫыхӑ
412,Bündel::N,нин,тӗрке
413,Tasche::N,сумка,сумка
414,Eimer::N,ведра,витре
415,Deckel::N,вевт,хупӑ
416,Geschirr::N,доз,савӑт-сапа
417,Geschirr::N,бекӧрпань,савӑт-сапа
418,Sack::N,мешӧк,михӗ
419,Tasse::N,бекӧр,курка
420,Topf::N,кастрюля,кастрюль
421,Kessel::N,пӧрт,хуран
422,Essen::N,сёйӧм,апат
423,Nahrung::N,вердан,апат-ҫимӗс
424,Speise::N,сёян,апат
425,Speise::N,сёян,ҫимӗҫ
426,Fleisch::N,яй,аш
427,Fleisch::N,яй,какай
428,Getreide::N,сю,тырӑ
429,Brei::N,каша,пӑтӑ
430,Brot::N,нянь,ҫӑкӑр
431,Scheibe::N,шӧрӧм,чӗлӗ
432,Scheibe::N,шӧрӧм,касӑк
433,Fett::N,гос,ҫу
434,Butter::N,ви,ҫу
435,Öl::N,ви,ҫу
436,Salz::N,сов,тӑвар
437,Suppe::N,шыд,яшка
438,Honig::N,ма,пыл
439,Milch::N,йӧв,сӗт
440,Tee::N,чай,чей
441,Leder::N,кучик,сӑран
442,Wolle::N,гӧн,ҫӑм
443,Stoff::N,дӧра,тӗртӗм
444,Nadel::N,ем,йӗп
445,Faden::N,сунис,ҫип
446,Knopf::N,кизь,тӳме
447,Knoten::N,узӧв,йӑлӑ
448,Knoten::N,гӧрӧд,йӑлӑ
449,Farbe::N,краска,сӑрӑ
450,Kleidung::N,паськӧм,тум
451,Kleidung::N,паськӧм,ҫипуҫ
452,Kleidung::N,паськӧм,тум-тир
453,Hemd::N,йӧрнӧс,кӗпе
454,Kragen::N,воротник,ҫуха
455,Ärmel::N,сос,ҫанӑ
456,Hose::N,вешьян,шӑлавар
457,Gürtel::N,йи,пиҫиххи
458,Mütze::N,шапка,ҫӗлӗк
459,Schuh::N,ботинки,пушмак
460,Schuh::N,ботинки,ботинок
461,Stiefel::N,сапог,атӑ
462,Ring::N,чунькытш,ҫӗрӗ
463,Band::N,ленточка,хаю
464,Band::N,ленточка,йӗсме
465,Kamm::N,сынан,тура
466,Spiegel::N,зеркало,тӗкӗр
467,Spiegel::N,зеркало,куҫ кӗски
468,Riemen::N,ремень,чӗн
469,Schnur::N,гез,кантра
470,Leine::N,повод,касмӑк
471,Decke::N,одеяло,утиял
472,Kissen::N,подушка,ҫытар
473,Kissen::N,подушка,минтер
474,Tuch::N,чышьян,тутӑр
475,Handtuch::N,чышкӧт,ал шӑлли
476,Kraft::N,прак,вӑй
477,Kraft::N,прак,хӑват
478,Stärke::N,вын,хал
479,Stärke::N,вын,хӑват
480,Gesundheit::N,здоровье,хал
481,Gesundheit::N,здоровье,сывлӑх
482,Krankheit::N,шог,чир
483,Schmerz::N,зубыт,ырату
484,Wunde::N,рана,суран
485,Fieber::N,лёк тресся,сив чир
486,Fieber::N,кынтан шогӧт,сив чир
487,Arznei::N,лекарство,эмел
488,Brücke::N,пос,кӗпер
489,Brunnen::N,колодец ,ҫӑл
490,Brunnen::N,колодец ,пусӑ
491,Weide::N,пода йирсян,ҫаран
492,Pfad::N,туй,йӗр
493,Pfad::N,туй,сукмак
494,Weg::N,туй,ҫул
495,Weg::N,туй,ҫул-йӗр
496,Straße::N,туй,ҫӳрев
497,Straße::N,туй,ҫул ҫӳрени
498,Dorf::N,деревня,ял
499,Stadt::N,город,хула
500,Brief::N,гижӧт,ҫыру
501,Buch::N,книга,кӗнеке
502,Buchstabe::N,буква,сас палли
503,Zeitung::N,газета,хаҫат
504,Leben::N,олан,пурнӑҫ
505,Tod::N,кулӧм,вилӗм
506,Grab::N,гу,масар шӑтӑкӗ
507,Kirche::N,вичку,чиркӳ
508,Sünde::N,грек,ҫылӑх
509,Gott::N,ен,турӑ
510,Arbeiter::N,уджалiсь,рабочи
511,Chef::N,начальник,пуҫлӑх
512,Meister::N,мастер,ӑста
513,Meister::N,мастер,мастер
514,Arzt::N,врач,врач
515,Arzt::N,врач,тухтӑр
516,Lehrer::N,велӧтісь,учитель
517,Lehrer::N,велӧтісь,вӗрентекен
518,Geld::N,деньга,укҫа
519,Geschäft::N,удж,бизнес
520,Laden::N,магазин,магазин
521,Preis::N,дон,хак
522,Ware::N,товар,тавар
523,Nutzen::N,путь,пайта
524,Reichtum::N,богатство,мул
525,Welt::N,му,тӗнче
526,Land::N,страна,ҫӗр-шыв
527,Staat::N,государство,патшàлӑх
528,König::N,кан,король
529,Macht::N,власть,власть
530,Grenze::N,граница,чикӗ
531,Krieg::N,война,вӑрҫӑ
532,Feind::N,враг,тӑшман
533,Kampf::N,нярасьӧм,кӗрешӳ
534,Kampf::N,вермасьӧм,кӗрешӳ
535,Bogen[Waffe]::N,лук,ухӑ
536,Pfeil::N,ньӧв,ҫӗмрен
537,Pfeil::N,ньӧв,ухӑ йӗппи
538,Gewehr::N,ружьё,пӑшал
539,Fehler::N,ошибка,йӑнӑш
540,Lüge::N,ылӧтӧм,суя
541,Lüge::N,ылӧтӧм,ултав
542,Lüge::N,пӧрьялӧм,суя
543,Lüge::N,пӧрьялӧм,ултав
544,Schaden::N,лёк,сиен
545,Unglück::N,пик,шар
546,Unglück::N,пик,инкек
547,Unglück::N,оказзё,шар
548,Unglück::N,оказзё,инкек
549,Schuld::N,вина,айӑп
550,Schluss::N,ком,пӗтни
551,Schluss::N,ком,пӗтмӗш
552,Zeit::N,кад,вӑхӑт
553,Tag::N,лун,кун
554,Morgen::N,асыв,ир
555,Mittag::N,луншӧр кад,кӑнтӑрла
556,Abend::N,рыт,каҫ
557,Nacht::N,ой,каҫ
558,Woche::N,неделя,эрне
559,Monat::N,тӧлicь,уйӑх
560,Jahr::N,год,ҫулталӑк
561,Frühling::N,тулыс,ҫур
562,Frühling::N,тулыс,ҫуркунне
563,Sommer::N,гожум,ҫу
564,Sommer::N,гожум,ҫулла
565,Herbst::N,ар,кӗр
566,Herbst::N,ар,кӗркунне
567,Winter::N,тӧв,хӗл
568,Winter::N,тӧв,хӗлле
569,Januar::N,январ,январь
570,Februar::N,февраль,февраль
571,Februar::N,февраль,кӗҫӗн кӑрлач
572,März::N,март,март
573,März::N,март,пуш уйӑхӗ
574,April::N,апрель,апрель
575,Mai::N,май,май
576,Juni::N,юнь,июнь
577,Juli::N,юль,июль
578,August::N,август,август
579,September::N,сентяб,сентябрь
580,September::N,сентяб,авӑн уйӑхӗ
581,Oktober::N,октяб,октябрь
582,November::N,нояб,ноябрь
583,Dezember::N,декаб,раштав
584,Dezember::N,декаб,декабрь
585,Montag::N,вильлун,тунти кун
586,Dienstag::N,мӧдӧдзлун,ытлари кун
587,Mittwoch::N,шӧрлун,юн кун
588,Donnerstag::N,нёльӧдзлун,кӗҫнерни кун
589,Freitag::N,витӧдзлун,эрне кун
590,Samstag::N,пывсянлун,шӑмат кун
591,Sonntag::N,кресення,вырсарни кун
592,groß::A,ыджыт,пысӑк
593,klein::A,учӧтик,пӗчӗк
594,lang::A,кузь,вӑрӑм
595,kurz::A,дженыт,кӗске
596,breit::A,ота,сарлака
597,schmal::A,векнит,ансӑр
598,dicht::A,тшӧк,йӑвӑ
599,dick[Gegenstand]::A,кыз,хулӑн
600,dünn::A,вӧснит,ҫинҫе
601,dünn::A,вӧснит,ҫӳхе
602,fein::A,вӧснит,тарай
603,fein::A,вӧснит,вӗлтӗрти
604,fest::A,крепыт,тӗреклӗ
605,flach::A,лапкӧса,лаптак
606,glatt::A,волькыт,такӑр
607,hart::A,чӧрыт,хытӑ
608,weich::A,небыт,ҫемҫе
609,rund::A,гӧгрӧса,ҫавра
610,spitz::A,ёся,шӗвӗр
611,scharf::A,лэчыт,ҫивӗч
612,stumpf::A,ныж,мӑка
613,stumpf::A,ныж,пуклак
614,stumpf::A,ныж,тӗрӗнчӗк
615,stumpf::A,ныж,ӑнкарусӑр
616,schwer::A,сьӧкыт,йывӑр
617,schön::A,басӧк,илемлӗ
618,heiß::A,жар,вӗри
619,warm::A,шоныт,ӑшӑ
620,kalt::A,кӧдзыт,сивӗ
621,kühl::A,сайкыт,уҫӑ
622,frisch::A,виль,уҫӑ
623,feucht::A,вакодь,йӗпе
624,nass::A,ва,нӳрӗ
625,trocken::A,кӧс,типӗ
626,voll::A,тыра,тулли
627,leer::A,тыртӧм,пушӑ
628,offen::A,оссьӧм,уҫӑ
629,geschlossen::A,игана,хупӑ
630,geschlossen::A,пӧдана,хупӑ
631,sauber::A,сӧдз,таса
632,sauber::A,сӧстӧм,таса
633,schmutzig::A,нятьӧсь,пылчӑклӑ
634,schmutzig::A,нятьӧсь,вараланчӑк
635,roh::A,путӧм,чӗрӗ
636,reif::A,кисьмалӧм,пулнӑ
637,reif::A,кисьмалӧм,пиҫӗхнӗ
638,reif::A,кисьмалӧм,аталаннӑ
639,reif::A,кисьмалӧм,пиҫсе ҫитнӗ
640,lecker::A,кӧра ,тутлӑ
641,lecker::A,кӧра ,техӗмлӗ
642,süß::A,чӧскыт,пылак
643,bitter::A,курыт,йӳҫӗ
644,sauer::A,шӧма ,йӳҫӗ
645,sauer::A,шӧма ,йӳҫек
646,sauer::A,шӧма ,кӑвасак
647,hell::A,югыт,ҫутӑ
648,dunkel::A,пемыт,тӗттӗм
649,schwarz::A,сьӧд,хура
650,weiß::A,чочком,шурӑ
651,rot::A,гӧрд,хӗрлӗ
652,gelb::A,веж,сарӑ
653,blau::A,лӧз,кӑвак
654,grün::A,веж,симӗс
655,grün::A,веж,пиҫмен
656,grün::A,веж,ӑс пухман
657,grau::A,руд,кӑвак
658,grau::A,бусӧй,кӑвак
659,bunt::A,быдрӧма,чӑпар
660,billig::A,донтӧм,йӳнӗ
661,teuer::A,дона,хаклӑ
662,wertvoll::A,дона,паха
663,blind::A,синтӧм,суккӑр
664,taub::A,пельтӧм,хӑлхасӑр
665,kräftig::A,вына,хӑватлӑ
666,stark::A,вына,вирлӗ
667,schwach::A,некодя,халсӑр
668,fett::A,госа,самӑр
669,fett::A,госа,мӑнтӑр
670,schlank::A,статя,йӑрӑс
671,schlank::A,статя,яштака
672,hübsch::A,басӧк,хитре
673,böse::A,лёк,усал
674,dumm::A,бӧбӧв,ухмах
675,dumm::A,вежӧртӧм,ухмах
676,faul::A,дыш,наян
677,faul::A,дыш,юлхав
678,faul::A,дыш,ӳркенчӗк
679,fleißig::A,уджалicь,хастар
680,geizig::A,жикмӧра,хытӑ
681,geizig::A,горшаліcь,хытӑ
682,klug::A,авья,ӑслӑ
683,klug::A,вежӧра,ӑслӑ
684,geschickt::A,кипода,ӑста
685,lieb::A,муса,савнӑ
686,lieb::A,дзулиньӧй,савнӑ
687,lustig::A,гажа,хаваслӑ
688,sanft::A,лебезнӧй,ачаш
689,hungrig::A,тшыг,выҫӑ
690,krank::A,шогалiсь,чирлӗ
691,nackt::A,куш,ҫара
692,traurig::A,жугыль,салхуллӑ
693,lebendig::A,ловья,чӗрӗ
694,gut::A,бур,аван
695,gut::A,бур,лайӑх
696,schlecht::A,умӧль,япӑх
697,schlecht::A,умӧль,начар
698,schlimm::A,нештӧм,йӗрӗнчӗк
699,alt::A,важ,кивӗ
700,neu::A,виль,ҫӗнӗ
701,ehemalig::A,вӧвлӧм,пулнӑ
702,alt[Lebewesen]::A,года,ватӑ
703,alt[Lebewesen]::A,годдэза,ватӑ
704,jung::A,том,яш
705,jung::A,том,ҫамрӑк
706,arm::A,гов,чухӑн
707,arm::A,беднӧй,чухӑн
708,reich::A,эма,пуян
709,bekannt::A,тӧдса,пӗлӗш
710,fremd::A,чужӧй,ют
711,verschieden::A,быдкодь,расна
712,nah::A,матiсь,ҫывӑх
713,nah::A,матiсь,ҫывӑхри
714,fern::A,ылicь,инҫе
715,fern::A,ылicь,аякри
716,linker::A,шульга,сулахай
717,rechter::A,веськытланись,сылтӑм
