,Concept_ID,et,it
72,Wind::N,tuul,vento
73,Welle::N,laine,onda
74,Wasser::N,vesi,acqua
75,Stein::N,kivi,sasso
76,Stein::N,kivi,pietra
77,Boden::N,maa,suolo
78,Boden::N,maa,terreno
79,Boden::N,pinnas,suolo
80,Boden::N,pinnas,terreno
81,Erde::N,maa,terra
82,Staub::N,põrm,polvere
83,Rauch::N,suits,fumo
84,Funke::N,säde,scintilla
85,Feuer::N,tuli,fuoco
86,Licht::N,valgus,luce
87,Schatten::N,vari,ombra
88,Wetter::N,ilm,tempo
89,Nebel::N,udu,nebbia
90,Wolke::N,pilv,nube
91,Wolke::N,pilv,nùvola
92,Regen::N,sadu,pioggia
93,Schnee::N,lumi,neve
94,Eis::N,jää,ghiaccio
95,Frost::N,pakane,gelo
96,Kälte::N,külm,freddo
97,Kälte::N,külmus,freddo
98,Hitze::N,kuumus,caldo
99,Hitze::N,kuumus,calura
100,Hitze::N,palavus,caldo
101,Hitze::N,palavus,calura
102,Raureif::N,härmatis,brina
103,Regenbogen::N,vikerkaar,arcobaleno
104,Donner::N,kõu,tuono
105,Donner::N,müristamine,tuono
106,Strömung::N,voolus,corrente
107,Strömung::N,jõevool,corrente
108,Tropfen::N,tilk,goccia
109,Schaum::N,vaht,spuma
110,Schaum::N,vaht,schiuma
111,Schmutz::N,pori,sudiciume
112,Schmutz::N,mustus,sudiciume
113,See::N,järv,lago
114,Sumpf::N,soo,palude
115,Moor::N,raba,torbiera
116,Wiese::N,aas,prato
117,Wiese::N,nurm,prato
118,Wald::N,mets,bosco
119,Wald::N,mets,foresta
120,Hügel::N,küngas,colle
121,Hügel::N,küngas,collina
122,Anhöhe::N,küngas,altura
123,Berg::N,mägi,monte
124,Berg::N,mägi,montagna
125,Gipfel::N,mäetipp,cima
126,Höhle::N,koobas,grotta
127,Höhle::N,koobas,caverna
128,Abhang::N,nõlvak,pendìo
129,Quelle::N,allikas,sorgente
130,Bach::N,oja,ruscello
131,Fluss::N,jõgi,fiume
132,Ufer::N,kallas,riva
133,Küste::N,rannik,costa
134,Festland::N,mander,terraferma
135,Festland::N,maismaa,terraferma
136,Meer::N,meri,mare
137,Bucht::N,laht,cala
138,Insel::N,saar,ìsola
139,Blume::N,lill,fiore
140,Gras::N,rohi,erba
141,Wurzel::N,juur,radice
142,Baum::N,puu,àlbero
143,Stamm::N,tüvi,tronco
144,Rinde::N,koor,corteccia
145,Ast::N,oks,ramo
146,Zweig::N,oks,ramo
147,Blatt::N,leht,foglia
148,Birke::N,kask,betulla
149,Kiefer[Baum]::N,mänd,pino
150,Weide[Baum]::N,paju,sàlice
151,Tanne::N,nulg,abete
152,Horn::N,sarv,corno
153,Feder::N,sulg,penna
154,Fell::N,karvkate,manto
155,Fell::N,karvkate,pelame
156,Fell::N,karusnahk,manto
157,Fell::N,karusnahk,pelame
158,Flügel::N,tiib,ala
159,Flügel::N,tiivik,ala
160,Klaue::N,küüs,grinfia
161,Kralle::N,küünis,unghia
162,Kralle::N,küünis,artiglio
163,Schwanz::N,saba,coda
164,Ei::N,muna,uovo
165,Nest::N,pesa,nido
166,Bau::N,urg,covo
167,Tier::N,loom,bestia
168,Tier::N,loom,animale
169,Herde::N,kari,gregge
170,Kuh::N,lehm,vacca
171,Bulle::N,pull,toro
172,Pferd::N,hobune,cavallo
173,Schaf::N,lammas,pècora
174,Schwein::N,siga,porco
175,Schwein::N,siga,maiale
176,Hund::N,koer,cane
177,Katze::N,kass,gatta
178,Bär::N,karu,orso
179,Eichhörnchen::N,orav,scoiàttolo
180,Elch::N,põder,alce
181,Fuchs::N,rebane,volpe
182,Hase::N,jänes,lepre
183,Maus::N,hiir,topo
184,Maus::N,hiir,sorcio
185,Wolf::N,hunt,lupo
186,Vogel::N,lind,uccello
187,Schwarm::N,parv,stormo
188,Huhn::N,kana,gallina
189,Hahn::N,kukk,gallo
190,Gans::N,hani,oca
191,Adler::N,kotkas,àquila
192,Ente::N,part,ànatra
193,Eule::N,kakk,gufo
194,Eule::N,kakk,civetta
195,Eule::N,öökull,gufo
196,Eule::N,öökull,civetta
197,Kranich::N,kurg,gru
198,Krähe::N,vares,cornacchia
199,Kuckuck::N,kägu,cuccù
200,Kuckuck::N,kägu,cùculo
201,Schwan::N,luik,cigno
202,Fisch::N,kala,pesce
203,Barsch::N,ahven,pèrsico
204,Hecht::N,haug,luccio
205,Schlange[Tier]::N,uss,serpente
206,Wurm::N,uss,baco
207,Wurm::N,uss,verme
208,Wurm::N,vagel,baco
209,Wurm::N,vagel,verme
210,Spinne::N,ämblik,ragno
211,Ameise::N,sipelgas,formica
212,Laus::N,täi,pidocchio
213,Mücke::N,sääsk,zanzara
214,Fliege::N,kärbes,mosca
215,Schmetterling::N,liblikas,farfalla
216,Beere::N,mari,bacca
217,Apfel::N,õun,mela
218,Pilz::N,seen,fungo
219,Zwiebel::N,sibul,cipolla
220,Saat::N,seeme,semente
221,Korn::N,iva,grano
222,Korn::N,tera,grano
223,Heu::N,hein,fieno
224,Schale::N,koor,buccia
225,Grube::N,kaevand,cava
226,Grube::N,kaevand,fossa
227,Falle::N,lõks,tràppola
228,Falle::N,püünis,tràppola
229,Schlinge::N,aas,laccio
230,Spur::N,jälg,traccia
231,Asche::N,tuhk,cenere
232,Dreck::N,saast,fango
233,Dreck::N,mustus,fango
234,Eisen::N,raud,ferro
235,Gold::N,kuld,oro
236,Silber::N,hõbe,argento
237,Kohle::N,süsi,carbone
238,Glas::N,klaas,vetro
239,Lehm::N,savi,argilla
240,Sand::N,liiv,arena
241,Sand::N,liiv,sabbia
242,Mensch::N,inimene,uomo
243,Mensch::N,inimene,èssere umano
244,Mann::N,mees,uomo
245,Frau::N,naine,donna
246,Kind::N,laps,bambino
247,Junge::N,poiss,ragazzo
248,Mädchen::N,tüdruk,ragazza
249,Familie::N,perekond,famiglia
250,Großvater::N,vanaisa,nonno
251,Großmutter::N,vanaema,nonna
252,Eltern::N,vanemad,genitori
253,Vater::N,isa,padre
254,Mutter::N,ema,madre
255,Sohn::N,poeg,figlio
256,Tochter::N,tütar,figlia
257,Bruder::N,vend,fratello
258,Schwester::N,õde,sorella
259,Onkel::N,onu,zio
260,Tante::N,tädi,zia
261,Ehemann::N,mees,marito
262,Ehemann::N,abikaasa,marito
263,Ehefrau::N,naine,moglie
264,Ehefrau::N,abikaasa,moglie
265,Freude::N,rõõm,gioia
266,Freude::N,rõõm,piacere
267,Gelächter::N,naer,risata
268,Glück::N,õnn,felicità
269,Kummer::N,mure,afflizione
270,Kummer::N,kurbus,afflizione
271,Wunsch::N,soov,desiderio
272,Lust::N,himu,voglia
273,Geist::N,vaim,mente
274,Geist::N,vaim,spìrito
275,Gedanke::N,mõte,idea
276,Gedanke::N,mõte,pensiero
277,Gedächtnis::N,mälu,memoria
278,Verstand::N,aru,intelletto
279,Verstand::N,mõistus,intelletto
280,Sinn::N,tähendus,senso
281,Sinn::N,tähendus,significato
282,Grund::N,põhjus,causa
283,Grund::N,põhjus,motivo
284,Grund::N,põhjus,ragione
285,Wahrheit::N,tõde,verità
286,Gespräch::N,kõne,discorso
287,Gespräch::N,kõne,conversazione
288,Gespräch::N,vestlus,discorso
289,Gespräch::N,vestlus,conversazione
290,Märchen::N,muinasjutt,fiaba
291,Märchen::N,muinasjutt,fàvola
292,Erzählung::N,jutustus,racconto
293,Erzählung::N,jutustus,narrazione
294,Nachricht::N,teade,messaggio
295,Neuigkeit::N,uudis,notizia
296,Name::N,nimi,nome
297,Rätsel::N,mõistatus,indovinello
298,Rede::N,kõne,discorso
299,Sprache::N,keel,lingua
300,Sprache::N,keel,linguaggio
301,Stimme::N,hääl,voce
302,Wort::N,sõna,parola
303,Zeichen::N,märk,segno
304,Zeichen::N,märk,segnale
305,Ruf::N,hüüe,chiamata
306,Lärm::N,müra,chiasso
307,Lärm::N,müra,strèpito
308,Laut::N,hääl,suono
309,Ton::N,toon,tono
310,Lied::N,laul,canto
311,Lied::N,laul,canzone
312,Ruhe::N,rahu,calma
313,Ruhe::N,rahu,tranquillità
314,Ruhe::N,vaikus,calma
315,Ruhe::N,vaikus,tranquillità
316,Leute::N,inimesed,gente
317,Volk::N,rahvas,pòpolo
318,Arbeit::N,töö,lavoro
319,Gast::N,külaline,òspite
320,Gast::N,külaline,invitato
321,Geschenk::N,kingitus,regalo
322,Spiel::N,mäng,gioco
323,Gesellschaft::N,selts,compagnìa
324,Hilfe::N,abi,aiuto
325,Hilfe::N,abi,soccorso
326,Freund::N,sõber,amico
327,Kamerad::N,sõber,camerata
328,Angelegenheit::N,asi,affare
329,Angelegenheit::N,asi,faccenda
330,Anzahl::N,arv,nùmero
331,Anzahl::N,arv,quantità
332,Anzahl::N,hulk,nùmero
333,Anzahl::N,hulk,quantità
334,Art::N,liik,tipo
335,Art::N,liik,specie
336,Stück::N,tükk,pezzo
337,Teil::N,osa,parte
338,Hälfte::N,pool,metà
339,Kreis::N,ring,cìrcolo
340,Kreuz::N,rist,croce
341,Linie::N,joon,lìnea
342,Strich::N,joon,tratto
343,Abstand::N,vahe,distanza
344,Entfernung::N,kaugus,distanza
345,Entfernung::N,kaugus,lontananza
346,Entfernung::N,vahemaa,distanza
347,Entfernung::N,vahemaa,lontananza
348,Gegend::N,ümbrus,regione
349,Platz::N,ruum,posto
350,Platz::N,ruum,spazio
351,Ort::N,paik,luogo
352,Ort::N,paik,località
353,Seite::N,pool,lato
354,Seite::N,pool,parte
355,Mitte::N,keskpaik,mezzo
356,Mitte::N,keskpaik,centro
357,Gegenstand::N,ese,oggetto
358,Sache::N,ese,cosa
359,Rand::N,äär,orlo
360,Rand::N,äär,bordo
361,Rand::N,serv,orlo
362,Rand::N,serv,bordo
363,Kante::N,kant,spìgolo
364,Ecke::N,nurk,canto
365,Spitze::N,teravik,punta
366,Ende::N,ots,capo
367,Ende::N,ots,estremità
368,Ende::N,jupp,capo
369,Ende::N,jupp,estremità
370,Loch::N,auk,buco
371,Winkel::N,nurk,àngolo
372,Muster::N,muster,disegno
373,Größe::N,suurus,taglia
374,Größe::N,suurus,grandezza
375,Länge::N,pikkus,lunghezza
376,Höhe::N,kõrgus,altezza
377,Gewicht::N,kaal,peso
378,Gewicht::N,raskus,peso
379,Menge::N,arv,quantità
380,Menge::N,hulk,quantità
381,Haufen::N,hunnik,cùmulo
382,Haufen::N,hunnik,mucchio
383,Reihe::N,rivi,fila
384,Boot::N,paat,barca
385,Boot::N,paat,battello
386,Ruder::N,aer,remo
387,Schlitten::N,saan,slitta
388,Ski::N,suusk,sci
389,Lagerfeuer::N,lõke,falò
390,Lagerfeuer::N,lõke,fuoco di bivacco
391,Last::N,koorem,càrico
392,Gang::N,käik,andata
393,Schritt::N,samm,passo
394,Norden::N,põhi,nord
395,Norden::N,põhi,settentrione
396,Süden::N,lõuna,sud
397,Süden::N,lõuna,meridione
398,Westen::N,lääs,òvest
399,Westen::N,lääs,occidente
400,Osten::N,ida,est
401,Osten::N,ida,oriente
402,Holz::N,puu,legno
403,Brett::N,saelaud,asse
404,Brett::N,saelaud,tàvola
405,Platte::N,plaat,lastra
406,Platte::N,plaat,piastra
407,Stütze::N,tugi,supporto
408,Stange::N,latt,sbarra
409,Stange::N,latt,pèrtica
410,Stange::N,teivas,sbarra
411,Stange::N,teivas,pèrtica
412,Stock::N,kepp,verga
413,Stock::N,kepp,bastone
414,Stock::N,kepp,bacchetta
415,Stab::N,varras,asta
416,Rohr::N,toru,tubo
417,Haus::N,maja,casa
418,Heim::N,kodu,casa
419,Ofen::N,ahi,stufa
420,Fußboden::N,põrand,pavimento
421,Tisch::N,laud,tàvolo
422,Stuhl::N,tool,sedia
423,Wiege::N,häll,culla
424,Wiege::N,kätki,culla
425,Bett::N,voodi,letto
426,Regal::N,riiul,scaffale
427,Kiste::N,kast,cassa
428,Fenster::N,aken,finestra
429,Tür::N,uks,porta
430,Tor::N,värav,portone
431,Zaun::N,aed,recinto
432,Zaun::N,tara,recinto
433,Dach::N,katus,tetto
434,Leiter::N,redel,scala
435,Leiter::N,redel,scala a pioli
436,Besen::N,luud,scopa
437,Spaten::N,labidas,vanga
438,Schaufel::N,kühvel,pala
439,Gabel::N,kahvel,forchetta
440,Löffel::N,lusikas,cucchiaio
441,Messer::N,nuga,coltello
442,Nagel::N,nael,chiodo
443,Netz::N,võrk,rete
444,Haken::N,haak,uncino
445,Haken::N,konks,uncino
446,Griff::N,sang,mànico
447,Griff::N,sang,maniglia
448,Griff::N,käepide,mànico
449,Griff::N,käepide,maniglia
450,Schloss::N,lukk,serratura
451,Bild::N,pilt,quadro
452,Bild::N,pilt,immàgine
453,Figur::N,kuju,figura
454,Figur::N,kujund,figura
455,Puppe::N,nukk,bàmbola
456,Beutel::N,paun,borsa
457,Beutel::N,paun,sacchetto
458,Bündel::N,kimp,fascio
459,Bündel::N,kimp,fagotto
460,Tasche::N,kott,borsa
461,Eimer::N,pang,secchio
462,Eimer::N,ämber,secchio
463,Deckel::N,kaas,coperchio
464,Geschirr::N,nõud,stoviglie
465,Sack::N,kott,sacco
466,Tasse::N,tass,tazza
467,Topf::N,pada,pèntola
468,Kessel::N,pada,paiolo
469,Kessel::N,pada,calderone
470,Essen::N,söök,pasto
471,Essen::N,söök,mangiare
472,Nahrung::N,toit,cibo
473,Nahrung::N,toit,alimento
474,Speise::N,roog,piatto
475,Fleisch::N,liha,carne
476,Getreide::N,teravili,cereali
477,Brei::N,puder,purè
478,Brei::N,puder,pappa
479,Brot::N,sai,pane
480,Brot::N,leib,pane
481,Scheibe::N,viil,fetta
482,Scheibe::N,viil,trancia
483,Scheibe::N,viilukas,fetta
484,Scheibe::N,viilukas,trancia
485,Fett::N,rasv,grasso
486,Butter::N,või,burro
487,Öl::N,õli,olio
488,Salz::N,sool,sale
489,Suppe::N,supp,zuppa
490,Suppe::N,supp,minestra
491,Honig::N,mesi,miele
492,Milch::N,piim,latte
493,Tee::N,tee,tè
494,Leder::N,nahk,pelle
495,Wolle::N,vill,lana
496,Stoff::N,kangas,panno
497,Stoff::N,kangas,tessuto
498,Nadel::N,nõel,ago
499,Faden::N,niit,filo
500,Knopf::N,nööp,bottone
501,Knoten::N,sõlm,nodo
502,Farbe::N,värv,pittura
503,Kleidung::N,riided,vestiti
504,Kleidung::N,riided,vestiario
505,Kleidung::N,riietus,vestiti
506,Kleidung::N,riietus,vestiario
507,Hemd::N,särk,camicia
508,Kragen::N,krae,bàvero
509,Kragen::N,krae,colletto
510,Ärmel::N,varrukas,mànica
511,Hose::N,püksid,calzoni
512,Gürtel::N,vöö,cintura
513,Mütze::N,müts,berretto
514,Schuh::N,king,scarpa
515,Stiefel::N,saabas,stivale
516,Ring::N,sõrmus,anello
517,Band::N,lint,nastro
518,Band::N,lint,fettuccia
519,Kamm::N,kamm,pèttine
520,Spiegel::N,peegel,specchio
521,Riemen::N,rihm,cinghia
522,Schnur::N,nöör,corda
523,Leine::N,jalutusrihm,guinzaglio
524,Decke::N,tekk,coperta
525,Kissen::N,padi,cuscino
526,Kissen::N,padi,guanciale
527,Tuch::N,kalev,fazzoletto
528,Handtuch::N,käterätik,asciugamano
529,Kraft::N,jõud,forza
530,Stärke::N,tugevus,forza
531,Stärke::N,tugevus,vigore
532,Stärke::N,tugevus,fortezza
533,Gesundheit::N,tervis,salute
534,Krankheit::N,haigus,malattìa
535,Schmerz::N,valu,dolore
536,Wunde::N,haav,piaga
537,Wunde::N,haav,ferita
538,Fieber::N,palavik,febbre
539,Arznei::N,ravim,fàrmaco
540,Arznei::N,ravim,medicina
541,Brücke::N,sild,ponte
542,Brunnen::N,kaev,pozzo
543,Weide::N,karjamaa,pàscolo
544,Pfad::N,rada,sentiero
545,Weg::N,tee,via
546,Weg::N,tee,cammino
547,Straße::N,tee,strada
548,Dorf::N,küla,paese
549,Dorf::N,küla,villaggio
550,Stadt::N,linn,città
551,Brief::N,kiri,lèttera
552,Buch::N,raamat,libro
553,Buchstabe::N,täht,lèttera
554,Zeitung::N,ajaleht,giornale
555,Leben::N,elu,vita
556,Tod::N,surm,morte
557,Grab::N,haud,tomba
558,Grab::N,haud,sepolcro
559,Kirche::N,kirik,chiesa
560,Sünde::N,patt,peccato
561,Gott::N,jumal,dio
562,Arbeiter::N,tööline,operaio
563,Arbeiter::N,tööline,lavoratore
564,Chef::N,ülemus,capo
565,Chef::N,ülemus,padrone
566,Chef::N,juhataja,capo
567,Chef::N,juhataja,padrone
568,Meister::N,meister,mastro
569,Meister::N,meister,maestro
570,Arzt::N,arst,mèdico
571,Arzt::N,arst,dottore
572,Lehrer::N,õpetaja,professore
573,Geld::N,raha,soldi
574,Geld::N,raha,denaro
575,Geschäft::N,äri,affare
576,Geschäft::N,äri,negozio
577,Laden::N,pood,negozio
578,Laden::N,kauplus,negozio
579,Preis::N,hind,prezzo
580,Ware::N,kaup,merce
581,Nutzen::N,tulu,ùtile
582,Nutzen::N,tulu,profitto
583,Nutzen::N,kasulikkus,ùtile
584,Nutzen::N,kasulikkus,profitto
585,Reichtum::N,rikkus,ricchezza
586,Welt::N,maailm,mondo
587,Land::N,maa,paese
588,Staat::N,riik,Stato
589,König::N,kuningas,re
590,Macht::N,võim,potere
591,Grenze::N,piir,confine
592,Grenze::N,piir,frontiera
593,Krieg::N,sõda,guerra
594,Feind::N,vaenlane,nemico
595,Gewalt::N,väevõim,violenza
596,Kampf::N,võitlus,lotta
597,Bogen[Waffe]::N,vibu,arco
598,Pfeil::N,nool,freccia
599,Gewehr::N,püss,fucile
600,Fehler::N,viga,errore
601,Fehler::N,viga,sbaglio
602,Lüge::N,vale,bugìa
603,Lüge::N,vale,menzogna
604,Schaden::N,kahju,danno
605,Unglück::N,häda,sfortuna
606,Unglück::N,õnnetus,sfortuna
607,Schuld::N,süü,colpa
608,Alter::N,iga,età
609,Schluss::N,lõpp,fine
610,Zeit::N,aeg,tempo
611,Tag::N,päev,giorno
612,Tag::N,päev,giornata
613,Morgen::N,hommik,mattina
614,Mittag::N,lõuna,mezzogiorno
615,Mittag::N,keskpäev,mezzogiorno
616,Abend::N,õhtu,sera
617,Abend::N,õhtu,serata
618,Nacht::N,öö,notte
619,Woche::N,nädal,settimana
620,Monat::N,kuu,mese
621,Jahr::N,aasta,anno
622,Frühling::N,kevad,primavera
623,Sommer::N,suvi,estate
624,Herbst::N,sügis,autunno
625,Winter::N,talv,inverno
626,Januar::N,jaanuar,gennaio
627,Februar::N,veebruar,febbraio
628,März::N,märts,marzo
629,April::N,aprill,aprile
630,Mai::N,mai,maggio
631,Juni::N,juuni,giugno
632,Juli::N,juuli,luglio
633,August::N,august,agosto
634,September::N,september,settembre
635,Oktober::N,oktoober,ottobre
636,November::N,november,novembre
637,Dezember::N,detsember,dicembre
638,Montag::N,esmaspäev,lunedì
639,Dienstag::N,teisipäev,martedì
640,Mittwoch::N,kesknädal,mercoledì
641,Donnerstag::N,neljapäev,giovedì
642,Freitag::N,reede,venerdì
643,Samstag::N,laupäev,sàbato
644,Sonntag::N,pühapäev,domenica
645,groß::A,suur,grande
646,klein::A,väike,pìccolo
647,klein::A,pisike,pìccolo
648,lang::A,pikk,lungo
649,kurz::A,lühike,corto
650,breit::A,lai,largo
651,schmal::A,kitsas,stretto
652,dicht::A,tihe,denso
653,dick[Gegenstand]::A,jäme,spesso
654,dünn::A,õhuke,sottile
655,dünn::A,peenike,sottile
656,fein::A,peen,fine
657,fein::A,peen,delicato
658,fein::A,õhuke,fine
659,fein::A,õhuke,delicato
660,fest::A,püsiv,sodo
661,fest::A,püsiv,fisso
662,fest::A,kindel,sodo
663,fest::A,kindel,fisso
664,flach::A,lame,piano
665,flach::A,lame,piatto
666,flach::A,tasane,piano
667,flach::A,tasane,piatto
668,glatt::A,sile,liscio
669,hart::A,kõva,duro
670,weich::A,pehme,molle
671,rund::A,ümar,rotondo
672,spitz::A,torkav,aguzzo
673,spitz::A,torkav,appuntito
674,scharf::A,terav,affilato
675,scharf::A,terav,tagliente
676,stumpf::A,nüri,smussato
677,schwer::A,raske,pesante
678,schön::A,kena,bello
679,heiß::A,kuum,caldo
680,heiß::A,kuum,bollente
681,heiß::A,palav,caldo
682,heiß::A,palav,bollente
683,warm::A,soe,caldo
684,kalt::A,külm,freddo
685,kühl::A,jahe,fresco
686,frisch::A,värske,fresco
687,feucht::A,niiske,ùmido
688,nass::A,märg,bagnato
689,trocken::A,kuiv,secco
690,voll::A,täis,pieno
691,leer::A,tühi,vuoto
692,offen::A,avatud,aperto
693,offen::A,lahtine,aperto
694,geschlossen::A,suletud,chiuso
695,sauber::A,puhas,netto
696,sauber::A,puhas,pulito
697,schmutzig::A,räpane,sporco
698,schmutzig::A,räpane,sùdicio
699,schmutzig::A,määrdunud,sporco
700,schmutzig::A,määrdunud,sùdicio
701,roh::A,toores,crudo
702,reif::A,küps,maturo
703,lecker::A,hõrk,ghiotto
704,lecker::A,hõrk,squisito
705,lecker::A,maitsev,ghiotto
706,lecker::A,maitsev,squisito
707,süß::A,magus,dolce
708,bitter::A,mõru,amaro
709,sauer::A,hapu,aspro
710,sauer::A,hapu,acerbo
711,hell::A,hele,chiaro
712,dunkel::A,pime,buio
713,dunkel::A,pime,oscuro
714,schwarz::A,must,nero
715,weiß::A,valge,bianco
716,rot::A,punane,rosso
717,gelb::A,kollane,giallo
718,blau::A,sinine,blu
719,blau::A,sinine,azzurro
720,grün::A,roheline,verde
721,grau::A,hall,grigio
722,bunt::A,kirju,variopinto
723,bunt::A,värviline,variopinto
724,billig::A,odav,a buon prezzo
725,billig::A,odav,a buon mercato
726,teuer::A,kallis,caro
727,wertvoll::A,väärtuslik,prezioso
728,blind::A,pime,cieco
729,taub::A,kurt,sordo
730,kräftig::A,jõuline,forte
731,kräftig::A,jõuline,robusto
732,stark::A,tugev,forte
733,stark::A,tugev,vigoroso
734,schwach::A,nõrk,dèbole
735,schwach::A,jõuetu,dèbole
736,fett::A,rasvane,grasso
737,schlank::A,sale,snello
738,schlank::A,sale,slanciato
739,hübsch::A,kena,bello
740,hübsch::A,kena,carino
741,böse::A,tige,cattivo
742,dumm::A,juhm,stùpido
743,dumm::A,rumal,stùpido
744,faul::A,laisk,pigro
745,fleißig::A,virk,diligente
746,fleißig::A,hoolas,diligente
747,geizig::A,ihne,avaro
748,klug::A,tark,intelligente
749,klug::A,arukas,intelligente
750,klug::A,mõistlik,intelligente
751,geschickt::A,osav,àbile
752,lieb::A,armas,caro
753,lustig::A,lõbus,gaio
754,lustig::A,lõbus,allegro
755,sanft::A,õrn,dolce
756,hungrig::A,näljane,affamato
757,krank::A,haige,malato
758,krank::A,haige,infermo
759,nackt::A,alasti,nudo
760,traurig::A,kurb,triste
761,lebendig::A,elus,vivo
762,gut::A,hea,buono
763,schlecht::A,halb,cattivo
764,richtig::A,õige,giusto
765,schlimm::A,paha,grave
766,wahr::A,tõene,vero
767,alt::A,vana,vecchio
768,neu::A,uus,nuovo
769,ehemalig::A,endine,vecchio
770,ehemalig::A,endine,d'una_volta
771,alt[Lebewesen]::A,vana,anziano
772,jung::A,noor,giovane
773,arm::A,vaene,pòvero
774,reich::A,rikas,ricco
775,bekannt::A,teada,noto
776,bekannt::A,teada,conosciuto
777,bekannt::A,tuttav,noto
778,bekannt::A,tuttav,conosciuto
779,berühmt::A,tuntud,famoso
780,berühmt::A,tuntud,cèlebre
781,fremd::A,võõras,estràneo
782,fremd::A,võõras,straniero
783,verschieden::A,erinev,diverso
784,verschieden::A,erinev,differente
785,nah::A,lähedane,vicino
786,nah::A,lähedane,propinquo
787,fern::A,kauge,lontano
788,linker::A,vasak,sinistro
789,rechter::A,parem,destro
790,anderer::A,muu,altro
791,anderer::A,teine,altro
792,erster::A,esimene,primo
793,zweiter::A,teine,secondo
794,dritter::A,kolmas,terzo
795,letzter::A,viimane,ùltimo
796,allein::ADV,üksi,solo
797,allein::ADV,üksi,da solo
798,auf einmal::ADV,korraga,insieme
799,auf einmal::ADV,ühekorraga,insieme
800,zusammen::ADV,koos,insieme
801,zusammen::ADV,üheskoos,insieme
802,lange::ADV,kaua,a lungo
803,plötzlich::ADV,äkki,all'improvviso
804,plötzlich::ADV,järsku,all'improvviso
805,sofort::ADV,kohe,sùbito
806,sofort::ADV,kohe,all'istante
807,später::ADV,hiljem,più tardi
808,jetzt::ADV,nüüd,ora
809,jetzt::ADV,nüüd,adesso
810,heute::ADV,täna,oggi
811,morgen::ADV,homme,domani
812,bald::ADV,pea,presto
813,bald::ADV,pea,tra poco
814,bald::ADV,varsti,presto
815,bald::ADV,varsti,tra poco
816,dann::ADV,siis,allora
817,gestern::ADV,eile,ieri
818,einst::ADV,vanasti,prima
819,einst::ADV,vanasti,un tempo
820,damals::ADV,tookord,allora
821,danach::ADV,seejärel,poi
822,danach::ADV,seejärel,dopo
823,vorher::ADV,enne,prima
824,zuerst::ADV,enne,prima
825,zuerst::ADV,enne,dapprima
826,zuerst::ADV,esmalt,prima
827,zuerst::ADV,esmalt,dapprima
828,einmal::ADV,kord,una volta
829,einmal::ADV,üks kord,una volta
830,manchmal::ADV,mõnikord,talvolta
831,manchmal::ADV,mõnikord,qualche volta
832,oft::ADV,tihti,spesso
833,oft::ADV,sageli,spesso
834,immer::ADV,ikka,sempre
835,immer::ADV,alati,sempre
836,niemals::ADV,mitte kunagi,non mai
