,Concept_ID,kv,et
62,Luft::N,ру,õhk
63,Wind::N,тӧв,tuul
64,Welle::N,гы,laine
65,Wasser::N,ва,vesi
66,Stein::N,из,kivi
67,Boden::N,му,maa
68,Boden::N,му,pinnas
69,Erde::N,му,maa
70,Staub::N,бус,põrm
71,Rauch::N,тшын,suits
72,Funke::N,бичир,säde
73,Feuer::N,би,tuli
74,Licht::N,би,valgus
75,Schatten::N,вуджӧр,vari
76,Wetter::N,погоддя,ilm
77,Nebel::N,туман,udu
78,Wolke::N,кымӧр,pilv
79,Regen::N,зэр,sadu
80,Schnee::N,лым,lumi
81,Eis::N,йы,jää
82,Frost::N,мороз,pakane
83,Kälte::N,кӧдзыт,külm
84,Kälte::N,кӧдзыт,külmus
85,Hitze::N,ӧд,kuumus
86,Hitze::N,ӧд,palavus
87,Raureif::N,кижа,härmatis
88,Regenbogen::N,енӧшка,vikerkaar
89,Donner::N,гым,kõu
90,Donner::N,гым,müristamine
91,Strömung::N,визывтӧм,voolus
92,Strömung::N,визывтӧм,jõevool
93,Tropfen::N,тёп,tilk
94,Schaum::N,быг,vaht
95,Schmutz::N,нять,pori
96,Schmutz::N,нять,mustus
97,See::N,ты,järv
98,Sumpf::N,арай,soo
99,Moor::N,нюр,raba
100,Wiese::N,видз,aas
101,Wiese::N,видз,nurm
102,Wald::N,вӧр,mets
103,Hügel::N,мыльк,küngas
104,Anhöhe::N,вывтас,küngas
105,Anhöhe::N,вылынін,küngas
106,Berg::N,керӧс,mägi
107,Gipfel::N,йыв,mäetipp
108,Höhle::N,нора,koobas
109,Abhang::N,покат,nõlvak
110,Quelle::N,больган,allikas
111,Bach::N,шор,oja
112,Fluss::N,ю,jõgi
113,Ufer::N,берег,kallas
114,Küste::N,берег,rannik
115,Festland::N,му,mander
116,Festland::N,му,maismaa
117,Meer::N,море,meri
118,Bucht::N,курья,laht
119,Blume::N,цветок,lill
120,Gras::N,турун,rohi
121,Wurzel::N,вуж,juur
122,Baum::N,пу,puu
123,Stamm::N,мыр,tüvi
124,Stamm::N,кер,tüvi
125,Rinde::N,кач,koor
126,Ast::N,ув,oks
127,Zweig::N,ув,oks
128,Blatt::N,лист,leht
129,Birke::N,кыдз,kask
130,Kiefer[Baum]::N,пожум,mänd
131,Weide[Baum]::N,бадь,paju
132,Tanne::N,кӧз,nulg
133,Horn::N,сюр,sarv
134,Feder::N,гӧн,sulg
135,Fell::N,кучик,karvkate
136,Fell::N,кучик,karusnahk
137,Flügel::N,борд,tiib
138,Flügel::N,борд,tiivik
139,Klaue::N,гыж,küüs
140,Kralle::N,кабыр,küünis
141,Schwanz::N,бӧж,saba
142,Ei::N,кольть,muna
143,Nest::N,поз,pesa
144,Bau::N,осьта,urg
145,Bau::N,нора,urg
146,Tier::N,зверь,loom
147,Herde::N,гурт,kari
148,Kuh::N,мӧс,lehm
149,Bulle::N,ӧшка,pull
150,Pferd::N,вӧв,hobune
151,Schaf::N,баля,lammas
152,Schwein::N,порсь,siga
153,Hund::N,пон,koer
154,Katze::N,кань,kass
155,Bär::N,ош,karu
156,Eichhörnchen::N,ур,orav
157,Elch::N,вӧр мӧс,põder
158,Fuchs::N,руч,rebane
159,Hase::N,кӧч,jänes
160,Maus::N,шыр,hiir
161,Wolf::N,кӧин,hunt
162,Vogel::N,кай,lind
163,Schwarm::N,стая,parv
164,Schwarm::N,чукӧр,parv
165,Huhn::N,курӧг,kana
166,Hahn::N,петух,kukk
167,Hahn::N,ай курӧг,kukk
168,Gans::N,дзодзог,hani
169,Adler::N,куч,kotkas
170,Adler::N,кутш,kotkas
171,Ente::N,утка,part
172,Eule::N,тупка,kakk
173,Eule::N,тупка,öökull
174,Kranich::N,тури,kurg
175,Krähe::N,рака,vares
176,Kuckuck::N,кӧк,kägu
177,Schwan::N,юсь,luik
178,Fisch::N,чери,kala
179,Barsch::N,ёкыш,ahven
180,Hecht::N,сирпинь,haug
181,Schlange[Tier]::N,змей,uss
182,Wurm::N,номыр,uss
183,Wurm::N,номыр,vagel
184,Spinne::N,черань,ämblik
185,Ameise::N,кӧдзывкар,sipelgas
186,Laus::N,ляпа той,täi
187,Mücke::N,ном,sääsk
188,Fliege::N,гут,kärbes
189,Schmetterling::N,бабыв,liblikas
190,Beere::N,ягӧд,mari
191,Apfel::N,яблоко,õun
192,Pilz::N,тшак,seen
193,Zwiebel::N,грез,sibul
194,Saat::N,кӧдзыс,seeme
195,Korn::N,сю,iva
196,Korn::N,сю,tera
197,Heu::N,турун,hein
198,Schale::N,кыш,koor
199,Schale::N,киль,koor
200,Grube::N,яма,kaevand
201,Falle::N,нальк,lõks
202,Falle::N,нальк,püünis
203,Falle::N,кляпча,lõks
204,Falle::N,кляпча,püünis
205,Schlinge::N,лӧч,aas
206,Spur::N,туй,jälg
207,Asche::N,пӧим,tuhk
208,Dreck::N,нять,saast
209,Dreck::N,нять,mustus
210,Eisen::N,кӧрт,raud
211,Gold::N,зарни,kuld
212,Silber::N,язісь,hõbe
213,Kohle::N,шом,süsi
214,Kohle::N,уголь,süsi
215,Glas::N,стекло,klaas
216,Lehm::N,сёй,savi
217,Sand::N,лыа,liiv
218,Mensch::N,морт,inimene
219,Mann::N,мужик,mees
220,Frau::N,инька,naine
221,Kind::N,кага,laps
222,Junge::N,зонка,poiss
223,Mädchen::N,нывкаок,tüdruk
224,Familie::N,семья,perekond
225,Großvater::N,дед,vanaisa
226,Großmutter::N,баб,vanaema
227,Eltern::N,ай-мам,vanemad
228,Vater::N,ай,isa
229,Mutter::N,мам,ema
230,Sohn::N,зон,poeg
231,Tochter::N,ныв,tütar
232,Bruder::N,вон,vend
233,Schwester::N,сой,õde
234,Onkel::N,дядь,onu
235,Tante::N,айӧлӧн сой,tädi
236,Tante::N,ичинь,tädi
237,Ehemann::N,жӧник,mees
238,Ehemann::N,жӧник,abikaasa
239,Ehefrau::N,инь,naine
240,Ehefrau::N,инь,abikaasa
241,Freude::N,гаж,rõõm
242,Freude::N,радъялӧм,rõõm
243,Gelächter::N,сералӧм,naer
244,Glück::N,мичлун,õnn
245,Kummer::N,шог,mure
246,Kummer::N,шог,kurbus
247,Wunsch::N,мӧдӧм,soov
248,Wunsch::N,охотитӧм,soov
249,Lust::N,охота,himu
250,Geist::N,лов,vaim
251,Gedanke::N,дума,mõte
252,Gedächtnis::N,тӧдвыв,mälu
253,Verstand::N,вежӧр,aru
254,Verstand::N,вежӧр,mõistus
255,Sinn::N,ылӧс,tähendus
256,Grund::N,мог,põhjus
257,Wahrheit::N,правда,tõde
258,Gespräch::N,сёрни,kõne
259,Gespräch::N,сёрни,vestlus
260,Märchen::N,сказка,muinasjutt
261,Erzählung::N,висьт,jutustus
262,Nachricht::N,юӧр,teade
263,Nachricht::N,висьталӧм,teade
264,Neuigkeit::N,новость,uudis
265,Name::N,ним,nimi
266,Rätsel::N,загадка,mõistatus
267,Rede::N,сёрни,kõne
268,Sprache::N,кыв,keel
269,Stimme::N,голос,hääl
270,Wort::N,кыв,sõna
271,Zeichen::N,пас,märk
272,Ruf::N,чуксӧм,hüüe
273,Ruf::N,чукӧстӧм,hüüe
274,Lärm::N,шум,müra
275,Laut::N,шы,hääl
276,Ton::N,гор,toon
277,Lied::N,сьыланкыв,laul
278,Ruhe::N,спокой,rahu
279,Ruhe::N,спокой,vaikus
280,Leute::N,йӧз,inimesed
281,Volk::N,йӧз,rahvas
282,Volk::N,народ,rahvas
283,Arbeit::N,удж,töö
284,Gast::N,гӧсь,külaline
285,Geschenk::N,гӧснеч,kingitus
286,Geschenk::N,подарок,kingitus
287,Spiel::N,орсӧм,mäng
288,Gesellschaft::N,компания,selts
289,Hilfe::N,отсӧт,abi
290,Freund::N,модз,sõber
291,Freund::N,дружок,sõber
292,Kamerad::N,тӧдса,sõber
293,Angelegenheit::N,дело,asi
294,Anzahl::N,лыд,arv
295,Anzahl::N,лыд,hulk
296,Art::N,пӧлӧс,liik
297,Stück::N,тор,tükk
298,Teil::N,юкӧм,osa
299,Hälfte::N,джын,pool
300,Kreis::N,круг,ring
301,Kreuz::N,перна,rist
302,Linie::N,визь,joon
303,Strich::N,кырӧв,joon
304,Abstand::N,колас,vahe
305,Entfernung::N,ылына,kaugus
306,Entfernung::N,ылына,vahemaa
307,Gegend::N,места,ümbrus
308,Platz::N,места,ruum
309,Ort::N,места,paik
310,Seite::N,ладор,pool
311,Mitte::N,шӧр,keskpaik
312,Gegenstand::N,тор,ese
313,Sache::N,тор,ese
314,Rand::N,дор,äär
315,Rand::N,дор,serv
316,Kante::N,ордлы,kant
317,Ecke::N,пельӧс,nurk
318,Spitze::N,йыв,teravik
319,Ende::N,йыв,ots
320,Ende::N,йыв,jupp
321,Loch::N,осьта,auk
322,Winkel::N,пельӧс,nurk
323,Muster::N,сер,muster
324,Größe::N,ыжда,suurus
325,Länge::N,кузя,pikkus
326,Höhe::N,сувда,kõrgus
327,Höhe::N,вылына,kõrgus
328,Gewicht::N,сьӧкта,kaal
329,Gewicht::N,сьӧкта,raskus
330,Haufen::N,куча,hunnik
331,Reihe::N,лёдз,rivi
332,Boot::N,пыж,paat
333,Ruder::N,пелыс,aer
334,Schlitten::N,додь,saan
335,Ski::N,лямпа,suusk
336,Lagerfeuer::N,бипур,lõke
337,Last::N,тягота,koorem
338,Gang::N,мунӧм,käik
339,Schritt::N,вожмӧв,samm
340,Norden::N,ой,põhi
341,Süden::N,лун,lõuna
342,Westen::N,рытвыв,lääs
343,Osten::N,асыв,ida
344,Holz::N,пу,puu
345,Brett::N,пӧв,saelaud
346,Platte::N,плита,plaat
347,Stütze::N,пика,tugi
348,Stange::N,зор,latt
349,Stange::N,зор,teivas
350,Stange::N,потш,latt
351,Stange::N,потш,teivas
352,Stock::N,бедь,kepp
353,Stab::N,шест,varras
354,Rohr::N,труба,toru
355,Haus::N,керку,maja
356,Heim::N,керку,kodu
357,Ofen::N,пӧжавны,ahi
358,Fußboden::N,джодж,põrand
359,Tisch::N,пызан,laud
360,Stuhl::N,стул,tool
361,Wiege::N,зыбка,häll
362,Wiege::N,зыбка,kätki
363,Bett::N,кровать,voodi
364,Regal::N,джадж,riiul
365,Kiste::N,ящик,kast
366,Fenster::N,ӧшын,aken
367,Tür::N,ыбӧс,uks
368,Tor::N,ворота,värav
369,Zaun::N,забор,aed
370,Zaun::N,забор,tara
371,Dach::N,крыша,katus
372,Leiter::N,лиснич,redel
373,Besen::N,рос,luud
374,Spaten::N,зыр,labidas
375,Schaufel::N,зыр,kühvel
376,Gabel::N,вила,kahvel
377,Löffel::N,пань,lusikas
378,Messer::N,пурт,nuga
379,Nagel::N,кӧрттув,nael
380,Netz::N,кыйӧт,võrk
381,Haken::N,ем,haak
382,Haken::N,ем,konks
383,Griff::N,пу,sang
384,Griff::N,пу,käepide
385,Schloss::N,замок,lukk
386,Bild::N,картина,pilt
387,Figur::N,мыгӧр,kuju
388,Figur::N,мыгӧр,kujund
389,Puppe::N,акань,nukk
390,Beutel::N,мешӧк,paun
391,Bündel::N,нин,kimp
392,Tasche::N,сумка,kott
393,Eimer::N,ведра,pang
394,Eimer::N,ведра,ämber
395,Deckel::N,вевт,kaas
396,Geschirr::N,доз,nõud
397,Geschirr::N,бекӧрпань,nõud
398,Sack::N,мешӧк,kott
399,Tasse::N,бекӧр,tass
400,Topf::N,кастрюля,pada
401,Kessel::N,пӧрт,pada
402,Essen::N,сёйӧм,söök
403,Nahrung::N,вердан,toit
404,Speise::N,сёян,roog
405,Fleisch::N,яй,liha
406,Getreide::N,сю,teravili
407,Brei::N,каша,puder
408,Brot::N,нянь,sai
409,Brot::N,нянь,leib
410,Scheibe::N,шӧрӧм,viil
411,Scheibe::N,шӧрӧм,viilukas
412,Fett::N,гос,rasv
413,Butter::N,ви,või
414,Öl::N,ви,õli
415,Salz::N,сов,sool
416,Suppe::N,шыд,supp
417,Honig::N,ма,mesi
418,Milch::N,йӧв,piim
419,Tee::N,чай,tee
420,Leder::N,кучик,nahk
421,Wolle::N,гӧн,vill
422,Stoff::N,дӧра,kangas
423,Nadel::N,ем,nõel
424,Faden::N,сунис,niit
425,Knopf::N,кизь,nööp
426,Knoten::N,узӧв,sõlm
427,Knoten::N,гӧрӧд,sõlm
428,Farbe::N,краска,värv
429,Kleidung::N,паськӧм,riided
430,Kleidung::N,паськӧм,riietus
431,Hemd::N,йӧрнӧс,särk
432,Kragen::N,воротник,krae
433,Ärmel::N,сос,varrukas
434,Hose::N,вешьян,püksid
435,Gürtel::N,йи,vöö
436,Mütze::N,шапка,müts
437,Schuh::N,ботинки,king
438,Stiefel::N,сапог,saabas
439,Ring::N,чунькытш,sõrmus
440,Band::N,ленточка,lint
441,Kamm::N,сынан,kamm
442,Spiegel::N,зеркало,peegel
443,Riemen::N,ремень,rihm
444,Schnur::N,гез,nöör
445,Leine::N,повод,jalutusrihm
446,Decke::N,одеяло,tekk
447,Kissen::N,подушка,padi
448,Tuch::N,чышьян,kalev
449,Handtuch::N,чышкӧт,käterätik
450,Kraft::N,прак,jõud
451,Stärke::N,вын,tugevus
452,Gesundheit::N,здоровье,tervis
453,Krankheit::N,шог,haigus
454,Schmerz::N,зубыт,valu
455,Wunde::N,рана,haav
456,Fieber::N,лёк тресся,palavik
457,Fieber::N,кынтан шогӧт,palavik
458,Arznei::N,лекарство,ravim
459,Brücke::N,пос,sild
460,Brunnen::N,колодец ,kaev
461,Weide::N,пода йирсян,karjamaa
462,Pfad::N,туй,rada
463,Weg::N,туй,tee
464,Straße::N,туй,tee
465,Dorf::N,деревня,küla
466,Stadt::N,город,linn
467,Brief::N,гижӧт,kiri
468,Buch::N,книга,raamat
469,Buchstabe::N,буква,täht
470,Zeitung::N,газета,ajaleht
471,Leben::N,олан,elu
472,Tod::N,кулӧм,surm
473,Grab::N,гу,haud
474,Kirche::N,вичку,kirik
475,Sünde::N,грек,patt
476,Gott::N,ен,jumal
477,Arbeiter::N,уджалiсь,tööline
478,Chef::N,начальник,ülemus
479,Chef::N,начальник,juhataja
480,Meister::N,мастер,meister
481,Arzt::N,врач,arst
482,Lehrer::N,велӧтісь,õpetaja
483,Geld::N,деньга,raha
484,Geschäft::N,удж,äri
485,Laden::N,магазин,pood
486,Laden::N,магазин,kauplus
487,Preis::N,дон,hind
488,Ware::N,товар,kaup
489,Nutzen::N,путь,tulu
490,Nutzen::N,путь,kasulikkus
491,Reichtum::N,богатство,rikkus
492,Welt::N,му,maailm
493,Land::N,страна,maa
494,Staat::N,государство,riik
495,König::N,кан,kuningas
496,Macht::N,власть,võim
497,Grenze::N,граница,piir
498,Krieg::N,война,sõda
499,Feind::N,враг,vaenlane
500,Kampf::N,нярасьӧм,võitlus
501,Kampf::N,вермасьӧм,võitlus
502,Bogen[Waffe]::N,лук,vibu
503,Pfeil::N,ньӧв,nool
504,Gewehr::N,ружьё,püss
505,Fehler::N,ошибка,viga
506,Lüge::N,ылӧтӧм,vale
507,Lüge::N,пӧрьялӧм,vale
508,Schaden::N,лёк,kahju
509,Unglück::N,пик,häda
510,Unglück::N,пик,õnnetus
511,Unglück::N,оказзё,häda
512,Unglück::N,оказзё,õnnetus
513,Schuld::N,вина,süü
514,Schluss::N,ком,lõpp
515,Zeit::N,кад,aeg
516,Tag::N,лун,päev
517,Morgen::N,асыв,hommik
518,Mittag::N,луншӧр кад,lõuna
519,Mittag::N,луншӧр кад,keskpäev
520,Abend::N,рыт,õhtu
521,Nacht::N,ой,öö
522,Woche::N,неделя,nädal
523,Monat::N,тӧлicь,kuu
524,Jahr::N,год,aasta
525,Frühling::N,тулыс,kevad
526,Sommer::N,гожум,suvi
527,Herbst::N,ар,sügis
528,Winter::N,тӧв,talv
529,Januar::N,январ,jaanuar
530,Februar::N,февраль,veebruar
531,März::N,март,märts
532,April::N,апрель,aprill
533,Mai::N,май,mai
534,Juni::N,юнь,juuni
535,Juli::N,юль,juuli
536,August::N,август,august
537,September::N,сентяб,september
538,Oktober::N,октяб,oktoober
539,November::N,нояб,november
540,Dezember::N,декаб,detsember
541,Montag::N,вильлун,esmaspäev
542,Dienstag::N,мӧдӧдзлун,teisipäev
543,Mittwoch::N,шӧрлун,kesknädal
544,Donnerstag::N,нёльӧдзлун,neljapäev
545,Freitag::N,витӧдзлун,reede
546,Samstag::N,пывсянлун,laupäev
547,Sonntag::N,кресення,pühapäev
548,groß::A,ыджыт,suur
549,klein::A,учӧтик,väike
550,klein::A,учӧтик,pisike
551,lang::A,кузь,pikk
552,kurz::A,дженыт,lühike
553,breit::A,ота,lai
554,schmal::A,векнит,kitsas
555,dicht::A,тшӧк,tihe
556,dick[Gegenstand]::A,кыз,jäme
557,dünn::A,вӧснит,õhuke
558,dünn::A,вӧснит,peenike
559,fein::A,вӧснит,peen
560,fein::A,вӧснит,õhuke
561,fest::A,крепыт,püsiv
562,fest::A,крепыт,kindel
563,flach::A,лапкӧса,lame
564,flach::A,лапкӧса,tasane
565,glatt::A,волькыт,sile
566,hart::A,чӧрыт,kõva
567,weich::A,небыт,pehme
568,rund::A,гӧгрӧса,ümar
569,spitz::A,ёся,torkav
570,scharf::A,лэчыт,terav
571,stumpf::A,ныж,nüri
572,schwer::A,сьӧкыт,raske
573,schön::A,басӧк,kena
574,heiß::A,жар,kuum
575,heiß::A,жар,palav
576,warm::A,шоныт,soe
577,kalt::A,кӧдзыт,külm
578,kühl::A,сайкыт,jahe
579,frisch::A,виль,värske
580,feucht::A,вакодь,niiske
581,nass::A,ва,märg
582,trocken::A,кӧс,kuiv
583,voll::A,тыра,täis
584,leer::A,тыртӧм,tühi
585,offen::A,оссьӧм,avatud
586,offen::A,оссьӧм,lahtine
587,geschlossen::A,игана,suletud
588,geschlossen::A,пӧдана,suletud
589,sauber::A,сӧдз,puhas
590,sauber::A,сӧстӧм,puhas
591,schmutzig::A,нятьӧсь,räpane
592,schmutzig::A,нятьӧсь,määrdunud
593,roh::A,путӧм,toores
594,reif::A,кисьмалӧм,küps
595,lecker::A,кӧра ,hõrk
596,lecker::A,кӧра ,maitsev
597,süß::A,чӧскыт,magus
598,bitter::A,курыт,mõru
599,sauer::A,шӧма ,hapu
600,hell::A,югыт,hele
601,dunkel::A,пемыт,pime
602,schwarz::A,сьӧд,must
603,weiß::A,чочком,valge
604,rot::A,гӧрд,punane
605,gelb::A,веж,kollane
606,blau::A,лӧз,sinine
607,grün::A,веж,roheline
608,grau::A,руд,hall
609,grau::A,бусӧй,hall
610,bunt::A,быдрӧма,kirju
611,bunt::A,быдрӧма,värviline
612,billig::A,донтӧм,odav
613,teuer::A,дона,kallis
614,wertvoll::A,дона,väärtuslik
615,blind::A,синтӧм,pime
616,taub::A,пельтӧм,kurt
617,kräftig::A,вына,jõuline
618,stark::A,вына,tugev
619,schwach::A,некодя,nõrk
620,schwach::A,некодя,jõuetu
621,fett::A,госа,rasvane
622,schlank::A,статя,sale
623,hübsch::A,басӧк,kena
624,böse::A,лёк,tige
625,dumm::A,бӧбӧв,juhm
626,dumm::A,бӧбӧв,rumal
627,dumm::A,вежӧртӧм,juhm
628,dumm::A,вежӧртӧм,rumal
629,faul::A,дыш,laisk
630,fleißig::A,уджалicь,virk
631,fleißig::A,уджалicь,hoolas
632,geizig::A,жикмӧра,ihne
633,geizig::A,горшаліcь,ihne
634,klug::A,авья,tark
635,klug::A,авья,arukas
636,klug::A,авья,mõistlik
637,klug::A,вежӧра,tark
638,klug::A,вежӧра,arukas
639,klug::A,вежӧра,mõistlik
640,geschickt::A,кипода,osav
641,lieb::A,муса,armas
642,lieb::A,дзулиньӧй,armas
643,lustig::A,гажа,lõbus
644,sanft::A,лебезнӧй,õrn
645,hungrig::A,тшыг,näljane
646,krank::A,шогалiсь,haige
647,nackt::A,куш,alasti
648,traurig::A,жугыль,kurb
649,lebendig::A,ловья,elus
650,gut::A,бур,hea
651,schlecht::A,умӧль,halb
652,schlimm::A,нештӧм,paha
653,alt::A,важ,vana
654,neu::A,виль,uus
655,ehemalig::A,вӧвлӧм,endine
656,alt[Lebewesen]::A,года,vana
657,alt[Lebewesen]::A,годдэза,vana
658,jung::A,том,noor
659,arm::A,гов,vaene
660,arm::A,беднӧй,vaene
661,reich::A,эма,rikas
662,bekannt::A,тӧдса,teada
663,bekannt::A,тӧдса,tuttav
664,fremd::A,чужӧй,võõras
665,verschieden::A,быдкодь,erinev
666,nah::A,матiсь,lähedane
667,fern::A,ылicь,kauge
668,linker::A,шульга,vasak
669,rechter::A,веськытланись,parem
670,anderer::A,мукӧд,muu
671,anderer::A,мукӧд,teine
672,erster::A,медодзза,esimene
673,zweiter::A,кыкӧт,teine
674,dritter::A,куимӧт,kolmas
675,dritter::A,куимӧдз,kolmas
676,letzter::A,бӧрья,viimane
677,letzter::A,мёдбӧрья,viimane
678,auf einmal::ADV,тшӧтш,korraga
679,auf einmal::ADV,тшӧтш,ühekorraga
680,zusammen::ADV,ӧтлаын,koos
681,zusammen::ADV,ӧтлаын,üheskoos
682,lange::ADV,дыр,kaua
683,plötzlich::ADV,друг,äkki
684,plötzlich::ADV,друг,järsku
685,sofort::ADV,тшӧтш,kohe
686,später::ADV,медбӧрын,hiljem
687,jetzt::ADV,ӧні,nüüd
688,heute::ADV,талун,täna
689,morgen::ADV,ашын,homme
690,bald::ADV,чожа,pea
691,bald::ADV,чожа,varsti
692,dann::ADV,сыбӧрын,siis
693,gestern::ADV,тӧн,eile
694,einst::ADV,ӧтпыр,vanasti
695,damals::ADV,сэк,tookord
696,damals::ADV,сэки,tookord
697,danach::ADV,сэсся,seejärel
698,vorher::ADV,одзжык,enne
699,zuerst::ADV,наперво,enne
700,zuerst::ADV,наперво,esmalt
701,einmal::ADV,ӧтпыр,kord
702,einmal::ADV,ӧтпыр,üks kord
703,manchmal::ADV,мукӧдпыр,mõnikord
704,oft::ADV,-лы-,tihti
705,oft::ADV,-лы-,sageli
706,immer::ADV,быдпыр,ikka
707,immer::ADV,быдпыр,alati
708,immer::ADV,быдпырся,ikka
709,immer::ADV,быдпырся,alati
710,niemals::ADV,некӧр,mitte kunagi
711,hier::ADV,татӧн,siin
712,hierhin::ADV,татчӧ,siia
713,von hier::ADV,тасянь,siit
714,dort::ADV,сэтӧн,seal
715,dorthin::ADV,сэтчин,sinna
716,geradeaus::ADV,веськыта,otse edasi
717,vorwärts::ADV,одзӧ,edasi
718,rückwärts::ADV,бӧр,tagurpidi
719,zurück::ADV,бӧр,tagasi
720,unten::ADV,увтын,all
721,unten::ADV,увтын,allpool
722,hinab::ADV,увтас,alla
723,oben::ADV,вевдӧрас,ülal
724,hinauf::ADV,вывлань,üles
725,hinauf::ADV,вывланьӧ,üles
726,überall::ADV,быдлан,kõikjal
727,nicht::ADV,ог,ei
728,nicht::ADV,ог,mitte
729,ein wenig::ADV,-ышт,veidi
730,ein wenig::ADV,-ышт,natuke
731,ein wenig::ADV,невна,veidi
732,ein wenig::ADV,невна,natuke
733,kaum::ADV,ӧдва,vaevalt
734,sehr::ADV,вывтi,väga
735,so::ADV,сiдз,nii
736,noch::ADV,эшӧ,veel
737,nur::ADV,только,ainult
738,schon::ADV,ни,juba
739,wieder::ADV,бӧра,jälle
740,vergebens::ADV,весись,asjata
741,vor::PRP,одзас,ees
742,hinter::PRP,бӧрӧ,taha
743,unter::PRP,увтын,all
744,durch::PRP,пыр,läbi
745,durch::PRP,пыр,kaudu
746,neben::PRP,бокам,kõrval
747,neben::PRP,боксиным,kõrval
748,zwischen::PRP,коласас,vahel
749,wegen::PRP,понда,tõttu
750,wegen::PRP,понда,pärast
751,dies::PRN,эта,see
752,das::PRN,сiя,see
753,alles::PRN,быдӧс,kõik
754,ich::PRN,ме,mina
755,du::PRN,тэ,sina
756,er::PRN,сiя,tema
757,wir::PRN,мийӧ,me
758,ihr::PRN,ті,te
759,sie::PRN,нія,nad
760,was::FPRN,мый,mis
761,wer::FPRN,кин,kes
762,wo::FADV,кытӧн,kus
763,wohin::FADV,кытчӧ,kuhu
764,wie::FADV,дзик,kuidas
765,warum::FADV,мыля,miks
766,warum::FADV,мыйсянь,miks
767,wieviel::FNUM,мымда,mitu
768,wieviel::FNUM,мымда,kui palju
769,eins::NUM,ӧт,üks
770,zwei::NUM,кык,kaks
771,drei::NUM,куим,kolm
772,vier::NUM,нёль,neli
773,fünf::NUM,вит,viis
774,sechs::NUM,квать,kuus
775,sieben::NUM,сизим,seitse
776,acht::NUM,кыкьямыс,kaheksa
777,neun::NUM,ӧкмыс,üheksa
778,zehn::NUM,дас,kümme
779,elf::NUM,дасотік,üksteist
780,zwölf::NUM,даскык,kaksteist
781,zwanzig::NUM,кыкдас,kakskümmend
782,dreißig::NUM,куимдас,kolmkümmend
783,vierzig::NUM,нёльдас,nelikümmend
784,fünfzig::NUM,витдас,viiskümmend
785,sechzig::NUM,кватьдас,kuuskümmend
786,siebzig::NUM,сизимдас,seitsekümmend
787,achtzig::NUM,кыкьямысдас,kaheksakümmend
788,neunzig::NUM,ӧкмысдас,üheksakümmend
789,hundert::NUM,сто,sada
790,tausend::NUM,тысяча,tuhat
791,und::CNJ,и,ja
792,und::CNJ,да,ja
793,oder::CNJ,или,või
794,stehen::V,сулавны,seisma
795,sitzen::V,пукавны,istuma
796,liegen::V,куйлыны,lamama
797,hängen::V,ӧшавны,rippuma
798,werden::V,лоны,saama
799,werden::V,лоны,hakkama
800,passieren::V,аркмыны,juhtuma
801,beginnen::V,петны,algama
802,beginnen::V,петны,hakkama
803,enden::V,-сь,lõppema
804,enden::V,бырны,lõppema
805,wechseln::V,вежсьыны,vahelduma
806,aufgehen[Sonne]::V,петавны,tõusma
