,Concept_ID,mhr,fa
987,klirren::V,чылдыртата́ш,جرنگ جرنگ صدا کردن
988,brausen::V,лӱшка́ш,طوفانی بودن
989,rauschen::V,лыжга́ш,خش‌خش کردن
990,klingen::V,йоҥга́ш,صدا دادن
991,bellen::V,опта́ш,عوعو کردن
992,heulen::V,урмыжа́ш,زوزه کشیدن
993,blasen::V,пуала́ш,فوت کردن
994,pfeifen::V,шӱ́шкаш,سوت زدن
995,schreien::V,кычкыра́ш,فریاد زدن
996,stöhnen::V,йыҥыса́ш,نالیدن
997,zittern::V,чытыра́ш,لرزیدن
998,leben::V,ила́ш,زیستن
999,leben::V,ила́ш,زندگی کردن
1000,geboren werden::V,шоча́ш,متولد شدن
1001,atmen::V,шӱла́ш,تنفس کردن
1002,trinken::V,йӱа́ш,نوشیدن
1003,essen::V,кочка́ш,خوردن
1004,schlucken::V,нела́ш,بلعیدن
1005,schlucken::V,нела́ш,قورت دادن
1006,müde werden::V,ноя́ш,خسته شدن
1007,einschlafen::V,мале́н колта́ш,خواب رفتن
1008,schlafen::V,мала́ш,خوابیدن
1009,aufwachen::V,помыжалта́ш,از خواب بیدار شدن
1010,aufstehen::V,кынела́ш,بیدار شدن
1011,sich erholen::V,кана́ш,استراحت کردن
1012,krank werden::V,черлане́н воза́ш,مریض شدن
1013,krank sein::V,черлане́н кия́ш,بیمار بودن
1014,schmerzen::V,коршта́ш,درد کردن
1015,husten::V,кокыра́ш,سرفه کردن
1016,genesen::V,тӱрла́ш,بهبود یافتن
1017,genesen::V,тазаҥа́ш,بهبود یافتن
1018,sterben::V,кола́ш,مردن
1019,umkommen::V,вуй йома́ш,کشته شدن
1020,sich bewegen::V,кошта́ш,حرکت کردن
1021,sich rühren::V,тарвана́ш,تکان خوردن
1022,sich erheben::V,кынела́ш,برخواستن
1023,sich setzen::V,шинча́ш,نشستن
1024,hinfallen::V,йӧрла́ш,زمین خوردن
1025,laufen::V,кошта́ш,پیاده رفتن
1026,schreiten::V,ошкыла́ш,قدم زدن
1027,spazierengehen::V,гуля́яш,گردش رفتن
1028,eilen::V,вашка́ш,شتاب کردن
1029,sich beeilen::V,вашкешта́ш,عجله کردن
1030,sausen::V,юлтка́ш,صفیر کشیدن
1031,rennen::V,куржтала́ш,دویدن
1032,springen::V,тӧршта́ш,پریدن
1033,klettern::V,кӱза́ш,بالا رفتن
1034,schaukeln::V,лӱҥгалта́ш,تاب خوردن
1035,kriechen::V,нушка́ш,خزیدن
1036,schwimmen::V,ия́ш,شنا کردن
1037,tauchen::V,шуҥгалта́ш,غواصی کردن
1038,rudern::V,удыра́ш,پارو زدن
1039,fahren::V,кудала́ш,سواره رفتن
1040,fliegen::V,чоҥешта́ш,پریدن
1041,gehen::V,кая́ш,رفتن
1042,weggehen::V,кораҥа́ш,رفتن
1043,abfahren::V,лекта́ш,حرکت کردن
1044,anhalten::V,чарна́ш,ایست کردن
1045,hineingehen::V,пура́ш,داخل شدن
1046,eintreten::V,пура́ш,وارد شدن
1047,kommen::V,тола́ш,آمدن
1048,ankommen::V,шуа́ш,رسیدن
1049,zurückkommen::V,пӧртыла́ш,برگشتن
1050,bleiben::V,кода́ш,ماندن
1051,warten::V,вуча́ш,منتظر بودن
1052,erwarten::V,вуча́ш,انتظار داشتن
1053,suchen::V,кычала́ш,جستجو کردن
1054,finden::V,муа́ш,یافتن
1055,finden::V,муа́ш,پیدا کردن
1056,versuchen::V,толаша́ш,سعی کردن
1057,versuchen::V,толаша́ш,کوشش کردن
1058,vorbereiten::V,ямдыла́ш,آماده کردن
1059,lieben::V,йӧрата́ш,عاشق بودن
1060,mögen::V,йӧрата́ш,میل داشتن
1061,mögen::V,йӧрата́ш,دوست داشتن
1062,lachen::V,воштыла́ш,خندیدن
1063,rühren::V,ку́мыл тарвата́ш,به رقت آوردن
1064,weinen::V,шорта́ш,گریه کردن
1065,schimpfen::V,каргаша́ш,فحاشی کردن
1066,sich ärgern::V,сыра́ш,ناراحت شدن
1067,sich fürchten::V,лӱда́ш,واهمه کردن
1068,fürchten::V,лӱда́ш,ترسیدن
1069,fliehen::V,куржа́ш,گریختن
1070,flüchten::V,куржа́ш,فرار کردن
1071,sehen::V,ужа́ш,دیدن
1072,anschauen::V,онча́ш,نگاه کردن
1073,ansehen::V,эскера́ш,تماشا کردن
1074,hören::V,кола́ш,شنیدن
1075,zuhören::V,колышта́ш,گوش دادن
1076,probieren::V,тамла́ш,چشیدن
1077,riechen::V,ӱпшынча́ш,بوییدن
1078,riechen::V,ӱпшынча́ш,بو کردن
1079,fühlen::V,шижа́ш,احساس کردن
1080,scheinen::V,чуча́ш,بنظر آمدن
1081,zu sehen sein::V,коя́ш,دیده شدن
1082,vernehmen::V,кола́ш,شنیدن
1083,frieren::V,кылма́ш,سرد بودن
1084,tun::V,ышта́ш,کردن
1085,können::V,мошта́ш,توانستن
1086,wollen::V,тӱна́ш,خواستن
1087,anfangen::V,тӱҥала́ш,شروع کردن
1088,beenden::V,пытара́ш,تمام کردن
1089,beenden::V,пытара́ш,پایان دادن
1090,aufhören::V,чарна́ш,دست کشیدن
1091,gelingen::V,сай лекта́ш,موفق شدن
1092,geraten::V,лекта́ш,نتیجه دادن
1093,öffnen::V,поча́ш,گشودن
1094,öffnen::V,поча́ш,باز کردن
1095,schließen::V,петыра́ш,بستن
1096,schließen::V,петыра́ш,قفل کردن
1097,stellen::V,шында́ш,گذاردن
1098,setzen::V,шында́ш,نشاندن
1099,legen::V,опта́ш,گذاشتن
1100,legen::V,пышта́ш,گذاشتن
1101,berühren::V,тӱка́ш,دست زدن
1102,berühren::V,тӱка́ш,لمس کردن
1103,verbinden::V,пида́ш,وصل کردن
1104,bedecken::V,леведа́ш,پوشاندن
1105,aufhängen::V,сака́ш,آویختن
1106,anzünden::V,чӱкта́ш,سوزاندن
1107,aufheben::V,нӧлтала́ш,برداشتن
1108,aufheben::V,нӧлтала́ш,بلند کردن
1109,zurücklassen::V,кода́ш,گذاشتن
1110,verlieren::V,йомдара́ш,گم کردن
1111,fallen lassen::V,воза́ш,انداختن
1112,machen::V,ышта́ш,کردن
1113,machen::V,ышта́ш,ساختن
1114,herstellen::V,ямдыла́ш,ساختن
1115,herstellen::V,ямдыла́ш,تولید کردن
1116,bauen::V,чоҥа́ш,ساختن
1117,bauen::V,чоҥа́ш,بنا کردن
1118,reparieren::V,ачала́ш,درست کردن
1119,reparieren::V,ачала́ш,تعمیر کردن
1120,verbessern::V,саемда́ш,بهتر کردن
1121,ändern::V,весемда́ш,تغییر دادن
1122,graben::V,кӱнча́ш,کندن
1123,graben::V,кӱнча́ш,گود کردن
1124,beugen::V,пӱгырта́ш,کج کردن
1125,biegen::V,лывырта́ш,خم کردن
1126,drehen::V,пӱтыра́ш,چرخاندن
1127,wenden::V,ирала́ш,برگرداندن
1128,umdrehen::V,савырала́ш,برگرداندن
1129,heben::V,нӧлта́ш,برداشتن
1130,hochheben::V,нӧлта́ш,برآوردن
1131,hochheben::V,нӧлта́ш,بلند کردن
1132,ergreifen::V,руалта́ш,گرفتن
1133,halten::V,куча́ш,نگاه داشتن
1134,drücken::V,иша́ш,فشار دادن
1135,drücken::V,иша́ш,فشار آوردن
1136,drücken::V,темда́ш,فشار دادن
1137,drücken::V,темда́ш,فشار آوردن
1138,schieben::V,шӱкала́ш,هل دادن
1139,kratzen::V,удыра́ш,خاریدن
1140,lecken::V,нула́ш,لیسیدن
1141,beißen::V,пура́ш,گاز زدن
1142,abreißen::V,кӱрла́ш,پاره کردن
1143,abschneiden::V,пӱчка́ш,بریدن
1144,abschneiden::V,пӱчка́ш,قطع کردن
1145,binden::V,кылда́ш,بستن
1146,stecken::V,шуралта́ш,فرو کردن
1147,brechen::V,тодышта́ш,شکستن
1148,klopfen::V,кыра́ш,کوبیدن
1149,hauen::V,тӱя́ш,زدن
1150,kleben::V,клеитла́ш,چسباندن
1151,reiben::V,йыга́ш,مالش دادن
1152,reiben::V,туржала́ш,مالش دادن
1153,streichen::V,шӱра́ш,مالیدن
1154,schleifen::V,шума́ш,تیز کردن
1155,schleifen::V,яна́ш,تیز کردن
1156,schneiden::V,пӱчка́ш,چیدن
1157,schneiden::V,пӱчка́ш,بریدن
1158,rütteln::V,рӱза́ш,لرزاندن
1159,rütteln::V,рӱза́ш,تکان دادن
1160,schütteln::V,почка́ш,تکان دادن
1161,schwenken::V,рӱза́ш,تاب دادن
1162,schütten::V,опта́ш,ریختن
1163,füllen::V,тема́ш,پر کردن
1164,einwickeln::V,вӱдыла́ш,پیچیدن
1165,tragen::V,нумала́ш,بردن
1166,tragen::V,нумала́ш,حمل کردن
1167,schleppen::V,шӱдыра́ш,کشیدن
1168,ziehen::V,шупша́ш,کشیدن
1169,aufbewahren::V,арала́ш,نگهداری کردن
1170,werfen::V,шуа́ш,انداختن
1171,werfen::V,шуа́ш,پرتاب کردن
1172,werfen::V,кышка́ш,انداختن
1173,werfen::V,кышка́ш,پرتاب کردن
1174,fangen::V,куча́ш,گرفتن
1175,packen::V,руалта́ш,گرفتن
1176,verstecken::V,тоя́ш,قایم کردن
1177,verstecken::V,тоя́ш,پنهان کردن
1178,teilen::V,пӧла́ш,قسمت کردن
1179,teilen::V,пӧла́ш,تقسیم کردن
1180,schicken::V,колта́ш,فرستادن
1181,schicken::V,колта́ш,ارسال کردن
