,Concept_ID,myv,he
75,Rauch::N,качамо,עשן
76,Funke::N,сятко,ניצוץ
77,Feuer::N,тол,אש
78,Licht::N,валдо,אור
79,Schatten::N,сулей,צל
80,Schatten::N,сулейкс,צל
81,Wetter::N,ушо,מזג אויר
82,Nebel::N,сув,ערפל
83,Wolke::N,пель,ענן
84,Regen::N,пиземс,גשם
85,Schnee::N,лов,שלג
86,Eis::N,эй,קרח
87,Frost::N,кельме,צנה
88,Kälte::N,якшамо,קר
89,Hitze::N,пси,חם
90,Raureif::N,лекш,כפור
91,Regenbogen::N,пурьгинечирьке,קשת
92,Regenbogen::N,пурьгинеёнкс,קשת
93,Donner::N,пурьгине,רעם
94,Strömung::N,чудема,זרימה
95,Strömung::N,чудевкс,זרימה
96,Tropfen::N,петнявкс,טפה
97,Schaum::N,чов,קצף
98,Schmutz::N,рудаз,לכלוך
99,See::N,эрьке,אגם
100,Sumpf::N,чей,בצה
101,Moor::N,чей,בצה
102,Wiese::N,луга,מרעה
103,Wald::N,вирь,יער
104,Hügel::N,губорь,תל
105,Hügel::N,пандыне,תל
106,Anhöhe::N,губорь,מעלה
107,Anhöhe::N,пандыне,מעלה
108,Berg::N,пандо,הר
109,Gipfel::N,пря,פסגה
110,Höhle::N,пещера,מערה
111,Abhang::N,пандочама,מדרון
112,Abhang::N,пандочама,שפוע
113,Quelle::N,ушодкс,מעין
114,Bach::N,чудикерькс,נחל
115,Fluss::N,лей,נהר
116,Ufer::N,чире,גדה
117,Küste::N,лейчире,חוף
118,Festland::N,мода,יבשה
119,Meer::N,моря,ים
120,Bucht::N,усия,מפרץ
121,Insel::N,усия,אי
122,Blume::N,цеця,פרח
123,Gras::N,тикше,דשא
124,Wurzel::N,юр,שרש
125,Wurzel::N,ундокс,שרש
126,Baum::N,чувто,עץ
127,Stamm::N,рунго,גזע
128,Rinde::N,суд,קלפת עץ
129,Rinde::N,керь,קלפת עץ
130,Ast::N,морго,ענף
131,Zweig::N,тарад,ענף
132,Blatt::N,лопа,עלה
133,Birke::N,килей,שדר
134,Kiefer[Baum]::N,пиче,ארן
135,Weide[Baum]::N,каль,ערבה
136,Tanne::N,куз,אשוח
137,Horn::N,сюро,קרן
138,Feder::N,толга,נוצה
139,Fell::N,пона,פרוה
140,Flügel::N,сёлмо,כנף
141,Klaue::N,кенже,טלף
142,Kralle::N,кенже,טפר
143,Schwanz::N,пуло,זנב
144,Ei::N,ал,ביצה
145,Nest::N,пизэ,קן
146,Bau::N,варя,מחלה
147,Bau::N,пизе,מחלה
148,Tier::N,ракша,חיה
149,Herde::N,стада,עדר
150,Kuh::N,скал,פרה
151,Bulle::N,бука,פר
152,Pferd::N,лишме,סוס
153,Schaf::N,реве,כבשה
154,Schwein::N,туво,חזיר
155,Hund::N,пине,כלב
156,Hund::N,киска,כלב
157,Katze::N,псака,חתול
158,Bär::N,овто,דב
159,Eichhörnchen::N,ур,סנאי
160,Elch::N,сярдо,דישון
161,Fuchs::N,ривезь,שועל
162,Hase::N,нумоло,ארנב
163,Maus::N,чеерь,עכבר
164,Wolf::N,верьгиз,זאב
165,Vogel::N,нармунь,צפור
166,Schwarm::N,полк,נחיל
167,Schwarm::N,полк,להקה
168,Schwarm::N,стада,נחיל
169,Schwarm::N,стада,להקה
170,Huhn::N,сараз,תרנגלת
171,Hahn::N,атякш,תרנגול
172,Gans::N,гала,אוז
173,Gans::N,мацей,אוז
174,Adler::N,куцькан,עיט
175,Adler::N,тумоатякш,עיט
176,Ente::N,яксярго,ברוז
177,Eule::N,корж,ינשוף
178,Kranich::N,карго,עגור
179,Kranich::N,карго,כרוכיה
180,Krähe::N,варака,עורב
181,Kuckuck::N,куко,קוקיה
182,Schwan::N,локсей,ברבור
183,Fisch::N,кал,דג
184,Barsch::N,окунь,אוקונוס
185,Hecht::N,щука,זאב הים
186,Schlange[Tier]::N,гуй,נחש
187,Wurm::N,сукс,תולעת
188,Spinne::N,шанжав,עכביש
189,Ameise::N,коткудав,נמלה
190,Laus::N,сий,כנה
191,Mücke::N,сеське,יתוש
192,Fliege::N,карво,זבוב
193,Schmetterling::N,нимиляв,פרפר
194,Beere::N,умарь,ענבה
195,Apfel::N,умарь,תפוח
196,Pilz::N,панго,פטריה
197,Zwiebel::N,чурька,בצל
198,Saat::N,видьметь,זרעים
199,Korn::N,сюро,גרעין
200,Heu::N,тикше,חציר
201,Schale::N,кедь,קלפה
202,Schale::N,ваткавкс,קלפה
203,Grube::N,латко,בור
204,Grube::N,латко,שוחה
205,Falle::N,тувор,מלכדת
206,Falle::N,кундамка,מלכדת
207,Schlinge::N,килькш,לולאה
208,Spur::N,челькс,עקבה
209,Spur::N,пильгеки,עקבה
210,Asche::N,кулов,אפר
211,Dreck::N,рудаз,זהמה
212,Eisen::N,кшни,ברזל
213,Gold::N,сырне,זהב
214,Silber::N,сия,כסף
215,Kohle::N,сэдь,פחם
216,Kohle::N,уголия,פחם
217,Glas::N,сулика,זכוכית
218,Lehm::N,сёвонь,חרסית
219,Sand::N,човар,חול
220,Mensch::N,ломань,אדם
221,Mann::N,аля,איש
222,Mann::N,аля,גבר
223,Mann::N,цёраломань,איש
224,Mann::N,цёраломань,גבר
225,Frau::N,ава,אשה
226,Frau::N,ава,גברת
227,Kind::N,эйкакш,ילד
228,Junge::N,цёрыне,ילד
229,Mädchen::N,тейтерне,נערה
230,Familie::N,семия,משפחה
231,Großvater::N,покштя,סבא
232,Großmutter::N,баба,סבתא
233,Eltern::N,тетят-ават,הורים
234,Vater::N,тетя,אב
235,Mutter::N,ава,אם
236,Sohn::N,цёра,בן
237,Tochter::N,тейтерь,בת
238,Bruder::N,леля,אח
239,Bruder::N,ялакс,אח
240,Schwester::N,сазор,אחות
241,Onkel::N,леля,דוד
242,Tante::N,патя,דודה
243,Ehemann::N,мирде,איש
244,Ehemann::N,мирде,בעל
245,Ehefrau::N,ни,אשה
246,Freude::N,кеняркс,שמחה
247,Gelächter::N,ракамо,צחוק
248,Gelächter::N,пейдема,צחוק
249,Glück::N,уцяска,אשר
250,Kummer::N,рискс,יגון
251,Kummer::N,рискс,עגמה
252,Kummer::N,мелявкс,יגון
253,Kummer::N,мелявкс,עגמה
254,Wunsch::N,мель,אחול
255,Wunsch::N,мель,משאלה
256,Wunsch::N,бажамо,אחול
257,Wunsch::N,бажамо,משאלה
258,Lust::N,бажамо,חשק
259,Lust::N,бажамо,תשוקה
260,Geist::N,ойме,רוח
261,Gedanke::N,мель,מחשבה
262,Gedächtnis::N,мель,זכרון
263,Verstand::N,прев,שכל
264,Sinn::N,толк,מובן
265,Sinn::N,толк,משמעות
266,Sinn::N,смысла,מובן
267,Sinn::N,смысла,משמעות
268,Grund::N,тувтал,סבה
269,Wahrheit::N,видечи,אמת
270,Gespräch::N,кортнема,דיון
271,Märchen::N,ёвкс,אגדה
272,Erzählung::N,ёвтнема,ספור
273,Nachricht::N,куля,ידיעה
274,Neuigkeit::N,куля,חדשה
275,Name::N,лем,שם
276,Rätsel::N,содамоёвкс,תעלומה
277,Rede::N,кортамо,נאום
278,Sprache::N,кель,לשון
279,Stimme::N,ваигель,קול
280,Wort::N,вал,מלה
281,Zeichen::N,теште,סימן
282,Ruf::N,тердема,קריאה
283,Lärm::N,шалнома,רעש
284,Laut::N,вайгель,הגה
285,Ton::N,гайнема,צליל
286,Lied::N,моро,שיר
287,Ruhe::N,оймамо,שלוה
288,Leute::N,ломанть,אנשים
289,Volk::N,народ,עם
290,Arbeit::N,тев,עבודה
291,Gast::N,инже,אורח
292,Geschenk::N,казне,מתנה
293,Spiel::N,налксема,משחק
294,Gesellschaft::N,община,חברה
295,Hilfe::N,лездамо,עזרה
296,Freund::N,оя,חבר
297,Freund::N,оя,ידיד
298,Freund::N,ялга,חבר
299,Freund::N,ялга,ידיד
300,Kamerad::N,оя,רע
301,Kamerad::N,ялга,רע
302,Angelegenheit::N,тев,ענין
303,Anzahl::N,ламоксчи,מספר
304,Art::N,вид,סוג
305,Stück::N,пакш,חתיכה
306,Stück::N,пелькс,חתיכה
307,Teil::N,часть,פרק
308,Teil::N,пелькс,פרק
309,Hälfte::N,пель,חצי
310,Hälfte::N,пелькс,חצי
311,Kreis::N,кирькс,מעגל
312,Kreuz::N,крёст,צלב
313,Linie::N,кикс,קו
314,Strich::N,межа,קו קצר
315,Abstand::N,ютко,מרחק
316,Entfernung::N,ютко,מרחק
317,Gegend::N,тарка,נוף
318,Gegend::N,пертьпелькс,נוף
319,Platz::N,васолкс,שטח
320,Ort::N,тарка,אתר
321,Ort::N,тарка,מקום
322,Seite::N,ён,צד
323,Seite::N,чире,צד
324,Mitte::N,куншка,אמצע
325,Gegenstand::N,предмет,אוביקט
326,Sache::N,тев,דבר
327,Sache::N,веща,דבר
328,Rand::N,пе,פרור
329,Rand::N,чире,פרור
330,Kante::N,ирдез,קצה
331,Ecke::N,ужо,פנה
332,Spitze::N,пряне,קצה
333,Spitze::N,пе,קצה
334,Ende::N,пе,סוף
335,Loch::N,варя,חר
336,Winkel::N,ужо,פנה
337,Muster::N,сёрма,תבנית
338,Größe::N,сэрь,גדל
339,Größe::N,покшолма,גדל
340,Länge::N,кувалмо,ארך
341,Höhe::N,сэрь,קומה
342,Höhe::N,сэрь,גבה
343,Höhe::N,пандо,קומה
344,Höhe::N,пандо,גבה
345,Gewicht::N,сталмо,משקל
346,Menge::N,лововкс,כמות
347,Haufen::N,мар,ערמה
348,Haufen::N,валявкс,ערמה
349,Reihe::N,ряд,רצף
350,Boot::N,венч,סירה
351,Ruder::N,милё,משוט
352,Schlitten::N,нурдт,מזחלת
353,Ski::N,сокс,מגלשים
354,Lagerfeuer::N,толбандя,מדורה
355,Last::N,сталмо,משא
356,Last::N,кандома,משא
357,Gang::N,молема,הליכה
358,Gang::N,якамо,הליכה
359,Schritt::N,эскелькс,צעד
360,Norden::N,якшамо ёнкс,צפון
361,Süden::N,лембе ёнкс,דרום
362,Westen::N,чивалгома,מערב
363,Osten::N,чилисема,מזרח
364,Holz::N,чувто,עץ
365,Brett::N,лаз,קרש
366,Platte::N,плита,לוח
367,Stütze::N,неже,משען
368,Stange::N,олга,מוט
369,Stock::N,мандо,מקל
370,Stab::N,олога,מוט
371,Rohr::N,турба,צנור
372,Haus::N,кудо,בית
373,Heim::N,кудо,בית
374,Ofen::N,каштомо,תנור
375,Fußboden::N,киякс,רצפה
376,Tisch::N,столь,שלחן
377,Stuhl::N,стул,כסא
378,Wiege::N,лавсь,ערש
379,Wiege::N,нурямот,ערש
380,Bett::N,ацамо,מטה
381,Regal::N,лався,מדף
382,Regal::N,лавсяланго,מדף
383,Kiste::N,горобия,תבה
384,Kiste::N,горобия,ארגז
385,Kiste::N,сундук,תבה
386,Kiste::N,сундук,ארגז
387,Fenster::N,вальма,חלון
388,Tür::N,кенкш,דלת
389,Tor::N,ортат,שער
390,Zaun::N,пирявт,גדר
391,Zaun::N,пирвякс,גדר
392,Dach::N,кудопря,גג
393,Leiter::N,кузтема,סלם
394,Besen::N,тенсть,מטאטא
395,Spaten::N,койме,את
396,Schaufel::N,кече,את
397,Schaufel::N,келей койме,את
398,Gabel::N,сянгине,מזלג
399,Löffel::N,пенч,כף
400,Messer::N,пеель,סכין
401,Nagel::N,эске,מסמר
402,Netz::N,алтыма,רשת
403,Haken::N,кечказ,וו
404,Haken::N,кечказ,קרס
405,Griff::N,кедне,ידית
406,Schloss::N,замок,מנעול
407,Schloss::N,панжома,מנעול
408,Bild::N,картина,תמונה
409,Figur::N,рунго,פסל
410,Puppe::N,няка,בבה
411,Beutel::N,кескав,שק
412,Bündel::N,керькс,צרור
413,Tasche::N,юдма,שקית
414,Eimer::N,ведра,דלי
415,Deckel::N,велькс,מכסה
416,Geschirr::N,кедьге,כלים
417,Sack::N,кескав,שק
418,Tasse::N,чакш,ספל
419,Topf::N,кастрюля,סיר
420,Kessel::N,котёл,קנקן
421,Essen::N,ярсамо,אכל
422,Essen::N,ярсамо,ארוחה
423,Nahrung::N,ярсамопель,הזנה
424,Nahrung::N,ярсамопель,תזונה
425,Speise::N,ярсамопель,מאכל
426,Speise::N,ярсамопель,ארוחה
427,Fleisch::N,сывель,בשר
428,Getreide::N,сюро,דגן
429,Brei::N,каша,מחית
430,Brot::N,кши,לחם
431,Scheibe::N,кочом,עגול
432,Scheibe::N,кочом,פרוסה
433,Scheibe::N,сускомо,עגול
434,Scheibe::N,сускомо,פרוסה
435,Fett::N,куя,שמן
436,Butter::N,ой,חמאה
437,Öl::N,ой,שמן
438,Salz::N,сал,מלח
439,Suppe::N,ям,מרק
440,Honig::N,медь,דבש
441,Milch::N,ловсо,חלב
442,Tee::N,чай,תה
443,Leder::N,киське,עור
444,Wolle::N,пона,צמר
445,Stoff::N,коцт,בד
446,Stoff::N,коцт,אריג
447,Nadel::N,салмукс,מחט
448,Faden::N,суре,חוט
449,Knopf::N,пов,כפתור
450,Knoten::N,сюлмо,קשר
451,Farbe::N,артомапель,צבע
452,Kleidung::N,оршамот,בגדים
453,Hemd::N,панар,חלצה
454,Kragen::N,сиве,צוארון
455,Ärmel::N,ожа,שרוול
456,Hose::N,понкст,מכנסים
457,Gürtel::N,каркс,חגורה
458,Mütze::N,чапка,כובע
459,Schuh::N,туфля,נעל
460,Stiefel::N,кем,מגף
461,Ring::N,суркс,טבעת
462,Band::N,лента,סרט
463,Kamm::N,сурсеме,מסרק
464,Spiegel::N,чавачамо,מראה
465,Riemen::N,кшнань каркс,רצועה
466,Schnur::N,пикс,חבל
467,Leine::N,ведьме,מושכות
468,Decke::N,вельтямо,שמיכה
469,Kissen::N,тодов,כרית
470,Tuch::N,паця,צעיף
471,Handtuch::N,нардамо,מגבת
472,Kraft::N,вий,כוח
473,Stärke::N,виевчи,און
474,Gesundheit::N,шумбрачи,בריאות
475,Krankheit::N,орма,מחלה
476,Krankheit::N,сэредема,מחלה
477,Schmerz::N,сэредькс,כאב
478,Wunde::N,керявкс,פציעה
479,Fieber::N,маштыкс,חם
480,Arznei::N,ормаменькс,תרופה
481,Brücke::N,сэдь,גשר
482,Brücke::N,мадамо,גשר
483,Brunnen::N,лисьма,באר
484,Weide::N,ракшань ванома тарка,אחו
485,Weide::N,ракшань ванома тарка,מרעה
486,Pfad::N,ян,שביל
487,Pfad::N,ян,מדרכה
488,Weg::N,ки,דרך
489,Straße::N,ки,כביש
490,Dorf::N,веле,כפר
491,Stadt::N,ош,עיר
492,Brief::N,сёрма,מכתב
493,Buch::N,книга,ספר
494,Buchstabe::N,буква,אות
495,Zeitung::N,газета,עתון
496,Leben::N,эрямо,חיים
497,Tod::N,кулома,מות
498,Grab::N,калмо,קבר
499,Kirche::N,церькова,כנסיה
500,Sünde::N,чумочи,חטא
501,Gott::N,паз,אל
502,Arbeiter::N,робочей,פועל
503,Chef::N,прявт,ראש
504,Chef::N,прявт,מנהל
505,Meister::N,кол тевень тенця,ממחה
506,Arzt::N,врач,רופא
507,Lehrer::N,учитель,מורה
508,Lehrer::N,тонавтыця,מורה
509,Geld::N,ярмак,כסף
510,Geschäft::N,ладязь тев,עסקה
511,Laden::N,лавка,חנות
512,Preis::N,питне,מחיר
513,Ware::N,миевкс,סחורה
514,Ware::N,рамавкс,סחורה
515,Nutzen::N,паро,תועלת
516,Nutzen::N,лезэ,תועלת
517,Reichtum::N,сюпавчи,עשר
518,Welt::N,мир,עולם
519,Welt::N,мастор ланго,עולם
520,Land::N,мастор,ארץ
521,Staat::N,государства,מדינה
522,König::N,король,מלך
523,Macht::N,азорксчи,כוח
524,Grenze::N,буен тешкс,גבול
525,Krieg::N,война,מלחמה
526,Feind::N,душман,אויב
527,Gewalt::N,нарьгамо,אלימות
528,Kampf::N,тюрема,קרב
529,Kampf::N,тюрема,לחימה
530,Bogen[Waffe]::N,нал,קשת
531,Pfeil::N,нал,חץ
532,Gewehr::N,ружия,רובה
533,Gewehr::N,винтовка,רובה
534,Fehler::N,ильведькс,טעות
535,Fehler::N,ильведевкс,טעות
536,Lüge::N,манчема,שקר
537,Lüge::N,кенгелема,שקר
538,Schaden::N,зыян,נזק
539,Unglück::N,зыян,מזל רע
540,Schuld::N,чумочи,אשמה
541,Alter::N,шка,גיל
542,Schluss::N,пе,סיום
543,Zeit::N,шка,זמן
544,Zeit::N,пинге,זמן
545,Tag::N,чи,יום
546,Morgen::N,валске,בקר
547,Mittag::N,чикуншка,צהרים
548,Abend::N,чокшнэ,ערב
549,Nacht::N,ве,לילה
550,Woche::N,недля,שבוע
551,Monat::N,ков,חדש
552,Jahr::N,ие,שנה
553,Frühling::N,тундо,אביב
554,Sommer::N,кизэ,קיץ
555,Herbst::N,сёксь,סתו
556,Winter::N,теле,חרף
557,Januar::N,якшамков,ינואר
558,Februar::N,февраль,פברואר
559,März::N,март,מרץ
560,April::N,апрель,אפריל
561,Mai::N,май,מאי
562,Juni::N,июнь,יוני
563,Juli::N,июль,יולי
564,August::N,август,אוגוסט
565,September::N,сентября,ספטמבר
566,Oktober::N,октября,אוקטובר
567,November::N,ноября,נובמבר
568,Dezember::N,декабря,דצמבר
569,Montag::N,пондельник,יום שני
570,Dienstag::N,овторник,יום שלישי
571,Mittwoch::N,серёда,יום רביעי
572,Donnerstag::N,цетьверьг,יום חמישי
573,Freitag::N,пеця,יום ששי
574,Samstag::N,субута,יום שבת
575,Samstag::N,шлямочи,יום שבת
576,Sonntag::N,недлячи,יום ראשון
577,groß::A,ине,גדול
578,groß::A,покш,גדול
579,klein::A,вишка,קטן
580,lang::A,кувака,ארך
581,kurz::A,нурькине,קצר
582,breit::A,келей,רחב
583,schmal::A,теине,צר
584,dicht::A,тусто,צפוף
585,dick[Gegenstand]::A,эчке,עבה
586,dünn::A,човине,דק
587,fein::A,човине,מעדן
588,fest::A,кеме,מוצק
589,flach::A,лапужа,שטוח
590,glatt::A,валаня,חלק
591,hart::A,калгодо,קשיח
592,weich::A,чевте,רך
593,rund::A,кеверь,עגל
594,spitz::A,пшти,חד
595,scharf::A,пшти,חד
596,stumpf::A,ношка,קהה
597,schwer::A,стака,כבד
598,schön::A,мазый,יפה
599,heiß::A,пси,חם
600,warm::A,лембе,חם
601,kalt::A,якшамо,קר
602,kühl::A,экше,צונן
603,frisch::A,свежа,טרי
604,feucht::A,летьке,לח
605,nass::A,начко,רטוב
606,trocken::A,коське,יבש
607,voll::A,пешксе,מלא
608,leer::A,чаво,ריק
609,offen::A,панжадо,פתוח
610,offen::A,виде,פתוח
611,geschlossen::A,пекстазь,סגור
612,geschlossen::A,сёлгозь,סגור
613,sauber::A,ванькс,נקי
614,schmutzig::A,ливезев,מלכלך
615,roh::A,верек,חי
616,reif::A,кенерезь,בשל
617,lecker::A,тантей,טעים
618,süß::A,ламбамо,מתוק
619,bitter::A,сэпей,מר
620,sauer::A,чапамо,חמוץ
621,hell::A,валдо,בהיר
622,dunkel::A,чопода,עמום
623,schwarz::A,раужо,שחר
624,weiß::A,ашо,לבן
625,rot::A,якстере,אדם
626,gelb::A,ожо,צהב
627,blau::A,сэнь,כחל
628,grün::A,пиже,ירק
629,grau::A,шержев,אפר
630,bunt::A,сёрмав,צבעוני
631,billig::A,аволь питней,זול
632,teuer::A,питней,יקר
633,wertvoll::A,питней,יקר ערך
634,blind::A,сокор,עור
635,taub::A,амариця,חרש
636,kräftig::A,пек виев,חסן
637,stark::A,виев,חזק
638,schwach::A,лавшо,חלש
639,fett::A,куя,שמן
640,schlank::A,виде ронга,רזה
641,hübsch::A,мазый,יפה תאר
642,böse::A,кежей,רשע
643,dumm::A,чавола,טפש
644,dumm::A,превтеме,טפש
645,faul::A,нузякс,עצלן
646,fleißig::A,мелень путыця,חרוץ
647,geizig::A,скупой,קמצן
648,klug::A,превей,נבון
649,klug::A,превей,פקח
650,geschickt::A,маштозь теезь,מימן
651,lieb::A,вадря,יקר
652,lieb::A,вадря,אהוב
653,lustig::A,весёла,עליז
654,sanft::A,сэтьме,עדין
655,hungrig::A,вачо,רעב
656,krank::A,сэредиця,חולה
657,nackt::A,штапо,ערום
658,traurig::A,нусманя,עצוב
659,lebendig::A,эриця,חי
660,gut::A,паро,טוב
661,schlecht::A,берянь,גרוע
662,richtig::A,виде,נכון
663,schlimm::A,берянь,רע
664,wahr::A,алкуксонь,אמתי
665,alt::A,ташто,ישן
666,neu::A,од,חדש
667,ehemalig::A,икелень,לשעבר
668,alt[Lebewesen]::A,сыре,זקן
669,jung::A,од,צעיר
670,arm::A,кажов,עני
671,reich::A,сюпав,עשיר
672,bekannt::A,содавикс,ידוע
673,berühmt::A,содавикс,מפרסם
674,fremd::A,лия,זר
675,fremd::A,асодавикс,זר
676,verschieden::A,эрьва,שונה
677,nah::A,а васолонь,קרוב
678,fern::A,умонь,רחוק
679,fern::A,кезэрень,רחוק
680,linker::A,керш,שמאלי
681,rechter::A,вить,ימין
682,anderer::A,лия,אחר
683,erster::A,васень,ראשון
684,erster::A,васенце,ראשון
685,zweiter::A,омбоце,שני
686,dritter::A,колмоце,שלישי
687,letzter::A,меельце,אחרון
688,allein::ADV,башка,לבד
689,allein::ADV,ськамонзо,לבד
690,auf einmal::ADV,вейсэ,בו-זמנית
691,zusammen::ADV,вейс,ביחד
692,zusammen::ADV,вейсэ,ביחד
693,lange::ADV,кувать,הרבה זמן
694,plötzlich::ADV,апак учо,לפתע
695,plötzlich::ADV,апак учо,פתאום
696,sofort::ADV,курок,מיד
697,sofort::ADV,нейке,מיד
698,später::ADV,мейле,לאחר זמן
699,später::ADV,мейле,יותר מאחר
700,jetzt::ADV,ней,עכשיו
701,heute::ADV,течи,היום
702,morgen::ADV,ванды,מחר
703,bald::ADV,курок,בקרוב
704,dann::ADV,мейле,אחר-כך
705,dann::ADV,седе мейле,אחר-כך
706,gestern::ADV,исяк,אתמול
707,einst::ADV,весть,לפנים
708,einst::ADV,зярдо-бути,לפנים
709,damals::ADV,сестэ,אז
710,danach::ADV,мейле,אחר-כך
711,danach::ADV,седе мейле,אחר-כך
712,vorher::ADV,васняяк,לפני זה
713,zuerst::ADV,васня,קדם
714,einmal::ADV,весть,פעם
715,manchmal::ADV,лиясто,לפעמים
716,oft::ADV,сеетьстэ,לעתים קרובות
717,immer::ADV,свал,תמיד
718,niemals::ADV,а зярдояк,אף פעם
719,hier::ADV,тесэ,כאן
720,hierhin::ADV,тей,פה
721,von hier::ADV,тестэ,מפה
722,dort::ADV,тосо,שם
723,dorthin::ADV,тов,שם
724,geradeaus::ADV,витьстэ,ישר
725,vorwärts::ADV,икелев,קדימה
726,rückwärts::ADV,мекев,לאחור
727,zurück::ADV,мекев,בחזרה
728,zurück::ADV,мекев,אחורנית
729,unten::ADV,ало,למטה
730,hinab::ADV,алов,למטה
731,oben::ADV,вере,מעל
732,oben::ADV,вере,למעלה
733,hinauf::ADV,верев,למעלה
734,überall::ADV,эрьва косо,בכל מקום
735,nicht::ADV,а,לא
736,ein wenig::ADV,аламошка,קצת
737,kaum::ADV,ансяк,בקשי
738,sehr::ADV,пек,מאוד
739,sehr::ADV,вельть,מאוד
740,so::ADV,истя,כך
741,so::ADV,истя,ככה
742,noch::ADV,таго,עוד
743,noch::ADV,таго,עדין
744,nur::ADV,ансяк,רק
745,schon::ADV,уш,כבר
746,wieder::ADV,таго,שוב
747,vergebens::ADV,стяко,לריק
748,vergebens::ADV,стяко,לשוא
749,vor::PRP,икеле,מול
750,hinter::PRP,вельде,מאחורי
751,unter::PRP,ало,מתחת
752,durch::PRP,пачк,דרך
753,neben::PRP,вакссо,ליד
754,neben::PRP,вакссо,על-יד
755,zwischen::PRP,ютксо,בין
756,wegen::PRP,кис,בשל
757,wegen::PRP,кис,בגלל
758,wegen::PRP,коряс,בשל
759,wegen::PRP,коряс,בגלל
760,wegen::PRP,кувалт,בשל
761,wegen::PRP,кувалт,בגלל
762,dies::PRN,те,זה
763,das::PRN,те,זה
764,das::PRN,тона,זה
765,alles::PRN,весе,הכל
766,alles::PRN,весемесь,הכל
767,ich::PRN,мон,אני
768,du::PRN,тон,את
769,du::PRN,тон,אתה
770,er::PRN,сон,הוא
771,wir::PRN,минь,אנחנו
772,ihr::PRN,тынь,לה
773,sie::PRN,сынь,הם
774,was::FPRN,мезе,מה
775,wer::FPRN,ки,מי
776,wo::FADV,косо,איפה
777,wohin::FADV,ков,לאן
778,wohin::FADV,козо,לאן
779,wie::FADV,кода,איך
780,warum::FADV,мекс,למה
781,wieviel::FNUM,зяро,כמה
782,eins::NUM,вейке,אחד
783,zwei::NUM,кавто,שתים
784,drei::NUM,колмо,שלושה
785,vier::NUM,ниле,ארבעה
786,fünf::NUM,вете,חמשה
787,sechs::NUM,кото,ששה
788,sieben::NUM,сисем,שבעה
789,acht::NUM,кавксо,שמונה
790,neun::NUM,вейксэ,תשעה
791,zehn::NUM,кемень,עשרה
792,elf::NUM,кевейкее,אחת עשרה
793,zwölf::NUM,кемгавтово,שתים עשרה
794,zwanzig::NUM,комсь,עשרים
795,dreißig::NUM,колоньгемень,שלושים
796,vierzig::NUM,ниленьгемень,ארבעים
797,fünfzig::NUM,ведьгемень,חמשים
798,sechzig::NUM,кодгемень,ששים
799,siebzig::NUM,сизьгемень,שבעים
800,achtzig::NUM,кавксоньгемень,שמונים
