,Concept_ID,ro,uk
84,Wetter::N,vreme,погода
85,Nebel::N,ceață,туман
86,Nebel::N,negură,туман
87,Wolke::N,nor,хмара
88,Regen::N,ploaie,дощ
89,Schnee::N,zăpadă,сніг
90,Eis::N,gheață,лід
91,Frost::N,ger,мороз
92,Kälte::N,frig,холод
93,Hitze::N,arșiță,жар
94,Hitze::N,căldură,жар
95,Raureif::N,chiciură,іній
96,Regenbogen::N,curcubeu,райдуга
97,Donner::N,tunet,грім
98,Strömung::N,curent,струмина
99,Tropfen::N,picătură,крапля
100,Schaum::N,spumă,піна
101,Schmutz::N,murdărie,бруд
102,See::N,lac,озеро
103,Sumpf::N,mlaștină,драговина
104,Moor::N,bărăgan,болото
105,Wiese::N,fânaț,луг
106,Wiese::N,fânaț,лука
107,Wiese::N,livadă,луг
108,Wiese::N,livadă,лука
109,Wald::N,codru,ліс
110,Wald::N,pădure,ліс
111,Hügel::N,deal,горб
112,Hügel::N,movilă,горб
113,Anhöhe::N,deal,височина
114,Anhöhe::N,ridicătură,височина
115,Berg::N,munte,гора
116,Gipfel::N,pisc,вершина
117,Höhle::N,peșteră,печера
118,Abhang::N,pantă,схил
119,Abhang::N,versant,схил
120,Quelle::N,izvor,джерело
121,Bach::N,gârlă,струмок
122,Fluss::N,râu,річка
123,Fluss::N,fluviu,річка
124,Ufer::N,mal,берег
125,Ufer::N,țărm,берег
126,Küste::N,coastă,узбережжя
127,Festland::N,uscat,суша
128,Meer::N,mare,море
129,Bucht::N,golf,бухта
130,Bucht::N,golf,затока
131,Insel::N,insulă,острів
132,Blume::N,floare,квітка
133,Gras::N,iarbă,трава
134,Wurzel::N,rădăcină,корінь
135,Baum::N,copac,дерево
136,Baum::N,arbore,дерево
137,Stamm::N,tulpină,стовбур
138,Rinde::N,scoarță,кора
139,Ast::N,cracă,гілка
140,Ast::N,creangă,гілка
141,Zweig::N,ramură,галузь
142,Zweig::N,creangă,галузь
143,Blatt::N,frunză,лист
144,Birke::N,mesteacăn,береза
145,Kiefer[Baum]::N,pin,сосна
146,Weide[Baum]::N,salcie,верба
147,Weide[Baum]::N,răchită,верба
148,Tanne::N,brad,ялиця
149,Horn::N,corn,ріг
150,Feder::N,pană,перо
151,Fell::N,piele,хутро
152,Flügel::N,aripă,крило
153,Klaue::N,gheară,кіготь
154,Kralle::N,labă,лапа
155,Kralle::N,gheară,лапа
156,Schwanz::N,coadă,хвіст
157,Ei::N,ou,яйце
158,Nest::N,cuib,гніздо
159,Bau::N,bârlog,лігво
160,Bau::N,vizuină,лігво
161,Tier::N,animal,тварина
162,Herde::N,turmă,стадо
163,Herde::N,cireadă,стадо
164,Kuh::N,vacă,корова
165,Bulle::N,taur,бик
166,Bulle::N,taur,бугай
167,Pferd::N,cal,кінь
168,Schaf::N,oaie,вівця
169,Schwein::N,porc,свиня
170,Hund::N,câine,собака
171,Katze::N,pisică,кішка
172,Bär::N,urs,ведмідь
173,Eichhörnchen::N,veveriță,білка
174,Elch::N,elan,лось
175,Fuchs::N,vulpe,лисиця
176,Hase::N,iepure,заєць
177,Maus::N,șoarece,миша
178,Wolf::N,lup,вовк
179,Vogel::N,pasăre,птах
180,Schwarm::N,cârd,зграя
181,Huhn::N,găină,курка
182,Hahn::N,cocoș,півень
183,Gans::N,gâscă,гуска
184,Adler::N,vultur,орел
185,Ente::N,rață,качка
186,Eule::N,bufniță,сова
187,Kranich::N,cocor,журавель
188,Krähe::N,cioară,ворона
189,Kuckuck::N,cuc,зозуля
190,Schwan::N,lebădă,лебідь
191,Fisch::N,pește,риба
192,Barsch::N,biban,окунь
193,Hecht::N,știucă,щука
194,Schlange[Tier]::N,șarpe,змія
195,Wurm::N,vierme,черв’як
196,Spinne::N,păianjen,павук
197,Ameise::N,furnică,мурашка
198,Laus::N,păduche,воша
199,Mücke::N,țânțar,комар
200,Fliege::N,muscă,муха
201,Schmetterling::N,fluture,метелик
202,Beere::N,boabă,ягода
203,Apfel::N,măr,яблуко
204,Pilz::N,burete,гриб
205,Pilz::N,ciupercă,гриб
206,Zwiebel::N,ceapă,цибуля
207,Saat::N,semănătură,сім’я
208,Korn::N,grâu,зерно
209,Heu::N,fân,сіно
210,Schale::N,coajă,шкірка
211,Grube::N,groapă,яма
212,Falle::N,cursă,пастка
213,Falle::N,capcană,пастка
214,Schlinge::N,laț,петля
215,Spur::N,dâră,слід
216,Asche::N,cenușă,зола
217,Asche::N,cenușă,попіл
218,Dreck::N,noroi,бруд
219,Dreck::N,murdărie,бруд
220,Eisen::N,fier,залізо
221,Gold::N,aur,золото
222,Silber::N,argint,срібло
223,Kohle::N,cărbune,вугілля
224,Glas::N,sticlă,скло
225,Lehm::N,lut,глина
226,Lehm::N,humă,глина
227,Sand::N,nisip,пісок
228,Mensch::N,om,людина
229,Mensch::N,persoană,людина
230,Mann::N,om,чоловік
231,Mann::N,bărbat,чоловік
232,Frau::N,femeie,жінка
233,Kind::N,copil,дитина
234,Junge::N,băiat,хлопець
235,Junge::N,flăcău,хлопець
236,Mädchen::N,fată,дівчина
237,Familie::N,familie,сім’я
238,Familie::N,familie,родина
239,Großvater::N,bunic,дідусь
240,Großvater::N,tată mare,дідусь
241,Großmutter::N,bunică,бабуся
242,Großmutter::N,mamă mare,бабуся
243,Eltern::N,părinți,батьки
244,Vater::N,tată,батько
245,Vater::N,părinte,батько
246,Mutter::N,mamă,мати
247,Sohn::N,fiu,син
248,Sohn::N,fecior,син
249,Tochter::N,fiică,дочка
250,Bruder::N,frate,брат
251,Schwester::N,soră,сестра
252,Onkel::N,unchi,дядько
253,Tante::N,mătușă,тітка
254,Ehemann::N,soț,чоловік
255,Ehemann::N,bărbat,чоловік
256,Ehefrau::N,soție,жінка
257,Ehefrau::N,soție,дружина
258,Freude::N,bucurie,радощі
259,Gelächter::N,râset,сміх
260,Glück::N,fericire,щастя
261,Kummer::N,mâhnire,горе
262,Wunsch::N,dorință,бажання
263,Wunsch::N,deziderat,бажання
264,Lust::N,poftă,бажання
265,Lust::N,înclinare,бажання
266,Geist::N,duh,дух
267,Geist::N,minte,дух
268,Geist::N,suflet,дух
269,Gedanke::N,gând,думка
270,Gedanke::N,cuget,думка
271,Gedächtnis::N,memorie,пам’ять
272,Verstand::N,minte,розум
273,Verstand::N,intelect,розум
274,Sinn::N,sens,зміст
275,Sinn::N,sens,значення
276,Sinn::N,înțeles,зміст
277,Sinn::N,înțeles,значення
278,Grund::N,cauză,причина
279,Grund::N,pricină,причина
280,Wahrheit::N,adevăr,правда
281,Gespräch::N,convorbire,розмова
282,Gespräch::N,conversație,розмова
283,Märchen::N,basm,байка
284,Märchen::N,poveste,байка
285,Erzählung::N,poveste,повість
286,Erzählung::N,poveste,оповідання
287,Nachricht::N,veste,повідомлення
288,Neuigkeit::N,noutate,новина
289,Neuigkeit::N,actualitate,новина
290,Name::N,nume,ім’я
291,Rätsel::N,ghicitoare,загадка
292,Rede::N,discurs,промова
293,Sprache::N,limbă,мова
294,Sprache::N,limbaj,мова
295,Stimme::N,glas,голос
296,Wort::N,cuvânt,слово
297,Zeichen::N,semn,знак
298,Zeichen::N,semnal,знак
299,Ruf::N,chemare,оклик
300,Lärm::N,zgomot,шум
301,Lärm::N,tărăboi,шум
302,Laut::N,sunet,звук
303,Ton::N,ton,тон
304,Lied::N,cântec,пісня
305,Ruhe::N,odihnă,спокій
306,Ruhe::N,liniște,спокій
307,Leute::N,lume,люди
308,Leute::N,oameni,люди
309,Volk::N,popor,народ
310,Volk::N,națiune,народ
311,Arbeit::N,lucru,робота
312,Gast::N,musafir,гість
313,Geschenk::N,dar,подарунок
314,Geschenk::N,cadou,подарунок
315,Spiel::N,joc,гра
316,Gesellschaft::N,societate,товариство
317,Hilfe::N,ajutor,допомога
318,Freund::N,amic,друг
319,Freund::N,amic,приятель
320,Freund::N,prieten,друг
321,Freund::N,prieten,приятель
322,Kamerad::N,tovarăș,товариш
323,Angelegenheit::N,afacere,справа
324,Anzahl::N,număr,число
325,Anzahl::N,cantitate,число
326,Art::N,fel,рід
327,Art::N,specie,рід
328,Stück::N,bucată,кусок
329,Teil::N,parte,частина
330,Teil::N,porție,частина
331,Hälfte::N,jumătate,половина
332,Kreis::N,cerc,круг
333,Kreis::N,cerc,коло
334,Kreuz::N,cruce,хрест
335,Linie::N,linie,лінія
336,Strich::N,linie,штрих
337,Strich::N,trăsătură,штрих
338,Abstand::N,distanță,проміжок
339,Abstand::N,depărtare,проміжок
340,Entfernung::N,distanță,відстань
341,Entfernung::N,depărtare,відстань
342,Gegend::N,regiune,місцевість
343,Platz::N,loc,площа
344,Ort::N,loc,місце
345,Seite::N,latură,сторона
346,Mitte::N,centru,середина
347,Gegenstand::N,obiect,предмет
348,Sache::N,lucru,річ
349,Sache::N,chestie,річ
350,Rand::N,bordură,край
351,Kante::N,muchie,ребро
352,Kante::N,bordură,ребро
353,Ecke::N,colț,ріг
354,Spitze::N,vârf,кінчик
355,Spitze::N,creștet,кінчик
356,Ende::N,capăt,кінець
357,Loch::N,gaură,діра
358,Winkel::N,colț,куток
359,Muster::N,desen,узор
360,Größe::N,mărime,розмір
361,Länge::N,lungime,довжина
362,Höhe::N,înălțime,висота
363,Gewicht::N,greutate,вага
364,Menge::N,cantitate,кількість
365,Haufen::N,grămadă,купа
366,Reihe::N,șir,ряд
367,Reihe::N,rând,ряд
368,Boot::N,barcă,човен
369,Boot::N,luntre,човен
370,Ruder::N,vâslă,весло
371,Ruder::N,lopată,весло
372,Schlitten::N,sanie,сани
373,Ski::N,schi,лижа
374,Lagerfeuer::N,foc de tabără,вогнище
375,Last::N,povară,тягар
376,Last::N,povară,вантаж
377,Last::N,sarcină,тягар
378,Last::N,sarcină,вантаж
379,Gang::N,mers,хід
380,Gang::N,umblet,хід
381,Schritt::N,pas,крок
382,Norden::N,nord,північ
383,Norden::N,miazănoapte,північ
384,Süden::N,sud,південь
385,Süden::N,miazăzi,південь
386,Westen::N,apus,захід
387,Osten::N,est,схід
388,Osten::N,răsărit,схід
389,Holz::N,lemn,дрова
390,Brett::N,scândură,дошка
391,Platte::N,placă,плита
392,Stütze::N,proptea,підпірка
393,Stange::N,bară,жердина
394,Stange::N,prăjină,жердина
395,Stock::N,băț,палиця
396,Stock::N,baston,палиця
397,Stab::N,baston,палиця
398,Stab::N,prăjină,палиця
399,Rohr::N,tub,труба
400,Rohr::N,țeavă,труба
401,Haus::N,casă,дім
402,Haus::N,casă,хата
403,Heim::N,casă,житло
404,Heim::N,cămin,житло
405,Ofen::N,sobă,піч
406,Fußboden::N,podea,підлога
407,Fußboden::N,dușumea,підлога
408,Tisch::N,masă,стіл
409,Stuhl::N,scaun,стілець
410,Wiege::N,leagăn,колиска
411,Bett::N,pat,ліжко
412,Bett::N,pat,постіль
413,Regal::N,rafturi,полиця
414,Kiste::N,ladă,ящик
415,Kiste::N,cutie,ящик
416,Fenster::N,fereastră,вікно
417,Tür::N,ușă,двері
418,Tor::N,poartă,ворота
419,Zaun::N,gard,паркан
420,Zaun::N,gard,огорожа
421,Dach::N,acoperiș,дах
422,Leiter::N,scară,драбина
423,Besen::N,mătură,мітла
424,Spaten::N,cazma,заступ
425,Spaten::N,hârleț,заступ
426,Schaufel::N,lopată,совок
427,Schaufel::N,lopată,лопата
428,Gabel::N,furculiță,виделка
429,Löffel::N,lingură,ложка
430,Messer::N,cuțit,ніж
431,Nagel::N,cui,цвях
432,Netz::N,plasă,сіть
433,Haken::N,cârlig,крюк
434,Griff::N,mâner,ручка
435,Griff::N,mâner,держак
436,Schloss::N,lacăt,замок
437,Bild::N,tablou,картина
438,Bild::N,imagine,картина
439,Figur::N,chip,фігура
440,Figur::N,figură,фігура
441,Puppe::N,păpușă,лялька
442,Beutel::N,pungă,мішечок
443,Beutel::N,pungă,торбинка
444,Beutel::N,săculeț,мішечок
445,Beutel::N,săculeț,торбинка
446,Bündel::N,mănunchi,в’язка
447,Tasche::N,geantă,сумка
448,Eimer::N,găleată,відро
449,Deckel::N,capac,кришка
450,Geschirr::N,vase,посуд
451,Geschirr::N,tacâmuri,посуд
452,Sack::N,sac,мішок
453,Tasse::N,ceașcă,чашка
454,Topf::N,oală,горщик
455,Kessel::N,cazan,котел
456,Kessel::N,căldare,котел
457,Essen::N,mâncare,їжа
458,Nahrung::N,hrană,харч
459,Nahrung::N,aliment,харч
460,Speise::N,bucate,страва
461,Speise::N,fel de bucate,страва
462,Fleisch::N,carne,м’ясо
463,Getreide::N,cereale,хліб
464,Getreide::N,cereale,збіжжя
465,Brei::N,pireu,каша
466,Brot::N,pâine,хліб
467,Scheibe::N,felie,скибочка
468,Scheibe::N,bucată,скибочка
469,Fett::N,untură,жир
470,Fett::N,grăsime,жир
471,Butter::N,unt,масло
472,Öl::N,ulei,олія
473,Salz::N,sare,сіль
474,Suppe::N,supă,суп
475,Suppe::N,ciorbă,суп
476,Honig::N,miere,мед
477,Milch::N,lapte,молоко
478,Tee::N,ceai,чай
479,Leder::N,piele,шкіра
480,Wolle::N,lână,шерсть
481,Stoff::N,stofă,тканина
482,Nadel::N,ac,голка
483,Faden::N,ață,нитка
484,Knopf::N,buton,ґудзик
485,Knoten::N,nod,вузол
486,Farbe::N,vopsea,фарба
487,Kleidung::N,haine,одяг
488,Kleidung::N,haine,убрання
489,Kleidung::N,îmbrăcăminte,одяг
490,Kleidung::N,îmbrăcăminte,убрання
491,Hemd::N,cămașă,сорочка
492,Kragen::N,guler,комір
493,Ärmel::N,mânecă,рукав
494,Hose::N,pantaloni,брюки
495,Gürtel::N,cordon,пояс
496,Mütze::N,șapcă,шапка
497,Schuh::N,gheată,ботинок
498,Stiefel::N,cizmă,чобіт
499,Ring::N,inel,кільце
500,Ring::N,verigă,кільце
501,Band::N,panglică,стрічка
502,Band::N,șiret,стрічка
503,Kamm::N,pieptene,гребінець
504,Spiegel::N,oglindă,дзеркало
505,Riemen::N,curea,ремінь
506,Schnur::N,funie,вірьовка
507,Schnur::N,sfoară,вірьовка
508,Leine::N,lesă,шворка
509,Leine::N,curea,шворка
510,Decke::N,pătură,ковдра
511,Kissen::N,pernă,подушка
512,Tuch::N,batic,хустка
513,Handtuch::N,prosop,рушник
514,Handtuch::N,ștergar,рушник
515,Kraft::N,forță,сила
516,Kraft::N,putere,сила
517,Stärke::N,tărie,сила
518,Stärke::N,vigoare,сила
519,Gesundheit::N,sănătate,здоров’я
520,Krankheit::N,boală,хвороба
521,Krankheit::N,maladie,хвороба
522,Schmerz::N,durere,біль
523,Wunde::N,rană,рана
524,Fieber::N,febră,гарячка
525,Arznei::N,leac,ліки
526,Arznei::N,medicament,ліки
527,Brücke::N,pod,міст
528,Brücke::N,punte,міст
529,Brunnen::N,puț,колодязь
530,Weide::N,izlaz,пасовище
531,Weide::N,pășune,пасовище
532,Pfad::N,cărare,стежка
533,Weg::N,drum,шлях
534,Weg::N,drum,дорога
535,Straße::N,cale,вулиця
536,Straße::N,stradă,вулиця
537,Dorf::N,sat,село
538,Stadt::N,oraș,місто
539,Brief::N,scrisoare,лист
540,Buch::N,carte,книга
541,Buch::N,carte,книжка
542,Buchstabe::N,literă,буква
543,Buchstabe::N,literă,літера
544,Buchstabe::N,caracter,буква
545,Buchstabe::N,caracter,літера
546,Zeitung::N,ziar,газета
547,Zeitung::N,gazetă,газета
548,Leben::N,viață,життя
549,Tod::N,moarte,смерть
550,Grab::N,groapă,могила
551,Grab::N,mormânt,могила
552,Kirche::N,biserică,церква
553,Sünde::N,păcat,гріх
554,Gott::N,zeu,бог
555,Arbeiter::N,muncitor,робітник
556,Chef::N,șef,хазяїн
557,Meister::N,meșter,умілець
558,Meister::N,maestru,умілець
559,Arzt::N,medic,лікар
560,Arzt::N,doctor,лікар
561,Lehrer::N,profesor,вчитель
562,Lehrer::N,învățător,вчитель
563,Geld::N,bani,гроші
564,Geld::N,parale,гроші
565,Geschäft::N,treabă,заняття
566,Geschäft::N,afacere,заняття
567,Laden::N,magazin,магазин
568,Laden::N,magazin,крамниця
569,Laden::N,prăvălie,магазин
570,Laden::N,prăvălie,крамниця
571,Preis::N,preț,ціна
572,Ware::N,marfă,товар
573,Nutzen::N,folos,вигода
574,Nutzen::N,folos,користь
575,Nutzen::N,profit,вигода
576,Nutzen::N,profit,користь
577,Reichtum::N,avuție,багатство
578,Reichtum::N,bogăție,багатство
579,Welt::N,lume,світ
580,Land::N,țară,країна
581,Staat::N,stat,держава
582,König::N,rege,король
583,Macht::N,putere,влада
584,Macht::N,putință,влада
585,Grenze::N,hotar,кордон
586,Grenze::N,graniță,кордон
587,Grenze::N,frontieră,кордон
588,Krieg::N,război,війна
589,Feind::N,dușman,ворог
590,Gewalt::N,violență,насильство
591,Kampf::N,luptă,бій
592,Kampf::N,luptă,боротьба
593,Bogen[Waffe]::N,arc,лук
594,Pfeil::N,săgeată,стріла
595,Gewehr::N,armă,рушниця
596,Gewehr::N,armă,гвинтівка
597,Gewehr::N,pușcă,рушниця
598,Gewehr::N,pușcă,гвинтівка
599,Fehler::N,eroare,помилка
600,Fehler::N,greșeală,помилка
601,Lüge::N,minciună,брехня
602,Schaden::N,daună,шкода
603,Schaden::N,daună,збиток
604,Schaden::N,pagubă,шкода
605,Schaden::N,pagubă,збиток
606,Unglück::N,nenorocire,нещастя
607,Schuld::N,vină,провина
608,Alter::N,etate,вік
609,Alter::N,etate,літа
610,Alter::N,vârstă,вік
611,Alter::N,vârstă,літа
612,Schluss::N,sfârșit,кінець
613,Zeit::N,timp,час
614,Zeit::N,vreme,час
615,Tag::N,zi,день
616,Morgen::N,dimineață,ранок
617,Mittag::N,prânz,південь
618,Mittag::N,amiază,південь
619,Abend::N,seară,вечір
620,Nacht::N,noapte,ніч
621,Woche::N,săptămână,тиждень
622,Monat::N,lună,місяць
623,Jahr::N,an,рік
624,Frühling::N,primăvară,весна
625,Sommer::N,vară,літо
626,Herbst::N,toamnă,осінь
627,Winter::N,iarnă,зима
628,Januar::N,ianuarie,січень
629,Februar::N,februarie,лютий
630,März::N,martie,березень
631,April::N,aprilie,квітень
632,Mai::N,mai,травень
633,Juni::N,iunie,червень
634,Juli::N,iulie,липень
635,August::N,august,серпень
636,September::N,septembrie,вересень
637,Oktober::N,octombrie,жовтень
638,November::N,noiembrie,листопад
639,Dezember::N,decembrie,грудень
640,Montag::N,luni,понеділок
641,Dienstag::N,marți,вівторок
642,Mittwoch::N,miercuri,середа
643,Donnerstag::N,joi,четвер
644,Freitag::N,vineri,п’ятниця
645,Samstag::N,sâmbătă,субота
646,Sonntag::N,duminică,неділя
647,groß::A,mare,великий
648,klein::A,mic,малий
649,klein::A,mic,маленький
650,lang::A,lung,довгий
651,kurz::A,scurt,короткий
652,breit::A,lat,широкий
653,breit::A,larg,широкий
654,schmal::A,strâmt,вузький
655,dicht::A,des,густий
656,dick[Gegenstand]::A,gros,товстий
657,dünn::A,subțire,тонкий
658,fein::A,fin,дрібний
659,fein::A,subțire,дрібний
660,fest::A,tare,міцний
661,fest::A,solid,міцний
662,flach::A,șes,плоский
663,flach::A,plan,плоский
664,glatt::A,lins,рівний
665,glatt::A,lins,гладенький
666,hart::A,dur,твердий
667,weich::A,moale,м’який
668,rund::A,rotund,круглий
669,rund::A,circular,круглий
670,spitz::A,ascuțit,гострокінцевий
671,scharf::A,tăios,гострий
672,scharf::A,ascuțit,гострий
673,stumpf::A,tocit,тупий
674,schwer::A,greu,важкий
675,schön::A,frumos,вродливий
676,heiß::A,cald,жаркий
677,heiß::A,cald,гарячий
678,heiß::A,fierbinte,жаркий
679,heiß::A,fierbinte,гарячий
680,warm::A,cald,теплий
681,warm::A,fierbinte,теплий
682,kalt::A,rece,холодний
683,kühl::A,rece,прохолодний
684,kühl::A,răcoros,прохолодний
685,frisch::A,răcoros,свіжий
686,frisch::A,proaspăt,свіжий
687,feucht::A,umed,вогкий
688,feucht::A,jilav,вогкий
689,nass::A,ud,мокрий
690,trocken::A,sec,сухий
691,trocken::A,uscat,сухий
692,voll::A,plin,повний
693,leer::A,gol,пустий
694,offen::A,deschis,відкритий
695,geschlossen::A,închis,закритий
696,geschlossen::A,închis,зачинений
697,sauber::A,curat,чистий
698,sauber::A,curat,охайний
699,schmutzig::A,murdar,брудний
700,roh::A,crud,сирий
701,reif::A,copt,зрілий
702,lecker::A,gustos,смачний
703,süß::A,dulce,солодкий
704,bitter::A,amar,гіркий
705,sauer::A,acru,кислий
706,hell::A,clar,світлий
707,hell::A,luminos,світлий
708,dunkel::A,obscur,темний
709,dunkel::A,întunecos,темний
710,schwarz::A,negru,чорний
711,weiß::A,alb,сивий
712,rot::A,roșu,червоний
713,gelb::A,galben,жовтий
714,blau::A,albastru,синій
715,grün::A,verde,зелений
716,grau::A,gri,сірий
717,grau::A,cenușiu,сірий
718,bunt::A,colorat,барвистий
719,billig::A,ieftin,дешевий
720,teuer::A,scump,дорогий
721,wertvoll::A,prețios,цінний
722,blind::A,orb,сліпий
723,taub::A,surd,глухий
724,kräftig::A,tare,могутній
725,kräftig::A,forte,могутній
726,kräftig::A,robust,могутній
727,stark::A,viguros,сильний
728,stark::A,puternic,сильний
729,schwach::A,slab,слабкий
730,schwach::A,debil,слабкий
731,fett::A,gras,жирний
732,fett::A,gras,товстий
733,schlank::A,zvelt,тонкий
734,schlank::A,zvelt,стрункий
735,hübsch::A,drăguț,чарівний
736,böse::A,rău,злий
737,böse::A,rău,лихий
738,böse::A,răutăcios,злий
739,böse::A,răutăcios,лихий
740,dumm::A,nerod,дурний
741,dumm::A,tâmpit,дурний
742,faul::A,leneș,ледачий
743,fleißig::A,harnic,старанний
744,fleißig::A,sârguincios,старанний
745,geizig::A,calic,скупий
746,geizig::A,zgârcit,скупий
747,klug::A,isteț,мудрий
748,klug::A,isteț,розумний
749,klug::A,deștept,мудрий
750,klug::A,deștept,розумний
751,geschickt::A,dibaci,умілий
752,lieb::A,drag,милий
753,lieb::A,iubit,милий
754,lustig::A,vesel,веселий
755,sanft::A,blând,лагідний
756,sanft::A,blajin,лагідний
757,hungrig::A,flămând,голодний
758,krank::A,bolnav,слабий
759,nackt::A,gol,голий
760,traurig::A,trist,сумний
761,traurig::A,mâhnit,сумний
762,lebendig::A,viu,живий
763,gut::A,bun,добрий
764,schlecht::A,rău,поганий
765,schlecht::A,rău,кепський
766,schlecht::A,prost,поганий
767,schlecht::A,prost,кепський
768,richtig::A,drept,правильний
769,richtig::A,corect,правильний
770,schlimm::A,rău,бридкий
771,wahr::A,adevărat,справжній
772,alt::A,uzat,старий
773,alt::A,vechi,старий
774,neu::A,nou,новий
775,ehemalig::A,fost,колишній
776,ehemalig::A,anterior,колишній
777,alt[Lebewesen]::A,bătrîn,старий
778,jung::A,tânăr,молодий
779,arm::A,sărac,бідний
780,arm::A,sărman,бідний
781,reich::A,avut,багатий
782,reich::A,bogat,багатий
783,bekannt::A,cunoscut,знайомий
784,berühmt::A,renumit,славетний
785,fremd::A,străin,чужий
786,verschieden::A,diferit,різний
787,verschieden::A,deosebit,різний
788,nah::A,apropiat,близький
789,fern::A,departe,далекий
790,linker::A,stâng,лівий
791,rechter::A,drept,правий
792,anderer::A,alt,інакший
793,erster::A,prim,перший
794,zweiter::A,al doilea,другий
795,dritter::A,treilea,третій
796,letzter::A,final,останній
797,allein::ADV,singur,сам
798,allein::ADV,singur,один
799,auf einmal::ADV,dintrodată,відразу
800,zusammen::ADV,împreună,разом
801,zusammen::ADV,împreună,спільно
802,lange::ADV,îndelung,довго
803,lange::ADV,mult timp,довго
804,plötzlich::ADV,deodată,раптом
805,plötzlich::ADV,pe neașteptate,раптом
806,sofort::ADV,imediat,зараз
807,sofort::ADV,numaidecît,зараз
808,später::ADV,mai apoi,пізніше
809,später::ADV,mai târziu,пізніше
810,jetzt::ADV,acum,тепер
811,heute::ADV,azi,сьогодні
812,heute::ADV,astăzi,сьогодні
813,morgen::ADV,mâine,завтра
814,bald::ADV,curând,незабаром
815,dann::ADV,apoi,потім
816,gestern::ADV,ieri,вчора
817,einst::ADV,odată,колись
818,einst::ADV,odinioară,колись
819,damals::ADV,atunci,тоді
820,damals::ADV,pe atunci,тоді
821,danach::ADV,după aceasta,згодом
822,vorher::ADV,mai întâi,раніше
823,vorher::ADV,în prealabil,раніше
824,zuerst::ADV,întâi,спершу
825,zuerst::ADV,întâi,спочатку
826,zuerst::ADV,în primul rând,спершу
827,zuerst::ADV,în primul rând,спочатку
828,einmal::ADV,odată,один раз
829,manchmal::ADV,uneori,іноді
830,manchmal::ADV,uneori,інколи
831,manchmal::ADV,câteodată,іноді
832,manchmal::ADV,câteodată,інколи
833,oft::ADV,des,часто
834,oft::ADV,deseori,часто
835,immer::ADV,mereu,завжди
836,immer::ADV,întotdeauna,завжди
837,niemals::ADV,niciodată,ніколи
838,hier::ADV,aci,тут
839,hier::ADV,aici,тут
840,hierhin::ADV,încoace,сюди
841,von hier::ADV,de aici,звідси
842,dort::ADV,acolo,там
843,dorthin::ADV,dincolo,туди
844,geradeaus::ADV,drept înainte,прямо
