,Concept_ID,no,xal
95,Schaum::N,skum,көөсн
96,Schmutz::N,søl,кир
97,Schmutz::N,skitt,кир
98,See::N,sjø,нур
99,Sumpf::N,sump,унул
100,Sumpf::N,myrlende,унул
101,Moor::N,myr,улм
102,Moor::N,myrhei,улм
103,Wiese::N,eng,хадлһн
104,Wald::N,skog,ө-модн
105,Hügel::N,haug,толһа
106,Hügel::N,bakke,толһа
107,Anhöhe::N,haug,хамр
108,Anhöhe::N,bakke,хамр
109,Berg::N,berg,уул
110,Berg::N,fjell,уул
111,Gipfel::N,topp,ора
112,Höhle::N,hule,хадин көндә
113,Abhang::N,li,ташу
114,Abhang::N,skråning,ташу
115,Quelle::N,kilde,булг
116,Bach::N,bekk,һооҗур
117,Fluss::N,elv,һол
118,Ufer::N,bredd,көвә
119,Küste::N,kyst,көвә
120,Küste::N,kyst,теңгсин көвә
121,Festland::N,fastland,хүүрә һазр
122,Meer::N,hav,теңгс
123,Bucht::N,bukt,цекә
124,Bucht::N,bukt,теңгсин цекә
125,Insel::N,øy,арл
126,Blume::N,blomst,цецг
127,Gras::N,gress,ноһан
128,Wurzel::N,rot,уңг
129,Baum::N,tre,модн
130,Stamm::N,stamme,шилв
131,Stamm::N,stamme,һол модн
132,Rinde::N,bark,көрсн
133,Ast::N,gren,ац
134,Zweig::N,kvist,ац
135,Blatt::N,blad,хамтхасн
136,Birke::N,bjørk,хусм модн
137,Kiefer[Baum]::N,furu,шар харһа
138,Weide[Baum]::N,selje,удн
139,Weide[Baum]::N,piletre,удн
140,Tanne::N,gran,җөөлн цаһан модн
141,Horn::N,horn,өвр
142,Feder::N,fjær,өрвлг
143,Fell::N,skinn,арсн
144,Flügel::N,vinge,җивр
145,Klaue::N,klauv,хумсн
146,Kralle::N,klo,тавг
147,Schwanz::N,hale,сүл
148,Ei::N,egg,өндгн
149,Nest::N,rede,үр
150,Bau::N,hi,нүкн
151,Tier::N,dyr,мал
152,Herde::N,flokk,сүрг мал
153,Kuh::N,ku,үкр
154,Bulle::N,tyr,бух
155,Pferd::N,hest,мөрн
156,Schaf::N,får,хөн
157,Schwein::N,gris,һаха
158,Hund::N,hund,ноха
159,Katze::N,katt,мис
160,Bär::N,bjørn,аю
161,Eichhörnchen::N,ekorn,кермн
162,Elch::N,elg,хандһа
163,Fuchs::N,rev,арат
164,Hase::N,hare,туула
165,Maus::N,mus,хулһн
166,Wolf::N,ulv,чон
167,Wolf::N,varg,чон
168,Vogel::N,fugl,шовун
169,Schwarm::N,sverm,зел
170,Huhn::N,høne,така
171,Hahn::N,hane,эр така
172,Gans::N,gås,һалун
173,Adler::N,ørn,һәрд
174,Ente::N,and,нуһсн
175,Eule::N,ugle,һурвлһ
176,Kranich::N,trane,тоһрун
177,Krähe::N,kråke,шаазһа
178,Kuckuck::N,gjøk,эргин хуцдг
179,Schwan::N,svane,хун
180,Fisch::N,fisk,заһсн
181,Barsch::N,abbor,шүрг
182,Hecht::N,gjedde,цурх
183,Schlange[Tier]::N,orm,моһа
184,Schlange[Tier]::N,slange,моһа
185,Wurm::N,orm,өтн
186,Wurm::N,mark,өтн
187,Spinne::N,edderkopp,аралҗн
188,Ameise::N,maur,шорһлҗн
189,Laus::N,lus,бөөсн
190,Mücke::N,mygg,бөкүн
191,Fliege::N,flue,батхн
192,Schmetterling::N,sommerfugl,эрвәкә
193,Beere::N,bær,бөөлҗрһн
194,Apfel::N,eple,альмн
195,Pilz::N,sopp,теңгрин ки
196,Zwiebel::N,løk,мәңгрснә толһа
197,Saat::N,sæd,буудян экн
198,Korn::N,korn,экн
199,Heu::N,høy,өвсн
200,Schale::N,skall,хальсн
201,Grube::N,grop,нүкн
202,Falle::N,felle,урх
203,Falle::N,felle,хавх
204,Schlinge::N,snare,бүтү
205,Spur::N,spor,мөр
206,Asche::N,aske,үмсн
207,Dreck::N,møkk,бальчг
208,Dreck::N,skitt,бальчг
209,Eisen::N,jern,төмр
210,Gold::N,gull,алтн
211,Silber::N,sølv,мөңгн
212,Silber::N,sølv,цаһан мөңгн
213,Kohle::N,kol,нүүрсн
214,Kohle::N,kull,нүүрсн
215,Glas::N,glass,шил
216,Lehm::N,leire,шавр
217,Sand::N,sand,элсн
218,Mensch::N,menneske,күн
219,Mensch::N,menneske,күмн
220,Mann::N,mann,эр
221,Frau::N,kvinne,күүкд күн
222,Kind::N,barn,үрн
223,Junge::N,gutt,көвүн
224,Mädchen::N,pike,бичкн күүкн
225,Mädchen::N,jente,бичкн күүкн
226,Familie::N,familie,бүл
227,Großvater::N,bestefar,өвк эцк
228,Großvater::N,bestefar,наһц эцк
229,Großmutter::N,bestemor,эмг эк
230,Großmutter::N,bestemor,наһц эк
231,Eltern::N,foreldre,эк эцк хойр
232,Vater::N,far,эцк
233,Mutter::N,mor,эк
234,Sohn::N,sønn,көвүн
235,Tochter::N,datter,күүкн
236,Bruder::N,bror,дү көвүн
237,Schwester::N,søster,эгч
238,Schwester::N,søster,дү күүкн
239,Onkel::N,onkel,авһ
240,Onkel::N,onkel,наһцх
241,Tante::N,tante,наһц эгч
242,Ehemann::N,ektemann,залу
243,Ehefrau::N,hustru,гергн
244,Freude::N,glede,байр
245,Gelächter::N,latter,инәдн
246,Glück::N,lykke,җирһл
247,Glück::N,lykke,сәәхн җирһл
248,Kummer::N,sorg,зовлң
249,Wunsch::N,ønske,дурн
250,Lust::N,lyst,җилвтлһн
251,Geist::N,ånd,зөрг
252,Gedanke::N,tanke,ухан
253,Gedächtnis::N,minne,чееҗин тодлвр
254,Gedächtnis::N,hukommelse,чееҗин тодлвр
255,Verstand::N,forstand,ухан
256,Sinn::N,mening,учр-утх
257,Sinn::N,betydning,учр-утх
258,Grund::N,grunn,учр
259,Grund::N,grunn,шалтан
260,Wahrheit::N,sannhet,үнн
261,Gespräch::N,samtale,күүндвүр
262,Märchen::N,eventyr,тууль
263,Erzählung::N,fortelling,келвр
264,Nachricht::N,melding,медүллһн
265,Neuigkeit::N,nyhet,зәңг
266,Name::N,navn,нерн
267,Rätsel::N,gåte,тәәлвртә тууль
268,Rede::N,tale,келлһн
269,Sprache::N,språk,келн
270,Stimme::N,stemme,дун
271,Wort::N,ord,үг
272,Zeichen::N,tegn,темдг
273,Ruf::N,rop,дуудлһн
274,Lärm::N,bråk,шууган
275,Laut::N,lyd,ә
276,Ton::N,tone,дун
277,Lied::N,vise,дун
278,Ruhe::N,ro,амулң
279,Leute::N,folk,әмтн
280,Volk::N,folk,улс
281,Arbeit::N,arbeid,көдлмш
282,Gast::N,gjest,гиич
283,Geschenk::N,gave,белг
284,Spiel::N,lek,наадн
285,Spiel::N,spill,наадн
286,Gesellschaft::N,selskap,олн
287,Hilfe::N,hjelp,нөкд
288,Freund::N,venn,иньг
289,Kamerad::N,kamerat,үр
290,Angelegenheit::N,sak,керг
291,Angelegenheit::N,anliggende,керг
292,Anzahl::N,antall,то
293,Art::N,art,зүүл
294,Art::N,slag,зүүл
295,Stück::N,stykke,хусг
296,Teil::N,del,хүв
297,Hälfte::N,halvdel,өрәл
298,Kreis::N,ring,төгрг
299,Kreis::N,sirkel,төгрг
300,Kreuz::N,kors,кирс
301,Kreuz::N,kryss,кирс
302,Linie::N,linje,зурасн
303,Strich::N,strek,татасн
304,Abstand::N,avstand,зә
305,Entfernung::N,avstand,һазр
306,Gegend::N,strøk,һазр
307,Platz::N,plass,зә
308,Ort::N,sted,бәәрн
309,Seite::N,side,тал
310,Seite::N,side,хаҗу
311,Seite::N,side,хәврһ
312,Mitte::N,midte,дунд
313,Gegenstand::N,gjenstand,юмн
314,Sache::N,sak,юмн
315,Rand::N,rand,зах
316,Kante::N,kant,ирмәг
317,Ecke::N,hjørne,өнцг
318,Spitze::N,spiss,үзүр
319,Ende::N,ende,үзүр
320,Loch::N,hull,хаһрха
321,Winkel::N,vinkel,булң
322,Muster::N,mønster,намч
323,Größe::N,størrelse,кемҗән
324,Länge::N,lengde,ут
325,Höhe::N,høyde,өндр
326,Gewicht::N,vekt,күнд
327,Gewicht::N,vekt,чиңнүр
328,Menge::N,mengde,ик
329,Haufen::N,haug,ова
330,Haufen::N,bunke,ова
331,Reihe::N,rekke,зерг
332,Reihe::N,rekke,зерглән
333,Boot::N,båt,оңһц
334,Ruder::N,åre,хәәв
335,Schlitten::N,slede,цан
336,Schlitten::N,kjelke,цан
337,Ski::N,ski,лыҗ
338,Lagerfeuer::N,leirbål,костёр
339,Last::N,bør,күнд
340,Last::N,last,күнд
341,Gang::N,gang,йовлһн
342,Schritt::N,steg,ишкм
343,Schritt::N,skritt,ишкм
344,Norden::N,nord,ар үзг
345,Süden::N,sør,өмн
346,Süden::N,sør,өмн үзг
347,Westen::N,vest,барун
348,Westen::N,vest,барун үзг
349,Osten::N,øst,зүн
350,Osten::N,øst,зүн үзг
351,Holz::N,tre,модн
352,Brett::N,fjøl,харһа
353,Brett::N,brett,харһа
354,Platte::N,plate,хавтха чолун
355,Stütze::N,støtte,тулг
356,Stange::N,stang,уньн
357,Stock::N,pinne,модн
358,Stab::N,stav,шуург
359,Stab::N,kjepp,шуург
360,Rohr::N,rør,турва
361,Haus::N,hus,гер
362,Heim::N,hjem,гер-бул
363,Ofen::N,ovn,беш
364,Fußboden::N,gulv,девскр
365,Tisch::N,bord,ширә
366,Stuhl::N,stol,стул
367,Wiege::N,vogge,өлгә
368,Wiege::N,vogge,дүүҗң
369,Bett::N,seng,орн
370,Bett::N,seng,орндг
371,Regal::N,reol,таг
372,Regal::N,reol,тәвц
373,Regal::N,hylle,таг
374,Regal::N,hylle,тәвц
375,Kiste::N,kasse,яршг
376,Fenster::N,vindu,терз
377,Tür::N,dør,үүдн
378,Tor::N,port,үүдн
379,Tor::N,port,өргн үүдн
380,Tor::N,port,хашан үүдн
381,Zaun::N,gjerde,хаша
382,Dach::N,tak,деевр
383,Leiter::N,stige,шат
384,Leiter::N,stige,давшур
385,Besen::N,kost,сәвүр
386,Spaten::N,spade,күрз
387,Schaufel::N,skuffe,совг
388,Gabel::N,gaffel,серә
389,Löffel::N,skje,ухр
390,Messer::N,kniv,утх
391,Nagel::N,spiker,хадасн
392,Netz::N,nett,гөлм
393,Haken::N,krok,дегә
394,Griff::N,tak,иш
395,Griff::N,tak,бәрүл
396,Griff::N,håndtak,иш
397,Griff::N,håndtak,бәрүл
398,Schloss::N,lås,оньс
399,Bild::N,bilde,зург
400,Figur::N,figur,фигур
401,Puppe::N,dukke,наадһа
402,Beutel::N,pose,мишг
403,Bündel::N,bylt,багла
404,Bündel::N,bylt,боодһа
405,Tasche::N,veske,сумк
406,Eimer::N,bøtte,суулһ
407,Deckel::N,lokk,бүркәсн
408,Geschirr::N,kjøkkentøy,сав
409,Geschirr::N,kjøkkentøy,сав-сарх
410,Sack::N,sekk,мишг
411,Tasse::N,kopp,ааһ
412,Topf::N,gryte,кастрюль
413,Kessel::N,kjele,хәәсн
414,Essen::N,mål,зоогллһн
415,Nahrung::N,mat,теҗәл
416,Nahrung::N,næring,теҗәл
417,Speise::N,matrett,хот
418,Fleisch::N,kjøtt,махн
419,Getreide::N,korn,хот болҗ эдлгддг цецгүдтә урһмл
420,Brei::N,grøt,хаш
421,Brot::N,brød,өдмг
422,Scheibe::N,skive,зүсм
423,Fett::N,fett,өөкн
424,Butter::N,smør,тосн
425,Öl::N,olje,тосн
426,Salz::N,salt,давсн
427,Suppe::N,suppe,шөлн
428,Honig::N,honning,бал
429,Milch::N,melk,үсн
430,Tee::N,te,цә
431,Leder::N,lær,арсн
432,Leder::N,skinn,арсн
433,Wolle::N,ull,утцн
434,Wolle::N,ull,эд
435,Stoff::N,tøy,эд
436,Stoff::N,stoff,эд
437,Nadel::N,nål,зүн
438,Faden::N,tråd,утцн
439,Knopf::N,knapp,товч
440,Knoten::N,knute,зәңгдә
441,Farbe::N,farge,будг
442,Kleidung::N,påkledning,хувцн
443,Kleidung::N,påkledning,хувц-хунр
444,Hemd::N,skjorte,киилг
445,Kragen::N,krage,зах
446,Ärmel::N,erme,ханцн
447,Hose::N,bukse,шалвур
448,Gürtel::N,belte,бүс
449,Mütze::N,lue,махла
450,Schuh::N,sko,башмгуд
451,Stiefel::N,støvel,һосн
452,Ring::N,ring,билцг
453,Band::N,band,лент
454,Kamm::N,kam,сам
455,Spiegel::N,speil,толь
456,Riemen::N,rem,бүс
457,Schnur::N,snor,деесн
458,Leine::N,line,бурнтг
459,Leine::N,line,нохан көтлвр
460,Decke::N,teppe,көнҗл
461,Kissen::N,pute,дер
462,Tuch::N,tøy,альчур
463,Handtuch::N,håndkle,полотенц
464,Handtuch::N,håndkle,һар-нүүрин альчур
465,Kraft::N,kraft,күчн
466,Stärke::N,styrke,чидл
467,Gesundheit::N,helse,эрүл-менд
468,Gesundheit::N,sunnhet,эрүл-менд
469,Krankheit::N,syke,өвчн
470,Krankheit::N,sykdom,өвчн
471,Schmerz::N,smerte,өвдлһн
472,Wunde::N,sår,шав
473,Fieber::N,feber,безг
474,Arznei::N,medisin,эм
475,Arznei::N,legemiddel,эм
476,Brücke::N,bro,тагт
477,Brunnen::N,brønn,худг
478,Weide::N,beite,малын идг
479,Pfad::N,sti,цувг
480,Weg::N,vei,хаалһ
481,Straße::N,gate,зам
482,Dorf::N,landsby,хотн
483,Stadt::N,by,балһсн
484,Brief::N,brev,бичг
485,Buch::N,bok,дегтр
486,Buchstabe::N,bokstav,үзг
487,Zeitung::N,avis,газет
488,Leben::N,liv,җирһл
489,Tod::N,død,үкл
490,Tod::N,død,өңгрлһн
491,Grab::N,grav,оршалһна нүкн
492,Kirche::N,kirke,чонҗ
493,Sünde::N,synd,нүл
494,Sünde::N,synd,килнц
495,Gott::N,gud,бурхн
496,Arbeiter::N,arbeider,көдлмшч
497,Chef::N,sjef,толһач
498,Meister::N,mester,урн
499,Arzt::N,lege,эмч
500,Lehrer::N,lærer,багш
501,Geld::N,penger,мөңгн
502,Geschäft::N,forretning,көдлмш
503,Laden::N,butikk,лавк
504,Preis::N,pris,үн
505,Ware::N,vare,эд-тавр
506,Nutzen::N,nytte,олз
507,Reichtum::N,rikdom,зөөр
508,Welt::N,verden,орчлң
509,Welt::N,verden,делкә
510,Land::N,land,орн-нутг
511,Staat::N,stat,государств
512,König::N,konge,хан
513,Macht::N,makt,йосн
514,Grenze::N,grense,меҗә
515,Krieg::N,krig,дән
516,Feind::N,fiende,дәәсн
517,Gewalt::N,vold,күч һарһлһн
518,Kampf::N,kamp,ноолдан
519,Kampf::N,kamp,бәрлдлһн
520,Bogen[Waffe]::N,bue,саадг
521,Pfeil::N,pil,сумн
522,Gewehr::N,gevær,бу
523,Fehler::N,feil,алдг
524,Lüge::N,løgn,худл
525,Schaden::N,skade,хорлт
526,Unglück::N,uhell,гүрм
527,Schuld::N,skyld,гем
528,Schuld::N,skyld,буру
529,Alter::N,alder,насн
530,Schluss::N,slutt,чилгч
531,Zeit::N,tid,цаг
532,Tag::N,dag,өдр
533,Morgen::N,morgen,өрүн
534,Mittag::N,middag,үд
535,Abend::N,aften,асхн
536,Nacht::N,natt,сө
537,Woche::N,uke,долан хонг
538,Monat::N,måned,сар
539,Jahr::N,år,җил
540,Frühling::N,vår,хавр
541,Sommer::N,sommer,зун
542,Herbst::N,høst,намр
543,Winter::N,vinter,үвл
544,Januar::N,januar,январь
545,Februar::N,februar,февраль
546,März::N,mars,март
547,März::N,mars,моһа сар
548,April::N,april,апрель
549,Mai::N,mai,май
550,Juni::N,juni,июнь
551,Juni::N,juni,мөчн сар
552,Juli::N,juli,июль
553,August::N,august,август
554,September::N,september,һаха сар
555,Oktober::N,oktober,октябрь
556,November::N,november,ноябрь
557,November::N,november,үкр сар
558,Dezember::N,desember,бар сар
559,Montag::N,mandag,понедельник
560,Dienstag::N,tirsdag,вторник
561,Mittwoch::N,onsdag,среда
562,Mittwoch::N,onsdag,үлмҗ өдр
563,Donnerstag::N,torsdag,четверг
564,Donnerstag::N,torsdag,пүрвә өдр
565,Freitag::N,fredag,пятниц
566,Samstag::N,lørdag,суббот
567,Sonntag::N,søndag,нарн өдр
568,Sonntag::N,søndag,воскресень
569,groß::A,stor,ик
570,klein::A,liten,бичкн
571,lang::A,lang,ут
572,kurz::A,kort,оһтр
573,breit::A,bred,өргн
574,schmal::A,smal,уутьхн
575,dicht::A,tett,нигт
576,dick[Gegenstand]::A,tykk,зузан
577,dünn::A,tynn,нимгн
578,fein::A,fin,нәрхн
579,fest::A,fast,бат
580,flach::A,flat,хавтха
581,glatt::A,glatt,тегш
582,glatt::A,glatt,тиньгр
583,hart::A,hard,хату
584,weich::A,myk,җөөлн
585,weich::A,myk,җөөлкн
586,weich::A,bløt,җөөлн
587,weich::A,bløt,җөөлкн
588,rund::A,rund,төгрг
589,spitz::A,spiss,шовһр
590,scharf::A,kvass,хурц
591,stumpf::A,stubb,мука
592,schwer::A,tung,күнд
593,schön::A,pen,сәәхн
594,schön::A,vakker,сәәхн
595,heiß::A,het,халун
596,warm::A,varm,дулан
597,kalt::A,kald,киитн
598,kühl::A,kjølig,серүн
599,frisch::A,fersk,серүн
600,feucht::A,fuktig,чиигтә
601,nass::A,våt,чиигтә
602,trocken::A,tørr,хагсу
603,voll::A,full,дүүрң
604,leer::A,tom,сул
605,leer::A,tom,хоосн
606,offen::A,åpen,секәтә
607,geschlossen::A,lukket,хаалһата
608,sauber::A,ren,цевр
609,schmutzig::A,skitten,киртә
610,roh::A,rå,түүкә
611,reif::A,moden,болсн
612,lecker::A,lekker,әмтәхн
613,süß::A,søt,әмтәхн
614,bitter::A,besk,һашун
615,bitter::A,besk,һашута
616,bitter::A,bitter,һашун
617,bitter::A,bitter,һашута
618,sauer::A,sur,ишклң
619,hell::A,lys,герлтә
620,dunkel::A,mørk,харңһу
621,schwarz::A,svart,хар
622,weiß::A,hvit,цаһан
623,rot::A,rød,улан
624,gelb::A,gul,шар
625,blau::A,blå,көк
626,grün::A,grønn,көк
627,grau::A,grå,бор
628,bunt::A,broket,алг
629,bunt::A,broket,эрәтә
630,billig::A,billig,кимд
631,teuer::A,dyr,үнтә
632,wertvoll::A,verdifull,үнтә
633,wertvoll::A,verdifull,эрднь
634,blind::A,blind,сохр
635,taub::A,døv,дүлә
636,kräftig::A,kraftig,күчтә
637,stark::A,sterk,чаңһ
638,schwach::A,svak,күчн тату
639,fett::A,fet,тарһн
640,schlank::A,slank,эццн
641,hübsch::A,pen,көркхн
642,böse::A,slem,уурта
643,dumm::A,dum,тенг
644,faul::A,lat,залху
645,faul::A,doven,залху
646,fleißig::A,flittig,кинән
647,fleißig::A,flittig,кинмһә
648,geizig::A,gjerrig,ховдг
649,klug::A,klok,ухата
650,geschickt::A,hendig,чадмг
651,geschickt::A,skikket,чадмг
652,lieb::A,kjær,эңкр
653,lieb::A,snill,эңкр
654,lustig::A,morsom,сергмҗтә
655,lustig::A,morsom,җирһлтә
656,sanft::A,blid,номһн
657,hungrig::A,sulten,өлн
658,hungrig::A,sulten,харһнсн
659,krank::A,syk,өвчтә
660,krank::A,syk,шалтгта
661,nackt::A,naken,нүцкн
662,traurig::A,sørgmodig,һундлта
663,lebendig::A,levende,әмд
664,gut::A,god,сән
665,schlecht::A,dårlig,му
666,richtig::A,riktig,зөвтә
667,schlimm::A,slem,җигшүртә
668,wahr::A,sann,үнн
669,wahr::A,sann,мөн
670,alt::A,gammel,хуучн
671,neu::A,ny,шин
672,ehemalig::A,forhenværende,хуучн
673,alt[Lebewesen]::A,gammel,көгшн
674,jung::A,ung,баһ
675,arm::A,fattig,угатя
676,reich::A,rik,байн
677,bekannt::A,kjent,таньл
678,bekannt::A,kjent,таньдг
679,berühmt::A,berømt,туурсн
680,fremd::A,fremmed,күүнә
681,verschieden::A,forskjellig,әдл биш
682,verschieden::A,forskjellig,йилһәтә
683,nah::A,nær,өөрхн
684,fern::A,fjern,хол
685,linker::A,venstre,зүн
686,rechter::A,høyre,барун
687,anderer::A,annen,талдан
688,erster::A,første,негдгч
689,zweiter::A,annen,хойрдгч
690,dritter::A,tredje,һурвдгч
691,letzter::A,sist,отхн
692,allein::ADV,alene,һанцарн
693,auf einmal::ADV,med ett,нег дәкҗ
694,zusammen::ADV,sammen,хамдан
695,lange::ADV,lenge,удан
696,plötzlich::ADV,plutselig,генткн
697,sofort::ADV,straks,дарунь
698,später::ADV,senere,сүүлд
699,jetzt::ADV,nå,ода
700,heute::ADV,i dag,эндр
701,morgen::ADV,i morgen,маңһдур
702,bald::ADV,snart,дарунь
703,dann::ADV,så,дәкәд
704,gestern::ADV,i går,өцклдүр
705,einst::ADV,engang,нег саамд
706,damals::ADV,den gang,тиигхд
707,danach::ADV,deretter,тегәд
708,vorher::ADV,før,урд
709,vorher::ADV,i forveien,урд
710,zuerst::ADV,først,түрүләд
711,einmal::ADV,en gang,нег дәкҗ
712,manchmal::ADV,somme tider,зәрмдән
713,oft::ADV,ofte,хара биш
714,oft::ADV,ofte,хатяр биш
715,oft::ADV,ofte,дару-дарунь
716,immer::ADV,alltid,оньдинд
717,niemals::ADV,aldri,кезә чмгн биш
718,hier::ADV,her,энд
719,hier::ADV,her,энүнд
720,hierhin::ADV,hit,нааран
721,von hier::ADV,herfra,эндәс
722,dort::ADV,der,тенд
723,dorthin::ADV,dit,тиигән
724,geradeaus::ADV,rett fram,шуд
725,vorwärts::ADV,fram,уралан
726,vorwärts::ADV,framover,уралан
727,rückwärts::ADV,baklengs,гедргән
728,zurück::ADV,tilbake,хәрү
729,unten::ADV,nede,дор
730,hinab::ADV,ned,дор
731,hinab::ADV,ned,доракшан
732,hinab::ADV,nedover,дор
733,hinab::ADV,nedover,доракшан
734,oben::ADV,oppe,деер
735,oben::ADV,ovenpå,деер
736,hinauf::ADV,opp,өөдән
737,hinauf::ADV,opp,деер
738,hinauf::ADV,oppover,өөдән
739,hinauf::ADV,oppover,деер
740,überall::ADV,overalt,альд болв чигн
741,nicht::ADV,ikke,эс
742,nicht::ADV,ikke,биш
743,nicht::ADV,ikke,бичә
744,ein wenig::ADV,litt,баахн
745,ein wenig::ADV,litt,баахнар
746,kaum::ADV,neppe,әрә
747,sehr::ADV,svært,йир
748,so::ADV,så,иигҗ
749,noch::ADV,enda,ода чигн
750,nur::ADV,bare,һанцхн
751,schon::ADV,alt,одх
752,schon::ADV,allerede,одх
753,wieder::ADV,igjen,бас
754,vergebens::ADV,forgjeves,киидән
755,vor::PRP,foran,урд
756,vor::PRP,utenfor,урд
757,hinter::PRP,bak,ца
758,hinter::PRP,bakom,ца
759,unter::PRP,under,дор
760,durch::PRP,gjennom,ивт
761,durch::PRP,gjennom,дундаһур
762,durch::PRP,igjennom,ивт
763,durch::PRP,igjennom,дундаһур
764,neben::PRP,ved siden av,хаҗуд
765,zwischen::PRP,mellom,хоорнд
766,wegen::PRP,på grunn av,көлтә
767,wegen::PRP,på grunn av,деерәс
768,dies::PRN,dette,эн
769,das::PRN,det,тер
770,alles::PRN,alt,цуһар
771,ich::PRN,jeg,би
772,du::PRN,du,чи
773,er::PRN,han,тер
774,wir::PRN,vi,мадн
775,ihr::PRN,dere,та
776,sie::PRN,de,тедн
777,was::FPRN,hva,юн
778,wer::FPRN,hvem,кен
779,wo::FADV,hvor,хама
780,wohin::FADV,hvor ... hen,хамаран
781,wie::FADV,hvordan,яһҗ
782,wie::FADV,hvordan,яһад
783,warum::FADV,hvorfor,юңгад
784,wieviel::FNUM,hvor mye,кедү
785,eins::NUM,en,негн
786,eins::NUM,ett,негн
787,zwei::NUM,to,хойр
788,drei::NUM,tre,һурвн
789,vier::NUM,fire,дөрвн
790,fünf::NUM,fem,тавн
791,sechs::NUM,seks,зурһан
792,sieben::NUM,sju,долан
793,acht::NUM,åtte,нәәмн
794,neun::NUM,ni,йисн
795,zehn::NUM,ti,арвн
796,elf::NUM,elleve,арвн негн
797,zwölf::NUM,tolv,арвн хойр
798,zwanzig::NUM,tjue,хөрн
799,dreißig::NUM,tretti,һучн
800,vierzig::NUM,førti,дөчн
801,fünfzig::NUM,femti,тәвн
802,sechzig::NUM,seksti,җирн
803,siebzig::NUM,sytti,далн
804,achtzig::NUM,åtti,найн
805,neunzig::NUM,nitti,йирн
806,hundert::NUM,hundre,зун
807,tausend::NUM,tusen,миңһн
808,und::CNJ,og,болн
809,oder::CNJ,eller,эс гиҗ
810,oder::CNJ,eller,эс гихлә
811,stehen::V,stå,зогсх
812,sitzen::V,sitte,суух
813,liegen::V,ligge,кевтх
814,hängen::V,henge,өлгәтә бәәх
815,werden::V,bli,болх
816,passieren::V,skje,болх
817,passieren::V,hende,болх
